Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Keep for detector? Y/X	Call type	AR comment	Annotator	Species	WH comment	WH	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
586	Spectrogram 1	2	9726.355	9728.50206	0	2296.4	2017-ULU01_0+1_20180115_070602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180115_070602.wav	126.355	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
588	Spectrogram 1	2	9953.332	9959.9896	0	1744.8	2017-ULU01_0+1_20180116_003602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180116_003602.wav	53.332	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
590	Spectrogram 1	2	10455.125	10463.362	0	1440.9	2017-ULU01_0+1_20180116_043602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180116_043602.wav	255.125	Y	bark	good series	WH	RS			X	-	-	-	-	S		
594	Spectrogram 1	2	10568.347	10571.734	0	1733.6	2017-ULU01_0+1_20180116_213602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180116_213602.wav	68.347	Y	bark		WH	RS			X	-	-	-	-	S		
595	Spectrogram 1	2	10587.623	10589.148	0	1474.7	2017-ULU01_0+1_20180116_213602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180116_213602.wav	87.623	Y	bark	masked by noise but still recognizeable. Keep?	WH	RS	Y		X	-	-	-	-	S		
604	Spectrogram 1	2	10917.902	10926.515	0	2116.3	2017-ULU01_0+1_20180117_043602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180117_043602.wav	117.902	Y	"bark, yelp"	many yelps and only one bark	WH	RS			X	-	-	-	-	S		
607	Spectrogram 1	2	11216.006	11222.841	0	2949.3	2017-ULU01_0+1_20180118_113602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180118_113602.wav	116.006	Y	bark	in noise but very close and clear	WH	RS	Close		X	-	-	-	-	S		
617	Spectrogram 1	2	11490.037	11495.928	0	1812.4	2017-ULU01_0+1_20180119_220602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180119_220602.wav	90.037	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
618	Spectrogram 1	2	11732.1033	11747.41274	0	2082.6	2017-ULU01_0+1_20180120_033602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180120_033602.wav	32.1033	Y	bark	long series	WH	RS			Y	33	32	X	BY	-	Long but no big gaps	
623	Spectrogram 1	2	12154.768	12161.312	0	2183.9	2017-ULU01_0+1_20180120_160602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180120_160602.wav	154.768	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
624	Spectrogram 1	2	12392.296	12394.377	0	2228.9	2017-ULU01_0+1_20180121_193602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180121_193602.wav	92.296	Y	bark	a bit weird but sounds like a bark	WH	RS			X	-	-	-	-	S		
625	Spectrogram 1	2	12636.6144	12636.85385	228.346	1259.843	2017-ULU01_0+1_20180122_043602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180122_043602.wav	36.6144	Y	bark	harmonics but looks a bit like a downsweep instead of flat	WH	RS	Y		Y	1	0	X	B	-		
626	Spectrogram 1	2	12658.912	12661.839	0	1170.7	2017-ULU01_0+1_20180122_043602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180122_043602.wav	58.912	Y	bark	only the last one looks obvious	WH	RS			X	-	-	-	-	S		
630	Spectrogram 1	2	782.609	783.746	0	1778.6	2017-ULU01_0+1_20180122_120602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180122_120602.wav	182.609	Y	bark	sounds unusual	WH	RS	Y		X	-	-	-	-	S		
634	Spectrogram 1	2	13125.546	13127.808	0	1947.5	2017-ULU01_0+1_20180122_220602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180122_220602.wav	225.546	Y	bark		WH	RS			X	-	-	-	-	S		
635	Spectrogram 1	2	13452.08	13453.13242	118.1	1847.2	2017-ULU01_0+1_20180124_013602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180124_013602.wav	252.08	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
639	Spectrogram 1	2	13546.33	13548.302	0	2352.3	2017-ULU01_0+1_20180124_090602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180124_090602.wav	46.33	Y	bark		WH	RS			X	1	0	X	B	-	Too faint	
641	Spectrogram 1	2	13870.68	13872.979	0	1602.3	2017-ULU01_0+1_20180125_170602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180125_170602.wav	70.68	Y	bark	with BS above/overlapped	WH	RS			X	5	0	Y	BY	-	Too much overlapping noise	
642	Spectrogram 1	2	14394.5	14397.076	0	1727.3	2017-ULU01_0+1_20180126_210602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180126_210602.wav	294.5	Y	bark	"lots of other signals, but the bark is clear enough"	WH	RS			X	-	-	-	-	S		
644	Spectrogram 1	2	14657.4789	14658.56901	0	1647.7	2017-ULU01_0+1_20180127_033602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180127_033602.wav	257.4789	Y	"bark, yelp"		WH	RS			Y	1	2	X	BY	-		
645	Spectrogram 1	2	14654.0259	14654.63712	0	1318.2	2017-ULU01_0+1_20180127_033602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180127_033602.wav	254.0259	Y	"bark, yelp"	clear one	WH	RS			Y	1	1	X	BY	-		
658	Spectrogram 1	2	14994.898	14997.692	0	2127.6	2017-ULU01_0+1_20180218_020602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180218_020602.wav	294.898	Y	"bark, yelp"	there is a yelp but I'm not sure if the rest are barks - the clearest signal sounds like a bump to me	WH	RS	Y		X	-	-	-	-	S		
660	Spectrogram 1	2	15101.9549	15102.54091	0	976.378	2017-ULU01_0+1_20180218_073602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180218_073602.wav	101.9549	Y	bark		WH	RS			Y	2	0	X	B	-		
664	Spectrogram 1	2	15305.782	15307.452	0	1947.5	2017-ULU01_0+1_20180305_093602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180305_093602.wav	5.782	Y	bark	clearly visible but barely audible	WH	RS			X	-	-	-	-	S		
665	Spectrogram 1	2	15464.225	15471.664	0	2127.6	2017-ULU01_0+1_20180305_093602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180305_093602.wav	164.225	Y	"bark, yelp"	barks are very quiet	WH	RS			X	-	-	-	-	S		
667	Spectrogram 1	2	15896.173	15899.161	0	2015	2017-ULU01_0+1_20180316_180602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180316_180602.wav	296.173	Y	"bark, yelp"	quiet	WH	RS			X	-	-	-	-	S		
671	Spectrogram 1	2	16089.248	16089.56306	0	1015.748	2017-ULU01_0+1_20180323_090602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180323_090602.wav	189.248	Y	bark		WH	RS			Y	1	0	X	B	-		
687	Spectrogram 1	2	16329.643	16330.224	135.1	1677.3	2017-ULU01_0+1_20171107_223602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171107_223602.wav	129.643	Y	bark	loud	WH	RS			Y	1	0	X	B	-	Good	
692	Spectrogram 1	2	16506.341	16506.8514	94.6	1842.3	2017-ULU01_0+1_20171110_003602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171110_003602.wav	6.341	Y	bark	loud	WH	RS			Y	1	1	X	BY	-		
697	Spectrogram 1	2	16866.027	16869.402	0	1362.1	2017-ULU01_0+1_20171110_053602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171110_053602.wav	66.027	Y	bark	clear	WH	RS			X	-	-	-	-	S		
705	Spectrogram 1	2	17184.225	17188.29	0	1879.9	2017-ULU01_0+1_20171112_023602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171112_023602.wav	84.225	Y	"bark, yelp"	"yelps are louder than the bark, and there is ambient noise"	WH	RS			X	0	3	X	Y	-		
706	Spectrogram 1	2	17234.753	17239.313	0	1272	2017-ULU01_0+1_20171112_023602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171112_023602.wav	134.753	Y	bark	in ambient noise	WH	RS			X	-	-	-	-	S		
746	Spectrogram 1	2	17484.556	17489.177	0	1553.5	2017-ULU01_0+1_20171114_030602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171114_030602.wav	84.556	Y	bark		WH	RS			X	-	-	-	-	S		
762	Spectrogram 1	2	17971.867	17974.117	0	652.9	2017-ULU01_0+1_20171115_190602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171115_190602.wav	271.867	Y	bark	looks like a groan but not sure if the first sound is a bark	WH	RS	Y	bark	X	-	-	-	-	S		
768	Spectrogram 1	2	18181.849	18182.25858	0	1881.89	2017-ULU01_0+1_20171116_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171116_063602.wav	181.849	Y	bark	good	WH	RS			Y	1	1	X	BY	-		
769	Spectrogram 1	2	18191.707	18194.986	0	2138.8	2017-ULU01_0+1_20171116_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171116_063602.wav	191.707	Y	bark		WH	RS			X	-	-	-	-	S		
770	Spectrogram 1	2	18325.251	18326.739	0	1418.4	2017-ULU01_0+1_20171116_070602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171116_070602.wav	25.251	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
778	Spectrogram 1	2	18610.2081	18610.49796	0	1944.882	2017-ULU01_0+1_20171117_000602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171117_000602.wav	10.2081	Y	bark	clear	WH	RS			Y	1	0	X	B	-		
781	Spectrogram 1	2	19183.164	19186.793	0	1350.8	2017-ULU01_0+1_20171117_023602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171117_023602.wav	283.164	Y	"bark, groan"		WH	RS			X	-	-	-	-	S		
798	Spectrogram 1	2	19423.5397	19424.39036	0	2454	2017-ULU01_0+1_20171117_073602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171117_073602.wav	223.5397	Y	bark		WH	RS			Y	3	1	X	BY	-		
801	Spectrogram 1	2	19597.5737	19603.40861	0	1182	2017-ULU01_0+1_20171118_083602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171118_083602.wav	97.5737	Y	bark	series	WH	RS			Y	13	9	X	BY	-	Good	
802	Spectrogram 1	2	19746.747	19756.485	0	1958.7	2017-ULU01_0+1_20171118_083602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171118_083602.wav	246.747	Y	bark	series	WH	RS			X	-	-	-	-	S		
806	Spectrogram 1	2	20060.4572	20061.25115	0	731.7	2017-ULU01_0+1_20171118_140602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171118_140602.wav	260.4572	Y	bark		WH	RS			Y	1	1	X	BY	-		
808	Spectrogram 1	2	20275.6946	20276.47595	0	1339.6	2017-ULU01_0+1_20171118_183602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171118_183602.wav	175.6946	Y	"bark, yelp"		WH	RS			Y	1	1	X	BY	-		
810	Spectrogram 1	2	20532.434	20535.664	0	2318.9	2017-ULU01_0+1_20171118_233602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171118_233602.wav	132.434	Y	bark		WH	RS			X	-	-	-	-	S		
811	Spectrogram 1	2	20817.04	20817.64795	0	2161.4	2017-ULU01_0+1_20171119_093602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171119_093602.wav	117.04	Y	bark		WH	RS			X	0	1	X	Y	-		
813	Spectrogram 1	2	21078.6903	21081.50694	0	1632.3	2017-ULU01_0+1_20171120_133602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171120_133602.wav	78.6903	Y	"bark, groan"		WH	RS			Y	5	0	X	B	-	Long groan	
818	Spectrogram 1	2	21224.987	21228.157	0	686.7	2017-ULU01_0+1_20171120_133602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171120_133602.wav	224.987	Y	"bark, groan"		WH	RS			X	3	0	X	B	-	Not very common	
819	Spectrogram 1	2	21300.5588	21301.11331	0	2510.3	2017-ULU01_0+1_20171121_013602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171121_013602.wav	0.5588	Y	bark		WH	RS			Y	2	0	X	B	-		
821	Spectrogram 1	2	21720.021	21727.787	0	2577.9	2017-ULU01_0+1_20171121_113602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171121_113602.wav	120.021	Y	bark	beautiful	WH	RS			X	-	-	-	-	S		
822	Spectrogram 1	2	22146.194	22149.012	0	1598.5	2017-ULU01_0+1_20171121_163602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171121_163602.wav	246.194	Y	bark	only low freq visible	WH	RS			X	-	-	-	-	S		
823	Spectrogram 1	2	22296.1442	22296.72391	0	2071.3	2017-ULU01_0+1_20171122_073602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171122_073602.wav	96.1442	Y	bark		WH	RS			Y	1	1	X	BY	-		
827	Spectrogram 1	2	22534.367	22536.593	0	1553.5	2017-ULU01_0+1_20171122_223602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171122_223602.wav	34.367	Y	bark		WH	RS			X	-	-	-	-	S		
829	Spectrogram 1	2	23071.528	23073.185	0	1272	2017-ULU01_0+1_20171123_133602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171123_133602.wav	271.528	Y	"bark, yelp"	or is it a groan?	WH	RS	Y		X	-	-	-	-	S		
830	Spectrogram 1	2	23372.499	23376.128	0	2071.3	2017-ULU01_0+1_20171124_093602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171124_093602.wav	272.499	Y	bark	quiet	WH	RS			X	-	-	-	-	S		
834	Spectrogram 1	2	23676.2953	23676.78049	0	2071.3	2017-ULU01_0+1_20171126_163602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171126_163602.wav	276.2953	Y	"bark, yelp"		WH	RS			Y	1	1	X	BY	-		
