	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
21	21	22	Spectrogram 1	1	3386.706502	3386.982884	953.488	1418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2764	86.4058	X	0	1	X	Y		
22	22	23	Spectrogram 1	1	3387.717808	3387.969065	961.24	1635.659	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2513	87.4171	X	0	1	X	Y		
23	23	24	Spectrogram 1	1	3388.773085	3388.961527	1116.279	1511.628	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.1884	88.4724	X	0	1	X	Y		
24	24	25	Spectrogram 1	1	3389.715296	3389.903738	961.24	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.1884	89.4146	X	0	1	X	Y		
25	25	26	Spectrogram 1	1	3390.191995	3390.43697	984.496	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.245	89.8913	X	0	1	X	Y		
26	26	27	Spectrogram 1	1	3390.581443	3390.88295	875.969	1573.643	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.3015	90.2808	X	0	1	X	Y		
27	27	28	Spectrogram 1	1	3391.643	3391.957071	976.744	1418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.3141	91.3423	X	0	1	X	Y		
28	28	29	Spectrogram 1	1	3392.767372	3392.968377	1139.535	1519.38	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.201	92.4667	X	0	1	X	Y		
29	29	30	Spectrogram 1	1	3417.312919	3417.53905	922.481	1403.101	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2261	117.0122	X	0	1	Y	Y	BS <1KHZ	
30	30	31	Spectrogram 1	1	3418.148346	3418.374477	852.713	1201.55	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2261	117.8477	X	0	1	Y	Y	BS <1KHZ	
31	31	32	Spectrogram 1	1	3419.674728	3419.913421	883.721	1465.116	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2387	119.3741	X	0	1	Y	Y	BS <1KHZ	
32	32	33	Spectrogram 1	1	3422.294075	3422.564175	852.713	1465.116	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2701	121.9934	X	0	1	Y	Y	BS <1KHZ	
33	33	34	Spectrogram 1	1	3426.977887	3427.241707	883.721	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2638	126.6772	X	0	1	Y	Y	BS <1KHZ	
34	34	35	Spectrogram 1	1	3429.427636	3429.672611	883.721	1472.868	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.245	129.127	X	0	1	Y	Y	BS <1KHZ	
35	35	36	Spectrogram 1	1	4024.787784	4025.070447	558.14	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	ST2_Site27_67145740.220517191337.wav	0.2827	124.4536	X	0	1	X	Y		
36	36	37	Spectrogram 1	1	4033.699476	4033.988421	410.853	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	ST2_Site27_67145740.220517191337.wav	0.2889	133.3653	'	0	1	X	Y		
37	37	38	Spectrogram 1	1	4113.44689	4113.685583	155.039	1124.031	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	ST2_Site27_67145740.220517191337.wav	0.2387	213.1127	Y	1	0	X	B		
38	38	39	Spectrogram 1	1	4114.244628	4114.715734	108.527	1232.558	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	ST2_Site27_67145740.220517191337.wav	0.4711	213.9105	Y	1	1	X	BY		
39	39	40	Spectrogram 1	1	4115.023523	4115.331312	139.535	1232.558	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	ST2_Site27_67145740.220517191337.wav	0.3078	214.6894	Y	1	1	X	BY		
40	40	41	Spectrogram 1	1	4115.72704	4115.940608	93.023	1093.023	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	ST2_Site27_67145740.220517191337.wav	0.2136	215.3929	Y	1	0	X	B		
41	41	42	Spectrogram 1	1	4830.95163	4831.234293	930.233	1674.419	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517192837.wav	ST2_Site27_67145740.220517192837.wav	0.2827	30.546	X	0	1	X	Y		
42	42	43	Spectrogram 1	1	5774.215027	5774.44744	550.388	1170.543	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	ST2_Site27_67145740.220517194337.wav	0.2324	73.692	X	0	1	Y	Y	"BS <1KHZ, LOUD"	
43	43	44	Spectrogram 1	1	5778.373319	5778.624575	426.357	844.961	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	ST2_Site27_67145740.220517194337.wav	0.2513	77.8503	X	0	1	Y	Y	"BS <1KHZ, LOUD"	
44	44	45	Spectrogram 1	1	5779.874575	5780.301711	496.124	821.705	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	ST2_Site27_67145740.220517194337.wav	0.4271	79.3516	X	0	1	Y	Y	"BS <1KHZ, LOUD"	
45	45	46	Spectrogram 1	1	5785.70546	5786.044656	379.845	837.209	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	ST2_Site27_67145740.220517194337.wav	0.3392	85.1825	X	0	1	Y	Y	"BS <1KHZ, LOUD"	
46	46	47	Spectrogram 1	1	5788.90301	5789.085171	201.55	806.202	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	ST2_Site27_67145740.220517194337.wav	0.1822	88.38	X	1	0	Y	B	"BS <1KHZ, LOUD"	
47	47	48	Spectrogram 1	1	5790.209543	5790.636679	162.791	697.674	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	ST2_Site27_67145740.220517194337.wav	0.4271	89.6865	X	1	1	Y	BY	"BS <1KHZ, LOUD"	
48	48	49	Spectrogram 1	1	6235.866933	6236.865677	54.264	418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194837.wav	ST2_Site27_67145740.220517194837.wav	0.9987	235.3744	Y	1	0	Y	G		
49	49	50	Spectrogram 1	1	6322.144036	6323.375192	46.512	612.403	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195337.wav	ST2_Site27_67145740.220517195337.wav	1.2312	21.576	X	1	0	Y	G	"BS <1KHZ, LOUD"	
50	50	51	Spectrogram 1	1	6783.776239	6784.027496	480.62	1139.535	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	ST2_Site27_67145740.220517195837.wav	0.2513	183.2272	X	0	1	X	Y		
51	51	52	Spectrogram 1	1	6802.220884	6802.453296	744.186	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	ST2_Site27_67145740.220517195837.wav	0.2324	201.6719	X	0	1	Y	Y	BS  >1KHZ	
52	52	53	Spectrogram 1	1	6802.773648	6802.987216	682.171	1217.054	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	ST2_Site27_67145740.220517195837.wav	0.2136	202.2246	X	0	1	Y	Y	BS  >1KHZ	
53	53	54	Spectrogram 1	1	6804.25606	6804.501035	906.977	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	ST2_Site27_67145740.220517195837.wav	0.245	203.7071	X	0	1	Y	Y	BS  >1KHZ	
54	54	55	Spectrogram 1	1	6964.574204	6965.051591	627.907	1449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517200337.wav	ST2_Site27_67145740.220517200337.wav	0.4774	63.9927	X	0	1	Y	Y	BS  <1KHZ	
55	55	57	Spectrogram 1	1	6967.469503	6967.972015	697.674	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517200337.wav	ST2_Site27_67145740.220517200337.wav	0.5025	66.888	X	0	1	Y	Y	BS  <1KHZ	
56	56	58	Spectrogram 1	1	7507.736057	7508.860429	93.023	1930.233	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	1.1244	7.0702	Y	1	1	X	BY		
57	57	59	Spectrogram 1	1	7514.095339	7514.880515	139.535	1806.202	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.7852	13.4295	Y	1	1	X	BY		
58	58	60	Spectrogram 1	1	7516.600256	7516.832669	860.465	1193.798	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.2324	15.9344	X	0	1	X	Y		
59	59	61	Spectrogram 1	1	7518.048302	7518.676443	77.519	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.6281	17.3825	Y	1	1	X	BY		
60	60	62	Spectrogram 1	1	7518.915136	7519.612373	147.287	1480.62	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.6972	18.2493	Y	1	1	X	BY		
61	61	63	Spectrogram 1	1	7519.982976	7520.617398	100.775	2000	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.6344	19.3171	Y	1	1	X	BY		
62	62	64	Spectrogram 1	1	7521.151317	7521.647548	147.287	2031.008	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.4962	20.4855	Y	1	1	X	BY		
63	63	65	Spectrogram 1	1	7523.887965	7524.465855	527.132	1728.682	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.5779	23.2221	Y	1	1	X	BY		
64	64	66	Spectrogram 1	1	7524.811332	7525.093995	844.961	2031.008	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	ST2_Site27_67145740.220517201337.wav	0.2827	24.1455	X	0	1	X	Y		
65	65	67	Spectrogram 1	1	8632.79886	8633.383031	534.884	1635.659	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.5842	232.046	X	0	1	X	Y		
66	66	68	Spectrogram 1	1	8634.161925	8634.771222	426.357	1596.899	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.6093	233.4091	X	0	1	X	Y		
67	67	69	Spectrogram 1	1	8635.876749	8636.435795	527.132	1449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.559	235.1239	X	0	1	X	Y		
68	68	70	Spectrogram 1	1	8637.44082	8637.75489	813.953	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.3141	236.688	X	0	1	X	Y		
69	69	71	Spectrogram 1	1	8669.912077	8670.320369	968.992	1472.868	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.4083	269.1592	X	0	1	X	Y		
70	70	72	Spectrogram 1	1	8671.312831	8671.570369	984.496	1689.922	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.2575	270.56	X	0	1	X	Y		
71	71	73	Spectrogram 1	1	8673.065344	8673.278911	883.721	1503.876	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.2136	272.3125	X	0	1	X	Y		
72	72	74	Spectrogram 1	1	8674.547756	8674.792731	829.457	1666.667	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.245	273.7949	X	0	1	X	Y		
73	73	75	Spectrogram 1	1	8676.155796	8676.312831	922.481	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.157	275.403	X	0	1	X	Y		
74	74	76	Spectrogram 1	1	8677.003786	8677.305293	790.698	1480.62	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.3015	276.2509	X	0	1	X	Y		
75	75	77	Spectrogram 1	1	8679.47683	8679.759494	992.248	2286.822	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.2827	278.724	X	0	1	X	Y		
76	76	78	Spectrogram 1	1	8687.435968	8687.58044	1046.512	1310.078	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.1445	286.6831	X	0	1	X	Y		
77	77	79	Spectrogram 1	1	8689.973656	8690.275164	775.194	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.3015	289.2208	X	0	1	X	Y		
78	78	80	Spectrogram 1	1	8691.939737	8692.128179	767.442	1069.767	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	ST2_Site27_67145740.220517202837.wav	0.1884	291.1869	X	0	1	X	Y		
79	79	81	Spectrogram 1	1	8702.105711	8702.375812	860.465	1573.643	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	ST2_Site27_67145740.220517203337.wav	0.2701	1.3482	X	0	1	X	Y		
80	80	82	Spectrogram 1	1	8704.637118	8704.812998	1046.512	1333.333	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	ST2_Site27_67145740.220517203337.wav	0.1759	3.8796	X	0	1	X	Y		
81	81	83	Spectrogram 1	1	8713.253715	8713.592911	790.698	1356.589	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	ST2_Site27_67145740.220517203337.wav	0.3392	12.4962	X	0	1	Y	Y	BS <1KHZ	
82	82	84	Spectrogram 1	1	8999.360634	8999.706112	69.767	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	ST2_Site27_67145740.220517203337.wav	0.3455	298.6031	Y	1	0	X	B		
83	83	85	Spectrogram 1	1	9000.001338	9000.604353	38.76	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	ST2_Site27_67145740.220517203337.wav	0.603	299.2438	Y	1	0	X	G		
84	84	86	Spectrogram 1	1	9023.257754	9023.45876	821.705	1341.085	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.201	22.4513	X	0	1	X	Y		
85	85	87	Spectrogram 1	1	9035.390149	9036.935375	69.767	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	1.5452	34.5836	Y	1	1	X	BY		
86	86	88	Spectrogram 1	1	9114.584747	9115.212887	643.411	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.6281	113.7782	X	0	2	X	Y		
87	87	89	Spectrogram 1	1	9115.658867	9115.998063	627.907	1806.202	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.3392	114.8524	X	0	1	X	Y		
88	88	90	Spectrogram 1	1	9116.044833	9118.406642	108.527	1372.093	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	2.3618	115.2383	Y	7	0	X	B		
89	89	91	Spectrogram 1	1	9123.226681	9123.459094	705.426	1108.527	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.2324	122.4202	X	0	1	X	Y		
90	90	92	Spectrogram 1	1	9128.388255	9128.714889	108.527	1201.55	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.3266	127.5818	Y	1	0	X	B		
91	91	93	Spectrogram 1	1	9134.074816	9135.513258	713.178	1728.682	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	1.4384	133.2683	X	0	2	X	Y		
92	92	94	Spectrogram 1	1	9139.075119	9140.984667	62.016	1627.907	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	1.9095	138.2686	Y	1	3	X	BY	GOOD	
93	93	95	Spectrogram 1	1	9144.132482	9144.911377	124.031	1930.233	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.7789	143.326	Y	1	1	X	BY		
94	94	96	Spectrogram 1	1	9145.243082	9145.883785	705.426	1589.147	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.6407	144.4366	X	0	1	X	Y		
95	95	97	Spectrogram 1	1	9146.122479	9146.455393	93.023	1658.915	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.3329	145.316	Y	1	0	X	B	EXCELLENT	
96	96	99	Spectrogram 1	1	9147.198266	9147.870376	108.527	2852.713	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.6721	146.3918	X	0	1	X	Y		
97	97	100	Spectrogram 1	1	9149.632433	9150.090975	116.279	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.4585	148.8259	Y	1	1	X	BY		
98	98	101	Spectrogram 1	1	9150.317106	9150.851026	651.163	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.5339	149.5106	X	0	1	X	Y		
99	99	102	Spectrogram 1	1	9151.297006	9151.749267	651.163	1542.636	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.4523	150.4905	X	0	1	X	Y		
100	100	103	Spectrogram 1	1	9152.496754	9153.093488	596.899	2015.504	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.5967	151.6902	X	0	1	X	Y		
101	101	104	Spectrogram 1	1	9158.214111	9158.440242	1038.76	1286.822	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.2261	157.4076	X	0	1	X	Y		
102	102	105	Spectrogram 1	1	9163.228632	9163.48617	906.977	1364.341	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.2575	162.4221	X	0	1	X	Y		
103	103	106	Spectrogram 1	1	9163.969838	9164.37813	410.853	2007.752	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.4083	163.1633	X	0	1	X	Y		
104	104	107	Spectrogram 1	1	9165.389436	9165.6721	705.426	1651.163	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.2827	164.5829	X	0	1	X	Y		
105	105	108	Spectrogram 1	1	9175.445305	9175.627466	147.287	976.744	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.1822	174.6388	Y	1	0	X	B	GOOD	
106	106	109	Spectrogram 1	1	9184.702884	9184.947859	751.938	1255.814	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.245	183.8964	X	0	1	X	Y		
107	107	110	Spectrogram 1	1	9187.510673	9187.743085	395.349	1147.287	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.2324	186.7042	X	0	1	X	Y		
108	108	111	Spectrogram 1	1	9188.446603	9188.823487	604.651	1821.705	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.3769	187.6401	X	0	1	X	Y		
109	109	112	Spectrogram 1	1	9191.688629	9191.977573	635.659	1162.791	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.2889	190.8821	X	0	1	X	Y		
110	110	113	Spectrogram 1	1	9197.109198	9197.467238	736.434	1937.984	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	ST2_Site27_67145740.220517203837.wav	0.358	196.3027	X	0	1	X	Y		
