	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
27	27	28	Spectrogram 1	1	60791.520746071	60792.104916925	300.813	626.016	186.3061	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
28	28	29	Spectrogram 1	1	60793.332596718	60793.53988315	544.715	821.138	188.1179	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
29	29	30	Spectrogram 1	1	60793.634104256	60795.141641944	113.821	439.024	188.4194	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	Y	1	0	X	B		
30	30	31	Spectrogram 1	1	60798.905035769	60799.212824714	455.285	829.268	193.6904	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
31	31	32	Spectrogram 1	1	60819.16946739	60819.370472415	430.894	731.707	213.9548	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
32	32	33	Spectrogram 1	1	68728.744650603	68728.977062663	1186.992	1398.374	22.8528	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
33	33	34	Spectrogram 1	1	68734.278257337	68734.686548794	1252.033	1520.325	28.3864	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
34	34	35	Spectrogram 1	1	68738.457679681	68738.690091741	1195.122	1447.154	32.5658	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
35	35	36	Spectrogram 1	1	68740.693860585	68740.945116867	1121.951	1382.114	34.802	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
36	36	37	Spectrogram 1	1	68745.035061276	68745.305161778	1032.52	1796.748	39.1432	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
37	37	38	Spectrogram 1	1	68753.159544523	68753.454770653	504.065	788.618	47.2677	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
38	38	39	Spectrogram 1	1	68801.098120452	68801.581788794	414.634	707.317	95.2063	ST1_Site12_67653638.220515110551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515110551.wav	X	0	1	X	Y		
39	39	40	Spectrogram 1	1	69704.561070452	69704.919110653	951.22	1528.455	98.5669	ST1_Site12_67653638.220515112051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515112051.wav	X	0	1	Y	Y		
40	40	41	Spectrogram 1	1	70273.222028191	70273.567505578	382.114	682.927	67.1512	ST1_Site12_67653638.220515113051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515113051.wav	X	0	1	X	Y		
41	41	42	Spectrogram 1	1	70275.571274422	70276.519766884	333.333	756.098	69.5004	ST1_Site12_67653638.220515113051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515113051.wav	X	0	1	X	Y		
42	42	43	Spectrogram 1	1	70277.549917638	70277.889113618	341.463	593.496	71.4791	ST1_Site12_67653638.220515113051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515113051.wav	X	0	1	X	Y		
43	43	44	Spectrogram 1	1	81105.652480804	81110.011777286	65.041	991.87	98.6815	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	1	0	X	G	LONG GOOD ONE	
44	44	46	Spectrogram 1	1	81110.066648986	81111.850568584	65.041	1463.415	103.0956	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	5	4	X	BY		
45	45	47	Spectrogram 1	1	81112.504280387	81112.749255261	723.577	1682.927	105.5333	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	X	0	1	X	Y		
46	46	48	Spectrogram 1	1	81113.018080229	81116.139939525	56.911	1886.179	106.0471	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	8	5	X	BY	GOOD	
47	47	49	Spectrogram 1	1	81116.737041746	81120.066187474	81.301	2040.65	109.766	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	7	7	X	BY		
48	48	50	Spectrogram 1	1	81120.661628621	81120.856352239	577.236	804.878	113.6906	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	X	0	1	X	Y		
49	49	51	Spectrogram 1	1	81120.975698973	81122.244543194	48.78	1983.74	114.0047	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	2	2	X	BY	GOOD	
50	50	52	Spectrogram 1	1	81122.875418062	81124.747277359	73.171	2146.341	115.9044	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	4	4	X	BY	GOOD	
51	51	53	Spectrogram 1	1	81125.364439404	81126.457404228	0.0	2330.645	118.3934	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	2	2	X	BY	GOOD	
52	52	54	Spectrogram 1	1	81127.431407858	81127.814573687	314.516	2427.419	120.4604	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	X	0	1	X	Y		
53	53	55	Spectrogram 1	1	81127.902513386	81129.284422933	88.71	1693.548	120.9315	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	X	2	1	X	BY	OVERLAPPING SIGNALS, GROWL YELPS	
54	54	56	Spectrogram 1	1	81129.296985748	81132.770603838	80.645	1919.355	122.326	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	6	6	X	BY		
55	55	57	Spectrogram 1	1	81133.641216953	81134.04950841	72.581	1370.968	126.6702	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	1	0	X	B		
56	56	58	Spectrogram 1	1	81262.492439332	81265.746208176	48.387	669.355	255.5214	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	1	0	X	G		
57	57	59	Spectrogram 1	1	81266.022590085	81267.819072497	0.0	677.419	259.0516	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	1	0	X	G		
58	58	60	Spectrogram 1	1	81268.024995151	81270.744844398	0.0	1403.226	261.054	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	7	4	X	BY		
59	59	61	Spectrogram 1	1	81271.554992068	81273.533635284	96.774	2000.0	264.584	ST1_Site12_67653638.220515143552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515143552.wav	Y	5	1	X	BY	GOOD	
60	60	62	Spectrogram 1	1	81472.684356783	81472.90420603	88.71	685.484	165.691	ST1_Site12_67653638.220515144052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144052.wav	Y	1	0	X	B		
61	61	63	Spectrogram 1	1	81473.350185929	81473.519783919	56.452	500.0	166.3569	ST1_Site12_67653638.220515144052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144052.wav	Y	1	0	X	B		
62	62	64	Spectrogram 1	1	81474.341106932	81478.612463716	44.51	1317.507	167.3478	ST1_Site12_67653638.220515144052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144052.wav	Y	11	10	X	BY	FAINT	
63	63	65	Spectrogram 1	1	81478.995629545	81479.297137083	53.412	1281.899	172.0023	ST1_Site12_67653638.220515144052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144052.wav	Y	1	1	X	BY		
64	64	66	Spectrogram 1	1	81609.84550942	81611.949780777	0.0	1985.163	2.8363	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	Y	6	6	X	BY		
65	65	67	Spectrogram 1	1	81612.86103593	81613.43264397	35.608	1388.724	5.8519	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	Y	1	1	X	BY		
66	66	68	Spectrogram 1	1	81717.380025121	81719.094849242	8.902	1629.08	110.3709	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	Y	4	4	X	BY		
67	67	69	Spectrogram 1	1	81720.5342763	81722.368447155	0.0	1522.255	113.5251	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	Y	5	4	X	BY	MAYBE 2 SEALS?	
68	68	70	Spectrogram 1	1	81723.87809705	81727.401966397	35.608	1646.884	116.8689	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	Y	9	1	X	BY	FAINT	
69	69	71	Spectrogram 1	1	81788.941403417	81791.843413467	0.0	1388.724	181.9322	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	X	6	7	X	BY	TOO FAINT	
70	70	72	Spectrogram 1	1	81793.082713608	81794.445778935	0.0	1887.24	186.0736	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	X	3	4	X	BY	TOO FAINT	
71	71	73	Spectrogram 1	1	81795.111608081	81795.72718597	0.0	1068.249	188.1024	ST1_Site12_67653638.220515144552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515144552.wav	Y	2	0	X	B	FAINT	
72	72	74	Spectrogram 1	1	81979.570408114	81980.500056355	53.412	1442.136	72.5382	ST1_Site12_67653638.220515145052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515145052.wav	Y	2	2	X	BY		
73	73	75	Spectrogram 1	1	81981.984052571	81984.603399305	8.902	1548.961	74.9519	ST1_Site12_67653638.220515145052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515145052.wav	Y	7	4	X	BY		
74	74	76	Spectrogram 1	1	81986.312321895	81988.190462599	0.0	2403.509	79.2802	ST1_Site12_67653638.220515145052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515145052.wav	Y	5	3	X	BY		
75	75	77	Spectrogram 1	1	83852.649272575	83853.051282625	43.86	2236.842	145.4586	ST1_Site12_67653638.220515152052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515152052.wav	Y	1	1	X	BY		
76	76	78	Spectrogram 1	1	90932.048174911	90932.311994007	622.807	1342.105	24.2295	ST1_Site12_67653638.220515172052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515172052.wav	X	0	1	X	Y		
77	77	79	Spectrogram 1	1	90934.745093318	90935.034038042	666.667	1350.877	26.9264	ST1_Site12_67653638.220515172052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515172052.wav	X	0	1	X	Y		
78	78	80	Spectrogram 1	1	90936.302882263	90936.81795764	692.982	1429.825	28.4842	ST1_Site12_67653638.220515172052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515172052.wav	X	0	1	X	Y		
79	79	81	Spectrogram 1	1	90942.292699599	90942.619332765	815.789	1385.965	34.474	ST1_Site12_67653638.220515172052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515172052.wav	X	0	1	X	Y		
80	80	82	Spectrogram 1	1	90939.447222212	90939.98114181	491.228	1807.018	31.6286	ST1_Site12_67653638.220515172052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515172052.wav	X	0	1	X	Y		
81	81	83	Spectrogram 1	1	90943.434095106	90944.300929276	0.0	1359.649	35.6154	ST1_Site12_67653638.220515172052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515172052.wav	X	1	0	X	B	MAYBE BARKS, SO DONT USE FOR TRAINING NOISE	
82	82	84	Spectrogram 1	1	93368.708126919	93368.997071642	587.719	947.368	60.668	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	0	1	X	Y		
83	83	85	Spectrogram 1	1	93373.594753918	93373.877417234	403.509	1087.719	65.5546	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	0	1	X	Y		
84	84	86	Spectrogram 1	1	93377.21284437	93377.608573013	464.912	1105.263	69.1727	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	0	1	X	Y		
85	85	87	Spectrogram 1	1	93384.220095809	93384.509040532	403.509	1114.035	76.1799	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	0	1	X	Y		
86	86	88	Spectrogram 1	1	93387.787935005	93388.152256613	421.053	1122.807	79.7478	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	0	1	X	Y		
87	87	89	Spectrogram 1	1	93392.972439718	93393.876962332	684.211	1087.719	84.9323	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	0	1	X	Y		
88	88	90	Spectrogram 1	1	93465.653797412	93466.137465753	0.0	377.193	157.6136	ST1_Site12_67653638.220515180052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515180052.wav	X	1	0	X	G	TOO FAINT, UNKNOWN	
89	89	91	Spectrogram 1	1	93997.650986192	93998.197468604	543.86	947.368	89.5497	ST1_Site12_67653638.220515181052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515181052.wav	X	0	1	X	Y		
90	90	92	Spectrogram 1	1	96218.375096382	96218.745699397	605.263	1078.947	210.0791	ST1_Site12_67653638.220515184552.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515184552.wav	X	0	1	X	Y		
91	91	93	Spectrogram 1	1	100706.072060575	100707.202713841	359.649	2807.018	197.4164	ST1_Site12_67653638.220515200052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515200052.wav	X	0	1	X	Y		
92	92	94	Spectrogram 1	1	100710.577271062	100711.626266037	342.105	2701.754	201.9216	ST1_Site12_67653638.220515200052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515200052.wav	X	0	1	X	Y		
93	93	95	Spectrogram 1	1	100713.052145434	100714.415210761	377.193	2666.667	204.3965	ST1_Site12_67653638.220515200052.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515200052.wav	X	0	1	X	Y		
94	94	96	Spectrogram 1	1	104221.285025126	104221.655628141	710.526	1631.579	112.3157	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	X	0	2	X	Y		
95	95	97	Spectrogram 1	1	104228.80858794	104229.298537688	587.719	2368.421	119.8393	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	X	0	1	X	Y		
96	96	98	Spectrogram 1	1	104233.094760798	104233.521896476	631.579	1640.351	124.1254	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	X	0	1	X	Y		
97	97	99	Spectrogram 1	1	104240.53141396	104241.44221798	201.754	1938.596	131.5621	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	X	0	1	X	Y		
98	98	100	Spectrogram 1	1	104242.18342401	104243.213574764	52.632	1307.018	133.2141	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	X	1	1	X	BY	YELP GROAN OVERLAPPING	
99	99	101	Spectrogram 1	1	104243.712000708	104244.36526704	43.86	1298.246	134.7427	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	Y	2	1	X	BY		
100	100	102	Spectrogram 1	1	104245.018533371	104245.8476791	17.544	1368.421	136.0492	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	Y	1	0	X	G		
101	101	103	Spectrogram 1	1	104245.872804728	104246.12406101	622.807	1078.947	136.9035	ST1_Site12_67653638.220515210053.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515210053.wav	X	0	1	X	Y		
102	102	104	Spectrogram 1	1	114648.070364824	114648.528907538	421.053	1228.07	40.3217	ST1_Site12_67653638.220515235553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515235553.wav	X	0	1	X	Y		
103	103	105	Spectrogram 1	1	114659.442663882	114659.788141269	982.456	1578.947	51.694	ST1_Site12_67653638.220515235553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515235553.wav	X	0	1	X	Y		
104	104	106	Spectrogram 1	1	114663.370595555	114664.036424701	298.246	1771.93	55.6219	ST1_Site12_67653638.220515235553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515235553.wav	X	0	1	X	Y		
105	105	107	Spectrogram 1	1	114680.219971357	114680.961177387	447.368	1675.439	72.4713	ST1_Site12_67653638.220515235553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515235553.wav	X	0	1	X	Y		
106	106	108	Spectrogram 1	1	114683.109418593	114683.787810553	456.14	2052.632	75.3607	ST1_Site12_67653638.220515235553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515235553.wav	X	0	1	X	Y		
107	107	109	Spectrogram 1	1	129856.475438693	129857.411368342	798.246	1350.877	248.7834	ST1_Site12_67653638.220516040553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516040553.wav	X	0	1	X	Y		
108	108	110	Spectrogram 1	1	131033.739786765	131033.928228976	61.404	561.404	225.9726	ST1_Site12_67653638.220516042553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516042553.wav	Y	1	0	X	B	FAINT	
109	109	111	Spectrogram 1	1	131034.49355561	131034.713404856	70.175	640.351	226.7264	ST1_Site12_67653638.220516042553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516042553.wav	Y	1	0	X	B	FAINT	
110	110	112	Spectrogram 1	1	131038.023706363	131038.381746564	657.895	1017.544	230.2565	ST1_Site12_67653638.220516042553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516042553.wav	X	0	1	X	Y		
111	111	113	Spectrogram 1	1	131041.633920875	131041.991961076	552.632	1087.719	233.8667	ST1_Site12_67653638.220516042553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516042553.wav	X	0	1	X	Y		
112	112	118	Spectrogram 1	1	131051.839399004	131053.610755788	70.175	1289.474	244.0722	ST1_Site12_67653638.220516042553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516042553.wav	X	1	1	X	BY	YELP GROAN OVERLAPPING	Y - BS?
113	113	119	Spectrogram 1	1	131057.904053848	131059.248274954	96.491	1043.86	250.1369	ST1_Site12_67653638.220516042553.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220516042553.wav	X	1	1	X	BY	YELP GROAN OVERLAPPING	Y - BS?
