Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
9	Waveform 1	1	28221.725536683	28222.768250251	0.000	381.081	ST1_Site66_67653638.220517232058.wav	19.2715	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	Y	1	0	X	G		
9	Spectrogram 1	1	28221.725536683	28222.768250251	0.000	381.081	ST1_Site66_67653638.220517232058.wav	19.2715	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	Y	1	0	X	G		
10	Waveform 1	1	28406.681293266	28407.120991759	648.649	1029.730	ST1_Site66_67653638.220517232058.wav	204.2273	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	X	0	1	X	Y		
10	Spectrogram 1	1	28406.681293266	28407.120991759	648.649	1029.730	ST1_Site66_67653638.220517232058.wav	204.2273	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	X	0	1	X	Y		
11	Waveform 1	1	28415.478979493	28416.892296076	0.000	445.946	ST1_Site66_67653638.220517232058.wav	213.0250	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	Y	1	0	X	G		
11	Spectrogram 1	1	28415.478979493	28416.892296076	0.000	445.946	ST1_Site66_67653638.220517232058.wav	213.0250	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	Y	1	0	X	G		
12	Waveform 1	1	28430.709019447	28434.138667688	356.757	1662.162	ST1_Site66_67653638.220517232058.wav	228.2550	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	X	0	0	X	UNK	WEIRD	
12	Spectrogram 1	1	28430.709019447	28434.138667688	356.757	1662.162	ST1_Site66_67653638.220517232058.wav	228.2550	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517232058.wav	X	0	0	X	UNK	WEIRD	
13	Waveform 1	1	28834.021687487	28835.849576935	859.459	1556.757	ST1_Site66_67653638.220517233058.wav	31.4915	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517233058.wav	X	0	0	X	UNK		
13	Spectrogram 1	1	28834.021687487	28835.849576935	859.459	1556.757	ST1_Site66_67653638.220517233058.wav	31.4915	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517233058.wav	X	0	0	X	UNK		
14	Waveform 1	1	29687.907038442	29688.296485678	1272.973	1718.919	ST1_Site66_67653638.220517234058.wav	285.3124	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	X	0	1	y	Y		
14	Spectrogram 1	1	29687.907038442	29688.296485678	1272.973	1718.919	ST1_Site66_67653638.220517234058.wav	285.3124	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	X	0	1	y	Y		
15	Waveform 1	1	29691.399655952	29691.751414745	972.973	1913.514	ST1_Site66_67653638.220517234058.wav	288.8050	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	X	0	1	X	Y		
15	Spectrogram 1	1	29691.399655952	29691.751414745	972.973	1913.514	ST1_Site66_67653638.220517234058.wav	288.8050	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	X	0	1	X	Y		
16	Waveform 1	1	29691.996389620	29692.241364494	332.432	1313.514	ST1_Site66_67653638.220517234058.wav	289.4017	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	Y	1	0	Y	B		
16	Spectrogram 1	1	29691.996389620	29692.241364494	332.432	1313.514	ST1_Site66_67653638.220517234058.wav	289.4017	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	Y	1	0	Y	B		
17	Waveform 1	1	29692.687344394	29693.020258967	737.838	1200.000	ST1_Site66_67653638.220517234058.wav	290.0927	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	X	0	1	Y	Y		
17	Spectrogram 1	1	29692.687344394	29693.020258967	737.838	1200.000	ST1_Site66_67653638.220517234058.wav	290.0927	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	X	0	1	Y	Y		
18	Waveform 1	1	29693.903511814	29694.594466588	178.378	1727.027	ST1_Site66_67653638.220517234058.wav	291.3088	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	Y	2	1	Y	BY		
18	Spectrogram 1	1	29693.903511814	29694.594466588	178.378	1727.027	ST1_Site66_67653638.220517234058.wav	291.3088	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517234058.wav	Y	2	1	Y	BY		
19	Waveform 1	1	36414.438444174	36414.777640154	924.324	1224.324	ST1_Site66_67653638.220518013559.wav	111.2589	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
19	Spectrogram 1	1	36414.438444174	36414.777640154	924.324	1224.324	ST1_Site66_67653638.220518013559.wav	111.2589	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
20	Waveform 1	1	36415.192213019	36415.468594928	891.892	1240.541	ST1_Site66_67653638.220518013559.wav	112.0127	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
20	Spectrogram 1	1	36415.192213019	36415.468594928	891.892	1240.541	ST1_Site66_67653638.220518013559.wav	112.0127	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
21	Waveform 1	1	36416.574122566	36416.869348697	835.135	1297.297	ST1_Site66_67653638.220518013559.wav	113.3946	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
21	Spectrogram 1	1	36416.574122566	36416.869348697	835.135	1297.297	ST1_Site66_67653638.220518013559.wav	113.3946	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
22	Waveform 1	1	36418.056534627	36418.414574828	883.784	1483.784	ST1_Site66_67653638.220518013559.wav	114.8770	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
22	Spectrogram 1	1	36418.056534627	36418.414574828	883.784	1483.784	ST1_Site66_67653638.220518013559.wav	114.8770	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
23	Waveform 1	1	36418.961057240	36419.400755732	851.351	1394.595	ST1_Site66_67653638.220518013559.wav	115.7816	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
23	Spectrogram 1	1	36418.961057240	36419.400755732	851.351	1394.595	ST1_Site66_67653638.220518013559.wav	115.7816	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
24	Waveform 1	1	36419.664574828	36419.846735632	308.108	770.270	ST1_Site66_67653638.220518013559.wav	116.4851	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
24	Spectrogram 1	1	36419.664574828	36419.846735632	308.108	770.270	ST1_Site66_67653638.220518013559.wav	116.4851	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
25	Waveform 1	1	36423.169444673	36423.464670804	1110.811	1548.649	ST1_Site66_67653638.220518013559.wav	119.9899	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
25	Spectrogram 1	1	36423.169444673	36423.464670804	1110.811	1548.649	ST1_Site66_67653638.220518013559.wav	119.9899	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
26	Waveform 1	1	36426.058891910	36426.297585377	1216.216	1540.541	ST1_Site66_67653638.220518013559.wav	122.8794	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
26	Spectrogram 1	1	36426.058891910	36426.297585377	1216.216	1540.541	ST1_Site66_67653638.220518013559.wav	122.8794	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
27	Waveform 1	1	36432.227490452	36432.585530653	972.973	1313.514	ST1_Site66_67653638.220518013559.wav	129.0480	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
27	Spectrogram 1	1	36432.227490452	36432.585530653	972.973	1313.514	ST1_Site66_67653638.220518013559.wav	129.0480	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
28	Waveform 1	1	36445.281450452	36446.022656482	794.595	1224.324	ST1_Site66_67653638.220518013559.wav	142.1019	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
28	Spectrogram 1	1	36445.281450452	36446.022656482	794.595	1224.324	ST1_Site66_67653638.220518013559.wav	142.1019	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
29	Waveform 1	1	36447.530194171	36448.177179095	835.135	1289.189	ST1_Site66_67653638.220518013559.wav	144.3507	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
29	Spectrogram 1	1	36447.530194171	36448.177179095	835.135	1289.189	ST1_Site66_67653638.220518013559.wav	144.3507	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
30	Waveform 1	1	36515.304248894	36515.643444874	1118.919	1467.568	ST1_Site66_67653638.220518013559.wav	212.1248	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
30	Spectrogram 1	1	36515.304248894	36515.643444874	1118.919	1467.568	ST1_Site66_67653638.220518013559.wav	212.1248	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518013559.wav	X	0	1	X	Y		
31	Waveform 1	1	37119.106094598	37120.067149874	113.514	389.189	ST1_Site66_67653638.220518014559.wav	215.8876	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518014559.wav	X	1	0	X	G	FAINT	
31	Spectrogram 1	1	37119.106094598	37120.067149874	113.514	389.189	ST1_Site66_67653638.220518014559.wav	215.8876	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518014559.wav	X	1	0	X	G	FAINT	
32	Waveform 1	1	37228.881731508	37229.158113417	900.000	1200.000	ST1_Site66_67653638.220518015059.wav	25.6382	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
32	Spectrogram 1	1	37228.881731508	37229.158113417	900.000	1200.000	ST1_Site66_67653638.220518015059.wav	25.6382	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
33	Waveform 1	1	37232.952083266	37233.278716432	891.892	1200.000	ST1_Site66_67653638.220518015059.wav	29.7086	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
33	Spectrogram 1	1	37232.952083266	37233.278716432	891.892	1200.000	ST1_Site66_67653638.220518015059.wav	29.7086	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
34	Waveform 1	1	37233.988515427	37234.151832010	1078.378	1783.784	ST1_Site66_67653638.220518015059.wav	30.7450	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
34	Spectrogram 1	1	37233.988515427	37234.151832010	1078.378	1783.784	ST1_Site66_67653638.220518015059.wav	30.7450	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
35	Waveform 1	1	37234.377962663	37235.596555628	616.216	1167.568	ST1_Site66_67653638.220518015059.wav	31.1345	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
35	Spectrogram 1	1	37234.377962663	37235.596555628	616.216	1167.568	ST1_Site66_67653638.220518015059.wav	31.1345	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
36	Waveform 1	1	37246.490399347	37246.879846583	778.378	1175.676	ST1_Site66_67653638.220518015059.wav	43.2469	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
36	Spectrogram 1	1	37246.490399347	37246.879846583	778.378	1175.676	ST1_Site66_67653638.220518015059.wav	43.2469	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
37	Waveform 1	1	37251.125558522	37251.546412793	867.568	1208.108	ST1_Site66_67653638.220518015059.wav	47.8821	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
37	Spectrogram 1	1	37251.125558522	37251.546412793	867.568	1208.108	ST1_Site66_67653638.220518015059.wav	47.8821	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
38	Waveform 1	1	37252.312744451	37252.721035909	794.595	1208.108	ST1_Site66_67653638.220518015059.wav	49.0692	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
38	Spectrogram 1	1	37252.312744451	37252.721035909	794.595	1208.108	ST1_Site66_67653638.220518015059.wav	49.0692	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
39	Waveform 1	1	37253.700935406	37254.102945456	810.811	1151.351	ST1_Site66_67653638.220518015059.wav	50.4574	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
39	Spectrogram 1	1	37253.700935406	37254.102945456	810.811	1151.351	ST1_Site66_67653638.220518015059.wav	50.4574	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518015059.wav	X	0	1	X	Y		
40	Waveform 1	1	41154.627540905	41155.023269548	1329.730	1621.622	ST1_Site66_67653638.220518025559.wav	51.0254	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
40	Spectrogram 1	1	41154.627540905	41155.023269548	1329.730	1621.622	ST1_Site66_67653638.220518025559.wav	51.0254	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
41	Waveform 1	1	41160.238352064	41160.627799300	956.757	1313.514	ST1_Site66_67653638.220518025559.wav	56.6362	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
41	Spectrogram 1	1	41160.238352064	41160.627799300	956.757	1313.514	ST1_Site66_67653638.220518025559.wav	56.6362	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
42	Waveform 1	1	41163.454432466	41164.013477692	778.378	1256.757	ST1_Site66_67653638.220518025559.wav	59.8523	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
42	Spectrogram 1	1	41163.454432466	41164.013477692	778.378	1256.757	ST1_Site66_67653638.220518025559.wav	59.8523	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
43	Waveform 1	1	41164.465738998	41164.867749048	916.216	1313.514	ST1_Site66_67653638.220518025559.wav	60.8636	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
43	Spectrogram 1	1	41164.465738998	41164.867749048	916.216	1313.514	ST1_Site66_67653638.220518025559.wav	60.8636	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
44	Waveform 1	1	41165.508452566	41166.356442516	835.135	1216.216	ST1_Site66_67653638.220518025559.wav	61.9063	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
44	Spectrogram 1	1	41165.508452566	41166.356442516	835.135	1216.216	ST1_Site66_67653638.220518025559.wav	61.9063	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
45	Waveform 1	1	41166.796141008	41167.399156084	818.919	1159.459	ST1_Site66_67653638.220518025559.wav	63.1940	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
45	Spectrogram 1	1	41166.796141008	41167.399156084	818.919	1159.459	ST1_Site66_67653638.220518025559.wav	63.1940	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518025559.wav	X	0	1	X	Y		
46	Waveform 1	1	44485.867338794	44486.124876482	851.351	1216.216	ST1_Site66_67653638.220518035059.wav	81.9820	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035059.wav	X	0	1	X	Y		
46	Spectrogram 1	1	44485.867338794	44486.124876482	851.351	1216.216	ST1_Site66_67653638.220518035059.wav	81.9820	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035059.wav	X	0	1	X	Y		
47	Waveform 1	1	44486.627389045	44487.104775980	802.703	1110.811	ST1_Site66_67653638.220518035059.wav	82.7421	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035059.wav	X	0	1	X	Y		
47	Spectrogram 1	1	44486.627389045	44487.104775980	802.703	1110.811	ST1_Site66_67653638.220518035059.wav	82.7421	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035059.wav	X	0	1	X	Y		
48	Waveform 1	1	44741.830079667	44743.639124893	745.946	1759.459	ST1_Site66_67653638.220518035559.wav	37.9299	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035559.wav	X	0	2	X	Y		
48	Spectrogram 1	1	44741.830079667	44743.639124893	745.946	1759.459	ST1_Site66_67653638.220518035559.wav	37.9299	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035559.wav	X	0	2	X	Y		
49	Waveform 1	1	44746.993396250	44747.602692732	940.541	1427.027	ST1_Site66_67653638.220518035559.wav	43.0932	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035559.wav	X	0	1	X	Y		
49	Spectrogram 1	1	44746.993396250	44747.602692732	940.541	1427.027	ST1_Site66_67653638.220518035559.wav	43.0932	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035559.wav	X	0	1	X	Y		
50	Waveform 1	1	44889.023050302	44889.293150804	948.649	1305.405	ST1_Site66_67653638.220518035559.wav	185.1229	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035559.wav	X	0	1	X	Y		
50	Spectrogram 1	1	44889.023050302	44889.293150804	948.649	1305.405	ST1_Site66_67653638.220518035559.wav	185.1229	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518035559.wav	X	0	1	X	Y		
51	Waveform 1	1	51317.845545276	51318.266399548	940.541	1256.757	ST1_Site66_67653638.220518054559.wav	14.0869	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
51	Spectrogram 1	1	51317.845545276	51318.266399548	940.541	1256.757	ST1_Site66_67653638.220518054559.wav	14.0869	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
52	Waveform 1	1	51392.676977940	51393.022455327	924.324	1183.784	ST1_Site66_67653638.220518054559.wav	88.9183	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
52	Spectrogram 1	1	51392.676977940	51393.022455327	924.324	1183.784	ST1_Site66_67653638.220518054559.wav	88.9183	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
53	Waveform 1	1	51395.327731709	51395.723460352	940.541	1264.865	ST1_Site66_67653638.220518054559.wav	91.5691	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
53	Spectrogram 1	1	51395.327731709	51395.723460352	940.541	1264.865	ST1_Site66_67653638.220518054559.wav	91.5691	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
54	Waveform 1	1	51463.091379347	51463.487107990	1070.270	1378.378	ST1_Site66_67653638.220518054559.wav	159.3327	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
54	Spectrogram 1	1	51463.091379347	51463.487107990	1070.270	1378.378	ST1_Site66_67653638.220518054559.wav	159.3327	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
55	Waveform 1	1	51464.190625578	51464.536102965	1159.459	1427.027	ST1_Site66_67653638.220518054559.wav	160.4320	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
55	Spectrogram 1	1	51464.190625578	51464.536102965	1159.459	1427.027	ST1_Site66_67653638.220518054559.wav	160.4320	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
56	Waveform 1	1	51481.475367940	51481.789438291	413.514	745.946	ST1_Site66_67653638.220518054559.wav	177.7167	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
56	Spectrogram 1	1	51481.475367940	51481.789438291	413.514	745.946	ST1_Site66_67653638.220518054559.wav	177.7167	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
57	Waveform 1	1	51487.929652161	51488.256285327	413.514	737.838	ST1_Site66_67653638.220518054559.wav	184.1710	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
57	Spectrogram 1	1	51487.929652161	51488.256285327	413.514	737.838	ST1_Site66_67653638.220518054559.wav	184.1710	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518054559.wav	X	0	1	X	Y		
58	Waveform 1	1	55242.313814925	55242.590196834	510.811	794.595	ST1_Site66_67653638.220518065059.wav	38.2071	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
58	Spectrogram 1	1	55242.313814925	55242.590196834	510.811	794.595	ST1_Site66_67653638.220518065059.wav	38.2071	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
59	Waveform 1	1	55245.203262161	55245.485925477	600.000	948.649	ST1_Site66_67653638.220518065059.wav	41.0966	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
59	Spectrogram 1	1	55245.203262161	55245.485925477	600.000	948.649	ST1_Site66_67653638.220518065059.wav	41.0966	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
60	Waveform 1	1	55267.736566382	55268.151139246	494.595	794.595	ST1_Site66_67653638.220518065059.wav	63.6299	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
60	Spectrogram 1	1	55267.736566382	55268.151139246	494.595	794.595	ST1_Site66_67653638.220518065059.wav	63.6299	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
61	Waveform 1	1	55295.301229196	55295.690676432	535.135	859.459	ST1_Site66_67653638.220518065059.wav	91.1946	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
61	Spectrogram 1	1	55295.301229196	55295.690676432	535.135	859.459	ST1_Site66_67653638.220518065059.wav	91.1946	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
62	Waveform 1	1	55492.972733568	55493.512934573	778.378	1337.838	ST1_Site66_67653638.220518065059.wav	288.8661	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
62	Spectrogram 1	1	55492.972733568	55493.512934573	778.378	1337.838	ST1_Site66_67653638.220518065059.wav	288.8661	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220518065059.wav	X	0	1	X	Y		
