	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
20	20	22	Spectrogram 1	1	20253.148461852	20253.468813611	8.287	464.088	ST3_Site11_67371018.220514211654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211654.wav	0.3204	151.3275	Y	1	0	X	B		
21	21	23	Spectrogram 1	1	20254.078110093	20254.42358748	66.298	505.525	ST3_Site11_67371018.220514211654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211654.wav	0.3455	152.2571	Y	1	0	X	B		
22	22	24	Spectrogram 1	1	20958.708670251	20959.324248141	58.011	2411.602	ST3_Site11_67371018.220514212654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514212654.wav	0.6156	256.8418	Y	1	1	X	BY		
23	23	25	Spectrogram 1	1	20964.081033266	20964.43279206	886.74	1259.669	ST3_Site11_67371018.220514212654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514212654.wav	0.3518	262.2142	X	0	1	X	Y		
24	24	26	Spectrogram 1	1	20985.990190302	20987.786672714	687.845	1558.011	ST3_Site11_67371018.220514212654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514212654.wav	1.7965	284.1234	X	0	3	X	BY		
25	25	27	Spectrogram 1	1	20993.13477593	20993.436283467	886.74	1292.818	ST3_Site11_67371018.220514212654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514212654.wav	0.3015	291.2679	X	0	1	X	Y		
26	26	28	Spectrogram 1	1	20997.82081179	20998.078349478	1044.199	1574.586	ST3_Site11_67371018.220514212654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514212654.wav	0.2575	295.954	X	0	1	X	Y		
27	27	29	Spectrogram 1	1	20999.462993191	20999.707968066	8.287	1201.657	ST3_Site11_67371018.220514212654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514212654.wav	0.245	297.5962	Y	1	0	X	B		
28	28	30	Spectrogram 1	1	21011.734507337	21012.563653065	779.006	1425.414	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.8291	9.8307	X	0	4	X	Y		
29	29	31	Spectrogram 1	1	21023.434274649	21024.081259574	886.74	1500.0	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.647	21.5304	X	0	1	X	Y		
30	30	32	Spectrogram 1	1	21024.583772136	21024.828747011	16.575	1806.63	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.245	22.6799	Y	1	0	X	B		
31	31	33	Spectrogram 1	1	21042.962964523	21043.226783618	0.0	1350.829	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.2638	41.0591	Y	1	0	X	B		
32	32	34	Spectrogram 1	1	21050.586288894	21050.881515025	969.613	1441.989	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.2952	48.6825	X	0	1	X	Y		
33	33	35	Spectrogram 1	1	21072.72782794	21073.513003819	0.0	381.215	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.7852	70.824	Y	1	0	X	G		
34	34	36	Spectrogram 1	1	21086.452806055	21086.616122638	613.26	779.006	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.1633	84.549	X	0	1	X	Y		
35	35	37	Spectrogram 1	1	21087.652554799	21087.979187965	505.525	944.751	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.3266	85.7487	X	0	1	X	Y		
36	36	38	Spectrogram 1	1	21088.670142739	21088.85858495	480.663	928.177	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.1884	86.7663	X	0	1	X	Y		
37	37	39	Spectrogram 1	1	21090.466625151	21090.730444246	588.398	1027.624	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.2638	88.5628	X	0	1	X	Y		
38	38	40	Spectrogram 1	1	21091.138735704	21091.383710578	488.95	961.326	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.245	89.2349	X	0	1	X	Y		
39	39	41	Spectrogram 1	1	21093.060846256	21093.261851281	439.227	853.591	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.201	91.157	X	0	1	X	Y		
40	40	42	Spectrogram 1	1	21089.518132688	21089.813358819	546.961	1127.072	ST3_Site11_67371018.220514213154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514213154.wav	0.2952	87.6143	X	0	1	X	Y		
41	41	43	Spectrogram 1	1	21659.94752608	21660.443757236	621.547	1168.508	ST3_Site11_67371018.220514214154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514214154.wav	0.4962	58.0154	X	0	1	X	Y		
42	42	44	Spectrogram 1	1	21985.204626307	21985.424475553	8.287	629.834	ST3_Site11_67371018.220514214654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514214654.wav	0.2198	83.2301	Y	1	0	X	B		
43	43	45	Spectrogram 1	1	21985.732264497	21985.952113744	0.0	530.387	ST3_Site11_67371018.220514214654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514214654.wav	0.2198	83.7578	Y	1	0	X	B		
44	44	46	Spectrogram 1	1	21986.530003191	21986.85035495	0.0	629.834	ST3_Site11_67371018.220514214654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514214654.wav	0.3204	84.5555	Y	1	0	X	B		
45	45	47	Spectrogram 1	1	24395.551797638	24395.777928291	712.707	1209.945	ST3_Site11_67371018.220514222654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514222654.wav	0.2261	93.378	X	0	1	X	Y		
46	46	48	Spectrogram 1	1	25595.37841608	25595.598265327	530.387	853.591	ST3_Site11_67371018.220514224654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514224654.wav	0.2198	93.1338	X	0	1	X	Y		
47	47	49	Spectrogram 1	1	26485.359969237	26485.75569788	41.436	430.939	ST3_Site11_67371018.220514230154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514230154.wav	0.3957	83.0293	Y	1	0	X	G		
48	48	50	Spectrogram 1	1	26486.622532051	26487.093637578	0.0	339.779	ST3_Site11_67371018.220514230154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514230154.wav	0.4711	84.2919	Y	1	0	X	G		
49	49	51	Spectrogram 1	1	28128.308157296	28129.049363327	0.0	430.939	ST3_Site11_67371018.220514232654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514232654.wav	0.7412	225.8098	Y	1	0	X	G		
50	50	52	Spectrogram 1	1	28129.859664834	28130.544338201	8.287	381.215	ST3_Site11_67371018.220514232654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514232654.wav	0.6847	227.3613	Y	1	0	X	G		
51	51	53	Spectrogram 1	1	28713.008895494	28713.297840218	720.994	1060.773	ST3_Site11_67371018.220514233654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514233654.wav	0.2889	210.4847	X	0	1	X	Y		
52	52	54	Spectrogram 1	1	31235.636663116	31235.843949548	770.718	1218.232	ST3_Site11_67371018.220515002154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515002154.wav	0.2073	32.8872	X	0	1	X	Y		
53	53	55	Spectrogram 1	1	34273.246988894	34273.491963769	911.602	1218.232	ST3_Site11_67371018.220515011154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515011154.wav	0.245	70.2818	X	0	1	X	Y		
54	54	56	Spectrogram 1	1	36076.342891005	36076.71349402	770.718	1524.862	ST3_Site11_67371018.220515014154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515014154.wav	0.3706	73.2321	X	0	1	X	Y		
55	55	57	Spectrogram 1	1	37053.088071558	37053.534051457	671.271	986.188	ST3_Site11_67371018.220515015654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515015654.wav	0.446	149.8447	X	0	1	X	Y		
56	56	58	Spectrogram 1	1	37195.480908148	37195.719601616	1093.923	1475.138	ST3_Site11_67371018.220515015654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515015654.wav	0.2387	292.2376	X	0	1	X	Y		
57	57	59	Spectrogram 1	1	38455.303542918	38455.906557994	704.42	1143.646	ST3_Site11_67371018.220515022154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515022154.wav	0.603	51.9354	X	0	1	X	Y		
58	58	60	Spectrogram 1	1	38899.374919753	38899.601050406	1475.138	1914.365	ST3_Site11_67371018.220515022654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515022654.wav	0.2261	196.0134	X	0	1	X	Y		
59	59	61	Spectrogram 1	1	38899.996779049	38901.070899652	1019.337	2801.105	ST3_Site11_67371018.220515022654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515022654.wav	1.0741	196.6353	X	0	3	X	Y		
60	60	62	Spectrogram 1	1	38901.378688597	38902.044517743	0.0	2353.591	ST3_Site11_67371018.220515022654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515022654.wav	0.6658	198.0172	Y	1	2	X	BY		
61	61	63	Spectrogram 1	1	40729.196742764	40729.548501558	696.133	1234.807	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.3518	225.6757	X	0	1	X	Y		
62	62	64	Spectrogram 1	1	40729.730662362	40730.044732714	812.155	1234.807	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.3141	226.2097	X	0	1	X	Y		
63	63	65	Spectrogram 1	1	40731.043476432	40731.40779804	812.155	1185.083	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.3643	227.5225	X	0	1	X	Y		
64	64	66	Spectrogram 1	1	40732.915335729	40733.254531709	687.845	1160.221	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.3392	229.3943	X	0	1	X	Y		
65	65	67	Spectrogram 1	1	40733.317345779	40733.606290503	803.867	1234.807	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.2889	229.7963	X	0	1	X	Y		
66	66	68	Spectrogram 1	1	40733.90779804	40734.297245276	787.293	1251.381	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.3894	230.3868	X	0	1	X	Y		
67	67	69	Spectrogram 1	1	40734.806039246	40735.019607085	762.431	1085.635	ST3_Site11_67371018.220515025654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515025654.wav	0.2136	231.285	X	0	1	X	Y		
68	68	70	Spectrogram 1	1	40904.821268141	40905.110212864	762.431	1135.359	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2889	101.2378	X	0	1	X	Y		
69	69	71	Spectrogram 1	1	40906.002172663	40906.322524422	662.983	1160.221	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.3204	102.4187	X	0	1	X	Y		
70	70	72	Spectrogram 1	1	40907.227047035	40907.453177688	704.42	977.901	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2261	103.6436	X	0	1	X	Y		
71	71	73	Spectrogram 1	1	40907.798655075	40908.188102312	754.144	1027.624	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.3894	104.2152	X	0	1	X	Y		
72	72	74	Spectrogram 1	1	40908.879057085	40909.073780704	803.867	1193.37	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.1947	105.2956	X	0	1	X	Y		
73	73	75	Spectrogram 1	1	40909.318755578	40909.651670151	787.293	1243.094	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.3329	105.7353	X	0	1	X	Y		
74	74	76	Spectrogram 1	1	40911.661720402	40911.894132462	712.707	1218.232	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2324	108.0782	X	0	1	X	Y		
75	75	77	Spectrogram 1	1	40917.109583266	40917.39852799	754.144	1093.923	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2889	113.5261	X	0	1	X	Y		
76	76	78	Spectrogram 1	1	40917.725161156	40917.97013603	812.155	1143.646	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.245	114.1417	X	0	1	X	Y		
77	77	79	Spectrogram 1	1	40926.880600075	40927.131856357	654.696	1102.21	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2513	123.2971	X	0	1	X	Y		
78	78	80	Spectrogram 1	1	40928.337886508	40928.67080108	638.122	969.613	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.3329	124.7544	X	0	1	X	Y		
79	79	81	Spectrogram 1	1	40931.265022186	40931.560248317	828.729	1176.796	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2952	127.6815	X	0	1	X	Y		
80	80	82	Spectrogram 1	1	40931.811504598	40932.087886508	812.155	1193.37	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2764	128.228	X	0	1	X	Y		
81	81	83	Spectrogram 1	1	40932.527585	40932.69718299	820.442	1085.635	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.1696	128.9441	X	0	1	X	Y		
82	82	84	Spectrogram 1	1	40933.011253342	40933.281353844	795.58	1218.232	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2701	129.4278	X	0	1	X	Y		
83	83	85	Spectrogram 1	1	41010.660116608	41010.936498518	770.718	1143.646	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2764	207.0766	X	0	1	X	Y		
84	84	86	Spectrogram 1	1	41011.244287462	41011.545795	803.867	1052.486	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.3015	207.6608	X	0	1	X	Y		
85	85	87	Spectrogram 1	1	41013.486749774	41013.731724648	779.006	1077.348	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.245	209.9033	X	0	1	X	Y		
86	86	88	Spectrogram 1	1	41014.121171884	41014.372428166	621.547	1110.497	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2513	210.5377	X	0	1	X	Y		
87	87	89	Spectrogram 1	1	41014.717905553	41014.862377915	779.006	1052.486	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.1445	211.1344	X	0	1	X	Y		
88	88	90	Spectrogram 1	1	41015.283232186	41015.477955804	770.718	986.188	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.1947	211.6997	X	0	1	X	Y		
89	89	91	Spectrogram 1	1	41016.640016106	41016.815895503	812.155	1168.508	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.1759	213.0565	X	0	1	X	Y		
90	90	92	Spectrogram 1	1	41017.155091482	41017.418910578	696.133	1193.37	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2638	213.5716	X	0	1	X	Y		
91	91	93	Spectrogram 1	1	41019.981775628	41020.207906281	563.536	1011.05	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2261	216.3983	X	0	1	X	Y		
92	92	94	Spectrogram 1	1	41020.515695226	41020.810921357	613.26	1019.337	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2952	216.9322	X	0	1	X	Y		
93	93	95	Spectrogram 1	1	41021.244338442	41021.54584598	745.856	1135.359	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.3015	217.6608	X	0	1	X	Y		
94	94	96	Spectrogram 1	1	41022.05463995	41022.34986608	729.282	1093.923	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2952	218.4711	X	0	1	X	Y		
95	95	97	Spectrogram 1	1	41025.421474121	41025.685293216	662.983	1110.497	ST3_Site11_67371018.220515030154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515030154.wav	0.2638	221.838	X	0	1	X	Y		
96	96	98	Spectrogram 1	1	44984.475286231	44984.783075176	745.856	1160.221	ST3_Site11_67371018.220515040655.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515040655.wav	0.3078	280.5921	X	0	1	X	Y		
97	97	99	Spectrogram 1	1	45689.283154196	45689.622350176	571.823	1011.05	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.3392	85.2635	X	0	1	X	Y		
98	98	100	Spectrogram 1	1	45694.798994975	45695.489949749	505.525	928.177	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.691	90.7793	X	0	1	X	Y		
99	99	101	Spectrogram 1	1	45699.412946268	45699.802393505	538.674	1939.227	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.3894	95.3933	X	0	1	X	Y		
100	100	102	Spectrogram 1	1	45708.485454824	45708.774399548	613.26	886.74	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.2889	104.4658	X	0	1	X	Y		
101	101	103	Spectrogram 1	1	45729.836380603	45730.35145598	513.812	986.188	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.5151	125.8167	X	0	1	X	Y		
102	102	104	Spectrogram 1	1	45750.545108894	45750.827772211	464.088	953.039	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.2827	146.5254	X	0	1	X	Y		
103	103	105	Spectrogram 1	1	45778.383741859	45778.779470503	563.536	1591.16	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.3957	174.3641	X	0	1	X	Y		
104	104	106	Spectrogram 1	1	45808.956917329	45809.874002756	0.0	1209.945	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.9171	204.9373	Y	1	1	X	BY		
105	105	107	Spectrogram 1	1	45816.664880934	45817.104579427	820.442	1259.669	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.4397	212.6452	X	0	1	X	Y		
106	106	108	Spectrogram 1	1	45817.004076914	45819.177443748	24.862	497.238	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	2.1734	212.9844	Y	1	0	X	G		
107	107	109	Spectrogram 1	1	45823.114978977	45823.466737771	828.729	1151.934	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	0.3518	219.0953	X	0	1	X	Y		
108	108	110	Spectrogram 1	1	45827.564866742	45829.160344129	0.0	455.801	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	1.5955	223.5452	Y	1	0	X	G		
109	109	111	Spectrogram 1	1	45831.147920336	45832.730834909	0.0	381.215	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	1.5829	227.1283	Y	1	0	X	G		
110	110	112	Spectrogram 1	1	45835.017041977	45836.530861072	33.149	530.387	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	1.5138	230.9974	Y	1	0	X	G		
111	111	113	Spectrogram 1	1	45839.164272194	45840.495930486	0.0	472.376	ST3_Site11_67371018.220515042155.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220515042155.wav	1.3317	235.1446	Y	1	0	X	G		
