Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	NEW analysis	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
18	Spectrogram 1	1	2308.006666667	2308.340266667	0.3336	208.7970	517.600	1324.700	761.719	1208533023.050113235015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050113235015.wav	10.32	Y	bark		AR								X	0	1	Y	Y	-	HF beluga overlap	
19	Spectrogram 1	1	60.250500000	60.501756300	0.2513	60.2505	117.359	1422.983	890.625	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	14.97												Y	1	0	X	B	2		
20	Spectrogram 1	1	60.602200000	60.884863300	0.2827	60.6022	132.029	1422.983	1078.125	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	13.07												Y	1	0	X	B	2		
21	Spectrogram 1	1	61.016800000	61.312026200	0.2952	61.0168	132.029	1430.318	451.172	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	12.97												X	1	0	X	B	2	TOO FAINT	
22	Spectrogram 1	1	61.594700000	61.908770300	0.3141	61.5947	117.359	1422.983	562.500	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	13.46												Y	1	0	X	B	2		
23	Spectrogram 1	1	592.084566667	596.063354867	3.9788	292.1719	205.379	1283.619	498.047	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	13.66												Y	8	9	X	B	3		
25	Spectrogram 1	1	597.340566667	599.652124467	2.3116	297.4279	176.039	1320.293	480.469	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	14.36												Y	7	6	X	BY	3		
26	Spectrogram 1	1	702.733366667	703.286130667	0.5528	102.9837	80.685	894.866	603.516	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.55												Y	1	1	X	BY	4		
27	Spectrogram 1	1	703.480866667	704.065037667	0.5842	103.7312	80.685	946.210	210.938	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.54												Y	1	1	X	BY	4		
28	Spectrogram 1	1	704.134066667	704.661704667	0.5276	104.3844	80.685	1012.225	87.891	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.01												Y	1	1	X	BY	4		
29	Spectrogram 1	1	704.762266667	705.390407667	0.6281	105.0126	95.355	1004.890	169.922	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	12.40												Y	1	1	X	BY	4		
30	Spectrogram 1	1	707.940666667	708.587651667	0.6470	108.1910	726.161	1078.240	855.469	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	9.28												X	0	2	X	Y	4		
31	Spectrogram 1	1	710.453166667	711.225779667	0.7726	110.7035	652.812	1276.284	761.719	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	10.84												X	0	2	X	Y	4		
32	Spectrogram 1	1	725.082266667	725.766939667	0.6847	125.3326	44.010	902.200	210.938	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	15.00												Y	2	0	X	B	5	FAINT	
33	Spectrogram 1	1	727.494266667	727.808336667	0.3141	127.7446	51.345	968.215	158.203	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	15.47												Y	1	0	X	B	5		
34	Spectrogram 1	1	728.442766667	729.127439667	0.6847	128.6931	58.680	1048.900	152.344	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.68												Y	1	1	X	BY	5		
35	Spectrogram 1	1	729.221666667	729.548299667	0.3266	129.4720	66.015	1026.895	263.672	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	15.06												Y	1	0	X	B	5		
36	Spectrogram 1	1	730.553366667	730.911407667	0.3580	130.8037	51.345	1063.570	251.953	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.43												Y	1	0	X	B	5		
37	Spectrogram 1	1	735.318666667	736.242033667	0.9234	135.5690	7.335	946.210	11.719	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	15.28												Y	1	2	X	BY	5	FAINT	
38	Spectrogram 1	1	738.503266667	741.449246667	2.9460	138.7536	44.010	1012.225	70.312	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.68												Y	4	4	X	BY	5		
40	Spectrogram 1	1	900.996000000	901.435699000	0.4397	1.3360	183.824	1602.941	275.391	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.56												Y	2	0	X	B	6		
41	Spectrogram 1	1	907.610000000	908.903969000	1.2940	7.9500	44.118	1117.647	292.969	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.88												Y	3	2	X	BY	6		
42	Spectrogram 1	1	917.674096946	917.913542441	0.2394	18.0141	36.765	1102.941	64.453	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	16.78												Y	1	0	X	B	-	Not prev annotated	Y
43	Spectrogram 1	1	919.457335762	919.703082454	0.2457	19.7973	29.412	1051.471	322.266	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	17.84												Y	1	0	X	B	-	Not prev annotated	Y
44	Spectrogram 1	1	920.144166260	920.415117740	0.2710	20.4842	51.471	1044.118	339.844	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.98												Y	1	0	X	B	-	Not prev annotated	Y
45	Spectrogram 1	1	922.878885856	923.212849309	0.3340	23.2189	44.118	1323.529	52.734	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.10												Y	1	0	X	B	-	Not prev annotated	Y
46	Spectrogram 1	1	930.990434090	931.431517896	0.4411	31.3304	51.471	1566.176	87.891	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.64												Y	2	0	X	B	-	Not prev annotated	Y
47	Spectrogram 1	1	1464.128466667	1464.346247996	0.2178	264.5628	286.765	1250.000	468.750	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.80												Y	1	0	X	B	7		
48	Spectrogram 1	1	1467.498366667	1470.154458667	2.6561	267.9327	286.765	1566.176	492.188	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.50												Y	4	4	X	BY	7	FAINT	
49	Spectrogram 1	1	1474.217566667	1475.168073667	0.9505	274.6519	279.412	1294.118	990.234	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.32												Y	1	1	X	BY	7		
50	Spectrogram 1	1	1478.812666667	1480.109621667	1.2970	279.2470	73.529	1669.118	1037.109	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	14.28												Y	2	1	X	BY	8		
51	Spectrogram 1	1	1477.230166667	1477.638796667	0.4086	277.6645	830.882	1250.000	966.797	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	13.43												X	0	1	X	Y	8		
52	Spectrogram 1	1	1481.041066667	1481.449695667	0.4086	281.4754	911.765	1205.882	1048.828	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.76												X	0	1	X	Y	8		
53	Spectrogram 1	1	1484.647666667	1485.056295667	0.4086	285.0820	860.294	1272.059	1078.125	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	14.76												X	0	1	X	Y	8		
54	Spectrogram 1	1	1488.886266667	1489.294895667	0.4086	289.3206	860.294	1279.412	1119.141	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.06												X	0	1	X	Y	8		
55	Spectrogram 1	1	1491.276966667	1493.257931667	1.9810	291.7113	242.647	1522.059	1083.984	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.18												Y	2	3	X	BY	9		
56	Spectrogram 1	1	1496.463866667	1498.133917667	1.6701	296.8982	955.882	1463.235	1189.453	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	10.48												X	0	2	X	Y	9		
57	Spectrogram 1	1	1498.366466667	1499.179799539	0.8133	298.8008	242.647	1500.000	603.516	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	13.46												Y	2	1	X	BY	9		
60	Spectrogram 1	1	1732.639233333	1733.261060333	0.6218	233.1199	125.000	1742.647	679.688	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	15.07												Y	1	1	X	BY	10		
61	Spectrogram 1	1	1738.544015588	1738.796063477	0.2520	239.0247	139.706	1485.294	451.172	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	13.82												Y	1	0	X	B	10		
62	Spectrogram 1	1	1742.015975260	1742.406649488	0.3907	242.4966	117.647	1625.000	509.766	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	15.84												Y	1	0	X	B	10		
63	Spectrogram 1	1	1744.923233333	1745.589477333	0.6662	245.4039	147.059	1580.882	509.766	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	14.76												Y	1	1	Y	BY	10	faint overlap w bearded seal	
64	Spectrogram 1	1	1754.472566176	1754.938854771	0.4663	254.9532	139.706	1536.765	527.344	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	15.89												Y	1	1	Y	BY	10		
69	Spectrogram 1	1	736.828566667	737.654708667	0.8261	137.0789	62.392	1029.464	70.312	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.01												Y	1	1	X	BY	5		
70	Spectrogram 1	1	62.114389193	62.958749622	0.8444	62.1144	109.551	1348.315	123.047	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	13.20												X	1	1	X	BY	2	Too faint	
71	Spectrogram 1	1	588.461592342	590.326746721	1.8652	288.5489	202.247	1407.303	1166.016	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	12.57												X	3	4	X	BY	3	TOO FAINT	
72	Spectrogram 1	1	590.484276652	591.429456236	0.9452	290.5716	783.708	1306.180	1089.844	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	12.13												X	0	2	X	Y	3		
73	Spectrogram 1	1	596.427295420	596.817969648	0.3907	296.5146	775.281	1179.775	960.938	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	11.82	X											X	0	1	X	Y	3		
74	Spectrogram 1	1	718.017540809	724.016280569	5.9987	118.2679	471.910	1255.618	808.594	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	10.70												X	0	5	X	Y	5		
75	Spectrogram 1	1	900.157634353	900.630224145	0.4726	0.4976	564.607	1786.517	685.547	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	11.71												X	0	1	X	Y	6		
76	Spectrogram 1	1	903.125498247	904.908737062	1.7832	3.4655	480.337	1053.371	609.375	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	12.29												X	0	3	X	Y	6		
77	Spectrogram 1	1	906.979332302	907.388910122	0.4096	7.3193	480.337	1862.360	691.406	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	13.63												X	0	1	X	Y	6		
78	Spectrogram 1	1	909.123585384	909.520560809	0.3970	9.4636	564.607	1019.663	732.422	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	12.44												X	0	1	X	Y	6		
79	Spectrogram 1	1	911.070655327	912.091449278	1.0208	11.4106	353.933	1112.360	644.531	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	12.25												X	0	2	X	Y	6		
80	Spectrogram 1	1	912.847592945	913.162652807	0.3151	13.1876	539.326	935.393	644.531	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	13.31												X	0	1	X	Y	-	Not prev annotated	
81	Spectrogram 1	1	2615.008440454	2615.228982357	0.2205	215.8164	151.685	1205.056	339.844	1208533023.050207105015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050207105015.wav	13.13												Y	1	0	X	B	12		
82	Spectrogram 1	1	2615.859102079	2616.073342785	0.2142	216.6671	193.820	1272.472	339.844	1208533023.050207105015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050207105015.wav	12.28												Y	1	0	X	B	12		
83	Spectrogram 1	1	1464.648705463	1465.114994057	0.4663	265.0830	278.090	1415.730	480.469	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.98												Y	1	1	X	BY	7		
