Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	KZ Keep? (Y/X/M)	Number of Barks - KZ	Number of Yelps - KZ	Overlap W Other Species - KZ	KZ Comment	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment
1627	Spectrogram 1	1	11844.773333333	11852.155333333	7.3820	147.8270	186.200	659.600	375.000	1208795168.700804144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	14.02	X	13	?	Y	Overlapping with bearded seals	Y	"bark, yelp"	BS	ND	RS	medium			RS	
1636	Spectrogram 1	1	12031.008333333	12031.413484087	0.4052	34.1340	57.803	520.400	58.594	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	22.66	X	1	0	Y	Overlapping with bearded seals	Y	bark	with BS	ND	RS				RS	
1637	Spectrogram 1	1	12042.273333333	12044.092333333	1.8190	45.3990	175.200	1035.400	351.562	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	17.59	X	8	0	Y	Overlapping with bearded seals	Y	bark	series with BS overlap	ND	RS				RS	
1638	Spectrogram 1	1	12058.127333333	12060.872333333	2.7450	61.2530	154.000	584.100	363.281	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	16.05	X	12	0	Y	Overlapping with bearded seals	Y	bark	series with BS overlap	ND	RS					
1822	Spectrogram 1	1	13163.232333333	13169.383333333	6.1510	266.7180	59.700	678.100	70.312	1208795168.700810174318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810174318.wav	18.62	X	8	0	Y	Overlap under 1kHz, very loud bearded seal	Y	bark	overlap with BS	ND	RS					
1829	Spectrogram 1	1	13480.792000000	13481.155000000	0.3630	284.3760	65.100	542.500	70.312	1208795168.700810214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810214318.wav	17.98	X	1	0	Y	Overlapping with bearded seals	Y	bark	keep for detector?	ND	RS				Y	
1932	Spectrogram 1	1	13584.556666667	13586.447666667	1.8910	88.2420	159.000	2427.600	1019.531	1208795168.700814124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700814124318.wav	15.80	X	0	5	N	Yelps only	Y	"bark, yelp"	Mostly yelps. Is there a bark?	ND	RS				Y	
3508	Spectrogram 1	1	13864.142666667	13866.015666667	1.8730	67.9690	99.700	1288.300	292.969	1208795168.700820024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700820024318.wav	13.17	X	3	0	Y	Overlapping with bearded seals	Y	"bark, yelp"		ND	RS					
5728	Spectrogram 1	1	14165.688666667	14170.067666667	4.3790	69.6080	151.500	1200.000	152.344	1208795168.700826074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700826074318.wav	13.58	X	11	?	N	Too faint - add to future training sets	Y	"bark, yelp"	very faint	ND	RS				RS	
6308	Spectrogram 1	1	14455.844000000	14457.437000000	1.5930	59.8430	72.100	961.538	140.625	1208795168.700829094318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829094318.wav	15.50	X	4	0	N	TOO FAINT	Y	bark		ND	RS				RS	
8725	Spectrogram 1	1	15500.221000000	15514.143000000	13.9220	204.6010	107.800	838.300	117.188	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	14.28	X	12	2	Y	Overlap under 1kHz	Y	bark	with overlapping BS	ND	RS					
9289	Spectrogram 1	1	16365.057166667	16365.876890286	0.8197	169.6975	12.000	1227.500	23.438	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	20.74	X	1	1	Y	Overlapping under 1kHz	Y	"bark, yelp"	with overlapping BS	ND	RS					
9311	Spectrogram 1	1	16999.797333333	17001.619333333	1.8220	204.5960	77.800	371.300	117.188	1208795168.700904224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904224318.wav	13.98	X	4	?	Y	Overlap under 1kHz	Y	bark	I can't hear them because of the BS overlap	ND	RS					
9496	Spectrogram 1	1	17251.413333333	17265.573333333	14.1600	156.2230	235.300	1200.000	433.594	1208795168.700905174318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905174318.wav	15.50	X	5	?	Y	Overlap under 1kHz	Y	"bark, yelp"	very overlapped with BS. the detector will struggle with it because of the BS!	ND	RS				Y	But the detector will struggle with it because of the BS!
10721	Spectrogram 1	1	17601.132200000	17601.358330654	0.2261	205.9982	152.400	982.300	339.844	1208795168.700911064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700911064318.wav	14.39	X	1	0	Y	Overlap under 1kHz	Y	bark	one at beginning and two at the end of a long selection masked by BS	ND	RS					
25813	Spectrogram 1	1	2038.659900000	2039.017940201	0.3580	239.1259	49.861	1321.330	58.594	1208795168.700423114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	14.33	X	0	1	N	Yelp only	Y									
25819	Spectrogram 1	1	4316.308166667	4316.502890285	0.1947	117.4125	49.861	1038.781	58.594	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	15.80	X	0	1	N	Yelp only	Y									
25820	Spectrogram 1	1	4317.658666667	4317.859671692	0.2010	118.7630	24.931	947.368	35.156	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	15.98	X	0	1	N	Yelp only	Y									
25834	Spectrogram 1	1	5157.336033333	5157.976736850	0.6407	58.5457	24.931	1238.227	35.156	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.11	X	1	1	N	split from 448, TOO FAINT										
25835	Spectrogram 1	1	5159.565133333	5159.935736348	0.3706	60.7748	0.000	1279.778	11.719	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	21.15	X	1	0	Y	Loud overlap w bearded seals										
25837	Spectrogram 1	1	5912.623700000	5913.276966332	0.6533	213.9197	8.310	980.609	11.719	1208795168.700528084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	17.60	X	0	3	N	YELPS ONLY	Y									
25839	Spectrogram 1	1	6009.386766667	6009.735384757	0.3486	10.8311	49.861	1412.742	58.594	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	15.47	X	1	0	N	Probably not a bark										
25842	Spectrogram 1	1	6003.318966667	6003.535675209	0.2167	4.7633	639.889	1080.332	773.438	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	12.73	X	0	1	N	YELP ONLY	Y									
25843	Spectrogram 1	1	6008.152466667	6008.369175210	0.2167	9.5968	756.233	972.299	890.625	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	13.78	X	0	1	N	YELP ONLY	Y									
25844	Spectrogram 1	1	6010.385566667	6011.365466165	0.9799	11.8299	41.551	1304.709	46.875	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	16.15	X	0	2	N	Yelp only	Y									
25850	Spectrogram 1	1	6919.677900000	6919.988829648	0.3109	21.2959	74.792	2443.213	492.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	18.44	X	1	0	N	UNIDENTIFIED	Y									
25868	Spectrogram 1	1	12032.506433333	12032.902161976	0.3957	35.6321	24.931	614.958	35.156	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	22.25	X	2	0	Y	Bearded seal below 1kHz										
25869	Spectrogram 1	1	12503.044216918	12503.303324959	0.2591	206.3225	41.551	1088.643	46.875	1208795168.700810074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810074318.wav	17.76	X	1	0	Y	Bearded seal below 1kHz										
25872	Spectrogram 1	1	15566.209900000	15566.633894975	0.4240	270.5899	523.546	1570.637	996.094	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	16.40	X	0	1	Y	Overlap under 1kHz	Y									
25873	Spectrogram 1	1	15567.726900000	15568.471246733	0.7443	272.1069	99.723	1155.125	246.094	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	16.76	X	1	3	Y	Overlap under 1kHz										
25874	Spectrogram 1	1	15572.645200000	15573.427235176	0.7820	277.0252	49.861	1537.396	58.594	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	17.91	X	2	0	Y	Overlap under 1kHz										
25875	Spectrogram 1	1	15574.105600000	15575.123187940	1.0176	278.4856	108.033	1470.914	117.188	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	15.24	X	2?	1?	Y	Overlap under 1kHz										
25876	Spectrogram 1	1	15720.367700000	15721.215689950	0.8480	124.8107	41.551	1279.778	46.875	1208795168.700903084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903084318.wav	21.12	X	2	2	Y	Overlap under 1kHz										
25883	Spectrogram 1	1	19856.899400000	19857.395631156	0.4962	62.2994	80.925	826.590	269.531	1208795168.700905014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905014318.wav	20.40	X	1	0	Y	BS UNDER 1KHZ										
25884	Spectrogram 1	1	17607.648400000	17607.868249246	0.2198	212.5144	75.145	861.272	82.031	1208795168.700911064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700911064318.wav	14.53	X	1	0	Y	Overlap under 1kHz	Y									
25885	Spectrogram 1	1	17608.848700000	17609.081112060	0.2324	213.7147	69.364	838.150	70.312	1208795168.700911064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700911064318.wav	15.14	X	1	0	Y	Overlap under 1kHz	Y									
25814	Spectrogram 1	1	2749.043212898	2749.749871189	0.7067	49.7185	66.482	947.368	70.312	1208795168.700518024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700518024318.wav	14.46	Y	1	2	N	FAINT	Y									
270	Spectrogram 1	1	2034.623000000	2034.872023296	0.2490	235.0890	159.600	1238.500	644.531	1208795168.700423114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	14.61	Y	1	0	N		Y	"bark, yelp"	I can hear those	ND	RS	medium			RS	
411	Spectrogram 1	1	3819.120666667	3819.386266667	0.2656	220.0680	77.100	1139.500	93.750	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	17.42	Y	1	1	N		Y	bark		ND	RS				RS	
65	Spectrogram 1	1	230.809400000	231.110907537	0.3015	230.8094	139.100	784.800	339.844	1208795168.700225064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	12.75	Y	1	0	N	Faint	Y	bark	Not super defined but visible	ND	RS				RS	
109	Spectrogram 1	1	525.441000000	525.795102513	0.3541	225.4560	193.500	1155.600	550.781	1208795168.700307064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700307064318.wav	12.52	Y	1	0	N	Faint	Y	bark		ND	RS				RS	
200	Spectrogram 1	1	680.751400000	681.707554271	0.9562	80.9164	144.044	2322.600	503.906	1208795168.700401094318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700401094318.wav	15.70	Y	4	2	N	Good	Y	bark	good one!	ND	RS					
210	Spectrogram 1	1	1111.709844724	1111.920271860	0.2104	211.9099	94.183	831.100	316.406	1208795168.700405034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700405034318.wav	17.18	Y	3	0	N	Last one faint	Y	bark	looks promising but I can't hear anything	ND	RS				Y	
211	Spectrogram 1	1	1148.572000000	1149.704527890	1.1325	248.7720	72.022	916.500	93.750	1208795168.700405034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700405034318.wav	16.63	Y	3	0	N	Good	Y	bark	I can't hear them though	ND	RS					
216	Spectrogram 1	1	1489.272533333	1490.733971524	1.4614	289.5162	170.800	723.000	421.875	1208795168.700405234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700405234318.wav	14.90	Y	6	3	N	Excellent	Y	bark	I can't hear them	ND	RS					
258	Spectrogram 1	1	1569.397666667	1569.705455612	0.3078	69.7320	105.263	658.960	117.188	1208795168.700420034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	15.61	Y	1	0	N	Good	Y	bark	faint	ND	RS					
327	Spectrogram 1	1	2320.928666667	2321.266766667	0.3381	221.4630	319.300	946.800	433.594	1208795168.700506204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700506204318.wav	11.99	Y	1	0	N	Good	Y	bark		ND	RS				RS	
330	Spectrogram 1	1	2486.946666667	2487.123766667	0.1771	87.5730	121.100	1056.900	316.406	1208795168.700507164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700507164318.wav	17.58	Y	1	0	N	Good	Y	bark		ND	RS				RS	
392	Spectrogram 1	1	3046.478333333	3047.444333333	0.9660	47.2860	115.600	1194.500	164.062	1208795168.700521004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521004318.wav	19.42	Y	5	1	N	Excellent	Y	bark	good!	ND	RS					
395	Spectrogram 1	1	3339.019000000	3339.277588177	0.2586	39.8750	66.100	985.300	70.312	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	17.40	Y	4	1	N	Excellent	Y	"bark, yelp"		ND	RS					
412	Spectrogram 1	1	3827.630966667	3828.070665160	0.4397	228.5783	60.500	1249.500	70.312	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	16.11	Y	1	0	N	Good	Y	bark		ND	RS				RS	
414	Spectrogram 1	1	3970.052533333	3970.360322278	0.3078	71.1332	82.600	611.000	152.344	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	14.83	Y	1	0	N	Faint	Y	bark	faint series	ND	RS					
417	Spectrogram 1	1	4313.903466667	4314.967674461	1.0642	115.0078	88.100	1084.400	93.750	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	14.77	Y	2	2	N	Faint	Y	"bark, yelp"	faint	ND	RS					
431	Spectrogram 1	1	4724.553000000	4725.653774121	1.1008	225.6920	148.600	627.500	292.969	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	13.69	Y	5	0	N	Excellent	Y	bark	faint	ND	RS					
442	Spectrogram 1	1	4804.540833333	4805.125004187	0.5842	5.7275	38.500	1189.000	46.875	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	17.93	Y	1	1	N	Bark, yelp	Y	bark	first one is clear	ND	RS					
444	Spectrogram 1	1	4907.780333333	4909.164933333	1.3846	108.9670	99.100	974.300	175.781	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	15.42	Y	4	1	N	bark bark yelp bark	Y	bark		ND	RS					
446	Spectrogram 1	1	5018.393333333	5019.161990117	0.7687	219.5800	60.500	869.700	70.312	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	15.11	Y	2	2	N	Bark, yelp X2	Y	bark		ND	RS					
451	Spectrogram 1	1	5409.355900000	5409.657407538	0.3015	10.5769	88.100	1255.000	210.938	1208795168.700528024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528024318.wav	15.74	Y	1	0	N		Y	bark		ND	RS				Y	
464	Spectrogram 1	1	5911.025800000	5911.647659296	0.6219	212.3218	141.274	864.200	152.344	1208795168.700528084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	12.82	Y	1	1	N		Y	"bark, yelp"	really faint. Keep for detector?	ND	RS				Y	
467	Spectrogram 1	1	6001.222666667	6001.745462774	0.5228	2.6670	275.200	869.700	574.219	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	13.33	Y	2	1	N		Y	bark	is any of these a bark or are they yelps?	ND	RS				Y	
492	Spectrogram 1	1	6633.437666667	6633.687166667	0.2495	35.0090	165.100	556.000	351.562	1208795168.700529234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529234318.wav	12.30	Y	1	0	N		Y	bark		ND	RS					
497	Spectrogram 1	1	6936.335000000	6937.558612814	1.2236	37.9530	143.100	1089.900	386.719	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	13.95	Y	4	0	N		Y	bark	faint	ND	RS					
616	Spectrogram 1	1	7389.262333333	7390.378333333	1.1160	190.9660	137.400	1192.300	398.438	1208795168.700614034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700614034318.wav	14.02	Y	2	0	N	FAINT	Y	bark		ND	RS	low	faint		RS	
779	Spectrogram 1	1	7580.534733333	7580.792185846	0.2575	82.3014	81.400	949.400	164.062	1208795168.700627064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700627064318.wav	19.53	Y	1	0	Y	Bearded seal above 1kHz	Y	bark	BS overlapping	ND	RS	low			RS	
905	Spectrogram 1	1	7969.660666667	7970.489812395	0.8291	171.4930	128.500	2379.900	480.469	1208795168.700704144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700704144318.wav	15.90	Y	2	1	N		Y	"bark, yelp"		ND	RS				RS	
929	Spectrogram 1	1	8232.518900000	8233.145018090	0.6261	134.4659	150.800	715.100	234.375	1208795168.700705204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700705204318.wav	11.98	Y	2	0	N		Y	bark		ND	RS	low	faint		RS	
1011	Spectrogram 1	1	8455.214666667	8455.528666667	0.3140	57.2870	195.900	945.900	257.812	1208795168.700709214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700709214318.wav	12.70	Y	1	0	N	Excellent	Y	bark		ND	RS	medium			RS	
1048	Spectrogram 1	1	8702.408100000	8703.125224277	0.7171	4.6001	89.600	1315.300	750.000	1208795168.700711104318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711104318.wav	14.43	Y	2	2	N		Y	"bark, yelp"		ND	RS					
1054	Spectrogram 1	1	9100.729700000	9101.068895980	0.3392	102.9847	67.200	694.000	70.312	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.63	Y	1	0	Y	Overlapping above 1kHz	Y	bar´k		ND	RS					
1099	Spectrogram 1	1	9956.190000000	9956.536160804	0.3462	58.8150	95.300	1160.700	433.594	1208795168.700713084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700713084318.wav	15.22	Y	1	0	N		Y	bark		ND	RS				RS	
1146	Spectrogram 1	1	10368.868666667	10370.156666667	1.2880	171.5800	218.700	970.100	375.000	1208795168.700715044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700715044318.wav	17.45	Y	2	1	Y	Overlapping but good barks	Y	bark	BS overlap	ND	RS				RS	
1626	Spectrogram 1	1	11831.435433333	11831.727518760	0.2921	134.4891	95.700	813.800	175.781	1208795168.700804144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	17.56	Y	1	0	N		Y	bark		ND	RS		faint		RS	
1806	Spectrogram 1	1	12501.899466667	12502.191552095	0.2921	205.1778	155.500	967.400	234.375	1208795168.700810074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810074318.wav	13.49	Y	1	0	N		Y	"bark, yelp"		ND	RS					
1809	Spectrogram 1	1	12765.839333333	12766.712761079	0.8734	169.1920	38.462	754.300	46.875	1208795168.700810094318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810094318.wav	17.74	Y	2	0	N	FAINT	Y	bark	faint	ND	RS	medium			RS	
6480	Spectrogram 1	1	14973.055333333	14973.352587102	0.2973	277.1880	198.400	1961.538	527.344	1208795168.700829164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	13.54	Y	1	0	N	FAINT	Y	bark		ND	RS					
6860	Spectrogram 1	1	15242.422000000	15242.774000000	0.3520	246.6570	110.900	843.900	175.781	1208795168.700830034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700830034318.wav	15.19	Y	1	0	N		Y	bark	I can't hear it	ND	RS				Y	
8726	Spectrogram 1	1	15564.700700000	15565.578590173	0.8779	269.0807	71.900	1467.100	703.125	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	17.89	X	3	2	Y	OVERLAP BS	Y	bark	good but with overlapping BS	ND	RS					
9215	Spectrogram 1	1	15719.270000000	15719.995502512	0.7255	123.7130	65.900	1377.200	351.562	1208795168.700903084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903084318.wav	20.04	X	2	2	Y	OVERLAP BS	Y	"bark, yelp"	good but with overlapping BS	ND	RS					
9220	Spectrogram 1	1	16178.683066667	16178.961245858	0.2782	283.2854	152.400	1338.000	175.781	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.15	Y	1	1	N		Y	"bark, yelp"	good	ND	RS					
9293	Spectrogram 1	1	16569.057666667	16569.386423892	0.3288	73.7230	143.700	1400.615	152.344	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	14.49	Y	1	1	N		Y	"bark, yelp"		ND	RS					
17247	Spectrogram 1	1	17775.891866667	17776.242645562	0.3508	80.7842	126.800	677.200	199.219	1208795168.701112114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701112114318.wav	15.66	Y	1	0	N		Y	bark		ND	RS				RS	
17699	Spectrogram 1	1	18098.961200000	18099.287833166	0.3266	103.9032	93.000	832.370	117.188	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.66	Y	1	0	N		Y	bark	good	ND	RS					
20186	Spectrogram 1	1	18556.764666667	18557.197043551	0.4324	261.7880	24.000	946.100	35.156	1208795168.701119014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701119014318.wav	22.93	Y	1	0	N	Excellent	Y	bark		ND	RS				Y	
20782	Spectrogram 1	1	18642.133333333	18642.562431323	0.4291	47.2330	101.800	928.100	234.375	1208795168.701121204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701121204318.wav	16.08	Y	1	0	N	Excellent	Y	bark		ND	RS				RS	
