Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
650	Spectrogram 1	1	5984.244000000	5985.126641618	198.2440	72.100	1000.000	DS3B__0__20181014_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_050354.wav	Y	bark	Bark	RS			Bark	Y	2	1	X	BY	-	Borderline too faint
658	Spectrogram 1	1	6251.583800000	6251.908944509	202.5838	162.300	865.546	DS3B__0__20181014_100354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_100354.wav	Y	bark	meh	RS			Bark	Y	1	0	X	B	-	
666	Spectrogram 1	1	6545.737800000	6546.317509538	233.7378	294.600	2184.874	DS3B__0__20181014_140354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_140354.wav	Y	"bark, yelp"	Yelp-bark - very clear	RS			Yelp-bark - very clear	Y	1	1	X	BY	-	Good
673	Spectrogram 1	1	6581.671000000	6583.475900000	6.6710	282.600	1316.600	DS3B__0__20181014_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_170354.wav	Y	"bark, yelp"	clear but faint	RS			Yelp and three barks - clear but faint	X	-	-	-	-	-	S
674	Spectrogram 1	1	6640.712000000	6641.557375723	65.7120	54.100	1094.200	DS3B__0__20181014_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_170354.wav	Y	"bark, yelp"	Barks-yelp clear	RS			Barks-yelp clear	Y	2	3	X	BY	-	Good
675	Spectrogram 1	1	6643.402000000	6646.682500000	68.4020	72.100	949.900	DS3B__0__20181014_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_170354.wav	Y	"bark, yelp"	Yelp-bark series - clear	RS			Yelp-bark series - clear	X	-	-	-	-	-	S
681	Spectrogram 1	1	6934.451000000	6934.951000000	96.4510	102.200	1010.000	DS3B__0__20181014_190354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_190354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
691	Spectrogram 1	1	7222.817000000	7223.256000000	121.8170	348.700	1070.100	DS3B__0__20181015_000354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_000354.wav	Y	bark		RS				Y	1	0	X	B	-	Borderline too faint
692	Spectrogram 1	1	7455.000000000	7455.268300000	91.0000	174.300	673.300	DS3B__0__20181015_010354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_010354.wav	Y	bark	clear	RS			Bark - clear	Y	1	0	X	B	-	
703	Spectrogram 1	1	7708.793000000	7711.914900000	81.7930	0.000	913.800	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark	Barks	RS			Barks	Y	1	0	X	B	-	
704	Spectrogram 1	1	7714.338400000	7715.068168786	87.3384	48.100	931.900	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	-	S
705	Spectrogram 1	1	7716.402000000	7718.182500000	89.4020	180.400	811.600	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	-	S
706	Spectrogram 1	1	7720.768000000	7720.975300000	93.7680	142.857	672.269	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark		RS				Y	1	0	X	B	-	Borderline too faint
707	Spectrogram 1	1	7723.634000000	7723.877900000	96.6340	192.400	583.200	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark		RS				X	1	0	X	B	-	Too faint
708	Spectrogram 1	1	7871.372800000	7871.744034104	244.3728	100.840	865.546	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark		RS				Y	1	0	X	B	-	Borderline too faint
709	Spectrogram 1	1	7901.110000000	7901.756300000	11.1100	132.300	1218.487	DS3B__0__20181015_110354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_110354.wav	Y	"bark, yelp"	Yelp-bark - clear	RS			Yelp-bark - clear	Y	1	1	X	BY	-	Growl
710	Spectrogram 1	1	7904.590500000	7904.987898843	14.5905	138.300	961.900	DS3B__0__20181015_110354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_110354.wav	Y	bark		RS				Y	1	0	X	B	-	
712	Spectrogram 1	1	8178.256000000	8178.621900000	25.2560	126.300	1202.400	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
714	Spectrogram 1	1	8186.085000000	8186.414200000	33.0850	66.100	871.700	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark	faint	RS				Y	1	0	X	B	-	Borderline too faint
716	Spectrogram 1	1	8320.637500000	8321.548459733	167.6375	67.227	663.866	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark		RS				Y	2	0	X	B	-	
721	Spectrogram 1	1	8336.155400000	8336.458868208	183.1554	372.700	1316.600	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark		RS				Y	1	0	X	B	-	
723	Spectrogram 1	1	8340.390000000	8340.962691505	187.3900	92.437	722.689	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
724	Spectrogram 1	1	8447.415000000	8448.219900000	31.4150	168.300	607.200	DS3B__0__20181015_130354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_130354.wav	Y	bark	Bark series - clear	RS			Bark series - clear	Y	3	0	X	B	-	
726	Spectrogram 1	1	8453.098000000	8453.573600000	37.0980	150.300	673.300	DS3B__0__20181015_130354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_130354.wav	Y	bark	Barks	RS			Barks	Y	2	0	X	B	-	
733	Spectrogram 1	1	8825.354000000	8825.963700000	146.3540	142.857	1304.600	DS3B__0__20181015_150354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_150354.wav	Y	"bark, yelp"		RS				Y	2	0	X	B	-	
734	Spectrogram 1	1	9118.378000000	9118.829300000	176.3780	138.300	1274.500	DS3B__0__20181015_160354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_160354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	
760	Spectrogram 1	1	9247.268000000	9247.597300000	42.2680	246.500	769.500	DS3B__0__20181017_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_060355.wav	Y	bark	in background noise	RS				X	1	0	X	B	-	Too faint
771	Spectrogram 1	1	9472.037000000	9474.024800000	5.0370	318.600	1010.000	DS3B__0__20181017_110355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_110355.wav	Y	bark	two barks	RS				X	-	-	-	-	-	S
776	Spectrogram 1	1	9892.024000000	9892.414200000	163.0240	384.800	733.500	DS3B__0__20181017_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_200355.wav	Y	bark		RS				Y	1	0	X	B	-	
778	Spectrogram 1	1	10051.049000000	10051.329500000	60.0490	414.800	865.700	DS3B__0__20181017_210355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_210355.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	
782	Spectrogram 1	1	10337.373700000	10337.655491908	84.3737	150.300	894.915	DS3B__0__20181017_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_220355.wav	Y	bark		RS				Y	1	0	X	B	-	
784	Spectrogram 1	1	10372.877900000	10373.268151659	119.8779	210.400	1057.627	DS3B__0__20181017_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_220355.wav	Y	"bark, yelp"	bark-yelp	RS				Y	1	0	X	B	-	
785	Spectrogram 1	1	10385.389400000	10385.931307514	132.3894	294.600	1509.000	DS3B__0__20181017_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_220355.wav	Y	"bark, yelp"	Yelp and 3 barks	RS			Yelp and 3 barks	Y	2	0	X	B	-	
789	Spectrogram 1	1	10762.599300000	10763.581958959	247.5993	114.200	1022.000	DS3B__0__20181018_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_000355.wav	Y	"bark, yelp"		RS				Y	2	1	X	B	-	
794	Spectrogram 1	1	10783.573000000	10786.280300000	6.5730	175.100	766.600	DS3B__0__20181018_050355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_050355.wav	Y	bark		RS			Clear	X	-	-	-	-	-	S
795	Spectrogram 1	1	11147.927000000	11148.329500000	108.9270	180.400	805.600	DS3B__0__20181018_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_060355.wav	Y	bark	Bark	RS			Bark	X	1	0	X	B	-	Too faint
797	Spectrogram 1	1	11487.646000000	11488.466945980	186.6460	24.000	919.800	DS3B__0__20181018_070355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_070355.wav	Y	bark		RS				Y	2	1	X	BY	-	Borderline too faint
812	Spectrogram 1	1	11673.069253266	11673.314228141	110.0692	234.500	968.023	DS3B__0__20181019_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_140355.wav	Y	bark		RS				Y	1	0	X	B	-	
815	Spectrogram 1	1	11984.280000000	11985.804400000	159.2800	0.000	1545.100	DS3B__0__20181019_150355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_150355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	-	S
821	Spectrogram 1	1	12308.963000000	12312.316700000	221.9630	144.300	1653.300	DS3B__0__20181019_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_180355.wav	Y	"bark, yelp"	great series	RS			Bark-yelp series - very clear	X	-	-	-	-	-	S
825	Spectrogram 1	1	12594.744000000	12596.475700000	245.7440	318.600	2747.500	DS3B__0__20181019_190355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_190355.wav	Y	"bark, yelp"	"Mostly yelps, a bark at the end"	RS			Very clear	X	-	-	-	-	-	S
830	Spectrogram 1	1	12803.824620603	12804.157535176	192.8246	186.400	1500.000	DS3B__0__20181019_210355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_210355.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
831	Spectrogram 1	1	12971.785049497	12972.439300000	98.7851	222.400	1196.400	DS3B__0__20181019_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_220355.wav	Y	"bark, yelp"		RS				Y	1	1	X	BY	-	
839	Spectrogram 1	1	13136.705336683	13137.352321608	1.7053	0.000	967.900	DS3B__0__20181020_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_010355.wav	Y	"bark, yelp"		RS				Y	1	1	X	BY	-	Borderline too faint
840	Spectrogram 1	1	13213.819998241	13214.597700000	78.8200	60.100	691.400	DS3B__0__20181020_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_010355.wav	Y	"bark, yelp"		RS				Y	3	0	X	B	-	Borderline too faint
849	Spectrogram 1	1	13598.347151508	13599.402700000	201.3472	156.300	913.800	DS3B__0__20181020_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_040355.wav	Y	bark		RS				X	-	-	-	-	-	S
852	Spectrogram 1	1	13776.549000000	13783.219700000	117.5490	198.400	883.800	DS3B__0__20181020_050355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_050355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	-	S
864	Spectrogram 1	1	14101.256000000	14108.914500000	180.2560	48.100	1028.100	DS3B__0__20181021_170355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181021_170355.wav	Y	bark	clear	RS			Barks - clear	X	-	-	-	-	-	S
867	Spectrogram 1	1	14301.628000000	14308.262100000	118.6280	90.200	1154.300	DS3B__0__20181021_230355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181021_230355.wav	Y	"bark, yelp"	mostly yelps but there is one bark	RS			Clear	X	-	-	-	-	-	S
871	Spectrogram 1	1	14392.448000000	14398.838300000	209.4480	120.200	2428.900	DS3B__0__20181021_230355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181021_230355.wav	Y	"bark, yelp"	Yelp - bark series - clear	RS			Yelp - bark series - clear	X	-	-	-	-	-	S
872	Spectrogram 1	1	14638.936029648	14639.425979397	193.9360	246.500	1527.100	DS3B__0__20181022_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_000355.wav	Y	"bark, yelp"		RS				Y	1	1	X	BY	-	
873	Spectrogram 1	1	14829.549000000	14832.158700000	122.5490	54.100	1124.200	DS3B__0__20181022_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_010355.wav	Y	"bark, yelp"	Yelp and 4 barks - clear	RS			Yelp and 4 barks - clear	X	-	-	-	-	-	S
874	Spectrogram 1	1	15223.856204020	15224.321028141	254.8562	148.256	1196.400	DS3B__0__20181022_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_020355.wav	Y	bark		RS				Y	2	0	X	B	-	
875	Spectrogram 1	1	15233.623809045	15233.951000000	2.6238	42.100	1052.100	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Bark - very clear	RS			Bark - very clear	Y	1	0	X	B	-	
876	Spectrogram 1	1	15238.573000000	15239.365700000	7.5730	96.200	1202.400	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks - very clear	RS			Barks - very clear	X	-	-	-	-	-	S
881	Spectrogram 1	1	15313.500000000	15317.561000000	82.5000	96.200	2164.300	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks - clear	RS			Barks - clear	X	-	-	-	-	-	S
882	Spectrogram 1	1	15320.293000000	15320.963700000	89.2930	210.400	1827.700	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	"bark, yelp"	Yelp-bark - very clear	RS			Yelp-bark - very clear	Y	1	1	X	BY	-	Good
883	Spectrogram 1	1	15325.207000000	15325.853400000	94.2070	90.200	1833.700	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Two barks - very clear	RS			Two barks - very clear	Y	2	0	X	B	-	Good
884	Spectrogram 1	1	15328.500000000	15329.292700000	97.5000	114.200	1839.700	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	3 barks - very clear	RS			3 barks - very clear	Y	3	0	X	B	-	Good
885	Spectrogram 1	1	15340.432314322	15341.343118342	109.4323	0.000	1971.900	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks - clear	RS			Barks - clear	Y	4	0	X	B	-	Good
886	Spectrogram 1	1	15396.411000000	15403.179300000	165.4110	18.000	1653.300	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	"bark, yelp"	Clear barks and yelps	RS			Clear barks and yelps	X	-	-	-	-	-	S
887	Spectrogram 1	1	15405.892000000	15409.087100000	174.8920	18.000	1058.100	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	3 barks clear	RS			3 barks clear	X	-	-	-	-	-	S
888	Spectrogram 1	1	15414.222000000	15417.161100000	183.2220	114.200	1442.900	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	-	S
889	Spectrogram 1	1	15421.550000000	15423.208600000	190.5500	108.200	937.900	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	-	S
890	Spectrogram 1	1	15426.216000000	15430.935600000	195.2160	66.100	877.800	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	-	S
891	Spectrogram 1	1	15453.318570101	15454.279625377	222.3186	120.200	937.900	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	"bark, yelp"		RS				Y	2	1	X	BY	-	
892	Spectrogram 1	1	15456.469385742	15456.720642023	225.4694	60.100	757.500	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	WH	RS				Y	1	0	X	B	-	Borderline too faint, growl
902	Spectrogram 1	1	15653.879000000	15655.135100000	160.8790	96.200	1022.000	DS3B__0__20181022_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_180355.wav	Y	"bark, yelp"	Wh	RS				X	-	-	-	-	-	S
905	Spectrogram 1	1	16001.864757286	16002.693903015	246.8648	0.000	1124.200	DS3B__0__20181022_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_200355.wav	Y	"bark, yelp"	faint	RS				Y	1	1	X	BY	-	
906	Spectrogram 1	1	16198.098000000	16202.317500000	181.0980	144.300	1256.500	DS3B__0__20181022_210355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_210355.wav	Y	"bark, yelp"	series	RS				X	-	-	-	-	-	S
913	Spectrogram 1	1	16296.254418090	16296.694116583	17.2544	0.000	769.500	DS3B__0__20181023_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_010355.wav	Y	bark	Barks - clear	RS			Barks - clear	Y	2	0	X	B	-	Good
917	Spectrogram 1	1	16454.573902010	16454.919379397	175.5739	0.000	691.400	DS3B__0__20181023_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_010355.wav	Y	bark	WH	RS				Y	1	0	X	B	-	
922	Spectrogram 1	1	16636.866000000	16639.512300000	95.8660	240.500	1298.600	DS3B__0__20181023_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_030355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	-	S
923	Spectrogram 1	1	16824.110000000	16824.820964573	21.1100	102.200	837.209	DS3B__0__20181023_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_040355.wav	Y	"bark, yelp"	Yelp-bark - clear	RS			Yelp-bark - clear	Y	1	1	X	BY	-	Good
925	Spectrogram 1	1	16843.232000000	16845.463700000	40.2320	78.200	1274.500	DS3B__0__20181023_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_040355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	-	S
926	Spectrogram 1	1	16857.063753266	16857.245914070	54.0637	156.300	697.400	DS3B__0__20181023_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_040355.wav	Y	bark		RS				Y	1	0	X	B	-	
