Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
147	Spectrogram 1	1	5759.412000000	5763.932150000	4.5202	257.4120	98.000	1398.700	DS3B__0__20181107_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181107_200355.wav	Y	"bark, yelp"	barks at the end	RS	3	series	No		incomplete					X	-	-	-	-	S	
155	Spectrogram 1	1	6012.243000000	6013.249860000	1.0069	248.2430	320.300	771.200	DS3B__0__20181108_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	Y	bark	faint	RS	2	1	No							X	1	0	X	B	-	Too faint
156	Spectrogram 1	1	5941.270000000	5943.219450000	1.9495	177.2700	359.500	869.300	DS3B__0__20181108_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	Y	bark	faint	RS	3	2	No		faint					X	-	-	-	-	S	
157	Spectrogram 1	1	5838.492000000	5839.605970000	1.1140	74.4920	248.400	960.800	DS3B__0__20181108_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	Y	bark	more than a pixel?	RS	3	1	No							X	0	1	X	Y	-	
160	Spectrogram 1	1	6110.852099682	6111.192364332	0.3403	84.8521	117.600	869.300	DS3B__0__20181108_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
161	Spectrogram 1	1	6258.933000000	6272.664830000	13.7318	232.9330	91.500	1261.400	DS3B__0__20181108_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	Y	bark	They sound like farts	RS	3	series	No							X	-	-	-	-	S	
163	Spectrogram 1	1	6071.150437076	6071.370978979	0.2205	45.1504	0.000	823.500	DS3B__0__20181108_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
165	Spectrogram 1	1	6524.591000000	6526.968900000	2.3779	236.5910	164.500	1506.600	DS3B__0__20181108_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	bark		RS	3	2	No							X	-	-	-	-	S	
166	Spectrogram 1	1	6436.653000000	6458.030220000	21.3772	148.6530	138.200	1309.200	DS3B__0__20181108_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	"bark, yelp"	faint. Mostly yelps.	RS	3	series	No		faint					X	-	-	-	-	S	
167	Spectrogram 1	1	6545.054005948	6545.343861021	0.2899	257.0540	59.200	888.200	DS3B__0__20181108_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	bark	faint	RS	3	1	No							X	1	0	X	B	-	Too faint
168	Spectrogram 1	1	6365.207000000	6397.975040000	32.7680	77.2070	71.900	1953.900	DS3B__0__20181108_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	"bark, yelp"	great_one	RS	3	series	No		great_one					X	-	-	-	-	S	
169	Spectrogram 1	1	6741.471000000	6744.084550000	2.6136	191.4710	105.300	986.800	DS3B__0__20181108_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_160355.wav	Y	bark		RS	3	3	No							X	-	-	-	-	S	
170	Spectrogram 1	1	6951.293915384	6951.930336304	0.6364	139.2939	46.100	986.800	DS3B__0__20181108_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181108_180355.wav	Y	bark	faint (borderline pixels)	RS	3	2	No					Y	bark	Y	2	0	X	B	-	
173	Spectrogram 1	1	7287.196000000	7292.808700000	5.6127	213.1960	203.900	1697.400	DS3B__0__20181109_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_000355.wav	Y	"bark, yelp"	the barks are very faint	RS	3	4	No		yelps-barks					X	-	-	-	-	S	
174	Spectrogram 1	1	7357.568767921	7357.953140951	0.3844	21.5688	72.400	907.900	DS3B__0__20181109_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_020355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	
175	Spectrogram 1	1	7570.727000000	7574.390250000	3.6632	234.7270	111.800	914.500	DS3B__0__20181109_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_020355.wav	Y	bark		RS	3	series	No							X	-	-	-	-	S	
184	Spectrogram 1	1	7691.542000000	7692.698820000	1.1568	93.5420	105.300	730.300	DS3B__0__20181109_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_040355.wav	Y	"bark, yelp"	very faint bark	RS	2	1	No							X	0	0	X	-	-	Not RS
187	Spectrogram 1	1	7890.566976018	7891.499553207	0.9326	30.5670	118.400	1026.300	DS3B__0__20181109_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_120355.wav	Y	bark	faint	RS	2	1	No							X	3	0	X	B	-	Too faint
188	Spectrogram 1	1	8267.169000000	8277.494650000	10.3257	145.1690	98.700	1164.500	DS3B__0__20181109_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_140355.wav	Y	"bark, yelp"	in between ice	RS	3	series	No		in between ice					X	-	-	-	-	S	
189	Spectrogram 1	1	8644.424084540	8644.802156374	0.3781	260.4241	144.700	1407.900	DS3B__0__20181109_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_180355.wav	Y	"bark, yelp"		RS	3	1	No							X	0	1	X	Y	-	
190	Spectrogram 1	1	8855.021000000	8865.582310000	10.5613	209.0210	78.900	1375.000	DS3B__0__20181109_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_200355.wav	Y	"bark, yelp"	yelps-barks	RS	3	series	No		yelps-barks					X	-	-	-	-	S	
191	Spectrogram 1	1	8780.010000000	8781.423880000	1.4139	134.0100	92.100	894.700	DS3B__0__20181109_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_200355.wav	Y	bark	pixel	RS	3	2	No					Y	bark	X	-	-	-	-	S	
193	Spectrogram 1	1	9088.369000000	9098.330470000	9.9615	180.3690	59.200	750.000	DS3B__0__20181109_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	"bark, yelp"	very_faint	RS	3	series	No		very_faint					X	-	-	-	-	S	
195	Spectrogram 1	1	8926.330698907	8926.740276727	0.4096	18.3307	78.900	842.100	DS3B__0__20181109_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
196	Spectrogram 1	1	8921.412162498	8921.752427149	0.3403	13.4122	26.300	1078.900	DS3B__0__20181109_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	bark		RS	2	1	No		"if it would be not so frequency modulated I would say its a fish, or is it harmonics?"	RS				Y	1	0	X	B	-	
197	Spectrogram 1	1	8913.377943132	8913.844231727	0.4663	5.3779	92.100	1157.900	DS3B__0__20181109_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181109_220355.wav	Y	"bark, yelp"		RS	2	1	No							Y	1	0	X	B	-	
199	Spectrogram 1	1	9405.155000000	9418.436970000	13.2820	235.1550	111.800	1190.800	DS3B__0__20181110_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181110_040355.wav	Y	"bark, yelp"	the yelps are very clear but the barks are quite faint	RS	3	series	No		good_one					X	-	-	-	-	S	
204	Spectrogram 1	1	9590.964000000	9599.490160000	8.5262	158.9640	65.800	1532.900	DS3B__0__20181110_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181110_160355.wav	Y	"bark, yelp"	good_one	RS	3	series	No		good_one					X	-	-	-	-	S	
208	Spectrogram 1	1	9803.473000000	9821.125150000	17.6521	109.4730	65.800	1269.700	DS3B__0__20181110_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181110_220355.wav	Y	bark	those really sound like fish. this is why we need to get very specific with the fish detector!	RS	3	series	No		water movement in the background	RS	Agreed with water movement too	Y	Definitely barks - and this is why we need to get very specific with the fish detector!	X	-	-	-	-	S	
212	Spectrogram 1	1	10154.565000000	10167.118600000	12.5536	198.5650	78.900	717.100	DS3B__0__20181111_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181111_100355.wav	Y	bark	faint	RS	3	series	No							X	-	-	-	-	S	
213	Spectrogram 1	1	10172.326000000	10175.239470000	2.9135	216.3260	78.900	763.200	DS3B__0__20181111_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181111_100355.wav	Y	bark		RS	2	2	No							X	-	-	-	-	S	
214	Spectrogram 1	1	10291.375746301	10291.797926515	0.4222	73.3757	59.200	868.400	DS3B__0__20181111_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181111_120355.wav	Y	bark	the first one might be a yelp?	RS	3	2	No							Y	1	1	X	BY	-	
217	Spectrogram 1	1	10723.471000000	10728.933740000	5.4627	243.4710	131.600	1190.800	DS3B__0__20181111_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181111_220355.wav	Y	"bark, yelp"	series	RS	3	5	No							X	-	-	-	-	S	
218	Spectrogram 1	1	10805.726386512	10806.003639190	0.2773	63.7264	78.900	921.100	DS3B__0__20181112_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181112_000355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	
236	Spectrogram 1	1	11045.265000000	11048.349840000	3.0848	41.2650	105.300	1269.700	DS3B__0__20181112_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181112_160355.wav	Y	"bark, yelp"		RS	3	2	No							X	-	-	-	-	S	
239	Spectrogram 1	1	11500.690000000	11502.618030000	1.9280	234.6900	111.800	993.400	DS3B__0__20181113_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181113_020355.wav	Y	"bark, yelp"	faint	RS	3	2	No		yelp-bark					X	-	-	-	-	S	
242	Spectrogram 1	1	11561.723000000	11571.285660000	9.5627	33.7230	328.900	2230.300	DS3B__0__20181113_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181113_060355.wav	Y	"bark, yelp"	"last one is a bark, but so are other two."	RS	3	series	No		very faint			Y	"bark, yelp - last one is a bark, but so are other two."	X	-	-	-	-	S	
244	Spectrogram 1	1	11834.889000000	11843.522280000	8.6333	44.8890	302.600	888.200	DS3B__0__20181113_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181113_080355.wav	Y	"bark, yelp"	"I thought the last one was a yelp, but it sounds like a bark"	RS	3	3	No							X	-	-	-	-	S	
245	Spectrogram 1	1	12175.981588343	12176.252539824	0.2710	123.9816	73.100	942.300	DS3B__0__20181113_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181113_100355.wav	Y	bark	really faint	RS	3	1	No					Y	bark	Y	1	0	X	B	-	
248	Spectrogram 1	1	12421.698282851	12421.893619965	0.1953	107.6983	215.400	1000.000	DS3B__0__20181113_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181113_140355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	
252	Spectrogram 1	1	12834.047000000	12837.881630000	3.8346	258.0470	98.400	1327.900	DS3B__0__20181114_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181114_040355.wav	Y	"bark, yelp"	"2barks, 2 yelps"	RS	3	4	No		"2barks, 2 yelps"					X	-	-	-	-	S	
256	Spectrogram 1	1	12958.653000000	12962.937500000	4.2845	120.6530	112.400	1166.300	DS3B__0__20181114_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181114_080355.wav	Y	bark		RS	3	2	No							X	-	-	-	-	S	
264	Spectrogram 1	1	13117.191304471	13117.443352360	0.2520	17.1913	154.600	1096.000	DS3B__0__20181114_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181114_180355.wav	Y	bark	faint	RS	3	2	No							Y	1	0	X	B	-	
265	Spectrogram 1	1	13127.816000000	13145.749410000	17.9334	27.8160	161.600	955.500	DS3B__0__20181114_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181114_180355.wav	Y	bark	faint	RS	3	series	No		faint					X	-	-	-	-	S	
266	Spectrogram 1	1	13102.956000000	13104.626950000	1.6710	2.9560	295.100	1110.100	DS3B__0__20181114_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181114_180355.wav	Y	"bark, yelp"	there is a bark before the last yelp	RS	3	3	No					Y	"bark, yelp"	X	-	-	-	-	S	
267	Spectrogram 1	1	13385.696932710	13385.879667429	0.1827	23.6969	105.400	948.500	DS3B__0__20181115_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181115_040355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
281	Spectrogram 1	1	13649.971000000	13656.911900000	6.9409	25.9710	77.300	843.100	DS3B__0__20181115_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181115_200355.wav	Y	bark	longer duration and delineated harmonics	RS	3	3	No							X	-	-	-	-	S	
285	Spectrogram 1	1	13958.966540879	13959.199685176	0.2331	72.9665	154.600	822.000	DS3B__0__20181116_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181116_060355.wav	Y	bark	very faint	RS	3	2	No							Y	1	0	X	B	-	
286	Spectrogram 1	1	14146.252770246	14146.454408557	0.2016	260.2528	126.500	948.500	DS3B__0__20181116_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181116_060355.wav	Y	bark	faint	RS	3	1	No		faint					Y	1	0	X	B	-	FAINT
288	Spectrogram 1	1	14172.795000000	14179.221760000	6.4268	24.7950	98.400	1644.000	DS3B__0__20181116_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181116_080355.wav	Y	bark		RS	2	3	No							X	-	-	-	-	S	
304	Spectrogram 1	1	14556.774000000	14558.209310000	1.4353	146.7740	182.700	1187.400	DS3B__0__20181116_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181116_160355.wav	Y	bark		RS	3	2	No							X	-	-	-	-	S	
306	Spectrogram 1	1	14805.963000000	14812.925320000	6.9623	133.9630	112.400	1552.700	DS3B__0__20181116_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181116_200355.wav	Y	"bark, yelp"	"barks-yelps, good"	RS	3	series	No		"barks-yelps, good"					X	-	-	-	-	S	
309	Spectrogram 1	1	15141.839079049	15142.084825740	0.2457	207.8391	112.400	941.500	DS3B__0__20181117_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181117_020355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	
319	Spectrogram 1	1	15363.459415879	15363.793379332	0.3340	167.4594	43.000	2142.857	DS3B__0__20181117_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181117_080355.wav	Y	bark	"bark, good"	RS	3	1	No		"bark, good"					Y	1	0	X	B	-	
325	Spectrogram 1	1	15509.865458696	15510.331747290	0.4663	51.8655	71.600	1689.700	DS3B__0__20181117_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181117_100355.wav	Y	bark	distorted	RS	3	1	No							X	2	0	X	B	-	Not sure this is RS
331	Spectrogram 1	1	15674.465000000	15684.704900000	10.2399	216.4650	71.600	1267.300	DS3B__0__20181117_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181117_100355.wav	Y	"bark, yelp"	clear sound	RS	3	series	No		barks-yelps					X	-	-	-	-	S	
345	Spectrogram 1	1	15943.065725457	15943.267363768	0.2016	223.0657	93.100	1202.900	DS3B__0__20181117_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181117_220355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
346	Spectrogram 1	1	15831.095188059	15831.971054474	0.8759	111.0952	100.200	1403.300	DS3B__0__20181117_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181117_220355.wav	Y	"bark, yelp"		RS	3	2	No							Y	1	1	X	BY	-	
347	Spectrogram 1	1	16204.412571865	16204.696125740	0.2836	222.4126	85.900	1016.700	DS3B__0__20181118_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181118_040355.wav	Y	bark		RS	3	1	No							Y	1	0	X	B	-	
358	Spectrogram 1	1	16418.830518273	16419.076264965	0.2457	174.8305	186.200	637.200	DS3B__0__20181118_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181118_160355.wav	Y	bark		RS	2	1	No					Y	bark	Y	1	0	X	B	-	
361	Spectrogram 1	1	16726.789000000	16736.107800000	9.3188	220.7890	93.100	1446.300	DS3B__0__20181118_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181118_200355.wav	Y	"bark, yelp"		RS	3	series	No							X	-	-	-	-	S	
363	Spectrogram 1	1	16951.643000000	16954.963500000	3.3205	183.6430	343.700	1138.400	DS3B__0__20181119_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181119_000355.wav	Y	"bark, yelp"	very faint	RS	2	3	No		very faint					X	-	-	-	-	S	
