Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	KZ Keep? (Y/X/M)	Number of Barks (KZ)	Number of Yelps (KZ)	Overlap W Other Species (Y/X) (KZ)	Call Type (KZ)	KZ Comment 	Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment
645	Spectrogram 1	1	589.085000000	599.828900000	10.7439	109.0850	114.200	1298.600	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	X	3	Lots	X	bark, yelp	Split into 761-763	Y	"bark, yelp"	WH	RS			Clear - more typical freq range. B50
649	Spectrogram 1	1	623.805000000	643.317200000	19.5122	23.8050	272.200	1179.400	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	X	8	11	X	bark, yelp	Split into 764-773	Y	"bark, yelp"	WH	RS			Clear
674	Spectrogram 1	1	806.744000000	807.987900000	1.2439	86.7440	505.000	895.800	TEST__0__20170922_084401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_084401.wav	X	0	1	X	yelp		Y	"bark, yelp"	B50	RS			yelp and bark
688	Spectrogram 1	1	947.524000000	956.670300000	9.1463	107.5240	150.300	2477.000	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	X	5	2	X	bark, yelp	Split into 778-782	Y	"bark, yelp"	WH	RS			"many yelps, one clear bark. Clear - low ambient"
691	Spectrogram 1	1	6040.671000000	6044.341800000	3.6708	40.6710	402.800	1731.500	TEST__0__20170922_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav	X	3	0	X	bark	Split into 775-777	Y	bark	all barks or is the last one a yelp?	RS			All barks
709	Spectrogram 1	1	6413.220000000	6413.951700000	0.7317	53.2200	955.900	1551.100	TEST__0__20170922_212001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_212001.wav	X	0	1	X	yelp		Y	bark	AR	RS			
727	Spectrogram 1	1	215.547644782	215.867441800	0.3198	95.5476	843.089	1205.708	TEST__0__20170914_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_172001.wav	X	0	1	X	yelp	Split from 313 - yelp only							
760	Spectrogram 1	1	556.402338386	558.324448827	1.9221	76.4023	456.900	904.475	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	X	0	3	X	yelp	Split from 644							
772	Spectrogram 1	1	634.847218016	635.992004382	1.1448	34.8472	279.735	1380.024	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	X	0	2	X	yelp	Split from 649							
773	Spectrogram 1	1	641.574604561	642.252996482	0.6784	41.5746	606.092	1174.885	TEST__0__20170922_003201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	X	0	1	X	yelp	Split from 649							
782	Spectrogram 1	1	955.446710108	956.266433678	0.8197	115.4467	624.740	2004.764	TEST__0__20170922_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	X	0	1	X	yelp	Split from 688							
363	Spectrogram 1	1	2468.214352525	2468.694880135	0.4805	68.2144	78.200	914.160	TEST__0__20170916_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170916_020801.wav	X	1	0	X	bark	VERY FAINT	Y	bark	AR	RS			
358	Spectrogram 1	1	2194.101686195	2194.638746465	0.5371	34.1017	130.543	876.502	TEST__0__20170916_012001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170916_012001.wav	X	1	0	X	bark	VERY FAINT	Y	bark	AR	RS			
367	Spectrogram 1	1	2683.683000000	2683.939100000	0.2561	43.6830	126.300	493.000	TEST__0__20170916_023201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170916_023201.wav	X	1	0	X	bark	VERY FAINT	Y	bark	AR	RS			
711	Spectrogram 1	1	6557.134000000	6558.134000000	1.0000	77.1340	168.300	1250.500	TEST__0__20170922_213201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_213201.wav	Y	1	0	X	bark		Y	bark	AR	RS			
78	Spectrogram 1	1	1047.817000000	1048.219440000	0.4024	87.8170	72.100	649.300	TEST__0__20170903_073201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170903_073201.wav	Y	1	0	X	bark	FAINT	Y	bark	Had to change brightness to 50 to see this one. Not sure if appropriate for detector?	RS			Short bark
79	Spectrogram 1	1	1184.634000000	1185.060830000	0.4268	104.6340	102.200	1148.300	TEST__0__20170903_093201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170903_093201.wav	Y	1	0	X	bark	FAINT	Y	bark	better visible with Brightness 50	RS			
80	Spectrogram 1	1	1196.390000000	1196.670490000	0.2805	116.3900	84.200	937.900	TEST__0__20170903_093201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170903_093201.wav	Y	1	0	X	bark	FAINT	Y	bark	better with B50 but still visible at B45	RS			
107	Spectrogram 1	1	1209.780000000	1210.170240000	0.3902	9.7800	468.900	1214.400	TEST__0__20170904_154401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	Y	1	0	X	bark	WEIRD	Y	bark	Bark?	RS			"bark (weird sound to it, though)"
116	Spectrogram 1	1	6629.000000000	6629.731710000	0.7317	29.0000	547.100	1479.000	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark		Y	bark	AR	RS			
209	Spectrogram 1	1	1360.988000000	1361.610000000	0.6220	40.9880	242.400	933.300	TEST__0__20170910_165601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170910_165601.wav	Y	1	0	X	bark		Y	bark	AR	RS			
224	Spectrogram 1	1	1468.610000000	1469.488000000	0.8780	28.6100	342.700	1274.500	TEST__0__20170911_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_020801.wav	Y	1	0	X	bark		Y	bark	AR	RS			
235	Spectrogram 1	1	1652.354000000	1652.841800000	0.4878	92.3540	102.200	793.600	TEST__0__20170911_044401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_044401.wav	Y	1	0	X	bark		Y	bark	AR	RS			
311	Spectrogram 1	1	2029.402000000	2030.487400000	1.0854	109.4020	655.300	1833.700	TEST__0__20170914_165601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_165601.wav	Y	2	0	X	bark	FAINT	Y	bark	AR	RS			
318	Spectrogram 1	1	2102.256000000	2103.304800000	1.0488	62.2560	210.400	1659.300	TEST__0__20170914_190801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_190801.wav	Y	1	0	X	bark	FAINT	Y	bark	brightness 50	RS			
361	Spectrogram 1	1	2319.354000000	2319.707600000	0.3536	39.3540	168.300	715.400	TEST__0__20170916_015601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170916_015601.wav	Y	1	0	X	bark	VERY FAINT	Y	bark	AR	RS			
365	Spectrogram 1	1	2603.200000000	2603.590300000	0.3903	83.2000	105.480	890.720	TEST__0__20170916_022001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170916_022001.wav	Y	1	0	X	bark	VERY FAINT	Y	bark	AR	RS			
368	Spectrogram 1	1	2842.451000000	2842.755900000	0.3049	82.4510	120.200	763.500	TEST__0__20170916_024401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170916_024401.wav	Y	1	0	X	bark	VERY FAINT	Y	bark	AR	RS			
398	Spectrogram 1	1	3069.378000000	3071.512200000	2.1342	69.3780	78.200	589.200	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	7	0	X	bark	FAINT	Y	bark	WH	RS			Barks
400	Spectrogram 1	1	3098.902000000	3100.154443435	1.2524	98.9020	84.200	913.800	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	3	0	X	bark		Y	bark	WH	RS			Barks
401	Spectrogram 1	1	3209.305000000	3211.695200000	2.3902	89.3050	102.200	499.000	TEST__0__20170917_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_124401.wav	Y	10	0	X	bark		Y	bark	WH	RS			Barks
402	Spectrogram 1	1	3205.610000000	3206.634300000	1.0243	85.6100	96.200	631.300	TEST__0__20170917_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_124401.wav	Y	3	0	X	bark		Y	bark	AR	RS			
403	Spectrogram 1	1	3232.427000000	3234.927000000	2.5000	112.4270	48.100	679.400	TEST__0__20170917_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_124401.wav	Y	8	0	X	bark		Y	bark	AR	RS			
404	Spectrogram 1	1	3273.024000000	3274.999600000	1.9756	33.0240	42.100	565.100	TEST__0__20170917_125601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_125601.wav	Y	5	0	X	bark		Y	bark	AR	RS			
405	Spectrogram 1	1	3277.463000000	3277.841100000	0.3781	37.4630	30.100	553.100	TEST__0__20170917_125601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_125601.wav	Y	1	0	X	bark		Y	bark	AR	RS			
406	Spectrogram 1	1	3397.439000000	3399.585400000	2.1464	37.4390	96.200	697.400	TEST__0__20170917_130801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_130801.wav	Y	9	0	X	bark		Y	bark	AR	RS			
407	Spectrogram 1	1	3466.159000000	3468.622500000	2.4635	106.1590	84.200	607.200	TEST__0__20170917_130801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_130801.wav	Y	7	0	X	bark		Y	bark	AR	RS			
408	Spectrogram 1	1	3482.549000000	3484.829500000	2.2805	2.5490	90.200	547.100	TEST__0__20170917_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_132001.wav	Y	8	0	X	bark		Y	bark	AR	RS			
409	Spectrogram 1	1	3552.744000000	3555.067269026	2.3233	72.7440	66.100	505.000	TEST__0__20170917_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_132001.wav	Y	3	0	X	bark	3 loud, rest not visible	Y	bark	AR	RS			
410	Spectrogram 1	1	3549.110000000	3550.049000000	0.9390	69.1100	96.200	733.500	TEST__0__20170917_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_132001.wav	Y	2	0	X	bark		Y	bark	AR	RS			
412	Spectrogram 1	1	3621.805000000	3622.841600000	1.0366	21.8050	0.000	895.800	TEST__0__20170917_133201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_133201.wav	Y	2	0	X	bark		Y	bark	B50	RS			
414	Spectrogram 1	1	3793.427000000	3796.183100000	2.7561	73.4270	11.720	631.300	TEST__0__20170917_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_140801.wav	Y	5	0	X	bark	5 loud, rest not visible	Y	bark	AR	RS			
415	Spectrogram 1	1	3789.098000000	3791.256500000	2.1585	69.0980	48.100	529.100	TEST__0__20170917_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_140801.wav	Y	5	0	X	bark		Y	bark	AR	RS			
416	Spectrogram 1	1	3938.951000000	3941.451000000	2.5000	98.9510	84.200	667.300	TEST__0__20170917_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_142001.wav	Y	7	0	X	bark		Y	bark	AR	RS			
417	Spectrogram 1	1	3946.890000000	3948.012000000	1.1220	106.8900	102.200	493.000	TEST__0__20170917_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_142001.wav	Y	3	0	X	bark		Y	bark	AR	RS			
418	Spectrogram 1	1	3930.988000000	3932.292900000	1.3049	90.9880	78.200	685.400	TEST__0__20170917_142001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_142001.wav	Y	4	0	X	bark		Y	bark	Clear example	RS			
419	Spectrogram 1	1	3997.183000000	3998.632226095	1.4492	37.1830	108.200	487.000	TEST__0__20170917_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_143201.wav	Y	4	0	X	bark		Y	bark	AR	RS			
420	Spectrogram 1	1	4077.390000000	4079.024200000	1.6342	117.3900	0.000	769.500	TEST__0__20170917_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_143201.wav	Y	3	0	X	bark		Y	bark	AR	RS			
421	Spectrogram 1	1	4080.159000000	4081.878500000	1.7195	0.1590	90.200	583.200	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	5	0	X	bark		Y	bark	AR	RS			
422	Spectrogram 1	1	4094.146000000	4095.914300000	1.7683	14.1460	84.200	553.100	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	5	0	X	bark		Y	bark	AR	RS			
423	Spectrogram 1	1	4129.183000000	4130.353800000	1.1708	49.1830	114.200	456.900	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	3	0	X	bark		Y	bark	AR	RS			
424	Spectrogram 1	1	4147.122000000	4148.243900000	1.1219	67.1220	46.880	547.100	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	2	1	X	bark, yelp		Y	bark	AR	RS			
425	Spectrogram 1	1	4151.415000000	4152.866300000	1.4513	71.4150	102.200	468.900	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	3	0	X	bark		Y	bark	AR	RS			
426	Spectrogram 1	1	4141.707000000	4142.975300000	1.2683	61.7070	72.100	432.900	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	4	0	X	bark		Y	bark	AR	RS			
427	Spectrogram 1	1	4197.720000000	4199.878500000	2.1585	117.7200	46.880	414.800	TEST__0__20170917_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	7	0	X	bark		Y	bark	AR	RS			
428	Spectrogram 1	1	4296.183000000	4297.487900000	1.3049	96.1830	66.100	625.300	TEST__0__20170917_150801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_150801.wav	Y	3	0	X	bark		Y	bark	AR	RS			
429	Spectrogram 1	1	4312.951000000	4315.682700000	2.7317	112.9510	90.200	481.000	TEST__0__20170917_150801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_150801.wav	Y	7	0	X	bark		Y	bark	AR	RS			
441	Spectrogram 1	1	4398.317000000	4398.756000000	0.4390	78.3170	138.300	781.600	TEST__0__20170918_074401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_074401.wav	Y	1	0	X	bark		Y	bark	AR	RS			
449	Spectrogram 1	1	4584.829000000	4585.646000000	0.8170	24.8290	386.760	3258.161	TEST__0__20170918_084401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_084401.wav	Y	1	0	X	bark		Y	bark	AR	RS			
587	Spectrogram 1	1	4867.585000000	4868.938600000	1.3536	67.5850	140.640	1359.520	TEST__0__20170920_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_200801.wav	Y	4	0	X	bark		Y	bark	WH	RS			Bark - clear
589	Spectrogram 1	1	5028.841000000	5029.389700000	0.5487	108.8410	162.700	668.700	TEST__0__20170920_213201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_213201.wav	Y	1	0	X	bark		Y	bark	AR	RS			
595	Spectrogram 1	1	5094.854000000	5095.280800000	0.4268	54.8540	78.300	704.800	TEST__0__20170920_222001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_222001.wav	Y	1	0	X	bark	Faint	Y	bark	B50	RS			
635	Spectrogram 1	1	5231.037000000	5231.329700000	0.2927	71.0370	144.300	529.100	TEST__0__20170921_175601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_175601.wav	Y	1	0	X	bark	Faint	Y	bark	AR	RS			
637	Spectrogram 1	1	5307.488000000	5308.634300000	1.1463	27.4880	162.300	481.000	TEST__0__20170921_185601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_185601.wav	Y	4	0	X	bark	Faint	Y	bark	series	RS			
650	Spectrogram 1	1	5406.683000000	5407.109900000	0.4269	6.6830	174.300	565.100	TEST__0__20170922_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_014401.wav	Y	1	0	X	bark	faint	Y	bark	AR	RS			
651	Spectrogram 1	1	5499.768000000	5500.975300000	1.2073	99.7680	126.300	1316.600	TEST__0__20170922_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_014401.wav	Y	1	1	X	bark, yelp		Y	bark	AR	RS			
653	Spectrogram 1	1	5563.293000000	5563.573500000	0.2805	43.2930	120.200	745.500	TEST__0__20170922_030801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_030801.wav	Y	1	0	X	bark		Y	bark	AR	RS			
664	Spectrogram 1	1	5686.159000000	5686.537100000	0.3781	46.1590	186.400	781.600	TEST__0__20170922_050801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_050801.wav	Y	1	0	X	bark		Y	bark	AR	RS			
665	Spectrogram 1	1	5791.963000000	5792.548400000	0.5854	31.9630	60.100	583.200	TEST__0__20170922_053201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_053201.wav	Y	1	0	X	bark	Faint	Y	bark	AR	RS			
669	Spectrogram 1	1	5898.488000000	5898.988000000	0.5000	18.4880	186.400	811.600	TEST__0__20170922_082001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_082001.wav	Y	1	0	X	bark	Faint	Y	bark	AR	RS			
671	Spectrogram 1	1	5916.598000000	5917.085800000	0.4878	36.5980	36.100	1250.500	TEST__0__20170922_082001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_082001.wav	Y	1	0	X	bark		Y	bark	AR	RS			
693	Spectrogram 1	1	6207.927000000	6208.524600000	0.5976	87.9270	282.600	1316.600	TEST__0__20170922_145601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_145601.wav	Y	1	0	X	bark	faint	Y	bark	AR	RS			
707	Spectrogram 1	1	6293.634321380	6294.411645455	0.7773	53.6343	66.100	1142.300	TEST__0__20170922_205601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170922_205601.wav	Y	2	0	X	bark		Y	bark	AR	RS			
712	Spectrogram 1	1	6632.978389231	6633.548027670	0.5696	32.9784	442.308	1506.410	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark	SPLIT FROM 118							
713	Spectrogram 1	1	6633.877818345	6634.437463126	0.5596	33.8778	429.487	1493.590	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark	SPLIT FROM 118							
714	Spectrogram 1	1	6634.567380665	6634.967126938	0.3997	34.5674	448.718	1487.179	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark	SPLIT FROM 118							
715	Spectrogram 1	1	6635.256942986	6635.766619483	0.5097	35.2569	435.897	1506.410	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark	SPLIT FROM 118							
716	Spectrogram 1	1	6635.956498963	6636.426200833	0.4697	35.9565	423.077	1557.692	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark	SPLIT FROM 118							
717	Spectrogram 1	1	6636.566112029	6637.025820243	0.4597	36.5661	403.846	1512.821	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	1	0	X	bark	SPLIT FROM 118							
719	Spectrogram 1	1	38.702002181	39.611424952	0.9094	38.7020	70.513	980.769	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	Y	1	0	X	bark, yelp	SPLIT FROM 222							
720	Spectrogram 1	1	39.721355177	41.080492504	1.3591	39.7214	64.103	961.538	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	Y	1	2	X	bark, yelp	SPLIT FROM 222							
721	Spectrogram 1	1	43.998640295	45.207872771	1.2092	43.9986	83.333	974.359	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	Y	1	2	X	bark, yelp	SPLIT FROM 222							
722	Spectrogram 1	1	45.367771280	46.247213080	0.8794	45.3678	83.333	967.949	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	Y	1	1	X	bark, yelp	SPLIT FROM 222							
723	Spectrogram 1	1	46.676940323	47.586363093	0.9094	46.6769	102.564	980.769	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	Y	1	1	X	bark, yelp	SPLIT FROM 222							
724	Spectrogram 1	1	213.598881702	213.908685064	0.3098	93.5989	208.506	1142.249	TEST__0__20170914_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_172001.wav	Y	1	0	X	bark	Split from 313							
