Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	NEW analysis	KZ Keep? (Y/X/M)	Number of Barks (KZ)	Number of Yelps (KZ)	Overlap W Other Species (Y/X) (KZ)	Call Type (KZ)	KZ Comment 
16	Spectrogram 1	1	1027.198000000	1030.807664000	3.6097	127.6000	52.700	1063.900	164.062	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.16	Y	bark	"this is inside of Niki's selection, but it is a long one so I thought I'd higlight the barks"	AR								X	-	-	-	-	These are from 5, I've resplit these. 
17	Spectrogram 1	1	1047.582000000	1048.035347000	0.4533	147.9840	76.700	872.200	421.875	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.13	Y	bark	"this is inside of Niki's selection, but it is a long one so I thought I'd higlight the barks"	AR								X	-	-	-	-	These are from 5, I've resplit these.
30	Spectrogram 1	1	1007.788964824	1008.435949749	0.6470	108.1910	726.161	1078.240	855.469	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	10.58												X	0	2	X	yelp	Split from 4
31	Spectrogram 1	1	1010.301527638	1011.074140704	0.7726	110.7035	652.812	1276.284	1066.406	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	10.94												X	0	2	X	yelp	Split from 4
51	Spectrogram 1	1	1777.078527188	1777.487156735	0.4086	277.6645	830.882	1250.000	960.938	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.11												X	0	1	X	yelp	Split from 8
52	Spectrogram 1	1	1780.889441876	1781.298071423	0.4086	281.4754	911.765	1205.882	1042.969	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.18												X	0	1	X	yelp	Split from 8
53	Spectrogram 1	1	1784.496041790	1784.904671337	0.4086	285.0820	860.294	1272.059	1078.125	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	14.06												X	0	1	X	yelp	Split from 8
54	Spectrogram 1	1	1788.734619661	1789.143249208	0.4086	289.3206	860.294	1279.412	1125.000	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.30												X	0	1	X	yelp	Split from 8
56	Spectrogram 1	1	1796.312201981	1797.982253173	1.6701	296.8982	955.882	1463.235	1195.312	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	10.17												X	0	2	X	yelp	Split from 9
64	Spectrogram 1	1	2054.085801546	2055.205091175	1.1193	254.7181	139.706	1536.765	527.344	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	15.04												X	1	1	Y	bark, yelp	Loud overlap w bearded seal <1kHz, split from 10
1	Spectrogram 1	1	173.324000000	173.538100000	0.2141	173.3240	239.500	790.400	328.125	1208533023.040504065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040504065015.wav	14.27	Y	bark		ND	RS	low	ww?		RS			Y	1	0	X	bark	
11	Spectrogram 1	1	2117.984686873	2118.624280946	0.6396	18.7750	132.353	926.471	339.844	1208533023.050113235015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050113235015.wav	11.49	Y	bark		ND	RS						yes	Y	1	0	Y	bark	Overlap w beluga above 1kHz
12	Spectrogram 1	1	2614.990000000	2616.180000000	1.1900	215.7980	260.100	1115.600	339.844	1208533023.050207105015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050207105015.wav	11.88	Y	bark	faint	ND	RS	Low	dots .3 1 khz		RS			Y	2	0	X	bark	
14	Spectrogram 1	1	2760.964666667	2763.556440667	2.5918	61.8360	234.800	1068.700	492.188	1208533023.040928085015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	12.73	Y	"bark, yelp"	still faint	AR								Y	7	0	X	bark, yelp	very faint
15	Spectrogram 1	1	991.408000000	991.698826000	0.2908	91.8100	47.900	555.900	257.812	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	12.99	Y	bark?	It looks like it but I can't hear anything	AR								Y	1	0	X	bark	very faint
18	Spectrogram 1	1	2308.006666667	2308.340266667	0.3336	208.7970	517.600	1324.700	750.000	1208533023.050113235015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050113235015.wav	10.44	Y	bark		AR								Y	1	0	Y	bark	HF beluga overlap
19	Spectrogram 1	1	360.098810972	360.350067253	0.2513	60.2505	117.359	1422.983	257.812	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	14.62												Y	1	0	X	bark	Split from 2
20	Spectrogram 1	1	360.450569765	360.733233082	0.2827	60.6022	132.029	1422.983	562.500	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	12.92												Y	1	0	X	bark	Split from 2
21	Spectrogram 1	1	360.865142630	361.160368760	0.2952	61.0168	132.029	1430.318	457.031	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	14.05												Y	1	0	X	bark	Split from 2
22	Spectrogram 1	1	361.443032077	361.757102429	0.3141	61.5947	117.359	1422.983	562.500	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	13.99												Y	1	0	X	bark	split from 2
23	Spectrogram 1	1	891.932898139	895.911686315	3.9788	292.1719	205.379	1283.619	492.188	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	13.56												Y	8	9	X	bark	Split from 3
25	Spectrogram 1	1	897.188852663	899.500410452	2.3116	297.4279	176.039	1320.293	480.469	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	14.33												Y	7	6	X	bark, yelp	Split from 3
26	Spectrogram 1	1	1002.581678392	1003.134442211	0.5528	102.9837	80.685	894.866	609.375	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.61												Y	1	1	X	bark, yelp	Split from 4
27	Spectrogram 1	1	1003.329165829	1003.913336683	0.5842	103.7312	80.685	946.210	210.938	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.86												Y	1	1	X	bark, yelp	Split from 4
28	Spectrogram 1	1	1003.982432161	1004.510070352	0.5276	104.3844	80.685	1012.225	93.750	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.54												Y	1	1	X	bark, yelp	Split from 4
29	Spectrogram 1	1	1004.610572864	1005.238713568	0.6281	105.0126	95.355	1004.890	164.062	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	12.86												Y	1	1	X	bark, yelp	Split from 4
32	Spectrogram 1	1	1024.930558821	1025.615232187	0.6847	125.3326	44.010	902.200	46.875	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	15.14												Y	2	0	X	bark	Split from 5
33	Spectrogram 1	1	1027.342619122	1027.656689474	0.3141	127.7446	51.345	968.215	164.062	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	16.07												Y	1	0	X	bark	Split from 5
34	Spectrogram 1	1	1028.291111584	1028.975784951	0.6847	128.6931	58.680	1048.900	152.344	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.36												Y	1	1	X	bark, yelp	Split from 5
35	Spectrogram 1	1	1029.070006057	1029.396639223	0.3266	129.4720	66.015	1026.895	257.812	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.10												Y	1	0	X	bark	Split from 5
36	Spectrogram 1	1	1030.401664348	1030.759704549	0.3580	130.8037	51.345	1063.570	257.812	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.90												Y	1	0	X	bark	Split from 5
37	Spectrogram 1	1	1035.166980992	1036.090347826	0.9234	135.5690	7.335	946.210	11.719	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	15.84												Y	1	2	X	bark, yelp	Split from 5, FAINT
38	Spectrogram 1	1	1038.351654359	1041.297634259	2.9460	138.7536	44.010	1012.225	46.875	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.09												Y	4	4	X	bark, yelp	Split from 5
39	Spectrogram 1	1	1047.486024931	1048.327733474	0.8417	147.8880	44.010	1063.570	46.875	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.80												Y	1	1	X	bark, yelp	Split from 5
40	Spectrogram 1	1	1200.844364248	1201.284062741	0.4397	1.3360	183.824	1602.941	269.531	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.75												Y	2	0	X	bark	Split from 6
41	Spectrogram 1	1	1207.458383554	1208.752353403	1.2940	7.9500	44.118	1117.647	46.875	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	16.80												Y	3	2	X	bark, yelp	Split from 6
42	Spectrogram 1	1	1217.420695510	1217.841549781	0.4209	17.9124	36.765	1102.941	46.875	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	16.45												Y	1	0	X	bark	Wasn't annotated previously?
43	Spectrogram 1	1	1219.198333701	1219.631750786	0.4334	19.6900	29.412	1051.471	35.156	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	16.56												Y	1	0	X	bark	Wasn't annotated previously?
44	Spectrogram 1	1	1219.939539731	1220.316424153	0.3769	20.4312	51.471	1044.118	70.312	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.45												Y	1	0	X	bark	Wasn't annotated previously?
45	Spectrogram 1	1	1222.685499301	1223.169167643	0.4837	23.1772	44.118	1323.529	46.875	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.23												Y	1	0	X	bark	Wasn't annotated previously?
46	Spectrogram 1	1	1230.764065479	1231.323110705	0.5590	31.2557	51.471	1566.176	58.594	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	15.29												Y	2	0	X	bark	Wasn't annotated previously?
47	Spectrogram 1	1	1763.976796682	1764.998370549	1.0216	264.5628	286.765	1250.000	480.469	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.44												Y	2	1	X	bark, yelp	Split from 7
48	Spectrogram 1	1	1767.346671896	1770.002763951	2.6561	267.9327	286.765	1566.176	890.625	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.42												Y	4	4	X	bark, yelp	Split from 7
49	Spectrogram 1	1	1774.065849529	1775.016357388	0.9505	274.6519	279.412	1294.118	996.094	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.78												Y	1	1	X	bark, yelp	Split from 7
50	Spectrogram 1	1	1778.661041980	1779.957996629	1.2970	279.2470	73.529	1669.118	1031.250	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	14.67												Y	2	1	X	bark, yelp	Split from 8
55	Spectrogram 1	1	1791.125314250	1793.106279227	1.9810	291.7113	242.647	1522.059	1078.125	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.33												Y	2	3	X	bark, yelp	Split from 9
57	Spectrogram 1	1	1798.214782131	1799.307422007	1.0926	298.8008	242.647	1500.000	562.500	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.59												Y	2	2	X	bark, yelp	Split from 9
60	Spectrogram 1	1	2032.487587590	2033.109415161	0.6218	233.1199	125.000	1742.647	679.688	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	14.70												Y	1	1	X	bark, yelp	Split from 10
61	Spectrogram 1	1	2037.870837708	2038.705863304	0.8350	238.5032	139.706	1485.294	445.312	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	12.84												Y	1	1	X	bark, yelp	Split from 10
62	Spectrogram 1	1	2041.546970331	2042.435295433	0.8883	242.1793	117.647	1625.000	515.625	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	14.41												Y	1	0	X	bark	Split from 10
63	Spectrogram 1	1	2044.771590451	2045.437834278	0.6662	245.4039	147.059	1580.882	750.000	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	14.87												Y	1	0	Y	bark, yelp	Split from 10, faint overlap w bearded seal
69	Spectrogram 1	1	1036.676888030	1037.503030375	0.8261	137.0789	62.392	1029.464	70.312	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.31												Y	1	1	X	bark, yelp	Split from 5
