Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
1503	Spectrogram 1	1	1949.335000000	1952.200000000	2.8650	29.3350	235.200	686.400	TEST__0__20171008_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_132001.wav	Y	bark	faint	RS	3						X	-	-	-	-	-	S
1509	Spectrogram 1	1	2141.398000000	2142.340000000	0.9420	101.3980	63.600	1290.200	TEST__0__20171008_174401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_174401.wav	Y	bark	faint	RS	1						Y	1	0	X	bark	-	
1515	Spectrogram 1	1	2225.874000000	2227.343948000	1.4699	65.8740	88.200	768.900	TEST__0__20171008_202001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_202001.wav	Y	bark	To me it sounds like a fish	RS	2						Y	1	1	X	"bark, yelp"	-	
1517	Spectrogram 1	1	2246.086000000	2246.576600000	0.4906	86.0860	113.400	813.000	TEST__0__20171008_202001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_202001.wav	Y	bark	faint	RS	1						Y	1	0	X	bark	-	
1519	Spectrogram 1	1	2311.112100000	2311.677427000	0.5653	31.1121	105.189	794.765	TEST__0__20171008_205601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_205601.wav	Y	bark	WH	RS	1						Y	1	0	X	bark	-	
1521	Spectrogram 1	1	2499.595000000	2501.655500000	2.0605	99.5950	390.800	1084.000	TEST__0__20171008_213201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_213201.wav	Y	"bark, yelp"	WH	RS	2						Y	1	1	X	"bark, yelp"	-	
1524	Spectrogram 1	1	2561.882000000	2563.216400000	1.3344	41.8820	226.700	1013.300	TEST__0__20171008_233201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_233201.wav	Y	bark	a bit masked WH	RS	2						Y	2	0	X	bark	-	
1526	Spectrogram 1	1	2742.106000000	2750.426500000	8.3205	102.1060	133.300	606.700	TEST__0__20171009_004401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_004401.wav	Y	bark		RS	series						X	-	-	-	-	-	S
1527	Spectrogram 1	1	2698.079800000	2698.569750000	0.4900	58.0798	126.700	733.300	TEST__0__20171009_004401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_004401.wav	Y	bark	faint	RS	1						Y	1	0	X	bark	-	Faint
1531	Spectrogram 1	1	2794.215000000	2801.848600000	7.6336	34.2150	80.000	1640.000	TEST__0__20171009_013201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_013201.wav	Y	bark	good series	RS	series			good one			X	-	-	-	-	-	S
1532	Spectrogram 1	1	2767.437000000	2777.523500000	10.0865	7.4370	86.700	986.700	TEST__0__20171009_013201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_013201.wav	Y	bark	good series	RS	series			good one			X	-	-	-	-	-	S
1534	Spectrogram 1	1	2905.954000000	2906.824487000	0.8705	25.9540	100.900	1157.084	TEST__0__20171009_053201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_053201.wav	Y	"bark, yelp"	Yelp and bark almost simultaneously	RS	1			?	RS		Y	1	0	X	bark	-	
1537	Spectrogram 1	1	3028.139000000	3028.806200000	0.6672	28.1390	135.700	1185.500	TEST__0__20171009_063201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_063201.wav	Y	bark		RS	2			?	RS		X	1	0	X	bark		Too quiet
1541	Spectrogram 1	1	3168.134000000	3172.380100000	4.2461	48.1340	58.700	1298.900	TEST__0__20171009_082001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_082001.wav	Y	bark	second one visible enough below the noise	RS	series						X	2	0	X	bark	-	Too quiet
1552	Spectrogram 1	1	3344.484000000	3345.327800000	0.8438	104.4840	147.100	914.700	TEST__0__20171009_114401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_114401.wav	Y	bark	WH distorted bark	RS				?	RS		Y	1	0	X	bark	--	
1553	Spectrogram 1	1	3265.579000000	3266.540600000	0.9616	25.5790	140.700	831.600	TEST__0__20171009_114401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_114401.wav	Y	bark	WH	RS	1			?	RS		Y	1	0	X	bark	-	
1555	Spectrogram 1	1	3436.698000000	3437.541800000	0.8438	76.6980	337.200	922.000	TEST__0__20171009_122001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_122001.wav	Y	bark		RS	1						Y	1	0	X	bark	-	
1556	Spectrogram 1	1	3487.477000000	3489.635600000	2.1586	7.4770	151.940	736.326	TEST__0__20171009_125601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_125601.wav	Y	bark	small	RS	2						X	2	0	X	bark	-	Too quiet
1558	Spectrogram 1	1	3636.555000000	3637.163400000	0.6084	36.5550	117.500	953.900	TEST__0__20171009_130801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_130801.wav	Y	bark		RS	1						Y	1	0	X	bark	-	
1564	Spectrogram 1	1	3791.882000000	3800.594900000	8.7129	71.8820	138.200	1548.400	TEST__0__20171009_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_140801.wav	Y	bark	series	RS							X	-	-	-	-	-	S
1569	Spectrogram 1	1	3850.499000000	3851.283900000	0.7849	10.4990	69.100	1030.000	TEST__0__20171009_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_143201.wav	Y	bark		RS				?	RS		Y	1	0	X	bark	-	
1593	Spectrogram 1	1	3980.594700000	3981.398720000	0.8040	20.5947	117.500	1686.600	TEST__0__20171009_170801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_170801.wav	Y	"bark, yelp"	There is definitely a bark. WH	RS	1						Y	1	0	X	bark	-	
1684	Spectrogram 1	1	4117.551000000	4161.037100000	43.4861	37.5510	137.300	2581.200	TEST__0__20171009_223201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171009_223201.wav	Y	"bark, yelp"	alternating yelps and barks. Pretty clear series.	RS				good ones			X	-	-	-	-	-	S
1703	Spectrogram 1	1	4239.867000000	4242.084500000	2.2175	39.8670	175.300	1129.900	TEST__0__20171010_045601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171010_045601.wav	Y	"bark, yelp"	Is this a yelp and then a bark. WH	RS				?	RS		Y	1	1	X	"bark, yelp"	-	
1710	Spectrogram 1	1	4383.304000000	4384.403000000	1.0990	63.3040	188.300	629.900	TEST__0__20171010_062001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171010_062001.wav	Y	bark	WH	RS	1			?	RS		Y	1	0	X	bark	-	
1717	Spectrogram 1	1	4486.883700000	4487.511841000	0.6281	46.8837	189.100	826.446	TEST__0__20171010_072001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171010_072001.wav	Y	bark	WH	RS	1						X	1	0	X	bark	-	Too faint
1838	Spectrogram 1	1	4573.450000000	4574.666700000	1.2167	13.4500	55.600	736.100	TEST__0__20171010_205601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171010_205601.wav	Y	bark	heavily masked	RS	1			good one			Y	1	0	X	bark	-	
2612	Spectrogram 1	1	4744.651300000	4745.279441000	0.6281	64.6513	126.500	674.500	TEST__0__20171014_050801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_050801.wav	Y	bark	Masked. WH	RS	1						X	1	0	X	bark	-	Too faint
2661	Spectrogram 1	1	4910.597700000	4911.125338000	0.5276	110.5977	99.300	1156.400	TEST__0__20171014_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_132001.wav	Y	bark		RS	1						Y	1	0	X	bark	-	
2667	Spectrogram 1	1	5022.881000000	5030.926800000	8.0458	102.8810	119.200	1715.200	TEST__0__20171014_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_143201.wav	Y	"bark, yelp"	AH	RS	series			yelps-barks			X	-	-	-	-	-	S
2677	Spectrogram 1	1	5046.114000000	5046.880332000	0.7663	6.1140	172.200	1046.400	TEST__0__20171014_164401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_164401.wav	Y	"bark, yelp"	yelp-bark WH	RS	1						Y	1	1	X	"bark, yelp"	-	
2680	Spectrogram 1	1	5233.932500000	5236.218932000	2.2864	73.9325	370.900	2807.900	TEST__0__20171014_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_172001.wav	Y	bark	WH	RS	2			good ones			Y	2	1	X	bark	-	Weird sounding to me
2682	Spectrogram 1	1	5326.820300000	5330.112026000	3.2917	46.8203	278.100	1331.100	TEST__0__20171014_174401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_174401.wav	Y	bark	I think there is a yelp at the beginning?	RS	series						X	-	-	-	-	-	S
2692	Spectrogram 1	1	5448.820000000	5454.295000000	5.4750	48.8200	319.300	898.000	TEST__0__20171014_192001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171014_192001.wav	Y	bark	I think there are also yelps? it is faint	RS	series						X	-	-	-	-	-	S
2757	Spectrogram 1	1	5569.159000000	5574.908700000	5.7497	49.1590	211.000	876.900	TEST__0__20171015_052001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_052001.wav	Y	bark	WH	RS	series			"grunts, good ones"			X	-	-	-	-	-	S
2762	Spectrogram 1	1	5751.853000000	5758.623200000	6.7702	111.8530	125.300	501.100	TEST__0__20171015_075601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_075601.wav	Y	bark	"Annika called it a grunt, but they are barks"	RS	series			"grunts, faint"			X	14	0	X	bark	-	Too faint
2763	Spectrogram 1	1	5873.987800000	5874.528001000	0.5402	113.9878	105.500	1186.800	TEST__0__20171015_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_083201.wav	Y	bark	WH	RS	1			good one			Y	1	0	X	bark	-	
2766	Spectrogram 1	1	5888.275600000	5890.222836000	1.9472	8.2756	329.700	2808.800	TEST__0__20171015_102001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_102001.wav	Y	"bark, yelp"	WH	RS	1			I guess that is boat noise	RS		X	0	2	X	yelp	-	
2767	Spectrogram 1	1	5999.006600000	5999.546801000	0.5402	119.0066	428.600	1885.700	TEST__0__20171015_102001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_102001.wav	Y	"bark, yelp"	downsweep yelp and bark simultaneous. WH	RS	1				RS		X	0	1	X	yelp	-	
2771	Spectrogram 1	1	6015.993000000	6021.546500000	5.5535	15.9930	50.300	1195.000	TEST__0__20171015_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_124401.wav	Y	bark	yelp-bark series	RS	series			good ones			X	-	-	-	-	-	S
2772	Spectrogram 1	1	6220.475000000	6229.776700000	9.3017	100.4750	44.000	1050.300	TEST__0__20171015_130801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_130801.wav	Y	"bark, yelp"		RS	series			giood ones			X	-	-	-	-	-	S
2774	Spectrogram 1	1	6197.480000000	6203.798800000	6.3188	77.4800	62.900	1220.100	TEST__0__20171015_130801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_130801.wav	Y	"bark, yelp"		RS	series			good ones			X	-	-	-	-	-	S
2775	Spectrogram 1	1	6179.719000000	6192.709800000	12.9908	59.7190	56.600	1125.800	TEST__0__20171015_130801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_130801.wav	Y	"bark, yelp"		RS	series			good ones			X	-	-	-	-	-	S
2776	Spectrogram 1	1	6299.753700000	6300.117913292	0.3642	59.7537	383.600	1207.500	TEST__0__20171015_135601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_135601.wav	Y	"bark, yelp?"	WH	RS	1						Y	1	0	X	bark	-	
2788	Spectrogram 1	1	6421.246600000	6421.895077324	0.6485	61.2466	82.600	953.400	TEST__0__20171015_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_172001.wav	Y	bark	masked partially	RS	1						Y	1	0	X	B	-	Borderline too faint
2789	Spectrogram 1	1	6395.836000000	6396.621000000	0.7850	35.8360	89.000	1086.900	TEST__0__20171015_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_172001.wav	Y	bark	partially masked	RS	1			?	RS		X	1	0	X	B	-	too faint
2795	Spectrogram 1	1	6583.949800000	6584.429495555	0.4797	103.9498	234.700	1084.600	TEST__0__20171015_182001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_182001.wav	Y	bark	WH	RS	1						Y	1	0	X	B	-	Borderline too faint
2801	Spectrogram 1	1	6692.707300000	6694.208569423	1.5013	92.7073	362.600	975.800	TEST__0__20171015_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171015_214401.wav	Y	bark	WH	RS	3			not sure if biological	RS		Y	3	0	X	B		
2828	Spectrogram 1	1	6820.749000000	6832.601700000	11.8527	100.7490	125.300	1312.100	TEST__0__20171016_053201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_053201.wav	Y	"bark, yelp"	series	RS	series			good			X	-	-	-	-	-	S
2829	Spectrogram 1	1	6762.234900000	6762.670179300	0.4353	42.2349	125.300	672.500	TEST__0__20171016_053201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_053201.wav	Y	bark		RS	1						Y	1	0	X	B	-	
2832	Spectrogram 1	1	6864.335200000	6864.894844814	0.5596	24.3352	191.200	1087.900	TEST__0__20171016_062001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_062001.wav	Y	bark	distorted close bark. WH	RS	1						Y	1	0	X	B	-	S
2839	Spectrogram 1	1	7006.859000000	7033.633400000	26.7744	46.8590	320.800	2402.500	TEST__0__20171016_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_140801.wav	Y	"bark, yelp"	WH	RS				is that a RS?	RS		X	-	-	-	-	-	S
2842	Spectrogram 1	1	7109.493000000	7112.093747525	2.6007	29.4930	81.800	1289.300	TEST__0__20171016_143201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_143201.wav	Y	"bark, yelp"	WH	RS	series						Y	2	2	X	BY	-	
2843	Spectrogram 1	1	7243.292000000	7244.960000000	1.6680	43.2920	81.800	1176.100	TEST__0__20171016_144401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_144401.wav	Y	bark	WH	RS							Y	1	0	X	B	-	
2845	Spectrogram 1	1	7335.923000000	7336.864900000	0.9419	15.9230	135.200	757.900	TEST__0__20171016_162001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_162001.wav	Y	bark		RS	1						Y	1	0	X	B	-	Borderline too faint
2848	Spectrogram 1	1	7441.334000000	7442.354400000	1.0204	1.3340	100.600	628.900	TEST__0__20171016_170801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171016_170801.wav	Y	bark	WH	RS	1						X	1	0	X	B	-	Too faint
3207	Spectrogram 1	1	7620.996000000	7629.041700000	8.0457	60.9960	128.400	1243.200	TEST__0__20171018_085601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_085601.wav	Y	bark	faint bark series	RS	series						X	3	0	X	B	-	Too faint
3213	Spectrogram 1	1	7711.609200000	7713.945883417	2.3367	31.6092	141.000	730.800	TEST__0__20171018_110801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_110801.wav	Y	bark	distorted series	RS				not sure if that is biological/RS	RS	"Weird echo, a bit of water noise, but definitely RS there"	Y	2	2	Y	BY	-	Weird HF sound above 1kHz, creeeepy
3217	Spectrogram 1	1	7908.303200000	7919.808640704	11.5054	108.3032	102.800	2042.800	TEST__0__20171018_132001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_132001.wav	Y	"bark, yelp"	AH	RS	series			"good one, yelps-barks"			X	-	-	-	-	-	S
3225	Spectrogram 1	1	8033.506000000	8037.077500000	3.5715	113.5060	154.200	2081.400	TEST__0__20171018_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_152001.wav	Y	bark	Are those low freq yelps or weird distorted barks. WH	RS	2						X	-	-	-	-	-	S
3229	Spectrogram 1	1	8107.912800000	8108.401378807	0.4886	67.9128	300.000	1683.100	TEST__0__20171018_155601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_155601.wav	Y	bark		RS	1						Y	1	0	X	B	-	
3230	Spectrogram 1	1	8220.968000000	8232.408600000	11.4406	60.9680	45.000	1561.000	TEST__0__20171018_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_160801.wav	Y	"bark, yelp"	series	RS	series			or non biological?	RS		X	-	-	-	-	-	S
3231	Spectrogram 1	1	8362.410000000	8372.889100000	10.4791	82.4100	257.000	1676.700	TEST__0__20171018_164401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_164401.wav	Y	bark		RS	series			interestingely straight after heavy noise disturbance		"There's a good chance that ""noise disturbance"" was a seal"	X	-	-	-	-	-	S
3237	Spectrogram 1	1	8456.502600000	8457.284326090	0.7817	56.5026	391.900	2605.714	TEST__0__20171018_182001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_182001.wav	Y	bark	WH	RS	1				RS		Y	1	0	X	B	-	
3239	Spectrogram 1	1	8636.876500000	8640.092236869	3.2157	116.8765	179.900	2126.300	TEST__0__20171018_203201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_203201.wav	Y	bark	series	RS	series			incomplete			Y	5	0	X	B	-	
3242	Spectrogram 1	1	8682.493200000	8683.568073373	1.0749	42.4932	366.200	4080.000	TEST__0__20171018_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171018_220801.wav	Y	"bark, yelp"	simultaneous bark-yelp WH	RS					RS		Y	1	0	X	B	-	
3248	Spectrogram 1	1	8762.237000000	8776.444500000	14.2075	2.2370	224.800	1246.300	TEST__0__20171019_023201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_023201.wav	Y	"bark, yelp"	faint series	RS	series						X	-	-	-	-	-	S
3250	Spectrogram 1	1	8960.257200000	8960.728012305	0.4708	80.2572	180.000	1011.429	TEST__0__20171019_033201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_033201.wav	Y	bark	faint	RS	1		Large				Y	1	0	X	B	-	S
3254	Spectrogram 1	1	9097.845500000	9100.870803908	3.0253	97.8455	102.800	860.800	TEST__0__20171019_060801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_060801.wav	Y	bark		RS	series						X	-	-	-	-	-	S
3258	Spectrogram 1	1	9211.873800000	9213.774815718	1.9010	91.8738	128.571	887.100	TEST__0__20171019_084401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_084401.wav	Y	bark		RS	3						X	-	-	-	-	-	S
3265	Spectrogram 1	1	9281.290000000	9286.411800000	5.1218	41.2900	86.900	628.100	TEST__0__20171019_103201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_103201.wav	Y	bark		RS	3			biological? very faint	RS		X	-	-	-	-	-	S
3267	Spectrogram 1	1	9369.498000000	9373.363800000	3.8658	9.4980	190.700	1086.900	TEST__0__20171019_114401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_114401.wav	Y	bark	WH	RS				could be RS or water movement	RS		X	-	-	-	-	-	S
3273	Spectrogram 1	1	9551.645000000	9567.677500000	16.0325	71.6450	84.100	1415.900	TEST__0__20171019_153201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171019_153201.wav	Y	"bark, yelp"	Close series with distorted barks and yelps	RS	series			good one			X	-	-	-	-	-	S
