Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	KZ Done?
655	Spectrogram 1	1	36432.359400000	36432.359400000	1120.332	1120.332	67653638.220518013559.wav	RS	YELP		RS yelp	Y
656	Spectrogram 1	1	36445.413360000	36445.413360000	1000.000	1000.000	67653638.220518013559.wav	RS	YELP		RS yelp	Y
657	Spectrogram 1	1	36447.860370000	36447.860370000	1021.277	1021.277	67653638.220518013559.wav	RS	YELP		RS yelp	Y
660	Spectrogram 1	1	36515.398470000	36515.398470000	1297.872	1297.872	67653638.220518013559.wav	RS	YELP		Yelp	Y
669	Spectrogram 1	1	37119.817360000	37119.826990000	196.911	196.911	67653638.220518014559.wav	LIKELY RS			Likely RS growl	Y
671	Spectrogram 1	1	37233.071430000	37233.071430000	1010.638	1010.638	67653638.220518015059.wav	RS	YELP		RS yelp	Y
672	Spectrogram 1	1	37234.487610000	37234.487610000	936.170	936.170	67653638.220518015059.wav	RS	YELP		RS yelp	Y
673	Spectrogram 1	1	37246.716530000	37246.716530000	914.894	914.894	67653638.220518015059.wav	RS	YELP		RS yelp	Y
674	Spectrogram 1	1	37252.458340000	37252.458340000	957.447	957.447	67653638.220518015059.wav	RS	YELP		RS yelp	Y
675	Spectrogram 1	1	37253.797460000	37253.797460000	914.894	914.894	67653638.220518015059.wav	RS	YELP		RS yelp	Y
694	Spectrogram 1	1	41154.891360000	41154.891360000	1446.809	1446.809	67653638.220518025559.wav	RS	YELP		Yelp	Y
695	Spectrogram 1	1	41160.363420000	41160.363420000	1148.936	1148.936	67653638.220518025559.wav	RS	YELP		Yelp	Y
696	Spectrogram 1	1	41163.609180000	41163.609180000	1138.298	1138.298	67653638.220518025559.wav	RS	YELP		Yelp	Y
697	Spectrogram 1	1	41164.591830000	41164.591830000	1127.660	1127.660	67653638.220518025559.wav	RS	YELP		Yelp	Y
698	Spectrogram 1	1	41165.690100000	41165.690100000	989.362	989.362	67653638.220518025559.wav	RS	YELP		Yelp	Y
699	Spectrogram 1	1	41166.913610000	41166.913610000	1010.638	1010.638	67653638.220518025559.wav	RS	YELP		Yelp	Y
701	Spectrogram 1	1	44486.765580000	44486.765580000	954.064	954.064	67653638.220518035059.wav	RS	YELP		RS yelp	Y
702	Spectrogram 1	1	44742.183350000	44742.183350000	1197.880	1197.880	67653638.220518035559.wav	RS	YELP		RS yelp	Y
703	Spectrogram 1	1	44743.108210000	44743.108210000	1123.675	1123.675	67653638.220518035559.wav	RS	YELP		RS yelp	Y
704	Spectrogram 1	1	44747.135180000	44747.135180000	1219.081	1219.081	67653638.220518035559.wav	RS	YELP		RS yelp	Y
705	Spectrogram 1	1	44889.110990000	44889.110990000	1134.276	1134.276	67653638.220518035559.wav	RS	YELP		RS yelp	Y
730	Spectrogram 1	1	51318.134490000	51318.134490000	1007.067	1007.067	67653638.220518054559.wav	RS	YELP		RS yelp	Y
731	Spectrogram 1	1	51392.909390000	51392.909390000	1060.071	1060.071	67653638.220518054559.wav	RS	YELP		RS yelp	Y
732	Spectrogram 1	1	51395.549080000	51395.549080000	1113.074	1113.074	67653638.220518054559.wav	RS	YELP		RS yelp	Y
733	Spectrogram 1	1	51463.317510000	51463.317510000	1208.481	1208.481	67653638.220518054559.wav	RS	YELP		RS yelp	Y
734	Spectrogram 1	1	51464.386880000	51464.386880000	1282.686	1282.686	67653638.220518054559.wav	RS	YELP		RS yelp	Y
735	Spectrogram 1	1	51481.707780000	51481.707780000	551.237	551.237	67653638.220518054559.wav	RS	YELP		RS yelp	Y
736	Spectrogram 1	1	51488.143220000	51488.143220000	572.438	572.438	67653638.220518054559.wav	RS	YELP		RS yelp	Y
753	Spectrogram 1	1	55245.416830000	55245.416830000	720.848	720.848	67653638.220518065059.wav	RS	YELP		Yelp	Y
754	Spectrogram 1	1	55267.931290000	55267.931290000	634.146	634.146	67653638.220518065059.wav	RS	YELP		Yelp	Y
755	Spectrogram 1	1	55295.483390000	55295.483390000	710.247	710.247	67653638.220518065059.wav	RS	YELP		Yelp	Y
756	Spectrogram 1	1	55493.180020000	55493.180020000	954.064	954.064	67653638.220518065059.wav	RS	YELP		Yelp	Y
758	Spectrogram 1	1	77551.583410000	77551.583410000	943.463	943.463	67653638.220518130100.wav	RS	YELP		Yelp	Y
759	Spectrogram 1	1	77552.700940000	77552.700940000	869.258	869.258	67653638.220518130100.wav	RS			Yelp	Y
760	Spectrogram 1	1	37200.933650000	37200.933650000	856.354	856.354	67653638.220518014559.wav	RS	Yelp		WH marked	Y
761	Spectrogram 1	1	37228.969330000	37228.969330000	1033.149	1033.149	67653638.220518015059.wav	RS	Yelp		WH marked	Y
762	Spectrogram 1	1	37251.229080000	37251.229080000	961.326	961.326	67653638.220518015059.wav	RS	Yelp		WH marked	Y
763	Spectrogram 1	1	44485.979920000	44485.979920000	988.950	988.950	67653638.220518035059.wav	RS	Yelp		WH marked	Y
765	Spectrogram 1	1	29694.453660000	29694.453660000	883.978	883.978	67653638.220517234058.wav	RS	Bark		WH marked	Y
766	Spectrogram 1	1	36419.711280000	36419.711280000	646.409	646.409	67653638.220518013559.wav	RS	Bark		WH marked	Y
767	Spectrogram 1	1	36415.308670000	36415.308670000	1093.923	1093.923	67653638.220518013559.wav	RS	Yelp		WH marked	Y
768	Spectrogram 1	1	36416.626560000	36416.626560000	1055.249	1055.249	67653638.220518013559.wav	RS	Yelp		WH marked	Y
769	Spectrogram 1	1	55242.429870000	55242.429870000	646.409	646.409	67653638.220518065059.wav	RS	Yelp		WH marked	Y
770	Spectrogram 1	1	55494.920710000	55494.920710000	540.000	540.000	67653638.220518065059.wav	RS	Bark		WH marked	Y
771	Spectrogram 1	1	77553.276610000	77553.276610000	303.867	303.867	67653638.220518130100.wav	RS	Bark		WH marked	
