Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin Hour	Species	Call type	Comments	Quantity	WH	KZ Done?
180	Spectrogram 1	1	7743.815876000	7745.655953000	96.774	462.366	-90.47	2	RS	BARK		2		Y
181	Spectrogram 1	1	7746.600076000	7746.600076000	1258.065	1258.065	-109.25	2	RS	YELP				Y
182	Spectrogram 1	1	7796.495840000	7796.495840000	881.720	881.720	-118.57	2	RS	YELP				Y
183	Spectrogram 1	1	7809.674160000	7809.674160000	1225.806	1225.806	-124.12	2	RS	YELP				Y
185	Spectrogram 1	1	7830.881900000	7830.881900000	268.817	268.817	-124.40	2	RS	BARK				Y
186	Spectrogram 1	1	7831.941630000	7831.941630000	1032.258	1032.258	-116.39	2	RS	YELP				Y
187	Spectrogram 1	1	7839.650527000	7839.650527000	1064.516	1064.516	-110.39	2	RS	YELP				Y
197	Spectrogram 1	1	8771.689412000	8771.689412000	924.731	924.731	-124.01	2	RS	YELP				Y
198	Spectrogram 1	1	8808.952496000	8808.952496000	1268.817	1268.817	-118.71	2	RS	YELP				Y
203	Spectrogram 1	1	9053.628455000	9053.628455000	204.301	204.301	-110.43	2	RS	GROWL			Growl	Y
209	Spectrogram 1	1	9440.838121000	9440.838121000	1387.097	1387.097	-120.38	2	RS	YELP				Y
210	Spectrogram 1	1	9443.352572000	9443.352572000	1247.312	1247.312	-128.26	2	RS	YELP				Y
211	Spectrogram 1	1	9451.814648000	9455.494802000	612.903	1440.860	-102.71	2	RS	YELP		4		Y
217	Spectrogram 1	1	9960.933587000	9960.933587000	301.075	301.075	-105.82	2	RS	BARK			Bark	Y
221	Spectrogram 1	1	10179.414040000	10179.414040000	279.570	279.570	-117.52	2	RS	GROWL				Y
226	Spectrogram 1	1	10586.966160000	10586.966160000	1559.140	1559.140	-138.34	2	RS	YELP				Y
228	Spectrogram 1	1	10595.609540000	10595.821480000	1053.763	1634.409	-95.95	2	RS	YELP				Y
231	Spectrogram 1	1	10708.107340000	10708.107340000	150.538	150.538	-89.38	2	RS	GROWL			Growl	Y
257	Spectrogram 1	1	13181.425770000	13181.425770000	763.441	763.441	-119.18	3	RS	YELP				Y
260	Spectrogram 1	1	13372.151830000	13372.151830000	817.204	817.204	-101.79	3	RS	YELP				Y
261	Spectrogram 1	1	13382.334000000	13382.334000000	1150.538	1150.538	-108.85	3	RS	YELP				Y
263	Spectrogram 1	1	13428.102090000	13428.102090000	1548.387	1548.387	-121.85	3	RS	YELP				Y
264	Spectrogram 1	1	13437.414570000	13437.414570000	1032.258	1032.258	-120.59	3	RS	YELP				Y
265	Spectrogram 1	1	13438.946360000	13438.946360000	795.699	795.699	-120.87	3	RS	YELP				Y
266	Spectrogram 1	1	13445.364310000	13445.364310000	430.108	430.108	-112.75	3	RS	BARK				Y
267	Spectrogram 1	1	13445.576250000	13445.576250000	806.452	806.452	-109.17	3	RS	YELP				Y
268	Spectrogram 1	1	13445.894170000	13445.894170000	591.398	591.398	-120.53	3	RS	BARK				Y
269	Spectrogram 1	1	13493.994530000	13493.994530000	1365.591	1365.591	-119.81	3	RS	YELP				Y
270	Spectrogram 1	1	13504.873850000	13504.873850000	849.462	849.462	-113.60	3	RS	YELP				Y
271	Spectrogram 1	1	13510.323990000	13510.323990000	806.452	806.452	-120.05	3	RS	YELP				Y
272	Spectrogram 1	1	13516.297020000	13516.297020000	870.968	870.968	-122.14	3	RS	YELP				Y
289	Spectrogram 1	1	15072.376920000	15080.980000000	86.022	430.108	-89.95	4	RS	BARK		10	Bark	Y
290	Spectrogram 1	1	15085.946730000	15091.833040000	96.774	516.129	-90.48	4	RS	BARK		8	Bark	Y
291	Spectrogram 1	1	15094.598850000	15094.598850000	1193.548	1193.548	-122.22	4	RS	YELP				Y
292	Spectrogram 1	1	15095.571870000	15097.720240000	150.538	752.688	-96.83	4	RS	BARK		6	Bark	Y
293	Spectrogram 1	1	15108.652100000	15108.652100000	258.065	258.065	-112.23	4	RS	GROWL				Y
299	Spectrogram 1	1	15537.572210000	15537.572210000	1043.011	1043.011	-111.46	4	RS	YELP				Y
304	Spectrogram 1	1	15772.131690000	15772.131690000	204.188	204.188	-116.42	4	LIKELY RS				"Likely RS, but unknown"	Y
314	Spectrogram 1	1	16487.255180000	16487.255180000	1225.806	1225.806	-107.24	4	RS	YELP				Y
315	Spectrogram 1	1	16565.533340000	16565.533340000	225.806	225.806	-107.34	4	RS	GROWL			Growl	Y
322	Spectrogram 1	1	17101.607080000	17101.607080000	1365.591	1365.591	-116.71	4	RS	YELP				Y
323	Spectrogram 1	1	17102.233280000	17102.454860000	881.720	1387.097	-91.06	4	RS	YELP				Y
324	Spectrogram 1	1	17104.599700000	17104.985060000	774.194	1053.763	-90.95	4	RS	YELP				Y
326	Spectrogram 1	1	17113.762440000	17113.762440000	1086.022	1086.022	-124.07	4	RS	YELP				Y
327	Spectrogram 1	1	17121.617570000	17128.197530000	623.656	1258.065	-100.99	4	RS	YELP		4		Y
328	Spectrogram 1	1	17134.765260000	17134.977200000	892.473	1354.839	-90.52	4	RS	YELP				Y
329	Spectrogram 1	1	17143.185300000	17143.185300000	1129.032	1129.032	-130.71	4	RS	YELP				Y
342	Spectrogram 1	1	18008.497080000	18008.497080000	1253.571	1253.571	-114.96	5	RS	YELP				Y
343	Spectrogram 1	1	18009.075110000	18009.075110000	460.714	460.714	-124.39	5	RS	BARK				Y
344	Spectrogram 1	1	18009.633880000	18009.633880000	342.857	342.857	-130.71	5	RS	BARK				Y
345	Spectrogram 1	1	18010.558730000	18010.558730000	1189.286	1189.286	-112.79	5	RS	YELP				Y
346	Spectrogram 1	1	18012.292840000	18012.292840000	1221.429	1221.429	-120.97	5	RS	YELP				Y
347	Spectrogram 1	1	18013.747560000	18013.747560000	1114.286	1114.286	-128.10	5	RS	YELP				Y
348	Spectrogram 1	1	18014.855460000	18014.855460000	450.000	450.000	-105.48	5	RS	BARK				Y
349	Spectrogram 1	1	18015.057770000	18015.057770000	1082.143	1082.143	-107.34	5	RS	YELP				Y
350	Spectrogram 1	1	18015.414230000	18015.414230000	450.000	450.000	-119.65	5	RS	BARK				Y
351	Spectrogram 1	1	18015.915190000	18015.915190000	417.857	417.857	-109.46	5	RS	BARK				Y
352	Spectrogram 1	1	18015.568370000	18015.568370000	1114.286	1114.286	-120.11	5	RS	YELP				Y
353	Spectrogram 1	1	18016.098230000	18016.098230000	1167.857	1167.857	-121.12	5	RS	YELP				Y
354	Spectrogram 1	1	18016.396880000	18016.396880000	385.714	385.714	-120.74	5	RS	BARK				Y
355	Spectrogram 1	1	18016.551020000	18016.551020000	1092.857	1092.857	-118.00	5	RS	YELP				Y
356	Spectrogram 1	1	18017.138690000	18017.138690000	1200.000	1200.000	-114.44	5	RS	YELP				Y
357	Spectrogram 1	1	18019.055840000	18019.055840000	2453.571	2453.571	-114.83	5	RS	YELP				Y
382	Spectrogram 1	1	18780.787310000	18780.787310000	267.016	267.016	-117.18	5	RS	GROWL	FAINT		Growl - too faint to keep in classification though	Y
431	Spectrogram 1	1	20273.797480000	20273.797480000	1146.429	1146.429	-106.96	5	RS	YELP				Y
432	Spectrogram 1	1	20274.789780000	20274.789780000	1167.857	1167.857	-112.90	5	RS	YELP				Y
433	Spectrogram 1	1	20280.817980000	20280.817980000	996.429	996.429	-117.10	5	RS	YELP				Y
434	Spectrogram 1	1	20282.542450000	20282.542450000	1221.429	1221.429	-119.34	5	RS	YELP				Y
435	Spectrogram 1	1	20284.901870000	20289.950040000	117.857	578.571	-94.34	5	RS	BARK		8		Y
436	Spectrogram 1	1	20286.135010000	20289.670660000	771.429	1275.000	-105.33	5	RS	YELP		5		Y
455	Spectrogram 1	1	20921.248850000	20921.248850000	1510.714	1510.714	-125.13	5	RS	YELP				Y
461	Spectrogram 1	1	21024.735470000	21024.735470000	1017.857	1017.857	-126.01	5	RS	YELP				Y
462	Spectrogram 1	1	21025.987880000	21025.987880000	1017.857	1017.857	-118.61	5	RS	YELP				Y
470	Spectrogram 1	1	21446.155150000	21446.155150000	900.000	900.000	-94.96	5	RS	YELP				Y
471	Spectrogram 1	1	21447.234150000	21447.234150000	1060.714	1060.714	-103.49	5	RS	YELP				Y
473	Spectrogram 1	1	21534.308080000	21534.308080000	1167.857	1167.857	-129.27	5	RS	YELP				Y
480	Spectrogram 1	1	21886.929380000	21886.929380000	1050.000	1050.000	-121.07	6	RS	YELP				Y
481	Spectrogram 1	1	21888.827260000	21888.827260000	921.429	921.429	-130.17	6	RS	YELP				Y
515	Spectrogram 1	1	23568.194060000	23575.246080000	835.714	1607.143	-104.23	6	RS	YELP		6		Y
516	Spectrogram 1	1	23577.607250000	23584.957930000	878.571	1403.571	-105.44	6	RS	YELP		7		Y
517	Spectrogram 1	1	23588.290370000	23595.168990000	750.000	1489.286	-103.72	6	RS	YELP		6		Y
522	Spectrogram 1	1	23861.042160000	23861.042160000	1071.429	1071.429	-127.22	6	RS	YELP				Y
530	Spectrogram 1	1	24144.163560000	24150.415970000	846.429	1585.714	-101.61	6	RS	YELP	SEQUENCE	10		Y
536	Spectrogram 1	1	24307.809570000	24311.932880000	75.000	300.000	-84.29	6	RS	BARK		5		Y
537	Spectrogram 1	1	24307.665060000	24310.902930000	278.571	782.143	-97.37	6	RS	YELP		4		Y
538	Spectrogram 1	1	24311.326830000	24311.683280000	310.714	417.857	-90.08	6	RS	YELP				Y
539	Spectrogram 1	1	24317.035350000	24317.035350000	1028.571	1028.571	-117.17	6	RS	YELP				Y
541	Spectrogram 1	1	24526.558040000	24526.558040000	1500.000	1500.000	-117.94	6	RS	YELP				Y
542	Spectrogram 1	1	24532.829720000	24532.829720000	1564.286	1564.286	-121.16	6	RS	YELP				Y
557	Spectrogram 1	1	25792.460120000	25793.404240000	728.571	1425.000	-103.48	7	RS	YELP		3		Y
561	Spectrogram 1	1	26075.928330000	26076.226980000	750.000	1082.143	-93.84	7	RS	YELP				Y
564	Spectrogram 1	1	26304.038320000	26304.038320000	1253.571	1253.571	-113.10	7	RS	YELP				Y
576	Spectrogram 1	1	26881.076330000	26881.076330000	932.143	932.143	-119.61	7	RS	YELP				Y
577	Spectrogram 1	1	26886.066700000	26886.307550000	653.571	985.714	-91.23	7	RS	YELP				Y
578	Spectrogram 1	1	26884.197720000	26884.197720000	942.857	942.857	-110.76	7	RS	YELP				Y
579	Spectrogram 1	1	26890.079650000	26890.079650000	1039.286	1039.286	-107.56	7	RS	YELP			Yelp	Y
580	Spectrogram 1	1	26893.480420000	26893.480420000	589.286	589.286	-115.45	7	RS	BARK			Bark - maybe a bit high	Y
584	Spectrogram 1	1	26997.626520000	27000.237310000	621.429	1092.857	-104.84	7	RS	YELP		4		Y
585	Spectrogram 1	1	27833.061810000	27833.061810000	1167.857	1167.857	-131.78	7	RS	YELP				Y
586	Spectrogram 1	1	27833.495330000	27833.495330000	1157.143	1157.143	-128.90	7	RS	YELP				Y
587	Spectrogram 1	1	28707.732480000	28707.732480000	1103.571	1103.571	-121.84	7	RS	YELP				Y
588	Spectrogram 1	1	28717.414570000	28717.414570000	1189.286	1189.286	-107.75	7	RS	YELP				Y
589	Spectrogram 1	1	28719.688180000	28720.121700000	750.000	1467.857	-88.23	7	RS	YELP				Y
590	Spectrogram 1	1	28775.443130000	28775.443130000	203.571	203.571	-98.76	7	RS	GROWL				Y
591	Spectrogram 1	1	28916.602690000	28916.602690000	1092.857	1092.857	-117.22	8	RS	YELP				Y
592	Spectrogram 1	1	28919.367620000	28919.714440000	728.571	1167.857	-86.35	8	RS	YELP				Y
593	Spectrogram 1	1	28919.773120000	28919.773120000	1575.000	1575.000	-96.95	8	RS	YELP				Y
594	Spectrogram 1	1	28920.168110000	28920.168110000	792.857	792.857	-110.36	8	RS	YELP			Yelp	Y
600	Spectrogram 1	1	29219.853690000	29219.853690000	1050.000	1060.714	-108.40	8	RS	YELP				Y
602	Spectrogram 1	1	29385.414230000	29385.414230000	1532.143	1532.143	-123.58	8	RS	YELP				Y
603	Spectrogram 1	1	29458.627570000	29458.627570000	910.714	910.714	-122.07	8	RS	YELP			Yelp	Y
612	Spectrogram 1	1	30787.390920000	30787.390920000	867.857	867.857	-127.33	8	RS	YELP				Y
613	Spectrogram 1	1	30820.033240000	30823.164260000	841.071	1580.357	-99.47	8	RS	YELP		4		Y
614	Spectrogram 1	1	30954.000660000	30954.000660000	792.857	792.857	-117.34	8	RS	YELP				Y
615	Spectrogram 1	1	30954.838810000	30954.838810000	707.143	707.143	-114.39	8	RS	YELP				Y
616	Spectrogram 1	1	31010.546460000	31010.546460000	900.000	900.000	-106.14	8	RS	YELP				Y
620	Spectrogram 1	1	31464.182840000	31464.182840000	921.429	921.429	-124.31	8	RS	YELP				Y
621	Spectrogram 1	1	31796.372350000	31796.372350000	221.198	221.198	-98.30	8	RS	GROWL			Growl	Y
622	Spectrogram 1	1	31934.259890000	31934.259890000	1242.857	1242.857	-127.56	8	RS	YELP				Y
623	Spectrogram 1	1	32037.102790000	32037.102790000	1564.286	1564.286	-117.56	8	RS	YELP				Y
624	Spectrogram 1	1	32038.673120000	32038.673120000	1371.429	1371.429	-115.97	8	RS	YELP				Y
625	Spectrogram 1	1	32040.426490000	32040.426490000	996.429	996.429	-122.42	8	RS	YELP				Y
626	Spectrogram 1	1	32589.844940000	32589.844940000	1553.571	1553.571	-125.77	9	RS	YELP				Y
627	Spectrogram 1	1	32993.611810000	32993.611810000	1060.714	1060.714	-118.89	9	RS	YELP				Y
628	Spectrogram 1	1	32997.900650000	32998.295640000	889.286	1307.143	-85.00	9	RS	YELP				Y
629	Spectrogram 1	1	33003.836890000	33003.836890000	1189.286	1189.286	-96.28	9	RS	YELP				Y
630	Spectrogram 1	1	33005.233810000	33005.233810000	1296.429	1296.429	-116.60	9	RS	YELP				Y
631	Spectrogram 1	1	33006.235740000	33006.649990000	964.286	1360.714	-91.26	9	RS	YELP				Y
632	Spectrogram 1	1	33008.904330000	33008.904330000	1167.857	1167.857	-121.28	9	RS	YELP				Y
633	Spectrogram 1	1	33009.896620000	33009.896620000	1157.143	1157.143	-116.82	9	RS	YELP				Y
634	Spectrogram 1	1	33148.310520000	33148.455030000	996.429	1553.571	-95.91	9	RS	YELP				Y
635	Spectrogram 1	1	33150.824970000	33150.824970000	1114.286	1114.286	-114.50	9	RS	YELP				Y
636	Spectrogram 1	1	33573.548750000	33573.548750000	1425.000	1425.000	-126.57	9	RS	YELP				Y
637	Spectrogram 1	1	33598.031150000	33598.031150000	300.000	300.000	-114.16	9	RS	GROWL			Growl	Y
639	Spectrogram 1	1	33652.475000000	33653.139740000	96.429	407.143	-89.68	9	RS	BARK		2	Bark	Y
640	Spectrogram 1	1	33657.406690000	33657.406690000	203.571	203.571	-113.23	9	RS	GROWL				Y
641	Spectrogram 1	1	33659.137290000	33659.137290000	589.286	589.286	-117.64	9	RS	YELP				Y
642	Spectrogram 1	1	33659.590080000	33665.572740000	42.857	364.286	-70.51	9	RS	BARK		8		Y
643	Spectrogram 1	1	33660.524570000	33665.254820000	364.286	653.571	-103.68	9	RS	YELP		6		Y
644	Spectrogram 1	1	33667.030970000	33671.236610000	289.286	632.143	-102.37	9	RS	YELP		5		Y
645	Spectrogram 1	1	33667.724610000	33672.560830000	75.000	267.857	-85.70	9	RS	BARK		6		Y
646	Spectrogram 1	1	33676.515120000	33679.260780000	289.286	685.714	-101.20	9	RS	YELP		5		Y
647	Spectrogram 1	1	33677.141320000	33679.646140000	107.143	310.714	-91.13	9	RS	BARK		5		Y
648	Spectrogram 1	1	33681.575540000	33681.575540000	567.857	567.857	-118.37	9	RS	YELP				Y
649	Spectrogram 1	1	33681.864560000	33684.658390000	42.857	364.286	-70.55	9	RS	BARK		5		Y
650	Spectrogram 1	1	33686.111350000	33686.111350000	546.429	546.429	-127.29	9	RS	YELP				Y
651	Spectrogram 1	1	33689.097860000	33689.097860000	514.286	514.286	-127.35	9	RS	YELP				Y
652	Spectrogram 1	1	33686.708650000	33689.473580000	96.429	364.286	-89.90	9	RS	BARK		4		Y
653	Spectrogram 1	1	33691.142890000	33694.707440000	64.286	353.571	-81.57	9	RS	BARK		5		Y
654	Spectrogram 1	1	33692.241160000	33692.241160000	503.571	503.571	-124.92	9	RS	YELP				Y
655	Spectrogram 1	1	33693.618810000	33693.618810000	525.000	525.000	-120.82	9	RS	YELP				Y
656	Spectrogram 1	1	33691.522990000	33691.522990000	482.143	482.143	-120.14	9	RS	YELP				Y
657	Spectrogram 1	1	33701.529100000	33704.110990000	64.057	320.285	-81.57	9	RS	BARK		5		Y
658	Spectrogram 1	1	33701.355690000	33701.355690000	523.132	523.132	-114.12	9	RS	YELP				Y
659	Spectrogram 1	1	33701.953000000	33701.953000000	491.103	491.103	-113.53	9	RS	YELP				Y
660	Spectrogram 1	1	33702.752610000	33702.752610000	512.456	512.456	-124.52	9	RS	YELP				Y
661	Spectrogram 1	1	33703.157230000	33703.157230000	459.075	459.075	-111.21	9	RS	YELP				Y
662	Spectrogram 1	1	33703.667830000	33703.667830000	480.427	480.427	-134.21	9	RS	YELP				Y
663	Spectrogram 1	1	33707.081750000	33707.081750000	480.427	480.427	-113.35	9	RS	YELP				Y
664	Spectrogram 1	1	33707.351500000	33707.351500000	256.228	256.228	-120.61	9	RS	BARK				Y
665	Spectrogram 1	1	33707.968070000	33707.968070000	277.580	277.580	-112.43	9	RS	BARK				Y
666	Spectrogram 1	1	33708.228190000	33708.228190000	277.580	277.580	-112.98	9	RS	BARK				Y
667	Spectrogram 1	1	33711.129740000	33711.129740000	480.427	480.427	-126.42	9	RS	YELP				Y
668	Spectrogram 1	1	33712.073870000	33712.073870000	213.523	213.523	-110.55	9	RS	BARK				Y
669	Spectrogram 1	1	33712.362880000	33712.362880000	405.694	405.694	-117.87	9	RS	YELP				Y
670	Spectrogram 1	1	33712.757870000	33712.757870000	309.609	309.609	-114.85	9	RS	BARK				Y
671	Spectrogram 1	1	33714.048820000	33714.048820000	469.751	469.751	-121.15	9	RS	YELP				Y
672	Spectrogram 1	1	33714.357100000	33714.357100000	256.228	256.228	-105.87	9	RS	BARK				Y
673	Spectrogram 1	1	33719.027810000	33719.027810000	459.075	459.075	-105.91	9	RS	YELP				Y
674	Spectrogram 1	1	33719.557670000	33719.557670000	256.228	256.228	-103.56	9	RS	BARK				Y
675	Spectrogram 1	1	33720.260950000	33721.031660000	330.961	597.865	-103.34	9	RS	YELP		3		Y
676	Spectrogram 1	1	33721.917980000	33721.917980000	234.875	234.875	-109.32	9	RS	BARK				Y
677	Spectrogram 1	1	33733.486560000	33741.819900000	96.085	459.075	-90.66	9	RS	BARK		3	Bark	Y
678	Spectrogram 1	1	33946.296160000	33946.296160000	843.416	843.416	-116.35	9	RS	YELP				Y
679	Spectrogram 1	1	33946.671880000	33949.282670000	64.057	448.399	-81.62	9	RS	BARK		3		Y
680	Spectrogram 1	1	34012.260410000	34012.260410000	1270.463	1270.463	-125.43	9	RS	YELP				Y
681	Spectrogram 1	1	34025.034980000	34025.034980000	1526.690	1526.690	-124.13	9	RS	YELP				Y
682	Spectrogram 1	1	34083.125720000	34083.125720000	1398.577	1398.577	-119.20	9	RS	YELP				Y
