Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	SNR NIST Quick (dB FS)	certainty	comment	type	WH ID	WH Comment	NEW analysis
2338	Spectrogram 1	1	6892.706	6897.194	4.488	294.594	229.9	624.8	457	1208533023.041012225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041012225015.wav	X			ND	RS	11.27	Low			RS		
2771	Spectrogram 1	1	7185.952667	7197.384667	11.432	287.999	215.6	1341.3	480.5	1208533023.041014065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	Y	"bark, yelp"	barks in the middle	ND	RS	13.39				Y	barks in the middle	yes
2866	Spectrogram 1	1	7359.890667	7368.551667	8.661	162.1	287.4	1742.5	433.6	1208533023.041014085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041014085015.wav	X			ND	RS	11.71						yes
3373	Spectrogram 1	1	7544.284333	7555.277333	10.993	46.652	539.7	1527.7	937.5	1208533023.041015005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041015005015.wav	X			ND	RS	10.5	medium			RS		
3560	Spectrogram 1	1	7822.592333	7823.302333	0.71	25.056	798.4	1209.4	949.2	1208533023.041015105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041015105015.wav	X			ND	RS	12.55	Low	ww?		RS		
3720	Spectrogram 1	1	8307.307333	8330.496333	23.189	209.8	718.6	1167.7	890.6	1208533023.041016145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041016145015.wav	X			ND	RS	10.89				RS		yes
3802	Spectrogram 1	1	8500.132333	8508.920333	8.788	102.704	82.2	1279.8	210.9	1208533023.041017125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	Y	"bark, yelp"	faint	ND	RS	14.24						
3804	Spectrogram 1	1	8515.540333	8546.202333	30.662	118.112	11.7	1825.8	11.7	1208533023.041017125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	Y	"bark, yelp"	finally some clear barks!	ND	RS	15.53						
3815	Spectrogram 1	1	8919.730667	8920.096667	0.366	222.392	833.7	1320.9	1125	1208533023.041018085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041018085015.wav	X			ND	RS	12.32	Low			RS		
3816	Spectrogram 1	1	8924.231667	8924.757667	0.526	226.893	833.7	1884.5	1019.5	1208533023.041018085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041018085015.wav	X			ND	RS	12.72	Low			RS		
3876	Spectrogram 1	1	9163.590333	9164.738333	1.148	166.343	242.6	420.1	328.1	1208533023.041019155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019155015.wav	X			ND	RS	13.5	Medium		0.3khz	RS		yes
3878	Spectrogram 1	1	9168.245333	9169.112333	0.867	170.998	230.8	479.3	328.1	1208533023.041019155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019155015.wav	X			ND	RS	12.52	Medium		0.3khz	RS		yes
3879	Spectrogram 1	1	9172.143333	9173.507333	1.364	174.896	171.6	455.6	316.4	1208533023.041019155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019155015.wav	X			ND	RS	12.65	Medium		0.3khz	RS		yes
3880	Spectrogram 1	1	9176.581333	9177.794333	1.213	179.334	218.9	426	316.4	1208533023.041019155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019155015.wav	X			ND	RS	11.64	Medium		0.3khz	RS		yes
3882	Spectrogram 1	1	9242.106333	9242.994333	0.888	244.859	179.6	383.2	304.7	1208533023.041019155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019155015.wav	X			ND	RS	11.89	Medium		0.3khz	RS		yes
3883	Spectrogram 1	1	9256.395333	9257.456333	1.061	259.148	185.6	419.2	328.1	1208533023.041019155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019155015.wav	X			ND	RS	12.22	Medium		0.3khz	RS		yes
4187	Spectrogram 1	1	9297.758667	9310.010667	12.252	0.534	170.3	1684.9	269.5	1208533023.041021065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	Y	"bark, yelp"	only one bark	ND	RS	13.57	medium			RS		
4190	Spectrogram 1	1	9327.893667	9329.029667	1.136	30.669	105.7	1632.1	351.6	1208533023.041021065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	X	"bark, yelp"	too faint	ND	RS	13.76						
4237	Spectrogram 1	1	9597.512333	9601.524333	4.012	0.382	258.3	1638	293	1208533023.041022025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	X	"bark, yelp"	too faint	ND	RS	12.32						
4247	Spectrogram 1	1	9861.697333	9872.788333	11.091	264.567	282.3	1544.3	890.6	1208533023.041022025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	Y	"bark, yelp"		ND	RS	11.23						
4248	Spectrogram 1	1	9874.786333	9887.029333	12.243	277.656	249.1	1245.4	1078.1	1208533023.041022025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	Y	"bark, yelp"		ND	RS	11.5						
4250	Spectrogram 1	1	9888.710333	9897.025333	8.315	291.58	249.1	1544.3	1078.1	1208533023.041022025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	Y	"bark, yelp"		ND	RS	10.58						
4271	Spectrogram 1	1	9902.081	9911.861	9.78	4.997	921.7	1561.6	1253.9	1208533023.041022225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041022225015.wav	X			ND	RS	11.84				RS		
4282	Spectrogram 1	1	10082.177	10083.543	1.366	185.093	229	469.7	351.6	1208533023.041022225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041022225015.wav	X			ND	RS	12.01				RS		
4353	Spectrogram 1	1	10309.517	10311.76	2.243	112.455	375.7	534.2	503.9	1208533023.041023085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041023085015.wav	X			ND	RS	10.25						
4373	Spectrogram 1	1	10715.676	10721.024	5.348	218.642	700.6	1323.4	1007.8	1208533023.041023135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041023135015.wav	X			ND	RS	11.78				RS		y
4419	Spectrogram 1	1	11022.33467	11025.81367	3.479	225.365	211.3	469.7	304.7	1208533023.041024045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041024045015.wav	X			ND	RS	11.65	medium			RS		
4464	Spectrogram 1	1	11142.54567	11162.33467	19.789	45.739	491	862.3	609.4	1208533023.041024235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041024235015.wav	X			ND	RS	10.86				RS		y
4786	Spectrogram 1	1	11432.23	11444.074	11.844	35.504	327.4	1357.1	1347.7	1208533023.041027175015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041027175015.wav	X			ND	RS	11.17				RS		y
4868	Spectrogram 1	1	11929.525	11953.276	23.751	232.833	144	1662	421.9	1208533023.041028045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	Y	bark		ND	RS	15.05				RS		y
4884	Spectrogram 1	1	12032.651	12036.354	3.703	36.117	132	660	152.3	1208533023.041028115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028115015.wav	X			ND	RS	13.37				RS		y
4931	Spectrogram 1	1	12309.15233	12311.23133	2.079	12.666	252	1776	668	1208533023.041028135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028135015.wav	X			ND	RS	14.16	Low		rs? bh?	RS		y
4936	Spectrogram 1	1	12382.84833	12384.19033	1.342	86.362	246	684	492.2	1208533023.041028135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028135015.wav	X			ND	RS	11.96				RS		y
4966	Spectrogram 1	1	12639.507	12642.062	2.555	43.116	72.6	816.5	128.9	1208533023.041028165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028165015.wav	X			ND	RS	16.72				RS		y
4974	Spectrogram 1	1	12902.90667	12906.40767	3.501	6.562	589.7	961.8	714.8	1208533023.041028185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028185015.wav	X			ND	RS	10.73	medium			RS		
4984	Spectrogram 1	1	12996.30067	12997.01767	0.717	99.956	406.5	835.9	574.2	1208533023.041028185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028185015.wav	X			ND	RS	10.49				RS		
4996	Spectrogram 1	1	13256.74867	13261.14367	4.395	60.54	429.4	1052.4	726.6	1208533023.041028195015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028195015.wav	X			ND	RS	11.25				RS		y
5014	Spectrogram 1	1	13757.835	13760.952	3.117	261.644	459.7	852.8	726.6	1208533023.041028205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041028205015.wav	X			ND	RS	11.04				RS		y
5084	Spectrogram 1	1	13820.524	13821.981	1.457	24.424	377.9	2032.4	1851.6	1208533023.041029045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041029045015.wav	X			ND	RS	11.4				RS		
5272	Spectrogram 1	1	14269.10567	14270.23167	1.126	173.033	795	1043.5	843.8	1208533023.041030235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041030235015.wav	X			ND	RS	11.76				RS		y
5304	Spectrogram 1	1	14640.46333	14641.54533	1.082	244.44	745.3	956.5	820.3	1208533023.041031015015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041031015015.wav	X			ND	RS	10.44				RS		y
5788	Spectrogram 1	1	14873.79667	14874.78867	0.992	177.814	578.2	727.1	621.1	1208533023.041101025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041101025015.wav	X			ND	RS	9.87	low	ww?		RS		
6294	Spectrogram 1	1	15068.576	15069.125	0.549	72.707	768.6	980.9	914.1	1208533023.041114005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041114005015.wav	X			ND	RS	9.6				RS		
6295	Spectrogram 1	1	15081.781	15082.658	0.877	85.912	728.5	935	820.3	1208533023.041114005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041114005015.wav	X			ND	RS	13.55				RS		
6316	Spectrogram 1	1	15378.43367	15379.21967	0.786	82.661	866.2	1124.3	1031.2	1208533023.041114105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041114105015.wav	X			ND	RS	11.45				RS		
6403	Spectrogram 1	1	15620.263	15620.972	0.709	24.568	921.8	1465.6	1007.8	1208533023.041117085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041117085015.wav	X			ND	RS	9.94				RS		
6461	Spectrogram 1	1	16186.25967	16187.12967	0.87	290.61	400.8	1271	539.1	1208533023.041117185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041117185015.wav	X			ND	rs?	11.77	Low			rs?	RS?	
6501	Spectrogram 1	1	16368.736	16373.521	4.785	173.127	190.3	834	515.6	1208533023.041117205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041117205015.wav	X			ND	RS	10.8				RS		y
6549	Spectrogram 1	1	16697.33433	16702.85533	5.521	201.784	263.1	957.1	550.8	1208533023.041118005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041118005015.wav	X			ND	RS	10.92				RS		y
6572	Spectrogram 1	1	16940.41933	16945.17233	4.753	145.033	97.3	309.2	105.5	1208533023.041118045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041118045015.wav	X			ND	RS	10.99	Low			RS		
6589	Spectrogram 1	1	17316.381	17322.53	6.149	221.122	559.7	929.1	796.9	1208533023.041118065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041118065015.wav	X			ND	RS	10.27				RS		y
6617	Spectrogram 1	1	17548.73833	17551.68233	2.944	153.529	747.3	1747.3	867.2	1208533023.041118095015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041118095015.wav	X			ND	RS	14.32				RS		y
6623	Spectrogram 1	1	17737.51767	17739.12067	1.603	42.442	668.3	1460.8	972.7	1208533023.041118105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041118105015.wav	X			ND	RS	11.58	m			RS		y
6641	Spectrogram 1	1	18080.174	18080.967	0.793	85.196	830.2	1099.2	914.1	1208533023.041119205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041119205015.wav	X			ND	RS	11.02				RS		
6748	Spectrogram 1	1	18581.48533	18593.97833	12.493	286.583	335.2	1153.8	796.9	1208533023.041122105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041122105015.wav	X			ND	RS	10.66				RS		y
6771	Spectrogram 1	1	18784.02933	18784.74433	0.715	189.145	648.4	824.2	738.3	1208533023.041122205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041122205015.wav	X			ND	RS	9.78				RS		y
6799	Spectrogram 1	1	18973.911	18977.224	3.313	79.107	76.9	763.7	492.2	1208533023.041124095015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041124095015.wav	X			ND	RS	12.42				RS		y
6944	Spectrogram 1	1	19441.24033	19442.17133	0.931	246.522	142.9	961.5	293	1208533023.041125005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041125005015.wav	X	bark-yelp		ND	RS	14.44				X		y
7000	Spectrogram 1	1	19696.739	19697.627	0.888	202.169	395.6	1840.7	773.4	1208533023.041125115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041125115015.wav	X			ND	RS	12.6						y
7001	Spectrogram 1	1	19703.104	19703.927	0.823	208.534	269.2	2912.1	375	1208533023.041125115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041125115015.wav	X	?	"I don't know what this is, so I think it is safe to X it "	ND	RS	13.86						y
7023	Spectrogram 1	1	19930.307	19931	0.693	135.806	763.7	1247.3	925.8	1208533023.041125135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041125135015.wav	X			ND	RS	12.34				RS		y
7024	Spectrogram 1	1	19932.683	19933.571	0.888	138.182	153.8	1653.8	222.7	1208533023.041125135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041125135015.wav	X			ND	RS	12.42						y
7107	Spectrogram 1	1	20307.29133	20308.50333	1.212	212.962	347.3	556.9	445.3	1208533023.041125185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041125185015.wav	X			ND	RS	16.37	Low			RS		yes
7331	Spectrogram 1	1	20580.752	20581.347	0.595	186.441	703.5	907	855.5	1208533023.041129105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041129105015.wav	X			ND	RS	10.38				RS		
7360	Spectrogram 1	1	20869.15333	20874.84733	5.694	174.965	1362	1770	1593.8	1208533023.041130085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041130085015.wav	X			ND	RS	10.83				RS		yes
7363	Spectrogram 1	1	21180.83867	21189.04467	8.206	186.793	270	2064	796.9	1208533023.041130105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041130105015.wav	X			ND	RS	13.34				RS		yes
7627	Spectrogram 1	1	21343.204	21343.704	0.5	49.302	804.6	1114.9	925.8	1208533023.041206105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041206105015.wav	X			ND	RS	10.15				RS		
7737	Spectrogram 1	1	21619.26967	21619.78067	0.511	25.379	558.5	1001.9	796.9	1208533023.041208145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041208145015.wav	X			ND	RS	15.2				RS		
7739	Spectrogram 1	1	21645.96967	21646.53367	0.564	52.079	685.2	1082.5	820.3	1208533023.041208145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041208145015.wav	X			ND	RS	15.09				RS		
7741	Spectrogram 1	1	21656.23467	21656.40267	0.168	62.344	449.1	858	574.2	1208533023.041208145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041208145015.wav	X			ND	RS	11.33				RS		
7746	Spectrogram 1	1	21814.72567	21815.33567	0.61	220.835	1019.2	1525.9	1230.5	1208533023.041208145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041208145015.wav	X			ND	RS	11.19				RS		
7809	Spectrogram 1	1	22063.20967	22063.49967	0.29	169.451	598.8	2625.7	1277.3	1208533023.041209105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041209105015.wav	X			ND	RS	11.46				RS		
7813	Spectrogram 1	1	22110.62167	22110.97267	0.351	216.863	472.2	777.4	609.4	1208533023.041209105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041209105015.wav	X			ND	RS	13.11				RS		
7819	Spectrogram 1	1	22176.46067	22176.65867	0.198	282.702	437.6	708.3	492.2	1208533023.041209105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041209105015.wav	X			ND	RS	12.24				RS		
7854	Spectrogram 1	1	22223.31567	22224.57167	1.256	29.573	838.4	1135	1066.4	1208533023.041209235015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041209235015.wav	X			ND	RS	10.88				RS		yes
7985	Spectrogram 1	1	22539.64633	22540.32533	0.679	46.043	351.2	2090.2	1476.6	1208533023.041212085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041212085015.wav	X			ND	RS	12.17				RS		
8030	Spectrogram 1	1	22976.41233	22976.88533	0.473	182.881	537.5	879.5	726.6	1208533023.041215065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041215065015.wav	X			ND	RS	11.36				RS		
8159	Spectrogram 1	1	23128.56833	23128.95033	0.382	35.128	627.6	765.8	714.8	1208533023.041216125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041216125015.wav	X			ND	RS	13.13				RS		
8165	Spectrogram 1	1	23220.04733	23220.23833	0.191	126.607	420.3	587.3	515.6	1208533023.041216125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041216125015.wav	X			ND	RS	14.66				RS		
8410	Spectrogram 1	1	23439.68967	23440.51267	0.823	46.317	535.5	996.2	914.1	1208533023.041219105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219105015.wav	X			ND	RS	11.84				RS		
8421	Spectrogram 1	1	23512.20367	23512.42467	0.221	118.831	541.3	685.2	585.9	1208533023.041219105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219105015.wav	X			ND	RS	12.39	low			RS		
8434	Spectrogram 1	1	23585.49267	23585.97267	0.48	192.12	443.4	1042.2	843.8	1208533023.041219105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219105015.wav	X			ND	RS	12.31				RS		
8436	Spectrogram 1	1	23588.77067	23589.93767	1.167	195.398	426.1	737	656.2	1208533023.041219105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219105015.wav	X			ND	rs?	15.83	Low			rs?	"Seal, likely RS"	
8441	Spectrogram 1	1	23660.74567	23660.96667	0.221	267.373	541.3	788.9	691.4	1208533023.041219105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219105015.wav	X			ND	RS	14.42	low			RS		
8446	Spectrogram 1	1	23754.80433	23755.25933	0.455	61.538	636.4	1071.4	925.8	1208533023.041219135015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219135015.wav	X			ND	RS	11.91				RS		yes
8496	Spectrogram 1	1	24013.35167	24013.76567	0.414	20.185	679.5	852.2	750	1208533023.041219205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041219205015.wav	X			ND	RS	11.62				RS		
