Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	SNR NIST Quick (dB FS)	comment	type	WH ID	WH Comment
434	Spectrogram 1	1	13069.27033	13071.23453	1.964	172.575	82.6	682.6	257.8	1208795168.700527064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700527064318.wav	X	bark	faint	ND	RS		13.39				
440	Spectrogram 1	1	13457.64533	13463.27223	5.627	261.09	170.6	1161.5	328.1	1208795168.700527184318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700527184318.wav	X			ND	RS		12.28			RS	
442	Spectrogram 1	1	13502.15033	13506.46503	4.315	5.643	38.5	1189	46.9	1208795168.700527234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	Y	bark	first one is clear	ND	RS		15.85				
444	Spectrogram 1	1	13605.47433	13606.85893	1.385	108.967	99.1	974.3	175.8	1208795168.700527234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	Y	bark		ND	RS		14.77				
446	Spectrogram 1	1	13716.08733	13719.08193	2.995	219.58	60.5	869.7	140.6	1208795168.700527234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	Y	bark		ND	RS		14.69				
448	Spectrogram 1	1	13846.09033	13855.61343	9.523	49.606	132.1	1420.2	175.8	1208795168.700528004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	Y	"bark, yelp"	with BS overlapped	ND	RS		14.51				
451	Spectrogram 1	1	14106.94	14107.5115	0.572	10.467	88.1	1255	210.9	1208795168.700528024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528024318.wav	Y	bark		ND	RS		14.92			Y	
456	Spectrogram 1	1	14280.819	14282.3887	1.57	184.346	154.1	1139.5	210.9	1208795168.700528024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528024318.wav	X			ND	RS		13.94			RS	
457	Spectrogram 1	1	14301.224	14301.8358	0.612	204.751	622	990.8	714.8	1208795168.700528024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528024318.wav	X			ND	RS		12.54			RS	
458	Spectrogram 1	1	14381.847	14382.7164	0.869	285.374	82.6	506.4	128.9	1208795168.700528024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528024318.wav	X			ND	RS		15.46			RS	
459	Spectrogram 1	1	14410.948	14412.4936	1.546	14.55	132.1	489.9	246.1	1208795168.700528084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	X			ND	RS		15.53			RS	
462	Spectrogram 1	1	14470.096	14470.5629	0.467	73.698	297.2	792.7	457	1208795168.700528084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	X	bark	too faint	ND	RS		12.26			RS	
464	Spectrogram 1	1	14608.554	14611.4359	2.882	212.156	275.2	864.2	515.6	1208795168.700528084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	Y	"bark, yelp"	really faint. Keep for detector?	ND	RS		11.57			Y	
465	Spectrogram 1	1	14698.91367	14708.40457	9.491	2.664	759.6	1227.5	902.3	1208795168.700528104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528104318.wav	X			ND	RS		10.46			RS	
467	Spectrogram 1	1	14998.84567	15010.13947	11.294	2.667	275.2	869.7	363.3	1208795168.700528124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	Y	bark	is any of these a bark or are they yelps?	ND	RS		12.14			Y	
468	Spectrogram 1	1	15053.97167	15054.26147	0.29	57.793	682.6	1084.4	902.3	1208795168.700528124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	X			ND	RS		10.89			RS	
475	Spectrogram 1	1	15387.081	15387.5801	0.499	90.928	93.6	864.2	210.9	1208795168.700528224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528224318.wav	X	"bark, yelp"	faint	ND	RS		14.2				
476	Spectrogram 1	1	15460.356	15464.2764	3.92	164.203	253.2	1348.6	433.6	1208795168.700528224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700528224318.wav	X			ND	RS		10.97	faint			
482	Spectrogram 1	1	15811.73167	15813.94547	2.214	215.673	93.6	864.2	93.8	1208795168.700529154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700529154318.wav	X			ND	RS		15.06			RS	
485	Spectrogram 1	1	16107.173	16107.8251	0.652	211.232	759.6	1420.2	902.3	1208795168.700529184318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700529184318.wav	X			ND	RS		11.67			RS	
488	Spectrogram 1	1	16348.34467	16358.64057	10.296	152.471	82.6	1139.5	351.6	1208795168.700529214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	Y	"bark, yelp"	really good series	ND	RS		15.28	nice clear ones			
492	Spectrogram 1	1	16530.78133	16531.03083	0.25	35.009	165.1	556	351.6	1208795168.700529234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700529234318.wav	Y	bark		ND	RS		12.54				
494	Spectrogram 1	1	16567.70733	16570.38803	2.681	71.935	126.6	1095.4	281.2	1208795168.700529234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700529234318.wav	X			ND	RS		14.58				
495	Spectrogram 1	1	16799.05867	16805.86897	6.81	3.333	77.1	627.5	105.5	1208795168.700530044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	X	barks	keep for detector?	ND	RS		14.92			X	
496	Spectrogram 1	1	16814.49267	16818.81547	4.323	18.767	110.1	957.8	492.2	1208795168.700530044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	Y	"bark, yelp"		ND	RS		13.95				
497	Spectrogram 1	1	16833.67867	16841.10077	7.422	37.953	143.1	1089.9	445.3	1208795168.700530044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	Y	bark	faint	ND	RS		13.43				
499	Spectrogram 1	1	16940.64467	16941.61067	0.966	144.919	291.7	798.2	433.6	1208795168.700530044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	X			ND	RS		12.56			RS	
503	Spectrogram 1	1	17366.25	17368.351	2.101	270.61	60.5	1100.9	70.3	1208795168.700530144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700530144318.wav	X			ND	RS		15.4	faint			
508	Spectrogram 1	1	17500.28267	17503.01957	2.737	104.703	49.5	489.9	58.6	1208795168.700531014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700531014318.wav	X			ND	RS		12.2			RS	
511	Spectrogram 1	1	17837.23167	17840.79777	3.566	141.74	462.4	1211	726.6	1208795168.700531204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700531204318.wav	X			ND	RS		11.75			RS	
518	Spectrogram 1	1	18102.397	18102.7432	0.346	107.006	583.5	803.7	644.5	1208795168.700601164318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700601164318.wav	X			ND	RS	low	17.09			RS	
530	Spectrogram 1	1	18446.782	18450.2676	3.486	151.483	412.8	1855	750	1208795168.700605204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700605204318.wav	X			ND	RS		13.83			RS	
531	Spectrogram 1	1	18590.627	18594.5071	3.88	295.328	258.7	1458.7	574.2	1208795168.700605204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700605204318.wav	X			ND	RS		13.76			RS	
542	Spectrogram 1	1	18886.417	18888.0914	1.674	291.19	247.7	831.2	457	1208795168.700607104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700607104318.wav	X			ND	RS		11.5			RS	
616	Spectrogram 1	1	19086.141	19087.257	1.116	190.966	137.4	1192.3	386.7	1208795168.700614034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700614034318.wav	Y	bark		ND	RS	low	14.15	faint		RS	
624	Spectrogram 1	1	19429.569	19430.4131	0.844	234.457	124.1	781.2	152.3	1208795168.700614074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700614074318.wav	X			ND	RS		14.29			RS	
633	Spectrogram 1	1	19678.94967	19680.59387	1.644	183.939	131.9	631.9	234.4	1208795168.700614084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700614084318.wav	X			ND	RS		13.92				
718	Spectrogram 1	1	19899.80067	19900.98397	1.183	104.873	200.7	1388.8	668	1208795168.700622044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700622044318.wav	X			ND	RS		13.97			RS	
723	Spectrogram 1	1	20190.542	20191.017	0.475	95.638	124.8	1253.2	187.5	1208795168.700622124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700622124318.wav	X			ND	RS		14.94			RS	
724	Spectrogram 1	1	20214.876	20216.3516	1.476	119.972	0	500	0	1208795168.700622124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700622124318.wav	X			ND	RS	medium	25.52			RS	
779	Spectrogram 1	1	20477.085	20477.3989	0.314	82.245	81.4	949.4	164.1	1208795168.700627064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700627064318.wav	Y	bark	BS overlapping	ND	RS	low	17.11			RS	
795	Spectrogram 1	1	20803.54433	20804.79283	1.248	108.77	73.7	407.1	105.5	1208795168.700628044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700628044318.wav	X			ND	RS		13.65	faint		RS	
815	Spectrogram 1	1	21250.792	21252.273	1.481	256.139	251.7	1190.6	457	1208795168.700629024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700629024318.wav	X			ND	RS		13.22			RS	
819	Spectrogram 1	1	21509.61633	21510.59033	0.974	215.047	351.4	1164.3	761.7	1208795168.700629044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700629044318.wav	X			ND	RS	medium	12.46			RS	
847	Spectrogram 1	1	21710.51	21714.471	3.961	115.997	257	802.4	457	1208795168.700630204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700630204318.wav	X			ND	RS	low	12.87	faint		RS	
883	Spectrogram 1	1	21972.478	21974.144	1.666	77.995	89	874.3	105.5	1208795168.700703064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700703064318.wav	X			ND	RS		14.77			RS	
885	Spectrogram 1	1	22268.01133	22268.43033	0.419	73.585	413.6	759.2	468.8	1208795168.700703074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700703074318.wav	X			ND	RS	low	12.43			RS	
896	Spectrogram 1	1	22642.49867	22643.86667	1.368	148.132	0	398.2	0	1208795168.700704044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700704044318.wav	X			ND	RS		27.82	FAINT		RS	
904	Spectrogram 1	1	23060.77067	23062.71967	1.949	266.458	486	1201.1	937.5	1208795168.700704134318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700704134318.wav	X			ND	RS	very low	11.07	very faint		RS	
905	Spectrogram 1	1	23265.34967	23267.82167	2.472	171.105	128.5	2379.9	984.4	1208795168.700704144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700704144318.wav	Y	"bark, yelp"		ND	RS		14.03			RS	
929	Spectrogram 1	1	23528.667	23529.222	0.555	134.537	150.8	715.1	234.4	1208795168.700705204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700705204318.wav	Y	bark		ND	RS	low	11.5	faint		RS	
980	Spectrogram 1	1	23728.64167	23729.21267	0.571	34.637	255.1	804.1	445.3	1208795168.700708074318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700708074318.wav	X			ND	RS		11.73			RS	
1010	Spectrogram 1	1	24032.13067	24040.36567	8.235	38.19	100.7	1438.4	117.2	1208795168.700709214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700709214318.wav	X			ND	RS	low	13.96	faint		RS	
1011	Spectrogram 1	1	24051.22767	24051.54167	0.314	57.287	195.9	945.9	257.8	1208795168.700709214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700709214318.wav	Y	bark		ND	RS	medium	12.33			RS	
1020	Spectrogram 1	1	24494.148	24494.816	0.668	200.327	358.2	811.6	527.3	1208795168.700710014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700710014318.wav	X			ND	RS		13.41	high for bh		RS	
1031	Spectrogram 1	1	24724.74533	24725.41333	0.668	131.025	973.9	1192.2	1089.8	1208795168.700711004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700711004318.wav	X			ND	RS		12.4			RS	
1041	Spectrogram 1	1	24930.77367	24931.08767	0.314	37.108	212.7	985.1	445.3	1208795168.700711034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700711034318.wav	X	bark	faint and with BS overlapping	ND	RS		14.17	faint		X	
1046	Spectrogram 1	1	25275.65333	25276.24133	0.588	82.101	397.4	1813.4	785.2	1208795168.700711064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700711064318.wav	X			ND	RS		12.4			RS	
1048	Spectrogram 1	1	25497.668	25499.736	2.068	4.211	89.6	1315.3	703.1	1208795168.700711104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700711104318.wav	Y	"bark, yelp"		ND	RS		13.74				
1054	Spectrogram 1	1	25896.227	25903.239	7.012	102.833	67.2	694	328.1	1208795168.700711184318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	Y	bar´k		ND	RS		14.37				
1064	Spectrogram 1	1	26288.85733	26290.86233	2.005	195.579	139.9	766.8	457	1208795168.700712004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700712004318.wav	X	bark	overlapping BS	ND	RS		12.47	faint			
1073	Spectrogram 1	1	26447.794	26448.148	0.354	54.639	375.7	1760.7	492.2	1208795168.700712054318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700712054318.wav	X	bark	overlapping BS	ND	RS		17.8			RS	
1076	Spectrogram 1	1	26501.146	26501.379	0.233	107.991	201.9	992.5	539.1	1208795168.700712054318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700712054318.wav	Y	bark	BS above	ND	RS		15.25			RS	
1080	Spectrogram 1	1	26987.916	26988.262	0.346	294.868	942.1	1194.4	1066.4	1208795168.700712124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700712124318.wav	X			ND	RS		12.96			RS	
1087	Spectrogram 1	1	27055.02267	27055.60967	0.587	62.003	123.4	925.2	281.2	1208795168.700712234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700712234318.wav	X			ND	RS		14.29			RS	
1089	Spectrogram 1	1	27091.11467	27091.53367	0.419	98.095	269.2	734.6	375	1208795168.700712234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700712234318.wav	Y	bark		ND	RS		12.31	faint		Y	
1099	Spectrogram 1	1	27351.68733	27353.26533	1.578	58.815	95.3	1160.7	433.6	1208795168.700713084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700713084318.wav	Y	bark		ND	RS		13.77			RS	
1100	Spectrogram 1	1	27581.72733	27582.77233	1.045	288.855	72.9	1134.6	140.6	1208795168.700713084318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700713084318.wav	X			ND	RS		13.75			RS	
1146	Spectrogram 1	1	27764.366	27765.654	1.288	171.58	218.7	970.1	375	1208795168.700715044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700715044318.wav	Y	bark	BS overlap	ND	RS		17.18			RS	
1150	Spectrogram 1	1	27798.691	27799.469	0.778	205.905	35.2	330.1	46.9	1208795168.700715044318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700715044318.wav	X			ND	RS		17.69			RS	
