Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Sound type	Comments	Quantity	WH
70	Spectrogram 1	1	19283.263799935	19283.263799935	1440.900	1440.900	15	BS				
71	Spectrogram 1	1	19609.193026340	19609.193026340	1494.600	1494.600	15	BS				
72	Spectrogram 1	1	19661.173236133	19661.173236133	2698.900	2698.900	15	BS				
73	Spectrogram 1	1	20001.518301608	20001.518301608	752.700	752.700	15	BS				
74	Spectrogram 1	1	20113.729732120	20113.729732120	612.900	612.900	15	BS				
75	Spectrogram 1	1	20280.361341906	20280.361341906	795.700	795.700	16	BS				
76	Spectrogram 1	1	20335.021531876	20335.021531876	2043.000	2043.000	16	BS				
77	Spectrogram 1	1	20384.047636511	20384.047636511	430.100	430.100	16	BS				
78	Spectrogram 1	1	20452.148016301	20452.148016301	1311.800	1311.800	16	BS				
79	Spectrogram 1	1	20666.696083698	20666.696083698	376.300	376.300	16	BS				
80	Spectrogram 1	1	20706.563854528	20706.563854528	806.500	806.500	16	BS				
81	Spectrogram 1	1	20746.442986625	20746.442986625	1462.400	1462.400	16	BS				
82	Spectrogram 1	1	20906.178485485	20906.178485485	1967.700	1967.700	16	BS				
83	Spectrogram 1	1	21143.352250888	21143.352250888	376.300	376.300	16	BS				
84	Spectrogram 1	1	21164.151845795	21164.151845795	612.900	612.900	16	BS				
85	Spectrogram 1	1	21268.267287660	21268.267287660	655.900	655.900	16	BS				
86	Spectrogram 1	1	21292.022755729	21292.022755729	1193.500	1193.500	16	BS				
87	Spectrogram 1	1	21302.623584778	21302.623584778	268.800	268.800	16	BS				
88	Spectrogram 1	1	21319.858650782	21319.858650782	516.100	516.100	16	BS				
89	Spectrogram 1	1	21334.351555369	21334.351555369	957.000	957.000	16	BS				
90	Spectrogram 1	1	21351.569978330	21351.569978330	1451.600	1451.600	16	BS				
91	Spectrogram 1	1	21365.758105870	21365.758105870	236.600	236.600	16	BS				
92	Spectrogram 1	1	21401.393061105	21401.393061105	860.200	860.200	16	BS				
93	Spectrogram 1	1	21464.323521861	21464.323521861	2247.300	2247.300	16	BS				
94	Spectrogram 1	1	21498.456455421	21498.456455421	376.300	376.300	16	BS				
95	Spectrogram 1	1	21531.181983281	21531.181983281	860.200	860.200	16	BS				
96	Spectrogram 1	1	21543.076366797	21543.076366797	258.100	258.100	16	BS				
97	Spectrogram 1	1	21619.584522512	21619.584522512	2440.900	2440.900	16	BS				
98	Spectrogram 1	1	23196.964973457	23196.964973457	193.500	193.500	16	RS	GROWL			RS growl
99	Spectrogram 1	1	23354.885797927	23354.885797927	397.800	397.800	16	BS				
100	Spectrogram 1	1	23390.479595571	23390.479595571	720.400	720.400	16	BS				
101	Spectrogram 1	1	23544.404973162	23544.404973162	666.700	666.700	16	BS				
102	Spectrogram 1	1	23708.587851519	23708.587851519	354.800	354.800	16	BS				
103	Spectrogram 1	1	23799.392719122	23799.392719122	440.900	440.900	16	BS				
104	Spectrogram 1	1	23882.542123407	23882.542123407	602.200	602.200	17	BS				
105	Spectrogram 1	1	23977.632312760	23977.632312760	709.700	709.700	17	BS				
106	Spectrogram 1	1	24075.575937333	24075.575937333	236.600	236.600	17	BS				
107	Spectrogram 1	1	24274.274459734	24274.274459734	483.900	483.900	17	BS				
108	Spectrogram 1	1	24376.295851461	24376.295851461	828.000	828.000	17	?				Probably ice
109	Spectrogram 1	1	24397.973904927	24397.973904927	871.000	871.000	17	?				Ice?
110	Spectrogram 1	1	24407.599058162	24407.599058162	172.000	172.000	17	BH				BH
111	Spectrogram 1	1	24421.275706042	24421.275706042	172.000	172.000	17	RS?				RS?
112	Spectrogram 1	1	24429.005598724	24429.005598724	548.400	548.400	17	BS				
113	Spectrogram 1	1	24491.071627443	24491.071627443	192.308	192.308	17	ICE?				Ice?
114	Spectrogram 1	1	24522.194426961	24522.194426961	1010.800	1010.800	17	BS				
115	Spectrogram 1	1	24637.359965290	24637.359965290	301.100	301.100	17	BS				
116	Spectrogram 1	1	24852.535996672	24852.535996672	354.800	354.800	17	BS				
117	Spectrogram 1	1	24930.646881533	24930.646881533	698.900	698.900	17	BS				
118	Spectrogram 1	1	24991.648804539	24991.648804539	784.900	784.900	17	BS				
119	Spectrogram 1	1	25136.764405324	25136.764405324	698.900	698.900	17	BS				
120	Spectrogram 1	1	25254.799097404	25254.799097404	741.900	741.900	17	BS				
121	Spectrogram 1	1	25374.066917206	25374.066917206	569.900	569.900	17	BS				
122	Spectrogram 1	1	25422.679621584	25422.679621584	655.900	655.900	17	BS				
123	Spectrogram 1	1	25586.319492786	25586.319492786	354.800	354.800	17	BS				
124	Spectrogram 1	1	25653.543184908	25653.543184908	698.900	698.900	17	BS				
125	Spectrogram 1	1	25811.398325569	25811.398325569	688.200	688.200	17	BS				
126	Spectrogram 1	1	25993.195466695	25993.195466695	473.100	473.100	17	BS				
127	Spectrogram 1	1	26057.258344292	26057.258344292	645.200	645.200	17	BS				
128	Spectrogram 1	1	26183.220882248	26183.220882248	387.100	387.100	17	BS				
129	Spectrogram 1	1	26360.805388390	26360.805388390	774.200	774.200	17	BS				
130	Spectrogram 1	1	26518.668415745	26518.668415745	483.900	483.900	17	BS				
131	Spectrogram 1	1	26588.905753491	26588.905753491	763.400	763.400	17	BS				
132	Spectrogram 1	1	26652.185673519	26652.185673519	268.800	268.800	17	BS				
133	Spectrogram 1	1	26791.559470112	26791.559470112	720.400	720.400	17	BS				
134	Spectrogram 1	1	27105.264143318	27105.264143318	623.700	623.700	17	BS				
135	Spectrogram 1	1	27205.465576044	27205.465576044	978.500	978.500	17	BS				
136	Spectrogram 1	1	27280.799240376	27280.799240376	1666.700	1666.700	17	BS				
137	Spectrogram 1	1	27333.547564283	27333.547564283	311.800	311.800	17	BS				
138	Spectrogram 1	1	27437.719912421	27437.719912421	752.700	752.700	17	BS				
139	Spectrogram 1	1	27532.608675282	27532.608675282	903.200	903.200	18	BS				
140	Spectrogram 1	1	27656.709233170	27656.709233170	268.800	268.800	18	BS				
141	Spectrogram 1	1	27676.690841827	27676.690841827	1010.800	1010.800	18	RS	YELP			
142	Spectrogram 1	1	27680.958664563	27680.958664563	924.700	924.700	18	RS	YELP			
143	Spectrogram 1	1	27683.762132771	27683.762132771	978.500	978.500	18	RS	YELP			
144	Spectrogram 1	1	27691.826590406	27691.826590406	1043.000	1043.000	18	RS	YELP			
145	Spectrogram 1	1	27693.242775377	27693.242775377	1118.300	1118.300	18	RS	YELP			
146	Spectrogram 1	1	27777.111211432	27777.111211432	741.900	741.900	18	BS				
147	Spectrogram 1	1	27808.833939390	27808.833939390	871.000	871.000	18	BS				
148	Spectrogram 1	1	27923.162206148	27923.162206148	655.900	655.900	18	BS				
149	Spectrogram 1	1	28031.878263078	28031.878263078	322.600	322.600	18	BS				
150	Spectrogram 1	1	28107.703284605	28107.703284605	1021.500	1021.500	18	BS				
151	Spectrogram 1	1	28341.519181792	28341.519181792	397.800	397.800	18	BS				
152	Spectrogram 1	1	28477.558743812	28477.558743812	914.000	914.000	18	BS				
153	Spectrogram 1	1	28569.911199408	28569.911199408	709.700	709.700	18	BS				
154	Spectrogram 1	1	28736.410561350	28736.410561350	698.900	698.900	18	BS				
155	Spectrogram 1	1	29054.533703480	29054.533703480	698.900	698.900	18	BS				
156	Spectrogram 1	1	29300.805392167	29300.805392167	354.800	354.800	18	BS				
157	Spectrogram 1	1	29664.285853040	29664.285853040	957.000	957.000	18	BS				
158	Spectrogram 1	1	29786.034857486	29786.034857486	419.400	419.400	18	BS				
159	Spectrogram 1	1	29912.593802658	29912.593802658	1623.700	1623.700	18	BS				
160	Spectrogram 1	1	29982.819732538	29982.819732538	978.500	978.500	18	BS				
161	Spectrogram 1	1	30114.135225532	30114.135225532	612.900	612.900	18	BS				
162	Spectrogram 1	1	30291.468386296	30291.468386296	1135.714	1135.714	18	BS				
163	Spectrogram 1	1	30383.840952403	30383.840952403	289.286	289.286	18	BS				
164	Spectrogram 1	1	30624.281485547	30624.281485547	942.857	942.857	18	BS				
165	Spectrogram 1	1	30867.622705082	30867.622705082	642.857	642.857	18	BS				
166	Spectrogram 1	1	31041.025223861	31041.025223861	482.143	482.143	18	BS				
167	Spectrogram 1	1	31173.866355252	31173.866355252	1135.714	1135.714	19	BS				
168	Spectrogram 1	1	31275.386748364	31275.386748364	942.857	942.857	19	BS				
169	Spectrogram 1	1	31417.871430754	31417.871430754	728.571	728.571	19	BS				
170	Spectrogram 1	1	31487.101596201	31487.101596201	492.857	492.857	19	BS				
171	Spectrogram 1	1	31543.919766499	31543.919766499	192.857	192.857	19	BS				
172	Spectrogram 1	1	31551.097030469	31551.097030469	1682.143	1682.143	19	BS				
173	Spectrogram 1	1	31627.444029447	31627.444029447	696.429	696.429	19	BS				
174	Spectrogram 1	1	31656.632143830	31656.632143830	985.714	985.714	19	BS				
175	Spectrogram 1	1	31696.709231081	31696.709231081	942.857	942.857	19	BS				
176	Spectrogram 1	1	31726.575206415	31726.575206415	900.000	900.000	19	BS				
177	Spectrogram 1	1	31746.126808551	31746.126808551	2217.857	2217.857	19	BS				
178	Spectrogram 1	1	31755.898210745	31755.898210745	1050.000	1050.000	19	BS				
179	Spectrogram 1	1	31796.851991264	31796.851991264	857.143	857.143	19	BS				
180	Spectrogram 1	1	31851.186367555	31851.186367555	407.143	407.143	19	BS				
181	Spectrogram 1	1	31974.852498193	31974.852498193	1082.143	1082.143	19	BS				
182	Spectrogram 1	1	32008.465222307	32008.465222307	2003.571	2003.571	19	BS				
183	Spectrogram 1	1	32071.986866932	32071.986866932	1189.286	1189.286	19	BS				
184	Spectrogram 1	1	32138.976703427	32138.976703427	396.429	396.429	19	BS				
185	Spectrogram 1	1	32175.800139383	32175.800139383	1167.857	1167.857	19	BS				
186	Spectrogram 1	1	32191.374664514	32191.374664514	1082.143	1082.143	19	BS				
187	Spectrogram 1	1	32235.094224903	32235.094224903	514.286	514.286	19	BS				
188	Spectrogram 1	1	32249.877902132	32249.877902132	825.000	825.000	19	BS				
189	Spectrogram 1	1	32288.809415150	32288.809415150	1017.857	1017.857	19	BS				
190	Spectrogram 1	1	32326.726734961	32326.726734961	321.429	321.429	19	BS				
191	Spectrogram 1	1	32392.043794063	32392.043794063	1039.286	1039.286	19	BS				
192	Spectrogram 1	1	32414.844631788	32414.844631788	2528.571	2528.571	19	BS				
193	Spectrogram 1	1	32431.929061017	32431.929061017	835.714	835.714	19	BS				
194	Spectrogram 1	1	32439.359435277	32439.359435277	1167.857	1167.857	19	BS				
195	Spectrogram 1	1	32478.459095631	32478.459095631	353.571	353.571	19	BS				
196	Spectrogram 1	1	32529.872648231	32529.872648231	814.286	814.286	19	BS				
197	Spectrogram 1	1	32558.521282055	32558.521282055	578.571	578.571	19	BS				
198	Spectrogram 1	1	32574.399704359	32574.399704359	1017.857	1017.857	19	BS				
199	Spectrogram 1	1	32576.181977962	32576.181977962	364.286	364.286	19	BS				
200	Spectrogram 1	1	32588.287431120	32588.287431120	900.000	900.000	19	BS				
201	Spectrogram 1	1	32624.868269764	32624.868269764	1832.143	1832.143	19	BS				
202	Spectrogram 1	1	32704.544228348	32704.544228348	600.000	600.000	19	BS				
203	Spectrogram 1	1	32736.325624985	32736.325624985	642.857	642.857	19	BS				
204	Spectrogram 1	1	32774.552986065	32774.552986065	2560.714	2560.714	19	BS				
205	Spectrogram 1	1	32786.160972226	32786.160972226	1746.429	1746.429	19	BS				
206	Spectrogram 1	1	32788.434575309	32788.434575309	310.714	310.714	19	BS				
207	Spectrogram 1	1	32813.452082478	32813.452082478	610.714	610.714	19	BS				
208	Spectrogram 1	1	32851.047107751	32851.047107751	846.429	846.429	19	BS				
209	Spectrogram 1	1	32904.471531130	32904.471531130	835.714	835.714	19	BS				
210	Spectrogram 1	1	32924.489023111	32924.489023111	739.286	739.286	19	BS				
211	Spectrogram 1	1	33001.027851679	33001.027851679	921.429	921.429	19	BS				
212	Spectrogram 1	1	32999.235944164	32999.235944164	1350.000	1350.000	19	RS	YELP			Yelp
213	Spectrogram 1	1	33042.273250642	33042.273250642	2175.000	2175.000	19	BS				
214	Spectrogram 1	1	33148.405669798	33148.405669798	1371.429	1371.429	19	BS				
215	Spectrogram 1	1	33199.090538239	33199.090538239	632.143	632.143	19	BS				
216	Spectrogram 1	1	33211.251168930	33211.251168930	492.857	492.857	19	BS				
217	Spectrogram 1	1	33327.528116338	33327.528116338	889.286	889.286	19	BS				
218	Spectrogram 1	1	33406.887889782	33406.887889782	1746.429	1746.429	19	BS				
219	Spectrogram 1	1	33417.938871139	33417.938871139	707.143	707.143	19	BS				
220	Spectrogram 1	1	33453.131534950	33453.131534950	1007.143	1007.143	19	BS				
221	Spectrogram 1	1	33497.320527771	33497.320527771	578.571	578.571	19	BS				
222	Spectrogram 1	1	33552.948487629	33552.948487629	953.571	953.571	19	BS				
223	Spectrogram 1	1	33575.394643836	33575.394643836	857.143	857.143	19	BS				
224	Spectrogram 1	1	33674.627428131	33674.627428131	792.857	792.857	19	BS				
225	Spectrogram 1	1	33746.774912842	33746.774912842	1189.286	1189.286	19	BS				
226	Spectrogram 1	1	33872.726050212	33872.726050212	642.857	642.857	19	BS				
227	Spectrogram 1	1	33946.237169626	33946.237169626	1060.714	1060.714	19	BS				
228	Spectrogram 1	1	34009.008226691	34009.008226691	621.429	621.429	19	BS				
229	Spectrogram 1	1	34187.110355839	34187.110355839	600.000	600.000	19	BS				
230	Spectrogram 1	1	34232.213694987	34232.213694987	1017.857	1017.857	19	BS				
231	Spectrogram 1	1	34366.412322005	34366.412322005	707.143	707.143	19	BS				
232	Spectrogram 1	1	34417.517601969	34417.517601969	1403.571	1403.571	19	BS				
233	Spectrogram 1	1	34444.545094270	34444.545094270	621.429	621.429	19	BS				
234	Spectrogram 1	1	34771.794188704	34771.794188704	996.429	996.429	20	BS				
235	Spectrogram 1	1	34841.490279216	34841.490279216	589.286	589.286	20	BS				
236	Spectrogram 1	1	34927.796105416	34927.796105416	632.143	632.143	20	BS				
237	Spectrogram 1	1	34992.042027329	34992.042027329	332.143	332.143	20	BS				
238	Spectrogram 1	1	35091.807325030	35091.807325030	503.571	503.571	20	BS				
239	Spectrogram 1	1	35162.879315341	35162.879315341	1028.571	1028.571	20	BS				
240	Spectrogram 1	1	35294.337539358	35294.337539358	1103.571	1103.571	20	BS				
241	Spectrogram 1	1	35359.598521018	35359.598521018	1660.714	1660.714	20	BS				
242	Spectrogram 1	1	35450.410408725	35450.410408725	782.143	782.143	20	BS				
243	Spectrogram 1	1	35651.451729024	35651.451729024	996.429	996.429	20	BS				
244	Spectrogram 1	1	35708.866350250	35708.866350250	910.714	910.714	20	BS				
245	Spectrogram 1	1	35840.717796628	35840.717796628	889.286	889.286	20	BS				
246	Spectrogram 1	1	35893.061465828	35893.061465828	953.571	953.571	20	BS				
247	Spectrogram 1	1	35952.602539939	35952.602539939	1885.714	1885.714	20	BS				
248	Spectrogram 1	1	36075.041686320	36075.041686320	782.143	782.143	20	BS				
249	Spectrogram 1	1	36291.784553884	36291.784553884	246.429	246.429	20	BS				
250	Spectrogram 1	1	36400.117876655	36400.117876655	321.429	321.429	20	BS				
251	Spectrogram 1	1	36437.796095548	36437.796095548	600.000	600.000	20	BS				
252	Spectrogram 1	1	36450.889462825	36450.889462825	246.429	246.429	20	BS				
253	Spectrogram 1	1	36510.961293658	36510.961293658	417.857	417.857	20	BS				
254	Spectrogram 1	1	36542.014884503	36542.014884503	1200.000	1200.000	20	BS				
255	Spectrogram 1	1	36691.871258392	36691.871258392	2592.857	2592.857	20	BS				
256	Spectrogram 1	1	36738.195483143	36738.195483143	246.429	246.429	20	BS				
257	Spectrogram 1	1	36755.343828932	36755.343828932	567.857	567.857	20	BS				
258	Spectrogram 1	1	36835.853548080	36835.853548080	2325.000	2325.000	20	BS				
259	Spectrogram 1	1	36895.589948875	36895.589948875	867.857	867.857	20	BS				
260	Spectrogram 1	1	36961.422835959	36961.422835959	2089.286	2089.286	20	BS				
261	Spectrogram 1	1	36970.617965526	36970.617965526	717.857	717.857	20	BS				
262	Spectrogram 1	1	36972.063052231	36972.063052231	857.143	857.143	20	BS				
263	Spectrogram 1	1	37087.415123937	37087.415123937	417.857	417.857	20	BS				
264	Spectrogram 1	1	37169.414612596	37169.414612596	278.571	278.571	20	BS				
265	Spectrogram 1	1	37237.431775265	37237.431775265	2228.571	2228.571	20	BS				
266	Spectrogram 1	1	37287.768959016	37287.768959016	503.571	503.571	20	BS				
267	Spectrogram 1	1	37314.519702244	37314.519702244	867.857	867.857	20	BS		GOOD		
268	Spectrogram 1	1	37400.425291645	37400.425291645	1339.286	1339.286	20	BS				
269	Spectrogram 1	1	37444.688726533	37444.688726533	1253.571	1253.571	20	BS				
270	Spectrogram 1	1	37450.566282297	37450.566282297	246.429	246.429	20	BS				
271	Spectrogram 1	1	37467.401125120	37467.401125120	1039.286	1039.286	20	BS				
272	Spectrogram 1	1	37492.891577284	37492.891577284	407.143	407.143	20	BS				
273	Spectrogram 1	1	37567.419510241	37567.419510241	1382.143	1382.143	20	BS		GOOD		
274	Spectrogram 1	1	37591.731995642	37591.731995642	246.429	246.429	20	BS		GOOD		
275	Spectrogram 1	1	37591.732878000	37591.732878000	1082.143	1082.143	20	BS				
276	Spectrogram 1	1	37633.518660668	37633.518660668	1435.714	1435.714	20	BS				
277	Spectrogram 1	1	37660.242231369	37660.242231369	567.857	567.857	20	BS				
278	Spectrogram 1	1	37669.317384487	37669.317384487	696.429	696.429	20	BS				
279	Spectrogram 1	1	37696.432473587	37696.432473587	2078.571	2078.571	20	BS				
280	Spectrogram 1	1	37702.944997671	37702.944997671	782.143	782.143	20	BS				
281	Spectrogram 1	1	37713.980210259	37713.980210259	1146.429	1146.429	20	BS				
282	Spectrogram 1	1	37719.933960906	37719.933960906	235.714	235.714	20	BS				
283	Spectrogram 1	1	37769.260470014	37769.260470014	600.000	600.000	20	BS				
284	Spectrogram 1	1	37790.392014158	37790.392014158	332.143	332.143	20	BS				
285	Spectrogram 1	1	37815.623225792	37815.623225792	1928.571	1928.571	20	BS		GOOD		
286	Spectrogram 1	1	37864.114205523	37864.114205523	1307.143	1307.143	20	BS				
287	Spectrogram 1	1	37877.217197473	37877.217197473	1103.571	1103.571	20	BS				
288	Spectrogram 1	1	37910.561035948	37910.561035948	353.571	353.571	20	BS				
289	Spectrogram 1	1	37938.012438827	37938.012438827	385.714	385.714	20	BS				
290	Spectrogram 1	1	37997.934468874	37997.934468874	600.000	600.000	20	BS				
291	Spectrogram 1	1	38091.370296675	38091.370296675	289.286	289.286	20	BS				
292	Spectrogram 1	1	38117.916098028	38117.916098028	642.857	642.857	20	BS				
293	Spectrogram 1	1	38137.460676999	38137.460676999	717.857	717.857	20	BS				
294	Spectrogram 1	1	38168.129793747	38168.129793747	267.857	267.857	20	BS				
295	Spectrogram 1	1	38165.931506479	38165.931506479	2110.714	2110.714	20	BS				
296	Spectrogram 1	1	38238.269910022	38238.269910022	932.143	932.143	20	BS				
297	Spectrogram 1	1	38285.599573137	38285.599573137	332.143	332.143	21	BS				
298	Spectrogram 1	1	38306.290587562	38306.290587562	1339.286	1339.286	21	BS				
299	Spectrogram 1	1	38315.610087518	38315.610087518	278.571	278.571	21	BS				
300	Spectrogram 1	1	38328.401286012	38328.401286012	1092.857	1092.857	21	BS				
301	Spectrogram 1	1	38341.131172115	38341.131172115	257.143	257.143	21	BS				
302	Spectrogram 1	1	38378.239274780	38378.239274780	1382.143	1382.143	21	BS				
303	Spectrogram 1	1	38415.078471596	38415.078471596	364.286	364.286	21	BS				
304	Spectrogram 1	1	38436.736380830	38436.736380830	1435.714	1435.714	21	BS				
305	Spectrogram 1	1	38499.187769293	38499.187769293	1200.000	1200.000	21	BS				
306	Spectrogram 1	1	38526.675050877	38526.675050877	2025.000	2025.000	21	BS				
307	Spectrogram 1	1	38601.363283391	38601.363283391	428.571	428.571	21	BS				
308	Spectrogram 1	1	38643.119275388	38643.119275388	1050.000	1050.000	21	BS				
309	Spectrogram 1	1	38670.582066729	38670.582066729	782.143	782.143	21	BS				
310	Spectrogram 1	1	38694.167632336	38694.167632336	1778.571	1778.571	21	BS				
311	Spectrogram 1	1	38774.321772192	38774.321772192	546.429	546.429	21	BS				
312	Spectrogram 1	1	38862.214569163	38862.214569163	428.571	428.571	21	BS				
313	Spectrogram 1	1	38924.590620673	38924.590620673	1039.286	1039.286	21	BS				
314	Spectrogram 1	1	38928.675414281	38928.675414281	664.286	664.286	21	BS				
315	Spectrogram 1	1	38962.825004918	38962.825004918	1703.571	1703.571	21	BS				
316	Spectrogram 1	1	38986.674201757	38986.674201757	235.714	235.714	21	BS				
317	Spectrogram 1	1	39020.876334753	39020.876334753	867.857	867.857	21	BS				
318	Spectrogram 1	1	39066.166222695	39066.166222695	1382.143	1382.143	21	BS				
319	Spectrogram 1	1	39087.460670563	39087.460670563	642.857	642.857	21	BS				
320	Spectrogram 1	1	39100.053944908	39100.053944908	1692.857	1692.857	21	BS				
321	Spectrogram 1	1	39111.767027686	39111.767027686	246.429	246.429	21	BS				
322	Spectrogram 1	1	39154.700986094	39154.700986094	2496.429	2496.429	21	BS				
323	Spectrogram 1	1	39176.581347079	39176.581347079	792.857	792.857	21	BS				
324	Spectrogram 1	1	39181.985983256	39181.985983256	321.429	321.429	21	BS				
325	Spectrogram 1	1	39209.371683094	39209.371683094	1960.714	1960.714	21	BS				
326	Spectrogram 1	1	39263.274296409	39263.274296409	1617.857	1617.857	21	BS				
327	Spectrogram 1	1	39284.966372355	39284.966372355	353.571	353.571	21	BS				
328	Spectrogram 1	1	39331.759152956	39331.759152956	814.286	814.286	21	BS				
329	Spectrogram 1	1	39332.636715299	39332.636715299	267.857	267.857	21	BS				
330	Spectrogram 1	1	39394.042390793	39394.042390793	1907.143	1907.143	21	BS				
331	Spectrogram 1	1	39431.153958443	39431.153958443	1157.143	1157.143	21	BS				
332	Spectrogram 1	1	39478.785756677	39478.785756677	396.429	396.429	21	BS				
333	Spectrogram 1	1	39522.706771274	39522.706771274	2346.429	2346.429	21	BS				
334	Spectrogram 1	1	39555.908739542	39555.908739542	278.571	278.571	21	BS				
