Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH
75	Spectrogram 1	1	8730.415979334	8730.415979334	373.665	373.665	67653638.220517175558.wav	BS			
76	Spectrogram 1	1	8764.767005701	8764.767005701	1601.423	1601.423	67653638.220517175558.wav	BS			
77	Spectrogram 1	1	8807.929564575	8807.929564575	704.626	704.626	67653638.220517175558.wav	BS			
78	Spectrogram 1	1	8829.865099804	8829.865099804	2274.021	2274.021	67653638.220517175558.wav	BS			
79	Spectrogram 1	1	8904.230121128	8904.230121128	469.751	469.751	67653638.220517175558.wav	BS			
80	Spectrogram 1	1	8915.376577493	8915.376577493	1110.320	1110.320	67653638.220517175558.wav	BS			
81	Spectrogram 1	1	8957.117686998	8957.117686998	790.036	790.036	67653638.220517175558.wav	BS			
82	Spectrogram 1	1	8967.315615136	8967.315615136	1729.537	1729.537	67653638.220517175558.wav	BS			
83	Spectrogram 1	1	9105.791694182	9105.791694182	1964.413	1964.413	67653638.220517180058.wav	BS			
84	Spectrogram 1	1	9206.163028391	9206.163028391	629.893	629.893	67653638.220517180058.wav	BS			
85	Spectrogram 1	1	9347.423337272	9347.423337272	384.342	384.342	67653638.220517180558.wav	BS			
86	Spectrogram 1	1	9379.590089034	9379.590089034	1921.708	1921.708	67653638.220517180558.wav	BS			
87	Spectrogram 1	1	9425.230300129	9425.230300129	2071.174	2071.174	67653638.220517180558.wav	BS			
88	Spectrogram 1	1	9551.833922156	9551.833922156	437.722	437.722	67653638.220517180558.wav	BS			
89	Spectrogram 1	1	9591.584315681	9591.584315681	2007.117	2007.117	67653638.220517180558.wav	BS			
90	Spectrogram 1	1	9623.553138675	9623.553138675	736.655	736.655	67653638.220517181058.wav	BS			
91	Spectrogram 1	1	9769.312440228	9769.312440228	1334.520	1334.520	67653638.220517181058.wav	BS			
92	Spectrogram 1	1	9805.683962047	9805.683962047	597.865	597.865	67653638.220517181058.wav	BS			
93	Spectrogram 1	1	9839.969322732	9839.969322732	395.018	395.018	67653638.220517181058.wav	BS			
94	Spectrogram 1	1	9857.822712055	9857.822712055	1153.025	1153.025	67653638.220517181058.wav	BS			
95	Spectrogram 1	1	9907.915545678	9907.915545678	2017.794	2017.794	67653638.220517181558.wav	BS			
96	Spectrogram 1	1	9958.955128550	9958.955128550	1313.167	1313.167	67653638.220517181558.wav	BS			
97	Spectrogram 1	1	9992.861245467	9992.861245467	704.626	704.626	67653638.220517181558.wav	BS			
98	Spectrogram 1	1	10004.862478417	10004.862478417	2348.754	2348.754	67653638.220517181558.wav	BS			
99	Spectrogram 1	1	10145.200536955	10145.200536955	1494.662	1494.662	67653638.220517181558.wav	BS			
100	Spectrogram 1	1	10234.922902987	10234.922902987	480.427	480.427	67653638.220517182058.wav	BS			
101	Spectrogram 1	1	10258.604805398	10258.604805398	822.064	822.064	67653638.220517182058.wav	BS			
102	Spectrogram 1	1	10343.940249632	10343.940249632	2081.851	2081.851	67653638.220517182058.wav	BS			
103	Spectrogram 1	1	10388.561873580	10388.561873580	330.961	330.961	67653638.220517182058.wav	BS			
104	Spectrogram 1	1	10399.680292316	10399.680292316	1153.025	1153.025	67653638.220517182058.wav	BS			
105	Spectrogram 1	1	10412.656299841	10412.656299841	1964.413	1964.413	67653638.220517182058.wav	BS			
106	Spectrogram 1	1	10527.725495416	10527.725495416	1355.872	1355.872	67653638.220517182558.wav	BS			
107	Spectrogram 1	1	10594.559421326	10594.559421326	2167.260	2167.260	67653638.220517182558.wav	BS			
108	Spectrogram 1	1	10645.223290894	10645.223290894	693.950	693.950	67653638.220517182558.wav	BS			
109	Spectrogram 1	1	10675.307377511	10675.307377511	565.836	565.836	67653638.220517182558.wav	BS			
110	Spectrogram 1	1	10695.587632801	10695.587632801	491.103	491.103	67653638.220517182558.wav	BS			
111	Spectrogram 1	1	10709.252888005	10709.252888005	2177.936	2177.936	67653638.220517182558.wav	BS			
112	Spectrogram 1	1	10801.164797084	10801.164797084	971.530	971.530	67653638.220517183058.wav	BS			
114	Spectrogram 1	1	10964.668028408	10964.668028408	1441.281	1441.281	67653638.220517183058.wav	BS			
115	Spectrogram 1	1	11002.275313528	11002.275313528	2135.231	2135.231	67653638.220517183058.wav	BS			
116	Spectrogram 1	1	11065.923957767	11065.923957767	1932.384	1932.384	67653638.220517183058.wav	BS			
117	Spectrogram 1	1	11129.336108142	11129.336108142	523.132	523.132	67653638.220517183558.wav	BS			
118	Spectrogram 1	1	11201.871568663	11201.871568663	629.893	629.893	67653638.220517183558.wav	BS			
119	Spectrogram 1	1	11337.928685298	11337.928685298	330.961	330.961	67653638.220517183558.wav	BS			
120	Spectrogram 1	1	11369.516527300	11369.516527300	2199.288	2199.288	67653638.220517183558.wav	BS			
121	Spectrogram 1	1	11401.969670467	11401.969670467	608.541	608.541	67653638.220517184058.wav	BS			
122	Spectrogram 1	1	11490.390570508	11490.390570508	597.865	597.865	67653638.220517184058.wav	BS			
123	Spectrogram 1	1	11536.614071444	11536.614071444	2231.317	2231.317	67653638.220517184058.wav	BS			
124	Spectrogram 1	1	11648.519855606	11648.519855606	683.274	683.274	67653638.220517184058.wav	BS			
125	Spectrogram 1	1	11787.985598298	11787.985598298	1110.320	1110.320	67653638.220517184558.wav	BS			
126	Spectrogram 1	1	11819.666284978	11819.666284978	2039.146	2039.146	67653638.220517184558.wav	BS			
127	Spectrogram 1	1	11860.472010195	11860.472010195	2145.907	2145.907	67653638.220517184558.wav	BS			
128	Spectrogram 1	1	11978.470803133	11978.470803133	491.103	491.103	67653638.220517184558.wav	BS			
129	Spectrogram 1	1	12013.485696266	12013.485696266	1046.263	1046.263	67653638.220517185058.wav	BS			
130	Spectrogram 1	1	12043.830762370	12043.830762370	1334.520	1334.520	67653638.220517185058.wav	BS			
131	Spectrogram 1	1	12066.380241991	12066.380241991	2049.822	2049.822	67653638.220517185058.wav	BS			
132	Spectrogram 1	1	12103.113467112	12103.113467112	640.569	640.569	67653638.220517185058.wav	BS			
133	Spectrogram 1	1	12113.766832167	12113.766832167	1622.776	1622.776	67653638.220517185058.wav	BS			
134	Spectrogram 1	1	12160.700594843	12160.700594843	2060.498	2060.498	67653638.220517185058.wav	BS			
135	Spectrogram 1	1	12192.594127833	12192.594127833	683.274	683.274	67653638.220517185058.wav	BS			
136	Spectrogram 1	1	12196.572933228	12196.572933228	800.712	800.712	67653638.220517185058.wav	BS			
137	Spectrogram 1	1	12201.700801341	12201.700801341	512.456	512.456	67653638.220517185058.wav	BS			
138	Spectrogram 1	1	12206.032557154	12206.032557154	907.473	907.473	67653638.220517185058.wav	BS			
139	Spectrogram 1	1	12329.813425249	12329.813425249	1622.776	1622.776	67653638.220517185558.wav	BS			
140	Spectrogram 1	1	12375.182143248	12375.182143248	2060.498	2060.498	67653638.220517185558.wav	BS			
141	Spectrogram 1	1	12492.860373678	12492.860373678	854.093	854.093	67653638.220517185558.wav	BS			
142	Spectrogram 1	1	12650.711136513	12650.711136513	288.256	288.256	67653638.220517190058.wav	BS			
143	Spectrogram 1	1	12666.209460811	12666.209460811	555.160	555.160	67653638.220517190058.wav	BS			
144	Spectrogram 1	1	12690.703256190	12690.703256190	2466.192	2466.192	67653638.220517190058.wav	BS			
145	Spectrogram 1	1	12799.048847470	12799.048847470	790.036	790.036	67653638.220517190058.wav	BS			
146	Spectrogram 1	1	12950.905549079	12950.905549079	501.779	501.779	67653638.220517190558.wav	BS			
147	Spectrogram 1	1	12982.170209566	12982.170209566	2177.936	2177.936	67653638.220517190558.wav	BS			
148	Spectrogram 1	1	13024.740723755	13024.740723755	2039.146	2039.146	67653638.220517190558.wav	BS			
149	Spectrogram 1	1	13149.953552294	13149.953552294	491.103	491.103	67653638.220517190558.wav	BS			
150	Spectrogram 1	1	13175.494804218	13175.494804218	1569.395	1569.395	67653638.220517190558.wav	BS			
151	Spectrogram 1	1	13217.300721878	13217.300721878	661.922	661.922	67653638.220517191058.wav	BS			
152	Spectrogram 1	1	13250.348535036	13250.348535036	928.826	928.826	67653638.220517191058.wav	BS			
153	Spectrogram 1	1	13291.560667723	13291.560667723	555.160	555.160	67653638.220517191058.wav	BS			
154	Spectrogram 1	1	13326.339953043	13326.339953043	2113.879	2113.879	67653638.220517191058.wav	BS			
155	Spectrogram 1	1	13402.934817425	13402.934817425	832.740	832.740	67653638.220517191058.wav	BS			
156	Spectrogram 1	1	13424.245899901	13424.245899901	2167.260	2167.260	67653638.220517191058.wav	BS			
157	Spectrogram 1	1	13550.063896447	13550.063896447	448.399	448.399	67653638.220517191558.wav	BS			
158	Spectrogram 1	1	13561.856685689	13561.856685689	779.359	779.359	67653638.220517191558.wav	BS			
159	Spectrogram 1	1	13631.126250887	13631.126250887	1943.060	1943.060	67653638.220517191558.wav	BS			
160	Spectrogram 1	1	13747.098415475	13747.098415475	661.922	661.922	67653638.220517191558.wav	BS			
161	Spectrogram 1	1	13889.975439200	13889.975439200	341.637	341.637	67653638.220517192058.wav	BS			
162	Spectrogram 1	1	13916.599198820	13916.599198820	2188.612	2188.612	67653638.220517192058.wav	BS			
163	Spectrogram 1	1	13985.636692618	13985.636692618	2455.516	2455.516	67653638.220517192058.wav	BS			
164	Spectrogram 1	1	14084.817809807	14084.817809807	1014.235	1014.235	67653638.220517192058.wav	BS			
165	Spectrogram 1	1	14141.070211849	14141.070211849	747.331	747.331	67653638.220517192558.wav	BS			
166	Spectrogram 1	1	14190.668222888	14190.668222888	2476.868	2476.868	67653638.220517192558.wav	BS			
167	Spectrogram 1	1	14312.993494362	14312.993494362	1398.577	1398.577	67653638.220517192558.wav	BS			
168	Spectrogram 1	1	14368.498838327	14368.498838327	2124.555	2124.555	67653638.220517192558.wav	BS			
169	Spectrogram 1	1	14407.132573212	14407.132573212	619.217	619.217	67653638.220517193058.wav	BS			
170	Spectrogram 1	1	14439.460453765	14439.460453765	437.722	437.722	67653638.220517193058.wav	BS			
171	Spectrogram 1	1	14454.787154140	14454.787154140	1003.559	1003.559	67653638.220517193058.wav	BS			
172	Spectrogram 1	1	14494.042714512	14494.042714512	2402.135	2402.135	67653638.220517193058.wav	BS			
173	Spectrogram 1	1	14588.429650279	14588.429650279	1387.900	1387.900	67653638.220517193058.wav	BS			
174	Spectrogram 1	1	14654.672420667	14654.672420667	2071.174	2071.174	67653638.220517193058.wav	BS			
175	Spectrogram 1	1	14762.200880563	14762.200880563	459.075	459.075	67653638.220517193558.wav	BS			
176	Spectrogram 1	1	14794.268654748	14794.268654748	758.007	758.007	67653638.220517193558.wav	BS			
177	Spectrogram 1	1	14876.945997376	14876.945997376	790.036	790.036	67653638.220517193558.wav	BS			
178	Spectrogram 1	1	14883.603937319	14883.603937319	2167.260	2167.260	67653638.220517193558.wav	BS			
179	Spectrogram 1	1	15003.809744249	15003.809744249	971.530	971.530	67653638.220517194058.wav	BS			
180	Spectrogram 1	1	15158.217674935	15158.217674935	533.808	533.808	67653638.220517194058.wav	BS			
181	Spectrogram 1	1	15196.882969074	15196.882969074	1782.918	1782.918	67653638.220517194058.wav	BS			
182	Spectrogram 1	1	15259.538424976	15259.538424976	395.018	395.018	67653638.220517194058.wav	BS			
183	Spectrogram 1	1	15275.728644026	15275.728644026	715.302	715.302	67653638.220517194058.wav	BS			
184	Spectrogram 1	1	15299.004169343	15299.004169343	288.256	288.256	67653638.220517194058.wav	BS			
185	Spectrogram 1	1	15330.770684818	15330.770684818	640.569	640.569	67653638.220517194558.wav	BS			
186	Spectrogram 1	1	15348.602174433	15348.602174433	2274.021	2274.021	67653638.220517194558.wav	BS			
187	Spectrogram 1	1	15390.406335987	15390.406335987	886.121	886.121	67653638.220517194558.wav	BS			
188	Spectrogram 1	1	15425.167241791	15425.167241791	1195.730	1195.730	67653638.220517194558.wav	BS			
189	Spectrogram 1	1	15451.618452227	15451.618452227	555.160	555.160	67653638.220517194558.wav	BS			
190	Spectrogram 1	1	15461.494077919	15461.494077919	1537.367	1537.367	67653638.220517194558.wav	BS			
191	Spectrogram 1	1	15508.325428059	15508.325428059	1078.292	1078.292	67653638.220517194558.wav	BS			
192	Spectrogram 1	1	15526.182317416	15526.182317416	1473.310	1473.310	67653638.220517194558.wav	BS			
193	Spectrogram 1	1	15554.315962657	15554.315962657	672.598	672.598	67653638.220517194558.wav	BS			
194	Spectrogram 1	1	15594.375516424	15594.375516424	2295.374	2295.374	67653638.220517194558.wav	BS			
195	Spectrogram 1	1	15603.432268889	15603.432268889	459.075	459.075	67653638.220517195058.wav	BS			
196	Spectrogram 1	1	15712.881392019	15712.881392019	1537.367	1537.367	67653638.220517195058.wav	BS			
197	Spectrogram 1	1	15780.154997050	15780.154997050	683.274	683.274	67653638.220517195058.wav	BS			
198	Spectrogram 1	1	15796.607088967	15796.607088967	1131.673	1131.673	67653638.220517195058.wav	BS			
199	Spectrogram 1	1	15809.147814199	15809.147814199	1238.434	1238.434	67653638.220517195058.wav	BS			
200	Spectrogram 1	1	15856.540523065	15856.540523065	1772.242	1772.242	67653638.220517195058.wav	BS			
201	Spectrogram 1	1	15943.940234449	15943.940234449	384.342	384.342	67653638.220517195558.wav	BS			
202	Spectrogram 1	1	15972.268326552	15972.268326552	1729.537	1729.537	67653638.220517195558.wav	BS			
203	Spectrogram 1	1	16030.690095651	16030.690095651	480.427	480.427	67653638.220517195558.wav	BS			
204	Spectrogram 1	1	16054.539292086	16054.539292086	555.160	555.160	67653638.220517195558.wav	BS			
205	Spectrogram 1	1	16076.796255312	16076.796255312	362.989	362.989	67653638.220517195558.wav	BS			
206	Spectrogram 1	1	16091.850565223	16091.850565223	1644.128	1644.128	67653638.220517195558.wav	BS			
207	Spectrogram 1	1	16119.607613070	16119.607613070	597.865	597.865	67653638.220517195558.wav	BS			
208	Spectrogram 1	1	16142.882266599	16142.882266599	992.883	992.883	67653638.220517195558.wav	BS			
209	Spectrogram 1	1	16154.517401677	16154.517401677	1846.975	1846.975	67653638.220517195558.wav	BS			
210	Spectrogram 1	1	16179.992967079	16179.992967079	544.484	544.484	67653638.220517195558.wav	BS			
211	Spectrogram 1	1	16216.730577530	16216.730577530	597.865	597.865	67653638.220517200058.wav	BS			
212	Spectrogram 1	1	16259.876466800	16259.876466800	1793.594	1793.594	67653638.220517200058.wav	BS			
213	Spectrogram 1	1	16296.547528179	16296.547528179	587.189	587.189	67653638.220517200058.wav	BS			
214	Spectrogram 1	1	16338.711650086	16338.711650086	992.883	992.883	67653638.220517200058.wav	BS			
215	Spectrogram 1	1	16383.632839053	16383.632839053	1024.911	1024.911	67653638.220517200058.wav	BS			
216	Spectrogram 1	1	16439.463103141	16439.463103141	1900.356	1900.356	67653638.220517200058.wav	BS			
217	Spectrogram 1	1	16525.112073841	16525.112073841	2092.527	2092.527	67653638.220517200558.wav	BS			
218	Spectrogram 1	1	16550.627918466	16550.627918466	395.018	395.018	67653638.220517200558.wav	BS			
219	Spectrogram 1	1	16592.711485216	16592.711485216	1409.253	1409.253	67653638.220517200558.wav	BS			
220	Spectrogram 1	1	16618.432267915	16618.432267915	715.302	715.302	67653638.220517200558.wav	BS			
221	Spectrogram 1	1	16767.004708947	16767.004708947	1750.890	1750.890	67653638.220517200558.wav	BS			
222	Spectrogram 1	1	16824.587463876	16824.587463876	1548.043	1548.043	67653638.220517201058.wav	BS			
223	Spectrogram 1	1	16872.628261850	16872.628261850	736.655	736.655	67653638.220517201058.wav	BS			
224	Spectrogram 1	1	16897.876113062	16897.876113062	1387.900	1387.900	67653638.220517201058.wav	BS			
225	Spectrogram 1	1	16938.180893365	16938.180893365	2241.993	2241.993	67653638.220517201058.wav	BS			
226	Spectrogram 1	1	17031.884719197	17031.884719197	1067.616	1067.616	67653638.220517201058.wav	BS			
227	Spectrogram 1	1	17130.390574284	17130.390574284	448.399	448.399	67653638.220517201558.wav	BS			
228	Spectrogram 1	1	17174.499869879	17174.499869879	2338.078	2338.078	67653638.220517201558.wav	BS			
229	Spectrogram 1	1	17293.943750678	17293.943750678	629.893	629.893	67653638.220517201558.wav	BS			
230	Spectrogram 1	1	17398.495334096	17398.495334096	2327.402	2327.402	67653638.220517201558.wav	BS			
231	Spectrogram 1	1	17440.726893383	17440.726893383	362.989	362.989	67653638.220517202058.wav	BS			
232	Spectrogram 1	1	17475.096311164	17475.096311164	565.836	565.836	67653638.220517202058.wav	BS			
233	Spectrogram 1	1	17476.666638717	17476.666638717	2444.840	2444.840	67653638.220517202058.wav	BS			
234	Spectrogram 1	1	17540.528953702	17540.528953702	608.541	608.541	67653638.220517202058.wav	BS			
235	Spectrogram 1	1	17572.992597950	17572.992597950	1163.701	1163.701	67653638.220517202058.wav	BS			
236	Spectrogram 1	1	17616.444188778	17616.444188778	2081.851	2081.851	67653638.220517202058.wav	BS			
237	Spectrogram 1	1	17673.484822375	17673.484822375	704.626	704.626	67653638.220517202058.wav	BS			
238	Spectrogram 1	1	17698.695884179	17698.695884179	1900.356	1900.356	67653638.220517202058.wav	BS			
239	Spectrogram 1	1	17724.466607729	17724.466607729	352.313	352.313	67653638.220517202558.wav	BS			
240	Spectrogram 1	1	17736.494977697	17736.494977697	2859.023	2859.023	67653638.220517202558.wav	BS			
241	Spectrogram 1	1	17781.464323289	17781.464323289	480.427	480.427	67653638.220517202558.wav	BS			
242	Spectrogram 1	1	17829.471847356	17829.471847356	512.456	512.456	67653638.220517202558.wav	BS			
243	Spectrogram 1	1	17862.080888582	17862.080888582	565.836	565.836	67653638.220517202558.wav	BS			
244	Spectrogram 1	1	17860.799578370	17860.799578370	1313.167	1313.167	67653638.220517202558.wav	BS			
245	Spectrogram 1	1	17905.952857618	17905.952857618	2092.527	2092.527	67653638.220517202558.wav	BS			
246	Spectrogram 1	1	17910.756676068	17910.756676068	2263.345	2263.345	67653638.220517202558.wav	BS			
247	Spectrogram 1	1	17974.980704572	17974.980704572	640.569	640.569	67653638.220517202558.wav	BS			
248	Spectrogram 1	1	18016.095606549	18016.095606549	672.598	672.598	67653638.220517203058.wav	BS			
249	Spectrogram 1	1	18090.091922544	18090.091922544	1345.196	1345.196	67653638.220517203058.wav	BS			
250	Spectrogram 1	1	18124.889611178	18124.889611178	693.950	693.950	67653638.220517203058.wav	BS			
251	Spectrogram 1	1	18145.395828470	18145.395828470	1772.242	1772.242	67653638.220517203058.wav	BS			
252	Spectrogram 1	1	18177.743880969	18177.743880969	1761.566	1761.566	67653638.220517203058.wav	BS			
253	Spectrogram 1	1	18189.857221576	18189.857221576	1014.235	1014.235	67653638.220517203058.wav	BS			
254	Spectrogram 1	1	18230.495686433	18230.495686433	1024.911	1024.911	67653638.220517203058.wav	BS			
255	Spectrogram 1	1	18311.315431034	18311.315431034	352.313	352.313	67653638.220517203558.wav	BS			
256	Spectrogram 1	1	18338.048669312	18338.048669312	2594.306	2594.306	67653638.220517203558.wav	BS			
257	Spectrogram 1	1	18338.434025767	18338.434025767	501.779	501.779	67653638.220517203558.wav	BS			
258	Spectrogram 1	1	18381.140275935	18381.140275935	2071.174	2071.174	67653638.220517203558.wav	BS			
259	Spectrogram 1	1	18418.075813195	18418.075813195	640.569	640.569	67653638.220517203558.wav	BS			
260	Spectrogram 1	1	18485.193532695	18485.193532695	1622.776	1622.776	67653638.220517203558.wav	BS			
261	Spectrogram 1	1	18526.821663859	18526.821663859	715.302	715.302	67653638.220517203558.wav	BS			
262	Spectrogram 1	1	18539.943050513	18539.943050513	2658.363	2658.363	67653638.220517203558.wav	BS			
263	Spectrogram 1	1	18540.039389626	18540.039389626	982.206	982.206	67653638.220517203558.wav	BS			
265	Spectrogram 1	1	18688.979643986	18688.979643986	1153.025	1153.025	67653638.220517204058.wav	BS			
266	Spectrogram 1	1	18775.365162792	18775.365162792	2263.345	2263.345	67653638.220517204058.wav	BS			
267	Spectrogram 1	1	18784.490257165	18784.490257165	555.160	555.160	67653638.220517204058.wav	BS			
268	Spectrogram 1	1	18872.205264979	18872.205264979	747.331	747.331	67653638.220517204058.wav	BS			
