Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin Hour	Species	Call type	Comments	Quantity	WH
50	Spectrogram 1	1	1250.676082845	1250.676082845	758.000	758.000	-99.55	0	BS				
51	Spectrogram 1	1	1343.611811135	1343.611811135	800.700	800.700	-124.65	0	BS				
52	Spectrogram 1	1	1355.108573730	1355.108573730	2188.600	2188.600	-100.40	0	BS				
53	Spectrogram 1	1	1391.754220530	1391.754220530	960.900	960.900	-117.29	0	BS				
54	Spectrogram 1	1	1530.248689660	1530.248689660	288.300	288.300	-100.28	0	BS				
55	Spectrogram 1	1	1583.282479658	1583.282479658	854.100	854.100	-119.34	0	BS				
56	Spectrogram 1	1	1616.675399148	1616.675399148	1943.100	1943.100	-126.65	0	BS				
57	Spectrogram 1	1	1699.547171839	1699.547171839	992.900	992.900	-139.83	0	BS				
58	Spectrogram 1	1	1818.621444915	1818.621444915	384.300	384.300	-99.42	0	BS				
59	Spectrogram 1	1	1862.950552468	1862.950552468	1430.600	1430.600	-103.68	0	BS				
60	Spectrogram 1	1	1894.748610800	1894.748610800	640.600	640.600	-116.00	0	BS				
61	Spectrogram 1	1	1906.359232539	1906.359232539	202.800	202.800	-93.21	0	BS				
62	Spectrogram 1	1	1916.675399323	1916.675399323	1099.600	1099.600	-104.46	0	BS				
63	Spectrogram 1	1	1996.943393124	1996.943393124	1259.800	1259.800	-93.55	0	BS				
64	Spectrogram 1	1	2147.726371627	2147.726371627	1035.600	1035.600	-118.78	0	RS	YELP			
65	Spectrogram 1	1	2166.108734479	2166.108734479	523.100	523.100	-113.17	0	BS				
66	Spectrogram 1	1	2247.630029913	2247.630029913	2327.400	2327.400	-112.97	0	BS				
67	Spectrogram 1	1	2246.419659424	2246.419659424	790.000	790.000	-100.45	0	RS	YELP			
68	Spectrogram 1	1	2286.234863064	2286.234863064	854.100	854.100	-90.83	0	BS				
69	Spectrogram 1	1	2326.532635391	2326.532635391	320.300	320.300	-82.94	0	BS				
70	Spectrogram 1	1	2404.045316507	2404.045316507	1793.600	1793.600	-111.62	0	BS				
71	Spectrogram 1	1	2535.394089987	2535.394089987	384.300	384.300	-101.36	0	BS				
72	Spectrogram 1	1	2591.151662865	2591.151662865	298.900	298.900	-119.54	0	BS				
73	Spectrogram 1	1	2668.377965104	2668.377965104	960.900	960.900	-98.76	0	BS				
74	Spectrogram 1	1	2710.215425621	2712.113306161	128.100	1419.900	-94.36	0	RS	BARK		3	
75	Spectrogram 1	1	2760.211914182	2760.211914182	1334.500	1334.500	-104.07	0	BS				
76	Spectrogram 1	1	2941.961787970	2941.961787970	1313.200	1313.200	-123.82	0	BS				
77	Spectrogram 1	1	3058.832493562	3058.832493562	992.900	992.900	-101.42	0	BS				
78	Spectrogram 1	1	3102.304219958	3102.304219958	256.200	256.200	-94.27	0	BS				
79	Spectrogram 1	1	3160.125213658	3160.125213658	672.600	672.600	-134.97	0	BS				
80	Spectrogram 1	1	3201.977543439	3201.977543439	971.500	971.500	-99.24	0	BS				
81	Spectrogram 1	1	3234.982451439	3234.982451439	288.300	288.300	-117.71	0	BS				
82	Spectrogram 1	1	3343.638082255	3343.638082255	1985.800	1985.800	-107.36	0	BS				
83	Spectrogram 1	1	3483.267621652	3483.267621652	640.600	640.600	-117.85	0	BS				
84	Spectrogram 1	1	3550.763670749	3550.763670749	928.800	928.800	-110.67	0	BS				
85	Spectrogram 1	1	3614.018191387	3614.018191387	309.600	309.600	-130.62	1	BS				
86	Spectrogram 1	1	3702.087895156	3702.087895156	2177.900	2177.900	-118.31	1	BS				
87	Spectrogram 1	1	3833.706399676	3833.706399676	1238.400	1238.400	-107.46	1	BS				
88	Spectrogram 1	1	4000.845996998	4000.845996998	384.300	384.300	-121.39	1	BS				
89	Spectrogram 1	1	4026.176186964	4026.176186964	843.400	843.400	-99.57	1	BS				
91	Spectrogram 1	1	4076.507239112	4076.507239112	491.100	491.100	-108.38	1	BS				
92	Spectrogram 1	1	4147.745633845	4147.745633845	1964.400	1964.400	-122.63	1	BS				
93	Spectrogram 1	1	4279.742480490	4279.742480490	2060.500	2060.500	-107.64	1	BS				
94	Spectrogram 1	1	4364.647896841	4364.647896841	1911.000	1911.000	-106.08	1	BS				
95	Spectrogram 1	1	4370.439626471	4370.439626471	928.800	939.500	-106.34	1	RS	YELP			
96	Spectrogram 1	1	4371.480088899	4371.480088899	661.900	661.900	-120.96	1	RS	BARK			
97	Spectrogram 1	1	4374.370262309	4374.370262309	736.700	736.700	-112.67	1	RS	YELP			
98	Spectrogram 1	1	4372.839348140	4372.839348140	907.500	907.500	-111.09	1	RS	YELP			
99	Spectrogram 1	1	4375.866145837	4375.866145837	661.900	661.900	-116.51	1	RS	YELP			
100	Spectrogram 1	1	4381.848804796	4381.848804796	501.800	501.800	-136.81	1	RS	YELP			
101	Spectrogram 1	1	4384.173206031	4384.173206031	747.300	747.300	-144.99	1	RS	YELP			
102	Spectrogram 1	1	4384.433321638	4384.433321638	405.700	405.700	-105.03	1	RS	BARK			
103	Spectrogram 1	1	4384.857213738	4384.857213738	597.900	597.900	-119.20	1	RS	YELP			
104	Spectrogram 1	1	4385.117329345	4385.117329345	288.300	288.300	-90.33	1	RS	BARK			
105	Spectrogram 1	1	4386.369737823	4386.369737823	533.800	533.800	-121.00	1	RS	YELP			
106	Spectrogram 1	1	4386.649121253	4386.649121253	320.300	320.300	-105.00	1	RS	BARK			
107	Spectrogram 1	1	4403.172154398	4403.172154398	704.600	704.600	-119.37	1	RS	YELP			
108	Spectrogram 1	1	4403.576778676	4403.576778676	245.600	245.600	-86.67	1	RS	BARK			
109	Spectrogram 1	1	4403.981402953	4403.981402953	864.800	864.800	-109.80	1	RS	YELP			
110	Spectrogram 1	1	4404.308955940	4404.308955940	298.900	298.900	-107.82	1	RS	BARK			
111	Spectrogram 1	1	4494.049723605	4494.049723605	608.500	608.500	-102.94	1	BS				
112	Spectrogram 1	1	4566.875065347	4566.875065347	459.100	459.100	-112.78	1	RS	BARK			
113	Spectrogram 1	1	4625.673470756	4625.866148984	544.500	726.000	-88.91	1	RS	YELP			
114	Spectrogram 1	1	4626.135898502	4626.135898502	298.900	298.900	-112.98	1	RS	BARK			
115	Spectrogram 1	1	4626.607960159	4626.607960159	523.100	523.100	-128.70	1	RS	YELP			
116	Spectrogram 1	1	4626.800638386	4626.800638386	288.300	288.300	-110.71	1	RS	BARK			
117	Spectrogram 1	1	4631.993316614	4631.993316614	779.400	779.400	-103.42	1	RS	YELP			
118	Spectrogram 1	1	4639.000673188	4639.337860086	405.700	672.600	-89.56	1	RS	YELP			
119	Spectrogram 1	1	4639.434199199	4639.434199199	277.600	277.600	-107.51	1	RS	BARK			
120	Spectrogram 1	1	4639.646145250	4639.646145250	651.200	651.200	-108.10	1	RS	YELP			
121	Spectrogram 1	1	4639.973698236	4639.973698236	309.600	309.600	-108.85	1	RS	BARK			
122	Spectrogram 1	1	4640.272349488	4640.272349488	480.400	480.400	-116.60	1	RS	YELP			
123	Spectrogram 1	1	4640.522831184	4640.522831184	352.300	352.300	-115.84	1	RS	BARK			
124	Spectrogram 1	1	4648.799236862	4648.799236862	469.800	469.800	-109.29	1	RS	YELP			
125	Spectrogram 1	1	4649.088254203	4649.088254203	331.000	331.000	-114.43	1	RS	BARK			
126	Spectrogram 1	1	4656.490603137	4656.490603137	661.900	661.900	-113.79	1	RS	BARK			
127	Spectrogram 1	1	4656.981932617	4656.981932617	544.500	544.500	-116.35	1	RS	YELP			
128	Spectrogram 1	1	4657.203512579	4657.203512579	437.700	437.700	-108.75	1	RS	BARK			
129	Spectrogram 1	1	4657.376922983	4657.376922983	395.000	395.000	-109.63	1	RS	YELP			
130	Spectrogram 1	1	4657.550333388	4657.550333388	288.300	288.300	-120.36	1	RS	BARK			
131	Spectrogram 1	1	4663.476063328	4663.476063328	1622.800	1622.800	-110.08	1	BS				
132	Spectrogram 1	1	4664.802037464	4664.802037464	523.100	523.100	-115.00	1	RS	BARK			
133	Spectrogram 1	1	4665.534214728	4665.534214728	427.000	427.000	-119.56	1	RS	YELP			
134	Spectrogram 1	1	4665.803964246	4665.803964246	266.900	266.900	-111.56	1	RS	BARK			
135	Spectrogram 1	1	4666.247124169	4666.247124169	886.100	886.100	-109.12	1	RS	YELP			
136	Spectrogram 1	1	4666.507239776	4666.507239776	288.300	288.300	-117.31	1	RS	BARK			
137	Spectrogram 1	1	4833.205417463	4833.205417463	213.500	213.500	-107.80	1	RS	GROWL			
138	Spectrogram 1	1	4836.413509949	4836.413509949	1024.900	1024.900	-112.06	1	BS				
139	Spectrogram 1	1	4877.723719377	4877.723719377	395.000	395.000	-116.20	1	BS				
140	Spectrogram 1	1	4916.667517073	4916.667517073	1024.900	1024.900	-109.93	1	BS				
141	Spectrogram 1	1	4919.400920007	4919.400920007	266.900	266.900	-115.88	1	RS	GROWL			Growl
142	Spectrogram 1	1	4981.915371717	4981.915371717	256.200	256.200	-86.26	1	BS				
143	Spectrogram 1	1	5074.661021554	5074.661021554	1772.200	1772.200	-125.12	1	BS				
145	Spectrogram 1	1	5234.287939706	5234.287939706	480.400	480.400	-122.34	1	BS				
146	Spectrogram 1	1	5395.429103980	5395.429103980	2028.500	2028.500	-125.84	1	BS				
147	Spectrogram 1	1	5524.527911712	5524.527911712	320.300	320.300	-110.02	1	RS	GROWL			Growl
148	Spectrogram 1	1	5531.695541769	5531.695541769	2605.000	2605.000	-129.70	1	BS				
149	Spectrogram 1	1	5679.228383849	5679.228383849	1238.400	1238.400	-116.06	1	BS				
150	Spectrogram 1	1	5712.043224369	5712.043224369	384.300	384.300	-104.73	1	BS				
151	Spectrogram 1	1	5783.579399861	5783.579399861	459.100	459.100	-100.68	1	BS				
152	Spectrogram 1	1	5841.296170063	5841.296170063	2711.700	2711.700	-115.48	1	BS				
153	Spectrogram 1	1	5841.151661392	5841.151661392	405.700	405.700	-130.30	1	RS	BARK			
154	Spectrogram 1	1	5882.684327191	5882.684327191	288.300	288.300	-95.67	1	BS				
155	Spectrogram 1	1	5947.550331004	5947.550331004	1232.365	1232.365	-112.32	1	BS				
156	Spectrogram 1	1	6104.430697082	6106.742835811	124.060	575.188	-96.41	1	RS	BARK		4	Bark
157	Spectrogram 1	1	6107.340138316	6107.340138316	676.692	676.692	-106.77	1	BS				
158	Spectrogram 1	1	6122.122934874	6122.122934874	1353.383	1353.383	-103.28	1	RS	YELP			
159	Spectrogram 1	1	6123.105593834	6123.105593834	1454.887	1454.887	-123.58	1	RS	YELP			
160	Spectrogram 1	1	6155.548226682	6155.548226682	1860.902	1860.902	-119.30	1	BS				
161	Spectrogram 1	1	6258.119598315	6258.119598315	1342.105	1342.105	-103.06	1	BS				
162	Spectrogram 1	1	6420.768926174	6420.768926174	372.180	372.180	-121.89	1	BS				
163	Spectrogram 1	1	6462.682566386	6462.682566386	784.946	784.946	-106.54	1	BS				
164	Spectrogram 1	1	6503.309644515	6503.309644515	1043.011	1043.011	-109.99	1	BS				
165	Spectrogram 1	1	6548.734422405	6548.734422405	752.688	752.688	-102.13	1	BS				
166	Spectrogram 1	1	6624.224861832	6624.224861832	2172.043	2172.043	-121.51	1	BS				
167	Spectrogram 1	1	6741.527377978	6741.527377978	376.344	376.344	-118.04	1	BS				
168	Spectrogram 1	1	6837.143072182	6837.143072182	2043.011	2043.011	-129.76	1	BS				
169	Spectrogram 1	1	6987.807822837	6987.807822837	795.699	795.699	-105.99	1	BS				
170	Spectrogram 1	1	7154.136417458	7154.136417458	1161.290	1161.290	-101.20	1	BS				
171	Spectrogram 1	1	7291.228731202	7291.228731202	204.301	204.301	-98.57	2	RS	GROWL			Growl
172	Spectrogram 1	1	7290.689232166	7290.689232166	526.882	526.882	-112.63	2	RS	YELP			Yelp
173	Spectrogram 1	1	7309.873854073	7309.873854073	483.871	483.871	-127.48	2	BS				
174	Spectrogram 1	1	7359.343993710	7359.343993710	1075.269	1075.269	-99.83	2	BS				
175	Spectrogram 1	1	7400.347658263	7400.347658263	806.452	806.452	-115.95	2	BS				
176	Spectrogram 1	1	7443.156394301	7443.156394301	247.312	247.312	-90.15	2	BS				
177	Spectrogram 1	1	7514.814289820	7514.814289820	2053.763	2053.763	-118.55	2	BS				
178	Spectrogram 1	1	7668.781714639	7668.781714639	1849.462	1849.462	-125.50	2	BS				
179	Spectrogram 1	1	7715.485160988	7717.710594514	107.527	741.935	-94.91	2	RS	BARK		4	
180	Spectrogram 1	1	7743.815875737	7745.655952808	96.774	462.366	-94.80	2	RS	BARK		2	
181	Spectrogram 1	1	7746.600076122	7746.600076122	1258.065	1258.065	-110.73	2	RS	YELP			
182	Spectrogram 1	1	7796.495840238	7796.495840238	881.720	881.720	-114.22	2	RS	YELP			
183	Spectrogram 1	1	7809.674159901	7809.674159901	1225.806	1225.806	-123.44	2	RS	YELP			
184	Spectrogram 1	1	7817.805181096	7817.805181096	1268.817	1268.817	-101.92	2	BS				
185	Spectrogram 1	1	7830.881899907	7830.881899907	268.817	268.817	-114.48	2	RS	BARK			
186	Spectrogram 1	1	7831.941630158	7831.941630158	1032.258	1032.258	-117.70	2	RS	YELP			
187	Spectrogram 1	1	7839.650526856	7839.650526856	1064.516	1064.516	-107.20	2	RS	YELP			
188	Spectrogram 1	1	7964.075981191	7964.075981191	752.688	752.688	-96.38	2	BS				
189	Spectrogram 1	1	8120.958969167	8120.958969167	1989.247	1989.247	-113.27	2	BS				
190	Spectrogram 1	1	8227.884010583	8227.884010583	1419.355	1419.355	-104.90	2	BS				
191	Spectrogram 1	1	8382.714966200	8382.714966200	322.581	322.581	-91.89	2	BS				
192	Spectrogram 1	1	8434.033080925	8434.033080925	935.484	935.484	-111.32	2	BS				
193	Spectrogram 1	1	8476.756846100	8476.756846100	1193.548	1193.548	-100.34	2	BS				
194	Spectrogram 1	1	8564.869464266	8564.869464266	795.699	795.699	-92.76	2	BS				
195	Spectrogram 1	1	8652.359399014	8652.359399014	430.108	430.108	-117.60	2	BS				
196	Spectrogram 1	1	8711.126257872	8711.126257872	2043.011	2043.011	-114.11	2	BS				
197	Spectrogram 1	1	8771.689412010	8771.689412010	924.731	924.731	-123.04	2	RS	YELP			
198	Spectrogram 1	1	8808.952496306	8808.952496306	1268.817	1268.817	-116.54	2	RS	YELP			
199	Spectrogram 1	1	8833.920973327	8833.920973327	333.333	333.333	-104.04	2	BS				
201	Spectrogram 1	1	8913.679247389	8913.679247389	1956.989	1956.989	-119.55	2	BS				
202	Spectrogram 1	1	9037.896279383	9037.896279383	860.215	860.215	-98.02	2	BS				
203	Spectrogram 1	1	9053.628455389	9053.628455389	204.301	204.301	-120.52	2	RS	GROWL			Growl
204	Spectrogram 1	1	9084.758245736	9084.758245736	1258.065	1258.065	-110.44	2	BS				
205	Spectrogram 1	1	9119.216993325	9119.216993325	354.839	354.839	-93.27	2	BS				
206	Spectrogram 1	1	9156.788372023	9156.788372023	569.892	569.892	-118.95	2	BS				
207	Spectrogram 1	1	9228.504089488	9228.504089488	1913.978	1913.978	-120.85	2	BS				
208	Spectrogram 1	1	9409.574325083	9409.574325083	1139.785	1139.785	-100.13	2	BS				
209	Spectrogram 1	1	9440.838121026	9440.838121026	1387.097	1387.097	-123.07	2	RS	YELP			
210	Spectrogram 1	1	9443.352571893	9443.352571893	1247.312	1247.312	-123.19	2	RS	YELP			
211	Spectrogram 1	1	9451.814647822	9455.494801965	612.903	1440.860	-102.74	2	RS	YELP		4	
212	Spectrogram 1	1	9477.778037700	9477.778037700	419.355	419.355	-130.74	2	BS				
213	Spectrogram 1	1	9568.287743691	9568.287743691	677.419	677.419	-102.89	2	BS				
214	Spectrogram 1	1	9731.781362646	9731.781362646	1258.065	1258.065	-108.60	2	BS				
215	Spectrogram 1	1	9890.522825058	9890.522825058	387.097	387.097	-99.76	2	BS				
216	Spectrogram 1	1	9942.205265030	9942.205265030	924.731	924.731	-107.10	2	BS				
217	Spectrogram 1	1	9960.933587436	9960.933587436	301.075	301.075	-106.58	2	RS	BARK			Bark
218	Spectrogram 1	1	9990.658580905	9990.658580905	967.742	967.742	-132.97	2	BS				
219	Spectrogram 1	1	10023.652097557	10023.652097557	268.817	268.817	-94.95	2	BS				
220	Spectrogram 1	1	10091.826911730	10091.826911730	1946.237	1946.237	-125.83	2	BS				
221	Spectrogram 1	1	10179.414036587	10179.414036587	279.570	279.570	-118.84	2	RS	GROWL			
222	Spectrogram 1	1	10231.499349932	10231.499349932	2602.151	2602.151	-115.99	2	BS				
223	Spectrogram 1	1	10362.188610971	10362.188610971	838.710	838.710	-92.41	2	BS				
224	Spectrogram 1	1	10515.886261440	10515.886261440	322.581	322.581	-91.77	2	BS				
225	Spectrogram 1	1	10555.923954364	10555.923954364	1494.624	1494.624	-104.56	2	BS				
226	Spectrogram 1	1	10586.966162296	10586.966162296	1559.140	1559.140	-127.69	2	RS	YELP			
227	Spectrogram 1	1	10588.440150735	10588.440150735	817.204	817.204	-110.55	2	BS				
228	Spectrogram 1	1	10595.609537599	10595.821483650	1053.763	1634.409	-96.20	2	RS	YELP			
229	Spectrogram 1	1	10633.392851780	10633.392851780	580.645	580.645	-118.13	2	BS				
230	Spectrogram 1	1	10709.544553175	10709.544553175	1903.226	1903.226	-128.26	2	BS				
231	Spectrogram 1	1	10708.107344275	10708.107344275	150.538	150.538	-90.14	2	RS	GROWL			Growl
232	Spectrogram 1	1	10869.216122373	10869.216122373	1505.376	1505.376	-114.33	3	BS				
233	Spectrogram 1	1	11010.146231142	11010.146231142	1387.097	1387.097	-103.58	3	BS				
234	Spectrogram 1	1	11169.365009795	11169.365009795	892.473	892.473	-101.20	3	BS				
235	Spectrogram 1	1	11228.459419330	11228.459419330	2096.774	2096.774	-115.87	3	BS				
236	Spectrogram 1	1	11354.054967415	11354.054967415	344.086	344.086	-119.80	3	BS				
237	Spectrogram 1	1	11428.977879190	11428.977879190	1784.946	1784.946	-127.71	3	BS				
238	Spectrogram 1	1	11536.597444582	11536.597444582	1268.817	1268.817	-123.52	3	BS				
239	Spectrogram 1	1	11692.731598219	11692.731598219	408.602	408.602	-123.42	3	BS				
240	Spectrogram 1	1	11735.237319846	11735.237319846	623.656	623.656	-111.13	3	BS				
241	Spectrogram 1	1	11775.089301695	11775.089301695	1419.355	1419.355	-93.22	3	BS				
242	Spectrogram 1	1	11864.483234693	11864.483234693	1860.215	1860.215	-101.27	3	BS				
243	Spectrogram 1	1	12014.906231705	12014.906231705	1838.710	1838.710	-113.79	3	BS				
244	Spectrogram 1	1	12099.735472981	12099.735472981	322.581	322.581	-128.13	3	BS				
245	Spectrogram 1	1	12166.237479680	12166.237479680	1419.355	1419.355	-98.24	3	BS				
246	Spectrogram 1	1	12328.031126652	12328.031126652	634.409	634.409	-134.04	3	BS				
247	Spectrogram 1	1	12380.338031904	12380.338031904	1010.753	1010.753	-100.62	3	BS				
248	Spectrogram 1	1	12416.501977186	12416.501977186	387.097	387.097	-109.25	3	BS				
249	Spectrogram 1	1	12488.377079864	12488.377079864	1956.989	1956.989	-108.25	3	BS				
250	Spectrogram 1	1	12550.626171376	12550.626171376	440.860	440.860	-102.53	3	BS				
251	Spectrogram 1	1	12652.698345542	12652.698345542	2075.269	2075.269	-115.13	3	BS				
253	Spectrogram 1	1	12780.628801717	12780.628801717	440.860	440.860	-118.73	3	BS				
254	Spectrogram 1	1	12911.626326378	12911.626326378	1268.817	1268.817	-108.91	3	BS				
255	Spectrogram 1	1	13079.050587120	13079.050587120	2096.774	2096.774	-111.51	3	BS				
256	Spectrogram 1	1	13179.807277783	13179.807277783	258.065	258.065	-106.39	3	BS				
257	Spectrogram 1	1	13181.425774893	13181.425774893	763.441	763.441	-112.88	3	RS	YELP			
258	Spectrogram 1	1	13239.283562620	13239.283562620	1731.183	1731.183	-110.43	3	BS				
259	Spectrogram 1	1	13276.674524269	13276.674524269	580.645	580.645	-112.02	3	BS				
260	Spectrogram 1	1	13372.151833461	13372.151833461	817.204	817.204	-102.33	3	RS	YELP			
261	Spectrogram 1	1	13382.334000740	13382.334000740	1150.538	1150.538	-108.32	3	RS	YELP			
262	Spectrogram 1	1	13398.290383271	13398.290383271	2344.086	2344.086	-115.24	3	BS				
263	Spectrogram 1	1	13428.102087857	13428.102087857	1548.387	1548.387	-121.30	3	RS	YELP			
264	Spectrogram 1	1	13437.414567938	13437.414567938	1032.258	1032.258	-122.26	3	RS	YELP			
265	Spectrogram 1	1	13438.946359845	13438.946359845	795.699	795.699	-121.18	3	RS	YELP			
266	Spectrogram 1	1	13445.364306242	13445.364306242	430.108	430.108	-117.30	3	RS	BARK			
267	Spectrogram 1	1	13445.576252292	13445.576252292	806.452	806.452	-110.72	3	RS	YELP			
268	Spectrogram 1	1	13445.894171367	13445.894171367	591.398	591.398	-119.42	3	RS	BARK			
269	Spectrogram 1	1	13493.994528915	13493.994528915	1365.591	1365.591	-119.82	3	RS	YELP			
270	Spectrogram 1	1	13504.873849394	13504.873849394	849.462	849.462	-108.40	3	RS	YELP			
271	Spectrogram 1	1	13510.323992237	13510.323992237	806.452	806.452	-116.27	3	RS	YELP			
272	Spectrogram 1	1	13516.297017285	13516.297017285	870.968	870.968	-123.50	3	RS	YELP			
273	Spectrogram 1	1	13559.153064374	13559.153064374	666.667	666.667	-100.74	3	BS				
274	Spectrogram 1	1	13719.238007670	13719.238007670	1967.742	1967.742	-121.60	3	BS				
275	Spectrogram 1	1	13804.080351131	13804.080351131	344.086	344.086	-108.66	3	BS				
276	Spectrogram 1	1	13888.902581770	13888.902581770	1354.839	1354.839	-113.07	3	BS				
277	Spectrogram 1	1	14074.150428862	14074.150428862	903.226	903.226	-128.01	3	BS				
278	Spectrogram 1	1	14127.363760832	14127.363760832	333.333	333.333	-114.57	3	BS				
279	Spectrogram 1	1	14189.527034523	14189.527034523	946.237	946.237	-106.98	3	BS				
280	Spectrogram 1	1	14235.204027117	14235.204027117	1161.290	1161.290	-112.79	3	BS				
281	Spectrogram 1	1	14276.717427752	14276.717427752	236.559	236.559	-103.30	3	BS				
282	Spectrogram 1	1	14357.673812457	14357.673812457	1892.473	1892.473	-115.07	3	BS				
283	Spectrogram 1	1	14517.744751752	14517.744751752	1731.183	1731.183	-121.18	4	BS				
284	Spectrogram 1	1	14628.565395300	14628.565395300	591.398	591.398	-122.15	4	BS				
285	Spectrogram 1	1	14702.531935813	14702.531935813	462.366	462.366	-114.13	4	BS				
286	Spectrogram 1	1	14869.719706385	14869.719706385	1451.613	1451.613	-128.28	4	BS				
287	Spectrogram 1	1	15025.817956262	15025.817956262	354.839	354.839	-91.35	4	BS				
288	Spectrogram 1	1	15076.028174469	15076.028174469	827.957	827.957	-120.06	4	BS				
289	Spectrogram 1	1	15072.376922060	15080.980004912	86.022	430.108	-94.29	4	RS	BARK		10	Bark
290	Spectrogram 1	1	15085.946725127	15091.833044973	96.774	516.129	-94.86	4	RS	BARK		8	Bark
