Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Hour	Begin Date	Species	Call type	Comments	Quantity	WH
43	Spectrogram 1	1	2222.377819028	2222.377819028	482.100	482.100	67145740.220517184337.wav	0		BS				
44	Spectrogram 1	1	2266.904013936	2266.904013936	1403.600	1403.600	67145740.220517184337.wav	0		RS	YELP			
45	Spectrogram 1	1	2267.106326075	2267.106326075	760.700	760.700	67145740.220517184337.wav	0		RS	BARK			
46	Spectrogram 1	1	2267.433879061	2267.433879061	728.600	728.600	67145740.220517184337.wav	0		RS	BARK			
47	Spectrogram 1	1	2270.805748040	2270.805748040	257.100	257.100	67145740.220517184337.wav	0		BS				
48	Spectrogram 1	1	2304.897513441	2304.897513441	1242.900	1242.900	67145740.220517184337.wav	0		RS	YELP			
49	Spectrogram 1	1	2360.458032630	2360.458032630	1221.400	1221.400	67145740.220517184337.wav	0		RS	YELP			
50	Spectrogram 1	1	2361.142040337	2361.142040337	1221.400	1221.400	67145740.220517184337.wav	0		RS	YELP			
51	Spectrogram 1	1	2409.621649562	2409.621649562	1928.600	1928.600	67145740.220517184837.wav	0		BS				
52	Spectrogram 1	1	2455.598172477	2455.598172477	1167.900	1167.900	67145740.220517184837.wav	0		BS				
53	Spectrogram 1	1	2478.526009815	2478.526009815	396.400	396.400	67145740.220517184837.wav	0		BS				
54	Spectrogram 1	1	2488.343841278	2488.343841278	567.900	567.900	67145740.220517184837.wav	0		BS				
55	Spectrogram 1	1	2495.286382452	2495.286382452	310.700	310.700	67145740.220517184837.wav	0		BS				
56	Spectrogram 1	1	2511.308455496	2511.308455496	1360.700	1360.700	67145740.220517184837.wav	0		BS				
57	Spectrogram 1	1	2551.120153502	2551.120153502	428.600	428.600	67145740.220517184837.wav	0		BS				
58	Spectrogram 1	1	2578.525130402	2578.525130402	1682.100	1682.100	67145740.220517184837.wav	0		BS				
59	Spectrogram 1	1	2596.113148958	2596.113148958	439.300	439.300	67145740.220517184837.wav	0		BS				
60	Spectrogram 1	1	2651.720069699	2651.720069699	771.400	771.400	67145740.220517184837.wav	0		BS				
61	Spectrogram 1	1	2653.627584150	2653.627584150	2314.300	2314.300	67145740.220517184837.wav	0		BS				
62	Spectrogram 1	1	2744.325623687	2744.325623687	932.100	932.100	67145740.220517185337.wav	0		BS				
63	Spectrogram 1	1	2755.741809358	2755.741809358	2453.600	2453.600	67145740.220517185337.wav	0		BS				
64	Spectrogram 1	1	2793.771232432	2793.771232432	1071.400	1071.400	67145740.220517185337.wav	0		BS				
65	Spectrogram 1	1	2933.685404065	2933.685404065	267.900	267.900	67145740.220517185337.wav	0		BS				
66	Spectrogram 1	1	2985.609544729	2985.609544729	792.900	792.900	67145740.220517185337.wav	0		BS				
67	Spectrogram 1	1	3016.894376587	3016.894376587	2110.700	2110.700	67145740.220517185837.wav	0		BS				
68	Spectrogram 1	1	3100.601678252	3100.601678252	1510.700	1510.700	67145740.220517185837.wav	0		BS				
69	Spectrogram 1	1	3221.495871640	3221.495871640	396.400	396.400	67145740.220517185837.wav	0		BS				
70	Spectrogram 1	1	3264.668928306	3264.668928306	1575.000	1575.000	67145740.220517185837.wav	0		BS				
71	Spectrogram 1	1	3294.793300096	3294.793300096	760.700	760.700	67145740.220517185837.wav	0		BS				
72	Spectrogram 1	1	3309.176737978	3309.176737978	171.400	171.400	67145740.220517190337.wav	0		BS				
73	Spectrogram 1	1	3317.225433072	3317.225433072	1232.100	1232.100	67145740.220517190337.wav	0		BS				
74	Spectrogram 1	1	3372.559986794	3392.911186354	685.700	2003.600	67145740.220517190337.wav	0		RS	YELP		14	
75	Spectrogram 1	1	3397.125592354	3397.125592354	1521.400	1521.400	67145740.220517190337.wav	0		BS				
76	Spectrogram 1	1	3417.328776353	3429.616382860	803.600	1660.700	67145740.220517190337.wav	0		RS	YELP		7	
77	Spectrogram 1	1	3568.134507174	3568.134507174	546.400	546.400	67145740.220517190337.wav	0		BS				
78	Spectrogram 1	1	3650.366961893	3650.366961893	2357.100	2357.100	67145740.220517190837.wav	1		BS				
79	Spectrogram 1	1	3687.937458235	3687.937458235	975.000	975.000	67145740.220517190837.wav	1		BS				
80	Spectrogram 1	1	3729.244165320	3729.244165320	321.400	321.400	67145740.220517190837.wav	1		BS				
81	Spectrogram 1	1	3803.760718478	3803.760718478	2067.900	2067.900	67145740.220517190837.wav	1		BS				
82	Spectrogram 1	1	3935.381849913	3935.381849913	332.100	332.100	67145740.220517191337.wav	1		BS				
83	Spectrogram 1	1	3994.351025880	3994.351025880	235.700	235.700	67145740.220517191337.wav	1		BS				
84	Spectrogram 1	1	4024.883515052	4024.883515052	878.600	878.600	67145740.220517191337.wav	1		RS	YELP			
85	Spectrogram 1	1	4033.806259927	4033.806259927	878.600	878.600	67145740.220517191337.wav	1		RS	YELP			
86	Spectrogram 1	1	4069.963200522	4069.963200522	1382.100	1382.100	67145740.220517191337.wav	1		BS				
87	Spectrogram 1	1	4113.569795098	4113.569795098	857.100	857.100	67145740.220517191337.wav	1		RS	YELP			
88	Spectrogram 1	1	4114.407945387	4114.407945387	653.600	653.600	67145740.220517191337.wav	1		RS	BARK			
89	Spectrogram 1	1	4115.833764270	4115.833764270	578.600	578.600	67145740.220517191337.wav	1		RS	BARK			
90	Spectrogram 1	1	4160.928348049	4160.928348049	1553.600	1553.600	67145740.220517191337.wav	1		BS				
91	Spectrogram 1	1	4335.082318269	4335.091952180	2100.000	2100.000	67145740.220517191837.wav	1		BS				
92	Spectrogram 1	1	4460.422987429	4460.422987429	1296.400	1296.400	67145740.220517191837.wav	1		BS				
93	Spectrogram 1	1	4505.154142582	4505.154142582	225.000	225.000	67145740.220517192337.wav	1		BS				
94	Spectrogram 1	1	4563.237866851	4563.237866851	696.400	696.400	67145740.220517192337.wav	1		BS				
95	Spectrogram 1	1	4607.126464843	4607.126464843	846.400	846.400	67145740.220517192337.wav	1		BS				
96	Spectrogram 1	1	4637.698360120	4637.698360120	310.700	310.700	67145740.220517192337.wav	1		BS				
97	Spectrogram 1	1	4745.542113156	4745.542113156	2046.400	2046.400	67145740.220517192337.wav	1		BS				
98	Spectrogram 1	1	4831.053596581	4831.063230493	1167.900	1167.900	67145740.220517192837.wav	1		RS	YELP			
99	Spectrogram 1	1	4885.389726882	4885.389726882	846.400	846.400	67145740.220517192837.wav	1		BS				
100	Spectrogram 1	1	4951.964435359	4951.964435359	1253.600	1253.600	67145740.220517192837.wav	1		BS				
101	Spectrogram 1	1	5015.192677538	5015.192677538	407.100	407.100	67145740.220517192837.wav	1		BS				
102	Spectrogram 1	1	5105.028901734	5105.028901734	2110.700	2110.700	67145740.220517193337.wav	1		BS				
103	Spectrogram 1	1	5235.542993198	5235.542993198	1275.000	1275.000	67145740.220517193337.wav	1		BS				
104	Spectrogram 1	1	5403.689788054	5403.689788054	385.700	385.700	67145740.220517193837.wav	1		BS				
105	Spectrogram 1	1	5429.564722573	5429.564722573	825.000	825.000	67145740.220517193837.wav	1		BS				
106	Spectrogram 1	1	5479.204761032	5479.214394944	471.400	471.400	67145740.220517193837.wav	1		BS				
107	Spectrogram 1	1	5553.618838890	5553.618838890	1714.300	1714.300	67145740.220517193837.wav	1		BS				
108	Spectrogram 1	1	5680.973014004	5680.973014004	2228.600	2228.600	67145740.220517193837.wav	1		BS				
109	Spectrogram 1	1	5770.886314110	5770.895948021	1714.300	1714.300	67145740.220517194337.wav	1		BS				
110	Spectrogram 1	1	5774.315989217	5774.315989217	835.700	835.700	67145740.220517194337.wav	1		RS	YELP			
111	Spectrogram 1	1	5778.439303283	5778.439303283	664.300	664.300	67145740.220517194337.wav	1		RS	YELP			
112	Spectrogram 1	1	5780.154139506	5780.154139506	707.100	707.100	67145740.220517194337.wav	1		RS	YELP			
113	Spectrogram 1	1	5785.865290882	5785.865290882	578.600	578.600	67145740.220517194337.wav	1		RS	YELP			
114	Spectrogram 1	1	5788.977917373	5788.977917373	396.400	396.400	67145740.220517194337.wav	1		RS	BARK			
115	Spectrogram 1	1	5790.477299210	5790.477299210	370.518	370.518	67145740.220517194337.wav	1		RS	BARK			bark
116	Spectrogram 1	1	5896.678923794	5896.678923794	621.400	621.400	67145740.220517194337.wav	1		BS				
117	Spectrogram 1	1	6067.002970091	6067.002970091	1575.000	1575.000	67145740.220517194837.wav	1		BS				
118	Spectrogram 1	1	6236.072857979	6236.072857979	235.700	235.700	67145740.220517194837.wav	1		RS	GROWL			
119	Spectrogram 1	1	6237.855131582	6237.855131582	1371.400	1371.400	67145740.220517194837.wav	1		BS				
120	Spectrogram 1	1	6279.675938313	6279.675938313	428.600	439.300	67145740.220517194837.wav	1		BS				
121	Spectrogram 1	1	6318.556663522	6318.556663522	1071.400	1071.400	67145740.220517195337.wav	1		BS				
122	Spectrogram 1	1	6322.305120304	6322.305120304	228.261	228.261	67145740.220517195337.wav	1		RS	GROWL			growl
123	Spectrogram 1	1	6384.661931659	6384.661931659	246.400	246.400	67145740.220517195337.wav	1		BS				
124	Spectrogram 1	1	6471.498494773	6471.498494773	2217.900	2217.900	67145740.220517195337.wav	1		BS				
126	Spectrogram 1	1	6636.534406946	6636.534406946	514.300	514.300	67145740.220517195837.wav	1		BS				
127	Spectrogram 1	1	6783.860547742	6783.860547742	964.300	964.300	67145740.220517195837.wav	1		RS	YELP			
128	Spectrogram 1	1	6799.129410984	6799.129410984	1896.400	1896.400	67145740.220517195837.wav	1		BS				
129	Spectrogram 1	1	6802.283214243	6804.470112124	814.300	1221.400	67145740.220517195837.wav	1		RS	YELP		3	
130	Spectrogram 1	1	6938.984048679	6938.984048679	2153.600	2153.600	67145740.220517200337.wav	1		BS				
131	Spectrogram 1	1	6964.745998732	6964.745998732	1146.400	1157.100	67145740.220517200337.wav	1		RS	YELP			
132	Spectrogram 1	1	6967.626538231	6967.626538231	1092.900	1092.900	67145740.220517200337.wav	1		RS	YELP			
133	Spectrogram 1	1	7080.548241626	7080.548241626	1564.300	1564.300	67145740.220517200337.wav	1		RS	YELP			
134	Spectrogram 1	1	7115.634056004	7115.634056004	385.700	385.700	67145740.220517200337.wav	1		BS				
135	Spectrogram 1	1	7184.482351747	7184.482351747	514.300	514.300	67145740.220517200337.wav	1		BS				
136	Spectrogram 1	1	7245.095451005	7245.095451005	2550.000	2550.000	67145740.220517200837.wav	2		BS				
137	Spectrogram 1	1	7285.043775607	7285.043775607	332.100	332.100	67145740.220517200837.wav	2		BS				
138	Spectrogram 1	1	7347.882279290	7347.882279290	1425.000	1425.000	67145740.220517200837.wav	2		BS				
139	Spectrogram 1	1	7492.721122581	7492.904166897	953.600	1575.000	67145740.220517200837.wav	2		RS	YELP			
140	Spectrogram 1	1	7507.787670395	7508.577651127	653.600	964.300	67145740.220517201337.wav	2		RS	YELP			
141	Spectrogram 1	1	7508.720406981	7508.720406981	803.600	803.600	67145740.220517201337.wav	2		RS	BARK			
142	Spectrogram 1	1	7509.562939311	7509.562939311	932.100	932.100	67145740.220517201337.wav	2		BS				
143	Spectrogram 1	1	7514.233630219	7514.233630219	782.100	782.100	67145740.220517201337.wav	2		RS	YELP			
144	Spectrogram 1	1	7514.776646787	7514.776646787	610.700	610.700	67145740.220517201337.wav	2		RS	BARK			
145	Spectrogram 1	1	7516.646498711	7516.646498711	1092.900	1092.900	67145740.220517201337.wav	2		RS	YELP			
146	Spectrogram 1	1	7518.178290618	7518.178290618	792.900	792.900	67145740.220517201337.wav	2		RS	YELP			
147	Spectrogram 1	1	7518.534745339	7518.534745339	696.400	696.400	67145740.220517201337.wav	2		RS	BARK			
148	Spectrogram 1	1	7518.977905262	7518.977905262	675.000	675.000	67145740.220517201337.wav	2		RS	YELP			
149	Spectrogram 1	1	7519.498136476	7519.498136476	482.100	482.100	67145740.220517201337.wav	2		RS	BARK			
150	Spectrogram 1	1	7520.008733778	7520.008733778	985.700	985.700	67145740.220517201337.wav	2		RS	YELP			
151	Spectrogram 1	1	7520.471161524	7520.471161524	814.300	814.300	67145740.220517201337.wav	2		RS	BARK			
152	Spectrogram 1	1	7521.261142256	7521.261142256	1746.400	1746.400	67145740.220517201337.wav	2		RS	YELP			
153	Spectrogram 1	1	7524.003316956	7524.003316956	1414.300	1414.300	67145740.220517201337.wav	2		RS	YELP			
154	Spectrogram 1	1	7524.301968208	7524.301968208	910.700	910.700	67145740.220517201337.wav	2		RS	BARK			
155	Spectrogram 1	1	7524.985975915	7524.985975915	1489.300	1489.300	67145740.220517201337.wav	2		RS	YELP			
156	Spectrogram 1	1	7557.877899274	7557.877899274	1939.300	1939.300	67145740.220517201337.wav	2		BS				
157	Spectrogram 1	1	7659.287953312	7659.287953312	1489.300	1489.300	67145740.220517201337.wav	2		BS				
158	Spectrogram 1	1	7822.866515414	7822.866515414	385.700	385.700	67145740.220517201837.wav	2		BS				
159	Spectrogram 1	1	7865.234702277	7865.234702277	803.600	803.600	67145740.220517201837.wav	2		BS				
160	Spectrogram 1	1	7906.830423414	7906.830423414	878.600	878.600	67145740.220517201837.wav	2		BS				
161	Spectrogram 1	1	7952.253442537	7952.253442537	717.900	717.900	67145740.220517201837.wav	2		BS				
162	Spectrogram 1	1	8026.167432082	8026.167432082	2217.900	2217.900	67145740.220517201837.wav	2		BS				
163	Spectrogram 1	1	8143.963904623	8143.963904623	332.100	332.100	67145740.220517202337.wav	2		BS				
164	Spectrogram 1	1	8240.505320508	8240.505320508	1907.100	1907.100	67145740.220517202337.wav	2		BS				
165	Spectrogram 1	1	8389.191596778	8389.191596778	1114.300	1114.300	67145740.220517202337.wav	2		BS				
166	Spectrogram 1	1	8554.285321428	8554.294955339	1392.900	1392.900	67145740.220517202837.wav	2		BS				
167	Spectrogram 1	1	8633.159012643	8633.159012643	910.700	910.700	67145740.220517202837.wav	2		RS	YELP			
168	Spectrogram 1	1	8634.382519387	8634.382519387	557.100	557.100	67145740.220517202837.wav	2		RS	YELP			
169	Spectrogram 1	1	8636.232230369	8636.232230369	610.700	610.700	67145740.220517202837.wav	2		RS	YELP			
170	Spectrogram 1	1	8637.523174493	8637.523174493	889.300	889.300	67145740.220517202837.wav	2		RS	YELP			
171	Spectrogram 1	1	8670.028010697	8677.195640755	792.900	1532.100	67145740.220517202837.wav	2		RS	YELP		6	
172	Spectrogram 1	1	8679.628631712	8679.628631712	1307.100	1307.100	67145740.220517202837.wav	2		RS	YELP			
173	Spectrogram 1	1	8687.470635565	8687.470635565	1210.700	1210.700	67145740.220517202837.wav	2		RS	YELP			
174	Spectrogram 1	1	8690.085794429	8690.085794429	1221.400	1221.400	67145740.220517202837.wav	2		RS	YELP			
175	Spectrogram 1	1	8692.070380171	8692.070380171	942.900	942.900	67145740.220517202837.wav	2		RS	YELP			
176	Spectrogram 1	1	8702.164098670	8702.164098670	1328.600	1328.600	67145740.220517203337.wav	2		RS	YELP			
177	Spectrogram 1	1	8704.726719094	8704.726719094	1178.600	1178.600	67145740.220517203337.wav	2		RS	YELP			
178	Spectrogram 1	1	8712.025733466	8712.025733466	471.400	471.400	67145740.220517203337.wav	2		BS				
179	Spectrogram 1	1	8713.351704312	8713.351704312	1125.000	1125.000	67145740.220517203337.wav	2		RS	YELP			
180	Spectrogram 1	1	8759.653164901	8759.653164901	1671.400	1671.400	67145740.220517203337.wav	2		BS				
181	Spectrogram 1	1	8803.583798572	8803.583798572	739.300	739.300	67145740.220517203337.wav	2		BS				
182	Spectrogram 1	1	8845.995776240	8846.015044063	246.400	246.400	67145740.220517203337.wav	2		BS				
183	Spectrogram 1	1	8915.120851244	8915.120851244	2346.400	2346.400	67145740.220517203337.wav	2		BS				
184	Spectrogram 1	1	8999.547180410	8999.547180410	353.600	353.600	67145740.220517203337.wav	2		RS	BARK			
185	Spectrogram 1	1	9000.134849004	9000.134849004	160.700	160.700	67145740.220517203337.wav	2		RS	GROWL			
186	Spectrogram 1	1	9023.300041426	9023.300041426	964.300	964.300	67145740.220517203837.wav	2		RS	YELP			
187	Spectrogram 1	1	9036.175325311	9036.175325311	192.900	192.900	67145740.220517203837.wav	2		RS	GROWL			
188	Spectrogram 1	1	9036.714824347	9036.714824347	835.700	835.700	67145740.220517203837.wav	2		RS	YELP			
189	Spectrogram 1	1	9071.184953870	9071.184953870	1982.100	1982.100	67145740.220517203837.wav	2		BS				
190	Spectrogram 1	1	9114.646154266	9115.975634034	707.100	1285.700	67145740.220517203837.wav	2		RS	YELP		3	
191	Spectrogram 1	1	9116.093876007	9118.415648647	107.100	1060.700	67145740.220517203837.wav	2		RS	BARK		7	
192	Spectrogram 1	1	9123.327184050	9123.327184050	985.700	985.700	67145740.220517203837.wav	2		RS	YELP			
193	Spectrogram 1	1	9128.481326632	9128.481326632	717.900	717.900	67145740.220517203837.wav	2		RS	BARK			
194	Spectrogram 1	1	9134.212626858	9134.212626858	1489.300	1489.300	67145740.220517203837.wav	2		RS	YELP			
195	Spectrogram 1	1	9135.224187552	9135.224187552	846.400	846.400	67145740.220517203837.wav	2		RS	YELP			
196	Spectrogram 1	1	9139.121549778	9139.372031473	878.600	1200.000	67145740.220517203837.wav	2		RS	YELP			
197	Spectrogram 1	1	9139.680316637	9139.680316637	482.100	482.100	67145740.220517203837.wav	2		RS	BARK			
198	Spectrogram 1	1	9140.075307003	9140.277619142	632.100	889.300	67145740.220517203837.wav	2		RS	YELP			
199	Spectrogram 1	1	9140.585904306	9140.951992938	728.600	1135.700	67145740.220517203837.wav	2		RS	YELP			
200	Spectrogram 1	1	9144.205603989	9144.205603989	1007.100	1007.100	67145740.220517203837.wav	2		RS	YELP			
201	Spectrogram 1	1	9144.706567380	9144.706567380	439.300	439.300	67145740.220517203837.wav	2		RS	BARK			
202	Spectrogram 1	1	9145.371307264	9145.371307264	857.100	857.100	67145740.220517203837.wav	2		RS	YELP			
203	Spectrogram 1	1	9146.161287996	9146.411769692	150.000	214.300	67145740.220517203837.wav	2		RS	BARK			
204	Spectrogram 1	1	9147.383060401	9147.383060401	1232.100	1232.100	67145740.220517203837.wav	2		RS	YELP			
205	Spectrogram 1	1	9149.695199129	9149.695199129	1017.900	1017.900	67145740.220517203837.wav	2		RS	YELP			
206	Spectrogram 1	1	9149.984216470	9149.984216470	385.700	385.700	67145740.220517203837.wav	2		RS	BARK			
207	Spectrogram 1	1	9150.460653590	9150.460653590	953.600	953.600	67145740.220517203837.wav	2		RS	YELP			
208	Spectrogram 1	1	9151.346973436	9151.751597713	653.600	1478.600	67145740.220517203837.wav	2		RS	YELP			
209	Spectrogram 1	1	9152.512676711	9153.090711393	589.300	1950.000	67145740.220517203837.wav	2		RS	YELP			
210	Spectrogram 1	1	9158.293908549	9158.293908549	1189.300	1189.300	67145740.220517203837.wav	2		RS	YELP			
211	Spectrogram 1	1	9163.316675426	9163.316675426	1082.100	1082.100	67145740.220517203837.wav	2		RS	YELP			
212	Spectrogram 1	1	9163.991049222	9164.347503943	760.700	1917.900	67145740.220517203837.wav	2		RS	YELP			
213	Spectrogram 1	1	9165.473776687	9165.473776687	889.300	889.300	67145740.220517203837.wav	2		RS	YELP			
214	Spectrogram 1	1	9175.470279664	9175.479913575	450.000	450.000	67145740.220517203837.wav	2		RS	BARK			
215	Spectrogram 1	1	9184.825695909	9184.825695909	1071.400	1071.400	67145740.220517203837.wav	2		RS	YELP			
216	Spectrogram 1	1	9187.542458915	9187.542458915	1028.600	1028.600	67145740.220517203837.wav	2		RS	YELP			
217	Spectrogram 1	1	9188.568902101	9188.568902101	985.700	985.700	67145740.220517203837.wav	2		RS	YELP			
218	Spectrogram 1	1	9191.776994586	9191.911869345	696.400	1082.100	67145740.220517203837.wav	2		RS	YELP			
219	Spectrogram 1	1	9197.189493380	9197.189493380	1071.400	1071.400	67145740.220517203837.wav	2		RS	YELP			
220	Spectrogram 1	1	9198.008375846	9198.008375846	1028.600	1028.600	67145740.220517203837.wav	2		RS	YELP			
221	Spectrogram 1	1	9201.524753495	9201.551907665	1103.600	1103.600	67145740.220517203837.wav	2		RS	YELP			
222	Spectrogram 1	1	9209.738986158	9209.738986158	1253.600	1253.600	67145740.220517203837.wav	2		RS	YELP			
223	Spectrogram 1	1	9210.489570025	9210.489570025	1339.300	1339.300	67145740.220517203837.wav	2		RS	YELP			
224	Spectrogram 1	1	9220.831110618	9220.831110618	1146.400	1146.400	67145740.220517203837.wav	2		RS	YELP			
225	Spectrogram 1	1	9221.727064375	9221.727064375	385.700	385.700	67145740.220517203837.wav	2		RS	BARK			
226	Spectrogram 1	1	9231.416155307	9231.416155307	1060.700	1060.700	67145740.220517203837.wav	2		RS	YELP			
227	Spectrogram 1	1	9231.685904825	9231.685904825	482.100	482.100	67145740.220517203837.wav	2		RS	BARK			
228	Spectrogram 1	1	9232.023091723	9232.023091723	878.600	878.600	67145740.220517203837.wav	2		RS	YELP			
229	Spectrogram 1	1	9232.716733342	9232.716733342	932.100	932.100	67145740.220517203837.wav	2		RS	YELP			
230	Spectrogram 1	1	9233.236964556	9233.236964556	621.400	621.400	67145740.220517203837.wav	2		RS	BARK			
231	Spectrogram 1	1	9237.485519469	9237.485519469	932.100	932.100	67145740.220517203837.wav	2		RS	YELP			
232	Spectrogram 1	1	9240.366943985	9240.501818745	942.900	1232.100	67145740.220517203837.wav	2		RS	YELP			
233	Spectrogram 1	1	9371.743727602	9371.743727602	600.000	600.000	67145740.220517204337.wav	2		BS				
234	Spectrogram 1	1	9522.425103223	9522.425103223	2196.400	2196.400	67145740.220517204337.wav	2		BS				
235	Spectrogram 1	1	9589.286205191	9589.286205191	203.600	203.600	67145740.220517204337.wav	2		RS	GROWL			
236	Spectrogram 1	1	9594.278322137	9594.281825635	867.900	867.900	67145740.220517204337.wav	2		RS	YELP			
237	Spectrogram 1	1	9598.902599593	9598.902599593	771.400	771.400	67145740.220517204337.wav	2		RS	YELP			
238	Spectrogram 1	1	9603.272892381	9603.272892381	610.700	610.700	67145740.220517204837.wav	2		RS	YELP			
239	Spectrogram 1	1	9604.650541707	9604.650541707	235.700	235.700	67145740.220517204837.wav	2		RS	GROWL			
240	Spectrogram 1	1	9605.943236512	9605.943236512	600.000	600.000	67145740.220517204837.wav	2		RS	YELP			
241	Spectrogram 1	1	9607.407591040	9607.407591040	825.000	825.000	67145740.220517204837.wav	2		RS	YELP			
242	Spectrogram 1	1	9608.471700217	9608.471700217	953.600	953.600	67145740.220517204837.wav	2		RS	YELP			
243	Spectrogram 1	1	9610.032393859	9610.032393859	846.400	846.400	67145740.220517204837.wav	2		RS	YELP			
244	Spectrogram 1	1	9613.700288505	9622.476781762	503.600	1242.900	67145740.220517204837.wav	2		RS	YELP		6	
245	Spectrogram 1	1	9627.974237561	9627.983871472	1639.300	1639.300	67145740.220517204837.wav	2		BS				
246	Spectrogram 1	1	9785.303889134	9785.303889134	332.100	332.100	67145740.220517204837.wav	2		BS				
247	Spectrogram 1	1	9836.473100844	9836.482734756	953.600	953.600	67145740.220517204837.wav	2		BS				
248	Spectrogram 1	1	9877.658945833	9877.658945833	1596.400	1596.400	67145740.220517204837.wav	2		BS				
249	Spectrogram 1	1	9964.936053908	9964.936053908	1725.000	1725.000	67145740.220517205337.wav	2		BS				
