Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	Quantity
85	Spectrogram 1	1	25059.040964193	25059.040964193	2563.800	2563.800	67653638.220519162008.wav	BS				
86	Spectrogram 1	1	26791.686788593	26791.686788593	414.900	414.900	67653638.220519165008.wav	BS				
87	Spectrogram 1	1	26827.975979341	26827.975979341	659.600	659.600	67653638.220519165008.wav	BS				
88	Spectrogram 1	1	26969.895749447	26969.895749447	1085.100	1085.100	67653638.220519165008.wav	BS				
89	Spectrogram 1	1	27236.431934522	27236.431934522	478.700	478.700	67653638.220519165508.wav	BS				
90	Spectrogram 1	1	27316.748953676	27316.748953676	1010.600	1010.600	67653638.220519170008.wav	BS				
91	Spectrogram 1	1	27412.221912238	27412.221912238	829.800	829.800	67653638.220519170008.wav	BS				
92	Spectrogram 1	1	27710.943226631	27710.943226631	489.400	489.400	67653638.220519170508.wav	BS				
93	Spectrogram 1	1	27863.061810522	27863.061810522	1106.400	1106.400	67653638.220519170508.wav	BS				
94	Spectrogram 1	1	27959.408811358	27959.408811358	989.400	989.400	67653638.220519171008.wav	BS				
95	Spectrogram 1	1	28223.807101787	28223.807101787	531.900	531.900	67653638.220519171508.wav	BS				
96	Spectrogram 1	1	28367.940948141	28367.940948141	680.900	680.900	67653638.220519171508.wav	BS				
97	Spectrogram 1	1	28427.207875505	28427.207875505	1202.100	1202.100	67653638.220519171508.wav	BS				
98	Spectrogram 1	1	28572.154475066	28572.154475066	1031.900	1031.900	67653638.220519172008.wav	BS				
99	Spectrogram 1	1	28684.666287476	28684.666287476	1000.000	1000.000	67653638.220519172008.wav	BS				
100	Spectrogram 1	1	28811.210334337	28811.210334337	606.400	606.400	67653638.220519172508.wav	BS				
101	Spectrogram 1	1	28860.412489400	28860.412489400	521.300	521.300	67653638.220519172508.wav	BS				
102	Spectrogram 1	1	29022.757888150	29022.757888150	361.700	361.700	67653638.220519172508.wav	BS				
103	Spectrogram 1	1	29089.151307788	29089.151307788	829.800	829.800	67653638.220519172508.wav	BS				
104	Spectrogram 1	1	29430.246945231	29430.246945231	500.000	500.000	67653638.220519173508.wav	BS				
105	Spectrogram 1	1	29494.031331398	29494.031331398	659.600	659.600	67653638.220519173508.wav	BS				
106	Spectrogram 1	1	29620.027988890	29620.027988890	414.900	414.900	67653638.220519173508.wav	BS				
107	Spectrogram 1	1	29796.877715334	29796.877715334	978.700	978.700	67653638.220519174008.wav	BS				
108	Spectrogram 1	1	29956.017675074	29956.017675074	457.400	457.400	67653638.220519174008.wav	BS				
109	Spectrogram 1	1	30025.323128215	30025.323128215	1000.000	1000.000	67653638.220519174508.wav	BS				
110	Spectrogram 1	1	30235.354670788	30235.354670788	531.900	531.900	67653638.220519174508.wav	BS			BS	
111	Spectrogram 1	1	30542.760531304	30542.760531304	521.300	521.300	67653638.220519175008.wav	BS				
112	Spectrogram 1	1	30641.778742459	30641.778742459	1010.600	1010.600	67653638.220519175508.wav	BS				
113	Spectrogram 1	1	30770.527211850	30770.527211850	361.700	361.700	67653638.220519175508.wav	BS				
114	Spectrogram 1	1	30873.444546362	30873.444546362	840.400	840.400	67653638.220519175508.wav	BS				
115	Spectrogram 1	1	31244.919397565	31244.919397565	1095.700	1095.700	67653638.220519180508.wav	BS				
116	Spectrogram 1	1	31468.873678434	31468.873678434	340.400	340.400	67653638.220519180508.wav	BS				
117	Spectrogram 1	1	31544.594452036	31544.594452036	1074.500	1074.500	67653638.220519181008.wav	BS				
118	Spectrogram 1	1	31778.667850794	31778.667850794	457.400	457.400	67653638.220519181008.wav	BS				
119	Spectrogram 1	1	31914.265174567	31914.265174567	1010.600	1010.600	67653638.220519181508.wav	BS				
120	Spectrogram 1	1	32005.775926313	32005.775926313	776.600	776.600	67653638.220519181508.wav	BS				
121	Spectrogram 1	1	32190.352930072	32190.352930072	904.300	904.300	67653638.220519182508.wav	BS				
122	Spectrogram 1	1	32438.243958207	32438.243958207	361.700	361.700	67653638.220519183008.wav	BS				
123	Spectrogram 1	1	32628.355202554	32628.355202554	2329.800	2329.800	67653638.220519183008.wav	BS				
124	Spectrogram 1	1	32801.671903511	32801.671903511	893.600	893.600	67653638.220519183508.wav	BS				
125	Spectrogram 1	1	33050.885427115	33050.885427115	1468.100	1468.100	67653638.220519184008.wav	BS				
126	Spectrogram 1	1	33120.133977447	33120.133977447	989.400	989.400	67653638.220519184008.wav	BS				
127	Spectrogram 1	1	33250.789948357	33250.789948357	638.300	638.300	67653638.220519184008.wav	BS				
128	Spectrogram 1	1	33429.750371405	33429.750371405	1010.638	1010.638	67653638.220519184509.wav	BS				
129	Spectrogram 1	1	33520.710256844	33520.710256844	319.149	319.149	67653638.220519184509.wav	BS				
131	Spectrogram 1	1	33760.729523824	33760.729523824	1085.106	1085.106	67653638.220519185009.wav	BS				
132	Spectrogram 1	1	34004.229264692	34004.229264692	893.617	893.617	67653638.220519185509.wav	BS				
133	Spectrogram 1	1	34026.052700751	34026.052700751	648.936	648.936	67653638.220519185509.wav	BS				
134	Spectrogram 1	1	34177.551209836	34177.551209836	521.277	521.277	67653638.220519185509.wav	BS				
135	Spectrogram 1	1	34412.146583386	34412.146583386	1010.638	1010.638	67653638.220519190009.wav	BS				
136	Spectrogram 1	1	34554.161824106	34554.161824106	840.426	840.426	67653638.220519190509.wav	BS				
137	Spectrogram 1	1	34624.102269769	34624.102269769	510.638	510.638	67653638.220519190509.wav	BS				
138	Spectrogram 1	1	34644.874734236	34644.874734236	691.489	691.489	67653638.220519190509.wav	BS				
139	Spectrogram 1	1	34701.040440314	34701.040440314	1191.489	1191.489	67653638.220519190509.wav	BS				
140	Spectrogram 1	1	34765.719005251	34765.719005251	819.149	819.149	67653638.220519190509.wav	BS				
141	Spectrogram 1	1	34792.719370401	34792.719370401	1138.298	1138.298	67653638.220519190509.wav	BS				
142	Spectrogram 1	1	34837.468879609	34837.468879609	819.149	819.149	67653638.220519191009.wav	BS				
143	Spectrogram 1	1	34863.970885537	34863.970885537	829.787	829.787	67653638.220519191009.wav	BS				
144	Spectrogram 1	1	34892.279688050	34892.279688050	1074.468	1074.468	67653638.220519191009.wav	BS				
145	Spectrogram 1	1	34901.907492052	34901.907492052	414.894	414.894	67653638.220519191009.wav	BS			BS	
146	Spectrogram 1	1	34936.604459180	34936.604459180	914.894	914.894	67653638.220519191009.wav	BS				
147	Spectrogram 1	1	34991.857567304	34991.857567304	414.894	414.894	67653638.220519191009.wav	BS				
148	Spectrogram 1	1	35110.453628677	35110.453628677	1212.766	1212.766	67653638.220519191509.wav	BS				
149	Spectrogram 1	1	35165.609526878	35165.609526878	1031.915	1031.915	67653638.220519191509.wav	BS				
150	Spectrogram 1	1	35212.939196347	35212.939196347	1042.553	1042.553	67653638.220519191509.wav	BS				
151	Spectrogram 1	1	35262.451364734	35262.451364734	702.128	702.128	67653638.220519191509.wav	BS				
152	Spectrogram 1	1	35312.930426601	35312.930426601	1138.298	1138.298	67653638.220519191509.wav	BS				
153	Spectrogram 1	1	35332.045864262	35332.045864262	968.085	968.085	67653638.220519191509.wav	BS				
154	Spectrogram 1	1	35353.670491681	35353.670491681	287.234	287.234	67653638.220519191509.wav	BS				
155	Spectrogram 1	1	35371.175316617	35371.175316617	436.170	436.170	67653638.220519191509.wav	BS			BS	
156	Spectrogram 1	1	35386.978420446	35386.978420446	680.851	680.851	67653638.220519191509.wav	BS				
157	Spectrogram 1	1	35429.577839659	35429.577839659	882.979	882.979	67653638.220519192009.wav	BS				
158	Spectrogram 1	1	35511.136778915	35511.136778915	2606.383	2606.383	67653638.220519192009.wav	BS				
159	Spectrogram 1	1	35527.843731053	35527.843731053	1276.596	1276.596	67653638.220519192009.wav	BS				
160	Spectrogram 1	1	35554.848456478	35554.848456478	2627.660	2627.660	67653638.220519192009.wav	BS			BS	
161	Spectrogram 1	1	35571.694663858	35571.694663858	1095.745	1095.745	67653638.220519192009.wav	BS				
162	Spectrogram 1	1	35576.299674822	35576.299674822	1159.574	1159.574	67653638.220519192009.wav	BS				
163	Spectrogram 1	1	35656.957404984	35656.957404984	340.426	340.426	67653638.220519192009.wav	BS				
164	Spectrogram 1	1	35667.171099932	35667.171099932	797.872	797.872	67653638.220519192009.wav	BS				
165	Spectrogram 1	1	35696.147264976	35696.147264976	563.830	563.830	67653638.220519192009.wav	BS				
166	Spectrogram 1	1	35711.078974985	35711.078974985	1085.106	1085.106	67653638.220519192509.wav	BS				
167	Spectrogram 1	1	35724.900998706	35724.900998706	1042.553	1042.553	67653638.220519192509.wav	BS				
168	Spectrogram 1	1	35777.023087944	35777.023087944	680.851	680.851	67653638.220519192509.wav	BS				
169	Spectrogram 1	1	35872.731625272	35872.731625272	829.787	829.787	67653638.220519192509.wav	BS				
170	Spectrogram 1	1	35922.430348227	35922.430348227	1755.319	1755.319	67653638.220519192509.wav	BS				
171	Spectrogram 1	1	35911.758591757	35911.758591757	361.702	361.702	67653638.220519192509.wav	BS				
172	Spectrogram 1	1	35950.493930154	35950.493930154	627.660	627.660	67653638.220519192509.wav	BS				
173	Spectrogram 1	1	35987.221017757	35987.221017757	1521.277	1521.277	67653638.220519192509.wav	BS				
174	Spectrogram 1	1	36020.663833810	36020.663833810	691.489	691.489	67653638.220519193009.wav	BS				
175	Spectrogram 1	1	36140.144484734	36140.144484734	1010.638	1010.638	67653638.220519193009.wav	BS				
176	Spectrogram 1	1	36172.440853785	36172.440853785	1074.468	1074.468	67653638.220519193009.wav	BS				
177	Spectrogram 1	1	36182.059003664	36182.059003664	2212.766	2212.766	67653638.220519193009.wav	BS				
178	Spectrogram 1	1	36199.199477596	36199.199477596	893.617	893.617	67653638.220519193009.wav	BS				
179	Spectrogram 1	1	36288.591659107	36288.591659107	287.234	287.234	67653638.220519193009.wav	BS				
180	Spectrogram 1	1	36290.620912062	36290.620912062	1287.234	1287.234	67653638.220519193009.wav	BS				
181	Spectrogram 1	1	36321.715679676	36321.715679676	1270.463	1270.463	67653638.220519193509.wav	BS				
182	Spectrogram 1	1	36463.975276876	36463.975276876	1441.281	1441.281	67653638.220519193509.wav	BS				
183	Spectrogram 1	1	36474.094385527	36474.094385527	1120.996	1120.996	67653638.220519193509.wav	BS			BS	
184	Spectrogram 1	1	36523.584661486	36523.584661486	469.751	469.751	67653638.220519193509.wav	BS				
185	Spectrogram 1	1	36544.090878778	36544.090878778	1782.918	1782.918	67653638.220519193509.wav	BS				
186	Spectrogram 1	1	36554.995592698	36554.995592698	683.274	683.274	67653638.220519193509.wav	BS				
187	Spectrogram 1	1	36588.911330998	36588.911330998	1217.082	1217.082	67653638.220519193509.wav	BS				
188	Spectrogram 1	1	36634.308941493	36634.308941493	544.484	544.484	67653638.220519194009.wav	BS				
189	Spectrogram 1	1	36668.346427536	36668.346427536	1996.441	1996.441	67653638.220519194009.wav	BS				
190	Spectrogram 1	1	36705.529842726	36705.529842726	341.637	341.637	67653638.220519194009.wav	BS				
191	Spectrogram 1	1	36712.115058546	36712.115058546	886.121	886.121	67653638.220519194009.wav	BS				
192	Spectrogram 1	1	36843.032892105	36843.032892105	768.683	768.683	67653638.220519194009.wav	BS				
193	Spectrogram 1	1	36856.503734742	36856.503734742	512.456	512.456	67653638.220519194009.wav	BS				
194	Spectrogram 1	1	36883.982277300	36883.982277300	1185.053	1185.053	67653638.220519194009.wav	BS				
195	Spectrogram 1	1	37009.209996869	37009.209996869	736.655	736.655	67653638.220519194509.wav	BS				
196	Spectrogram 1	1	37054.495510050	37054.495510050	555.160	555.160	67653638.220519194509.wav	BS				
197	Spectrogram 1	1	37082.735125656	37082.735125656	1131.673	1131.673	67653638.220519194509.wav	BS				
198	Spectrogram 1	1	37124.776637271	37124.776637271	352.313	352.313	67653638.220519194509.wav	BS				
199	Spectrogram 1	1	37146.262007890	37146.262007890	619.217	619.217	67653638.220519194509.wav	BS				
200	Spectrogram 1	1	37283.949848451	37283.949848451	416.370	416.370	67653638.220519195009.wav	BS				
201	Spectrogram 1	1	37299.964931996	37299.964931996	704.626	704.626	67653638.220519195009.wav	BS				
202	Spectrogram 1	1	37323.977028921	37323.977028921	608.541	608.541	67653638.220519195009.wav	BS				
203	Spectrogram 1	1	37406.278652295	37406.278652295	320.285	320.285	67653638.220519195009.wav	BS				
204	Spectrogram 1	1	37503.621442569	37503.621442569	661.922	661.922	67653638.220519195509.wav	BS				
205	Spectrogram 1	1	37554.317716214	37554.317716214	1483.986	1483.986	67653638.220519195509.wav	BS				
206	Spectrogram 1	1	37581.933750228	37581.933750228	587.189	587.189	67653638.220519195509.wav	BS				
207	Spectrogram 1	1	37736.179685358	37736.179685358	779.359	779.359	67653638.220519195509.wav	BS				
208	Spectrogram 1	1	37876.637716302	37876.637716302	384.342	384.342	67653638.220519200009.wav	BS				
209	Spectrogram 1	1	37908.150266618	37908.150266618	1035.587	1035.587	67653638.220519200009.wav	BS				
210	Spectrogram 1	1	37978.628456768	37978.628456768	555.160	555.160	67653638.220519200009.wav	BS				
211	Spectrogram 1	1	38030.013112253	38030.013112253	747.331	747.331	67653638.220519200009.wav	BS				
212	Spectrogram 1	1	38064.777511161	38064.777511161	683.274	683.274	67653638.220519200009.wav	BS				
213	Spectrogram 1	1	38288.061800275	38288.061800275	427.046	427.046	67653638.220519200509.wav	BS				
214	Spectrogram 1	1	38299.093504571	38299.093504571	1067.616	1067.616	67653638.220519200509.wav	BS				
215	Spectrogram 1	1	38430.338896890	38430.338896890	1249.110	1249.110	67653638.220519201009.wav	BS				
216	Spectrogram 1	1	38496.331179406	38496.331179406	1729.537	1729.537	67653638.220519201009.wav	BS				
217	Spectrogram 1	1	38571.838299410	38571.838299410	2007.117	2007.117	67653638.220519201009.wav	BS				
218	Spectrogram 1	1	38720.660331466	38720.660331466	683.274	683.274	67653638.220519201509.wav	BS				
219	Spectrogram 1	1	38768.881547821	38768.881547821	1804.270	1804.270	67653638.220519201509.wav	BS				
220	Spectrogram 1	1	38843.021516290	38843.021516290	2209.964	2209.964	67653638.220519201509.wav	BS				
221	Spectrogram 1	1	38977.745637591	38977.745637591	758.007	758.007	67653638.220519201509.wav	BS				
222	Spectrogram 1	1	39029.738986928	39029.738986928	960.854	960.854	67653638.220519202009.wav	BS				
223	Spectrogram 1	1	39089.835303787	39089.835303787	1804.270	1804.270	67653638.220519202009.wav	BS				
224	Spectrogram 1	1	39212.002941885	39212.002941885	715.302	715.302	67653638.220519202009.wav	BS				
225	Spectrogram 1	1	39431.292672653	39431.292672653	288.256	288.256	67653638.220519202509.wav	BS			BS	
226	Spectrogram 1	1	39577.256060927	39577.256060927	715.302	715.302	67653638.220519202509.wav	BS				
227	Spectrogram 1	1	39591.319824028	39591.319824028	224.199	224.199	67653638.220519202509.wav	BS			BS	
228	Spectrogram 1	1	39682.878749950	39682.878749950	1131.673	1131.673	67653638.220519203009.wav	BS				
229	Spectrogram 1	1	39841.078093744	39841.078093744	800.712	800.712	67653638.220519203009.wav	BS				
230	Spectrogram 1	1	39894.939523711	39894.939523711	661.922	661.922	67653638.220519203009.wav	BS				
231	Spectrogram 1	1	39973.648577842	39973.648577842	2348.754	2348.754	67653638.220519203509.wav	BS				
232	Spectrogram 1	1	40035.149738564	40035.149738564	1163.701	1163.701	67653638.220519203509.wav	BS				
233	Spectrogram 1	1	40100.572754119	40100.572754119	2263.345	2263.345	67653638.220519203509.wav	BS				
234	Spectrogram 1	1	40112.374294915	40112.374294915	982.206	982.206	67653638.220519203509.wav	BS				
235	Spectrogram 1	1	40155.764549502	40155.764549502	1249.110	1249.110	67653638.220519203509.wav	BS				
236	Spectrogram 1	1	40454.825672109	40454.825672109	864.769	864.769	67653638.220519204009.wav	BS				
237	Spectrogram 1	1	40588.988395995	40588.988395995	309.609	309.609	67653638.220519204509.wav	BS				
238	Spectrogram 1	1	40632.646673094	40632.646673094	469.751	469.751	67653638.220519204509.wav	BS				
239	Spectrogram 1	1	40705.653324464	40705.653324464	1548.043	1548.043	67653638.220519204509.wav	BS				
240	Spectrogram 1	1	40730.157617634	40730.157617634	202.847	202.847	67653638.220519204509.wav	BS			BS	
241	Spectrogram 1	1	40799.657526245	40799.657526245	875.445	875.445	67653638.220519204509.wav	BS				
242	Spectrogram 1	1	40836.665759333	40836.665759333	2209.964	2209.964	67653638.220519205009.wav	BS				
243	Spectrogram 1	1	40842.715855672	40842.715855672	875.445	875.445	67653638.220519205009.wav	BS				
244	Spectrogram 1	1	40860.116447871	40860.116447871	266.904	266.904	67653638.220519205009.wav	BS				
245	Spectrogram 1	1	40906.242752168	40906.242752168	629.893	629.893	67653638.220519205009.wav	BS				
246	Spectrogram 1	1	40958.568897123	40958.568897123	1740.214	1740.214	67653638.220519205009.wav	BS				
247	Spectrogram 1	1	41013.240470530	41013.240470530	1398.577	1398.577	67653638.220519205009.wav	BS				
248	Spectrogram 1	1	41076.437178461	41076.437178461	448.399	448.399	67653638.220519205009.wav	BS				
249	Spectrogram 1	1	41086.558907097	41086.558907097	918.149	918.149	67653638.220519205009.wav	BS				
250	Spectrogram 1	1	41230.411605657	41230.411605657	298.932	298.932	67653638.220519205509.wav	BS				
251	Spectrogram 1	1	41235.480796203	41235.480796203	2594.306	2594.306	67653638.220519205509.wav	BS				
252	Spectrogram 1	1	41277.049373042	41277.049373042	693.950	693.950	67653638.220519205509.wav	BS				
253	Spectrogram 1	1	41308.025892596	41308.025892596	256.228	256.228	67653638.220519205509.wav	BS				
254	Spectrogram 1	1	41377.163224157	41377.163224157	1238.434	1238.434	67653638.220519205509.wav	BS				
255	Spectrogram 1	1	41424.840566013	41424.840566013	362.989	362.989	67653638.220519210009.wav	BS				
256	Spectrogram 1	1	41446.151653108	41446.151653108	1355.872	1355.872	67653638.220519210009.wav	BS				
257	Spectrogram 1	1	41455.965988177	41455.965988177	288.256	288.256	67653638.220519210009.wav	BS				
258	Spectrogram 1	1	41481.251495337	41481.251495337	234.875	234.875	67653638.220519210009.wav	BS				
259	Spectrogram 1	1	41487.812182400	41487.812182400	608.541	608.541	67653638.220519210009.wav	BS				
260	Spectrogram 1	1	41575.177762352	41575.177762352	1462.633	1462.633	67653638.220519210009.wav	BS				
261	Spectrogram 1	1	41630.797828586	41630.797828586	1516.014	1516.014	67653638.220519210009.wav	BS				
262	Spectrogram 1	1	41717.948805143	41717.948805143	491.103	491.103	67653638.220519210509.wav	BS				
263	Spectrogram 1	1	41739.600599957	41739.600599957	512.456	512.456	67653638.220519210509.wav	BS				
264	Spectrogram 1	1	41779.677650253	41779.677650253	1526.690	1526.690	67653638.220519210509.wav	BS				
265	Spectrogram 1	1	41831.178816223	41831.178816223	1750.890	1750.890	67653638.220519210509.wav	BS				
266	Spectrogram 1	1	41869.137301883	41869.137301883	1441.281	1441.281	67653638.220519210509.wav	BS				
267	Spectrogram 1	1	42041.266371738	42041.266371738	362.989	362.989	67653638.220519211009.wav	BS				
268	Spectrogram 1	1	42061.683273081	42061.683273081	1174.377	1174.377	67653638.220519211009.wav	BS				
269	Spectrogram 1	1	42067.623887473	42067.623887473	747.331	747.331	67653638.220519211009.wav	BS				
