Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Call type	Comments	Quantity	WH	KZ Done?
39	Spectrogram 1	1	21087.774560000	21093.246630000	457.447	1042.553	5	RS	YELP		6		Y
40	Spectrogram 1	1	21660.054310000	21660.054310000	957.447	957.447	6	RS	YELP				Y
41	Spectrogram 1	1	21985.207570000	21986.797160000	85.106	393.617	6	RS	BARK		3	Bark	Y
44	Spectrogram 1	1	24395.696270000	24395.696270000	893.617	893.617	6	RS	YELP				Y
45	Spectrogram 1	1	25595.485200000	25595.485200000	744.681	744.681	7	RS	YELP				Y
46	Spectrogram 1	1	26485.548260000	26485.548260000	223.404	223.404	7	RS	GROWL			Growl	Y
47	Spectrogram 1	1	26486.771760000	26486.771760000	191.489	191.489	7	RS	GROWL			Growl	Y
48	Spectrogram 1	1	28128.506730000	28128.506730000	212.766	212.766	7	RS	GROWL			Growl	Y
49	Spectrogram 1	1	28130.038520000	28130.038520000	148.936	148.936	7	RS	GROWL			Growl	Y
50	Spectrogram 1	1	28713.099480000	28713.099480000	893.617	893.617	7	RS	YELP				Y
51	Spectrogram 1	1	31235.712040000	31235.712040000	1074.468	1074.468	8	RS	YELP				Y
52	Spectrogram 1	1	34273.341210000	34273.341210000	1085.106	1085.106	9	RS	YELP				Y
54	Spectrogram 1	1	36076.487130000	36076.487130000	1393.617	1393.617	10	RS	YELP				Y
55	Spectrogram 1	1	37053.125760000	37053.125760000	917.266	917.266	10	RS	YELP				Y
56	Spectrogram 1	1	37195.578910000	37195.578910000	1284.173	1284.173	10	RS	YELP				Y
57	Spectrogram 1	1	38455.395870000	38455.395870000	1003.597	1003.597	10	RS	YELP				Y
58	Spectrogram 1	1	38899.393060000	38902.023120000	1068.345	2535.971	10	RS	YELP		4		Y
59	Spectrogram 1	1	40729.196020000	40734.976360000	733.813	1219.424	11	RS	YELP		6		Y
60	Spectrogram 1	1	40904.777530000	40909.613750000	647.482	1057.554	11	RS	YELP		5		Y
61	Spectrogram 1	1	40917.228930000	40917.228930000	938.849	938.849	11	RS	YELP				Y
62	Spectrogram 1	1	40917.797330000	40917.797330000	938.849	938.849	11	RS	YELP				Y
63	Spectrogram 1	1	40926.805040000	40933.250130000	669.065	1187.050	11	RS	YELP		6		Y
64	Spectrogram 1	1	41010.688380000	41017.403210000	776.978	1154.676	11	RS	YELP		8		Y
65	Spectrogram 1	1	41019.277460000	41025.635840000	500.000	1127.660	11	RS	YELP		6		Y
66	Spectrogram 1	1	44984.626040000	44984.626040000	893.617	893.617	12	RS	YELP				Y
67	Spectrogram 1	1	45689.315990000	45689.614640000	627.660	946.809	12	RS	YELP				Y
68	Spectrogram 1	1	45694.807320000	45695.192680000	585.106	882.979	12	RS	YELP				Y
69	Spectrogram 1	1	45699.576970000	45699.576970000	1042.553	1042.553	12	RS	YELP				Y
70	Spectrogram 1	1	45708.526880000	45708.758100000	638.298	840.426	12	RS	YELP				Y
71	Spectrogram 1	1	45730.012260000	45730.012260000	882.979	882.979	12	RS	YELP				Y
72	Spectrogram 1	1	45750.639330000	45750.639330000	797.872	797.872	12	RS	YELP				Y
73	Spectrogram 1	1	45778.509370000	45778.509370000	882.979	882.979	12	RS	YELP				Y
74	Spectrogram 1	1	45809.169720000	45809.169720000	1010.638	1010.638	12	RS	YELP				Y
75	Spectrogram 1	1	45809.526180000	45809.526180000	202.128	202.128	12	RS	GROWL				Y
76	Spectrogram 1	1	45816.762130000	45816.762130000	1000.000	1000.000	12	RS	YELP				Y
77	Spectrogram 1	1	45817.397970000	45817.397970000	223.404	223.404	12	RS	GROWL				Y
78	Spectrogram 1	1	45818.775620000	45818.775620000	159.574	159.574	12	RS	GROWL				Y
79	Spectrogram 1	1	45823.251000000	45823.251000000	1000.000	1000.000	12	RS	YELP				Y
80	Spectrogram 1	1	45827.787710000	45827.787710000	180.851	180.851	12	RS	GROWL				Y
81	Spectrogram 1	1	45831.371530000	45831.371530000	159.574	159.574	12	RS	GROWL				Y
82	Spectrogram 1	1	45835.167290000	45835.167290000	202.128	202.128	12	RS	GROWL				Y
84	Spectrogram 1	1	45909.580490000	45909.580490000	829.787	829.787	12	RS	YELP				Y
85	Spectrogram 1	1	45922.819230000	45922.819230000	170.213	170.213	12	RS	GROWL				Y
86	Spectrogram 1	1	45922.279730000	45922.279730000	1000.000	1000.000	12	RS	YELP				Y
87	Spectrogram 1	1	45949.716240000	45951.161320000	74.468	425.532	12	RS	BARK		3	Bark	Y
88	Spectrogram 1	1	45951.729730000	45951.729730000	212.766	212.766	12	RS	GROWL				Y
89	Spectrogram 1	1	45952.240320000	45952.240320000	191.489	191.489	12	RS	GROWL				Y
90	Spectrogram 1	1	45958.946400000	45958.946400000	159.574	159.574	12	RS	GROWL				Y
91	Spectrogram 1	1	45962.618670000	45962.618670000	787.234	787.234	12	RS	YELP				Y
92	Spectrogram 1	1	45965.576280000	45965.576280000	851.064	851.064	12	RS	YELP				Y
93	Spectrogram 1	1	45966.337360000	45966.337360000	191.489	191.489	12	RS	GROWL				Y
94	Spectrogram 1	1	45967.560870000	45967.560870000	159.574	159.574	12	RS	GROWL				Y
95	Spectrogram 1	1	46011.255030000	46011.255030000	170.213	170.213	12	RS	GROWL				Y
96	Spectrogram 1	1	46016.392530000	46016.392530000	180.851	180.851	12	RS	GROWL				Y
97	Spectrogram 1	1	46030.970390000	46030.970390000	159.574	159.574	12	RS	GROWL				Y
98	Spectrogram 1	1	46065.344190000	46065.344190000	138.298	138.298	12	RS	GROWL				Y
99	Spectrogram 1	1	46069.949200000	46069.949200000	117.021	117.021	12	RS	GROWL				Y
100	Spectrogram 1	1	46074.083910000	46074.083910000	191.489	191.489	12	RS	GROWL				Y
101	Spectrogram 1	1	46077.305990000	46077.305990000	180.851	180.851	12	RS	GROWL				Y
102	Spectrogram 1	1	48003.539160000	48003.539160000	1702.128	1702.128	13	RS	YELP				Y
103	Spectrogram 1	1	48613.370990000	48613.370990000	1287.234	1287.234	13	RS	YELP				Y
104	Spectrogram 1	1	48613.794880000	48613.794880000	1521.277	1521.277	13	RS	YELP				Y
105	Spectrogram 1	1	50545.036780000	50545.036780000	234.043	234.043	14	RS	GROWL				Y
106	Spectrogram 1	1	51098.052210000	51098.052210000	170.213	170.213	14	RS	GROWL				Y
107	Spectrogram 1	1	55826.122790000	55826.122790000	191.489	191.489	15	RS	GROWL				Y
108	Spectrogram 1	1	56194.103160000	56194.103160000	170.213	170.213	15	RS	GROWL				Y
109	Spectrogram 1	1	58056.569460000	58056.569460000	1000.000	1000.000	16	RS	YELP				Y
110	Spectrogram 1	1	58407.213150000	58407.213150000	1425.532	1425.532	16	RS	YELP				Y
111	Spectrogram 1	1	58409.255540000	58409.255540000	1319.149	1319.149	16	RS	YELP				Y
112	Spectrogram 1	1	58731.615880000	58731.615880000	1648.936	1648.936	16	RS	YELP				Y
113	Spectrogram 1	1	58731.856730000	58731.856730000	489.362	489.362	16	RS	BARK				Y
114	Spectrogram 1	1	58732.444400000	58732.444400000	425.532	425.532	16	RS	BARK				Y
115	Spectrogram 1	1	58732.733410000	58732.858650000	85.106	191.489	16	RS	BARK				Y
116	Spectrogram 1	1	61002.947980000	61002.947980000	1691.489	1691.489	16	RS	YELP				Y
117	Spectrogram 1	1	61010.720790000	61010.720790000	808.511	808.511	16	RS	BARK				Y
118	Spectrogram 1	1	61011.038710000	61011.038710000	1287.234	1287.234	16	RS	YELP				Y
119	Spectrogram 1	1	61020.587670000	61020.587670000	1500.000	1500.000	16	RS	YELP				Y
120	Spectrogram 1	1	61022.398850000	61022.398850000	1425.532	1425.532	16	RS	YELP				Y
121	Spectrogram 1	1	61172.332290000	61172.332290000	1574.468	1574.468	16	RS	YELP				Y
122	Spectrogram 1	1	61174.316870000	61174.316870000	1627.660	1627.660	16	RS	YELP				Y
123	Spectrogram 1	1	61177.580140000	61177.580140000	1521.277	1521.277	16	RS	YELP				Y
124	Spectrogram 1	1	63357.513580000	63357.513580000	851.064	851.064	17	RS	YELP				Y
125	Spectrogram 1	1	68923.975280000	68923.975280000	1202.128	1202.128	19	RS	YELP				Y
126	Spectrogram 1	1	70012.044130000	70012.044130000	1117.021	1117.021	19	RS	YELP				Y
127	Spectrogram 1	1	70578.605700000	70578.605700000	1042.553	1042.553	19	RS	YELP				Y
128	Spectrogram 1	1	70578.798380000	70578.798380000	159.574	159.574	19	RS	BARK			Bark	Y
129	Spectrogram 1	1	70579.405320000	70579.405320000	159.574	159.574	19	RS	BARK			Bark	Y
130	Spectrogram 1	1	70581.216490000	70581.216490000	957.447	957.447	19	RS	YELP				Y
131	Spectrogram 1	1	70581.582580000	70581.582580000	148.936	148.936	19	RS	BARK			Bark	Y
132	Spectrogram 1	1	70581.967940000	70581.967940000	148.936	148.936	19	RS	BARK			Bark	Y
133	Spectrogram 1	1	70603.635490000	70603.635490000	1170.213	1170.213	19	RS	YELP				Y
134	Spectrogram 1	1	70604.088280000	70604.088280000	223.404	223.404	19	RS	BARK				Y
135	Spectrogram 1	1	70604.569980000	70604.569980000	234.043	234.043	19	RS	BARK				Y
136	Spectrogram 1	1	70605.379230000	70605.379230000	212.766	212.766	19	RS	BARK				Y
137	Spectrogram 1	1	70606.323350000	70606.323350000	946.809	946.809	19	RS	YELP				Y
138	Spectrogram 1	1	70606.631640000	70606.631640000	297.872	297.872	19	RS	BARK				Y
139	Spectrogram 1	1	71145.521990000	71145.521990000	1191.489	1191.489	19	RS	YELP				Y
140	Spectrogram 1	1	71148.624110000	71148.624110000	1297.872	1297.872	19	RS	YELP				Y
141	Spectrogram 1	1	76878.378870000	76878.378870000	1000.000	1000.000	21	RS	YELP				Y
142	Spectrogram 1	1	76881.403920000	76881.403920000	1000.000	1000.000	21	RS	YELP				Y
143	Spectrogram 1	1	76887.275350000	76887.275350000	1180.851	1180.851	21	RS	YELP				Y
144	Spectrogram 1	1	76888.113500000	76888.113500000	1063.830	1063.830	21	RS	YELP				Y
145	Spectrogram 1	1	76881.533540000	76890.444910000	53.191	287.234	21	RS	BARK		6		Y
146	Spectrogram 1	1	78559.653190000	78559.653190000	1106.383	1106.383	21	RS	YELP				Y
147	Spectrogram 1	1	78563.640750000	78563.640750000	1191.489	1191.489	21	RS	YELP				Y
148	Spectrogram 1	1	78563.284300000	78563.284300000	1063.830	1063.830	21	RS	YELP				Y
149	Spectrogram 1	1	79575.319660000	79575.319660000	1265.957	1265.957	22	RS	YELP				Y
150	Spectrogram 1	1	79576.678050000	79576.678050000	1308.511	1308.511	22	RS	YELP				Y
151	Spectrogram 1	1	79590.898580000	79590.898580000	1319.149	1319.149	22	RS	YELP				Y
152	Spectrogram 1	1	79594.771410000	79594.771410000	1234.043	1234.043	22	RS	YELP				Y
154	Spectrogram 1	1	84273.854440000	84273.854440000	1064.516	1064.516	23	RS	YELP				Y
155	Spectrogram 1	1	84626.792780000	84626.792780000	913.978	913.978	23	RS	YELP				Y
156	Spectrogram 1	1	85054.879120000	85054.879120000	139.785	139.785	23	RS	GROWL				Y
157	Spectrogram 1	1	87253.425300000	87253.425300000	956.989	956.989	24	RS	YELP				Y
158	Spectrogram 1	1	91142.560860000	91142.560860000	182.796	182.796	25	RS	GROWL				Y
160	Spectrogram 1	1	107581.204200000	107583.988400000	569.892	1010.753	29	RS	YELP		7		Y
161	Spectrogram 1	1	112261.404800000	112261.404800000	1064.516	1064.516	31	RS	YELP				Y
162	Spectrogram 1	1	112262.483800000	112262.483800000	1150.538	1150.538	31	RS	YELP				Y
163	Spectrogram 1	1	115995.354700000	115995.354700000	903.226	903.226	32	RS	YELP				Y
164	Spectrogram 1	1	118905.922200000	118910.970400000	107.527	946.237	33	RS	YELP		6		Y
165	Spectrogram 1	1	119397.918200000	119397.918200000	1182.796	1182.796	33	RS	YELP				Y
166	Spectrogram 1	1	119616.807600000	119616.807600000	301.075	301.075	33	RS	GROWL				Y
167	Spectrogram 1	1	128023.654700000	128023.654700000	1645.161	1645.161	35	RS	YELP			Yelp	Y
168	Spectrogram 1	1	128024.380800000	128024.380800000	215.054	215.054	35	RS	BARK			Bark	Y
169	Spectrogram 1	1	128846.556300000	128846.556300000	1204.301	1204.301	35	RS	YELP				Y
170	Spectrogram 1	1	128847.307700000	128847.307700000	1150.538	1150.538	35	RS	YELP				Y
171	Spectrogram 1	1	128846.874200000	128846.874200000	1021.505	1021.505	35	RS	YELP				Y
172	Spectrogram 1	1	133417.523200000	133417.523200000	1021.505	1021.505	37	RS	YELP				Y
173	Spectrogram 1	1	133420.952900000	133420.952900000	913.978	913.978	37	RS	YELP				Y
174	Spectrogram 1	1	133421.925900000	133421.925900000	913.978	913.978	37	RS	YELP				Y
175	Spectrogram 1	1	136511.223500000	136511.223500000	215.054	215.054	37	RS	GROWL				Y
176	Spectrogram 1	1	136723.309700000	136723.309700000	1924.731	1924.731	37	RS	YELP				Y
177	Spectrogram 1	1	136743.732700000	136743.732700000	1043.011	1043.011	37	RS	YELP				Y
178	Spectrogram 1	1	136745.235600000	136745.235600000	956.989	956.989	37	RS	YELP				Y
179	Spectrogram 1	1	136745.919600000	136745.919600000	967.742	967.742	37	RS	YELP				Y
180	Spectrogram 1	1	136745.624400000	136745.624400000	430.108	430.108	37	RS	BARK				Y
181	Spectrogram 1	1	136746.674500000	136746.674500000	204.301	204.301	37	RS	GROWL				Y
182	Spectrogram 1	1	144654.165300000	144658.500600000	698.925	1247.312	40	RS	YELP		7		Y
183	Spectrogram 1	1	148349.308100000	148349.308100000	946.237	946.237	41	RS	YELP				Y
184	Spectrogram 1	1	150873.229100000	150876.938200000	704.626	1099.644	41	RS	YELP		3		Y
190	Spectrogram 1	1	161396.915400000	161396.915400000	982.206	982.206	44	RS	YELP				Y
191	Spectrogram 1	1	161400.820600000	161400.820600000	1014.235	1014.235	44	RS	YELP				Y
192	Spectrogram 1	1	164111.579100000	164111.579100000	768.683	768.683	45	RS	YELP				Y
193	Spectrogram 1	1	167206.788400000	167206.798000000	1120.996	1120.996	46	RS	YELP				Y
194	Spectrogram 1	1	167213.286900000	167213.286900000	1334.520	1334.520	46	RS	YELP				Y
195	Spectrogram 1	1	167221.545800000	167229.840600000	822.064	1441.281	46	RS	YELP		6		Y
196	Spectrogram 1	1	167243.402500000	167248.224700000	800.712	1451.957	46	RS	YELP		8		Y
197	Spectrogram 1	1	167256.245400000	167258.104700000	843.416	1398.577	46	RS	YELP		3		Y
198	Spectrogram 1	1	167263.041700000	167263.041700000	1056.940	1056.940	46	RS	YELP				Y
200	Spectrogram 1	1	169110.656000000	169117.852500000	587.189	1217.082	46	RS	YELP		6		Y
201	Spectrogram 1	1	169114.859900000	169118.385900000	64.057	373.665	46	RS	BARK		3		Y
202	Spectrogram 1	1	170391.834800000	170391.834800000	843.416	843.416	47	RS	YELP				Y
203	Spectrogram 1	1	170392.624800000	170392.624800000	1195.730	1195.730	47	RS	YELP				Y
204	Spectrogram 1	1	170393.212500000	170395.274100000	85.409	555.160	47	RS	BARK		5		Y
205	Spectrogram 1	1	171238.863200000	171238.863200000	1003.559	1003.559	47	RS	YELP				Y
206	Spectrogram 1	1	172978.189700000	172978.189700000	1088.968	1088.968	48	RS	YELP				Y
207	Spectrogram 1	1	172980.569300000	172980.569300000	992.883	992.883	48	RS	YELP				Y
215	Spectrogram 1	1	181237.444400000	181237.444400000	1014.235	1014.235	50	RS	YELP				Y
216	Spectrogram 1	1	181249.247600000	181249.247600000	1067.616	1067.616	50	RS	YELP				Y
217	Spectrogram 1	1	181282.242100000	181282.242100000	1014.235	1014.235	50	RS	YELP				Y
218	Spectrogram 1	1	181315.837300000	181315.837300000	1088.968	1088.968	50	RS	YELP				Y
219	Spectrogram 1	1	182898.435800000	182901.566800000	736.655	1195.730	50	RS	YELP		5		Y
220	Spectrogram 1	1	182909.701300000	182912.899800000	886.121	1313.167	50	RS	YELP		7		Y
221	Spectrogram 1	1	182917.677300000	182917.677300000	1270.463	1270.463	50	RS	YELP				Y
222	Spectrogram 1	1	182919.604100000	182919.604100000	1195.730	1195.730	50	RS	YELP				Y
223	Spectrogram 1	1	182922.225400000	182924.489400000	918.149	1483.986	50	RS	YELP		4		Y
224	Spectrogram 1	1	183828.878100000	183828.878100000	1398.577	1398.577	51	RS	YELP				Y
225	Spectrogram 1	1	183832.215800000	183832.215800000	1366.548	1366.548	51	RS	YELP				Y
226	Spectrogram 1	1	183833.420000000	183833.420000000	1377.224	1377.224	51	RS	YELP				Y
227	Spectrogram 1	1	183833.699400000	183833.699400000	1302.491	1302.491	51	RS	YELP				Y
228	Spectrogram 1	1	186816.751600000	186816.751600000	1387.900	1387.900	51	RS	YELP				Y
229	Spectrogram 1	1	186818.283400000	186821.607100000	106.762	544.484	51	RS	BARK		8		Y
230	Spectrogram 1	1	190547.348000000	190547.348000000	1814.947	1814.947	52	RS	YELP				Y
231	Spectrogram 1	1	190792.437400000	190792.437400000	1622.776	1622.776	52	RS	YELP				Y
232	Spectrogram 1	1	190841.302300000	190841.302300000	1729.537	1729.537	53	RS	YELP				Y
233	Spectrogram 1	1	192651.148200000	192651.148200000	1526.690	1526.690	53	RS	YELP				Y
234	Spectrogram 1	1	192732.615100000	192732.615100000	1430.605	1430.605	53	RS	YELP				Y
235	Spectrogram 1	1	192740.566600000	192740.566600000	1548.043	1548.043	53	RS	YELP				Y
236	Spectrogram 1	1	192992.196500000	192992.196500000	1526.690	1526.690	53	RS	YELP				Y
237	Spectrogram 1	1	192993.535600000	192993.535600000	1580.071	1580.071	53	RS	YELP				Y
238	Spectrogram 1	1	196277.468000000	196282.092300000	1067.616	1740.214	54	RS	YELP		6		Y
239	Spectrogram 1	1	196283.306200000	196283.469900000	1238.434	1516.014	54	RS	YELP				Y
240	Spectrogram 1	1	196277.795600000	196282.766700000	42.705	693.950	54	RS	BARK		4		Y
241	Spectrogram 1	1	196598.045200000	196598.045200000	1516.014	1516.014	54	RS	YELP				Y
242	Spectrogram 1	1	196599.904500000	196599.904500000	1537.367	1537.367	54	RS	YELP				Y
243	Spectrogram 1	1	198811.349600000	198811.349600000	1462.633	1462.633	55	RS	YELP				Y
244	Spectrogram 1	1	199979.233700000	199979.233700000	1377.224	1377.224	55	RS	YELP				Y
245	Spectrogram 1	1	200800.084900000	200800.084900000	1451.957	1451.957	55	RS	YELP				Y
246	Spectrogram 1	1	201347.165000000	201347.165000000	1259.786	1259.786	55	RS	YELP				Y
247	Spectrogram 1	1	202117.124700000	202117.124700000	245.552	245.552	56	RS	GROWL			Growl	Y
248	Spectrogram 1	1	202289.772300000	202289.772300000	1462.633	1462.633	56	RS	YELP?			"Yelp? But with a very drawn out signal after it, and two possible barks as well."	Y
249	Spectrogram 1	1	202422.544200000	202422.544200000	960.854	960.854	56	RS	YELP				Y
250	Spectrogram 1	1	202441.354900000	202441.354900000	1056.940	1056.940	56	RS	YELP				Y
251	Spectrogram 1	1	202442.915600000	202442.915600000	1024.911	1024.911	56	RS	YELP				Y
252	Spectrogram 1	1	202967.145700000	202967.145700000	1419.929	1419.929	56	RS	YELP				Y
253	Spectrogram 1	1	202967.752700000	202967.752700000	405.694	405.694	56	RS	BARK				Y
254	Spectrogram 1	1	203590.476400000	203590.717300000	875.445	1024.911	56	RS	YELP				Y
255	Spectrogram 1	1	203594.557700000	203594.557700000	202.847	202.847	56	RS	BARK				Y
256	Spectrogram 1	1	208632.327000000	208632.327000000	939.502	939.502	57	RS	YELP				Y
258	Spectrogram 1	1	209686.290000000	209686.290000000	939.502	939.502	58	RS	YELP				Y
259	Spectrogram 1	1	209875.934500000	209882.533700000	523.132	1323.843	58	RS	YELP		7		Y
260	Spectrogram 1	1	209876.483600000	209882.369900000	64.057	395.018	58	RS	BARK		4		Y
261	Spectrogram 1	1	214075.289900000	214075.289900000	982.206	982.206	59	RS	YELP				Y
262	Spectrogram 1	1	214078.147600000	214078.147600000	928.826	928.826	59	RS	YELP				Y
263	Spectrogram 1	1	214079.814300000	214079.814300000	864.769	864.769	59	RS	YELP				Y
264	Spectrogram 1	1	219583.360500000	219583.360500000	1686.833	1686.833	60	RS	YELP				Y
265	Spectrogram 1	1	219757.492500000	219757.492500000	1644.128	1644.128	61	RS	YELP				Y
266	Spectrogram 1	1	221086.477500000	221086.477500000	1067.616	1067.616	61	RS	YELP				Y
267	Spectrogram 1	1	221103.129200000	221103.129200000	939.502	939.502	61	RS	YELP				Y
268	Spectrogram 1	1	221109.497300000	221109.497300000	939.502	939.502	61	RS	YELP				Y
269	Spectrogram 1	1	226374.145200000	226378.634600000	790.036	1601.423	62	RS	YELP		8		Y
270	Spectrogram 1	1	226374.251200000	226378.885100000	85.409	715.302	62	RS	BARK		7		Y
271	Spectrogram 1	1	226578.228200000	226587.977700000	672.598	1291.815	62	RS	YELP		15		Y
272	Spectrogram 1	1	226578.373600000	226587.622200000	74.733	576.512	62	RS	BARK		10		Y
273	Spectrogram 1	1	231671.920600000	231674.859000000	790.036	1355.872	64	RS	YELP		5		Y
274	Spectrogram 1	1	232790.923100000	232800.171600000	758.007	1718.861	64	RS	YELP		15		Y
275	Spectrogram 1	1	232791.414400000	232799.747700000	32.028	555.160	64	RS	BARK		10		Y
277	Spectrogram 1	1	232800.219800000	232807.281500000	32.028	416.370	64	RS	BARK		12		Y
278	Spectrogram 1	1	232800.811900000	232804.463100000	661.922	1281.139	64	RS	YELP		5		Y
279	Spectrogram 1	1	232832.384800000	232832.384800000	1003.559	1003.559	64	RS	YELP				Y
280	Spectrogram 1	1	234194.615500000	234194.615500000	768.683	768.683	65	RS	YELP				Y
281	Spectrogram 1	1	234342.283200000	234342.283200000	800.712	800.712	65	RS	YELP				Y
282	Spectrogram 1	1	234355.505300000	234355.505300000	854.093	854.093	65	RS	YELP				Y
283	Spectrogram 1	1	234360.664700000	234360.664700000	790.036	790.036	65	RS	YELP				Y
284	Spectrogram 1	1	234360.687500000	234360.687500000	96.085	96.085	65	RS	GROWL				Y
285	Spectrogram 1	1	234364.706600000	234364.706600000	224.199	224.199	65	RS	GROWL				Y
286	Spectrogram 1	1	234367.529300000	234367.529300000	224.199	224.199	65	RS	GROWL				Y
287	Spectrogram 1	1	234371.076400000	234371.076400000	224.199	224.199	65	RS	GROWL				Y
288	Spectrogram 1	1	234372.935700000	234372.935700000	234.875	234.875	65	RS	GROWL				Y
289	Spectrogram 1	1	234376.058800000	234376.058800000	811.388	811.388	65	RS	YELP				Y
290	Spectrogram 1	1	234376.415300000	234376.415300000	747.331	747.331	65	RS	YELP				Y
291	Spectrogram 1	1	234377.658000000	234377.658000000	875.445	875.445	65	RS	YELP			Yelp - barks below as well/.	Y
292	Spectrogram 1	1	234376.687600000	234378.778200000	17.751	550.296	65	RS	BARK		8		Y
