	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
11	12	Spectrogram 1	1	2266.843095787	2267.571739003	162.791	1643.411	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.7286	166.6559	Y	2	1	Y	BY	BS >1KHZ	
12	13	Spectrogram 1	1	2304.83469893	2305.079673804	976.744	1395.349	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.245	204.6475	X	0	1	Y	Y	BS >1KHZ'	
13	14	Spectrogram 1	1	2360.383948836	2361.301034263	976.744	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.9171	260.1968	X	0	2	X	Y		
14	15	Spectrogram 1	1	3372.55297806	3372.835641377	775.194	1922.481	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2827	72.2523	X	0	1	X	Y		
15	16	Spectrogram 1	1	3374.556746904	3375.103229316	829.457	1945.736	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.5465	74.2561	X	0	1	X	Y		
16	17	Spectrogram 1	1	3376.246445397	3376.604485598	860.465	1868.217	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.358	75.9458	X	0	1	X	Y		
17	18	Spectrogram 1	1	3381.811844233	3382.270386946	1015.504	2294.574	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.4585	81.5112	X	0	1	X	Y		
18	19	Spectrogram 1	1	3383.162346745	3383.40732162	976.744	1759.69	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.245	82.8617	X	0	1	X	Y		
19	20	Spectrogram 1	1	3384.154809057	3384.44375378	992.248	1651.163	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2889	83.8541	X	0	1	X	Y		
20	21	Spectrogram 1	1	3385.423653278	3385.769130665	1232.558	1798.45	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.3455	85.123	X	0	1	X	Y		
21	22	Spectrogram 1	1	3386.706501956	3386.982883866	953.488	1418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2764	86.4058	X	0	1	X	Y		
22	23	Spectrogram 1	1	3387.717808489	3387.96906477	961.24	1635.659	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2513	87.4171	X	0	1	X	Y		
23	24	Spectrogram 1	1	3388.773084871	3388.961527082	1116.279	1511.628	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.1884	88.4724	X	0	1	X	Y		
24	25	Spectrogram 1	1	3389.715295926	3389.903738137	961.24	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.1884	89.4146	X	0	1	X	Y		
25	26	Spectrogram 1	1	3390.191995309	3390.436970184	984.496	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.245	89.8913	X	0	1	X	Y		
26	27	Spectrogram 1	1	3390.581442545	3390.882950083	875.969	1573.643	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.3015	90.2808	X	0	1	X	Y		
27	28	Spectrogram 1	1	3391.643000334	3391.957070686	976.744	1418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.3141	91.3423	X	0	1	X	Y		
28	29	Spectrogram 1	1	3392.767372194	3392.968377219	1139.535	1519.38	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.201	92.4667	X	0	1	X	Y		
29	30	Spectrogram 1	1	3417.312918938	3417.539049592	922.481	1403.101	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2261	117.0122	X	0	1	Y	Y	BS <1KHZ	
30	31	Spectrogram 1	1	3418.148346074	3418.374476727	852.713	1201.55	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2261	117.8477	X	0	1	Y	Y	BS <1KHZ	
31	32	Spectrogram 1	1	3419.674727983	3419.913421451	883.721	1465.116	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2387	119.3741	X	0	1	Y	Y	BS <1KHZ	
32	33	Spectrogram 1	1	3422.294074717	3422.56417522	852.713	1465.116	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2701	121.9934	X	0	1	Y	Y	BS <1KHZ	
33	34	Spectrogram 1	1	3426.977887442	3427.241706537	883.721	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.2638	126.6772	X	0	1	Y	Y	BS <1KHZ	
34	35	Spectrogram 1	1	3429.427636186	3429.67261106	883.721	1472.868	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	67145740.220517190337.wav	0.245	129.127	X	0	1	Y	Y	BS <1KHZ	
35	36	Spectrogram 1	1	4024.787784022	4025.070447339	558.14	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	67145740.220517191337.wav	0.2827	124.4536	X	0	1	X	Y		
36	37	Spectrogram 1	1	4033.69947608	4033.988420804	410.853	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	67145740.220517191337.wav	0.2889	133.3653	'	0	1	X	Y		
37	38	Spectrogram 1	1	4113.446889724	4113.685583191	155.039	1124.031	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	67145740.220517191337.wav	0.2387	213.1127	Y	1	0	X	B		
38	39	Spectrogram 1	1	4114.244628417	4114.715733945	108.527	1232.558	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	67145740.220517191337.wav	0.4711	213.9105	Y	1	1	X	BY		
39	40	Spectrogram 1	1	4115.023522889	4115.331311834	139.535	1232.558	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	67145740.220517191337.wav	0.3078	214.6894	Y	1	1	X	BY		
40	41	Spectrogram 1	1	4115.727040477	4115.940608317	93.023	1093.023	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517191337.wav	67145740.220517191337.wav	0.2136	215.3929	Y	1	0	X	B		
41	42	Spectrogram 1	1	4830.95162958	4831.234292897	930.233	1674.419	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517192837.wav	67145740.220517192837.wav	0.2827	30.546	X	0	1	X	Y		
42	43	Spectrogram 1	1	5774.215027469	5774.447439529	550.388	1170.543	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	67145740.220517194337.wav	0.2324	73.692	X	0	1	Y	Y	BS <1KHZ, LOUD	
43	44	Spectrogram 1	1	5778.373318926	5778.624575208	426.357	844.961	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	67145740.220517194337.wav	0.2513	77.8503	X	0	1	Y	Y	BS <1KHZ, LOUD	
44	45	Spectrogram 1	1	5779.874575208	5780.301710886	496.124	821.705	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	67145740.220517194337.wav	0.4271	79.3516	X	0	1	Y	Y	BS <1KHZ, LOUD	
45	46	Spectrogram 1	1	5785.705459876	5786.044655855	379.845	837.209	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	67145740.220517194337.wav	0.3392	85.1825	X	0	1	Y	Y	BS <1KHZ, LOUD	
46	47	Spectrogram 1	1	5788.90301034	5789.085171144	201.55	806.202	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	67145740.220517194337.wav	0.1822	88.38	X	1	0	Y	B	BS <1KHZ, LOUD	
47	48	Spectrogram 1	1	5790.209543003	5790.636678682	162.791	697.674	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194337.wav	67145740.220517194337.wav	0.4271	89.6865	X	1	1	Y	BY	BS <1KHZ, LOUD	
48	49	Spectrogram 1	1	6235.866933461	6236.865677179	54.264	418.605	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517194837.wav	67145740.220517194837.wav	0.9987	235.3744	Y	1	0	Y	G		
49	50	Spectrogram 1	1	6322.144036356	6323.375192135	46.512	612.403	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195337.wav	67145740.220517195337.wav	1.2312	21.576	X	1	0	Y	G	BS <1KHZ, LOUD	
50	51	Spectrogram 1	1	6783.776239402	6784.027495683	480.62	1139.535	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	67145740.220517195837.wav	0.2513	183.2272	X	0	1	X	Y		
51	52	Spectrogram 1	1	6802.220884106	6802.453296166	744.186	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	67145740.220517195837.wav	0.2324	201.6719	X	0	1	Y	Y	BS  >1KHZ	
52	53	Spectrogram 1	1	6802.773647925	6802.987215764	682.171	1217.054	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	67145740.220517195837.wav	0.2136	202.2246	X	0	1	Y	Y	BS  >1KHZ	
53	54	Spectrogram 1	1	6804.256059985	6804.501034859	906.977	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517195837.wav	67145740.220517195837.wav	0.245	203.7071	X	0	1	Y	Y	BS  >1KHZ	
54	55	Spectrogram 1	1	6964.574204415	6965.05159135	627.907	1449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517200337.wav	67145740.220517200337.wav	0.4774	63.9927	X	0	1	Y	Y	BS  <1KHZ	
55	57	Spectrogram 1	1	6967.469502824	6967.972015387	697.674	1279.07	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517200337.wav	67145740.220517200337.wav	0.5025	66.888	X	0	1	Y	Y	BS  <1KHZ	
56	58	Spectrogram 1	1	7507.736057148	7508.860429008	93.023	1930.233	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	1.1244	7.0702	Y	1	1	X	BY		
57	59	Spectrogram 1	1	7514.095338815	7514.880514694	139.535	1806.202	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.7852	13.4295	Y	1	1	X	BY		
58	60	Spectrogram 1	1	7516.600256444	7516.832668504	860.465	1193.798	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.2324	15.9344	X	0	1	X	Y		
59	61	Spectrogram 1	1	7518.04830221	7518.676442914	77.519	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.6281	17.3825	Y	1	1	X	BY		
60	62	Spectrogram 1	1	7518.915136381	7519.612372562	147.287	1480.62	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.6972	18.2493	Y	1	1	X	BY		
61	63	Spectrogram 1	1	7519.982975577	7520.617397688	100.775	2000.0	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.6344	19.3171	Y	1	1	X	BY		
62	64	Spectrogram 1	1	7521.151317286	7521.647548442	147.287	2031.008	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.4962	20.4855	Y	1	1	X	BY		
63	65	Spectrogram 1	1	7523.887965086	7524.465854533	527.132	1728.682	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.5779	23.2221	Y	1	1	X	BY		
64	66	Spectrogram 1	1	7524.81133192	7525.093995237	844.961	2031.008	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517201337.wav	67145740.220517201337.wav	0.2827	24.1455	X	0	1	X	Y		
65	67	Spectrogram 1	1	8632.798859956	8633.383030811	534.884	1635.659	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.5842	232.046	X	0	1	X	Y		
66	68	Spectrogram 1	1	8634.161925283	8634.771221765	426.357	1596.899	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.6093	233.4091	X	0	1	X	Y		
67	69	Spectrogram 1	1	8635.876749404	8636.43579463	527.132	1449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.559	235.1239	X	0	1	X	Y		
68	70	Spectrogram 1	1	8637.440819755	8637.754890107	813.953	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.3141	236.688	X	0	1	X	Y		
69	71	Spectrogram 1	1	8669.912077256	8670.320368714	968.992	1472.868	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.4083	269.1592	X	0	1	X	Y		
70	72	Spectrogram 1	1	8671.312831025	8671.570368714	984.496	1689.922	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.2575	270.56	X	0	1	X	Y		
71	73	Spectrogram 1	1	8673.065343588	8673.278911427	883.721	1503.876	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.2136	272.3125	X	0	1	X	Y		
72	74	Spectrogram 1	1	8674.547755648	8674.792730523	829.457	1666.667	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.245	273.7949	X	0	1	X	Y		
73	75	Spectrogram 1	1	8676.155795849	8676.312831025	922.481	1496.124	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.157	275.403	X	0	1	X	Y		
74	76	Spectrogram 1	1	8677.003785799	8677.305293337	790.698	1480.62	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.3015	276.2509	X	0	1	X	Y		
75	77	Spectrogram 1	1	8679.476830431	8679.759493748	992.248	2286.822	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.2827	278.724	X	0	1	X	Y		
76	78	Spectrogram 1	1	8687.435967737	8687.580440099	1046.512	1310.078	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.1445	286.6831	X	0	1	X	Y		
77	79	Spectrogram 1	1	8689.973656179	8690.275163717	775.194	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.3015	289.2208	X	0	1	X	Y		
78	80	Spectrogram 1	1	8691.939736581	8692.128178792	767.442	1069.767	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517202837.wav	67145740.220517202837.wav	0.1884	291.1869	X	0	1	X	Y		
79	81	Spectrogram 1	1	8702.105711357	8702.37581186	860.465	1573.643	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	67145740.220517203337.wav	0.2701	1.3482	X	0	1	X	Y		
80	82	Spectrogram 1	1	8704.637118392	8704.812997789	1046.512	1333.333	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	67145740.220517203337.wav	0.1759	3.8796	X	0	1	X	Y		
81	83	Spectrogram 1	1	8713.253714571	8713.59291055	790.698	1356.589	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	67145740.220517203337.wav	0.3392	12.4962	X	0	1	Y	Y	BS <1KHZ	
82	84	Spectrogram 1	1	8999.360634313	8999.7061117	69.767	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	67145740.220517203337.wav	0.3455	298.6031	Y	1	0	X	B		
83	85	Spectrogram 1	1	9000.00133783	9000.604352906	38.76	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203337.wav	67145740.220517203337.wav	0.603	299.2438	Y	1	0	X	G		
84	86	Spectrogram 1	1	9023.257754489	9023.458759515	821.705	1341.085	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.201	22.4513	X	0	1	X	Y		
85	87	Spectrogram 1	1	9035.390149121	9036.935375251	69.767	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	1.5452	34.5836	Y	1	1	X	BY		
86	88	Spectrogram 1	1	9114.584746612	9115.212887315	643.411	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.6281	113.7782	X	0	2	X	Y		
87	89	Spectrogram 1	1	9115.658867215	9115.998063195	627.907	1806.202	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.3392	114.8524	X	0	1	X	Y		
88	90	Spectrogram 1	1	9116.044832803	9118.406641848	108.527	1372.093	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	2.3618	115.2383	Y	7	0	X	B		
89	91	Spectrogram 1	1	9123.226681487	9123.459093548	705.426	1108.527	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2324	122.4202	X	0	1	X	Y		
90	92	Spectrogram 1	1	9128.388255369	9128.714888535	108.527	1201.55	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.3266	127.5818	Y	1	0	X	B		
91	93	Spectrogram 1	1	9134.07481585	9135.513258061	713.178	1728.682	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	1.4384	133.2683	X	0	2	X	Y		
92	94	Spectrogram 1	1	9139.075118809	9140.984666547	62.016	1627.907	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	1.9095	138.2686	Y	1	3	X	BY	GOOD	
93	95	Spectrogram 1	1	9144.132482482	9144.911376955	124.031	1930.233	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.7789	143.326	Y	1	1	X	BY		
94	96	Spectrogram 1	1	9145.243081586	9145.883785104	705.426	1589.147	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.6407	144.4366	X	0	1	X	Y		
95	97	Spectrogram 1	1	9146.122478571	9146.455393144	93.023	1658.915	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.3329	145.316	Y	1	0	X	B	EXCELLENT	
96	99	Spectrogram 1	1	9147.198265911	9147.870376464	108.527	2852.713	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.6721	146.3918	X	0	1	X	Y		
97	100	Spectrogram 1	1	9149.632432651	9150.090975364	116.279	1379.845	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.4585	148.8259	Y	1	1	X	BY		
98	101	Spectrogram 1	1	9150.317106018	9150.851025616	651.163	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.5339	149.5106	X	0	1	X	Y		
99	102	Spectrogram 1	1	9151.297005515	9151.749266822	651.163	1542.636	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.4523	150.4905	X	0	1	X	Y		
100	103	Spectrogram 1	1	9152.496754259	9153.093487927	596.899	2015.504	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.5967	151.6902	X	0	1	X	Y		
101	104	Spectrogram 1	1	9158.214111142	9158.440241795	1038.76	1286.822	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2261	157.4076	X	0	1	X	Y		
102	105	Spectrogram 1	1	9163.228632326	9163.486170015	906.977	1364.341	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2575	162.4221	X	0	1	X	Y		
103	106	Spectrogram 1	1	9163.969838357	9164.378129814	410.853	2007.752	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.4083	163.1633	X	0	1	X	Y		
104	107	Spectrogram 1	1	9165.389436346	9165.672099663	705.426	1651.163	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2827	164.5829	X	0	1	X	Y		
105	108	Spectrogram 1	1	9175.445305055	9175.627465859	147.287	976.744	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.1822	174.6388	Y	1	0	X	B	GOOD	
106	109	Spectrogram 1	1	9184.702884368	9184.947859242	751.938	1255.814	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.245	183.8964	X	0	1	X	Y		
107	110	Spectrogram 1	1	9187.510673312	9187.743085373	395.349	1147.287	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2324	186.7042	X	0	1	X	Y		
108	111	Spectrogram 1	1	9188.446602961	9188.823487383	604.651	1821.705	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.3769	187.6401	X	0	1	X	Y		
109	112	Spectrogram 1	1	9191.688628676	9191.9775734	635.659	1162.791	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2889	190.8821	X	0	1	X	Y		
110	113	Spectrogram 1	1	9197.109197923	9197.467238124	736.434	1937.984	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.358	196.3027	X	0	1	X	Y		
111	114	Spectrogram 1	1	9197.85668536	9198.315228074	728.682	1333.333	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.4585	197.0502	X	0	1	X	Y		
112	115	Spectrogram 1	1	9201.443368777	9201.656936616	883.721	1472.868	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2136	200.6369	X	0	1	X	Y		
113	116	Spectrogram 1	1	9209.708937858	9209.840847405	1031.008	1387.597	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.1319	208.9024	X	0	1	X	Y		
114	117	Spectrogram 1	1	9210.437581074	9210.688837355	790.698	1449.612	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2513	209.6311	X	0	1	X	Y		
115	118	Spectrogram 1	1	9221.605247502	9221.869066598	77.519	1209.302	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.2638	220.7988	X	1	0	Y	B	GOOD BARK, OVERLAP <1KHZ	
116	119	Spectrogram 1	1	9231.348843783	9232.071205592	116.279	1434.109	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.7224	230.5423	Y	1	3	X	BY		
117	120	Spectrogram 1	1	9232.523466898	9233.371456848	108.527	1612.403	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.848	231.717	Y	1	1	X	BY		
118	121	Spectrogram 1	1	9237.409412008	9237.761170802	705.426	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517203837.wav	67145740.220517203837.wav	0.3518	236.6029	X	0	1	X	Y		
