Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
32	Spectrogram 1	1	4381.679207000	4381.955589000	318.801	817.439	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	X	0	1	Y	Y		
33	Spectrogram 1	1	4383.934362000	4385.253457000	114.441	1822.888	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	X	2	3	Y	BY		
34	Spectrogram 1	1	4386.315015000	4386.804965000	98.093	1201.635	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	X	1	1	Y	BY		
35	Spectrogram 1	1	4403.111499000	4404.543660000	32.698	1798.365	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	Y	2	2	Y	BY		
36	Spectrogram 1	1	4566.803857000	4567.011143000	98.093	1267.030	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	1	0	X	B		
37	Spectrogram 1	1	4571.295063000	4571.470942000	65.395	874.659	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	1	0	X	B		
38	Spectrogram 1	1	4625.683038000	4626.970726000	57.221	2043.597	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	2	2	X	BY		
39	Spectrogram 1	1	4631.886533000	4632.200603000	465.940	1814.714	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	X	0	1	X	Y		
40	Spectrogram 1	1	4638.966257000	4640.718770000	0.000	1528.610	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	3	3	X	BY	GOOD	
41	Spectrogram 1	1	4648.730142000	4649.163559000	81.744	1226.158	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	1	1	X	BY		
42	Spectrogram 1	1	4656.347133000	4656.560701000	32.698	1831.063	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	1	0	X	B		
43	Spectrogram 1	1	4656.975273000	4657.716479000	49.046	1128.065	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	2	2	X	BY		
44	Spectrogram 1	1	4664.712307000	4664.900749000	49.046	792.916	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	1	0	Y	B		
45	Spectrogram 1	1	4665.503764000	4666.690950000	16.349	1561.308	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	Y	2	2	Y	BY		
46	Spectrogram 1	1	4832.024512000	4833.789588000	65.395	449.591	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517195202.wav	Y	1	0	X	G		
47	Spectrogram 1	1	4918.986347000	4920.236347000	8.174	408.719	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517195202.wav	Y	1	0	Y	G		
48	Spectrogram 1	1	5524.328801000	5525.019755000	81.744	482.289	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517200202.wav	Y	1	0	X	G		
49	Spectrogram 1	1	5841.049648000	5841.269498000	57.221	727.520	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517200702.wav	Y	1	0	X	B		
50	Spectrogram 1	1	6104.436286000	6104.668698000	106.267	817.439	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	Y	1	0	X	B		
51	Spectrogram 1	1	6105.051864000	6105.447592000	98.093	858.311	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	Y	2	0	X	B		
52	Spectrogram 1	1	6106.534276000	6106.779251000	89.918	653.951	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	Y	1	0	Y	B		
54	Spectrogram 1	1	6122.990656000	6123.229350000	1079.019	1618.529	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	X	0	1	X	Y		
55	Spectrogram 1	1	6122.023319000	6122.324827000	768.392	1536.785	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	X	0	1	X	Y		
56	Spectrogram 1	1	7290.642448000	7293.054508000	57.221	1193.460	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203202.wav	Y	1	1	X	BY		
57	Spectrogram 1	1	7715.548508000	7715.705543000	57.221	907.357	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	Y	1	0	X	B		
58	Spectrogram 1	1	7716.170367000	7716.333684000	65.395	792.916	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	Y	1	0	X	B		
59	Spectrogram 1	1	7717.426648000	7717.621372000	89.918	1111.717	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	Y	1	0	X	B		
60	Spectrogram 1	1	7716.616347000	7716.848759000	98.093	784.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	Y	1	0	X	B		
61	Spectrogram 1	1	7743.843955000	7744.076367000	49.046	719.346	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	Y	1	0	X	B		
62	Spectrogram 1	1	7745.414306000	7745.609030000	57.221	727.520	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	Y	1	0	X	B		
63	Spectrogram 1	1	7746.544960000	7746.777372000	1005.450	1422.343	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	X	0	1	X	Y		
64	Spectrogram 1	1	7796.401619000	7796.621468000	694.823	1079.019	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	X	0	1	X	Y		
65	Spectrogram 1	1	7809.579939000	7809.843758000	1046.322	1397.820	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	X	0	1	X	Y		
66	Spectrogram 1	1	7830.850076000	7831.032237000	81.744	727.520	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	Y	1	0	X	B		
67	Spectrogram 1	1	7832.313644000	7832.564900000	73.569	531.335	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	Y	1	0	X	B		
68	Spectrogram 1	1	7831.861382000	7832.109598000	833.787	1152.589	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	X	0	1	X	Y		
69	Spectrogram 1	1	7839.578191000	7839.779196000	915.531	1160.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	X	0	1	X	Y		
70	Spectrogram 1	1	8771.600566000	8771.820415000	711.172	1038.147	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517205702.wav	X	0	1	X	Y		
71	Spectrogram 1	1	8807.482647000	8807.671089000	1152.589	1389.646	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517205702.wav	X	0	1	X	Y		
72	Spectrogram 1	1	8808.864556000	8809.046717000	1046.322	1455.041	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517205702.wav	X	0	1	X	Y		
73	Spectrogram 1	1	9053.276696000	9053.879711000	73.569	335.150	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210202.wav	Y	1	0	X	G		
74	Spectrogram 1	1	9054.206344000	9054.602073000	57.221	294.278	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210202.wav	Y	1	0	X	G		
75	Spectrogram 1	1	9440.674426000	9441.528697000	874.659	2288.828	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	X	0	1	X	Y		
76	Spectrogram 1	1	9443.274928000	9444.242265000	760.218	1479.564	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	X	0	1	X	Y		
77	Spectrogram 1	1	9451.839398000	9452.115780000	719.346	1634.877	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	X	0	1	X	Y		
78	Spectrogram 1	1	9453.001459000	9453.265278000	702.997	1561.308	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	X	0	1	X	Y		
79	Spectrogram 1	1	9454.088142000	9454.364524000	686.649	1316.076	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	X	0	1	X	Y		
80	Spectrogram 1	1	9455.294172000	9455.532866000	564.033	1299.728	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	X	0	1	X	Y		
81	Spectrogram 1	1	9960.167255000	9960.336853000	752.044	1038.147	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517211702.wav	X	0	1	X	Y		
82	Spectrogram 1	1	10179.078470000	10179.725460000	49.046	719.346	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517211702.wav	Y	1	0	X	G		
83	Spectrogram 1	1	10595.552190000	10595.853700000	989.101	1708.447	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517212702.wav	X	0	1	X	Y		
84	Spectrogram 1	1	10707.675280000	10708.988100000	24.523	400.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517212702.wav	Y	1	0	Y	G		
85	Spectrogram 1	1	13181.331550000	13181.633060000	482.289	899.183	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517220702.wav	X	0	1	X	Y		
86	Spectrogram 1	1	13371.924190000	13372.514640000	662.125	1896.458	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	X	0	1	X	Y		
87	Spectrogram 1	1	13382.214650000	13382.911890000	637.602	2043.597	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	X	0	1	X	Y		
88	Spectrogram 1	1	13428.076960000	13428.460130000	506.812	1912.807	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	X	0	1	Y	Y		
89	Spectrogram 1	1	13437.307790000	13437.678390000	702.997	1160.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	X	0	1	Y	Y		
90	Spectrogram 1	1	13438.953510000	13439.298990000	621.253	964.578	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	X	0	1	Y	Y		
91	Spectrogram 1	1	13445.163300000	13446.381900000	73.569	1749.319	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	Y	2	2	Y	BY	FAINT OVERLAP	
92	Spectrogram 1	1	13493.831210000	13494.534730000	825.613	1822.888	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	X	0	1	X	Y		
93	Spectrogram 1	1	13504.779630000	13505.238170000	637.602	1046.322	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221702.wav	X	0	1	X	Y		
94	Spectrogram 1	1	13510.292580000	13510.543840000	523.161	1602.180	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221702.wav	X	0	1	X	Y		
95	Spectrogram 1	1	13516.234210000	13516.523150000	752.044	1070.845	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221702.wav	X	0	1	X	Y		
96	Spectrogram 1	1	15074.197300000	15074.611880000	81.744	580.381	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	2	0	X	B		
97	Spectrogram 1	1	15072.381980000	15073.355600000	89.918	441.417	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	X	3	0	X	B	TOO FAINT	
98	Spectrogram 1	1	15075.911750000	15076.979590000	49.046	490.463	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	X	3	0	Y	B		
99	Spectrogram 1	1	15078.575070000	15079.222060000	98.093	433.243	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	X	2	0	Y	B		
100	Spectrogram 1	1	15080.214520000	15081.024820000	106.267	416.894	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	3	0	X	B		
101	Spectrogram 1	1	15085.981590000	15086.389890000	98.093	572.207	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	2	0	X	B		
102	Spectrogram 1	1	15086.999180000	15087.715260000	98.093	465.940	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	3	0	X	B		
103	Spectrogram 1	1	15088.079580000	15088.600940000	130.790	506.812	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	2	0	X	B		
104	Spectrogram 1	1	15089.637370000	15090.604710000	98.093	564.033	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	3	0	X	B		
105	Spectrogram 1	1	15091.572050000	15091.754210000	179.837	523.161	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	1	0	X	B		
106	Spectrogram 1	1	15095.851890000	15097.717470000	147.139	1144.414	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	5	2	X	BY		
107	Spectrogram 1	1	15094.520230000	15094.721240000	752.044	1373.297	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	X	0	1	X	Y		
108	Spectrogram 1	1	15108.275220000	15109.035270000	73.569	433.243	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	Y	1	0	X	G		
109	Spectrogram 1	1	15537.459140000	15537.854870000	833.787	1152.589	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224702.wav	X	0	1	Y	Y		
110	Spectrogram 1	1	15771.936970000	15772.301290000	32.698	310.627	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517225202.wav	X	1	0	X	G		
111	Spectrogram 1	1	16486.990990000	16487.725910000	670.300	1659.401	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517230202.wav	X	0	1	X	Y		
113	Spectrogram 1	1	16565.319770000	16565.627560000	49.046	376.022	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517230702.wav	X	1	0	X	G	TOO FAINT	
114	Spectrogram 1	1	17101.533600000	17101.935610000	188.011	2664.850	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
115	Spectrogram 1	1	17102.205710000	17102.500930000	825.613	1479.564	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	Y	1	1	X	BY		
116	Spectrogram 1	1	17104.536110000	17105.032340000	743.869	1103.542	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
118	Spectrogram 1	1	17113.649370000	17113.982290000	784.741	1291.553	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	Y	Y		
119	Spectrogram 1	1	17121.729160000	17121.955290000	850.136	1111.717	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
120	Spectrogram 1	1	17124.185190000	17124.442730000	621.253	1152.589	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
121	Spectrogram 1	1	17125.535690000	17125.868610000	670.300	1185.286	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
122	Spectrogram 1	1	17127.847250000	17128.236700000	613.079	1405.995	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
123	Spectrogram 1	1	17128.984180000	17129.241720000	555.858	1520.436	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
124	Spectrogram 1	1	17134.733040000	17135.040830000	874.659	1405.995	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
125	Spectrogram 1	1	17143.109920000	17143.430270000	547.684	1307.902	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	X	0	1	X	Y		
126	Spectrogram 1	1	18008.482400000	18011.095470000	16.393	1631.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	X	3	3	Y	BY		
127	Spectrogram 1	1	18012.259040000	18012.566830000	32.787	1418.033	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	Y	1	1	X	BY		
128	Spectrogram 1	1	18014.771610000	18015.167340000	81.967	1442.623	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	Y	1	1	X	BY		
129	Spectrogram 1	1	18013.640950000	18013.936180000	745.902	1319.672	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	X	0	1	X	Y		
130	Spectrogram 1	1	18015.269950000	18017.336530000	0.000	1614.754	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	Y	4	4	Y	BY		
132	Spectrogram 1	1	18017.704720000	18019.319040000	122.951	1254.098	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517233202.wav	Y	4	1	Y	BY		
133	Spectrogram 1	1	18780.670990000	18781.305420000	122.951	409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517234202.wav	Y	1	0	X	G		
134	Spectrogram 1	1	20273.743450000	20273.969580000	909.836	1237.705	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	X	0	1	Y	Y		
135	Spectrogram 1	1	20274.723350000	20274.999730000	950.820	1319.672	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	X	0	1	Y	Y		
136	Spectrogram 1	1	20280.769550000	20281.202960000	57.377	1344.262	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	Y	1	1	X	BY		
137	Spectrogram 1	1	20282.394080000	20282.714430000	868.852	1500.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	X	0	1	X	Y		
138	Spectrogram 1	1	20284.882500000	20286.377480000	73.770	1459.016	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	Y	4	1	X	BY		
139	Spectrogram 1	1	20286.647580000	20287.200340000	114.754	1409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	Y	1	1	X	BY		
140	Spectrogram 1	1	20287.514410000	20287.822200000	106.557	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	Y	1	1	X	BY		
141	Spectrogram 1	1	20289.241800000	20290.033260000	106.557	1532.787	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	Y	2	2	X	BY		
142	Spectrogram 1	1	20288.412660000	20288.613660000	786.885	1139.344	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518000702.wav	X	0	1	X	Y		
143	Spectrogram 1	1	20921.129120000	20921.462040000	1032.787	1680.328	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518001702.wav	X	0	1	X	Y		
144	Spectrogram 1	1	21024.648820000	21024.805860000	754.098	1131.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002202.wav	X	0	1	X	Y		
145	Spectrogram 1	1	21025.911390000	21026.275710000	786.885	1172.131	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002202.wav	X	0	1	X	Y		
146	Spectrogram 1	1	21445.985630000	21446.607490000	573.770	1196.721	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002702.wav	X	0	1	Y	Y		
147	Spectrogram 1	1	21447.097440000	21447.505730000	606.557	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002702.wav	X	0	1	Y	Y		
148	Spectrogram 1	1	21534.213860000	21534.433710000	737.705	1336.066	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518002702.wav	X	0	1	Y	Y		
149	Spectrogram 1	1	21886.783320000	21887.153920000	770.492	1409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518003202.wav	X	0	1	X	Y		
150	Spectrogram 1	1	21888.636340000	21889.000660000	663.934	1106.557	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518003202.wav	X	0	1	X	Y		
151	Spectrogram 1	1	23568.196200000	23568.535400000	975.410	1631.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
152	Spectrogram 1	1	23569.006500000	23569.314290000	959.016	1524.590	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
153	Spectrogram 1	1	23569.659770000	23570.042930000	983.607	1500.000	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
154	Spectrogram 1	1	23572.976350000	23573.171080000	1098.361	1286.885	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
155	Spectrogram 1	1	23571.041680000	23571.255250000	778.689	1254.098	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
156	Spectrogram 1	1	23588.300030000	23588.563850000	778.689	1393.443	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
157	Spectrogram 1	1	23589.436970000	23589.644250000	901.639	1434.426	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
158	Spectrogram 1	1	23593.381690000	23593.626660000	877.049	1491.803	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	1	X	Y		
159	Spectrogram 1	1	23594.148020000	23595.146770000	827.869	1409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010202.wav	X	0	3	X	Y		
160	Spectrogram 1	1	23860.797190000	23861.111260000	860.656	1204.918	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518010702.wav	X	0	1	X	Y		
161	Spectrogram 1	1	24316.980420000	24317.376140000	754.098	1131.148	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220518011702.wav	X	0	1	X	Y		
