	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	BILL CHECK
10	11	Spectrogram 1	1	1070.94705609	1071.62544805	575.448	1680.307	0.6784	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	170.8332	X	0	2	X	Y		
11	12	Spectrogram 1	1	1080.020517677	1080.221522702	713.555	1097.187	0.201	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	179.9067	X	0	1	X	Y		
12	13	Spectrogram 1	1	1081.232829235	1082.11222622	122.762	1595.908	0.8794	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	181.119	Y	1	1	X	BY		
13	14	Spectrogram 1	1	1089.242771824	1089.537997955	153.453	859.335	0.2952	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	189.1289	Y	1	0	X	B		
14	15	Spectrogram 1	1	1202.833421296	1204.070858482	92.072	1258.312	1.2374	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	2.7281	Y	3	2	X	BY		
15	16	Spectrogram 1	1	1253.904184709	1254.243380688	790.281	1442.455	0.3392	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	53.7989	X	0	1	X	Y		
16	17	Spectrogram 1	1	1254.281069131	1254.551169633	767.263	1457.801	0.2701	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	54.1757	X	0	1	X	Y		
17	18	Spectrogram 1	1	1262.225309894	1262.872294819	153.453	1289.003	0.647	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	62.12	Y	1	1	X	BY		
18	19	Spectrogram 1	1	1457.53834393	1457.726786141	774.936	1081.841	0.1884	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	257.433	X	0	1	X	Y		
19	20	Spectrogram 1	1	1459.077288653	1459.805931869	659.847	1089.514	0.7286	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	258.972	X	0	1	X	Y		
20	21	Spectrogram 1	1	1463.758111196	1464.197809688	805.627	1112.532	0.4397	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	263.6528	X	0	1	X	Y		
21	22	Spectrogram 1	1	1475.969534985	1476.46576614	76.726	2984.655	0.4962	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	275.8642	Y	1	2	Y	BY	VERY CLOSE, FAINT BS <1KHZ	
22	23	Spectrogram 1	1	1476.63536413	1476.987122924	61.381	2961.637	0.3518	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	276.53	Y	1	2	Y	BY	VERY CLOSE, faint bs <1khz	
23	24	Spectrogram 1	1	1478.566473268	1479.816473268	61.381	2923.274	1.25	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	278.4611	Y	2	2	X	BY	VERY CLOSE	
24	25	Spectrogram 1	1	1485.979093116	1486.305726281	345.269	2363.171	0.3266	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	285.8738	X	0	1	X	Y		
25	26	Spectrogram 1	1	1489.816479877	1490.450901988	84.399	2884.91	0.6344	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	289.7111	Y	1	2	Y	BY	BS >1KHZ	
26	27	Spectrogram 1	1	1499.456015078	1500.322849249	0.0	2861.893	0.8668	67145740.220515111330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111330.wav	299.3507	Y	2	2	X	BY		
27	28	Spectrogram 1	1	1501.038929651	1502.263804023	107.417	2992.327	1.2249	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	0.8624	Y	2	2	X	BY		
28	29	Spectrogram 1	1	1502.805061132	1503.006066157	115.09	2616.368	0.201	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	2.6286	Y	2	0	Y	B	CLOSE, BS >1KHZ	
29	30	Spectrogram 1	1	1503.818573778	1504.289679305	161.125	2923.274	0.4711	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	3.6421	Y	1	1	Y	BY	FAINT BS<1KHZ	
30	31	Spectrogram 1	1	1504.559779808	1504.892694381	92.072	2861.893	0.3329	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	4.3833	Y	1	1	Y	BY	FAINT BS <1KHZ	
31	32	Spectrogram 1	1	1524.465549271	1524.873840728	115.09	2370.844	0.4083	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	24.2891	Y	1	1	X	BY		
32	33	Spectrogram 1	1	1525.300976406	1525.564795502	84.399	2815.857	0.2638	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	25.1245	Y	1	0	X	B		
33	34	Spectrogram 1	1	1528.55625815	1529.052489306	130.769	2284.615	0.4962	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	28.3798	Y	1	1	X	BY		
34	35	Spectrogram 1	1	1532.215815989	1533.000991868	46.154	2915.385	0.7852	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	32.0393	Y	2	1	X	BY		
35	36	Spectrogram 1	1	1534.232604443	1534.590644644	184.615	2369.231	0.358	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	34.0561	X	0	1	X	Y		
36	37	Spectrogram 1	1	1534.76652404	1535.31928786	69.231	1184.615	0.5528	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	34.59	Y	2	0	X	B		
37	38	Spectrogram 1	1	1536.068970085	1536.339070588	130.769	1684.615	0.2701	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	35.8925	Y	1	0	X	B		
38	39	Spectrogram 1	1	1535.654397221	1535.886809281	107.692	1976.923	0.2324	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	35.4779	Y	1	0	X	B		
39	40	Spectrogram 1	1	1545.050239452	1545.659535935	69.231	1338.462	0.6093	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	44.8737	Y	2	0	X	B		
40	41	Spectrogram 1	1	1552.739497558	1553.600050322	84.615	1684.615	0.8606	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	52.563	Y	2	1	X	BY		
41	42	Spectrogram 1	1	1557.602092091	1557.853348372	353.846	1338.462	0.2513	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	57.4256	X	0	1	X	Y		
42	43	Spectrogram 1	1	1560.316034144	1560.793421079	207.692	2676.923	0.4774	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	60.1395	X	0	1	X	Y		
43	44	Spectrogram 1	1	1562.929099471	1563.104978868	515.385	800.0	0.1759	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	62.7526	X	0	1	X	Y		
44	45	Spectrogram 1	1	1563.795933642	1564.248194949	438.462	1007.692	0.4523	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	63.6194	X	0	1	X	Y		
45	46	Spectrogram 1	1	1561.93663716	1562.206737662	169.231	838.462	0.2701	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	61.7601	Y	1	0	X	B		
46	47	Spectrogram 1	1	1561.42784319	1561.760757763	146.154	1192.308	0.3329	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	61.2513	Y	1	0	X	B		
47	48	Spectrogram 1	1	1561.044677361	1561.270808014	153.846	438.462	0.2261	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	60.8682	Y	1	0	X	B		
48	49	Spectrogram 1	1	1569.662432302	1569.888562955	646.154	1792.308	0.2261	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	69.4859	X	0	1	X	Y		
49	50	Spectrogram 1	1	1576.741347468	1577.878282142	92.308	1600.0	1.1369	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	76.5648	Y	1	1	X	BY		
50	51	Spectrogram 1	1	1580.180456753	1580.381461778	407.692	1384.615	0.201	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	80.004	X	0	1	X	Y		
51	52	Spectrogram 1	1	1581.16035625	1581.355079868	138.462	553.846	0.1947	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	80.9839	Y	1	0	X	B		
52	53	Spectrogram 1	1	1581.744527104	1581.951813536	130.769	546.154	0.2073	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	81.568	Y	1	0	X	B		
53	54	Spectrogram 1	1	1582.762115044	1582.975682883	123.077	592.308	0.2136	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	82.5856	Y	1	0	X	B		
54	55	Spectrogram 1	1	1583.911612531	1584.100054742	61.538	700.0	0.1884	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	83.7351	Y	1	0	X	B		
55	56	Spectrogram 1	1	1585.167893938	1585.375180371	30.769	669.231	0.2073	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	84.9914	Y	1	0	X	B		
56	57	Spectrogram 1	1	1587.808653896	1588.066191585	30.769	653.846	0.2575	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	87.6322	Y	1	0	X	B		
57	58	Spectrogram 1	1	1588.688050881	1588.920462942	61.538	938.462	0.2324	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	88.5116	Y	1	0	X	B		
58	59	Spectrogram 1	1	1590.855136308	1591.04357852	53.846	600.0	0.1884	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	90.6786	Y	1	0	X	B		
59	60	Spectrogram 1	1	1592.154563163	1592.386975224	53.846	600.0	0.2324	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	91.9781	Y	1	0	X	B		
60	61	Spectrogram 1	1	1595.349225625	1595.493697987	530.769	869.231	0.1445	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	95.1727	X	0	1	X	Y		
61	62	Spectrogram 1	1	1596.172089947	1596.322843716	684.615	923.077	0.1508	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	95.9956	X	0	1	X	Y		
62	63	Spectrogram 1	1	1597.296461806	1597.453496982	769.231	946.154	0.157	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	97.12	X	0	1	X	Y		
63	64	Spectrogram 1	1	1598.207265826	1599.143195474	700.0	1200.0	0.9359	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	98.0308	X	0	1	X	Y		
64	65	Spectrogram 1	1	1599.324674389	1599.544523636	92.308	569.231	0.2198	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	99.1482	Y	1	0	X	B		
65	66	Spectrogram 1	1	1600.405076399	1600.587237203	69.231	623.077	0.1822	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	100.2286	Y	1	0	X	B		
66	67	Spectrogram 1	1	1601.805830168	1602.025679414	92.308	615.385	0.2198	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	101.6293	Y	1	0	X	B		
67	68	Spectrogram 1	1	1605.745560185	1606.273198376	53.846	1969.231	0.5276	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	105.5691	Y	1	1	X	BY		
68	69	Spectrogram 1	1	1606.39254511	1607.13375114	30.769	1553.846	0.7412	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	106.216	Y	2	1	X	BY		
69	70	Spectrogram 1	1	1613.123782709	1613.431571653	76.923	1053.846	0.3078	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	112.9473	Y	1	0	X	B		
70	71	Spectrogram 1	1	1635.886673894	1636.062553291	661.538	1076.923	0.1759	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	135.7102	X	0	1	X	Y		
71	72	Spectrogram 1	1	1643.08922193	1643.685955598	592.308	1223.077	0.5967	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	142.9127	X	0	1	X	Y		
72	73	Spectrogram 1	1	1644.439724442	1645.005051075	769.231	1300.0	0.5653	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	144.2632	X	0	1	X	Y		
73	74	Spectrogram 1	1	1645.538277539	1646.222950906	146.154	446.154	0.6847	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	145.3618	Y	1	0	X	G		
74	75	Spectrogram 1	1	1674.859692151	1675.173762503	561.538	938.462	0.3141	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	174.6832	X	0	1	X	Y		
75	76	Spectrogram 1	1	1684.608154302	1684.991320131	100.0	1807.692	0.3832	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	184.4317	X	0	1	X	Y		
76	77	Spectrogram 1	1	1686.688266294	1687.661884385	30.769	884.615	0.9736	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	186.5118	Y	2	0	X	B		
77	78	Spectrogram 1	1	1696.477921975	1696.936464688	484.615	1376.923	0.4585	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	196.3014	X	0	1	X	Y		
78	79	Spectrogram 1	1	1698.487972226	1698.77691695	830.769	1523.077	0.2889	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	198.3115	X	0	1	X	Y		
79	80	Spectrogram 1	1	1740.018572045	1740.376612246	1061.538	1592.308	0.358	67145740.220515111830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515111830.wav	239.8421	X	0	1	Y	Y	BS<1KHZ	
80	81	Spectrogram 1	1	1951.020282452	1951.730081447	15.385	546.154	0.7098	67145740.220515112330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515112330.wav	150.8759	Y	1	0	X	G		
81	82	Spectrogram 1	1	2042.950188458	2043.647424639	23.077	2723.077	0.6972	67145740.220515112330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515112330.wav	242.8059	Y	1	1	X	BY		
82	83	Spectrogram 1	1	2046.109736196	2046.56827891	346.154	2930.769	0.4585	67145740.220515112330.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515112330.wav	245.9654	X	0	1	X	Y		
83	84	Spectrogram 1	1	3655.735461709	3655.967873769	646.154	1107.692	0.2324	67145740.220515115331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515115331.wav	55.3948	X	0	1	X	Y		
84	85	Spectrogram 1	1	3769.552319789	3769.941767025	623.077	1476.923	0.3894	67145740.220515115331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515115331.wav	169.2117	X	0	1	X	Y		
85	86	Spectrogram 1	1	4927.066864862	4950.660430887	176.923	1500.0	23.5936	67145740.220515121331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515121331.wav	126.6767	X	0	0	X	Y	SCRATCHING - DO NOT USE AS NEG SAMPLES	
86	87	Spectrogram 1	1	5377.188587116	5377.307933849	1061.538	1284.615	0.1193	67145740.220515121831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515121831.wav	276.7551	X	0	1	X	Y		
87	88	Spectrogram 1	1	6351.756370337	6351.913405513	1107.692	1523.077	0.157	67145740.220515123831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515123831.wav	51.196	X	0	1	X	Y		
88	89	Spectrogram 1	1	6516.948500151	6517.199756432	807.692	1176.923	0.2513	67145740.220515123831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515123831.wav	216.3882	X	0	1	X	Y		
89	90	Spectrogram 1	1	7013.818377789	7014.251794874	123.077	1500.0	0.4334	67145740.220515124831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515124831.wav	113.1734	Y	1	1	X	BY	FAINT	
90	91	Spectrogram 1	1	7014.729181809	7014.961593869	430.769	607.692	0.2324	67145740.220515124831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515124831.wav	114.0842	X	0	1	X	Y		
91	92	Spectrogram 1	1	7382.029196116	7382.179949884	530.769	1038.462	0.1508	67145740.220515125331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125331.wav	181.418	X	0	1	X	Y		
92	93	Spectrogram 1	1	7775.605981381	7776.422564295	430.769	2715.385	0.8166	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	274.9373	X	0	2	X	Y		
93	94	Spectrogram 1	1	7778.82705633	7779.310724672	38.462	2561.538	0.4837	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	278.1584	Y	1	1	X	BY		
94	95	Spectrogram 1	1	7781.805950502	7782.251930401	69.231	2815.385	0.446	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	281.1373	Y	1	1	X	BY		
95	96	Spectrogram 1	1	7784.621621997	7785.155541595	61.538	2853.846	0.5339	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	283.953	Y	1	1	X	BY		
96	97	Spectrogram 1	1	7785.53460948	7786.652699933	69.231	2476.923	1.1181	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	284.8659	Y	2	2	X	BY		
97	98	Spectrogram 1	1	7786.909638313	7787.173457408	61.538	1692.308	0.2638	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	286.241	Y	1	0	X	B	GOOD	
98	99	Spectrogram 1	1	7787.726221228	7787.958633288	100.0	1507.692	0.2324	67145740.220515125831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515125831.wav	287.0576	Y	1	0	X	B	GOOD	
99	100	Spectrogram 1	1	8440.347805965	8440.599062246	869.231	1276.923	0.2513	67145740.220515131331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515131331.wav	39.6148	X	0	1	X	Y		
100	101	Spectrogram 1	1	8792.844869887	8792.957935213	1084.615	1500.0	0.1131	67145740.220515131831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515131831.wav	92.0687	X	0	1	X	Y		
101	102	Spectrogram 1	1	9125.015639936	9125.373680137	153.846	776.923	0.358	67145740.220515132331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515132331.wav	124.1853	Y	1	0	X	B		
102	103	Spectrogram 1	1	9126.121167575	9126.761871092	138.462	1323.077	0.6407	67145740.220515132331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515132331.wav	125.2908	Y	1	0	X	B		
103	104	Spectrogram 1	1	9450.286100594	9450.857708634	576.923	1676.923	0.5716	67145740.220515132831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515132831.wav	149.4266	X	0	2	X	Y		
104	105	Spectrogram 1	1	9456.8345396	9457.261675279	784.615	2307.692	0.4271	67145740.220515132831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515132831.wav	155.975	X	0	1	X	Y		
105	106	Spectrogram 1	1	9459.827745904	9461.253625301	230.769	2500.0	1.4259	67145740.220515132831.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515132831.wav	158.9683	Y	3	3	X	BY		
106	107	Spectrogram 1	1	10215.198524824	10215.550283618	707.692	1107.692	0.3518	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	14.2704	X	0	1	X	Y		
107	108	Spectrogram 1	1	10231.027734975	10232.510147035	753.846	1800.0	1.4824	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	30.0996	X	0	1	X	Y		
108	109	Spectrogram 1	1	10233.340670625	10234.031625399	1115.385	1676.923	0.691	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	32.4125	X	0	1	X	Y		
109	110	Spectrogram 1	1	10412.557096522	10413.668905567	1023.077	1623.077	1.1118	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	211.6289	X	0	1	X	Y		
110	111	Spectrogram 1	1	10426.678003442	10427.934284849	1007.692	1784.615	1.2563	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	225.7498	X	0	1	X	Y		
111	112	Spectrogram 1	1	10428.725742136	10429.567450679	915.385	1546.154	0.8417	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	227.7976	X	0	1	X	Y		
112	113	Spectrogram 1	1	10472.4097475	10473.414772625	892.308	1584.615	1.005	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	271.4816	X	0	1	X	Y		
113	114	Spectrogram 1	1	10474.011506294	10474.872059057	1053.846	1661.538	0.8606	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	273.0833	X	0	1	X	Y		
114	115	Spectrogram 1	1	10488.034099827	10489.057969174	846.154	1800.0	1.0239	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	287.1059	X	0	1	X	Y		
115	116	Spectrogram 1	1	10489.573044551	10490.370783244	976.923	1638.462	0.7977	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	288.6449	X	0	1	X	Y		
116	117	Spectrogram 1	1	10490.647165154	10490.923547063	69.231	1461.538	0.2764	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	289.719	Y	1	0	X	B		
117	118	Spectrogram 1	1	10491.107303348	10491.634941539	961.538	1746.154	0.5276	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	290.1791	X	0	2	X	Y		
118	119	Spectrogram 1	1	10491.792493442	10492.351538668	230.769	1469.231	0.559	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	290.8643	X	0	3	X	Y		
119	120	Spectrogram 1	1	10492.822644195	10493.099026105	153.846	1915.385	0.2764	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	291.8945	Y	1	0	X	B		
120	121	Spectrogram 1	1	10493.804150498	10494.036562559	123.077	2330.769	0.2324	67145740.220515134331.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515134331.wav	292.876	Y	1	0	X	B		
