Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW
55	Spectrogram 1	1	3841.677	3842.64102	0.964	173.677	164.1	1109.4	DS3B__0__20181103_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	Y	bark	faint	RS	3	1	No						
56	Spectrogram 1	1	3835.935	3838.27005	2.335	167.935	157.5	951.9	DS3B__0__20181103_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	X		faint	RS	3	3	No		faint				
57	Spectrogram 1	1	3684.792	3687.70546	2.913	16.792	315.1	1181.6	DS3B__0__20181103_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	X			RS	3	3	No						
58	Spectrogram 1	1	3806.865	3808.17178	1.307	138.865	157.5	1194.7	DS3B__0__20181103_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	Y	bark		RS	3	2	No						
62	Spectrogram 1	1	4106.354	4107.31801	0.964	176.354	593.5	1330.4	DS3B__0__20181103_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_060355.wav	X			RS	3	1	No						
63	Spectrogram 1	1	4307.681	4308.62359	0.943	115.681	613	1206.5	DS3B__0__20181103_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_080355.wav	X	yelp	yelp	RS	3	1	No		yelp				
64	Spectrogram 1	1	4288.505	4289.49043	0.985	96.505	821.7	1291.3	DS3B__0__20181103_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_080355.wav	X			RS	3	1	No						
65	Spectrogram 1	1	4604.304	4605.95353	1.65	150.304	163	1232.6	DS3B__0__20181103_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_140355.wav	Y	"bark, yelp"		RS	3	2	No						
66	Spectrogram 1	1	4709.611	4710.59643	0.985	255.611	371.7	841.3	DS3B__0__20181103_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_140355.wav	X		could be non bio	RS	2	1	No		could be non bio	RS			
67	Spectrogram 1	1	4796.584	4800.39721	3.813	80.584	391.3	1473.9	DS3B__0__20181103_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_200355.wav	Y	"bark, yelp"	a bark at the beginning of the selection	RS	3	5	No						
68	Spectrogram 1	1	5133.373	5137.52897	4.156	155.373	606.5	1180.4	DS3B__0__20181103_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_220355.wav	X			RS	2	2	No						
69	Spectrogram 1	1	5487.11	5488.54531	1.435	247.11	58.7	939.1	DS3B__0__20181104_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_000355.wav	Y	bark	very faint	RS	3	2	No						
70	Spectrogram 1	1	5352.08	5353.15112	1.071	112.08	332.6	1239.1	DS3B__0__20181104_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_000355.wav	Y	bark		RS	2	1	No						
72	Spectrogram 1	1	5592.362	5593.24033	0.878	90.362	515.2	1037	DS3B__0__20181104_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_100355.wav	X	yelp	yelp	RS	3	1	No		yelp				
73	Spectrogram 1	1	5588.15	5589.88522	1.735	86.15	482.6	1734.8	DS3B__0__20181104_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_100355.wav	X			RS	3	4	No						
74	Spectrogram 1	1	5819.067	5820.15955	1.093	55.067	678.3	1232.6	DS3B__0__20181104_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_120355.wav	X	yelp	yelp	RS	3	1	No		yelp				
75	Spectrogram 1	1	5823.266	5824.35855	1.093	59.266	378.3	952.2	DS3B__0__20181104_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_120355.wav	X			RS	3	1	No						
77	Spectrogram 1	1	6166.102	6167.68727	1.585	140.102	52.2	1265.2	DS3B__0__20181104_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_140355.wav	Y	bark	closer to recorder	RS	3	2	No		closer to recorder				
78	Spectrogram 1	1	6442.304	6443.61077	1.307	154.304	378.3	906.5	DS3B__0__20181104_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_180355.wav	X			RS	3	1	No						
79	Spectrogram 1	1	6338.547	6339.44675	0.9	50.547	1291.3	1989.1	DS3B__0__20181104_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_180355.wav	X			RS	2	1	No						
80	Spectrogram 1	1	6760.627	6762.04089	1.414	210.627	150	1982.6	DS3B__0__20181104_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181104_220355.wav	Y	"bark, yelp"	"good one, 1x yelp-2barks"	RS	3	3	No		"good one, 1x yelp-2barks"				
81	Spectrogram 1	1	6853.712	6854.54748	0.835	41.712	19.6	1050	DS3B__0__20181105_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_000355.wav	Y	bark	good	RS	3	1	No						
84	Spectrogram 1	1	7088.474	7091.19466	2.721	14.474	101.1	1072.8	DS3B__0__20181105_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_060355.wav	X			RS	3	3	No						
85	Spectrogram 1	1	7430.91	7436.11567	5.206	94.91	137	1395.7	DS3B__0__20181105_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	good series. yelps-barks	RS	3	series	No		yelps-barks		Very clear barks		
86	Spectrogram 1	1	7392.108	7394.6787	2.571	56.108	163	1141.3	DS3B__0__20181105_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	yelp-bark	RS	3	2	No		yelp-bark				
87	Spectrogram 1	1	7447.524	7448.23094	0.707	111.524	593.5	926.1	DS3B__0__20181105_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	X			RS	3	1	No						
91	Spectrogram 1	1	7419.789	7421.71703	1.928	83.789	110.9	1343.5	DS3B__0__20181105_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	good one	RS	3	4	No		good one				
92	Spectrogram 1	1	7351.408	7358.11325	6.705	15.408	208.7	2556.5	DS3B__0__20181105_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	faint	RS	3	series	No						
94	Spectrogram 1	1	7819.931	7822.973	3.042	221.931	78.3	1213	DS3B__0__20181105_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_120355.wav	Y	bark		RS	3	3	No						
95	Spectrogram 1	1	7782.45	7783.49971	1.05	184.45	104.3	1128.3	DS3B__0__20181105_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_120355.wav	Y	bark	bark	RS	3	1	No		bark				
100	Spectrogram 1	1	8099.997	8102.71766	2.721	239.997	254.3	808.7	DS3B__0__20181105_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_140355.wav	X		at least the 1st one is a RS	RS	3	3	No		at least the 1st one is a RS	RS			
101	Spectrogram 1	1	7944.743	7945.49279	0.75	84.743	32.6	1108.7	DS3B__0__20181105_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_140355.wav	Y	bark	faint	RS	2	1	No						
104	Spectrogram 1	1	7878.402	7880.00869	1.607	18.402	91.3	1187	DS3B__0__20181105_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_140355.wav	Y	bark	faint	RS	3	2	No						
107	Spectrogram 1	1	8340.281	8341.20217	0.921	218.281	971.7	1650	DS3B__0__20181105_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_160355.wav	X			RS	3	1	No						
108	Spectrogram 1	1	8162.516	8163.71566	1.2	40.516	867.4	1493.5	DS3B__0__20181105_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_160355.wav	X			RS	3	1	No						
109	Spectrogram 1	1	8522.101	8524.0076	1.907	138.101	410.9	932.6	DS3B__0__20181105_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_180355.wav	X		faint	RS	3	2	No		faint				
112	Spectrogram 1	1	8897.606	8898.63428	1.028	251.606	450	1030.4	DS3B__0__20181105_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_220355.wav	X	yelp	yelp	RS	3	1	No		yelp				
113	Spectrogram 1	1	8903.476	8907.13925	3.663	257.476	443.5	1173.9	DS3B__0__20181105_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181105_220355.wav	X	yelp	yelps	RS	3	3	No		yelps				
114	Spectrogram 1	1	9069.771	9070.84212	1.071	161.771	143.5	945.7	DS3B__0__20181106_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_000355.wav	Y	bark		RS	2	1	No			RS			
115	Spectrogram 1	1	9150.542	9151.61313	1.071	242.542	750	1532.6	DS3B__0__20181106_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_000355.wav	X	chirp	chirp	RS	3	1	No		chirp				
116	Spectrogram 1	1	9124.288	9126.23745	1.949	216.288	97.8	704.3	DS3B__0__20181106_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_000355.wav	Y	bark	faint	RS	3	1	No		faint				
117	Spectrogram 1	1	9324.896	9335.73579	10.84	154.896	397.8	1291.3	DS3B__0__20181106_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_080355.wav	X	yelp	I believe they are all yelps	RS	3	series	No						
118	Spectrogram 1	1	9221.506	9223.56256	2.057	51.506	365.2	1121.7	DS3B__0__20181106_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_080355.wav	X			RS	3	3	No						
119	Spectrogram 1	1	9597.573	9600.76495	3.192	165.573	189.1	789.1	DS3B__0__20181106_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_100355.wav	Y	bark		RS	3	4	No						
120	Spectrogram 1	1	9634.398	9635.49055	1.093	202.398	723.9	1428.3	DS3B__0__20181106_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_100355.wav	X	chirp	chirp	RS	3	1	No		chirp				
121	Spectrogram 1	1	9671.891	9673.19777	1.307	239.891	260.9	1115.2	DS3B__0__20181106_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_100355.wav	Y	bark		RS	2	1	No						
128	Spectrogram 1	1	9747.224	9748.42366	1.2	53.224	156.5	332.6	DS3B__0__20181106_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_120355.wav	X	moan	same weird moan as in previous data sets	RS	1	1	No		same weird moan as in previous data sets	RS			
132	Spectrogram 1	1	10063.513	10065.01258	1.5	107.513	521.7	1134.8	DS3B__0__20181106_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_140355.wav	X			RS	3	2	No						
133	Spectrogram 1	1	10437.605	10439.21169	1.607	219.605	97.8	756.5	DS3B__0__20181106_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_160355.wav	Y	bark	faint	RS	2	2	No		faint				
134	Spectrogram 1	1	10708.84	10719.48699	10.647	228.84	52.2	1265.2	DS3B__0__20181106_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181106_180355.wav	Y	"bark, yelp"	good	RS	3	series	No		good				
136	Spectrogram 1	1	10971.835	10976.50511	4.67	229.835	260.9	867.4	DS3B__0__20181107_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_140355.wav	X			RS	3	3	No						
137	Spectrogram 1	1	10966.951	10968.25777	1.307	224.951	280.4	854.3	DS3B__0__20181107_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_140355.wav	X		faint	RS	3	2	No		faint				
138	Spectrogram 1	1	10865.113	10866.14128	1.028	123.113	593.5	997.8	DS3B__0__20181107_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_140355.wav	X			RS	3	1	No						
139	Spectrogram 1	1	10835.566	10836.82993	1.264	93.566	495.7	1141.3	DS3B__0__20181107_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_140355.wav	X			RS	3	1	No						
140	Spectrogram 1	1	10870.726	10873.48951	2.764	128.726	502.2	1271.7	DS3B__0__20181107_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_140355.wav	X			RS	3	2	No						
141	Spectrogram 1	1	11153.088	11154.11628	1.028	149.088	1095.7	1597.8	DS3B__0__20181107_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_160355.wav	X			RS	3	1	No						
142	Spectrogram 1	1	11194.589	11197.37393	2.785	190.589	58.7	1173.9	DS3B__0__20181107_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_160355.wav	Y	bark		RS	3	2	No						
143	Spectrogram 1	1	11104.367	11105.13822	0.771	100.367	1017.4	1630.4	DS3B__0__20181107_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_160355.wav	X			RS	3	1	No						
144	Spectrogram 1	1	11271.163	11272.08417	0.921	5.163	97.8	1037	DS3B__0__20181107_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_180355.wav	Y	bark	bark	RS	3	1	No		bark				
145	Spectrogram 1	1	11775.922	11777.31447	1.392	247.922	281	810.5	DS3B__0__20181107_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_200355.wav	X			RS	3	1	No						
146	Spectrogram 1	1	11627.959	11645.18271	17.224	99.959	385.6	1215.7	DS3B__0__20181107_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_200355.wav	X	yelp	good one	RS	3	series	No		good one				
147	Spectrogram 1	1	11785.412	11789.93215	4.52	257.412	98	1398.7	DS3B__0__20181107_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181107_200355.wav	Y	"bark, yelp"	barks at the end	RS	3	series	No		incomplete				
148	Spectrogram 1	1	11807.374	11809.49482	2.121	17.374	98	1032.7	DS3B__0__20181108_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_000355.wav	X	"bark, yelp"	bark-yelp	RS	3	3	No		bark-yelp				
149	Spectrogram 1	1	11813.944	11815.52926	1.585	23.944	261.4	986.9	DS3B__0__20181108_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_000355.wav	X	yelp	faint yelp	RS	2	1	No		faint yelp				
150	Spectrogram 1	1	12284.995	12285.83553	0.841	232.995	91.5	817	DS3B__0__20181108_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_020355.wav	X	bark	faint	RS	2	1	No		faint				
151	Spectrogram 1	1	12498.982	12501.91688	2.935	184.982	294.1	810.5	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	X			RS	3	3	No						
152	Spectrogram 1	1	12574.625	12575.61043	0.985	260.625	300.7	1169.9	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	X	chirp	chirp	RS	3	1	No		chirp				
153	Spectrogram 1	1	12381.915	12382.66479	0.75	67.915	261.4	980.4	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	X			RS	3	1	No						
154	Spectrogram 1	1	12376.966	12377.86575	0.9	62.966	268	888.9	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	X			RS	3	1	No						
155	Spectrogram 1	1	12562.243	12563.24986	1.007	248.243	320.3	771.2	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	Y	bark	faint	RS	2	1	No						
156	Spectrogram 1	1	12491.27	12493.21945	1.949	177.27	359.5	869.3	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	Y	bark	faint	RS	3	2	No		faint				
157	Spectrogram 1	1	12388.492	12389.60597	1.114	74.492	248.4	960.8	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	Y	bark	more than a pixel?	RS	3	1	No						
158	Spectrogram 1	1	12513.385	12515.82716	2.442	199.385	300.7	915	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	X			RS	3	2	No						
159	Spectrogram 1	1	12510.493	12511.30705	0.814	196.493	235.3	620.9	DS3B__0__20181108_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_060355.wav	X			RS	2	1	No						
160	Spectrogram 1	1	12660.481	12661.59497	1.114	84.481	117.6	869.3	DS3B__0__20181108_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	Y	bark		RS	3	1	No						
161	Spectrogram 1	1	12808.933	12822.66483	13.732	232.933	91.5	1261.4	DS3B__0__20181108_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	Y	bark	They sound like farts	RS	3	series	No						
162	Spectrogram 1	1	12584.676	12585.98278	1.307	8.676	78.4	921.6	DS3B__0__20181108_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	X	bark	weak	RS	2	1	No					X	Weak bark
163	Spectrogram 1	1	12620.831	12621.81644	0.985	44.831	0	823.5	DS3B__0__20181108_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_080355.wav	Y	bark		RS	3	1	No						
165	Spectrogram 1	1	13074.591	13076.9689	2.378	236.591	164.5	1506.6	DS3B__0__20181108_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	bark		RS	3	2	No						
166	Spectrogram 1	1	12986.653	13008.03022	21.377	148.653	138.2	1309.2	DS3B__0__20181108_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	"bark, yelp"	faint. Mostly yelps.	RS	3	series	No		faint				
167	Spectrogram 1	1	13094.802	13095.98024	1.178	256.802	59.2	888.2	DS3B__0__20181108_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	bark	faint	RS	3	1	No						
168	Spectrogram 1	1	12915.207	12947.97504	32.768	77.207	71.9	1953.9	DS3B__0__20181108_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_120355.wav	Y	"bark, yelp"	great_one	RS	3	series	No		great_one				
169	Spectrogram 1	1	13291.471	13294.08455	2.614	191.471	105.3	986.8	DS3B__0__20181108_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_160355.wav	Y	bark		RS	3	3	No						
170	Spectrogram 1	1	13501.006	13502.41989	1.414	139.006	46.1	986.8	DS3B__0__20181108_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_180355.wav	Y	bark	faint (borderline pixels)	RS	3	2	No					Y	bark
171	Spectrogram 1	1	13727.13	13728.22255	1.093	103.13	46.1	1013.2	DS3B__0__20181108_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181108_200355.wav	X	bark	faint and pixels	RS	3	1	No						
173	Spectrogram 1	1	14099.196	14104.8087	5.613	213.196	203.9	1697.4	DS3B__0__20181109_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_000355.wav	Y	"bark, yelp"	the barks are very faint	RS	3	4	No		yelps-barks				
174	Spectrogram 1	1	14169.393	14170.29274	0.9	21.393	72.4	907.9	DS3B__0__20181109_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181109_020355.wav	Y	bark	faint	RS	3	1	No						
