Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Call type	Comments	Quantity	WH
53	Spectrogram 1	1	34850.412504893	34850.412504893	159.763	159.763	9	?				?
54	Spectrogram 1	1	36076.487125616	36076.487125616	1393.617	1393.617	10	RS	YELP			
55	Spectrogram 1	1	37053.125756298	37053.125756298	917.266	917.266	10	RS	YELP			
56	Spectrogram 1	1	37195.578912788	37195.578912788	1284.173	1284.173	10	RS	YELP			
57	Spectrogram 1	1	38455.395869315	38455.395869315	1003.597	1003.597	10	RS	YELP			
58	Spectrogram 1	1	38899.393063262	38902.023121066	1068.345	2535.971	10	RS	YELP		4	
59	Spectrogram 1	1	40729.196015880	40734.976362701	733.813	1219.424	11	RS	YELP		6	
60	Spectrogram 1	1	40904.777527692	40909.613751198	647.482	1057.554	11	RS	YELP		5	
61	Spectrogram 1	1	40917.228925395	40917.228925395	938.849	938.849	11	RS	YELP			
62	Spectrogram 1	1	40917.797326166	40917.797326166	938.849	938.849	11	RS	YELP			
63	Spectrogram 1	1	40926.805041904	40933.250128609	669.065	1187.050	11	RS	YELP		6	
64	Spectrogram 1	1	41010.688376056	41017.403212280	776.978	1154.676	11	RS	YELP		8	
65	Spectrogram 1	1	41019.277455067	41025.635836570	500.000	1127.660	11	RS	YELP		6	
66	Spectrogram 1	1	44984.626037185	44984.626037185	893.617	893.617	12	RS	YELP			
67	Spectrogram 1	1	45689.315989656	45689.614640908	627.660	946.809	12	RS	YELP			
68	Spectrogram 1	1	45694.807319136	45695.192675590	585.106	882.979	12	RS	YELP			
69	Spectrogram 1	1	45699.576971803	45699.576971803	1042.553	1042.553	12	RS	YELP			
70	Spectrogram 1	1	45708.526883647	45708.758097520	638.298	840.426	12	RS	YELP			
71	Spectrogram 1	1	45730.012257981	45730.012257981	882.979	882.979	12	RS	YELP			
72	Spectrogram 1	1	45750.639334080	45750.639334080	797.872	797.872	12	RS	YELP			
73	Spectrogram 1	1	45778.509373900	45778.509373900	882.979	882.979	12	RS	YELP			
74	Spectrogram 1	1	45809.169723693	45809.169723693	1010.638	1010.638	12	RS	YELP			
75	Spectrogram 1	1	45809.526178413	45809.526178413	202.128	202.128	12	RS	GROWL			
76	Spectrogram 1	1	45816.762131081	45816.762131081	1000.000	1000.000	12	RS	YELP			
77	Spectrogram 1	1	45817.397969232	45817.397969232	223.404	223.404	12	RS	GROWL			
78	Spectrogram 1	1	45818.775618557	45818.775618557	159.574	159.574	12	RS	GROWL			
79	Spectrogram 1	1	45823.251002013	45823.251002013	1000.000	1000.000	12	RS	YELP			
80	Spectrogram 1	1	45827.787713451	45827.787713451	180.851	180.851	12	RS	GROWL			
81	Spectrogram 1	1	45831.371528480	45831.371528480	159.574	159.574	12	RS	GROWL			
82	Spectrogram 1	1	45835.167289559	45835.167289559	202.128	202.128	12	RS	GROWL			
83	Spectrogram 1	1	45874.015593140	45874.015593140	138.298	138.298	12	?	MAYBE GROWL			? Maybe RS growl
84	Spectrogram 1	1	45909.580488802	45909.580488802	829.787	829.787	12	RS	YELP			
85	Spectrogram 1	1	45922.819232167	45922.819232167	170.213	170.213	12	RS	GROWL			
86	Spectrogram 1	1	45922.279733130	45922.279733130	1000.000	1000.000	12	RS	YELP			
87	Spectrogram 1	1	45949.716237699	45951.161324405	74.468	425.532	12	RS	BARK		3	Bark
88	Spectrogram 1	1	45951.729725175	45951.729725175	212.766	212.766	12	RS	GROWL			
89	Spectrogram 1	1	45952.240322478	45952.240322478	191.489	191.489	12	RS	GROWL			
90	Spectrogram 1	1	45958.946400569	45958.946400569	159.574	159.574	12	RS	GROWL			
91	Spectrogram 1	1	45962.618670327	45962.618670327	787.234	787.234	12	RS	YELP			
92	Spectrogram 1	1	45965.576281117	45965.576281117	851.064	851.064	12	RS	YELP			
93	Spectrogram 1	1	45966.337360115	45966.337360115	191.489	191.489	12	RS	GROWL			
94	Spectrogram 1	1	45967.560866859	45967.560866859	159.574	159.574	12	RS	GROWL			
95	Spectrogram 1	1	46011.255030517	46011.255030517	170.213	170.213	12	RS	GROWL			
96	Spectrogram 1	1	46016.392531212	46016.392531212	180.851	180.851	12	RS	GROWL			
97	Spectrogram 1	1	46030.970390456	46030.970390456	159.574	159.574	12	RS	GROWL			
98	Spectrogram 1	1	46065.344190491	46065.344190491	138.298	138.298	12	RS	GROWL			
99	Spectrogram 1	1	46069.949200125	46069.949200125	117.021	117.021	12	RS	GROWL			
100	Spectrogram 1	1	46074.083912817	46074.083912817	191.489	191.489	12	RS	GROWL			
101	Spectrogram 1	1	46077.305992910	46077.305992910	180.851	180.851	12	RS	GROWL			
102	Spectrogram 1	1	48003.539156579	48003.539156579	1702.128	1702.128	13	RS	YELP			
103	Spectrogram 1	1	48613.370991679	48613.370991679	1287.234	1287.234	13	RS	YELP			
104	Spectrogram 1	1	48613.794883780	48613.794883780	1521.277	1521.277	13	RS	YELP			
105	Spectrogram 1	1	50545.036782995	50545.036782995	234.043	234.043	14	RS	GROWL			
106	Spectrogram 1	1	51098.052206349	51098.052206349	170.213	170.213	14	RS	GROWL			
107	Spectrogram 1	1	55826.122793307	55826.122793307	191.489	191.489	15	RS	GROWL			
108	Spectrogram 1	1	56194.103163908	56194.103163908	170.213	170.213	15	RS	GROWL			
109	Spectrogram 1	1	58056.569456630	58056.569456630	1000.000	1000.000	16	RS	YELP			
110	Spectrogram 1	1	58407.213148302	58407.213148302	1425.532	1425.532	16	RS	YELP			
111	Spectrogram 1	1	58409.255537512	58409.255537512	1319.149	1319.149	16	RS	YELP			
112	Spectrogram 1	1	58731.615879360	58731.615879360	1648.936	1648.936	16	RS	YELP			
113	Spectrogram 1	1	58731.856727145	58731.856727145	489.362	489.362	16	RS	BARK			
114	Spectrogram 1	1	58732.444395738	58732.444395738	425.532	425.532	16	RS	BARK			
115	Spectrogram 1	1	58732.733413079	58732.858653927	85.106	191.489	16	RS	BARK			
116	Spectrogram 1	1	61002.947979562	61002.947979562	1691.489	1691.489	16	RS	YELP			
117	Spectrogram 1	1	61010.720786640	61010.720786640	808.511	808.511	16	RS	BARK			
118	Spectrogram 1	1	61011.038705716	61011.038705716	1287.234	1287.234	16	RS	YELP			
119	Spectrogram 1	1	61020.587673307	61020.587673307	1500.000	1500.000	16	RS	YELP			
120	Spectrogram 1	1	61022.398848644	61022.398848644	1425.532	1425.532	16	RS	YELP			
121	Spectrogram 1	1	61172.332289205	61172.332289205	1574.468	1574.468	16	RS	YELP			
122	Spectrogram 1	1	61174.316874947	61174.316874947	1627.660	1627.660	16	RS	YELP			
123	Spectrogram 1	1	61177.580143006	61177.580143006	1521.277	1521.277	16	RS	YELP			
124	Spectrogram 1	1	63357.513576999	63357.513576999	851.064	851.064	17	RS	YELP			
125	Spectrogram 1	1	68923.975279704	68923.975279704	1202.128	1202.128	19	RS	YELP			
126	Spectrogram 1	1	70012.044134841	70012.044134841	1117.021	1117.021	19	RS	YELP			
127	Spectrogram 1	1	70578.605700830	70578.605700830	1042.553	1042.553	19	RS	YELP			
128	Spectrogram 1	1	70578.798379057	70578.798379057	159.574	159.574	19	RS	BARK			Bark
129	Spectrogram 1	1	70579.405315473	70579.405315473	159.574	159.574	19	RS	BARK			Bark
130	Spectrogram 1	1	70581.216490811	70581.216490811	957.447	957.447	19	RS	YELP			
131	Spectrogram 1	1	70581.582579443	70581.582579443	148.936	148.936	19	RS	BARK			Bark
132	Spectrogram 1	1	70581.967935897	70581.967935897	148.936	148.936	19	RS	BARK			Bark
133	Spectrogram 1	1	70603.635489612	70603.635489612	1170.213	1170.213	19	RS	YELP			
134	Spectrogram 1	1	70604.088283446	70604.088283446	223.404	223.404	19	RS	BARK			
135	Spectrogram 1	1	70604.569979015	70604.569979015	234.043	234.043	19	RS	BARK			
136	Spectrogram 1	1	70605.379227570	70605.379227570	212.766	212.766	19	RS	BARK			
137	Spectrogram 1	1	70606.323350884	70606.323350884	946.809	946.809	19	RS	YELP			
138	Spectrogram 1	1	70606.631636048	70606.631636048	297.872	297.872	19	RS	BARK			
139	Spectrogram 1	1	71145.521987200	71145.521987200	1191.489	1191.489	19	RS	YELP			
140	Spectrogram 1	1	71148.624106661	71148.624106661	1297.872	1297.872	19	RS	YELP			
141	Spectrogram 1	1	76878.378874947	76878.378874947	1000.000	1000.000	21	RS	YELP			
142	Spectrogram 1	1	76881.403923117	76881.403923117	1000.000	1000.000	21	RS	YELP			
143	Spectrogram 1	1	76887.275350602	76887.275350602	1180.851	1180.851	21	RS	YELP			
144	Spectrogram 1	1	76888.113500891	76888.113500891	1063.830	1063.830	21	RS	YELP			
145	Spectrogram 1	1	76881.533539427	76890.444907442	53.191	287.234	21	RS	BARK		6	
146	Spectrogram 1	1	78559.653187045	78559.653187045	1106.383	1106.383	21	RS	YELP			
147	Spectrogram 1	1	78563.640751274	78563.640751274	1191.489	1191.489	21	RS	YELP			
148	Spectrogram 1	1	78563.284296553	78563.284296553	1063.830	1063.830	21	RS	YELP			
149	Spectrogram 1	1	79575.319663935	79575.319663935	1265.957	1265.957	22	RS	YELP			
150	Spectrogram 1	1	79576.678045437	79576.678045437	1308.511	1308.511	22	RS	YELP			
151	Spectrogram 1	1	79590.898577055	79590.898577055	1319.149	1319.149	22	RS	YELP			
152	Spectrogram 1	1	79594.771409425	79594.771409425	1234.043	1234.043	22	RS	YELP			
154	Spectrogram 1	1	84273.854443672	84273.854443672	1064.516	1064.516	23	RS	YELP			
155	Spectrogram 1	1	84626.792780202	84626.792780202	913.978	913.978	23	RS	YELP			
156	Spectrogram 1	1	85054.879120052	85054.879120052	139.785	139.785	23	RS	GROWL			
157	Spectrogram 1	1	87253.425295938	87253.425295938	956.989	956.989	24	RS	YELP			
158	Spectrogram 1	1	91142.560856620	91142.560856620	182.796	182.796	25	RS	GROWL			
160	Spectrogram 1	1	107581.204231558	107583.988431943	569.892	1010.753	29	RS	YELP		7	
161	Spectrogram 1	1	112261.404789277	112261.404789277	1064.516	1064.516	31	RS	YELP			
162	Spectrogram 1	1	112262.483787350	112262.483787350	1150.538	1150.538	31	RS	YELP			
163	Spectrogram 1	1	115995.354700013	115995.354700013	903.226	903.226	32	RS	YELP			
164	Spectrogram 1	1	118905.922220801	118910.970390358	107.527	946.237	33	RS	YELP		6	
165	Spectrogram 1	1	119397.918201524	119397.918201524	1182.796	1182.796	33	RS	YELP			
166	Spectrogram 1	1	119616.807648077	119616.807648077	301.075	301.075	33	RS	GROWL			
167	Spectrogram 1	1	128023.654745023	128023.654745023	1645.161	1645.161	35	RS	YELP			Yelp
168	Spectrogram 1	1	128024.380789545	128024.380789545	215.054	215.054	35	RS	BARK			Bark
169	Spectrogram 1	1	128846.556302443	128846.556302443	1204.301	1204.301	35	RS	YELP			
170	Spectrogram 1	1	128847.307747530	128847.307747530	1150.538	1150.538	35	RS	YELP			
171	Spectrogram 1	1	128846.874221518	128846.874221518	1021.505	1021.505	35	RS	YELP			
172	Spectrogram 1	1	133417.523200756	133417.523200756	1021.505	1021.505	37	RS	YELP			
173	Spectrogram 1	1	133420.952869914	133420.952869914	913.978	913.978	37	RS	YELP			
174	Spectrogram 1	1	133421.925894962	133421.925894962	913.978	913.978	37	RS	YELP			
175	Spectrogram 1	1	136511.223490134	136511.223490134	215.054	215.054	37	RS	GROWL			
176	Spectrogram 1	1	136723.309672566	136723.309672566	1924.731	1924.731	37	RS	YELP			
177	Spectrogram 1	1	136743.732696238	136743.732696238	1043.011	1043.011	37	RS	YELP			
178	Spectrogram 1	1	136745.235586412	136745.235586412	956.989	956.989	37	RS	YELP			
179	Spectrogram 1	1	136745.919594119	136745.919594119	967.742	967.742	37	RS	YELP			
180	Spectrogram 1	1	136745.624445210	136745.624445210	430.108	430.108	37	RS	BARK			
181	Spectrogram 1	1	136746.674541549	136746.674541549	204.301	204.301	37	RS	GROWL			
182	Spectrogram 1	1	144654.165329680	144658.500589795	698.925	1247.312	40	RS	YELP		7	
183	Spectrogram 1	1	148349.308100081	148349.308100081	946.237	946.237	41	RS	YELP			
184	Spectrogram 1	1	150873.229095049	150876.938150926	704.626	1099.644	41	RS	YELP		3	
186	Spectrogram 1	1	154436.220865251	154436.220865251	790.036	790.036	42	MAYBE FISH				? Maybe fish
187	Spectrogram 1	1	155210.378337813	155210.378337813	950.178	950.178	43	MAYBE FISH				? Maybe fish
188	Spectrogram 1	1	155559.824804490	155559.824804490	864.769	864.769	43	MAYBE FISH				? Maybe fish
189	Spectrogram 1	1	155873.062680437	155873.062680437	918.149	918.149	43	MAYBE FISH				? Maybe fish
190	Spectrogram 1	1	161396.915357734	161396.915357734	982.206	982.206	44	RS	YELP			
191	Spectrogram 1	1	161400.820628251	161400.820628251	1014.235	1014.235	44	RS	YELP			
192	Spectrogram 1	1	164111.579078550	164111.579078550	768.683	768.683	45	RS	YELP			
193	Spectrogram 1	1	167206.788394506	167206.798028417	1120.996	1120.996	46	RS	YELP			
194	Spectrogram 1	1	167213.286908588	167213.286908588	1334.520	1334.520	46	RS	YELP			
195	Spectrogram 1	1	167221.545799225	167229.840596913	822.064	1441.281	46	RS	YELP		6	
196	Spectrogram 1	1	167243.402504397	167248.224724480	800.712	1451.957	46	RS	YELP		8	
197	Spectrogram 1	1	167256.245389979	167258.104734873	843.416	1398.577	46	RS	YELP		3	
198	Spectrogram 1	1	167263.041669666	167263.041669666	1056.940	1056.940	46	RS	YELP			
199	Spectrogram 1	1	168763.342942895	168763.342942895	426.316	426.316	46	ICE?				Ice?
200	Spectrogram 1	1	169110.655971372	169117.852503163	587.189	1217.082	46	RS	YELP		6	
201	Spectrogram 1	1	169114.859855782	169118.385867343	64.057	373.665	46	RS	BARK		3	
202	Spectrogram 1	1	170391.834805867	170391.834805867	843.416	843.416	47	RS	YELP			
203	Spectrogram 1	1	170392.624786599	170392.624786599	1195.730	1195.730	47	RS	YELP			
204	Spectrogram 1	1	170393.212455192	170395.274112225	85.409	555.160	47	RS	BARK		5	
205	Spectrogram 1	1	171238.863176804	171238.863176804	1003.559	1003.559	47	RS	YELP			
206	Spectrogram 1	1	172978.189690122	172978.189690122	1088.968	1088.968	48	RS	YELP			
207	Spectrogram 1	1	172980.569266230	172980.569266230	992.883	992.883	48	RS	YELP			
208	Spectrogram 1	1	173878.503228135	173878.503228135	395.018	395.018	48	?				Ice?
209	Spectrogram 1	1	173905.881924617	173905.881924617	373.665	373.665	48	?				Ice?
210	Spectrogram 1	1	174272.587125813	174272.587125813	416.370	416.370	48	?				Ice?
211	Spectrogram 1	1	175468.850038661	175468.850038661	512.456	512.456	48	?				Ice?
212	Spectrogram 1	1	176694.693445511	176694.693445511	491.103	491.103	49	?				Ice?
213	Spectrogram 1	1	177538.641596451	177538.641596451	395.018	395.018	49	?				Ice?
214	Spectrogram 1	1	177572.194764671	177572.194764671	362.989	362.989	49	?				Ice?
215	Spectrogram 1	1	181237.444368451	181237.444368451	1014.235	1014.235	50	RS	YELP			
216	Spectrogram 1	1	181249.247649927	181249.247649927	1067.616	1067.616	50	RS	YELP			
217	Spectrogram 1	1	181282.242050897	181282.242050897	1014.235	1014.235	50	RS	YELP			
218	Spectrogram 1	1	181315.837253425	181315.837253425	1088.968	1088.968	50	RS	YELP			
219	Spectrogram 1	1	182898.435789497	182901.566810692	736.655	1195.730	50	RS	YELP		5	
220	Spectrogram 1	1	182909.701333669	182912.899792243	886.121	1313.167	50	RS	YELP		7	
221	Spectrogram 1	1	182917.677338465	182917.677338465	1270.463	1270.463	50	RS	YELP			
222	Spectrogram 1	1	182919.604120738	182919.604120738	1195.730	1195.730	50	RS	YELP			
223	Spectrogram 1	1	182922.225419079	182924.489388251	918.149	1483.986	50	RS	YELP		4	
224	Spectrogram 1	1	183828.878075743	183828.878075743	1398.577	1398.577	51	RS	YELP			
225	Spectrogram 1	1	183832.215784539	183832.215784539	1366.548	1366.548	51	RS	YELP			
226	Spectrogram 1	1	183833.420023460	183833.420023460	1377.224	1377.224	51	RS	YELP			
227	Spectrogram 1	1	183833.699406889	183833.699406889	1302.491	1302.491	51	RS	YELP			
228	Spectrogram 1	1	186816.751606565	186816.751606565	1387.900	1387.900	51	RS	YELP			
229	Spectrogram 1	1	186818.283398473	186821.607097895	106.762	544.484	51	RS	BARK		8	
230	Spectrogram 1	1	190547.348038338	190547.348038338	1814.947	1814.947	52	RS	YELP			
231	Spectrogram 1	1	190792.437360724	190792.437360724	1622.776	1622.776	52	RS	YELP			
232	Spectrogram 1	1	190841.302308852	190841.302308852	1729.537	1729.537	53	RS	YELP			
233	Spectrogram 1	1	192651.148174879	192651.148174879	1526.690	1526.690	53	RS	YELP			
234	Spectrogram 1	1	192732.615131830	192732.615131830	1430.605	1430.605	53	RS	YELP			
235	Spectrogram 1	1	192740.566622951	192740.566622951	1548.043	1548.043	53	RS	YELP			
236	Spectrogram 1	1	192992.196515884	192992.196515884	1526.690	1526.690	53	RS	YELP			
237	Spectrogram 1	1	192993.535629565	192993.535629565	1580.071	1580.071	53	RS	YELP			
238	Spectrogram 1	1	196277.468012899	196282.092290356	1067.616	1740.214	54	RS	YELP		6	
239	Spectrogram 1	1	196283.306163188	196283.469939681	1238.434	1516.014	54	RS	YELP			
240	Spectrogram 1	1	196277.795565886	196282.766664152	42.705	693.950	54	RS	BARK		4	
241	Spectrogram 1	1	196598.045151437	196598.045151437	1516.014	1516.014	54	RS	YELP			
242	Spectrogram 1	1	196599.904496331	196599.904496331	1537.367	1537.367	54	RS	YELP			
243	Spectrogram 1	1	198811.349610182	198811.349610182	1462.633	1462.633	55	RS	YELP			
244	Spectrogram 1	1	199979.233654893	199979.233654893	1377.224	1377.224	55	RS	YELP			
245	Spectrogram 1	1	200800.084911422	200800.084911422	1451.957	1451.957	55	RS	YELP			
246	Spectrogram 1	1	201347.164994022	201347.164994022	1259.786	1259.786	55	RS	YELP			
247	Spectrogram 1	1	202117.124703173	202117.124703173	245.552	245.552	56	RS	GROWL			Growl
248	Spectrogram 1	1	202289.772257375	202289.772257375	1462.633	1462.633	56	RS	YELP?			Yelp? But with a very drawn out signal after it, and two possible barks as well.
249	Spectrogram 1	1	202422.544205324	202422.544205324	960.854	960.854	56	RS	YELP			
250	Spectrogram 1	1	202441.354863454	202441.354863454	1056.940	1056.940	56	RS	YELP			
251	Spectrogram 1	1	202442.915557096	202442.915557096	1024.911	1024.911	56	RS	YELP			
252	Spectrogram 1	1	202967.145723670	202967.145723670	1419.929	1419.929	56	RS	YELP			
253	Spectrogram 1	1	202967.752660086	202967.752660086	405.694	405.694	56	RS	BARK			
254	Spectrogram 1	1	203590.476431140	203590.717278924	875.445	1024.911	56	RS	YELP			
255	Spectrogram 1	1	203594.557699307	203594.557699307	202.847	202.847	56	RS	BARK			
256	Spectrogram 1	1	208632.326990897	208632.326990897	939.502	939.502	57	RS	YELP			
258	Spectrogram 1	1	209686.290046203	209686.290046203	939.502	939.502	58	RS	YELP			
259	Spectrogram 1	1	209875.934477123	209882.533706410	523.132	1323.843	58	RS	YELP		7	
260	Spectrogram 1	1	209876.483610071	209882.369929917	64.057	395.018	58	RS	BARK		4	
261	Spectrogram 1	1	214075.289881470	214075.289881470	982.206	982.206	59	RS	YELP			
262	Spectrogram 1	1	214078.147649823	214078.147649823	928.826	928.826	59	RS	YELP			
263	Spectrogram 1	1	214079.814316490	214079.814316490	864.769	864.769	59	RS	YELP			
264	Spectrogram 1	1	219583.360463849	219583.360463849	1686.833	1686.833	60	RS	YELP			
265	Spectrogram 1	1	219757.492545109	219757.492545109	1644.128	1644.128	61	RS	YELP			
266	Spectrogram 1	1	221086.477478509	221086.477478509	1067.616	1067.616	61	RS	YELP			
267	Spectrogram 1	1	221103.129248896	221103.129248896	939.502	939.502	61	RS	YELP			
268	Spectrogram 1	1	221109.497264311	221109.497264311	939.502	939.502	61	RS	YELP			
269	Spectrogram 1	1	226374.145198833	226378.634601531	790.036	1601.423	62	RS	YELP		8	
270	Spectrogram 1	1	226374.251171858	226378.885083227	85.409	715.302	62	RS	BARK		7	
271	Spectrogram 1	1	226578.228215489	226587.977733794	672.598	1291.815	62	RS	YELP		15	
272	Spectrogram 1	1	226578.373600567	226587.622155480	74.733	576.512	62	RS	BARK		10	
273	Spectrogram 1	1	231671.920620682	231674.858963649	790.036	1355.872	64	RS	YELP		5	
274	Spectrogram 1	1	232790.923087111	232800.171642022	758.007	1718.861	64	RS	YELP		15	
275	Spectrogram 1	1	232791.414416590	232799.747749922	32.028	555.160	64	RS	BARK		10	
277	Spectrogram 1	1	232800.219810952	232807.281467984	32.028	416.370	64	RS	BARK		12	
278	Spectrogram 1	1	232800.811858297	232804.463110705	661.922	1281.139	64	RS	YELP		5	
279	Spectrogram 1	1	232832.384819136	232832.384819136	1003.559	1003.559	64	RS	YELP			
280	Spectrogram 1	1	234194.615508725	234194.615508725	768.683	768.683	65	RS	YELP			
281	Spectrogram 1	1	234342.283214994	234342.283214994	800.712	800.712	65	RS	YELP			
282	Spectrogram 1	1	234355.505325215	234355.505325215	854.093	854.093	65	RS	YELP			
283	Spectrogram 1	1	234360.664719915	234360.664719915	790.036	790.036	65	RS	YELP			
284	Spectrogram 1	1	234360.687490081	234360.687490081	96.085	96.085	65	RS	GROWL			
285	Spectrogram 1	1	234364.706580648	234364.706580648	224.199	224.199	65	RS	GROWL			
286	Spectrogram 1	1	234367.529316679	234367.529316679	224.199	224.199	65	RS	GROWL			
287	Spectrogram 1	1	234371.076360777	234371.076360777	224.199	224.199	65	RS	GROWL			
288	Spectrogram 1	1	234372.935705671	234372.935705671	234.875	234.875	65	RS	GROWL			
289	Spectrogram 1	1	234376.058817426	234376.058817426	811.388	811.388	65	RS	YELP			
290	Spectrogram 1	1	234376.415272146	234376.415272146	747.331	747.331	65	RS	YELP			
291	Spectrogram 1	1	234377.658046713	234377.658046713	875.445	875.445	65	RS	YELP			Yelp - barks below as well/.
292	Spectrogram 1	1	234376.687646819	234378.778205586	17.751	550.296	65	RS	BARK		8	
