Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity	KZ Done?
331	Spectrogram 1	1	68753.228640000	68753.228640000	633.466	633.466	67653638.220515110551.wav	0.0000	632.812	632.812	0.000	RS	YELP		RS yelp		Y
332	Spectrogram 1	1	68801.230030000	68801.230030000	549.801	549.801	67653638.220515110551.wav	0.0000	550.781	550.781	0.000	RS	YELP		RS yelp		Y
347	Spectrogram 1	1	69704.692980000	69704.692980000	1410.596	1410.596	67653638.220515112051.wav	0.0000	1406.250	1406.250	0.000	RS	YELP		RS yelp		Y
355	Spectrogram 1	1	70277.540250000	70277.848530000	358.566	561.753	67653638.220515113051.wav	0.3083	492.188	503.906	203.187	RS	YELP		RS Yelp		Y
356	Spectrogram 1	1	70273.455470000	70273.455470000	576.000	576.000	67653638.220515113051.wav	0.0000	574.219	574.219	0.000	RS	YELP		RS yelp		Y
357	Spectrogram 1	1	70275.709800000	70275.709800000	661.922	661.922	67653638.220515113051.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS yelp		Y
398	Spectrogram 1	1	81105.836410000	81110.104230000	83.665	179.283	67653638.220515143552.wav	4.2678	128.906	175.781	95.618	RS	GROWL		Growl - long one		Y
399	Spectrogram 1	1	81110.485220000	81110.668260000	71.713	156.353	67653638.220515143552.wav	0.1830	93.750	82.031	84.640	RS	BARK	GOOD	Bark		Y
400	Spectrogram 1	1	81110.677900000	81110.851310000	669.323	932.271	67653638.220515143552.wav	0.1734	832.031	773.438	262.948	RS	YELP				Y
401	Spectrogram 1	1	81110.860940000	81111.034350000	83.665	155.378	67653638.220515143552.wav	0.1734	117.188	117.188	71.713	RS	BARK				Y
402	Spectrogram 1	1	81111.121050000	81111.121050000	908.367	908.367	67653638.220515143552.wav	0.0000	914.062	914.062	0.000	RS	YELP				Y
403	Spectrogram 1	1	81111.356650000	81111.356650000	255.319	255.319	67653638.220515143552.wav	0.0000	257.812	257.812	0.000	RS	BARK				Y
404	Spectrogram 1	1	81111.487140000	81111.622020000	752.988	944.223	67653638.220515143552.wav	0.1349	796.875	785.156	191.235	RS	YELP				Y
405	Spectrogram 1	1	81111.732370000	81111.732370000	553.191	553.191	67653638.220515143552.wav	0.0000	550.781	550.781	0.000	RS	BARK				Y
406	Spectrogram 1	1	81112.508340000	81112.739550000	729.084	1685.259	67653638.220515143552.wav	0.2312	972.656	1113.281	956.175	RS	YELP				Y
407	Spectrogram 1	1	81113.645140000	81114.020860000	83.665	179.283	67653638.220515143552.wav	0.3757	128.906	140.625	95.618	RS	BARK				Y
408	Spectrogram 1	1	81114.078660000	81114.290610000	71.713	167.331	67653638.220515143552.wav	0.2119	117.188	128.906	95.618	RS	BARK				Y
409	Spectrogram 1	1	81114.473650000	81114.473650000	861.702	861.702	67653638.220515143552.wav	0.0000	867.188	867.188	0.000	RS	YELP				Y
410	Spectrogram 1	1	81114.666330000	81114.666330000	382.979	382.979	67653638.220515143552.wav	0.0000	386.719	386.719	0.000	RS	BARK				Y
411	Spectrogram 1	1	81114.800340000	81115.012290000	669.323	1243.028	67653638.220515143552.wav	0.2119	855.469	843.750	573.705	RS	YELP				Y
412	Spectrogram 1	1	81115.137530000	81115.282040000	71.713	143.426	67653638.220515143552.wav	0.1445	93.750	82.031	71.713	RS	BARK				Y
413	Spectrogram 1	1	81115.310940000	81115.445810000	741.036	1003.984	67653638.220515143552.wav	0.1349	796.875	785.156	262.948	RS	YELP				Y
414	Spectrogram 1	1	81115.460260000	81115.628860000	77.372	143.426	67653638.220515143552.wav	0.1686	93.750	82.031	66.054	RS	BARK				Y
415	Spectrogram 1	1	81115.802270000	81115.802270000	944.223	944.223	67653638.220515143552.wav	0.0000	949.219	949.219	0.000	RS	YELP				Y
416	Spectrogram 1	1	81116.034350000	81116.034350000	627.660	627.660	67653638.220515143552.wav	0.0000	632.812	632.812	0.000	RS	BARK				Y
417	Spectrogram 1	1	81113.491000000	81113.491000000	617.021	617.021	67653638.220515143552.wav	0.0000	621.094	621.094	0.000	RS	BARK				Y
418	Spectrogram 1	1	81116.809450000	81116.809450000	968.085	968.085	67653638.220515143552.wav	0.0000	972.656	972.656	0.000	RS	YELP				Y
419	Spectrogram 1	1	81117.088830000	81117.088830000	531.915	531.915	67653638.220515143552.wav	0.0000	527.344	527.344	0.000	RS	BARK				Y
420	Spectrogram 1	1	81117.376970000	81117.376970000	860.558	866.534	67653638.220515143552.wav	0.0000	867.188	867.188	5.976	RS	YELP				Y
421	Spectrogram 1	1	81117.609060000	81117.609060000	308.511	308.511	67653638.220515143552.wav	0.0000	304.688	304.688	0.000	RS	BARK				Y
422	Spectrogram 1	1	81117.840270000	81117.840270000	882.979	882.979	67653638.220515143552.wav	0.0000	878.906	878.906	0.000	RS	YELP				Y
423	Spectrogram 1	1	81118.061850000	81118.061850000	436.170	436.170	67653638.220515143552.wav	0.0000	433.594	433.594	0.000	RS	BARK				Y
424	Spectrogram 1	1	81118.350870000	81118.350870000	765.957	765.957	67653638.220515143552.wav	0.0000	761.719	761.719	0.000	RS	YELP				Y
425	Spectrogram 1	1	81118.562820000	81118.562820000	478.723	478.723	67653638.220515143552.wav	0.0000	480.469	480.469	0.000	RS	BARK				Y
426	Spectrogram 1	1	81118.706450000	81118.879860000	752.988	1183.267	67653638.220515143552.wav	0.1734	890.625	972.656	430.279	RS	YELP				Y
427	Spectrogram 1	1	81118.956930000	81119.101440000	59.761	143.426	67653638.220515143552.wav	0.1445	105.469	117.188	83.665	RS	BARK				Y
428	Spectrogram 1	1	81119.208290000	81119.208290000	680.851	680.851	67653638.220515143552.wav	0.0000	679.688	679.688	0.000	RS	YELP				Y
429	Spectrogram 1	1	81119.352800000	81119.352800000	382.979	382.979	67653638.220515143552.wav	0.0000	386.719	386.719	0.000	RS	BARK				Y
430	Spectrogram 1	1	81119.650570000	81119.795080000	788.845	1147.410	67653638.220515143552.wav	0.1445	878.906	878.906	358.565	RS	YELP				Y
431	Spectrogram 1	1	81119.882660000	81119.882660000	478.723	478.723	67653638.220515143552.wav	0.0000	480.469	480.469	0.000	RS	BARK				Y
432	Spectrogram 1	1	81121.038730000	81121.038730000	1159.574	1159.574	67653638.220515143552.wav	0.0000	1160.156	1160.156	0.000	RS	YELP				Y
433	Spectrogram 1	1	81121.443360000	81121.443360000	521.277	521.277	67653638.220515143552.wav	0.0000	515.625	515.625	0.000	RS	BARK				Y
434	Spectrogram 1	1	81121.847980000	81121.847980000	989.362	989.362	67653638.220515143552.wav	0.0000	984.375	984.375	0.000	RS	YELP				Y
435	Spectrogram 1	1	81122.117730000	81122.117730000	446.809	446.809	67653638.220515143552.wav	0.0000	445.312	445.312	0.000	RS	BARK				Y
436	Spectrogram 1	1	81122.952370000	81122.952370000	904.255	904.255	67653638.220515143552.wav	0.0000	902.344	902.344	0.000	RS	YELP		Yelp		Y
437	Spectrogram 1	1	81123.145050000	81123.145050000	1223.404	1223.404	67653638.220515143552.wav	0.0000	1218.750	1218.750	0.000	RS	YELP				Y
438	Spectrogram 1	1	81123.402540000	81123.402540000	203.187	203.187	67653638.220515143552.wav	0.0000	199.219	199.219	0.000	RS	BARK				Y
439	Spectrogram 1	1	81123.518140000	81123.681920000	657.371	1362.550	67653638.220515143552.wav	0.1638	832.031	890.625	705.179	RS	YELP				Y
440	Spectrogram 1	1	81123.701190000	81123.893870000	71.713	155.378	67653638.220515143552.wav	0.1927	105.469	128.906	83.665	RS	BARK				Y
441	Spectrogram 1	1	81123.973570000	81123.973570000	702.128	702.128	67653638.220515143552.wav	0.0000	703.125	703.125	0.000	RS	YELP		Yelp		Y
442	Spectrogram 1	1	81124.185510000	81124.185510000	202.128	202.128	67653638.220515143552.wav	0.0000	199.219	199.219	0.000	RS	BARK				Y
443	Spectrogram 1	1	81124.455260000	81124.455260000	585.106	585.106	67653638.220515143552.wav	0.0000	585.938	585.938	0.000	RS	BARK				Y
444	Spectrogram 1	1	81125.790000000	81125.790000000	276.596	276.596	67653638.220515143552.wav	0.0000	281.250	281.250	0.000	RS	BARK				Y
445	Spectrogram 1	1	81126.252430000	81126.252430000	425.532	425.532	67653638.220515143552.wav	0.0000	421.875	421.875	0.000	RS	BARK				Y
446	Spectrogram 1	1	81125.462450000	81125.462450000	851.064	851.064	67653638.220515143552.wav	0.0000	855.469	855.469	0.000	RS	YELP		Yelp		Y
447	Spectrogram 1	1	81127.581910000	81127.581910000	1010.638	1010.638	67653638.220515143552.wav	0.0000	1007.812	1007.812	0.000	RS	YELP				Y
448	Spectrogram 1	1	81128.140680000	81128.140680000	500.000	500.000	67653638.220515143552.wav	0.0000	503.906	503.906	0.000	RS	BARK				Y
449	Spectrogram 1	1	81128.715210000	81128.715210000	287.234	287.234	67653638.220515143552.wav	0.0000	292.969	292.969	0.000	RS	GROWL		Growl		Y
450	Spectrogram 1	1	81129.399210000	81129.399210000	308.511	308.511	67653638.220515143552.wav	0.0000	304.688	304.688	0.000	RS	BARK				Y
451	Spectrogram 1	1	81129.562990000	81129.562990000	797.872	797.872	67653638.220515143552.wav	0.0000	796.875	796.875	0.000	RS	YELP				Y
452	Spectrogram 1	1	81129.724130000	81129.921620000	68.492	143.426	67653638.220515143552.wav	0.1975	105.469	117.188	74.934	RS	BARK				Y
453	Spectrogram 1	1	81130.198830000	81130.198830000	968.085	968.085	67653638.220515143552.wav	0.0000	972.656	972.656	0.000	RS	YELP		Yelp		Y
454	Spectrogram 1	1	81130.536020000	81130.536020000	351.064	351.064	67653638.220515143552.wav	0.0000	351.562	351.562	0.000	RS	BARK				Y
455	Spectrogram 1	1	81130.805770000	81130.805770000	680.851	680.851	67653638.220515143552.wav	0.0000	679.688	679.688	0.000	RS	YELP		Yelp		Y
456	Spectrogram 1	1	81131.046610000	81131.046610000	340.426	340.426	67653638.220515143552.wav	0.0000	339.844	339.844	0.000	RS	BARK				Y
457	Spectrogram 1	1	81131.361030000	81131.361030000	1170.213	1170.213	67653638.220515143552.wav	0.0000	1171.875	1171.875	0.000	RS	YELP		Yelp		Y
458	Spectrogram 1	1	81131.563340000	81131.563340000	680.851	680.851	67653638.220515143552.wav	0.0000	679.688	679.688	0.000	RS	BARK				Y
459	Spectrogram 1	1	81131.784920000	81131.784920000	1234.043	1234.043	67653638.220515143552.wav	0.0000	1230.469	1230.469	0.000	RS	YELP		Yelp		Y
460	Spectrogram 1	1	81132.006500000	81132.006500000	925.532	925.532	67653638.220515143552.wav	0.0000	925.781	925.781	0.000	RS	BARK				Y
461	Spectrogram 1	1	81132.556500000	81132.701010000	812.749	1338.645	67653638.220515143552.wav	0.1445	878.906	855.469	525.896	RS	YELP				Y
462	Spectrogram 1	1	81133.904380000	81133.904380000	457.447	457.447	67653638.220515143552.wav	0.0000	457.031	457.031	0.000	RS	BARK		Bark		Y
463	Spectrogram 1	1	81263.909610000	81263.909610000	244.681	244.681	67653638.220515143552.wav	0.0000	246.094	246.094	0.000	RS	GROWL		Long growl		Y
464	Spectrogram 1	1	81268.179200000	81268.179200000	308.511	308.511	67653638.220515143552.wav	0.0000	304.688	304.688	0.000	RS	BARK				Y
465	Spectrogram 1	1	81266.971460000	81266.971460000	212.766	212.766	67653638.220515143552.wav	0.0000	210.938	210.938	0.000	RS	GROWL		Long growl		Y
466	Spectrogram 1	1	81268.532160000	81268.532160000	234.043	234.043	67653638.220515143552.wav	0.0000	234.375	234.375	0.000	RS	BARK				Y
467	Spectrogram 1	1	81268.859710000	81268.859710000	180.851	180.851	67653638.220515143552.wav	0.0000	175.781	175.781	0.000	RS	BARK				Y
468	Spectrogram 1	1	81269.302870000	81269.302870000	340.426	340.426	67653638.220515143552.wav	0.0000	339.844	339.844	0.000	RS	BARK				Y
469	Spectrogram 1	1	81269.637420000	81269.637420000	276.596	276.596	67653638.220515143552.wav	0.0000	281.250	281.250	0.000	RS	BARK				Y
470	Spectrogram 1	1	81270.042050000	81270.042050000	265.957	265.957	67653638.220515143552.wav	0.0000	269.531	269.531	0.000	RS	BARK				Y
471	Spectrogram 1	1	81270.350330000	81270.350330000	191.489	191.489	67653638.220515143552.wav	0.0000	187.500	187.500	0.000	RS	BARK				Y
472	Spectrogram 1	1	81270.697150000	81270.697150000	436.170	436.170	67653638.220515143552.wav	0.0000	433.594	433.594	0.000	RS	YELP		Yelp		Y
473	Spectrogram 1	1	81271.713950000	81272.012600000	47.809	155.378	67653638.220515143552.wav	0.2986	82.031	58.594	107.569	RS	BARK				Y
474	Spectrogram 1	1	81271.650910000	81271.650910000	691.489	691.489	67653638.220515143552.wav	0.0000	691.406	691.406	0.000	RS	YELP		Yelp		Y
475	Spectrogram 1	1	81272.330520000	81272.513570000	66.076	143.426	67653638.220515143552.wav	0.1830	93.750	82.031	77.350	RS	BARK				Y
476	Spectrogram 1	1	81272.729910000	81272.729910000	287.234	287.234	67653638.220515143552.wav	0.0000	292.969	292.969	0.000	RS	BARK				Y
477	Spectrogram 1	1	81273.076730000	81273.076730000	691.489	691.489	67653638.220515143552.wav	0.0000	691.406	691.406	0.000	RS	BARK				Y
478	Spectrogram 1	1	81273.404280000	81273.404280000	329.787	329.787	67653638.220515143552.wav	0.0000	328.125	328.125	0.000	RS	BARK				Y
479	Spectrogram 1	1	81472.820120000	81472.820120000	351.064	351.064	67653638.220515144052.wav	0.0000	351.562	351.562	0.000	RS	BARK		Bark		Y
480	Spectrogram 1	1	81475.064820000	81475.064820000	319.149	319.149	67653638.220515144052.wav	0.0000	316.406	316.406	0.000	RS	BARK		Bark		Y
481	Spectrogram 1	1	81475.941510000	81475.941510000	319.149	319.149	67653638.220515144052.wav	0.0000	316.406	316.406	0.000	RS	BARK		Bark		Y
482	Spectrogram 1	1	81476.556340000	81476.556340000	340.426	340.426	67653638.220515144052.wav	0.0000	339.844	339.844	0.000	RS	BARK		Bark		Y
483	Spectrogram 1	1	81476.932070000	81476.932070000	925.532	925.532	67653638.220515144052.wav	0.0000	925.781	925.781	0.000	RS	YELP		"You marked a yelp, but there is a bark below"		Y
484	Spectrogram 1	1	81477.336690000	81477.336690000	223.404	223.404	67653638.220515144052.wav	0.0000	222.656	222.656	0.000	RS	BARK				Y
485	Spectrogram 1	1	81477.779850000	81477.779850000	500.000	500.000	67653638.220515144052.wav	0.0000	503.906	503.906	0.000	RS	BARK		Bark		Y
486	Spectrogram 1	1	81478.530400000	81478.530400000	340.426	340.426	67653638.220515144052.wav	0.0000	339.844	339.844	0.000	RS	BARK		Bark		Y
487	Spectrogram 1	1	81610.091990000	81610.091990000	308.511	308.511	67653638.220515144552.wav	0.0000	304.688	304.688	0.000	RS	BARK		Bark		Y
488	Spectrogram 1	1	81610.400270000	81610.400270000	351.064	351.064	67653638.220515144552.wav	0.0000	351.562	351.562	0.000	RS	BARK		Bark		Y
489	Spectrogram 1	1	81610.592950000	81610.592950000	765.957	765.957	67653638.220515144552.wav	0.0000	761.719	761.719	0.000	RS	YELP		Yelp		Y
490	Spectrogram 1	1	81610.814530000	81610.814530000	329.787	329.787	67653638.220515144552.wav	0.0000	328.125	328.125	0.000	RS	BARK				Y
491	Spectrogram 1	1	81611.585240000	81611.585240000	404.255	404.255	67653638.220515144552.wav	0.0000	398.438	398.438	0.000	RS	BARK				Y
492	Spectrogram 1	1	81611.854990000	81611.854990000	329.787	329.787	67653638.220515144552.wav	0.0000	328.125	328.125	0.000	RS	BARK				Y
493	Spectrogram 1	1	81613.348250000	81613.348250000	351.064	351.064	67653638.220515144552.wav	0.0000	351.562	351.562	0.000	RS	BARK		Bark		Y
494	Spectrogram 1	1	81717.767580000	81717.767580000	297.872	297.872	67653638.220515144552.wav	0.0000	292.969	292.969	0.000	RS	BARK				Y
495	Spectrogram 1	1	81718.085500000	81718.085500000	276.596	276.596	67653638.220515144552.wav	0.0000	281.250	281.250	0.000	RS	BARK		Bark		Y
496	Spectrogram 1	1	81718.374520000	81718.547930000	71.713	155.378	67653638.220515144552.wav	0.1734	128.906	128.906	83.665	RS	BARK				Y
497	Spectrogram 1	1	81718.952550000	81718.952550000	361.702	361.702	67653638.220515144552.wav	0.0000	363.281	363.281	0.000	RS	BARK				Y
498	Spectrogram 1	1	81720.956410000	81720.956410000	393.617	393.617	67653638.220515144552.wav	0.0000	398.438	398.438	0.000	RS	BARK		Bark		Y
499	Spectrogram 1	1	81721.563340000	81721.563340000	287.234	287.234	67653638.220515144552.wav	0.0000	292.969	292.969	0.000	RS	BARK		Bark		Y
500	Spectrogram 1	1	81724.372950000	81724.372950000	361.702	361.702	67653638.220515144552.wav	0.0000	363.281	363.281	0.000	RS	BARK		Bark		Y
501	Spectrogram 1	1	81724.739030000	81724.739030000	297.872	297.872	67653638.220515144552.wav	0.0000	292.969	292.969	0.000	RS	BARK		Bark		Y
502	Spectrogram 1	1	81725.134020000	81725.134020000	329.787	329.787	67653638.220515144552.wav	0.0000	328.125	328.125	0.000	RS	BARK		Bark		Y
503	Spectrogram 1	1	81726.049250000	81726.049250000	276.596	276.596	67653638.220515144552.wav	0.0000	281.250	281.250	0.000	RS	BARK		Bark		Y
504	Spectrogram 1	1	81725.808400000	81725.808400000	255.319	255.319	67653638.220515144552.wav	0.0000	257.812	257.812	0.000	RS	BARK		Bark		Y
505	Spectrogram 1	1	81726.540580000	81726.540580000	340.426	340.426	67653638.220515144552.wav	0.0000	339.844	339.844	0.000	RS	BARK		Bark		Y
506	Spectrogram 1	1	81726.993370000	81726.993370000	329.787	329.787	67653638.220515144552.wav	0.0000	328.125	328.125	0.000	RS	BARK		Bark		Y
507	Spectrogram 1	1	81727.282390000	81727.282390000	265.957	265.957	67653638.220515144552.wav	0.0000	269.531	269.531	0.000	RS	BARK		Bark		Y
508	Spectrogram 1	1	81790.354720000	81790.354720000	212.766	212.766	67653638.220515144552.wav	0.0000	210.938	210.938	0.000	RS	GROWL		Growl		Y
509	Spectrogram 1	1	81793.957800000	81793.957800000	308.511	308.511	67653638.220515144552.wav	0.0000	304.688	304.688	0.000	RS	GROWL		Growl		Y
510	Spectrogram 1	1	81795.316180000	81795.316180000	265.957	265.957	67653638.220515144552.wav	0.0000	269.531	269.531	0.000	RS	BARK		Bark		Y
511	Spectrogram 1	1	81793.203730000	81793.203730000	946.809	946.809	67653638.220515144552.wav	0.0000	949.219	949.219	0.000	RS	YELP		Yelp		Y
512	Spectrogram 1	1	81980.087600000	81980.087600000	957.447	957.447	67653638.220515145052.wav	0.0000	960.938	960.938	0.000	RS	YELP		Yelp		Y
513	Spectrogram 1	1	81980.328450000	81980.328450000	904.255	904.255	67653638.220515145052.wav	0.0000	902.344	902.344	0.000	RS	YELP		Yelp		Y
514	Spectrogram 1	1	81982.052920000	81982.052920000	936.170	936.170	67653638.220515145052.wav	0.0000	937.500	937.500	0.000	RS	YELP		Yelp		Y
515	Spectrogram 1	1	81982.404120000	81982.404120000	414.894	414.894	67653638.220515145052.wav	0.0000	410.156	410.156	0.000	RS	BARK				Y
516	Spectrogram 1	1	81982.702770000	81982.702770000	265.957	265.957	67653638.220515145052.wav	0.0000	269.531	269.531	0.000	RS	BARK				Y
517	Spectrogram 1	1	81982.991790000	81982.991790000	531.915	531.915	67653638.220515145052.wav	0.0000	527.344	527.344	0.000	RS	BARK				Y
518	Spectrogram 1	1	81983.280810000	81983.280810000	308.511	308.511	67653638.220515145052.wav	0.0000	304.688	304.688	0.000	RS	BARK				Y
519	Spectrogram 1	1	81983.608360000	81983.608360000	638.298	638.298	67653638.220515145052.wav	0.0000	632.812	632.812	0.000	RS	BARK				Y
520	Spectrogram 1	1	81983.887750000	81983.887750000	404.255	404.255	67653638.220515145052.wav	0.0000	398.438	398.438	0.000	RS	BARK				Y
521	Spectrogram 1	1	81984.051520000	81984.051520000	936.170	936.170	67653638.220515145052.wav	0.0000	937.500	937.500	0.000	RS	YELP				Y
522	Spectrogram 1	1	81984.407980000	81984.407980000	446.809	446.809	67653638.220515145052.wav	0.0000	445.312	445.312	0.000	RS	BARK				Y
523	Spectrogram 1	1	81986.791060000	81986.791060000	351.064	351.064	67653638.220515145052.wav	0.0000	351.562	351.562	0.000	RS	BARK				Y
524	Spectrogram 1	1	81986.964470000	81986.964470000	861.702	861.702	67653638.220515145052.wav	0.0000	867.188	867.188	0.000	RS	YELP				Y
525	Spectrogram 1	1	81987.224580000	81987.224580000	457.447	457.447	67653638.220515145052.wav	0.0000	457.031	457.031	0.000	RS	BARK				Y
526	Spectrogram 1	1	81987.436530000	81987.436530000	957.447	957.447	67653638.220515145052.wav	0.0000	960.938	960.938	0.000	RS	YELP		Yelp		Y
527	Spectrogram 1	1	81987.773720000	81987.773720000	361.702	361.702	67653638.220515145052.wav	0.0000	363.281	363.281	0.000	RS	BARK				Y
528	Spectrogram 1	1	81988.082000000	81988.082000000	297.872	297.872	67653638.220515145052.wav	0.0000	292.969	292.969	0.000	RS	BARK				Y
531	Spectrogram 1	1	83852.753560000	83852.753560000	968.127	968.127	67653638.220515152052.wav	0.0000	972.656	972.656	0.000	RS	YELP		Yelp		Y
532	Spectrogram 1	1	83852.946240000	83852.946240000	425.532	425.532	67653638.220515152052.wav	0.0000	421.875	421.875	0.000	RS	BARK				Y
547	Spectrogram 1	1	90932.181670000	90932.181670000	1130.282	1130.282	67653638.220515172052.wav	0.0000	1125.000	1125.000	0.000	RS	YELP		Yelp		Y
548	Spectrogram 1	1	90934.879160000	90934.879160000	1087.649	1087.649	67653638.220515172052.wav	0.0000	1089.844	1089.844	0.000	RS	YELP		Yelp		Y
549	Spectrogram 1	1	90936.420590000	90936.420590000	1035.211	1035.211	67653638.220515172052.wav	0.0000	1031.250	1031.250	0.000	RS	YELP		Yelp		Y
550	Spectrogram 1	1	90942.394490000	90942.394490000	1098.592	1098.592	67653638.220515172052.wav	0.0000	1101.562	1101.562	0.000	RS	YELP		Yelp		Y
553	Spectrogram 1	1	93368.816810000	93368.924550000	657.371	848.606	67653638.220515180052.wav	0.1077	738.281	726.562	191.235	RS	YELP		Yelp		Y
554	Spectrogram 1	1	93373.736230000	93373.736230000	887.324	887.324	67653638.220515180052.wav	0.0000	890.625	890.625	0.000	RS	YELP		Yelp		Y
555	Spectrogram 1	1	93377.300780000	93377.300780000	813.380	813.380	67653638.220515180052.wav	0.0000	808.594	808.594	0.000	RS	YELP		Yelp		Y
556	Spectrogram 1	1	93387.862170000	93387.862170000	896.414	896.414	67653638.220515180052.wav	0.0000	890.625	890.625	0.000	RS	YELP		Yelp		Y
557	Spectrogram 1	1	93393.108270000	93393.108270000	848.606	848.606	67653638.220515180052.wav	0.0000	843.750	843.750	0.000	RS	YELP		Yelp		Y
558	Spectrogram 1	1	93465.791750000	93465.791750000	253.521	253.521	67653638.220515180052.wav	0.0000	257.812	257.812	0.000	Maybe RS			"Maybe RS, but Unknown"		Y
560	Spectrogram 1	1	93997.896340000	93997.896340000	696.203	696.203	67653638.220515181052.wav	0.0000	691.406	691.406	0.000	RS	YELP		RS		Y
