Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
42	Spectrogram 1	1	2962.817468	2962.817468	1238.4	1238.4	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
43	Spectrogram 1	1	2968.315795	2968.315795	1037.5	1037.5	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
44	Spectrogram 1	1	2977.943584	2977.943584	1089	1089	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
45	Spectrogram 1	1	2980.149749	2980.149749	1302.5	1302.5	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
46	Spectrogram 1	1	2982.635299	2982.635299	1024.9	1024.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
47	Spectrogram 1	1	2985.588524	2985.588524	1067.6	1067.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
48	Spectrogram 1	1	2988.950759	2988.950759	1035.6	1035.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
49	Spectrogram 1	1	2989.509526	2989.509526	2188.6	2188.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	BS										
50	Spectrogram 1	1	2994.520048	2994.520048	1153.125	1153.125	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
51	Spectrogram 1	1	3123.129261	3123.129261	1441.3	1441.3	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175842.wav	BS										
52	Spectrogram 1	1	3193.461182	3193.461182	533.8	533.8	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175842.wav	BS										
53	Spectrogram 1	1	3253.268515	3253.268515	416.4	416.4	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175842.wav	BS										
54	Spectrogram 1	1	3324.666301	3324.666301	655.914	655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	YELP									
55	Spectrogram 1	1	3325.119094	3325.119094	473.118	473.118	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
56	Spectrogram 1	1	3325.571888	3325.571888	526.882	526.882	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
57	Spectrogram 1	1	3325.864408	3325.864408	655.914	655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	YELP		Yelp							
58	Spectrogram 1	1	3326.211229	3326.211229	623.656	623.656	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
59	Spectrogram 1	1	3329.24766	3329.24766	387.097	387.097	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
60	Spectrogram 1	1	3329.527044	3329.527044	655.914	655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	YELP		Yelp							
61	Spectrogram 1	1	3329.895777	3329.895777	376.344	376.344	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
62	Spectrogram 1	1	3330.290767	3330.290767	569.892	569.892	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
63	Spectrogram 1	1	3330.685758	3330.685758	494.624	494.624	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
64	Spectrogram 1	1	3331.013311	3331.013311	731.183	731.183	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
65	Spectrogram 1	1	3331.466104	3331.466104	666.667	666.667	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
66	Spectrogram 1	1	3331.668416	3331.668416	559.14	559.14	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	YELP		Yelp							
67	Spectrogram 1	1	3331.976702	3331.976702	526.882	526.882	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
68	Spectrogram 1	1	3332.448763	3332.448763	591.398	591.398	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
69	Spectrogram 1	1	3336.306703	3336.306703	172.043	172.043	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		RS bark							
70	Spectrogram 1	1	3333.026798	3333.026798	580.645	580.645	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	RS	BARK		Bark							
71	Spectrogram 1	1	3350.401102	3350.401102	784.946	784.946	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	BS										
72	Spectrogram 1	1	3356.108769	3356.108769	129.032	129.032	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	UNKNOWN			Unknown							
73	Spectrogram 1	1	3404.800313	3404.800313	1537.634	1537.634	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	BS										
74	Spectrogram 1	1	3592.245559	3592.245559	967.742	967.742	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	BS										
75	Spectrogram 1	1	3680.425633	3680.425633	1591.398	1591.398	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180842.wav	BS										
76	Spectrogram 1	1	3737.266592	3737.266592	397.849	397.849	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180842.wav	BS										
77	Spectrogram 1	1	3810.080563	3810.080563	623.656	623.656	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180842.wav	BS										
78	Spectrogram 1	1	3998.972645	3998.972645	1559.14	1559.14	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181342.wav	BS										
79	Spectrogram 1	1	4114.709216	4114.709216	1655.914	1655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181342.wav	BS										
80	Spectrogram 1	1	4156.503747	4156.503747	322.581	322.581	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181342.wav	BS										
81	Spectrogram 1	1	4197.316495	4197.316495	1032.258	1032.258	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181342.wav	BS										
82	Spectrogram 1	1	4233.84568	4233.84568	1612.903	1612.903	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181842.wav	BS										
83	Spectrogram 1	1	4277.919045	4277.919045	247.312	247.312	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181842.wav	BS										
84	Spectrogram 1	1	4399.287081	4399.287081	1322.581	1322.581	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513181842.wav	BS										
85	Spectrogram 1	1	4519.492005	4519.492005	505.376	505.376	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513182342.wav	BS										
86	Spectrogram 1	1	4580.954618	4580.954618	806.452	806.452	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513182342.wav	BS										
87	Spectrogram 1	1	4688.416527	4688.416527	1946.237	1946.237	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513182342.wav	BS										
88	Spectrogram 1	1	4816.080727	4816.080727	1204.301	1204.301	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513182842.wav	BS										
89	Spectrogram 1	1	5023.589941	5023.589941	1430.108	1430.108	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513182842.wav	BS										
90	Spectrogram 1	1	5093.596932	5093.596932	946.237	946.237	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513182842.wav	BS										
91	Spectrogram 1	1	5152.512697	5152.512697	913.978	913.978	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513183342.wav	BS										
92	Spectrogram 1	1	5192.919926	5192.919926	1397.849	1397.849	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513183342.wav	BS										
93	Spectrogram 1	1	5348.258878	5348.258878	1967.742	1967.742	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513183342.wav	BS										
94	Spectrogram 1	1	5440.907328	5440.907328	354.839	354.839	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513183842.wav	BS										
95	Spectrogram 1	1	5531.879483	5531.879483	1505.376	1505.376	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513183842.wav	BS										
96	Spectrogram 1	1	5709.778403	5709.778403	709.677	709.677	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184342.wav	BS										
97	Spectrogram 1	1	5736.624622	5736.624622	838.71	838.71	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184342.wav	BS										
98	Spectrogram 1	1	5895.858288	5895.858288	1344.086	1344.086	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184342.wav	BS										
99	Spectrogram 1	1	6042.603772	6042.603772	462.366	462.366	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184842.wav	BS										
100	Spectrogram 1	1	6096.475713	6096.475713	817.204	817.204	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184842.wav	BS										
101	Spectrogram 1	1	6148.930629	6148.930629	1655.914	1655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184842.wav	BS										
102	Spectrogram 1	1	6179.244172	6179.244172	2655.914	2655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513184842.wav	BS										
103	Spectrogram 1	1	6319.48151	6319.48151	1021.505	1021.505	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185342.wav	RS	YELP		RS yelp							
104	Spectrogram 1	1	6342.000323	6342.000323	2258.065	2258.065	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185342.wav	BS										
105	Spectrogram 1	1	6521.303199	6521.303199	1537.634	1537.634	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185342.wav	BS										
106	Spectrogram 1	1	6568.060067	6568.060067	655.914	655.914	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185342.wav	BS										
107	Spectrogram 1	1	6704.877384	6712.03538	537.634	2075.269	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185842.wav	Scratching			RS scratching							
108	Spectrogram 1	1	6760.844276	6760.844276	2505.376	2505.376	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185842.wav	BS										
109	Spectrogram 1	1	6809.372918	6809.372918	1075.269	1075.269	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185842.wav	BS										
110	Spectrogram 1	1	6866.635125	6866.635125	1892.473	1892.473	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185842.wav	BS										
111	Spectrogram 1	1	6981.417031	6981.417031	2086.022	2086.022	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190342.wav	BS										
112	Spectrogram 1	1	7115.069173	7115.069173	1688.172	1688.172	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190342.wav	BS										
113	Spectrogram 1	1	7228.062693	7228.062693	720.43	720.43	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190842.wav	BS										
114	Spectrogram 1	1	7280.930077	7280.930077	1096.774	1096.774	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190842.wav	BS										
115	Spectrogram 1	1	7393.685393	7393.685393	408.602	408.602	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190842.wav	BS										
116	Spectrogram 1	1	7445.074426	7445.074426	1483.871	1483.871	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190842.wav	BS										
117	Spectrogram 1	1	7500.287257	7500.287257	827.957	827.957	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513190842.wav	BS										
118	Spectrogram 1	1	7551.273425	7551.273425	1494.624	1494.624	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513191342.wav	BS										
119	Spectrogram 1	1	7623.107371	7623.107371	2430.108	2430.108	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513191342.wav	BS										
120	Spectrogram 1	1	7681.482734	7681.482734	516.129	516.129	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513191342.wav	BS										
121	Spectrogram 1	1	7821.85846	7821.85846	1731.183	1731.183	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513191842.wav	BS										
122	Spectrogram 1	1	7977.057274	7977.057274	838.71	838.71	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513191842.wav	BS										
123	Spectrogram 1	1	8125.528977	8125.528977	1268.817	1268.817	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513192342.wav	BS										
124	Spectrogram 1	1	8313.391132	8313.391132	1946.237	1946.237	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513192342.wav	BS										
125	Spectrogram 1	1	8426.513386	8426.513386	1247.312	1247.312	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513192842.wav	BS										
126	Spectrogram 1	1	8460.640188	8460.640188	365.591	365.591	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513192842.wav	BS										
127	Spectrogram 1	1	8513.766856	8513.766856	505.376	505.376	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513192842.wav	BS										
128	Spectrogram 1	1	8651.355739	8651.355739	1397.849	1397.849	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513192842.wav	BS										
129	Spectrogram 1	1	8816.746362	8816.746362	1451.613	1451.613	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193342.wav	BS										
130	Spectrogram 1	1	8833.856189	8833.856189	2913.237	2913.237	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193342.wav	BS										
131	Spectrogram 1	1	8876.591339	8876.591339	1215.054	1215.054	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193342.wav	BS										
132	Spectrogram 1	1	8930.559628	8930.559628	892.473	892.473	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193342.wav	BS										
133	Spectrogram 1	1	8971.301437	8971.301437	268.817	268.817	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193342.wav	BS										
134	Spectrogram 1	1	9051.320721	9051.320721	1849.462	1849.462	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193842.wav	BS										
135	Spectrogram 1	1	9191.706942	9191.706942	1537.634	1537.634	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193842.wav	BS										
136	Spectrogram 1	1	9285.729536	9285.729536	387.097	387.097	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513193842.wav	BS										
137	Spectrogram 1	1	9360.951975	9360.951975	956.989	956.989	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513194342.wav	BS										
138	Spectrogram 1	1	9468.235237	9468.235237	526.882	526.882	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513194342.wav	BS										
139	Spectrogram 1	1	9521.784018	9521.784018	279.57	279.57	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513194342.wav	BS										
140	Spectrogram 1	1	9582.933955	9582.933955	1225.806	1225.806	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513194342.wav	BS										
141	Spectrogram 1	1	9686.746345	9686.746345	161.29	161.29	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513194842.wav	UNKNOWN			Unknown							
142	Spectrogram 1	1	9786.765626	9786.765626	1290.323	1290.323	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513194842.wav	BS										
143	Spectrogram 1	1	9920.687483	9920.687483	763.441	763.441	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195342.wav	BS										
144	Spectrogram 1	1	10087.62655	10087.62655	1419.355	1419.355	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195342.wav	BS										
145	Spectrogram 1	1	10130.87843	10130.87843	591.398	591.398	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195342.wav	BS										
146	Spectrogram 1	1	10253.31054	10253.31054	1720.43	1720.43	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195842.wav	BS										
147	Spectrogram 1	1	10379.9238	10379.9238	1645.161	1645.161	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195842.wav	BS										
148	Spectrogram 1	1	10386.75248	10386.75248	440.86	440.86	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195842.wav	BS										
149	Spectrogram 1	1	10473.84829	10473.84829	1139.785	1139.785	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513195842.wav	BS										
150	Spectrogram 1	1	10555.11648	10555.11648	892.473	892.473	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513200342.wav	BS										
151	Spectrogram 1	1	10672.13872	10672.13872	634.409	634.409	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513200342.wav	BS										
152	Spectrogram 1	1	10826.59045	10826.59045	344.086	344.086	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513200842.wav	BS										
153	Spectrogram 1	1	10884.63565	10884.63565	752.688	752.688	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513200842.wav	BS										
154	Spectrogram 1	1	10942.58451	10942.58451	741.935	741.935	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513200842.wav	BS										
155	Spectrogram 1	1	11031.93554	11031.93554	1784.946	1784.946	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513200842.wav	BS										
156	Spectrogram 1	1	11181.57732	11181.57732	1634.409	1634.409	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513201343.wav	BS										
157	Spectrogram 1	1	11351.64038	11351.64038	1279.57	1279.57	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513201343.wav	BS										
158	Spectrogram 1	1	11541.78752	11541.78752	741.935	741.935	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513201843.wav	BS										
159	Spectrogram 1	1	11609.4964	11609.4964	1967.742	1967.742	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513201843.wav	BS										
160	Spectrogram 1	1	11657.04939	11657.04939	903.226	903.226	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513201843.wav	BS										
161	Spectrogram 1	1	11705.54299	11705.54299	1365.591	1365.591	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513202343.wav	BS										
162	Spectrogram 1	1	11743.29478	11743.29478	258.065	258.065	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513202343.wav	BS										
163	Spectrogram 1	1	14202.51617	14202.51617	258.065	258.065	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	LIKELY RS GROWL			Like RS growl							
164	Spectrogram 1	1	14201.03255	14201.03255	215.054	215.054	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	LIKELY RS GROWL			Likely RS growl							
165	Spectrogram 1	1	14225.14363	14225.14363	268.817	268.817	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	RS	GROWL		RS growl							
166	Spectrogram 1	1	14730.55439	14730.55439	1021.505	1021.505	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	RS	YELP		RS yelp							
167	Spectrogram 1	1	14731.45034	14731.45034	1021.505	1021.505	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	RS	YELP		RS yelp							
168	Spectrogram 1	1	14732.16325	14732.16325	1032.258	1032.258	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	RS	YELP		RS yelp							
169	Spectrogram 1	1	14734.87038	14734.87038	881.72	881.72	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	RS	YELP		RS yelp							
170	Spectrogram 1	1	15123.94552	15123.94552	2752.688	2752.688	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211843.wav	BS										
171	Spectrogram 1	1	15264.16271	15264.16271	1913.978	1913.978	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211843.wav	BS										
