Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity
120	Spectrogram 1	1	27447.946433211	27447.946433211	1419.355	1419.355	67653638.220514233550.wav	0.0000	1417.969	1417.969	0.000	BS				
121	Spectrogram 1	1	27533.865172311	27533.865172311	1107.527	1107.527	67653638.220514233550.wav	0.0000	1113.281	1113.281	0.000	BS				
122	Spectrogram 1	1	27759.584206753	27759.584206753	784.946	784.946	67653638.220514234050.wav	0.0000	785.156	785.156	0.000	BS				
123	Spectrogram 1	1	27879.688429052	27879.688429052	720.430	720.430	67653638.220514234050.wav	0.0000	714.844	714.844	0.000	BS				
124	Spectrogram 1	1	27921.898094581	27921.898094581	1118.280	1118.280	67653638.220514234550.wav	0.0000	1113.281	1113.281	0.000	BS				
125	Spectrogram 1	1	27954.552688667	27954.552688667	1172.043	1172.043	67653638.220514234550.wav	0.0000	1171.875	1171.875	0.000	BS				
126	Spectrogram 1	1	28036.905980652	28036.905980652	301.075	301.075	67653638.220514234550.wav	0.0000	304.688	304.688	0.000	Maybe RS		Maybe RS	Unknown	
127	Spectrogram 1	1	28103.524481669	28103.524481669	1107.527	1107.527	67653638.220514234550.wav	0.0000	1113.281	1113.281	0.000	BS				
128	Spectrogram 1	1	28292.773041771	28292.773041771	1440.860	1440.860	67653638.220514235050.wav	0.0000	1441.406	1441.406	0.000	BS				
129	Spectrogram 1	1	28359.247019855	28359.247019855	1623.656	1623.656	67653638.220514235050.wav	0.0000	1628.906	1628.906	0.000	BS				
130	Spectrogram 1	1	28369.356507527	28369.356507527	967.742	967.742	67653638.220514235050.wav	0.0000	972.656	972.656	0.000	BS				
131	Spectrogram 1	1	28493.111966012	28493.111966012	698.925	698.925	67653638.220514235050.wav	0.0000	703.125	703.125	0.000	BS				
132	Spectrogram 1	1	28593.087458503	28593.087458503	1107.527	1107.527	67653638.220514235550.wav	0.0000	1113.281	1113.281	0.000	BS				
133	Spectrogram 1	1	28719.107776830	28719.107776830	365.591	365.591	67653638.220514235550.wav	0.0000	363.281	363.281	0.000	BS				
134	Spectrogram 1	1	28795.209538705	28795.209538705	720.430	720.430	67653638.220514235550.wav	0.0000	714.844	714.844	0.000	BS				
135	Spectrogram 1	1	29018.910716562	29018.910716562	1064.516	1064.516	67653638.220515000050.wav	0.0000	1066.406	1066.406	0.000	BS				
136	Spectrogram 1	1	29126.012653803	29126.012653803	913.978	913.978	67653638.220515000550.wav	0.0000	914.062	914.062	0.000	BS				
137	Spectrogram 1	1	29291.371744601	29291.371744601	1010.753	1010.753	67653638.220515000550.wav	0.0000	1007.812	1007.812	0.000	BS				
138	Spectrogram 1	1	29511.374355359	29511.374355359	1204.301	1204.301	67653638.220515001050.wav	0.0000	1207.031	1207.031	0.000	BS				
139	Spectrogram 1	1	29689.481746771	29689.481746771	1096.774	1096.774	67653638.220515001050.wav	0.0000	1101.562	1101.562	0.000	BS				
140	Spectrogram 1	1	29824.990579786	29824.990579786	666.667	666.667	67653638.220515001550.wav	0.0000	667.969	667.969	0.000	BS				
142	Spectrogram 1	1	30114.933644116	30114.933644116	1172.043	1172.043	67653638.220515002050.wav	0.0000	1171.875	1171.875	0.000	BS				
143	Spectrogram 1	1	19172.961319468	19172.961319468	1127.072	1127.072	67653638.220514211550.wav	0.0000	1125.000	1125.000	0.000	RS	yelp			
144	Spectrogram 1	1	30303.057657164	30303.057657164	677.419	677.419	67653638.220515002550.wav	0.0000	679.688	679.688	0.000	BS				
145	Spectrogram 1	1	30385.957465400	30385.957465400	688.172	688.172	67653638.220515002550.wav	0.0000	691.406	691.406	0.000	BS				
146	Spectrogram 1	1	30522.100392987	30522.100392987	1032.258	1032.258	67653638.220515002550.wav	0.0000	1031.250	1031.250	0.000	BS				
147	Spectrogram 1	1	30702.897376720	30702.897376720	1064.516	1064.516	67653638.220515003050.wav	0.0000	1066.406	1066.406	0.000	BS				
151	Spectrogram 1	1	30893.188152821	30893.188152821	1494.624	1494.624	67653638.220515003050.wav	0.0000	1500.000	1500.000	0.000	BS				
152	Spectrogram 1	1	31054.642861058	31054.642861058	1096.774	1096.774	67653638.220515003550.wav	0.0000	1101.562	1101.562	0.000	BS				
153	Spectrogram 1	1	31481.351582012	31481.351582012	1118.280	1118.280	67653638.220515004050.wav	0.0000	1113.281	1113.281	0.000	BS				
154	Spectrogram 1	1	31611.558265700	31611.558265700	849.462	849.462	67653638.220515004550.wav	0.0000	843.750	843.750	0.000	BS				
155	Spectrogram 1	1	31789.598210493	31789.598210493	2129.032	2129.032	67653638.220515004550.wav	0.0000	2132.812	2132.812	0.000	BS				
156	Spectrogram 1	1	31903.994775446	31903.994775446	1118.280	1118.280	67653638.220515005050.wav	0.0000	1113.281	1113.281	0.000	BS				
157	Spectrogram 1	1	32144.465959852	32144.465959852	623.656	623.656	67653638.220515005550.wav	0.0000	621.094	621.094	0.000	BS				
158	Spectrogram 1	1	32269.732197515	32269.732197515	1387.097	1387.097	67653638.220515005550.wav	0.0000	1382.812	1382.812	0.000	BS				
159	Spectrogram 1	1	32438.153997049	32438.153997049	720.430	720.430	67653638.220515010050.wav	0.0000	714.844	714.844	0.000	BS				
160	Spectrogram 1	1	32549.273273372	32549.273273372	881.720	881.720	67653638.220515010050.wav	0.0000	878.906	878.906	0.000	BS				
161	Spectrogram 1	1	32734.959039488	32734.959039488	903.226	903.226	67653638.220515010550.wav	0.0000	902.344	902.344	0.000	BS				
162	Spectrogram 1	1	32950.299716842	32950.299716842	1354.839	1354.839	67653638.220515010550.wav	0.0000	1359.375	1359.375	0.000	BS				
163	Spectrogram 1	1	33119.203211945	33119.203211945	838.710	838.710	67653638.220515011050.wav	0.0000	843.750	843.750	0.000	BS				
164	Spectrogram 1	1	33158.858128906	33158.858128906	903.226	903.226	67653638.220515011050.wav	0.0000	902.344	902.344	0.000	BS				
165	Spectrogram 1	1	33184.550908046	33184.550908046	688.172	688.172	67653638.220515011050.wav	0.0000	691.406	691.406	0.000	BS				
168	Spectrogram 1	1	33245.741123758	33245.741123758	1075.269	1075.269	67653638.220515011050.wav	0.0000	1078.125	1078.125	0.000	BS				
169	Spectrogram 1	1	33300.002817729	33300.002817729	1107.527	1107.527	67653638.220515011050.wav	0.0000	1113.281	1113.281	0.000	BS				
170	Spectrogram 1	1	33439.453694851	33439.453694851	1107.527	1107.527	67653638.220515011550.wav	0.0000	1113.281	1113.281	0.000	BS				
171	Spectrogram 1	1	33471.939248045	33471.939248045	698.925	698.925	67653638.220515011550.wav	0.0000	703.125	703.125	0.000	BS				
172	Spectrogram 1	1	33572.109149812	33572.109149812	763.441	763.441	67653638.220515011550.wav	0.0000	761.719	761.719	0.000	BS				
173	Spectrogram 1	1	33647.706460214	33647.706460214	1193.548	1193.548	67653638.220515012050.wav	0.0000	1195.312	1195.312	0.000	BS				
174	Spectrogram 1	1	33702.616247562	33702.616247562	1096.774	1096.774	67653638.220515012050.wav	0.0000	1101.562	1101.562	0.000	BS			Yes	
175	Spectrogram 1	1	33915.320738834	33915.320738834	779.006	779.006	67653638.220515012550.wav	0.0000	773.438	773.438	0.000	RS	YELP		Yelp	
176	Spectrogram 1	1	33923.019995443	33923.019995443	150.538	150.538	67653638.220515012550.wav	0.0000	152.344	152.344	0.000	RS	GROWL		RS growl based on yelp right before	
177	Spectrogram 1	1	33927.704687383	33928.581373318	129.496	269.784	67653638.220515012550.wav	0.8767	175.781	210.938	140.288	RS	GROWL		RS growl	
178	Spectrogram 1	1	33932.716958860	33932.716958860	666.667	666.667	67653638.220515012550.wav	0.0000	667.969	667.969	0.000	RS	YELP			
179	Spectrogram 1	1	33964.228615622	33964.228615622	795.699	795.699	67653638.220515012550.wav	0.0000	796.875	796.875	0.000	BS				
181	Spectrogram 1	1	34140.625523401	34140.625523401	1118.280	1118.280	67653638.220515012550.wav	0.0000	1113.281	1113.281	0.000	BS				
183	Spectrogram 1	1	34288.309893100	34288.309893100	795.699	795.699	67653638.220515013050.wav	0.0000	796.875	796.875	0.000	BS				
184	Spectrogram 1	1	34601.466313056	34601.466313056	1172.043	1172.043	67653638.220515013550.wav	0.0000	1171.875	1171.875	0.000	BS				
185	Spectrogram 1	1	34725.013344982	34725.013344982	623.656	623.656	67653638.220515013550.wav	0.0000	621.094	621.094	0.000	BS				
189	Spectrogram 1	1	37965.466133354	37965.466133354	1010.753	1010.753	67653638.220515023050.wav	0.0000	1007.812	1007.812	0.000	BS				
190	Spectrogram 1	1	37986.930486623	37986.930486623	795.699	795.699	67653638.220515023050.wav	0.0000	796.875	796.875	0.000	BS				
191	Spectrogram 1	1	38059.063955381	38059.063955381	1139.785	1139.785	67653638.220515023050.wav	0.0000	1136.719	1136.719	0.000	BS				
192	Spectrogram 1	1	38213.204791935	38213.204791935	645.161	645.161	67653638.220515023550.wav	0.0000	644.531	644.531	0.000	BS				
193	Spectrogram 1	1	38487.721345438	38487.721345438	1204.301	1204.301	67653638.220515024050.wav	0.0000	1207.031	1207.031	0.000	BS				
195	Spectrogram 1	1	38655.037856838	38655.037856838	1430.108	1430.108	67653638.220515024050.wav	0.0000	1429.688	1429.688	0.000	BS				
196	Spectrogram 1	1	38716.061673602	38716.061673602	580.645	580.645	67653638.220515024550.wav	0.0000	585.938	585.938	0.000	BS				
198	Spectrogram 1	1	38786.090548776	38786.090548776	536.496	536.496	67653638.220515024550.wav	0.0000	539.062	539.062	0.000	BS			Yes	
199	Spectrogram 1	1	38816.842868383	38816.842868383	1014.235	1014.235	67653638.220515024550.wav	0.0000	1019.531	1019.531	0.000	BS				
200	Spectrogram 1	1	38886.548594765	38886.548594765	1451.957	1451.957	67653638.220515024550.wav	0.0000	1453.125	1453.125	0.000	BS				
201	Spectrogram 1	1	39115.492371264	39115.492371264	736.655	736.655	67653638.220515025050.wav	0.0000	738.281	738.281	0.000	BS				
202	Spectrogram 1	1	39196.854240837	39196.854240837	1088.968	1088.968	67653638.220515025050.wav	0.0000	1089.844	1089.844	0.000	BS				
205	Spectrogram 1	1	39304.534238921	39304.534238921	1085.106	1085.106	67653638.220515025550.wav	0.0000	1089.844	1089.844	0.000	BS				
206	Spectrogram 1	1	39345.346111873	39345.346111873	1074.468	1074.468	67653638.220515025550.wav	0.0000	1078.125	1078.125	0.000	BS				
207	Spectrogram 1	1	39420.726207783	39420.726207783	797.872	797.872	67653638.220515025550.wav	0.0000	796.875	796.875	0.000	BS				
208	Spectrogram 1	1	39453.374661062	39453.374661062	1212.766	1212.766	67653638.220515025550.wav	0.0000	1207.031	1207.031	0.000	BS			Yes	
209	Spectrogram 1	1	39554.077044651	39554.077044651	702.128	702.128	67653638.220515025550.wav	0.0000	703.125	703.125	0.000	BS				
210	Spectrogram 1	1	39575.812900255	39575.812900255	1074.468	1074.468	67653638.220515025550.wav	0.0000	1078.125	1078.125	0.000	BS				
211	Spectrogram 1	1	39594.856531024	39594.856531024	712.766	712.766	67653638.220515025550.wav	0.0000	714.844	714.844	0.000	BS				
212	Spectrogram 1	1	39748.412317639	39748.412317639	1223.404	1223.404	67653638.220515030050.wav	0.0000	1218.750	1218.750	0.000	BS				
213	Spectrogram 1	1	39893.223126365	39893.223126365	819.149	819.149	67653638.220515030050.wav	0.0000	820.312	820.312	0.000	BS				
214	Spectrogram 1	1	40075.283914542	40075.283914542	1436.170	1436.170	67653638.220515030550.wav	0.0000	1441.406	1441.406	0.000	BS				
215	Spectrogram 1	1	40347.939379574	40347.939379574	1680.851	1680.851	67653638.220515031050.wav	0.0000	1675.781	1675.781	0.000	BS				
216	Spectrogram 1	1	40433.718841662	40433.718841662	925.532	925.532	67653638.220515031050.wav	0.0000	925.781	925.781	0.000	BS				
217	Spectrogram 1	1	40748.815182806	40748.815182806	1126.316	1126.316	67653638.220515031550.wav	0.0000	1125.000	1125.000	0.000	BS				
218	Spectrogram 1	1	40867.663506812	40867.663506812	715.789	715.789	67653638.220515032050.wav	0.0000	714.844	714.844	0.000	BS				
219	Spectrogram 1	1	40942.666121763	40942.666121763	1084.211	1084.211	67653638.220515032050.wav	0.0000	1089.844	1089.844	0.000	BS				
220	Spectrogram 1	1	41157.843044795	41157.843044795	1505.263	1505.263	67653638.220515032550.wav	0.0000	1500.000	1500.000	0.000	BS				
221	Spectrogram 1	1	41241.691354272	41243.666306103	645.161	946.237	67653638.220515032550.wav	1.9750	750.000	761.719	301.076	RS	YELP		RS - long yelp	
