Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Keep for detector? Y/X	Call type	AR comment	Annotator	Species	WH comment	WH
526	Spectrogram 1	2	27371.143	27375.595	0	1001.9	2017-ULU01_0+1_20180105_060602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180105_060602.wav	71.143	Y	bark		WH	RS		
527	Spectrogram 1	2	27515.485	27521.59514	0	1767.4	2017-ULU01_0+1_20180105_060602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180105_060602.wav	215.485	Y	"bark, yelp"		WH	RS		
528	Spectrogram 1	2	27614.848	27615.429	0	1204.5	2017-ULU01_0+1_20180105_110602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180105_110602.wav	14.848	Y	"bark, yelp"	simultaneous bark-yelp?	WH	RS	Y	bark yelp
530	Spectrogram 1	2	27970.363	27971.427	0	1249.5	2017-ULU01_0+1_20180106_120602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180106_120602.wav	70.363	Y	bark	with noise	WH	RS		
531	Spectrogram 1	2	28246.39	28248.386	0	1812.4	2017-ULU01_0+1_20180106_170602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180106_170602.wav	46.39	Y	"bark, yelp"		WH	RS		
535	Spectrogram 1	2	28790.773	28793.228	0	1170.7	2017-ULU01_0+1_20180107_153602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180107_153602.wav	290.773	Y	bark		WH	RS		
538	Spectrogram 1	2	28849.908	28852.847	0	776.7	2017-ULU01_0+1_20180108_010602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180108_010602.wav	49.908	Y	bark	with BS above	WH	RS		
539	Spectrogram 1	2	29198.383	29200.875	0	1598.5	2017-ULU01_0+1_20180108_053602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180108_053602.wav	98.383	Y	bark	in noise	WH	RS		
541	Spectrogram 1	2	29515.256	29522.248	0	3028.1	2017-ULU01_0+1_20180108_150602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180108_150602.wav	115.256	Y	"bark, yelp"	Pretty impressive series	WH	RS	Very close train of barks	
542	Spectrogram 1	2	29531.588	29541.507	0	4153.8	2017-ULU01_0+1_20180108_150602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180108_150602.wav	131.588	Y	"bark, yelp"	another great series	WH	RS	Good example calls	
543	Spectrogram 1	2	29603.744	29613.639	0	3996.2	2017-ULU01_0+1_20180108_150602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180108_150602.wav	203.744	Y	"bark, yelp"	great. I like the sound of those.	WH	RS	More good calls	
544	Spectrogram 1	2	29800.459	29802.261	0	1576	2017-ULU01_0+1_20180108_183602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180108_183602.wav	100.459	Y	bark		WH	RS		
547	Spectrogram 1	2	30009.23	30009.677	0	1204.5	2017-ULU01_0+1_20180110_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	9.23	Y	bark		WH	RS		
549	Spectrogram 1	2	30057.146	30060.908	0	1789.9	2017-ULU01_0+1_20180110_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	57.146	Y	"bark, yelp"		WH	RS		
550	Spectrogram 1	2	30172.404	30177.146	0	1497.2	2017-ULU01_0+1_20180110_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	172.404	Y	"bark, yelp, growl"		WH	RS		
551	Spectrogram 1	2	30226.916	30232.227	0	1654.8	2017-ULU01_0+1_20180110_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	226.916	Y	"bark, yelp, growl"		WH	RS		
552	Spectrogram 1	2	30289.277	30297.273	0	878	2017-ULU01_0+1_20180110_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	289.277	Y	bark		WH	RS		
553	Spectrogram 1	2	30333.211	30333.912	0	2600.4	2017-ULU01_0+1_20180110_113602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_113602.wav	33.211	Y	"bark, yelp"		WH	RS	Y	
554	Spectrogram 1	2	30396.673	30400.29	0	2318.9	2017-ULU01_0+1_20180110_113602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180110_113602.wav	96.673	Y	"bark, yelp"		WH	RS		
558	Spectrogram 1	2	30684.355	30685.141	0	1688.6	2017-ULU01_0+1_20180111_010602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180111_010602.wav	84.355	Y	"bark, yelp"		WH	RS		
561	Spectrogram 1	2	31176.962	31178.77652	0	1227	2017-ULU01_0+1_20180111_083602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180111_083602.wav	276.962	Y	bark	"I had to expand the selection box to include the stronger signal, which sounds like a bark (but also a fish grunt)"	WH	RS	Y	2 barks
563	Spectrogram 1	2	31252.878	31264.684	0	4243.9	2017-ULU01_0+1_20180111_110602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180111_110602.wav	52.878	Y	bark	amazing series	WH	RS		
565	Spectrogram 1	2	31534.149	31543.573	0	2769.2	2017-ULU01_0+1_20180112_003602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180112_003602.wav	34.149	Y	"bark, yelp"	with vessel noise	WH	RS		
568	Spectrogram 1	2	31848.83609	31858.06593	80.3	1013.1	2017-ULU01_0+1_20180112_160602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180112_160602.wav	48.836	Y	bark	"I can't decide if this fits the ""pixel"" criteria..."	WH	RS	Y	"Faint, but clearly a bark series"
569	Spectrogram 1	2	32124.732	32125.857	0	1756.1	2017-ULU01_0+1_20180112_193602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180112_193602.wav	24.732	Y	bark		WH	RS		
570	Spectrogram 1	2	32231.35	32232.487	0	3005.6	2017-ULU01_0+1_20180112_193602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180112_193602.wav	131.35	Y	bark	clear	WH	RS		
571	Spectrogram 1	2	32272.222	32276.758	0	1193.2	2017-ULU01_0+1_20180112_193602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180112_193602.wav	172.222	Y	"bark, yelp"		WH	RS		
575	Spectrogram 1	2	32457.71947	32460.335	137	2273.9	2017-ULU01_0+1_20180113_190602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180113_190602.wav	57.719	Y	bark		WH	RS		
578	Spectrogram 1	2	32983.095	32987.849	0	1632.3	2017-ULU01_0+1_20180114_030602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180114_030602.wav	283.095	Y	bark	Does that count as more than a pixel for some of the barks?	WH	RS	Y	
581	Spectrogram 1	2	33077.955	33080.35	0	1722.3	2017-ULU01_0+1_20180114_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180114_063602.wav	77.955	Y	"bark, yelp"	Is the last one a bark? It sounds like a muffled gulp.	WH	RS	Y	
586	Spectrogram 1	2	33426.355	33428.50206	0	2296.4	2017-ULU01_0+1_20180115_070602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180115_070602.wav	126.355	Y	"bark, yelp"		WH	RS		
588	Spectrogram 1	2	33653.332	33659.9896	0	1744.8	2017-ULU01_0+1_20180116_003602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180116_003602.wav	53.332	Y	"bark, yelp"		WH	RS		
590	Spectrogram 1	2	34155.125	34163.362	0	1440.9	2017-ULU01_0+1_20180116_043602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180116_043602.wav	255.125	Y	bark	good series	WH	RS		
594	Spectrogram 1	2	34268.347	34271.734	0	1733.6	2017-ULU01_0+1_20180116_213602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180116_213602.wav	68.347	Y	bark		WH	RS		
595	Spectrogram 1	2	34287.623	34289.148	0	1474.7	2017-ULU01_0+1_20180116_213602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180116_213602.wav	87.623	Y	bark	masked by noise but still recognizeable. Keep?	WH	RS	Y	
604	Spectrogram 1	2	34617.902	34626.515	0	2116.3	2017-ULU01_0+1_20180117_043602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180117_043602.wav	117.902	Y	"bark, yelp"	many yelps and only one bark	WH	RS		
607	Spectrogram 1	2	34916.006	34922.841	0	2949.3	2017-ULU01_0+1_20180118_113602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180118_113602.wav	116.006	Y	bark	in noise but very close and clear	WH	RS	Close	
617	Spectrogram 1	2	35190.037	35195.928	0	1812.4	2017-ULU01_0+1_20180119_220602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180119_220602.wav	90.037	Y	"bark, yelp"		WH	RS		
618	Spectrogram 1	2	35431.648	35447.709	0	2082.6	2017-ULU01_0+1_20180120_033602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180120_033602.wav	31.648	Y	bark	long series	WH	RS		
623	Spectrogram 1	2	35854.768	35861.312	0	2183.9	2017-ULU01_0+1_20180120_160602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180120_160602.wav	154.768	Y	"bark, yelp"		WH	RS		
624	Spectrogram 1	2	36092.296	36094.377	0	2228.9	2017-ULU01_0+1_20180121_193602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180121_193602.wav	92.296	Y	bark	a bit weird but sounds like a bark	WH	RS		
625	Spectrogram 1	2	36336.305	36337.346	0	2228.9	2017-ULU01_0+1_20180122_043602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180122_043602.wav	36.305	Y	bark	harmonics but looks a bit like a downsweep instead of flat	WH	RS	Y	
626	Spectrogram 1	2	36358.912	36361.839	0	1170.7	2017-ULU01_0+1_20180122_043602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180122_043602.wav	58.912	Y	bark	only the last one looks obvious	WH	RS		
630	Spectrogram 1	2	36782.609	36783.746	0	1778.6	2017-ULU01_0+1_20180122_120602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180122_120602.wav	182.609	Y	bark	sounds unusual	WH	RS	Y	
634	Spectrogram 1	2	37125.546	37127.808	0	1947.5	2017-ULU01_0+1_20180122_220602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180122_220602.wav	225.546	Y	bark		WH	RS		
635	Spectrogram 1	2	37452.08	37453.13242	118.1	1847.2	2017-ULU01_0+1_20180124_013602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180124_013602.wav	252.08	Y	"bark, yelp"		WH	RS		
639	Spectrogram 1	2	37546.33	37548.302	0	2352.3	2017-ULU01_0+1_20180124_090602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180124_090602.wav	46.33	Y	bark		WH	RS		
641	Spectrogram 1	2	37870.68	37872.979	0	1602.3	2017-ULU01_0+1_20180125_170602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180125_170602.wav	70.68	Y	bark	with BS above/overlapped	WH	RS		
642	Spectrogram 1	2	38394.5	38397.076	0	1727.3	2017-ULU01_0+1_20180126_210602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180126_210602.wav	294.5	Y	bark	"lots of other signals, but the bark is clear enough"	WH	RS		
644	Spectrogram 1	2	38657.026	38658.417	0	1647.7	2017-ULU01_0+1_20180127_033602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180127_033602.wav	257.026	Y	"bark, yelp"		WH	RS		
645	Spectrogram 1	2	38653.929	38655.078	0	1318.2	2017-ULU01_0+1_20180127_033602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180127_033602.wav	253.929	Y	"bark, yelp"	clear one	WH	RS		
658	Spectrogram 1	2	38994.898	38997.692	0	2127.6	2017-ULU01_0+1_20180218_020602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180218_020602.wav	294.898	Y	"bark, yelp"	there is a yelp but I'm not sure if the rest are barks - the clearest signal sounds like a bump to me	WH	RS	Y	
660	Spectrogram 1	2	39101.464	39103.435	0	2093.8	2017-ULU01_0+1_20180218_073602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180218_073602.wav	101.464	Y	bark		WH	RS		
664	Spectrogram 1	2	39305.782	39307.452	0	1947.5	2017-ULU01_0+1_20180305_093602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180305_093602.wav	5.782	Y	bark	clearly visible but barely audible	WH	RS		
665	Spectrogram 1	2	39464.225	39471.664	0	2127.6	2017-ULU01_0+1_20180305_093602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180305_093602.wav	164.225	Y	"bark, yelp"	barks are very quiet	WH	RS		
667	Spectrogram 1	2	39896.173	39899.161	0	2015	2017-ULU01_0+1_20180316_180602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180316_180602.wav	296.173	Y	"bark, yelp"	quiet	WH	RS		
671	Spectrogram 1	2	40088.903	40089.72542	0	1643.5	2017-ULU01_0+1_20180323_090602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180323_090602.wav	188.903	Y	bark		WH	RS		
687	Spectrogram 1	2	729.643	730.224	135.1	1677.3	2017-ULU01_0+1_20171107_223602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171107_223602.wav	129.643	Y	bark	loud	WH	RS		
691	Spectrogram 1	2	968.684	971.164	0	2746.7	2017-ULU01_0+1_20171109_193602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171109_193602.wav	68.684	X	bark	"I went back through this file and listened to the sounds around: to me this sounds abiotic - like a rope rubbing or squeaking in the current. I hear a clank associated with these pulses, and when I look in the higher frequencies, I see a continuation of the broadband pulse. Annika also had a listen. We don't think these are RS..."	WH	RS	"Ya, sounds like a squeaky line or float."	X
692	Spectrogram 1	2	1206.290321	1207.016128	94.6	1842.3	2017-ULU01_0+1_20171110_003602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171110_003602.wav	6.29	Y	bark	loud	WH	RS		
697	Spectrogram 1	2	1566.027	1569.402	0	1362.1	2017-ULU01_0+1_20171110_053602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171110_053602.wav	66.027	Y	bark	clear	WH	RS		
705	Spectrogram 1	2	2184.225	2188.29	0	1879.9	2017-ULU01_0+1_20171112_023602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171112_023602.wav	84.225	Y	"bark, yelp"	"yelps are louder than the bark, and there is ambient noise"	WH	RS		
706	Spectrogram 1	2	2234.753	2239.313	0	1272	2017-ULU01_0+1_20171112_023602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171112_023602.wav	134.753	Y	bark	in ambient noise	WH	RS		
746	Spectrogram 1	2	2484.556	2489.177	0	1553.5	2017-ULU01_0+1_20171114_030602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171114_030602.wav	84.556	Y	bark		WH	RS		
762	Spectrogram 1	2	2971.867	2974.117	0	652.9	2017-ULU01_0+1_20171115_190602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171115_190602.wav	271.867	Y	bark	looks like a groan but not sure if the first sound is a bark	WH	RS	Y	bark
768	Spectrogram 1	2	3181.548	3182.673	0	2409	2017-ULU01_0+1_20171116_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171116_063602.wav	181.548	Y	bark	good	WH	RS		
769	Spectrogram 1	2	3191.707	3194.986	0	2138.8	2017-ULU01_0+1_20171116_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171116_063602.wav	191.707	Y	bark		WH	RS		
770	Spectrogram 1	2	3325.251	3326.739	0	1418.4	2017-ULU01_0+1_20171116_070602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171116_070602.wav	25.251	Y	"bark, yelp"		WH	RS		
778	Spectrogram 1	2	3609.944	3610.718	0	2015	2017-ULU01_0+1_20171117_000602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171117_000602.wav	9.944	Y	bark	clear	WH	RS		
781	Spectrogram 1	2	4183.164	4186.793	0	1350.8	2017-ULU01_0+1_20171117_023602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171117_023602.wav	283.164	Y	"bark, groan"		WH	RS		
798	Spectrogram 1	2	4423.187	4424.844	0	2454	2017-ULU01_0+1_20171117_073602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171117_073602.wav	223.187	Y	bark		WH	RS		
801	Spectrogram 1	2	4597.038	4603.812	0	1182	2017-ULU01_0+1_20171118_083602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171118_083602.wav	97.038	Y	bark	series	WH	RS		
802	Spectrogram 1	2	4746.747	4756.485	0	1958.7	2017-ULU01_0+1_20171118_083602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171118_083602.wav	246.747	Y	bark	series	WH	RS		
806	Spectrogram 1	2	5060.235	5061.602	0	731.7	2017-ULU01_0+1_20171118_140602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171118_140602.wav	260.235	Y	bark		WH	RS		
808	Spectrogram 1	2	5275.218	5276.669	0	1339.6	2017-ULU01_0+1_20171118_183602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171118_183602.wav	175.218	Y	"bark, yelp"		WH	RS		
810	Spectrogram 1	2	5532.434	5535.664	0	2318.9	2017-ULU01_0+1_20171118_233602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171118_233602.wav	132.434	Y	bark		WH	RS		
811	Spectrogram 1	2	5816.451	5817.648	0	2161.4	2017-ULU01_0+1_20171119_093602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171119_093602.wav	116.451	Y	bark		WH	RS		
813	Spectrogram 1	2	6078.839	6081.875	0	1632.3	2017-ULU01_0+1_20171120_133602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171120_133602.wav	78.839	Y	"bark, groan"		WH	RS		
818	Spectrogram 1	2	6224.987	6228.157	0	686.7	2017-ULU01_0+1_20171120_133602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171120_133602.wav	224.987	Y	"bark, groan"		WH	RS		
819	Spectrogram 1	2	6300.266	6301.488	0	2510.3	2017-ULU01_0+1_20171121_013602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171121_013602.wav	0.266	Y	bark		WH	RS		
821	Spectrogram 1	2	6720.021	6727.787	0	2577.9	2017-ULU01_0+1_20171121_113602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171121_113602.wav	120.021	Y	bark	beautiful	WH	RS		
822	Spectrogram 1	2	7146.194	7149.012	0	1598.5	2017-ULU01_0+1_20171121_163602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171121_163602.wav	246.194	Y	bark	only low freq visible	WH	RS		
823	Spectrogram 1	2	7295.91	7296.914	0	2071.3	2017-ULU01_0+1_20171122_073602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171122_073602.wav	95.91	Y	bark		WH	RS		
827	Spectrogram 1	2	7534.367	7536.593	0	1553.5	2017-ULU01_0+1_20171122_223602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171122_223602.wav	34.367	Y	bark		WH	RS		
829	Spectrogram 1	2	8071.528	8073.185	0	1272	2017-ULU01_0+1_20171123_133602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171123_133602.wav	271.528	Y	"bark, yelp"	or is it a groan?	WH	RS	Y	
830	Spectrogram 1	2	8372.499	8376.128	0	2071.3	2017-ULU01_0+1_20171124_093602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171124_093602.wav	272.499	Y	bark	quiet	WH	RS		
834	Spectrogram 1	2	8675.833	8677.079	0	2071.3	2017-ULU01_0+1_20171126_163602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171126_163602.wav	275.833	Y	"bark, yelp"		WH	RS		
835	Spectrogram 1	2	8773.003	8779.197	0	686.7	2017-ULU01_0+1_20171127_023602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171127_023602.wav	73.003	Y	bark		WH	RS		
846	Spectrogram 1	2	9237.139	9241.167	0	2701.7	2017-ULU01_0+1_20171201_213602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171201_213602.wav	237.139	Y	bark		WH	RS		
847	Spectrogram 1	2	9402.587	9405.091	0	1395.9	2017-ULU01_0+1_20171202_023602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171202_023602.wav	102.587	Y	bark		WH	RS		
849	Spectrogram 1	2	9630.358	9634.507	0	1699.8	2017-ULU01_0+1_20171203_083602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171203_083602.wav	30.358	Y	bark	very faint	WH	RS		
850	Spectrogram 1	2	10176.664	10177.668	0	1857.4	2017-ULU01_0+1_20171203_133602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171203_133602.wav	276.664	Y	bark		WH	RS		
856	Spectrogram 1	2	10462.625	10467.185	0	1711.1	2017-ULU01_0+1_20171206_150602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171206_150602.wav	262.625	Y	"bark, yelp"	good	WH	RS		
862	Spectrogram 1	2	10529.806	10532.685	0	1823.6	2017-ULU01_0+1_20171207_023602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171207_023602.wav	29.806	Y	bark		WH	RS		
870	Spectrogram 1	2	10817.617	10822.093	0	1463.4	2017-ULU01_0+1_20171208_040602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171208_040602.wav	17.617	Y	"bark, yelp"		WH	RS		
872	Spectrogram 1	2	11135.609	11139.105	0	979.4	2017-ULU01_0+1_20171208_083602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171208_083602.wav	35.609	Y	"bark, groan"		WH	RS		
875	Spectrogram 1	2	11459.121	11464.48	0	2780.5	2017-ULU01_0+1_20171208_160602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171208_160602.wav	59.121	Y	bark	and some unknown screeches - It's a Y but what are the screeches?	WH	RS	Y	One small bark
876	Spectrogram 1	2	11724.714	11727.206	0	1891.2	2017-ULU01_0+1_20171208_183602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171208_183602.wav	24.714	Y	bark		WH	RS		
880	Spectrogram 1	2	12249.09	12252.126	0	1395.9	2017-ULU01_0+1_20171209_043602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171209_043602.wav	249.09	Y	bark	very masked but still visible. Keep?	WH	RS	Y	
886	Spectrogram 1	2	12324.105	12325.509	0	1542.2	2017-ULU01_0+1_20171210_003602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171210_003602.wav	24.105	Y	bark		WH	RS		
889	Spectrogram 1	2	12608.837	12617.22	0	776.7	2017-ULU01_0+1_20171210_013602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171210_013602.wav	8.837	Y	bark	series	WH	RS		
890	Spectrogram 1	2	12697.078	12697.925	0	2251.4	2017-ULU01_0+1_20171210_013602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171210_013602.wav	97.078	Y	bark	good	WH	RS		
892	Spectrogram 1	2	13005.077	13011.488	0	889.3	2017-ULU01_0+1_20171210_053602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171210_053602.wav	105.077	Y	bark	series	WH	RS		
893	Spectrogram 1	2	13311.867	13315.69	0	1013.1	2017-ULU01_0+1_20171210_103602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171210_103602.wav	111.867	Y	bark		WH	RS		
896	Spectrogram 1	2	13501.149	13508.056	0	1137	2017-ULU01_0+1_20171210_153602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171210_153602.wav	1.149	Y	bark		WH	RS		
899	Spectrogram 1	2	13904.408	13906.452	0	1463.4	2017-ULU01_0+1_20171211_063602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171211_063602.wav	104.408	Y	bark		WH	RS		
901	Spectrogram 1	2	14125.411	14127.963	0	1632.3	2017-ULU01_0+1_20171211_073602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171211_073602.wav	25.411	Y	bark		WH	RS		
903	Spectrogram 1	2	14164.035	14165.656	0	2724.2	2017-ULU01_0+1_20171211_073602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171211_073602.wav	64.035	Y	"bark, yelp"		WH	RS		
