Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment
32	Spectrogram 1	1	1309.987	1310.987808	1.001	109.987	272.4	413.9	TEST__0__20171001_025601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_025601.wav	X			RS						
34	Spectrogram 1	1	1357.894	1359.051797	1.158	37.894	282.8	827.6	TEST__0__20171001_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_030801.wav	X	whistle	AH	RS	1			whistle		
35	Spectrogram 1	1	1370.377	1371.052019	0.675	50.377	253.7	731	TEST__0__20171001_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_030801.wav	X			RS	1					
37	Spectrogram 1	1	1371.495	1372.387442	0.892	51.495	305.3	641.4	TEST__0__20171001_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_030801.wav	X			RS	1					
39	Spectrogram 1	1	1556.559	1557.697173	1.138	116.559	227.6	662.1	TEST__0__20171001_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_033201.wav	X			RS						
43	Spectrogram 1	1	1592.121	1592.433211	0.312	32.121	821.3	936.7	TEST__0__20171001_034401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_034401.wav	X	whistle	AH	RS	1			whistle		
45	Spectrogram 1	1	1723.926	1724.985679	1.06	43.926	248.3	1062.1	TEST__0__20171001_035601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_035601.wav	X			RS						
46	Spectrogram 1	1	1805.355	1806.733049	1.378	5.355	264.7	366.5	TEST__0__20171001_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_040801.wav	X			RS	1					
47	Spectrogram 1	1	1855.589	1856.70755	1.119	55.589	400	848.3	TEST__0__20171001_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_040801.wav	X			RS				pulse		
54	Spectrogram 1	1	1986.611	1987.915348	1.304	66.611	705.1	1054.7	TEST__0__20171001_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_045601.wav	X	whistle	AH	RS	1			whistle		
56	Spectrogram 1	1	2148.848	2150.594508	1.747	108.848	203.5	806.5	TEST__0__20171001_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_050801.wav	X			RS	2					
58	Spectrogram 1	1	2241.87	2243.067044	1.197	81.87	731.2	1228.6	TEST__0__20171001_052001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_052001.wav	X			RS	1					
59	Spectrogram 1	1	2219.251	2220.958261	1.707	59.251	422.1	995	TEST__0__20171001_052001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_052001.wav	X			RS	1					
62	Spectrogram 1	1	2311.265	2312.834895	1.57	31.265	188.4	761.3	TEST__0__20171001_053201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_053201.wav	X	bark	WH	RS	2			not sure if non biological	RS	I hear the bark
65	Spectrogram 1	1	2517.782	2518.979044	1.197	117.782	90.5	708.5	TEST__0__20171001_055601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_055601.wav	X			RS	1					
67	Spectrogram 1	1	2533.959	2535.921368	1.962	13.959	143.2	527.6	TEST__0__20171001_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_060801.wav	X			RS	series					
75	Spectrogram 1	1	2696.761	2698.468261	1.707	56.761	211.1	723.6	TEST__0__20171001_070801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_070801.wav	X			RS	2					
77	Spectrogram 1	1	2873.345	2874.404679	1.06	113.345	663.3	1025.1	TEST__0__20171001_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_073201.wav	X	whistle	AH	RS	1			whistle		
79	Spectrogram 1	1	2952.878	2953.878808	1.001	72.878	655.8	1055.3	TEST__0__20171001_075601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_075601.wav	X			RS	1					
80	Spectrogram 1	1	2975.598	2976.618432	1.02	95.598	86.7	429.6	TEST__0__20171001_075601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_075601.wav	X			RS	1					
81	Spectrogram 1	1	3104.73	3107.075923	2.346	104.73	233.7	708.5	TEST__0__20171001_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_080801.wav	X			RS	1					
83	Spectrogram 1	1	3216.272	3217.743776	1.472	96.272	158.3	618.1	TEST__0__20171001_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_083201.wav	X			RS	2					
84	Spectrogram 1	1	3288.361	3289.970142	1.609	48.361	47	987.4	TEST__0__20171001_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_084401.wav	X		AH	RS	02-Jan			faint		
87	Spectrogram 1	1	3374.026	3375.537024	1.511	14.026	67.8	489.9	TEST__0__20171001_092001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_092001.wav	X			RS	1					
90	Spectrogram 1	1	3587.437	3588.634045	1.197	107.437	331.7	723.6	TEST__0__20171001_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_093201.wav	X			RS	1			pulse		
93	Spectrogram 1	1	3512.969	3514.166045	1.197	32.969	407	783.9	TEST__0__20171001_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_093201.wav	X			RS	1					
96	Spectrogram 1	1	3664.297	3665.494045	1.197	64.297	661.7	1052.6	TEST__0__20171001_103201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_103201.wav	X			RS	1					
101	Spectrogram 1	1	3793.689	3795.769111	2.08	73.689	398.5	1045.1	TEST__0__20171001_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_105601.wav	X			RS				?		
102	Spectrogram 1	1	3903.658	3905.483003	1.825	63.658	53.8	887.2	TEST__0__20171001_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_110801.wav	X			RS	3					
103	Spectrogram 1	1	3896.918	3898.370153	1.452	56.918	616.5	1097.7	TEST__0__20171001_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_110801.wav	X			RS	1					
104	Spectrogram 1	1	3892.699	3894.896852	2.198	52.699	203	691.7	TEST__0__20171001_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_110801.wav	X			RS	2					
106	Spectrogram 1	1	4050.754	4052.127657	1.374	90.754	112.8	541.4	TEST__0__20171001_114401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_114401.wav	X			RS						
107	Spectrogram 1	1	4057.633	4059.222518	1.59	97.633	526.3	954.9	TEST__0__20171001_114401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_114401.wav	X	whistle	AH	RS	1			whistle		
109	Spectrogram 1	1	4121.575	4123.233201	1.658	41.575	210.5	841.4	TEST__0__20171001_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_115601.wav	X			RS	2					
114	Spectrogram 1	1	4280.379	4281.65454	1.276	80.379	60.5	917.3	TEST__0__20171001_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_120801.wav	X			RS	1					
118	Spectrogram 1	1	4429.413	4431.924831	2.512	109.413	45.7	1330.8	TEST__0__20171001_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_123201.wav	X			RS	series			non biological?		
123	Spectrogram 1	1	4456.846	4458.543109	1.697	16.846	338.3	766.9	TEST__0__20171001_130801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_130801.wav	X			RS	1					
137	Spectrogram 1	1	4575.51	4578.021831	2.512	15.51	67.7	443.6	TEST__0__20171001_145601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_145601.wav	X			RS	series			likely		
142	Spectrogram 1	1	4683.154	4685.966293	2.812	3.154	74.5	391	TEST__0__20171001_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_152001.wav	X			RS	2					
147	Spectrogram 1	1	4821.221	4825.930684	4.71	21.221	54.4	415.4	TEST__0__20171001_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_162001.wav	X			RS				"maybe, very faint"	RS	
148	Spectrogram 1	1	4951.621	4953.465626	1.845	31.621	717	969.2	TEST__0__20171001_163201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_163201.wav	X	whistle	AH	RS	1			whistle		
152	Spectrogram 1	1	5068.182	5068.97293	0.791	28.182	793.5	1058.1	TEST__0__20171001_182001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_182001.wav	X	whistle	AH	RS	1			whistle		
156	Spectrogram 1	1	5160.023	5160.58268	0.56	0.023	605.1	1187.5	TEST__0__20171001_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_215601.wav	X		AH	RS	1			incomplete		
159	Spectrogram 1	1	5352.861	5354.96074	2.1	72.861	159.7	909.3	TEST__0__20171001_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_232001.wav	X			RS	2			pulse		
160	Spectrogram 1	1	5283.08	5284.10044	1.02	3.08	69.4	1018.1	TEST__0__20171001_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_232001.wav	X			RS	1					
164	Spectrogram 1	1	5488.074	5490.25223	2.178	88.074	81.6	918.4	TEST__0__20171002_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_003201.wav	X	bark	AH	RS	1			bark		
177	Spectrogram 1	1	5623.678	5625.69924	2.021	103.678	90.3	840.3	TEST__0__20171002_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_030801.wav	X			RS	1					
184	Spectrogram 1	1	5667.802	5669.11678	1.315	27.802	194.4	736.1	TEST__0__20171002_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_033201.wav	X			RS	1					
191	Spectrogram 1	1	5764.164	5765.5769	1.413	4.164	229.2	805.6	TEST__0__20171002_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_040801.wav	X			RS	1					
192	Spectrogram 1	1	5955.404	5957.37207	1.968	75.404	289.9	625	TEST__0__20171002_042001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_042001.wav	X		AH	RS	2			faint		
195	Spectrogram 1	1	6012.609	6014.86572	2.257	12.609	229.2	729.2	TEST__0__20171002_044401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_044401.wav	X			RS	02-Jan					
196	Spectrogram 1	1	6042.86	6045.37183	2.512	42.86	236.1	694.4	TEST__0__20171002_044401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_044401.wav	X			RS	2			?		
202	Spectrogram 1	1	6154.397	6157.18851	2.792	34.397	166.7	611.1	TEST__0__20171002_062001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_062001.wav	X			RS	series					
209	Spectrogram 1	1	6308.476	6309.94777	1.472	68.476	466.5	861.2	TEST__0__20171002_064401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_064401.wav	X			RS	1					
211	Spectrogram 1	1	6439.69	6441.55425	1.864	79.69	631.6	1141.1	TEST__0__20171002_070801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_070801.wav	X			RS	1					
213	Spectrogram 1	1	6495.319	6497.10475	1.786	15.319	495.2	1119.6	TEST__0__20171002_072001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_072001.wav	X			RS				?		
217	Spectrogram 1	1	6632.003	6633.51402	1.511	32.003	581.3	1098.1	TEST__0__20171002_074401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_074401.wav	X			RS	1					
219	Spectrogram 1	1	6735.438	6736.75279	1.315	15.438	32.5	1115.9	TEST__0__20171002_075601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_075601.wav	X	"bark, yelp"	WH	RS	1				RS	It's a yelp-bark
220	Spectrogram 1	1	6843.779	6845.66287	1.884	3.779	674.6	1062.2	TEST__0__20171002_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_080801.wav	X		AH	RS	2			very faint		
222	Spectrogram 1	1	7041.261	7042.65429	1.393	81.261	674.6	1119.6	TEST__0__20171002_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_082001.wav	X			RS	1					
223	Spectrogram 1	1	6993.194	6994.60691	1.413	33.194	64.9	954.5	TEST__0__20171002_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_082001.wav	X	"bark, yelp"	AH	RS	series			yelps-bark		
227	Spectrogram 1	1	7152.52	7153.97215	1.452	72.52	92.8	918.7	TEST__0__20171002_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_084401.wav	X			RS	1					
230	Spectrogram 1	1	7308.66	7310.52425	1.864	108.66	143.5	602.9	TEST__0__20171002_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_085601.wav	X			RS	1					
235	Spectrogram 1	1	7419.502	7420.89529	1.393	99.502	229.7	631.6	TEST__0__20171002_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_095601.wav	X			RS	1					
236	Spectrogram 1	1	7399.405	7399.88577	0.481	79.405	767	977.3	TEST__0__20171002_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_095601.wav	X			RS	1					
237	Spectrogram 1	1	7469.855	7471.26791	1.413	29.855	696.2	1148.3	TEST__0__20171002_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_100801.wav	X			RS	1					
246	Spectrogram 1	1	7583.478	7585.28338	1.805	23.478	401.9	968.9	TEST__0__20171002_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_105601.wav	X			RS	1					
249	Spectrogram 1	1	7757.955	7759.38753	1.433	77.955	710.5	1062.2	TEST__0__20171002_114401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_114401.wav	X		AH	RS				very faint		
254	Spectrogram 1	1	7832.171	7834.8295	2.658	32.171	160	638.8	TEST__0__20171002_134401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_134401.wav	X			RS	series					
256	Spectrogram 1	1	7996.611	7997.57256	0.962	76.611	370.8	667.4	TEST__0__20171002_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_140801.wav	X			RS	1					
257	Spectrogram 1	1	8051.621	8053.34163	1.721	11.621	118.5	503.7	TEST__0__20171002_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_142001.wav	X			RS	1			pulse		
258	Spectrogram 1	1	8155.828	8156.75031	0.922	115.828	266.4	518.7	TEST__0__20171002_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_142001.wav	X			RS	1			pulse		
261	Spectrogram 1	1	8257.059	8258.74663	1.688	97.059	672.9	1177.6	TEST__0__20171002_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_152001.wav	X			RS				non biological?	RS	
265	Spectrogram 1	1	8287.161	8288.35805	1.197	7.161	658.9	1163.6	TEST__0__20171002_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_164401.wav	X			RS						
269	Spectrogram 1	1	8481.171	8483.21186	2.041	81.171	112.2	581.8	TEST__0__20171002_183201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_183201.wav	X			RS						
270	Spectrogram 1	1	8545.262	8546.43942	1.177	25.262	651.9	1079.4	TEST__0__20171002_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_184401.wav	X		AH	RS	1			very faint		
273	Spectrogram 1	1	8680.263	8681.59741	1.334	40.263	273.4	715	TEST__0__20171002_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_194401.wav	X			RS	1					
277	Spectrogram 1	1	8837.113	8838.56515	1.452	77.113	87.2	474.6	TEST__0__20171002_204401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171002_204401.wav	X			RS				?		
285	Spectrogram 1	1	8885.217	8888.59227	3.375	5.217	19.4	1113.9	TEST__0__20171003_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_000801.wav	X			RS	series					
286	Spectrogram 1	1	8935.896	8937.58363	1.688	55.896	87.2	600.6	TEST__0__20171003_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_000801.wav	X			RS				?		
287	Spectrogram 1	1	9019.776	9021.38515	1.609	19.776	135.6	794.3	TEST__0__20171003_002001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_002001.wav	X			RS	1					
288	Spectrogram 1	1	9180.826	9182.21928	1.393	60.826	67.8	658.7	TEST__0__20171003_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_003201.wav	X			RS	1					
301	Spectrogram 1	1	9302.039	9303.98174	1.943	62.039	356.1	1007.2	TEST__0__20171003_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_060801.wav	X			RS	series					
306	Spectrogram 1	1	9467.051	9468.19899	1.148	107.051	87.5	474.8	TEST__0__20171003_102001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_102001.wav	X			RS	1					
308	Spectrogram 1	1	9506.878	9507.99655	1.119	26.878	100.7	625.9	TEST__0__20171003_103201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_103201.wav	X			RS						
318	Spectrogram 1	1	9651.506	9653.13477	1.629	51.506	525.2	978.4	TEST__0__20171003_145601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_145601.wav	X			RS	series					
319	Spectrogram 1	1	9761.03	9762.38403	1.354	41.03	683.5	1071.9	TEST__0__20171003_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_162001.wav	X			RS	1					
327	Spectrogram 1	1	9879.087	9880.5784	1.491	39.087	115.1	618.7	TEST__0__20171003_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171003_225601.wav	X			RS	1					
331	Spectrogram 1	1	9967.8	9969.95861	2.159	7.8	259	669.1	TEST__0__20171004_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_012001.wav	X			RS	1					
333	Spectrogram 1	1	10149.492	10151.68986	2.198	69.492	179.9	777	TEST__0__20171004_015601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_015601.wav	X			RS	1			?		
334	Spectrogram 1	1	10310.999	10312.27454	1.276	110.999	64.7	424.5	TEST__0__20171004_025601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_025601.wav	X			RS	1					
341	Spectrogram 1	1	10429.815	10431.32602	1.511	109.815	273.4	618.7	TEST__0__20171004_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_060801.wav	X			RS	1					
344	Spectrogram 1	1	10488.997	10490.40991	1.413	48.997	201.4	589.9	TEST__0__20171004_063201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_063201.wav	X			RS	1					
345	Spectrogram 1	1	10613.681	10615.34901	1.668	53.681	158.3	697.8	TEST__0__20171004_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_073201.wav	X			RS	2					
346	Spectrogram 1	1	10659.088	10660.36354	1.276	99.088	36.2	1057.3	TEST__0__20171004_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_073201.wav	X			RS						
347	Spectrogram 1	1	10787.878	10790.50339	2.625	107.878	38.9	608.6	TEST__0__20171004_075601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_075601.wav	X			RS	series					
355	Spectrogram 1	1	10857.72	10859.40764	1.688	57.72	586.5	1092.1	TEST__0__20171004_112001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_112001.wav	X			RS	1					
356	Spectrogram 1	1	10938.628	10940.21752	1.59	18.628	653.9	1119.1	TEST__0__20171004_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_113201.wav	X			RS	1					
357	Spectrogram 1	1	11120.695	11122.44151	1.747	80.695	53.9	694.4	TEST__0__20171004_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_115601.wav	X			RS	1					
358	Spectrogram 1	1	11241.818	11243.17203	1.354	81.818	525.8	916.9	TEST__0__20171004_124401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_124401.wav	X			RS						
359	Spectrogram 1	1	11308.812	11310.06791	1.256	28.812	418	1018	TEST__0__20171004_130801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_130801.wav	X			RS	1					
367	Spectrogram 1	1	11468.028	11469.69602	1.668	68.028	221.6	664.8	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X		AH	RS	1			very faint		
368	Spectrogram 1	1	11481.837	11483.38727	1.55	81.837	661.4	1138.6	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X			RS	1					
369	Spectrogram 1	1	11427.714	11430.30432	2.59	27.714	88.6	715.9	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X			RS	series					
370	Spectrogram 1	1	11495.365	11497.34699	1.982	95.365	136.4	722.7	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X		AH	RS	03-Feb			very faint		
372	Spectrogram 1	1	11509.5	11510.95216	1.452	109.5	361.4	872.7	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X			RS	1					
373	Spectrogram 1	1	11475.044	11476.5354	1.491	75.044	204.5	640.9	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X			RS	1					
374	Spectrogram 1	1	11501.782	11503.09679	1.315	101.782	565.9	1159.1	TEST__0__20171004_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_195601.wav	X			RS	1					
375	Spectrogram 1	1	11531.327	11533.26975	1.943	11.327	156.8	709.1	TEST__0__20171004_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_200801.wav	X			RS	2					
378	Spectrogram 1	1	11520.662	11522.25152	1.59	0.662	218.2	777.3	TEST__0__20171004_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_200801.wav	X			RS						
380	Spectrogram 1	1	11606.285	11607.75677	1.472	86.285	204.5	593.2	TEST__0__20171004_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_200801.wav	X			RS	1					
384	Spectrogram 1	1	11729.39	11730.94027	1.55	89.39	86.2	1384.1	TEST__0__20171004_202001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_202001.wav	X	woof	AH	RS				woof sound		
388	Spectrogram 1	1	11657.6	11658.97365	1.374	17.6	531.8	1036.4	TEST__0__20171004_202001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_202001.wav	X			RS	1					
389	Spectrogram 1	1	11812.705	11814.80474	2.1	52.705	184.1	709.1	TEST__0__20171004_203201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_203201.wav	X			RS						
390	Spectrogram 1	1	11778.643	11779.89892	1.256	18.643	24.7	1172.7	TEST__0__20171004_203201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_203201.wav	X			RS				?		
393	Spectrogram 1	1	11942.538	11944.30413	1.766	62.538	170.5	600	TEST__0__20171004_204401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_204401.wav	X			RS	1					
399	Spectrogram 1	1	12066.294	12067.72323	1.429	66.294	117	726.9	TEST__0__20171004_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_205601.wav	X			RS				?		
401	Spectrogram 1	1	12019.46	12021.16726	1.707	19.46	640.9	1084.1	TEST__0__20171004_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_205601.wav	X			RS	1					
407	Spectrogram 1	1	12124.867	12127.26109	2.394	4.867	627.3	1125	TEST__0__20171004_212001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_212001.wav	X			RS	2					
409	Spectrogram 1	1	12232.145	12233.85226	1.707	112.145	136.4	654.5	TEST__0__20171004_212001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_212001.wav	X			RS	series					
412	Spectrogram 1	1	12278.578	12280.10865	1.531	38.578	634.1	1138.6	TEST__0__20171004_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_213201.wav	X			RS	1					
413	Spectrogram 1	1	12345.205	12346.65716	1.452	105.205	155.2	536.6	TEST__0__20171004_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_213201.wav	X			RS	1					
415	Spectrogram 1	1	12254.676	12256.06928	1.393	14.676	620.5	1022.7	TEST__0__20171004_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_213201.wav	X			RS	1					
416	Spectrogram 1	1	12395.724	12397.6275	1.904	35.724	569.8	1077.8	TEST__0__20171004_214401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_214401.wav	X			RS	1					
417	Spectrogram 1	1	12360.795	12362.40414	1.609	0.795	42.9	453.1	TEST__0__20171004_214401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_214401.wav	X			RS				? or banging noise		
418	Spectrogram 1	1	12401.965	12403.73113	1.766	41.965	123.6	1009.2	TEST__0__20171004_214401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_214401.wav	X			RS	1					
423	Spectrogram 1	1	12591.476	12593.08514	1.609	111.476	336.4	851.3	TEST__0__20171004_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20171004_215601.wav	X			RS						
