Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment
133	Spectrogram 1	1	3468.483	3472.44699	3.964	108.483	185.8	963.3	TEST__0__20180802_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_140801.wav	X	bark	too faint	RS	2			very faint barks		
134	Spectrogram 1	1	3578.892	3581.52157	2.63	98.892	330.3	1617	TEST__0__20180802_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_142001.wav	X		AH	RS	03-Feb			very faint		
141	Spectrogram 1	1	4022.536	4025.26369	2.728	62.536	178.9	1678.9	TEST__0__20180802_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_162001.wav	X	bark	too faint	RS	series			"faint barks, maybe yelps"		
142	Spectrogram 1	1	4117.114	4118.56615	1.452	37.114	750	1300.5	TEST__0__20180802_163201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_163201.wav	X		AH	RS	1			very faint		
163	Spectrogram 1	1	4788.673	4789.8308	1.158	108.673	138.9	1513.9	TEST__0__20180803_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_003201.wav	X		AH	RS	1			faint	RS	
164	Spectrogram 1	1	4861.134	4863.88131	2.747	61.134	159.7	1333.3	TEST__0__20180803_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_004401.wav	X	"bark, yelp"	too masked	RS	3					
167	Spectrogram 1	1	4973.467	4975.74335	2.276	53.467	541.7	2784.7	TEST__0__20180803_022001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_022001.wav	X	yelp	WH	RS					RS	Really close yelp
179	Spectrogram 1	1	5531.284	5532.4418	1.158	11.284	104.2	1097.2	TEST__0__20180803_044401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_044401.wav	X	bark	too masked	RS	1					
200	Spectrogram 1	1	6170.68	6172.23027	1.55	50.68	380.2	1610.6	TEST__0__20180803_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_115601.wav	X	yelp		RS	2					
239	Spectrogram 1	1	6535.756	6536.75681	1.001	55.756	368.9	1176.3	TEST__0__20180803_203201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_203201.wav	X	yelp?		RS	1					
291	Spectrogram 1	1	7494.673	7495.53644	0.863	54.673	168.4	887.8	TEST__0__20180804_053201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_053201.wav	X		AH	RS	2			faint		
295	Spectrogram 1	1	7561.805	7563.11979	1.315	1.805	398.6	1028	TEST__0__20180804_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_054401.wav	X		AH	RS	1			faint down sweep		
303	Spectrogram 1	1	7763.336	7764.47417	1.138	83.336	587.4	1237.8	TEST__0__20180804_070801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_070801.wav	X		AH	RS	1			faint		
329	Spectrogram 1	1	8200.891	8202.61789	1.727	40.891	118.1	902.8	TEST__0__20180804_092001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_092001.wav	X		AH	RS				faint		
332	Spectrogram 1	1	8306.371	8307.96052	1.59	26.371	145.8	791.7	TEST__0__20180804_094401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_094401.wav	X	woof	AH	RS	1			woof		
342	Spectrogram 1	1	8542.351	8544.0877	1.737	22.351	59.6	981.3	TEST__0__20180804_114401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_114401.wav	X		AH	RS	02-Jan			faint		
349	Spectrogram 1	1	8798.095	8800.03774	1.943	38.095	154.6	681.5	TEST__0__20180804_135601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_135601.wav	X	woof?	AH	RS				"maybe, woof sound"		
382	Spectrogram 1	1	8902.941	8904.90337	1.962	22.941	263.9	861.1	TEST__0__20180804_210801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_210801.wav	X		AH	RS	03-Feb			faint		
482	Spectrogram 1	1	10173.162	10175.22248	2.06	93.162	121.9	738.1	TEST__0__20180805_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_113201.wav	X		AH	RS	2			faint	RS	
487	Spectrogram 1	1	10268.898	10271.02717	2.129	68.898	115.4	760.2	TEST__0__20180805_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_120801.wav	X		AH	RS	05-Apr			faint		
510	Spectrogram 1	1	10563.395	10564.59204	1.197	3.395	679.1	1134.1	TEST__0__20180805_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_162001.wav	X		AH	RS				very faint		
527	Spectrogram 1	1	10794.815	10796.11017	1.295	114.815	204.4	1074.7	TEST__0__20180805_193201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_193201.wav	X		AH	RS		Yes		very faint		
528	Spectrogram 1	1	10759.295	10760.23694	0.942	79.295	244	1094.5	TEST__0__20180805_193201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_193201.wav	X	bark	too faint?	RS	1	Yes				
569	Spectrogram 1	1	11576.703	11577.58607	0.883	56.703	672.5	1173.6	TEST__0__20180806_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_040801.wav	X	yelp	AH	RS	1			"good one, yelp"		
570	Spectrogram 1	1	11731.101	11732.43541	1.334	91.101	672.5	1371.4	TEST__0__20180806_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_050801.wav	X		AH	RS				very faint		
577	Spectrogram 1	1	11875.986	11876.74642	0.76	115.986	507.7	1407	TEST__0__20180806_065601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_065601.wav	X		AH	RS	1			faint		
594	Spectrogram 1	1	12522.566	12523.86116	1.295	42.566	837.4	1635.2	TEST__0__20180806_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_164401.wav	X	yelp	WH	RS	1			downsweep	RS	"Too short for BS, sounds quite similar to other RS yelps"
595	Spectrogram 1	1	12714.677	12715.59931	0.922	114.677	230.8	1358.2	TEST__0__20180806_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_180801.wav	X		AH	RS	1			faint		
607	Spectrogram 1	1	12931.229	12932.10716	0.878	91.229	227.5	817.6	TEST__0__20180806_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_220801.wav	X		AH	RS				very faint		
619	Spectrogram 1	1	13238.612	13276.82943	38.217	38.612	250.5	745.1	TEST__0__20180807_005601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_005601.wav	X	yelp	AH	RS	series			"short down-sweeps, never seen this pattern before"	RS	
621	Spectrogram 1	1	13495.294	13497.17788	1.884	55.294	513.5	1351.4	TEST__0__20180807_015601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_015601.wav	X		AH	RS	1			very faint		
734	Spectrogram 1	1	16743.69	16744.7104	1.02	63.69	137	1271.7	TEST__0__20180808_234401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180808_234401.wav	X	bark	too faint	RS	1					
802	Spectrogram 1	1	19054.583	19056.7612	2.178	94.583	147	935.4	TEST__0__20180810_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180810_105601.wav	X	bark	AH	RS	series			very faint barks		
810	Spectrogram 1	1	19212.669	19214.2585	1.59	12.669	501.1	1142.5	TEST__0__20180810_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180810_132001.wav	X		AH	RS	1			faint		
1066	Spectrogram 1	1	22832.112	22833.8781	1.766	32.112	541.9	1316.1	TEST__0__20180813_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180813_132001.wav	X	yelp		RS	1					
1072	Spectrogram 1	1	23247.567	23249.8041	2.237	87.567	745.1	1451.4	TEST__0__20180813_172001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180813_172001.wav	X		AH	RS	2			faint		
1153	Spectrogram 1	1	24082.449	24084.7057	2.257	82.449	235.8	880.5	TEST__0__20180814_125601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180814_125601.wav	X		AH	RS				very high ambient	RS	
4	Spectrogram 1	1	49.336	51.2591209	1.923	49.336	454.8	1004.5	TEST__0__20180801_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_004401.wav	X			RS	1					
41	Spectrogram 1	1	549.817	551.975605	2.159	69.817	256.4	782.1	TEST__0__20180801_104401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_104401.wav	X			RS	02-Jan					
76	Spectrogram 1	1	635.511	636.70804	1.197	35.511	27.5	983.9	TEST__0__20180801_204401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_204401.wav	X			RS	1					
77	Spectrogram 1	1	799.892	801.01055	1.119	79.892	357.8	901.4	TEST__0__20180801_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_205601.wav	X			RS	1					
90	Spectrogram 1	1	956.167	957.48179	1.315	116.167	571.1	990.8	TEST__0__20180801_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_220801.wav	X			RS	1					
92	Spectrogram 1	1	1044.041	1045.00257	0.962	84.041	216.5	1168.9	TEST__0__20180801_224401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_224401.wav	X			RS						
93	Spectrogram 1	1	1164.145	1165.34205	1.197	84.145	357.8	853.2	TEST__0__20180802_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_000801.wav	X			RS	1					
95	Spectrogram 1	1	1206.803	1207.94117	1.138	6.803	323.4	798.2	TEST__0__20180802_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_004401.wav	X			RS	1					
98	Spectrogram 1	1	1354.032	1355.41547	1.383	34.032	137.6	1252.3	TEST__0__20180802_010801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_010801.wav	X			RS						
100	Spectrogram 1	1	1546.336	1547.5723	1.236	106.336	295.9	915.1	TEST__0__20180802_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_020801.wav	X			RS	1					
107	Spectrogram 1	1	1714.984	1716.22029	1.236	34.984	178.9	798.2	TEST__0__20180802_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_033201.wav	X		AH	RS	1			"likely, maybe non biological"		
108	Spectrogram 1	1	1895.105	1896.20393	1.099	95.105	289	688.1	TEST__0__20180802_034401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_034401.wav	X			RS	1					
111	Spectrogram 1	1	2033.479	2036.24594	2.767	113.479	447.2	1314.2	TEST__0__20180802_042001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_042001.wav	X		AH	RS				sounds rather like a squieking non-bio sound	RS	
112	Spectrogram 1	1	2118.73	2119.86818	1.138	78.73	516.1	1018.3	TEST__0__20180802_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_050801.wav	X			RS	1					
116	Spectrogram 1	1	2162.021	2163.00218	0.981	2.021	674.3	1156	TEST__0__20180802_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_060801.wav	X			RS	1					
123	Spectrogram 1	1	2487.77	2489.71274	1.943	87.77	564.2	1156	TEST__0__20180802_090801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_090801.wav	X		AH	RS				whistle like		
124	Spectrogram 1	1	2552.976	2554.15342	1.177	32.976	406	963.3	TEST__0__20180802_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_095601.wav	X			RS	1					
125	Spectrogram 1	1	2561.14	2562.02307	0.883	41.14	529.8	1224.8	TEST__0__20180802_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_095601.wav	X			RS	1					
126	Spectrogram 1	1	2682.975	2684.15242	1.177	42.975	557.3	1211	TEST__0__20180802_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_110801.wav	X		AH	RS	1			good one		
127	Spectrogram 1	1	2733.464	2734.66104	1.197	93.464	674.3	2738.5	TEST__0__20180802_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_110801.wav	X			RS					RS	
128	Spectrogram 1	1	2822.109	2822.7713	0.662	62.109	213.3	833.4	TEST__0__20180802_122001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_122001.wav	X			RS	1					
129	Spectrogram 1	1	2924.348	2925.81977	1.472	44.348	805	1376.1	TEST__0__20180802_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_123201.wav	X			RS	1			down sweep		
130	Spectrogram 1	1	3065.483	3066.48381	1.001	65.483	639.9	1279.8	TEST__0__20180802_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_133201.wav	X			RS	1					
131	Spectrogram 1	1	3195.464	3197.09277	1.629	75.464	653.7	1541.3	TEST__0__20180802_134401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_134401.wav	X			RS				biological? squieking sound	RS	
144	Spectrogram 1	1	4214.23	4215.40742	1.177	14.23	970.2	1575.7	TEST__0__20180802_172001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_172001.wav	X			RS	1					
145	Spectrogram 1	1	4359.575	4361.04677	1.472	39.575	309.6	1149.1	TEST__0__20180802_173201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_173201.wav	X			RS						
147	Spectrogram 1	1	4517.803	4519.70649	1.903	77.803	812.5	1451.4	TEST__0__20180802_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_190801.wav	X			RS	1					
148	Spectrogram 1	1	4672.479	4673.23452	0.756	112.479	326.4	1060.7	TEST__0__20180802_192001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_192001.wav	X			RS	1					
165	Spectrogram 1	1	4871.107	4873.86904	2.762	71.107	291.7	1591	TEST__0__20180803_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_004401.wav	X			RS	series					
173	Spectrogram 1	1	5315.286	5317.111	1.825	35.286	548.6	1451.4	TEST__0__20180803_032001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_032001.wav	X			RS	2					
185	Spectrogram 1	1	5723.358	5724.77091	1.413	83.358	456.2	1016.1	TEST__0__20180803_085601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_085601.wav	X			RS	1					
190	Spectrogram 1	1	5990.613	5992.32026	1.707	110.613	276.5	767.3	TEST__0__20180803_104401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_104401.wav	X			RS	1					
222	Spectrogram 1	1	6346.009	6347.29435	1.285	106.009	512.8	1071.4	TEST__0__20180803_143201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_143201.wav	X			RS						
236	Spectrogram 1	1	6478.736	6479.91342	1.177	118.736	278.4	1016.2	TEST__0__20180803_192001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_192001.wav	X			RS						
246	Spectrogram 1	1	6630.43	6631.6663	1.236	30.43	375.9	814.4	TEST__0__20180803_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_225601.wav	X			RS	1	Yes	Large		RS	
251	Spectrogram 1	1	6791.501	6792.95315	1.452	71.501	257.5	772.6	TEST__0__20180803_234401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_234401.wav	X			RS	1					
264	Spectrogram 1	1	6883.784	6885.70712	1.923	43.784	545.5	1125.9	TEST__0__20180804_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_024401.wav	X			RS	1					
269	Spectrogram 1	1	6970.91	6972.44064	1.531	10.91	167.8	881.1	TEST__0__20180804_032001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_032001.wav	X			RS						
277	Spectrogram 1	1	7136.861	7137.92068	1.06	56.861	234.3	814.7	TEST__0__20180804_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_040801.wav	X			RS	1					
282	Spectrogram 1	1	7315.217	7316.7084	1.491	115.217	251.7	706.3	TEST__0__20180804_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_043201.wav	X			RS	1					
284	Spectrogram 1	1	7431.03	7432.20742	1.177	111.03	209.8	979	TEST__0__20180804_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_045601.wav	X	bark	AH	RS	2			barks		
285	Spectrogram 1	1	7436.132	7437.11319	0.981	116.132	209.8	741.3	TEST__0__20180804_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_045601.wav	X			RS	1					
294	Spectrogram 1	1	7631.687	7633.37463	1.688	71.687	195.8	986	TEST__0__20180804_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_054401.wav	X			RS	1					
309	Spectrogram 1	1	7911.503	7912.79816	1.295	111.503	118.9	937.1	TEST__0__20180804_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_073201.wav	X			RS				?	RS	
313	Spectrogram 1	1	8023.998	8025.21467	1.217	103.998	209.8	937.1	TEST__0__20180804_075601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_075601.wav	X			RS	1					
316	Spectrogram 1	1	8152.222	8153.50245	1.28	112.222	458	1352.9	TEST__0__20180804_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_080801.wav	X			RS	03-Feb				RS	
333	Spectrogram 1	1	8400.805	8402.27678	1.472	0.805	371.5	953.3	TEST__0__20180804_104401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_104401.wav	X			RS	1					
347	Spectrogram 1	1	8675.609	8677.434	1.825	35.609	126.5	1215.5	TEST__0__20180804_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_133201.wav	X			RS	2					
389	Spectrogram 1	1	9037.957	9040.1156	2.159	37.957	187.5	611.1	TEST__0__20180804_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_215601.wav	X			RS	1					
391	Spectrogram 1	1	9125.848	9127.49639	1.648	5.848	388.9	1097.2	TEST__0__20180804_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_220801.wav	X	bark	WH	RS				biological? or just water movement?	RS	I think I hear a series of barks
404	Spectrogram 1	1	9258.396	9259.63229	1.236	18.396	199.6	778.3	TEST__0__20180804_233201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180804_233201.wav	X			RS	1					
440	Spectrogram 1	1	9398.343	9399.54004	1.197	38.343	399.1	1144.1	TEST__0__20180805_042001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_042001.wav	X			RS	1					
441	Spectrogram 1	1	9593.096	9594.41078	1.315	113.096	325.9	818.2	TEST__0__20180805_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_043201.wav	X			RS	1					
444	Spectrogram 1	1	9634.796	9635.56132	0.765	34.796	107.1	1271.5	TEST__0__20180805_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_045601.wav	X			RS	1				RS	
459	Spectrogram 1	1	9745.156	9746.49041	1.334	25.156	81.3	921	TEST__0__20180805_074401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_074401.wav	X			RS						
463	Spectrogram 1	1	9851.964	9852.69008	0.726	11.964	636.6	1117.4	TEST__0__20180805_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_080801.wav	X			RS	1					
479	Spectrogram 1	1	10052.922	10053.76582	0.844	92.922	101.6	961.6	TEST__0__20180805_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_110801.wav	X	bark	AH	RS	1			bark		
484	Spectrogram 1	1	10272.676	10273.89267	1.217	72.676	251.1	760.2	TEST__0__20180805_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_120801.wav	X			RS	1					
491	Spectrogram 1	1	10354.598	10355.95203	1.354	34.598	162.9	699.1	TEST__0__20180805_124401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_124401.wav	X			RS	1					
492	Spectrogram 1	1	10358.593	10360.04515	1.452	38.593	224	902.7	TEST__0__20180805_124401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_124401.wav	X			RS	03-Feb					
497	Spectrogram 1	1	10444.082	10445.35754	1.276	4.082	162.9	794.1	TEST__0__20180805_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_133201.wav	X			RS						
533	Spectrogram 1	1	10891.126	10892.48003	1.354	91.126	883.5	1516.5	TEST__0__20180805_203201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_203201.wav	X			RS	1			down sweep		
551	Spectrogram 1	1	11053.638	11054.85467	1.217	13.638	375.8	1213.2	TEST__0__20180805_235601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180805_235601.wav	X			RS						
558	Spectrogram 1	1	11195.49	11196.9814	1.491	35.49	164.8	811	TEST__0__20180806_010801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_010801.wav	X			RS	3					
559	Spectrogram 1	1	11284.572	11286.04377	1.472	4.572	191.2	1167	TEST__0__20180806_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_012001.wav	X			RS	2					
562	Spectrogram 1	1	11427.268	11428.79864	1.531	27.268	164.8	738.5	TEST__0__20180806_014401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_014401.wav	X			RS	03-Feb					
586	Spectrogram 1	1	11925.72	11927.93747	2.217	45.72	461.5	1028.6	TEST__0__20180806_102001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_102001.wav	X	bark	AH	RS	series			"barks, faint"		
588	Spectrogram 1	1	12038.729	12039.67093	0.942	38.729	362.6	1015.4	TEST__0__20180806_114401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_114401.wav	X			RS	1					
589	Spectrogram 1	1	12132.437	12134.02651	1.59	12.437	665.9	1081.3	TEST__0__20180806_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_133201.wav	X			RS	1					
592	Spectrogram 1	1	12381.897	12383.78087	1.884	21.897	626.4	1509.9	TEST__0__20180806_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_160801.wav	X			RS	2					
593	Spectrogram 1	1	12532.468	12533.5473	1.079	52.468	553.8	1411	TEST__0__20180806_164401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_164401.wav	X			RS	1					
599	Spectrogram 1	1	12746.395	12748.06302	1.668	26.395	797.8	1213.2	TEST__0__20180806_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_200801.wav	X			RS	2					
606	Spectrogram 1	1	12928.462	12929.36469	0.903	88.462	461.5	1819.8	TEST__0__20180806_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_220801.wav	X			RS	1					
608	Spectrogram 1	1	12998.852	13000.04904	1.197	38.852	652.7	1173.6	TEST__0__20180806_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_225601.wav	X			RS	1					
609	Spectrogram 1	1	12960.721	12963.8657	3.145	0.721	586.8	1699.7	TEST__0__20180806_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_225601.wav	X			RS	2					
622	Spectrogram 1	1	13612.578	13614.61887	2.041	52.578	27	668.9	TEST__0__20180807_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_043201.wav	X			RS	2					
627	Spectrogram 1	1	13785.552	13786.76867	1.217	105.552	520.3	2283.8	TEST__0__20180807_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_110801.wav	X			RS				?	RS	
628	Spectrogram 1	1	13877.518	13879.63736	2.119	77.518	398.6	1202.7	TEST__0__20180807_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_115601.wav	X			RS						
629	Spectrogram 1	1	13932.444	13933.40556	0.962	12.444	256.8	1202.7	TEST__0__20180807_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_142001.wav	X			RS	1					
630	Spectrogram 1	1	14114.842	14115.68582	0.844	74.842	378.4	1155.4	TEST__0__20180807_143201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_143201.wav	X			RS	1					
631	Spectrogram 1	1	14117.432	14118.4328	1.001	77.432	743.2	1324.3	TEST__0__20180807_143201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_143201.wav	X			RS	1					
635	Spectrogram 1	1	14233.923	14234.72757	0.805	73.923	614.9	1128.4	TEST__0__20180807_173201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_173201.wav	X			RS	1					
636	Spectrogram 1	1	14363.551	14364.63031	1.079	83.551	567.6	1209.5	TEST__0__20180807_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_174401.wav	X			RS	1					
637	Spectrogram 1	1	14401.084	14401.6629	0.579	1.084	107.1	1043.9	TEST__0__20180807_182001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_182001.wav	X			RS	1					
643	Spectrogram 1	1	14636.625	14638.33226	1.707	116.625	183.7	795.9	TEST__0__20180807_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_194401.wav	X			RS						
644	Spectrogram 1	1	14607.415	14608.65129	1.236	87.415	496.6	1258.5	TEST__0__20180807_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_194401.wav	X			RS	1					
645	Spectrogram 1	1	14641.276	14642.57116	1.295	1.276	306.1	932	TEST__0__20180807_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180807_195601.wav	X			RS						
