Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Hour	Begin Date	Species	Call type	Comments	Quantity	WH	KZ Done?
49	Spectrogram 1	1	2360.458033000	2360.458033000	1221.400	1221.400	67145740.220517184337.wav	0		RS	YELP				Y
50	Spectrogram 1	1	2361.142040000	2361.142040000	1221.400	1221.400	67145740.220517184337.wav	0		RS	YELP				Y
74	Spectrogram 1	1	3372.559987000	3392.911186000	685.700	2003.600	67145740.220517190337.wav	0		RS	YELP		14		Y
76	Spectrogram 1	1	3417.328776000	3429.616383000	803.600	1660.700	67145740.220517190337.wav	0		RS	YELP		7		Y
84	Spectrogram 1	1	4024.883515000	4024.883515000	878.600	878.600	67145740.220517191337.wav	1		RS	YELP				Y
85	Spectrogram 1	1	4033.806260000	4033.806260000	878.600	878.600	67145740.220517191337.wav	1		RS	YELP				Y
87	Spectrogram 1	1	4113.566176060	4113.569795000	857.100	857.100	67145740.220517191337.wav	1		RS	YELP				Y
88	Spectrogram 1	1	4114.407945000	4114.407945000	653.600	653.600	67145740.220517191337.wav	1		RS	BARK				Y
89	Spectrogram 1	1	4115.833764000	4115.833764000	578.600	578.600	67145740.220517191337.wav	1		RS	BARK				Y
98	Spectrogram 1	1	4831.053597000	4831.063230000	1167.900	1167.900	67145740.220517192837.wav	1		RS	YELP				Y
110	Spectrogram 1	1	5774.315989000	5774.315989000	835.700	835.700	67145740.220517194337.wav	1		RS	YELP				Y
111	Spectrogram 1	1	5778.439303000	5778.439303000	664.300	664.300	67145740.220517194337.wav	1		RS	YELP				Y
112	Spectrogram 1	1	5780.154140000	5780.154140000	707.100	707.100	67145740.220517194337.wav	1		RS	YELP				Y
113	Spectrogram 1	1	5785.865291000	5785.865291000	578.600	578.600	67145740.220517194337.wav	1		RS	YELP				Y
114	Spectrogram 1	1	5788.977917000	5788.977917000	396.400	396.400	67145740.220517194337.wav	1		RS	BARK				Y
115	Spectrogram 1	1	5790.477299000	5790.477299000	370.518	370.518	67145740.220517194337.wav	1		RS	BARK			bark	Y
118	Spectrogram 1	1	6236.072858000	6236.072858000	235.700	235.700	67145740.220517194837.wav	1		RS	GROWL				Y
122	Spectrogram 1	1	6322.305120000	6322.305120000	228.261	228.261	67145740.220517195337.wav	1		RS	GROWL			growl	Y
127	Spectrogram 1	1	6783.860548000	6783.860548000	964.300	964.300	67145740.220517195837.wav	1		RS	YELP				Y
129	Spectrogram 1	1	6802.283214000	6804.470112000	814.300	1221.400	67145740.220517195837.wav	1		RS	YELP		3		Y
131	Spectrogram 1	1	6964.745999000	6964.745999000	1146.400	1157.100	67145740.220517200337.wav	1		RS	YELP				Y
132	Spectrogram 1	1	6967.626538000	6967.626538000	1092.900	1092.900	67145740.220517200337.wav	1		RS	YELP				Y
133	Spectrogram 1	1	7080.548242000	7080.548242000	1564.300	1564.300	67145740.220517200337.wav	1		RS	YELP				Y
139	Spectrogram 1	1	7492.721123000	7492.904167000	953.600	1575.000	67145740.220517200837.wav	2		RS	YELP				Y
140	Spectrogram 1	1	7507.787670000	7508.577651000	653.600	964.300	67145740.220517201337.wav	2		RS	YELP				Y
141	Spectrogram 1	1	7508.720407000	7508.720407000	803.600	803.600	67145740.220517201337.wav	2		RS	BARK				Y
143	Spectrogram 1	1	7514.233630000	7514.233630000	782.100	782.100	67145740.220517201337.wav	2		RS	YELP				Y
144	Spectrogram 1	1	7514.776647000	7514.776647000	610.700	610.700	67145740.220517201337.wav	2		RS	BARK				Y
145	Spectrogram 1	1	7516.646499000	7516.646499000	1092.900	1092.900	67145740.220517201337.wav	2		RS	YELP				Y
146	Spectrogram 1	1	7518.178291000	7518.178291000	792.900	792.900	67145740.220517201337.wav	2		RS	YELP				Y
147	Spectrogram 1	1	7518.534745000	7518.534745000	696.400	696.400	67145740.220517201337.wav	2		RS	BARK				Y
148	Spectrogram 1	1	7518.977905000	7518.977905000	675.000	675.000	67145740.220517201337.wav	2		RS	YELP				Y
149	Spectrogram 1	1	7519.498136000	7519.498136000	482.100	482.100	67145740.220517201337.wav	2		RS	BARK				Y
150	Spectrogram 1	1	7520.008734000	7520.008734000	985.700	985.700	67145740.220517201337.wav	2		RS	YELP				Y
151	Spectrogram 1	1	7520.471162000	7520.471162000	814.300	814.300	67145740.220517201337.wav	2		RS	BARK				Y
152	Spectrogram 1	1	7521.261142000	7521.261142000	1746.400	1746.400	67145740.220517201337.wav	2		RS	YELP				Y
153	Spectrogram 1	1	7524.003317000	7524.003317000	1414.300	1414.300	67145740.220517201337.wav	2		RS	YELP				Y
154	Spectrogram 1	1	7524.301968000	7524.301968000	910.700	910.700	67145740.220517201337.wav	2		RS	BARK				Y
155	Spectrogram 1	1	7524.985976000	7524.985976000	1489.300	1489.300	67145740.220517201337.wav	2		RS	YELP				Y
167	Spectrogram 1	1	8633.159013000	8633.159013000	910.700	910.700	67145740.220517202837.wav	2		RS	YELP				Y
168	Spectrogram 1	1	8634.382519000	8634.382519000	557.100	557.100	67145740.220517202837.wav	2		RS	YELP				Y
169	Spectrogram 1	1	8636.232230000	8636.232230000	610.700	610.700	67145740.220517202837.wav	2		RS	YELP				Y
170	Spectrogram 1	1	8637.523174000	8637.523174000	889.300	889.300	67145740.220517202837.wav	2		RS	YELP				Y
171	Spectrogram 1	1	8670.028011000	8677.195641000	792.900	1532.100	67145740.220517202837.wav	2		RS	YELP		6		Y
172	Spectrogram 1	1	8679.628632000	8679.628632000	1307.100	1307.100	67145740.220517202837.wav	2		RS	YELP				Y
173	Spectrogram 1	1	8687.470636000	8687.470636000	1210.700	1210.700	67145740.220517202837.wav	2		RS	YELP				Y
174	Spectrogram 1	1	8690.085794000	8690.085794000	1221.400	1221.400	67145740.220517202837.wav	2		RS	YELP				Y
175	Spectrogram 1	1	8692.070380000	8692.070380000	942.900	942.900	67145740.220517202837.wav	2		RS	YELP				Y
176	Spectrogram 1	1	8702.164099000	8702.164099000	1328.600	1328.600	67145740.220517203337.wav	2		RS	YELP				Y
177	Spectrogram 1	1	8704.726719000	8704.726719000	1178.600	1178.600	67145740.220517203337.wav	2		RS	YELP				Y
179	Spectrogram 1	1	8713.351704000	8713.351704000	1125.000	1125.000	67145740.220517203337.wav	2		RS	YELP				Y
184	Spectrogram 1	1	8999.547180000	8999.547180000	353.600	353.600	67145740.220517203337.wav	2		RS	BARK				Y
185	Spectrogram 1	1	9000.134849000	9000.134849000	160.700	160.700	67145740.220517203337.wav	2		RS	GROWL				Y
186	Spectrogram 1	1	9023.300041000	9023.300041000	964.300	964.300	67145740.220517203837.wav	2		RS	YELP				Y
187	Spectrogram 1	1	9036.175325000	9036.175325000	192.900	192.900	67145740.220517203837.wav	2		RS	GROWL				Y
188	Spectrogram 1	1	9036.714824000	9036.714824000	835.700	835.700	67145740.220517203837.wav	2		RS	YELP				Y
190	Spectrogram 1	1	9114.646154000	9115.975634000	707.100	1285.700	67145740.220517203837.wav	2		RS	YELP		3		Y
191	Spectrogram 1	1	9116.093876000	9118.415649000	107.100	1060.700	67145740.220517203837.wav	2		RS	BARK		7		Y
192	Spectrogram 1	1	9123.327184000	9123.327184000	985.700	985.700	67145740.220517203837.wav	2		RS	YELP				Y
193	Spectrogram 1	1	9128.481327000	9128.481327000	717.900	717.900	67145740.220517203837.wav	2		RS	BARK				Y
194	Spectrogram 1	1	9134.212627000	9134.212627000	1489.300	1489.300	67145740.220517203837.wav	2		RS	YELP				Y
195	Spectrogram 1	1	9135.224188000	9135.224188000	846.400	846.400	67145740.220517203837.wav	2		RS	YELP				Y
196	Spectrogram 1	1	9139.121550000	9139.372031000	878.600	1200.000	67145740.220517203837.wav	2		RS	YELP				Y
197	Spectrogram 1	1	9139.680317000	9139.680317000	482.100	482.100	67145740.220517203837.wav	2		RS	BARK				Y
198	Spectrogram 1	1	9140.075307000	9140.277619000	632.100	889.300	67145740.220517203837.wav	2		RS	YELP				Y
199	Spectrogram 1	1	9140.585904000	9140.951993000	728.600	1135.700	67145740.220517203837.wav	2		RS	YELP				Y
200	Spectrogram 1	1	9144.205604000	9144.205604000	1007.100	1007.100	67145740.220517203837.wav	2		RS	YELP				Y
201	Spectrogram 1	1	9144.706567000	9144.706567000	439.300	439.300	67145740.220517203837.wav	2		RS	BARK				Y
202	Spectrogram 1	1	9145.371307000	9145.371307000	857.100	857.100	67145740.220517203837.wav	2		RS	YELP				Y
203	Spectrogram 1	1	9146.161288000	9146.411770000	150.000	214.300	67145740.220517203837.wav	2		RS	BARK				Y
204	Spectrogram 1	1	9147.383060000	9147.383060000	1232.100	1232.100	67145740.220517203837.wav	2		RS	YELP				Y
205	Spectrogram 1	1	9149.695199000	9149.695199000	1017.900	1017.900	67145740.220517203837.wav	2		RS	YELP				Y
206	Spectrogram 1	1	9149.984216000	9149.984216000	385.700	385.700	67145740.220517203837.wav	2		RS	BARK				Y
207	Spectrogram 1	1	9150.460654000	9150.460654000	953.600	953.600	67145740.220517203837.wav	2		RS	YELP				Y
208	Spectrogram 1	1	9151.346973000	9151.751598000	653.600	1478.600	67145740.220517203837.wav	2		RS	YELP				Y
209	Spectrogram 1	1	9152.512677000	9153.090711000	589.300	1950.000	67145740.220517203837.wav	2		RS	YELP				Y
210	Spectrogram 1	1	9158.293909000	9158.293909000	1189.300	1189.300	67145740.220517203837.wav	2		RS	YELP				Y
211	Spectrogram 1	1	9163.316675000	9163.316675000	1082.100	1082.100	67145740.220517203837.wav	2		RS	YELP				Y
212	Spectrogram 1	1	9163.991049000	9164.347504000	760.700	1917.900	67145740.220517203837.wav	2		RS	YELP				Y
213	Spectrogram 1	1	9165.473777000	9165.473777000	889.300	889.300	67145740.220517203837.wav	2		RS	YELP				Y
214	Spectrogram 1	1	9175.470280000	9175.479914000	450.000	450.000	67145740.220517203837.wav	2		RS	BARK				Y
215	Spectrogram 1	1	9184.825696000	9184.825696000	1071.400	1071.400	67145740.220517203837.wav	2		RS	YELP				Y
216	Spectrogram 1	1	9187.542459000	9187.542459000	1028.600	1028.600	67145740.220517203837.wav	2		RS	YELP				Y
217	Spectrogram 1	1	9188.568902000	9188.568902000	985.700	985.700	67145740.220517203837.wav	2		RS	YELP				Y
218	Spectrogram 1	1	9191.776995000	9191.911869000	696.400	1082.100	67145740.220517203837.wav	2		RS	YELP				Y
219	Spectrogram 1	1	9197.189493000	9197.189493000	1071.400	1071.400	67145740.220517203837.wav	2		RS	YELP				Y
220	Spectrogram 1	1	9198.008376000	9198.008376000	1028.600	1028.600	67145740.220517203837.wav	2		RS	YELP				Y
221	Spectrogram 1	1	9201.524753000	9201.551908000	1103.600	1103.600	67145740.220517203837.wav	2		RS	YELP				Y
222	Spectrogram 1	1	9209.738986000	9209.738986000	1253.600	1253.600	67145740.220517203837.wav	2		RS	YELP				Y
223	Spectrogram 1	1	9210.489570000	9210.489570000	1339.300	1339.300	67145740.220517203837.wav	2		RS	YELP				Y
224	Spectrogram 1	1	9220.831111000	9220.831111000	1146.400	1146.400	67145740.220517203837.wav	2		RS	YELP				Y
225	Spectrogram 1	1	9221.727064000	9221.727064000	385.700	385.700	67145740.220517203837.wav	2		RS	BARK				Y
226	Spectrogram 1	1	9231.416155000	9231.416155000	1060.700	1060.700	67145740.220517203837.wav	2		RS	YELP				Y
227	Spectrogram 1	1	9231.685905000	9231.685905000	482.100	482.100	67145740.220517203837.wav	2		RS	BARK				Y
228	Spectrogram 1	1	9232.023092000	9232.023092000	878.600	878.600	67145740.220517203837.wav	2		RS	YELP				Y
229	Spectrogram 1	1	9232.716733000	9232.716733000	932.100	932.100	67145740.220517203837.wav	2		RS	YELP				Y
230	Spectrogram 1	1	9233.236965000	9233.236965000	621.400	621.400	67145740.220517203837.wav	2		RS	BARK				Y
231	Spectrogram 1	1	9237.485519000	9237.485519000	932.100	932.100	67145740.220517203837.wav	2		RS	YELP				Y
232	Spectrogram 1	1	9240.366944000	9240.501819000	942.900	1232.100	67145740.220517203837.wav	2		RS	YELP				Y
235	Spectrogram 1	1	9589.286205000	9589.286205000	203.600	203.600	67145740.220517204337.wav	2		RS	GROWL				Y
236	Spectrogram 1	1	9594.278322000	9594.281826000	867.900	867.900	67145740.220517204337.wav	2		RS	YELP				Y
237	Spectrogram 1	1	9598.902600000	9598.902600000	771.400	771.400	67145740.220517204337.wav	2		RS	YELP				Y
238	Spectrogram 1	1	9603.272892000	9603.272892000	610.700	610.700	67145740.220517204837.wav	2		RS	YELP				Y
239	Spectrogram 1	1	9604.650542000	9604.650542000	235.700	235.700	67145740.220517204837.wav	2		RS	GROWL				Y
240	Spectrogram 1	1	9605.943237000	9605.943237000	600.000	600.000	67145740.220517204837.wav	2		RS	YELP				Y
241	Spectrogram 1	1	9607.407591000	9607.407591000	825.000	825.000	67145740.220517204837.wav	2		RS	YELP				Y
242	Spectrogram 1	1	9608.471700000	9608.471700000	953.600	953.600	67145740.220517204837.wav	2		RS	YELP				Y
243	Spectrogram 1	1	9610.032394000	9610.032394000	846.400	846.400	67145740.220517204837.wav	2		RS	YELP				Y
244	Spectrogram 1	1	9613.700289000	9622.476782000	503.600	1242.900	67145740.220517204837.wav	2		RS	YELP		6		Y
252	Spectrogram 1	1	10166.769110000	10166.769110000	1189.300	1189.300	67145740.220517205337.wav	2		RS	YELP				Y
253	Spectrogram 1	1	10168.473430000	10168.473430000	953.600	953.600	67145740.220517205337.wav	2		RS	YELP				Y
254	Spectrogram 1	1	10169.321220000	10169.321220000	942.900	942.900	67145740.220517205337.wav	2		RS	YELP				Y
255	Spectrogram 1	1	10172.454860000	10172.454860000	953.600	953.600	67145740.220517205337.wav	2		RS	YELP				Y
256	Spectrogram 1	1	10174.651390000	10174.805540000	696.400	846.400	67145740.220517205337.wav	2		RS	YELP				Y
257	Spectrogram 1	1	10178.302650000	10178.495320000	803.600	942.900	67145740.220517205337.wav	2		RS	YELP				Y
258	Spectrogram 1	1	10181.304920000	10181.304920000	846.400	846.400	67145740.220517205337.wav	2		RS	YELP				Y
259	Spectrogram 1	1	10184.060220000	10184.060220000	1050.000	1050.000	67145740.220517205337.wav	2		RS	YELP				Y
260	Spectrogram 1	1	10184.387770000	10184.387770000	567.900	567.900	67145740.220517205337.wav	2		RS	BARK				Y
261	Spectrogram 1	1	10184.927270000	10184.927270000	696.400	696.400	67145740.220517205337.wav	2		RS	BARK				Y
262	Spectrogram 1	1	10187.863890000	10187.863890000	1007.100	1007.100	67145740.220517205337.wav	2		RS	YELP				Y
263	Spectrogram 1	1	10188.923620000	10188.923620000	1403.600	1403.600	67145740.220517205337.wav	2		RS	YELP				Y
264	Spectrogram 1	1	10206.091250000	10206.091250000	900.000	900.000	67145740.220517205837.wav	2		RS	YELP				Y
265	Spectrogram 1	1	10208.124000000	10208.124000000	1082.100	1082.100	67145740.220517205837.wav	2		RS	YELP				Y
266	Spectrogram 1	1	10209.723230000	10209.723230000	1221.400	1221.400	67145740.220517205837.wav	2		RS	YELP				Y
268	Spectrogram 1	1	10236.368880000	10236.368880000	1210.700	1210.700	67145740.220517205837.wav	2		RS	YELP				Y
269	Spectrogram 1	1	10238.141520000	10238.141520000	632.100	632.100	67145740.220517205837.wav	2		RS	YELP				Y
270	Spectrogram 1	1	10242.146600000	10242.146600000	1167.900	1167.900	67145740.220517205837.wav	2		RS	YELP				Y
271	Spectrogram 1	1	10242.975110000	10243.360470000	717.900	1178.600	67145740.220517205837.wav	2		RS	YELP				Y
272	Spectrogram 1	1	10244.853730000	10245.402860000	696.400	1157.100	67145740.220517205837.wav	2		RS	YELP				Y
273	Spectrogram 1	1	10261.150800000	10261.150800000	1114.300	1114.300	67145740.220517205837.wav	2		RS	YELP				Y
274	Spectrogram 1	1	10264.175850000	10264.175850000	1007.100	1007.100	67145740.220517205837.wav	2		RS	YELP				Y
275	Spectrogram 1	1	10265.091070000	10265.091070000	878.600	878.600	67145740.220517205837.wav	2		RS	YELP				Y
276	Spectrogram 1	1	10266.738470000	10266.738470000	792.900	792.900	67145740.220517205837.wav	2		RS	YELP				Y
277	Spectrogram 1	1	10281.444200000	10281.444200000	203.600	203.600	67145740.220517205837.wav	2		RS	GROWL				Y
278	Spectrogram 1	1	10284.975460000	10284.975460000	235.700	235.700	67145740.220517205837.wav	2		RS	BARK				Y
279	Spectrogram 1	1	10284.619010000	10284.619010000	707.100	707.100	67145740.220517205837.wav	2		RS	YELP				Y
280	Spectrogram 1	1	10299.103160000	10299.103160000	846.400	846.400	67145740.220517205837.wav	2		RS	YELP				Y
283	Spectrogram 1	1	10449.821310000	10449.821310000	1317.900	1317.900	67145740.220517205837.wav	2		RS	YELP				Y
284	Spectrogram 1	1	10451.372370000	10451.372370000	878.600	878.600	67145740.220517205837.wav	2		RS	YELP				Y
285	Spectrogram 1	1	10460.383570000	10460.383570000	1178.600	1178.600	67145740.220517205837.wav	2		RS	YELP				Y
286	Spectrogram 1	1	10473.801860000	10473.801860000	332.100	332.100	67145740.220517205837.wav	2		RS	BARK				Y
287	Spectrogram 1	1	10474.302820000	10474.302820000	814.300	814.300	67145740.220517205837.wav	2		RS	YELP				Y
288	Spectrogram 1	1	10476.036920000	10476.036920000	289.300	289.300	67145740.220517205837.wav	2		RS	BARK				Y
289	Spectrogram 1	1	10476.467820000	10476.467820000	975.000	975.000	67145740.220517205837.wav	2		RS	YELP				Y
290	Spectrogram 1	1	10476.910980000	10476.910980000	985.700	985.700	67145740.220517205837.wav	2		RS	YELP				Y
291	Spectrogram 1	1	10479.020810000	10479.020810000	310.700	310.700	67145740.220517205837.wav	2		RS	BARK				Y
292	Spectrogram 1	1	10479.329110000	10479.329110000	1028.600	1028.600	67145740.220517205837.wav	2		RS	YELP				Y
293	Spectrogram 1	1	10479.685560000	10479.685560000	1092.900	1092.900	67145740.220517205837.wav	2		RS	YELP				Y
294	Spectrogram 1	1	10479.993850000	10479.993850000	342.900	342.900	67145740.220517205837.wav	2		RS	BARK				Y
295	Spectrogram 1	1	10480.764560000	10480.764560000	1060.700	1060.700	67145740.220517205837.wav	2		RS	YELP				Y
296	Spectrogram 1	1	10482.148340000	10482.148340000	1275.000	1275.000	67145740.220517205837.wav	2		RS	YELP				Y
298	Spectrogram 1	1	10518.125760000	10518.405140000	728.600	1339.300	67145740.220517210337.wav	2		RS	YELP				Y
299	Spectrogram 1	1	10519.108410000	10519.108410000	900.000	900.000	67145740.220517210337.wav	2		RS	YELP				Y
305	Spectrogram 1	1	10844.850220000	10844.850220000	1478.600	1478.600	67145740.220517210837.wav	3		RS	YELP				Y
306	Spectrogram 1	1	10847.480280000	10847.480280000	1189.300	1189.300	67145740.220517210837.wav	3		RS	YELP				Y
307	Spectrogram 1	1	10855.922210000	10858.311420000	739.300	1478.600	67145740.220517210837.wav	3		RS	YELP		3		Y
310	Spectrogram 1	1	10962.113310000	10962.113310000	1125.000	1125.000	67145740.220517210837.wav	3		RS	YELP				Y
313	Spectrogram 1	1	11163.186190000	11163.186190000	1092.900	1092.900	67145740.220517211337.wav	3		RS	YELP				Y
314	Spectrogram 1	1	11163.937630000	11163.937630000	278.600	278.600	67145740.220517211337.wav	3		RS	BARK				Y
315	Spectrogram 1	1	11164.467500000	11164.467500000	246.400	246.400	67145740.220517211337.wav	3		RS	BARK				Y
316	Spectrogram 1	1	11164.640910000	11164.640910000	182.100	182.100	67145740.220517211337.wav	3		RS	BARK				Y
317	Spectrogram 1	1	11164.852850000	11164.852850000	171.400	171.400	67145740.220517211337.wav	3		RS	BARK				Y
319	Spectrogram 1	1	11303.085460000	11303.085460000	1725.000	1725.000	67145740.220517211337.wav	3		RS	YELP				Y
325	Spectrogram 1	1	11555.056900000	11555.056900000	975.000	975.000	67145740.220517211837.wav	3		RS	YELP				Y
326	Spectrogram 1	1	11557.166730000	11557.166730000	975.000	975.000	67145740.220517211837.wav	3		RS	YELP				Y
328	Spectrogram 1	1	11582.365550000	11582.365550000	203.600	203.600	67145740.220517211837.wav	3		RS	GROWL				Y
338	Spectrogram 1	1	11991.078990000	11991.078990000	1275.000	1275.000	67145740.220517212337.wav	3		RS	YELP				Y
339	Spectrogram 1	1	11999.691700000	11999.691700000	1307.100	1307.100	67145740.220517212337.wav	3		RS	YELP				Y
344	Spectrogram 1	1	12112.053770000	12112.053770000	139.300	139.300	67145740.220517212837.wav	3		RS	GROWL			RS growl	Y
348	Spectrogram 1	1	12450.555240000	12450.555240000	182.100	182.100	67145740.220517213337.wav	3		RS	GROWL				Y
353	Spectrogram 1	1	12645.956370000	12645.956370000	707.100	707.100	67145740.220517213837.wav	3		RS	YELP				Y
354	Spectrogram 1	1	12647.411090000	12647.411090000	825.000	825.000	67145740.220517213837.wav	3		RS	YELP				Y
356	Spectrogram 1	1	12781.133280000	12781.133280000	1028.600	1028.600	67145740.220517213837.wav	3		RS	YELP				Y
357	Spectrogram 1	1	12783.830780000	12783.830780000	932.100	932.100	67145740.220517213837.wav	3		RS	YELP				Y
358	Spectrogram 1	1	12784.977210000	12784.977210000	889.300	889.300	67145740.220517213837.wav	3		RS	YELP				Y
363	Spectrogram 1	1	13099.509530000	13099.509530000	335.196	335.196	67145740.220517214337.wav	3		RS	BARK			RS bark	Y
365	Spectrogram 1	1	13154.594470000	13154.594470000	1007.100	1007.100	67145740.220517214337.wav	3		RS	YELP				Y
366	Spectrogram 1	1	13158.303520000	13158.303520000	996.400	996.400	67145740.220517214337.wav	3		RS	YELP				Y
367	Spectrogram 1	1	13158.891190000	13158.891190000	985.700	985.700	67145740.220517214337.wav	3		RS	YELP				Y
368	Spectrogram 1	1	13159.613730000	13159.613730000	878.600	878.600	67145740.220517214337.wav	3		RS	YELP				Y
369	Spectrogram 1	1	13161.504600000	13161.764720000	642.900	1296.400	67145740.220517214337.wav	3		RS	YELP				Y
370	Spectrogram 1	1	13162.448730000	13162.448730000	1157.100	1157.100	67145740.220517214337.wav	3		RS	YELP				Y
371	Spectrogram 1	1	13164.076860000	13164.076860000	1071.400	1071.400	67145740.220517214337.wav	3		RS	YELP				Y
372	Spectrogram 1	1	13169.748610000	13169.748610000	1414.300	1414.300	67145740.220517214337.wav	3		RS	YELP				Y
374	Spectrogram 1	1	13216.134150000	13216.134150000	620.112	620.112	67145740.220517214837.wav	3		RS	YELP				Y
376	Spectrogram 1	1	13329.097020000	13329.097020000	1157.100	1157.100	67145740.220517214837.wav	3		RS	YELP				Y
394	Spectrogram 1	1	14897.409340000	14897.409340000	1167.900	1167.900	67145740.220517221337.wav	4		RS	YELP				Y
395	Spectrogram 1	1	14908.140630000	14908.468180000	696.400	942.900	67145740.220517221337.wav	4		RS	YELP				Y
396	Spectrogram 1	1	14913.660860000	14913.660860000	782.100	782.100	67145740.220517221337.wav	4		RS	YELP				Y
409	Spectrogram 1	1	16032.157110000	16032.157110000	1242.900	1242.900	67145740.220517223338.wav	4		RS	YELP				Y
410	Spectrogram 1	1	16032.619530000	16032.619530000	985.700	985.700	67145740.220517223338.wav	4		RS	BARK				Y
414	Spectrogram 1	1	16351.267270000	16351.267270000	628.200	628.200	67145740.220517223838.wav	4		RS	BARK				Y
415	Spectrogram 1	1	16370.154990000	16370.154990000	1169.700	1180.500	67145740.220517223838.wav	4		RS	YELP				Y
417	Spectrogram 1	1	16471.834820000	16471.834820000	1137.200	1137.200	67145740.220517223838.wav	4		RS	YELP				Y
418	Spectrogram 1	1	16472.952350000	16472.952350000	1061.400	1061.400	67145740.220517223838.wav	4		RS	YELP				Y
419	Spectrogram 1	1	16470.811870000	16470.811870000	974.700	974.700	67145740.220517223838.wav	4		RS	YELP				Y
420	Spectrogram 1	1	16475.262730000	16475.262730000	801.400	801.400	67145740.220517223838.wav	4		RS	YELP				Y
421	Spectrogram 1	1	16473.721310000	16484.268690000	97.500	435.754	67145740.220517223838.wav	4		RS	BARK		14		Y
423	Spectrogram 1	1	16489.407060000	16489.407060000	292.400	292.400	67145740.220517223838.wav	4		RS	BARK				Y
424	Spectrogram 1	1	16490.351190000	16490.351190000	920.600	920.600	67145740.220517223838.wav	4		RS	YELP				Y
425	Spectrogram 1	1	16490.620940000	16490.620940000	303.200	303.200	67145740.220517223838.wav	4		RS	BARK				Y
426	Spectrogram 1	1	16490.987030000	16490.987030000	303.200	303.200	67145740.220517223838.wav	4		RS	BARK				Y
427	Spectrogram 1	1	16491.141170000	16491.141170000	974.700	974.700	67145740.220517223838.wav	4		RS	YELP				Y
428	Spectrogram 1	1	16491.507260000	16491.507260000	292.400	292.400	67145740.220517223838.wav	4		RS	BARK				Y
429	Spectrogram 1	1	16491.873340000	16491.873340000	292.400	292.400	67145740.220517223838.wav	4		RS	BARK				Y
430	Spectrogram 1	1	16492.066020000	16492.066020000	1039.700	1039.700	67145740.220517223838.wav	4		RS	YELP				Y
431	Spectrogram 1	1	16492.557350000	16492.557350000	1126.400	1126.400	67145740.220517223838.wav	4		RS	YELP				Y
432	Spectrogram 1	1	16493.048680000	16493.048680000	292.400	292.400	67145740.220517223838.wav	4		RS	BARK				Y
433	Spectrogram 1	1	16493.472580000	16493.472580000	270.800	270.800	67145740.220517223838.wav	4		RS	BARK				Y
434	Spectrogram 1	1	16493.819400000	16493.819400000	238.300	238.300	67145740.220517223838.wav	4		RS	BARK				Y
