Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
32	Spectrogram 1	1	3419.674727983	3419.913421451	883.721	1465.116	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2387	119.3741	X	0	1	Y	Y	BS <1KHZ	
33	Spectrogram 1	1	3422.294074717	3422.564175220	852.713	1465.116	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2701	121.9934	X	0	1	Y	Y	BS <1KHZ	
34	Spectrogram 1	1	3426.977887442	3427.241706537	883.721	1496.124	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2638	126.6772	X	0	1	Y	Y	BS <1KHZ	
35	Spectrogram 1	1	3429.427636186	3429.672611060	883.721	1472.868	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2450	129.1270	X	0	1	Y	Y	BS <1KHZ	
36	Spectrogram 1	1	4024.787784022	4025.070447339	558.140	1379.845	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517191337.wav	67145740.220517191337.wav	0.2827	124.4536	X	0	1	X	Y		
37	Spectrogram 1	1	4033.699476080	4033.988420804	410.853	1426.357	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517191337.wav	67145740.220517191337.wav	0.2889	133.3653	'	0	1	X	Y		
38	Spectrogram 1	1	4113.446889724	4113.685583191	155.039	1124.031	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517191337.wav	67145740.220517191337.wav	0.2387	213.1127	Y	1	0	X	B		
39	Spectrogram 1	1	4114.244628417	4114.715733945	108.527	1232.558	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517191337.wav	67145740.220517191337.wav	0.4711	213.9105	Y	1	1	X	BY		
40	Spectrogram 1	1	4115.023522889	4115.331311834	139.535	1232.558	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517191337.wav	67145740.220517191337.wav	0.3078	214.6894	Y	1	1	X	BY		
41	Spectrogram 1	1	4115.727040477	4115.940608317	93.023	1093.023	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517191337.wav	67145740.220517191337.wav	0.2136	215.3929	Y	1	0	X	B		
42	Spectrogram 1	1	4830.951629580	4831.234292897	930.233	1674.419	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517192837.wav	67145740.220517192837.wav	0.2827	30.5460	X	0	1	X	Y		
43	Spectrogram 1	1	5774.215027469	5774.447439529	550.388	1170.543	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194337.wav	67145740.220517194337.wav	0.2324	73.6920	X	0	1	Y	Y	BS <1KHZ, LOUD	
44	Spectrogram 1	1	5778.373318926	5778.624575208	426.357	844.961	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194337.wav	67145740.220517194337.wav	0.2513	77.8503	X	0	1	Y	Y	BS <1KHZ, LOUD	
45	Spectrogram 1	1	5779.874575208	5780.301710886	496.124	821.705	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194337.wav	67145740.220517194337.wav	0.4271	79.3516	X	0	1	Y	Y	BS <1KHZ, LOUD	
46	Spectrogram 1	1	5785.705459876	5786.044655855	379.845	837.209	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194337.wav	67145740.220517194337.wav	0.3392	85.1825	X	0	1	Y	Y	BS <1KHZ, LOUD	
47	Spectrogram 1	1	5788.903010340	5789.085171144	201.550	806.202	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194337.wav	67145740.220517194337.wav	0.1822	88.3800	X	1	0	Y	B	BS <1KHZ, LOUD	
48	Spectrogram 1	1	5790.209543003	5790.636678682	162.791	697.674	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194337.wav	67145740.220517194337.wav	0.4271	89.6865	X	1	1	Y	BY	BS <1KHZ, LOUD	
49	Spectrogram 1	1	6235.866933461	6236.865677179	54.264	418.605	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517194837.wav	67145740.220517194837.wav	0.9987	235.3744	Y	1	0	Y	G		
50	Spectrogram 1	1	6322.144036356	6323.375192135	46.512	612.403	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517195337.wav	67145740.220517195337.wav	1.2312	21.5760	X	1	0	Y	G	BS <1KHZ, LOUD	
51	Spectrogram 1	1	6783.776239402	6784.027495683	480.620	1139.535	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517195837.wav	67145740.220517195837.wav	0.2513	183.2272	X	0	1	X	Y		
52	Spectrogram 1	1	6802.220884106	6802.453296166	744.186	1279.070	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517195837.wav	67145740.220517195837.wav	0.2324	201.6719	X	0	1	Y	Y	BS  >1KHZ	
53	Spectrogram 1	1	6802.773647925	6802.987215764	682.171	1217.054	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517195837.wav	67145740.220517195837.wav	0.2136	202.2246	X	0	1	Y	Y	BS  >1KHZ	
54	Spectrogram 1	1	6804.256059985	6804.501034859	906.977	1279.070	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517195837.wav	67145740.220517195837.wav	0.2450	203.7071	X	0	1	Y	Y	BS  >1KHZ	
55	Spectrogram 1	1	6964.574204415	6965.051591350	627.907	1449.612	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517200337.wav	67145740.220517200337.wav	0.4774	63.9927	X	0	1	Y	Y	BS  <1KHZ	
57	Spectrogram 1	1	6967.469502824	6967.972015387	697.674	1279.070	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517200337.wav	67145740.220517200337.wav	0.5025	66.8880	X	0	1	Y	Y	BS  <1KHZ	
58	Spectrogram 1	1	7507.736057148	7508.860429008	93.023	1930.233	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	1.1244	7.0702	Y	1	1	X	BY		
59	Spectrogram 1	1	7514.095338815	7514.880514694	139.535	1806.202	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.7852	13.4295	Y	1	1	X	BY		
60	Spectrogram 1	1	7516.600256444	7516.832668504	860.465	1193.798	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.2324	15.9344	X	0	1	X	Y		
61	Spectrogram 1	1	7518.048302210	7518.676442914	77.519	1496.124	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.6281	17.3825	Y	1	1	X	BY		
62	Spectrogram 1	1	7518.915136381	7519.612372562	147.287	1480.620	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.6972	18.2493	Y	1	1	X	BY		
63	Spectrogram 1	1	7519.982975577	7520.617397688	100.775	2000.000	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.6344	19.3171	Y	1	1	X	BY		
64	Spectrogram 1	1	7521.151317286	7521.647548442	147.287	2031.008	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.4962	20.4855	Y	1	1	X	BY		
65	Spectrogram 1	1	7523.887965086	7524.465854533	527.132	1728.682	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.5779	23.2221	Y	1	1	X	BY		
66	Spectrogram 1	1	7524.811331920	7525.093995237	844.961	2031.008	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517201337.wav	67145740.220517201337.wav	0.2827	24.1455	X	0	1	X	Y		
67	Spectrogram 1	1	8632.798859956	8633.383030811	534.884	1635.659	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.5842	232.0460	X	0	1	X	Y		
68	Spectrogram 1	1	8634.161925283	8634.771221765	426.357	1596.899	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.6093	233.4091	X	0	1	X	Y		
69	Spectrogram 1	1	8635.876749404	8636.435794630	527.132	1449.612	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.5590	235.1239	X	0	1	X	Y		
70	Spectrogram 1	1	8637.440819755	8637.754890107	813.953	1434.109	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.3141	236.6880	X	0	1	X	Y		
71	Spectrogram 1	1	8669.912077256	8670.320368714	968.992	1472.868	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.4083	269.1592	X	0	1	X	Y		
72	Spectrogram 1	1	8671.312831025	8671.570368714	984.496	1689.922	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.2575	270.5600	X	0	1	X	Y		
73	Spectrogram 1	1	8673.065343588	8673.278911427	883.721	1503.876	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.2136	272.3125	X	0	1	X	Y		
74	Spectrogram 1	1	8674.547755648	8674.792730523	829.457	1666.667	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.2450	273.7949	X	0	1	X	Y		
75	Spectrogram 1	1	8676.155795849	8676.312831025	922.481	1496.124	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.1570	275.4030	X	0	1	X	Y		
76	Spectrogram 1	1	8677.003785799	8677.305293337	790.698	1480.620	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.3015	276.2509	X	0	1	X	Y		
77	Spectrogram 1	1	8679.476830431	8679.759493748	992.248	2286.822	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.2827	278.7240	X	0	1	X	Y		
78	Spectrogram 1	1	8687.435967737	8687.580440099	1046.512	1310.078	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.1445	286.6831	X	0	1	X	Y		
79	Spectrogram 1	1	8689.973656179	8690.275163717	775.194	1379.845	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.3015	289.2208	X	0	1	X	Y		
80	Spectrogram 1	1	8691.939736581	8692.128178792	767.442	1069.767	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517202837.wav	67145740.220517202837.wav	0.1884	291.1869	X	0	1	X	Y		
81	Spectrogram 1	1	8702.105711357	8702.375811860	860.465	1573.643	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203337.wav	67145740.220517203337.wav	0.2701	1.3482	X	0	1	X	Y		
82	Spectrogram 1	1	8704.637118392	8704.812997789	1046.512	1333.333	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203337.wav	67145740.220517203337.wav	0.1759	3.8796	X	0	1	X	Y		
83	Spectrogram 1	1	8713.253714571	8713.592910550	790.698	1356.589	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203337.wav	67145740.220517203337.wav	0.3392	12.4962	X	0	1	Y	Y	BS <1KHZ	
84	Spectrogram 1	1	8999.360634313	8999.706111700	69.767	1116.279	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203337.wav	67145740.220517203337.wav	0.3455	298.6031	Y	1	0	X	B		
85	Spectrogram 1	1	9000.001337830	9000.604352906	38.760	1116.279	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203337.wav	67145740.220517203337.wav	0.6030	299.2438	Y	1	0	X	G		
86	Spectrogram 1	1	9023.257754489	9023.458759515	821.705	1341.085	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2010	22.4513	X	0	1	X	Y		
87	Spectrogram 1	1	9035.390149121	9036.935375251	69.767	1209.302	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	1.5452	34.5836	Y	1	1	X	BY		
88	Spectrogram 1	1	9114.584746612	9115.212887315	643.411	1434.109	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.6281	113.7782	X	0	2	X	Y		
89	Spectrogram 1	1	9115.658867215	9115.998063195	627.907	1806.202	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.3392	114.8524	X	0	1	X	Y		
90	Spectrogram 1	1	9116.044832803	9118.406641848	108.527	1372.093	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	2.3618	115.2383	Y	7	0	X	B		
91	Spectrogram 1	1	9123.226681487	9123.459093548	705.426	1108.527	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2324	122.4202	X	0	1	X	Y		
92	Spectrogram 1	1	9128.388255369	9128.714888535	108.527	1201.550	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.3266	127.5818	Y	1	0	X	B		
93	Spectrogram 1	1	9134.074815850	9135.513258061	713.178	1728.682	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	1.4384	133.2683	X	0	2	X	Y		
94	Spectrogram 1	1	9139.075118809	9140.984666547	62.016	1627.907	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	1.9095	138.2686	Y	1	3	X	BY	GOOD	
95	Spectrogram 1	1	9144.132482482	9144.911376955	124.031	1930.233	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.7789	143.3260	Y	1	1	X	BY		
96	Spectrogram 1	1	9145.243081586	9145.883785104	705.426	1589.147	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.6407	144.4366	X	0	1	X	Y		
97	Spectrogram 1	1	9146.122478571	9146.455393144	93.023	1658.915	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.3329	145.3160	Y	1	0	X	B	EXCELLENT	
99	Spectrogram 1	1	9147.198265911	9147.870376464	108.527	2852.713	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.6721	146.3918	X	0	1	X	Y		
100	Spectrogram 1	1	9149.632432651	9150.090975364	116.279	1379.845	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.4585	148.8259	Y	1	1	X	BY		
101	Spectrogram 1	1	9150.317106018	9150.851025616	651.163	1209.302	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.5339	149.5106	X	0	1	X	Y		
102	Spectrogram 1	1	9151.297005515	9151.749266822	651.163	1542.636	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.4523	150.4905	X	0	1	X	Y		
103	Spectrogram 1	1	9152.496754259	9153.093487927	596.899	2015.504	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.5967	151.6902	X	0	1	X	Y		
104	Spectrogram 1	1	9158.214111142	9158.440241795	1038.760	1286.822	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2261	157.4076	X	0	1	X	Y		
105	Spectrogram 1	1	9163.228632326	9163.486170015	906.977	1364.341	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2575	162.4221	X	0	1	X	Y		
106	Spectrogram 1	1	9163.969838357	9164.378129814	410.853	2007.752	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.4083	163.1633	X	0	1	X	Y		
107	Spectrogram 1	1	9165.389436346	9165.672099663	705.426	1651.163	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2827	164.5829	X	0	1	X	Y		
108	Spectrogram 1	1	9175.445305055	9175.627465859	147.287	976.744	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.1822	174.6388	Y	1	0	X	B	GOOD	
109	Spectrogram 1	1	9184.702884368	9184.947859242	751.938	1255.814	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2450	183.8964	X	0	1	X	Y		
110	Spectrogram 1	1	9187.510673312	9187.743085373	395.349	1147.287	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2324	186.7042	X	0	1	X	Y		
111	Spectrogram 1	1	9188.446602961	9188.823487383	604.651	1821.705	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.3769	187.6401	X	0	1	X	Y		
112	Spectrogram 1	1	9191.688628676	9191.977573400	635.659	1162.791	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2889	190.8821	X	0	1	X	Y		
113	Spectrogram 1	1	9197.109197923	9197.467238124	736.434	1937.984	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.3580	196.3027	X	0	1	X	Y		
114	Spectrogram 1	1	9197.856685360	9198.315228074	728.682	1333.333	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.4585	197.0502	X	0	1	X	Y		
115	Spectrogram 1	1	9201.443368777	9201.656936616	883.721	1472.868	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2136	200.6369	X	0	1	X	Y		
116	Spectrogram 1	1	9209.708937858	9209.840847405	1031.008	1387.597	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.1319	208.9024	X	0	1	X	Y		
117	Spectrogram 1	1	9210.437581074	9210.688837355	790.698	1449.612	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2513	209.6311	X	0	1	X	Y		
118	Spectrogram 1	1	9221.605247502	9221.869066598	77.519	1209.302	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2638	220.7988	X	1	0	Y	B	GOOD BARK, OVERLAP <1KHZ	
119	Spectrogram 1	1	9231.348843783	9232.071205592	116.279	1434.109	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.7224	230.5423	Y	1	3	X	BY		
120	Spectrogram 1	1	9232.523466898	9233.371456848	108.527	1612.403	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.8480	231.7170	Y	1	1	X	BY		
121	Spectrogram 1	1	9237.409412008	9237.761170802	705.426	1426.357	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.3518	236.6029	X	0	1	X	Y		
122	Spectrogram 1	1	9240.349110501	9240.631773817	906.977	1465.116	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517203837.wav	67145740.220517203837.wav	0.2827	239.5426	X	0	1	X	Y		
123	Spectrogram 1	1	9588.979774698	9589.815201834	77.519	550.388	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517204337.wav	67145740.220517204337.wav	0.8354	288.1749	Y	1	0	X	G		
