Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ) 
20	Spectrogram 1	1	36415.192213019	36415.468594928	891.892	1240.541	67653638.220518013559.wav	112.0127	X	0	1	X	Y		
21	Spectrogram 1	1	36416.574122566	36416.869348697	835.135	1297.297	67653638.220518013559.wav	113.3946	X	0	1	X	Y		
22	Spectrogram 1	1	36418.056534627	36418.414574828	883.784	1483.784	67653638.220518013559.wav	114.8770	X	0	1	X	Y		
23	Spectrogram 1	1	36418.961057240	36419.400755732	851.351	1394.595	67653638.220518013559.wav	115.7816	X	0	1	X	Y		
24	Spectrogram 1	1	36419.664574828	36419.846735632	308.108	770.270	67653638.220518013559.wav	116.4851	X	0	1	X	Y		
25	Spectrogram 1	1	36423.169444673	36423.464670804	1110.811	1548.649	67653638.220518013559.wav	119.9899	X	0	1	X	Y		
26	Spectrogram 1	1	36426.058891910	36426.297585377	1216.216	1540.541	67653638.220518013559.wav	122.8794	X	0	1	X	Y		
27	Spectrogram 1	1	36432.227490452	36432.585530653	972.973	1313.514	67653638.220518013559.wav	129.0480	X	0	1	X	Y		
28	Spectrogram 1	1	36445.281450452	36446.022656482	794.595	1224.324	67653638.220518013559.wav	142.1019	X	0	1	X	Y		
29	Spectrogram 1	1	36447.530194171	36448.177179095	835.135	1289.189	67653638.220518013559.wav	144.3507	X	0	1	X	Y		
30	Spectrogram 1	1	36515.304248894	36515.643444874	1118.919	1467.568	67653638.220518013559.wav	212.1248	X	0	1	X	Y		
31	Spectrogram 1	1	37119.106094598	37120.067149874	113.514	389.189	67653638.220518014559.wav	215.8876	X	1	0	X	G	FAINT	
32	Spectrogram 1	1	37228.881731508	37229.158113417	900.000	1200.000	67653638.220518015059.wav	25.6382	X	0	1	X	Y		
33	Spectrogram 1	1	37232.952083266	37233.278716432	891.892	1200.000	67653638.220518015059.wav	29.7086	X	0	1	X	Y		
34	Spectrogram 1	1	37233.988515427	37234.151832010	1078.378	1783.784	67653638.220518015059.wav	30.7450	X	0	1	X	Y		
35	Spectrogram 1	1	37234.377962663	37235.596555628	616.216	1167.568	67653638.220518015059.wav	31.1345	X	0	1	X	Y		
36	Spectrogram 1	1	37246.490399347	37246.879846583	778.378	1175.676	67653638.220518015059.wav	43.2469	X	0	1	X	Y		
37	Spectrogram 1	1	37251.125558522	37251.546412793	867.568	1208.108	67653638.220518015059.wav	47.8821	X	0	1	X	Y		
38	Spectrogram 1	1	37252.312744451	37252.721035909	794.595	1208.108	67653638.220518015059.wav	49.0692	X	0	1	X	Y		
39	Spectrogram 1	1	37253.700935406	37254.102945456	810.811	1151.351	67653638.220518015059.wav	50.4574	X	0	1	X	Y		
40	Spectrogram 1	1	41154.627540905	41155.023269548	1329.730	1621.622	67653638.220518025559.wav	51.0254	X	0	1	X	Y		
41	Spectrogram 1	1	41160.238352064	41160.627799300	956.757	1313.514	67653638.220518025559.wav	56.6362	X	0	1	X	Y		
42	Spectrogram 1	1	41163.454432466	41164.013477692	778.378	1256.757	67653638.220518025559.wav	59.8523	X	0	1	X	Y		
43	Spectrogram 1	1	41164.465738998	41164.867749048	916.216	1313.514	67653638.220518025559.wav	60.8636	X	0	1	X	Y		
44	Spectrogram 1	1	41165.508452566	41166.356442516	835.135	1216.216	67653638.220518025559.wav	61.9063	X	0	1	X	Y		
45	Spectrogram 1	1	41166.796141008	41167.399156084	818.919	1159.459	67653638.220518025559.wav	63.1940	X	0	1	X	Y		
46	Spectrogram 1	1	44485.867338794	44486.124876482	851.351	1216.216	67653638.220518035059.wav	81.9820	X	0	1	X	Y		
47	Spectrogram 1	1	44486.627389045	44487.104775980	802.703	1110.811	67653638.220518035059.wav	82.7421	X	0	1	X	Y		
48	Spectrogram 1	1	44741.830079667	44743.639124893	745.946	1759.459	67653638.220518035559.wav	37.9299	X	0	2	X	Y		
49	Spectrogram 1	1	44746.993396250	44747.602692732	940.541	1427.027	67653638.220518035559.wav	43.0932	X	0	1	X	Y		
50	Spectrogram 1	1	44889.023050302	44889.293150804	948.649	1305.405	67653638.220518035559.wav	185.1229	X	0	1	X	Y		
51	Spectrogram 1	1	51317.845545276	51318.266399548	940.541	1256.757	67653638.220518054559.wav	14.0869	X	0	1	X	Y		
52	Spectrogram 1	1	51392.676977940	51393.022455327	924.324	1183.784	67653638.220518054559.wav	88.9183	X	0	1	X	Y		
53	Spectrogram 1	1	51395.327731709	51395.723460352	940.541	1264.865	67653638.220518054559.wav	91.5691	X	0	1	X	Y		
54	Spectrogram 1	1	51463.091379347	51463.487107990	1070.270	1378.378	67653638.220518054559.wav	159.3327	X	0	1	X	Y		
55	Spectrogram 1	1	51464.190625578	51464.536102965	1159.459	1427.027	67653638.220518054559.wav	160.4320	X	0	1	X	Y		
56	Spectrogram 1	1	51481.475367940	51481.789438291	413.514	745.946	67653638.220518054559.wav	177.7167	X	0	1	X	Y		
57	Spectrogram 1	1	51487.929652161	51488.256285327	413.514	737.838	67653638.220518054559.wav	184.1710	X	0	1	X	Y		
58	Spectrogram 1	1	55242.313814925	55242.590196834	510.811	794.595	67653638.220518065059.wav	38.2071	X	0	1	X	Y		
59	Spectrogram 1	1	55245.203262161	55245.485925477	600.000	948.649	67653638.220518065059.wav	41.0966	X	0	1	X	Y		
60	Spectrogram 1	1	55267.736566382	55268.151139246	494.595	794.595	67653638.220518065059.wav	63.6299	X	0	1	X	Y		
61	Spectrogram 1	1	55295.301229196	55295.690676432	535.135	859.459	67653638.220518065059.wav	91.1946	X	0	1	X	Y		
62	Spectrogram 1	1	55492.972733568	55493.512934573	778.378	1337.838	67653638.220518065059.wav	288.8661	X	0	1	X	Y		
63	Spectrogram 1	1	55494.825748643	55495.234040101	16.216	1167.568	67653638.220518065059.wav	290.7191	X	1	0	X	B	TOO FAINT	
64	Spectrogram 1	1	77550.898736633	77551.106023065	48.649	940.541	67653638.220518130100.wav	146.0742	X	1	0	X	B	TOO FAINT	
65	Spectrogram 1	1	77552.230394925	77552.475369799	72.973	940.541	67653638.220518130100.wav	147.4059	X	1	0	X	B	TOO FAINT	
66	Spectrogram 1	1	77551.256776834	77551.721600955	794.595	1151.351	67653638.220518130100.wav	146.4323	X	0	1	X	Y		
67	Spectrogram 1	1	77552.544465276	77553.028133618	851.351	1305.405	67653638.220518130100.wav	147.7200	X	0	1	X	Y		
68	Spectrogram 1	1	77553.197731608	77553.436425075	40.541	964.865	67653638.220518130100.wav	148.3732	Y	1	0	X	B		
69	Spectrogram 1	1	37200.789177638	37201.065559548	681.081	972.973	67653638.220518014559.wav	297.5707	X	0	1	X	Y		
