Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
370	Spectrogram 1	1	7546.694667	7547.64691	0.9522	48.559	88.1	935.8	187.5	1208795168.700518024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700518024318.wav	17.24	Y	"in noise, but the bark is clear"	ND	RS				RS		X	10	2	X	Y	unk	Yelps w loud background
392	Spectrogram 1	1	3646.339	3647.305	0.966	47.286	115.6	1194.5	164.062	1208795168.700521004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521004318.wav	20.09	Y	good!	ND	RS						Y	5	1	X	B	unk	Excellent
395	Spectrogram 1	1	2139.345333	2139.603923	0.2586	39.875	66.1	985.3	269.531	1208795168.700521204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	17.81	Y		ND	RS						Y	4	1	X	BY	unk	Excellent
411	Spectrogram 1	1	5918.553333	5918.818933	0.2656	220.068	77.1	1139.5	609.375	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	16.01	Y		ND	RS				RS		Y	1	1	X	B	unk	
412	Spectrogram 1	1	5927.063633	5927.503331	0.4397	228.5783	60.5	1249.5	222.656	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	15.2	Y		ND	RS				RS		Y	1	0	X	B	unk	Good
414	Spectrogram 1	1	6069.4852	6069.79299	0.3078	71.1332	82.6	611	152.344	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	13.96	Y	faint series	ND	RS						Y	1	0	X	B	unk	Faint
417	Spectrogram 1	1	6413.336133	6414.40034	1.0642	115.0078	88.1	1084.4	562.5	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	13.88	Y	faint	ND	RS						Y	2	2	X	BY	unk	Faint
431	Spectrogram 1	1	3524.792667	3525.893447	1.1008	225.692	148.6	627.5	281.25	1208795168.700526204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	13	Y	faint	ND	RS						Y	5	0	X	B	unk	Excellent
442	Spectrogram 1	1	305.7121667	306.2963367	0.5842	5.7275	38.5	1189	46.875	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	16.84	Y	first one is clear	ND	RS						Y	1	1	X	BY	unk	
444	Spectrogram 1	1	408.9516667	410.3362667	1.3846	108.967	99.1	974.3	164.062	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	14.67	Y		ND	RS						Y	4	1	X	BY	unk	
446	Spectrogram 1	1	519.5646667	520.3333167	0.7686	219.58	60.5	869.7	70.312	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	14.13	Y		ND	RS						Y	2	2	X	BY	unk	
448	Spectrogram 1	1	6647.899667	6648.823277	0.9236	49.606	132.1	1420.2	234.375	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.14	Y	with BS overlapped	ND	RS						X	2	?	Y	BY	unk	BS<1KHZ
451	Spectrogram 1	1	18005.7289	18006.0304	0.3015	10.5769	88.1	1255	210.938	1208795168.700528024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528024318.wav	15.28	Y		ND	RS				Y		Y	1	0	X	B	unk	
464	Spectrogram 1	1	16108.2418	16108.86366	0.6219	212.3218	141.274	864.2	152.344	1208795168.700528084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528084318.wav	12.56	Y	really faint. Keep for detector?	ND	RS				Y		Y	1	1	X	BY	unk	
467	Spectrogram 1	1	7800.670333	7801.193129	0.5228	2.667	275.2	869.7	574.219	1208795168.700528124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528124318.wav	13.49	Y	is any of these a bark or are they yelps?	ND	RS				Y		Y	2	1	X	B	unk	
488	Spectrogram 1	1	12749.464	12751.31875	1.8548	152.471	82.6	1139.5	832.031	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	15.73	Y	really good series	ND	RS		nice clear ones				X	5	0	X	BY	unk	BS<1KHZ
492	Spectrogram 1	1	18330.086	18330.3355	0.2495	35.009	165.1	556	328.125	1208795168.700529234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529234318.wav	12.35	Y		ND	RS						Y	1	0	X	B	unk	
496	Spectrogram 1	1	10816.05933	10816.22325	0.1639	18.767	110.1	957.8	832.031	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	14.29	Y		ND	RS						X	0	1	X	Y	unk	
497	Spectrogram 1	1	10835.24533	10836.46895	1.2236	37.953	143.1	1089.9	398.438	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	13.52	Y	faint	ND	RS						Y	4	0	X	B	unk	
616	Spectrogram 1	1	5289.647333	5290.763333	1.116	190.966	137.4	1192.3	375	1208795168.700614034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700614034318.wav	13.82	Y		ND	RS	low	faint		RS		Y	2	0	X	B	unk	FAINT
779	Spectrogram 1	1	682.2630667	682.5205167	0.2575	82.3014	81.4	949.4	164.062	1208795168.700627064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700627064318.wav	19.78	Y	BS overlapping	ND	RS	low			RS		Y	1	0	Y	B	unk	BS>1KHZ
905	Spectrogram 1	1	16667.12367	16667.95282	0.8292	171.493	128.5	2379.9	480.469	1208795168.700704144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700704144318.wav	15.7	Y		ND	RS				RS		Y	2	1	X	BY	unk	
929	Spectrogram 1	1	19929.1759	19929.80201	0.6261	134.4659	150.8	715.1	234.375	1208795168.700705204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700705204318.wav	11.42	Y		ND	RS	low	faint		RS		Y	2	0	X	B	unk	
1011	Spectrogram 1	1	2456.666	2456.98	0.314	57.287	195.9	945.9	257.812	1208795168.700709214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700709214318.wav	12.36	Y		ND	RS	medium			RS		Y	1	0	X	B	unk	Excellent
1048	Spectrogram 1	1	17699.8151	17700.53222	0.7171	4.6001	89.6	1315.3	750	1208795168.700711104318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711104318.wav	14.15	Y		ND	RS						Y	2	2	X	BY	unk	
1054	Spectrogram 1	1	1002.8807	1003.21989	0.3392	102.9847	67.2	694	316.406	1208795168.700711184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700711184318.wav	17.24	Y		ND	RS						Y	1	0	Y	B	unk	BS>1KHZ
1076	Spectrogram 1	1	13304.803	13305.036	0.233	107.991	201.9	992.5	539.062	1208795168.700712054318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700712054318.wav	15.55	Y	BS above	ND	RS				RS		X	1	0	Y	B	unk	BS<1KHZ
1089	Spectrogram 1	1	15094.37567	15094.79467	0.419	98.095	269.2	734.6	375	1208795168.700712234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700712234318.wav	12.79	Y		ND	RS		faint		Y		X	1	0	Y	B	unk	BS<1KHZ
1099	Spectrogram 1	1	16854.331	16854.67716	0.3462	58.815	95.3	1160.7	433.594	1208795168.700713084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700713084318.wav	14.66	Y		ND	RS				RS		Y	1	0	X	B	unk	
1146	Spectrogram 1	1	13068.47167	13069.75967	1.288	171.58	218.7	970.1	375	1208795168.700715044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700715044318.wav	17.2	Y	BS overlap	ND	RS				RS		Y	2	1	Y	B	unk	Overlapping but good barks
1345	Spectrogram 1	1	1253.756333	1255.529878	1.7735	53.976	148.4	467	281.25	1208795168.700724064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	15.37	Y	BS overlap	ND	RS				RS		X	4	0	Y	B	unk	BS<1KHZ
1411	Spectrogram 1	1	14177.8659	14178.25221	0.3863	81.3259	62.6	605.2	117.188	1208795168.700726024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700726024318.wav	16.55	Y	Shortened the selection box to just the bark	ND	RS				RS		X	1	0	Y	B	unk	BS<1KHZ
1510	Spectrogram 1	1	14910.50933	14912.20033	1.691	214.166	276.1	1444.2	410.156	1208795168.700730084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700730084318.wav	14.33	Y	BS overlap	ND	RS				RS		X	4?	1	Y	B	unk	BS<1KHZ
1592	Spectrogram 1	1	12289.03	12289.562	0.532	291.917	69	690.3	679.688	1208795168.700803044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700803044318.wav	17.06	Y	faint and with BS	ND	RS						X	2	0	Y	B	unk	BS<1KHZ
1626	Spectrogram 1	1	13931.1011	13931.39319	0.2921	134.4891	95.7	813.8	175.781	1208795168.700804144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	17.83	Y		ND	RS		faint		RS		Y	1	0	X	B	unk	
1627	Spectrogram 1	1	13944.439	13951.821	7.382	147.827	186.2	659.6	339.844	1208795168.700804144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804144318.wav	13.66	Y	BS	ND	RS	medium			RS		X	13	?	Y	BY	unk	BS<1KHZ
1636	Spectrogram 1	1	1833.757	1834.162151	0.4052	34.134	57.803	520.4	70.312	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	22.61	Y	with BS	ND	RS				RS		X	1	0	Y	B	unk	BS<1KHZ
1637	Spectrogram 1	1	1845.022	1846.841	1.819	45.399	175.2	1035.4	339.844	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	17.7	Y	series with BS overlap	ND	RS				RS		X	8	0	Y	B	unk	BS<1KHZ
1638	Spectrogram 1	1	1860.876	1863.621	2.745	61.253	154	584.1	375	1208795168.700804224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700804224318.wav	15.92	Y	series with BS overlap	ND	RS						X	12	0	Y	B	unk	BS<1KHZ
1806	Spectrogram 1	1	1704.875133	1705.167218	0.2921	205.1778	155.5	967.4	234.375	1208795168.700810074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810074318.wav	13.27	Y		ND	RS						Y	1	0	X	BY	unk	
1809	Spectrogram 1	1	5567.810333	5568.683763	0.8734	169.192	38.462	754.3	46.875	1208795168.700810094318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810094318.wav	15.95	Y	faint	ND	RS	medium			RS		Y	2	0	X	B	unk	FAINT
1822	Spectrogram 1	1	12563.80933	12569.96033	6.151	266.718	59.7	678.1	480.469	1208795168.700810174318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810174318.wav	16.51	Y	overlap with BS	ND	RS						X	8	0	Y	B	unk	BS<1KHZ
1829	Spectrogram 1	1	14680.82067	14681.18367	0.363	284.376	65.1	542.5	410.156	1208795168.700810214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700810214318.wav	15.79	Y	keep for detector?	ND	RS				Y		X	1	0	Y	B	unk	BS<1KHZ
1932	Spectrogram 1	1	16284.01367	16285.90467	1.891	88.242	159	2427.6	1042.969	1208795168.700814124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700814124318.wav	15.83	Y	Mostly yelps. Is there a bark?	ND	RS				Y		X	0	5	X	Y	unk	
3508	Spectrogram 1	1	13564.674	13566.547	1.873	67.969	99.7	1288.3	292.969	1208795168.700820024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700820024318.wav	12.8	Y		ND	RS						X	3	0	Y	BY	unk	BS<1KHZ
5728	Spectrogram 1	1	15665.60767	15669.98667	4.379	69.608	151.5	1200	152.344	1208795168.700826074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700826074318.wav	13.46	Y	very faint	ND	RS				RS		X	11	?	X	BY	unk	Too faint - add to future training sets
6308	Spectrogram 1	1	15355.97633	15357.56933	1.593	59.843	72.1	961.538	152.344	1208795168.700829094318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829094318.wav	15.02	Y		ND	RS				RS		X	4	0	X	B	unk	TOO FAINT
6480	Spectrogram 1	1	5075.971667	5076.268917	0.2972	277.188	198.4	1961.538	527.344	1208795168.700829164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700829164318.wav	12.89	Y		ND	RS						Y	1	0	X	B	unk	FAINT
6860	Spectrogram 1	1	18841.68733	18842.03933	0.352	246.657	110.9	843.9	164.062	1208795168.700830034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700830034318.wav	15.01	Y	I can't hear it	ND	RS				Y		Y	1	0	X	B	unk	
8725	Spectrogram 1	1	10701.95633	10715.87833	13.922	204.601	107.8	838.3	597.656	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	14.41	Y	with overlapping BS	ND	RS						X	12	2	Y	B	unk	BS<1KHZ
8726	Spectrogram 1	1	10766.43603	10767.31392	0.8779	269.0807	71.9	1467.1	234.375	1208795168.700901234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700901234318.wav	17.65	Y	good but with overlapping BS	ND	RS						X	3	2	Y	B	unk	BS<1KHZ
9215	Spectrogram 1	1	10321.22767	10321.95317	0.7255	123.713	65.9	1377.2	363.281	1208795168.700903084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903084318.wav	18.65	Y	good but with overlapping BS	ND	RS						X	2	2	Y	BY	unk	BS<1KHZ
9220	Spectrogram 1	1	4482.1994	4482.47758	0.2782	283.2854	152.4	1338	175.781	1208795168.700903124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700903124318.wav	16.3	Y	good	ND	RS						Y	1	1	X	BY	unk	
9289	Spectrogram 1	1	10067.23717	10068.05689	0.8197	169.6975	12	1227.5	23.438	1208795168.700904124318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904124318.wav	18.29	Y	with overlapping BS	ND	RS						X	1	1	Y	BY	unk	BS<1KHZ
9293	Spectrogram 1	1	17469.07133	17469.40008	0.3287	73.723	143.7	1400.615	175.781	1208795168.700904164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904164318.wav	13.6	Y		ND	RS						Y	1	1	X	BY	unk	
9311	Spectrogram 1	1	11901.72	11903.542	1.822	204.596	77.8	371.3	117.188	1208795168.700904224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700904224318.wav	13.83	Y	I can't hear them because of the BS overlap	ND	RS						X	4	?	Y	B	unk	BS<1KHZ
9496	Spectrogram 1	1	11253.42967	11267.58967	14.16	156.223	235.3	1200	433.594	1208795168.700905174318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700905174318.wav	14.56	Y	very overlapped with BS. the detector will struggle with it because of the BS!	ND	RS				Y	But the detector will struggle with it because of the BS!	X	5	?	Y	BY	unk	BS<1KHZ
10721	Spectrogram 1	1	11603.14853	11603.37466	0.2261	205.9982	152.4	982.3	339.844	1208795168.700911064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700911064318.wav	14.02	Y	one at beginning and two at the end of a long selection masked by BS	ND	RS						X	1	0	Y	B	unk	BS<1KHZ
17247	Spectrogram 1	1	18975.66953	18976.02031	0.3508	80.7842	126.8	677.2	199.219	1208795168.701112114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701112114318.wav	14.59	Y		ND	RS				RS		Y	1	0	X	B	unk	
17699	Spectrogram 1	1	17199.33287	17199.6595	0.3266	103.9032	93	832.37	117.188	1208795168.701113144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701113144318.wav	13.92	Y	good	ND	RS						Y	1	0	X	B	unk	
20186	Spectrogram 1	1	2961.047333	2961.479713	0.4324	261.788	24	946.1	35.156	1208795168.701119014318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701119014318.wav	21.95	Y		ND	RS				Y		Y	1	0	X	B	unk	Excellent
20782	Spectrogram 1	1	3046.416	3046.8451	0.4291	47.233	101.8	928.1	222.656	1208795168.701121204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701121204318.wav	15.54	Y		ND	RS				RS		Y	1	0	X	B	unk	Excellent
24500	Spectrogram 1	1	4585.9453	4586.29077	0.3455	87.0693	59.8	794.8	398.438	1208795168.701201074318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701201074318.wav	12.3	Y		ND	RS				RS		Y	1	0	X	BY	unk	FAINT
24578	Spectrogram 1	1	19440.85367	19441.27977	0.4261	246.018	53.7	984.1	152.344	1208795168.701201144318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701201144318.wav	13.24	Y		ND	RS				RS		Y	1	0	X	B	unk	
25804	Spectrogram 1	1	19653.69037	19653.88907	0.1987	158.8677	131.7	1053.9	597.656	1208795168.701207034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.701207034318.wav	12.36	Y	good series (even though there is strumming noise in the lower frequencies)	ND	RS	m			RS		Y	1	0	X	B	unk	
25812	Spectrogram 1	1	8635.232467	8635.866889	0.6344	237.4048	91.413	1337.95	140.625	1208795168.700423114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	14.81	Y			RS						X	1	2	X	BY	unk	TOO FAINT
25813	Spectrogram 1	1	8636.953567	8637.311607	0.358	239.1259	49.861	1321.33	70.312	1208795168.700423114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	14.46	Y									X	0	1	X	Y	unk	
25814	Spectrogram 1	1	7547.854167	7548.560825	0.7067	49.7185	66.482	947.368	128.906	1208795168.700518024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700518024318.wav	14.5	Y									Y	1	2	X	BY	unk	FAINT
25815	Spectrogram 1	1	5928.219333	5928.640187	0.4209	229.734	41.551	1221.607	46.875	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	15.34	Y									X	1	0	X	B	unk	TOO FAINT
25816	Spectrogram 1	1	5929.236933	5929.576129	0.3392	230.7516	41.551	1163.435	46.875	1208795168.700523024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	16.64	Y									Y	1	0	X	B	unk	FAINT
25817	Spectrogram 1	1	6071.087	6071.34454	0.2575	72.735	16.62	1400.615	23.438	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	16.04	Y									Y	1	0	X	B	unk	FAINT
25818	Spectrogram 1	1	6071.9098	6072.11081	0.201	73.5578	16.62	681.44	23.438	1208795168.700523224318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	17.82	Y									Y	1	0	X	B	unk	FAINT
25819	Spectrogram 1	1	6415.740833	6415.935556	0.1947	117.4125	49.861	1038.781	70.312	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	14.42	Y									X	0	1	X	Y	unk	
25820	Spectrogram 1	1	6417.091333	6417.292338	0.201	118.763	24.931	947.368	35.156	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	15.11	Y									X	0	1	X	Y	unk	
25821	Spectrogram 1	1	6417.386633	6418.027336	0.6407	119.0583	24.931	880.886	35.156	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	17.73	Y									Y	2	1	X	BY	417	
25822	Spectrogram 1	1	6419.874733	6420.144833	0.2701	121.5464	33.241	772.853	35.156	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	15.95	Y									Y	1	0	X	B	unk	FAINT
25823	Spectrogram 1	1	6420.534233	6421.306846	0.7726	122.2059	16.62	939.058	23.438	1208795168.700524184318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	15.96										X	1	2	X	X	unk	TOO FAINT
25824	Spectrogram 1	1	308.9470667	309.6442967	0.6972	8.9624	49.861	797.784	58.594	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	17.09										Y	2	1	X	BY	unk	
25825	Spectrogram 1	1	522.1926667	522.6009567	0.4083	222.208	16.62	872.576	23.438	1208795168.700527234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700527234318.wav	18.64										Y	1	1	Y	B	unk	Faint overlap w bearded seals
25826	Spectrogram 1	1	6649.841067	6650.104886	0.2638	51.5474	49.861	1022.161	58.594	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	14.69										Y	1	0	X	B	unk	FAINT
25827	Spectrogram 1	1	6650.663967	6650.921504	0.2575	52.3703	16.62	1163.435	23.438	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.58										Y	1	0	X	B	unk	FAINT
25828	Spectrogram 1	1	6651.072267	6651.44287	0.3706	52.7786	24.931	1121.884	35.156	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.73										Y	1	1	Y	BY	unk	Faint overlap w bearded seals
25829	Spectrogram 1	1	6654.075567	6654.345667	0.2701	55.7819	0	1072.022	0	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	19.22										Y	1	0	X	B	unk	
25830	Spectrogram 1	1	6654.515267	6654.791649	0.2764	56.2216	41.551	1105.263	46.875	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.39										Y	1	0	X	B	unk	
25831	Spectrogram 1	1	6654.917267	6655.262744	0.3455	56.6236	24.931	1121.884	35.156	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.43										Y	1	1	X	BY	unk	
25832	Spectrogram 1	1	6655.331867	6655.526572	0.1947	57.0382	0	1138.504	0	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	20.74										Y	1	1	X	B	unk	
25833	Spectrogram 1	1	6656.167267	6656.519025	0.3518	57.8736	49.861	1121.884	58.594	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	18.55										Y	1	0	X	B	unk	
