Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin Path	Begin File	Delta Time (s)	Call Type
14	Spectrogram 1	1	3821.357605587	3821.575154536	34.091	920.455	221.9556	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.2175	B
15	Spectrogram 1	1	3821.930484485	3822.213298118	34.091	843.750	222.5285	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.2828	B
16	Spectrogram 1	1	3824.497562077	3824.831137132	34.091	801.136	225.0956	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.3336	B
17	Spectrogram 1	1	3833.667334151	3833.855876573	17.045	468.750	234.2653	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.1885	B
18	Spectrogram 1	1	3836.241663375	3836.546231903	51.136	519.886	236.8397	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.3046	B
19	Spectrogram 1	1	3836.940231406	3837.107018933	51.136	485.795	237.5382	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.1668	B
20	Spectrogram 1	1	3874.297240712	3874.572802714	34.091	460.227	274.8952	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.2756	B
21	Spectrogram 1	1	3875.174688138	3875.384985455	25.568	451.705	275.7727	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.2103	B
22	Spectrogram 1	1	4638.175637425	4639.147356061	17.045	988.636	138.6431	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518123503.wav	7266.230518123503.wav	0.9717	BY
23	Spectrogram 1	1	4641.663672232	4642.497609868	8.523	1397.727	142.1312	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518123503.wav	7266.230518123503.wav	0.8339	BY
24	Spectrogram 1	1	4655.616865187	4656.037459821	0.000	715.909	156.0844	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518123503.wav	7266.230518123503.wav	0.4206	B
25	Spectrogram 1	1	4656.682855035	4657.270237196	0.000	1244.318	157.1504	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518123503.wav	7266.230518123503.wav	0.5874	B
26	Spectrogram 1	1	4657.966393831	4658.379736833	8.523	1056.818	158.4339	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518123503.wav	7266.230518123503.wav	0.4133	B
27	Spectrogram 1	1	4658.503014571	4658.822086362	8.523	1661.932	158.9705	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518123503.wav	7266.230518123503.wav	0.3191	B
28	Spectrogram 1	1	3108.051228077	3111.241945989	59.659	2198.864	108.7316	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121003.wav	7266.230518121003.wav	3.1907	BY
29	Spectrogram 1	1	3111.539262885	3112.431213574	25.568	1866.477	112.2196	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121003.wav	7266.230518121003.wav	0.8920	BY
30	Spectrogram 1	1	3114.714796094	3115.998334890	8.523	2318.182	115.3951	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121003.wav	7266.230518121003.wav	1.2835	BY
31	Spectrogram 1	1	3116.273896891	3117.702468320	34.091	1926.136	116.9542	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121003.wav	7266.230518121003.wav	1.4286	BY
32	Spectrogram 1	1	5042.790500866	5043.486657501	17.045	1176.136	243.2597	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518124003.wav	7266.230518124003.wav	0.6962	BY
33	Spectrogram 1	1	5384.206690964	5384.380730122	732.955	1201.705	284.6287	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518124503.wav	7266.230518124503.wav	0.1740	B
34	Spectrogram 1	1	5384.837582914	5385.018873705	144.886	1269.886	285.2596	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518124503.wav	7266.230518124503.wav	0.1813	B
35	Spectrogram 1	1	5385.446719970	5386.860788135	536.932	1227.273	285.8687	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518124503.wav	7266.230518124503.wav	1.4141	BY
36	Spectrogram 1	1	5390.007996257	5390.602630050	383.523	1576.705	290.4300	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518124503.wav	7266.230518124503.wav	0.5946	BY
37	Spectrogram 1	1	5396.161401708	5397.169378503	281.250	1184.659	296.5834	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518124503.wav	7266.230518124503.wav	1.0080	BY
38	Spectrogram 1	1	5399.868857584	5402.631729230	51.136	1355.114	0.2152	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	2.7629	BY
39	Spectrogram 1	1	5403.081330390	5404.778212189	25.568	1551.136	3.4277	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	1.6969	BY
40	Spectrogram 1	1	5433.990069708	5435.527415611	196.023	1380.682	34.3364	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	1.5373	BY
41	Spectrogram 1	1	5439.882199710	5441.151235243	93.750	1542.614	40.2285	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	1.2690	BY
42	Spectrogram 1	1	5498.695911136	5499.043989453	0.000	1107.955	99.0422	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.3481	B
43	Spectrogram 1	1	5499.863423826	5500.117230933	8.523	1176.136	100.2098	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.2538	B
44	Spectrogram 1	1	5500.566832093	5500.806135936	0.000	1295.455	100.9132	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.2393	B
45	Spectrogram 1	1	5501.350008308	5501.611067046	17.045	1448.864	101.6963	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.2611	B
46	Spectrogram 1	1	5502.140436154	5502.357985103	42.614	1167.614	102.4868	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.2175	B
47	Spectrogram 1	1	5505.056459646	5505.861390755	42.614	1235.795	105.4028	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.8049	B
48	Spectrogram 1	1	5506.601057180	5506.818606129	25.568	1107.955	106.9474	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.2175	B
49	Spectrogram 1	1	5521.440404868	5521.628947290	34.091	1338.068	121.7867	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.1885	B
50	Spectrogram 1	1	5522.180071293	5522.332355557	102.273	1116.477	122.5264	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.1523	B
51	Spectrogram 1	1	5522.789208349	5523.035763824	119.318	1133.523	123.1355	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125003.wav	7266.230518125003.wav	0.2466	B
52	Spectrogram 1	1	5728.238312643	5730.696615762	0.000	630.682	28.5655	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125503.wav	7266.230518125503.wav	2.4583	B
53	Spectrogram 1	1	5784.678278028	5785.990823351	51.136	1551.136	85.0054	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125503.wav	7266.230518125503.wav	1.3125	BY
54	Spectrogram 1	1	5786.367908195	5787.723963308	0.000	1235.795	86.6951	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125503.wav	7266.230518125503.wav	1.3561	BY
55	Spectrogram 1	1	5788.521642785	5789.254057579	0.000	1329.545	88.8488	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125503.wav	7266.230518125503.wav	0.7324	BY
56	Spectrogram 1	1	5789.849337925	5791.502709933	0.000	1389.205	90.1765	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125503.wav	7266.230518125503.wav	1.6534	BY
57	Spectrogram 1	1	5791.778271935	5793.366379259	0.000	1235.795	92.1054	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518125503.wav	7266.230518125503.wav	1.5881	BY
58	Spectrogram 1	1	6069.340071131	6069.651891290	0.000	707.386	69.6592	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518130003.wav	7266.230518130003.wav	0.3118	B
59	Spectrogram 1	1	6073.292210362	6073.712804996	8.523	613.636	73.6114	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518130003.wav	7266.230518130003.wav	0.4206	B
60	Spectrogram 1	1	6103.957330078	6104.232892080	76.705	877.841	104.2765	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518130003.wav	7266.230518130003.wav	0.2756	B
61	Spectrogram 1	1	6696.104538101	6696.271325628	42.614	511.364	96.3125	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.1668	B
62	Spectrogram 1	1	6696.438113156	6696.633907209	25.568	536.932	96.6461	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.1958	B
63	Spectrogram 1	1	6696.786191473	6696.960230632	59.659	528.409	96.9942	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.1740	B
64	Spectrogram 1	1	6697.330063844	6697.554864425	25.568	468.750	97.5381	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2248	B
65	Spectrogram 1	1	6699.026945643	6699.244494591	17.045	468.750	99.2349	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2175	B
66	Spectrogram 1	1	6709.123383204	6709.442454996	34.091	1909.091	109.3314	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.3191	B
67	Spectrogram 1	1	6709.623745786	6709.913811051	59.659	1747.159	109.8317	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2901	B
68	Spectrogram 1	1	6714.148763915	6714.453332443	17.045	1039.773	114.3568	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.3046	B
69	Spectrogram 1	1	6717.985943000	6718.232498475	0.000	622.159	118.1939	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2466	B
70	Spectrogram 1	1	6718.682099636	6719.088191006	17.045	664.773	118.8901	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.4061	B
71	Spectrogram 1	1	6719.400011166	6719.646566641	42.614	630.682	119.6080	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2466	B
72	Spectrogram 1	1	6728.383669656	6728.651980026	59.659	622.159	128.5917	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2683	B
73	Spectrogram 1	1	6737.491468259	6737.977327578	8.523	647.727	137.6995	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.4859	B
74	Spectrogram 1	1	6738.695239108	6739.007059267	85.227	656.250	138.9032	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.3118	B
75	Spectrogram 1	1	6740.761954119	6741.204303647	8.523	1576.705	140.9700	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.4423	B
76	Spectrogram 1	1	6747.121611485	6749.442133603	93.750	1312.500	147.3296	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	2.3205	BY
77	Spectrogram 1	1	6749.840973342	6750.087528817	238.636	1184.659	150.0490	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.2466	B
78	Spectrogram 1	1	6750.703917504	6751.015737664	272.727	1176.136	150.9119	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.3118	BY
79	Spectrogram 1	1	6828.183144949	6828.908308111	85.227	877.841	228.3911	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.7252	BY
80	Spectrogram 1	1	6829.365160902	6829.909033274	0.000	1269.886	229.5732	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.5439	BY
81	Spectrogram 1	1	6830.336879539	6830.655951330	0.000	750.000	230.5449	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131003.wav	7266.230518131003.wav	0.3191	B
82	Spectrogram 1	1	7199.447414647	7200.484397968	0.000	1269.886	299.6137	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518131503.wav	7266.230518131503.wav	1.0370	BY
83	Spectrogram 1	1	8407.575205615	8408.691956885	8.523	1815.341	7.5695	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518134004.wav	7266.230518134004.wav	1.1168	BY
84	Spectrogram 1	1	9226.916707552	9229.911631410	8.523	1653.409	226.8082	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518135004.wav	7266.230518135004.wav	2.9949	BY
85	Spectrogram 1	1	9365.081178455	9366.364717252	0.000	1474.432	64.9957	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518135504.wav	7266.230518135504.wav	1.2835	BY
86	Spectrogram 1	1	9404.350864991	9405.474867891	8.523	1440.341	104.2654	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518135504.wav	7266.230518135504.wav	1.1240	BY
87	Spectrogram 1	1	10072.406838811	10073.712132502	8.523	1133.523	172.1748	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518140504.wav	7266.230518140504.wav	1.3053	BY
88	Spectrogram 1	1	10080.383267288	10080.789358658	17.045	732.955	180.1513	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518140504.wav	7266.230518140504.wav	0.4061	B
89	Spectrogram 1	1	10303.275051188	10303.492600137	25.568	1082.386	102.9979	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141004.wav	7266.230518141004.wav	0.2175	B
90	Spectrogram 1	1	10489.466356054	10489.937712109	17.045	1397.727	289.1892	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141004.wav	7266.230518141004.wav	0.4714	B
91	Spectrogram 1	1	10490.242280637	10490.670126902	0.000	1644.886	289.9651	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141004.wav	7266.230518141004.wav	0.4278	BY
92	Spectrogram 1	1	10491.032708483	10491.366283537	0.000	1423.295	290.7555	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141004.wav	7266.230518141004.wav	0.3336	B
93	Spectrogram 1	1	10510.910467026	10513.209234248	0.000	1448.864	10.6538	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	2.2988	BY
94	Spectrogram 1	1	10514.311482254	10514.833599731	42.614	1551.136	14.0548	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.5221	BY
95	Spectrogram 1	1	10520.204844829	10522.162785366	0.000	1738.636	19.9482	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	1.9579	BY
96	Spectrogram 1	1	10524.107096339	10524.447923025	0.000	1500.000	23.8504	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.3408	B
97	Spectrogram 1	1	10525.071563344	10525.441396557	17.045	1372.159	24.8149	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.3698	B
98	Spectrogram 1	1	10526.065036876	10527.413840357	8.523	1482.955	25.8084	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	1.3488	BY
99	Spectrogram 1	1	10534.699672973	10535.018744764	76.705	1261.364	34.4430	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.3191	B
100	Spectrogram 1	1	10535.236293713	10535.903443822	0.000	1252.841	34.9796	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.6672	BY
101	Spectrogram 1	1	10538.101166659	10538.906097769	25.568	1286.932	37.8445	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.8049	BY
102	Spectrogram 1	1	10543.098408425	10544.004862377	8.523	1269.886	42.8417	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.9065	B
103	Spectrogram 1	1	10545.962802914	10546.231113284	8.523	647.727	45.7061	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.2683	B
104	Spectrogram 1	1	10565.651415330	10566.369326860	59.659	1261.364	65.3948	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	0.7179	BY
105	Spectrogram 1	1	10567.087238390	10568.718855504	34.091	1542.614	66.8306	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518141504.wav	7266.230518141504.wav	1.6316	BY
106	Spectrogram 1	1	10833.494391709	10834.502368504	0.000	2011.364	33.1599	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518142004.wav	7266.230518142004.wav	1.0080	BY
107	Spectrogram 1	1	11198.755496548	11200.249332661	34.091	2053.977	98.3728	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518142504.wav	7266.230518142504.wav	1.4938	BY
108	Spectrogram 1	1	13799.631099376	13799.863151588	76.705	1056.818	298.9661	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518150504.wav	7266.230518150504.wav	0.2321	B
109	Spectrogram 1	1	13802.662281392	13803.561483713	76.705	980.114	1.9304	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518151004.wav	7266.230518151004.wav	0.8992	B
110	Spectrogram 1	1	15479.228030171	15480.243258598	25.568	1286.932	178.2899	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	1.0152	BY
111	Spectrogram 1	1	15492.285102316	15492.886987741	25.568	971.591	191.3469	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.6019	B
112	Spectrogram 1	1	15494.337314064	15494.779663593	34.091	1014.205	193.3991	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.4423	B
113	Spectrogram 1	1	15498.931114327	15499.242934486	93.750	1227.273	197.9929	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.3118	B
114	Spectrogram 1	1	15499.714290541	15500.120381912	127.841	835.227	198.7761	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.4061	B
115	Spectrogram 1	1	15493.205990914	15493.430791494	119.318	715.909	192.2678	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.2248	B
116	Spectrogram 1	1	15508.521306447	15508.782365185	85.227	835.227	207.5831	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.2611	B
117	Spectrogram 1	1	15509.101436976	15509.464018557	42.614	1005.682	208.1633	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.3626	B
118	Spectrogram 1	1	15527.954485236	15528.396834764	0.000	1465.909	227.0163	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518153504.wav	7266.230518153504.wav	0.4423	B
119	Spectrogram 1	1	16221.134133358	16221.358933939	51.136	1133.523	20.1156	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518155004.wav	7266.230518155004.wav	0.2248	B
120	Spectrogram 1	1	16221.721515519	16222.149361785	25.568	963.068	20.7030	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518155004.wav	7266.230518155004.wav	0.4278	B
121	Spectrogram 1	1	16224.578658377	16225.093524221	17.045	843.750	23.5602	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518155004.wav	7266.230518155004.wav	0.5149	B
122	Spectrogram 1	1	16661.387686421	16662.192617531	0.000	1474.432	160.3275	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518155504.wav	7266.230518155504.wav	0.8049	BY
123	Spectrogram 1	1	16662.446424637	16663.019303535	0.000	1031.250	161.3863	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518155504.wav	7266.230518155504.wav	0.5729	BY
124	Spectrogram 1	1	17590.205097463	17590.828737782	0.000	1065.341	189.0388	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518161004.wav	7266.230518161004.wav	0.6236	B
125	Spectrogram 1	1	17591.445126469	17591.909230893	17.045	1056.818	190.2788	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518161004.wav	7266.230518161004.wav	0.4641	B
126	Spectrogram 1	1	17594.954916172	17595.636569544	0.000	1005.682	193.7886	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518161004.wav	7266.230518161004.wav	0.6817	B
127	Spectrogram 1	1	19676.202078479	19676.564660059	0.000	988.636	174.7156	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.3626	B
128	Spectrogram 1	1	19676.992506325	19677.558133591	34.091	1244.318	175.5060	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.5656	B
129	Spectrogram 1	1	19677.949721698	19678.413826122	0.000	1133.523	176.4632	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.4641	B
130	Spectrogram 1	1	19678.638626702	19679.262267021	0.000	1142.045	177.1521	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.6236	B
131	Spectrogram 1	1	19693.971842681	19694.254656315	34.091	681.818	192.4853	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.2828	B
132	Spectrogram 1	1	19694.921806423	19695.472930426	17.045	664.773	193.4353	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.5511	B
133	Spectrogram 1	1	19696.125577272	19696.560675169	0.000	911.932	194.6391	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518164504.wav	7266.230518164504.wav	0.4351	B
134	Spectrogram 1	1	19951.175328831	19951.762710992	0.000	988.636	149.6760	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518165004.wav	7266.230518165004.wav	0.5874	B
135	Spectrogram 1	1	19958.911815446	19959.426681291	0.000	750.000	157.4125	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518165004.wav	7266.230518165004.wav	0.5149	B
136	Spectrogram 1	1	19970.308161307	19970.750510835	0.000	1125.000	168.8088	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518165004.wav	7266.230518165004.wav	0.4423	B
137	Spectrogram 1	1	19971.475673997	19972.403882844	0.000	1031.250	169.9763	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518165004.wav	7266.230518165004.wav	0.9282	BY
138	Spectrogram 1	1	20100.285966657	20100.626793343	0.000	1278.409	298.7866	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518165004.wav	7266.230518165004.wav	0.3408	B
139	Spectrogram 1	1	20110.046788078	20110.373111501	0.000	869.318	8.4806	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518165504.wav	7266.230518165504.wav	0.3263	B
140	Spectrogram 1	1	20688.007725899	20690.712584492	0.000	1832.386	286.4576	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518170004.wav	7266.230518170004.wav	2.7049	BY
141	Spectrogram 1	1	21709.750452858	21710.591642126	0.000	1661.932	108.0201	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518172004.wav	7266.230518172004.wav	0.8412	BY
142	Spectrogram 1	1	22761.770734105	22763.511125693	0.000	971.591	259.9132	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518173504.wav	7266.230518173504.wav	1.7404	BY
