Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
336	Spectrogram 1	1	2655.366	2655.9269	25.366	84.2	625.3	DS3B__0__20180903_200354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180903_200354.wav	Y	bark	WH	RS				X	1	0	X	B	-	Too faint
344	Spectrogram 1	1	2956.585	2959.3533	63.585	0	1448.9	DS3B__0__20180905_000354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180905_000354.wav	Y	"bark, yelp"	Clear Yelp-bark sequence	RS			Yelp-bark sequence	X	-	-	-	-	S	
351	Spectrogram 1	1	3169.5863	3170.036361	13.5863	144.3	505	DS3B__0__20180907_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180907_050354.wav	Y	bark	WH	RS				Y	1	0	X	B	-	Borderline too faint
371	Spectrogram 1	1	3514.471	3514.868399	95.471	58.824	1304.6	DS3B__0__20180910_100354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180910_100354.wav	Y	bark	clear	RS			Bark - clear	Y	1	0	X	B	-	Good
447	Spectrogram 1	1	3834.793	3835.499341	152.793	162.3	601.2	DS3B__0__20180917_100354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180917_100354.wav	Y	bark	In background noise	RS			Barks	X	3	0	X	B	-	Too faint
593	Spectrogram 1	1	3995.842	3996.0981	50.842	174.3	829.7	DS3B__0__20181011_020354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181011_020354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Surrounding has some quiet unannotated barks
594	Spectrogram 1	1	4382.976	4383.7931	174.976	138.3	1160.3	DS3B__0__20181011_060354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181011_060354.wav	Y	bark	Loud	RS			Barks	Y	2	0	X	B	-	Good
601	Spectrogram 1	1	4710.4564	4710.780482	239.4564	168.3	973.9	DS3B__0__20181011_150354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181011_150354.wav	Y	bark	very clear	RS			Bark - very clear	Y	1	0	X	B	-	Good
608	Spectrogram 1	1	4935.793	4938.671	201.793	84.2	1076.2	DS3B__0__20181012_110354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_110354.wav	Y	"bark, yelp"	In ambient noise. Yelp-Bark combo - clear	RS			Yelp-Bark combo - clear	X	-	-	-	-	S	
610	Spectrogram 1	1	5247.6421	5248.012209	250.6421	288.6	1112.2	DS3B__0__20181012_130354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_130354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Borderline too faint
613	Spectrogram 1	1	5495.402	5495.6703	235.402	42.1	913.8	DS3B__0__20181012_140354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	Borderline too faint
614	Spectrogram 1	1	5514.951	5517.8291	254.951	180.4	998	DS3B__0__20181012_140354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	S	
649	Spectrogram 1	1	5760.659	5762.1712	237.659	192.4	1442.9	DS3B__0__20181014_040354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_040354.wav	Y	bark	in ambient noise	RS			Barks	X	-	-	-	-	S	
650	Spectrogram 1	1	5984.244	5985.126642	198.244	72.1	1000	DS3B__0__20181014_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_050354.wav	Y	bark	Bark	RS			Bark	Y	2	1	X	BY	-	Borderline too faint
658	Spectrogram 1	1	6251.5838	6251.908945	202.5838	162.3	865.546	DS3B__0__20181014_100354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_100354.wav	Y	bark	meh	RS			Bark	Y	1	0	X	B	-	
666	Spectrogram 1	1	6545.7378	6546.31751	233.7378	294.6	2184.874	DS3B__0__20181014_140354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_140354.wav	Y	"bark, yelp"	Yelp-bark - very clear	RS			Yelp-bark - very clear	Y	1	1	X	BY	-	Good
673	Spectrogram 1	1	6581.671	6583.4759	6.671	282.6	1316.6	DS3B__0__20181014_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_170354.wav	Y	"bark, yelp"	clear but faint	RS			Yelp and three barks - clear but faint	X	-	-	-	-	S	
674	Spectrogram 1	1	6640.712	6641.557376	65.712	54.1	1094.2	DS3B__0__20181014_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_170354.wav	Y	"bark, yelp"	Barks-yelp clear	RS			Barks-yelp clear	Y	2	3	X	BY	-	Good
675	Spectrogram 1	1	6643.402	6646.6825	68.402	72.1	949.9	DS3B__0__20181014_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_170354.wav	Y	"bark, yelp"	Yelp-bark series - clear	RS			Yelp-bark series - clear	X	-	-	-	-	S	
681	Spectrogram 1	1	6934.451	6934.951	96.451	102.2	1010	DS3B__0__20181014_190354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_190354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
691	Spectrogram 1	1	7222.817	7223.256	121.817	348.7	1070.1	DS3B__0__20181015_000354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_000354.wav	Y	bark		RS				Y	1	0	X	B	-	Borderline too faint
692	Spectrogram 1	1	7455	7455.2683	91	174.3	673.3	DS3B__0__20181015_010354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_010354.wav	Y	bark	clear	RS			Bark - clear	Y	1	0	X	B	-	
703	Spectrogram 1	1	7708.793	7711.9149	81.793	0	913.8	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark	Barks	RS			Barks	Y	1	0	X	B	-	
704	Spectrogram 1	1	7714.3384	7715.068169	87.3384	48.1	931.9	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	S	
705	Spectrogram 1	1	7716.402	7718.1825	89.402	180.4	811.6	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	S	
706	Spectrogram 1	1	7720.768	7720.9753	93.768	142.857	672.269	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark		RS				Y	1	0	X	B	-	Borderline too faint
707	Spectrogram 1	1	7723.634	7723.8779	96.634	192.4	583.2	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark		RS				X	1	0	X	B	-	Too faint
708	Spectrogram 1	1	7871.3728	7871.744034	244.3728	100.84	865.546	DS3B__0__20181015_090354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_090354.wav	Y	bark		RS				Y	1	0	X	B	-	Borderline too faint
709	Spectrogram 1	1	7901.11	7901.7563	11.11	132.3	1218.487	DS3B__0__20181015_110354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_110354.wav	Y	"bark, yelp"	Yelp-bark - clear	RS			Yelp-bark - clear	Y	1	1	X	BY	-	Growl
710	Spectrogram 1	1	7904.5905	7904.987899	14.5905	138.3	961.9	DS3B__0__20181015_110354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_110354.wav	Y	bark		RS				Y	1	0	X	B	-	
712	Spectrogram 1	1	8178.256	8178.6219	25.256	126.3	1202.4	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
714	Spectrogram 1	1	8186.085	8186.4142	33.085	66.1	871.7	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark	faint	RS				Y	1	0	X	B	-	Borderline too faint
716	Spectrogram 1	1	8320.6375	8321.54846	167.6375	67.227	663.866	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark		RS				Y	2	0	X	B	-	
721	Spectrogram 1	1	8336.1554	8336.458868	183.1554	372.7	1316.6	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark		RS				Y	1	0	X	B	-	
723	Spectrogram 1	1	8340.39	8340.962692	187.39	92.437	722.689	DS3B__0__20181015_120354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_120354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
724	Spectrogram 1	1	8447.415	8448.2199	31.415	168.3	607.2	DS3B__0__20181015_130354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_130354.wav	Y	bark	Bark series - clear	RS			Bark series - clear	Y	3	0	X	B	-	
726	Spectrogram 1	1	8453.098	8453.5736	37.098	150.3	673.3	DS3B__0__20181015_130354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_130354.wav	Y	bark	Barks	RS			Barks	Y	2	0	X	B	-	
733	Spectrogram 1	1	8825.354	8825.9637	146.354	142.857	1304.6	DS3B__0__20181015_150354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_150354.wav	Y	"bark, yelp"		RS				Y	2	0	X	B	-	
734	Spectrogram 1	1	9118.378	9118.8293	176.378	138.3	1274.5	DS3B__0__20181015_160354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181015_160354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	
760	Spectrogram 1	1	9247.268	9247.5973	42.268	246.5	769.5	DS3B__0__20181017_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_060355.wav	Y	bark	in background noise	RS				X	1	0	X	B	-	Too faint
771	Spectrogram 1	1	9472.037	9474.0248	5.037	318.6	1010	DS3B__0__20181017_110355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_110355.wav	Y	bark	two barks	RS				X	-	-	-	-	S	
776	Spectrogram 1	1	9892.024	9892.4142	163.024	384.8	733.5	DS3B__0__20181017_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_200355.wav	Y	bark		RS				Y	1	0	X	B	-	
778	Spectrogram 1	1	10051.049	10051.3295	60.049	414.8	865.7	DS3B__0__20181017_210355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_210355.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	
782	Spectrogram 1	1	10337.3737	10337.65549	84.3737	150.3	894.915	DS3B__0__20181017_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_220355.wav	Y	bark		RS				Y	1	0	X	B	-	
784	Spectrogram 1	1	10372.8779	10373.26815	119.8779	210.4	1057.627	DS3B__0__20181017_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_220355.wav	Y	"bark, yelp"	bark-yelp	RS				Y	1	0	X	B	-	
785	Spectrogram 1	1	10385.3894	10385.93131	132.3894	294.6	1509	DS3B__0__20181017_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181017_220355.wav	Y	"bark, yelp"	Yelp and 3 barks	RS			Yelp and 3 barks	Y	2	0	X	B	-	
789	Spectrogram 1	1	10762.5993	10763.58196	247.5993	114.2	1022	DS3B__0__20181018_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_000355.wav	Y	"bark, yelp"		RS				Y	2	1	X	B	-	
794	Spectrogram 1	1	10783.573	10786.2803	6.573	175.1	766.6	DS3B__0__20181018_050355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_050355.wav	Y	bark		RS			Clear	X	-	-	-	-	S	
795	Spectrogram 1	1	11147.927	11148.3295	108.927	180.4	805.6	DS3B__0__20181018_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_060355.wav	Y	bark	Bark	RS			Bark	X	1	0	X	B	-	Too faint
797	Spectrogram 1	1	11487.646	11488.46695	186.646	24	919.8	DS3B__0__20181018_070355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181018_070355.wav	Y	bark		RS				Y	2	1	X	BY	-	Borderline too faint
812	Spectrogram 1	1	11673.06925	11673.31423	110.0692	234.5	968.023	DS3B__0__20181019_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_140355.wav	Y	bark		RS				Y	1	0	X	B	-	
815	Spectrogram 1	1	11984.28	11985.8044	159.28	0	1545.1	DS3B__0__20181019_150355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_150355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	S	
821	Spectrogram 1	1	12308.963	12312.3167	221.963	144.3	1653.3	DS3B__0__20181019_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_180355.wav	Y	"bark, yelp"	great series	RS			Bark-yelp series - very clear	X	-	-	-	-	S	
825	Spectrogram 1	1	12594.744	12596.4757	245.744	318.6	2747.5	DS3B__0__20181019_190355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_190355.wav	Y	"bark, yelp"	"Mostly yelps, a bark at the end"	RS			Very clear	X	-	-	-	-	S	
830	Spectrogram 1	1	12803.82462	12804.15754	192.8246	186.4	1500	DS3B__0__20181019_210355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_210355.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	
831	Spectrogram 1	1	12971.78505	12972.4393	98.7851	222.4	1196.4	DS3B__0__20181019_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181019_220355.wav	Y	"bark, yelp"		RS				Y	1	1	X	BY	-	
839	Spectrogram 1	1	13136.70534	13137.35232	1.7053	0	967.9	DS3B__0__20181020_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_010355.wav	Y	"bark, yelp"		RS				Y	1	1	X	BY	-	Borderline too faint
840	Spectrogram 1	1	13213.82	13214.5977	78.82	60.1	691.4	DS3B__0__20181020_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_010355.wav	Y	"bark, yelp"		RS				Y	3	0	X	B	-	Borderline too faint
849	Spectrogram 1	1	13598.34715	13599.4027	201.3472	156.3	913.8	DS3B__0__20181020_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_040355.wav	Y	bark		RS				X	-	-	-	-	S	
852	Spectrogram 1	1	13776.549	13783.2197	117.549	198.4	883.8	DS3B__0__20181020_050355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181020_050355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	S	
864	Spectrogram 1	1	14101.256	14108.9145	180.256	48.1	1028.1	DS3B__0__20181021_170355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181021_170355.wav	Y	bark	clear	RS			Barks - clear	X	-	-	-	-	S	
867	Spectrogram 1	1	14301.628	14308.2621	118.628	90.2	1154.3	DS3B__0__20181021_230355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181021_230355.wav	Y	"bark, yelp"	mostly yelps but there is one bark	RS			Clear	X	-	-	-	-	S	
871	Spectrogram 1	1	14392.448	14398.8383	209.448	120.2	2428.9	DS3B__0__20181021_230355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181021_230355.wav	Y	"bark, yelp"	Yelp - bark series - clear	RS			Yelp - bark series - clear	X	-	-	-	-	S	
872	Spectrogram 1	1	14638.93603	14639.42598	193.936	246.5	1527.1	DS3B__0__20181022_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_000355.wav	Y	"bark, yelp"		RS				Y	1	1	X	BY	-	
873	Spectrogram 1	1	14829.549	14832.1587	122.549	54.1	1124.2	DS3B__0__20181022_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_010355.wav	Y	"bark, yelp"	Yelp and 4 barks - clear	RS			Yelp and 4 barks - clear	X	-	-	-	-	S	
874	Spectrogram 1	1	15223.8562	15224.32103	254.8562	148.256	1196.4	DS3B__0__20181022_020355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_020355.wav	Y	bark		RS				Y	2	0	X	B	-	
875	Spectrogram 1	1	15233.62381	15233.951	2.6238	42.1	1052.1	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Bark - very clear	RS			Bark - very clear	Y	1	0	X	B	-	
876	Spectrogram 1	1	15238.573	15239.3657	7.573	96.2	1202.4	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks - very clear	RS			Barks - very clear	X	-	-	-	-	S	
881	Spectrogram 1	1	15313.5	15317.561	82.5	96.2	2164.3	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks - clear	RS			Barks - clear	X	-	-	-	-	S	
882	Spectrogram 1	1	15320.293	15320.9637	89.293	210.4	1827.7	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	"bark, yelp"	Yelp-bark - very clear	RS			Yelp-bark - very clear	Y	1	1	X	BY	-	Good
883	Spectrogram 1	1	15325.207	15325.8534	94.207	90.2	1833.7	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Two barks - very clear	RS			Two barks - very clear	Y	2	0	X	B	-	Good
884	Spectrogram 1	1	15328.5	15329.2927	97.5	114.2	1839.7	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	3 barks - very clear	RS			3 barks - very clear	Y	3	0	X	B	-	Good
885	Spectrogram 1	1	15340.43231	15341.34312	109.4323	0	1971.9	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks - clear	RS			Barks - clear	Y	4	0	X	B	-	Good
886	Spectrogram 1	1	15396.411	15403.1793	165.411	18	1653.3	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	"bark, yelp"	Clear barks and yelps	RS			Clear barks and yelps	X	-	-	-	-	S	
887	Spectrogram 1	1	15405.892	15409.0871	174.892	18	1058.1	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	3 barks clear	RS			3 barks clear	X	-	-	-	-	S	
888	Spectrogram 1	1	15414.222	15417.1611	183.222	114.2	1442.9	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	S	
889	Spectrogram 1	1	15421.55	15423.2086	190.55	108.2	937.9	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	S	
890	Spectrogram 1	1	15426.216	15430.9356	195.216	66.1	877.8	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	S	
891	Spectrogram 1	1	15453.31857	15454.27963	222.3186	120.2	937.9	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	"bark, yelp"		RS				Y	2	1	X	BY	-	
892	Spectrogram 1	1	15456.46939	15456.72064	225.4694	60.1	757.5	DS3B__0__20181022_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_030355.wav	Y	bark	WH	RS				Y	1	0	X	B	-	"Borderline too faint, growl"
902	Spectrogram 1	1	15653.879	15655.1351	160.879	96.2	1022	DS3B__0__20181022_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_180355.wav	Y	"bark, yelp"	Wh	RS				X	-	-	-	-	S	
905	Spectrogram 1	1	16001.86476	16002.6939	246.8648	0	1124.2	DS3B__0__20181022_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_200355.wav	Y	"bark, yelp"	faint	RS				Y	1	1	X	BY	-	
906	Spectrogram 1	1	16198.098	16202.3175	181.098	144.3	1256.5	DS3B__0__20181022_210355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181022_210355.wav	Y	"bark, yelp"	series	RS				X	-	-	-	-	S	
913	Spectrogram 1	1	16296.25442	16296.69412	17.2544	0	769.5	DS3B__0__20181023_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_010355.wav	Y	bark	Barks - clear	RS			Barks - clear	Y	2	0	X	B	-	Good
917	Spectrogram 1	1	16454.5739	16454.91938	175.5739	0	691.4	DS3B__0__20181023_010355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_010355.wav	Y	bark	WH	RS				Y	1	0	X	B	-	
922	Spectrogram 1	1	16636.866	16639.5123	95.866	240.5	1298.6	DS3B__0__20181023_030355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_030355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	S	
923	Spectrogram 1	1	16824.11	16824.82096	21.11	102.2	837.209	DS3B__0__20181023_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_040355.wav	Y	"bark, yelp"	Yelp-bark - clear	RS			Yelp-bark - clear	Y	1	1	X	BY	-	Good
925	Spectrogram 1	1	16843.232	16845.4637	40.232	78.2	1274.5	DS3B__0__20181023_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_040355.wav	Y	"bark, yelp"		RS				X	-	-	-	-	S	
926	Spectrogram 1	1	16857.06375	16857.24591	54.0637	156.3	697.4	DS3B__0__20181023_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_040355.wav	Y	bark		RS				Y	1	0	X	B	-	
929	Spectrogram 1	1	17187.19668	17187.49819	122.1967	132.3	1944.767	DS3B__0__20181023_050355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_050355.wav	Y	bark		RS				Y	1	0	X	B	-	
932	Spectrogram 1	1	17401.061	17403.622	74.061	198.4	811.6	DS3B__0__20181023_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_060355.wav	Y	"bark, yelp"	faint	RS				X	-	-	-	-	S	
933	Spectrogram 1	1	17467.02054	17467.27808	140.0205	318.6	1058.1	DS3B__0__20181023_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181023_060355.wav	Y	bark		RS				Y	1	0	X	B	-	
