Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment
46	Spectrogram 1	1	16012.753913396	16013.062672061	807.175	1224.215	67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513213343.wav	111.4096	X	0	1	X	Y	
47	Spectrogram 1	1	16014.967392416	16016.725426442	598.655	1506.726	67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513213343.wav	113.6231	X	0	1	X	Y	
48	Spectrogram 1	1	20684.344206018	20685.131855671	1096.413	1876.682	67145740.220513224843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513224843.wav	283.5512	X	0	1	X	Y	
49	Spectrogram 1	1	22444.890529514	22445.722287548	60.538	2973.094	67145740.220513231843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513231843.wav	243.9215	Y	1	1	X	BY	CLOSE
50	Spectrogram 1	1	22446.692671921	22447.600044322	53.812	2959.641	67145740.220513231843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513231843.wav	245.7237	Y	2	1	X	BY	CLOSE
51	Spectrogram 1	1	22448.350766188	22450.096197820	47.085	2286.996	67145740.220513231843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513231843.wav	247.3818	Y	3	2	X	BY	CLOSE
52	Spectrogram 1	1	23058.204085516	23058.689277703	67.265	2677.130	67145740.220513232843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513232843.wav	257.1852	Y	1	1	X	BY	
53	Spectrogram 1	1	25026.561764428	25026.757101542	665.919	1170.404	67145740.220514000343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514000343.wav	125.4048	X	0	1	X	Y	
54	Spectrogram 1	1	25089.843965909	25090.278748518	141.256	2899.103	67145740.220514000343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514000343.wav	188.6870	Y	1	1	X	BY	
55	Spectrogram 1	1	25827.513333171	25829.447800719	73.991	2643.498	67145740.220514001843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514001843.wav	26.2422	X	4	1	Y	B	Overlap BS <1kHz
56	Spectrogram 1	1	26032.737834086	26033.569592121	47.085	1156.951	67145740.220514001843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514001843.wav	231.4667	Y	1	1	Y	BY	Faint BS overlap <1kHz
57	Spectrogram 1	1	26040.501415880	26040.784969755	739.910	2031.390	67145740.220514001843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514001843.wav	239.2303	X	0	2	Y	Y	BS <1KHZ
58	Spectrogram 1	1	26157.024138202	26157.566041163	396.861	2199.552	67145740.220514002343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514002343.wav	55.7323	Y	1	1	X	BY	
59	Spectrogram 1	1	26157.673161516	26158.775871031	396.861	1284.753	67145740.220514002343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514002343.wav	56.3813	X	0	4	X	Y	
60	Spectrogram 1	1	26828.107373818	26829.184878543	53.812	369.955	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	126.7555	Y	1	0	X	G	
61	Spectrogram 1	1	26832.253759623	26833.306059560	33.632	430.493	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	130.9019	Y	1	0	X	G	
62	Spectrogram 1	1	26838.941892116	26839.401879514	53.812	464.126	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	137.5901	Y	1	0	X	G	
63	Spectrogram 1	1	26843.045526612	26843.316478093	13.453	437.220	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	141.6937	Y	1	0	X	G	
64	Spectrogram 1	1	26843.562224785	26843.883585843	67.265	450.673	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	142.2104	Y	1	0	X	G	
65	Spectrogram 1	1	26848.043168131	26849.252997999	53.812	443.946	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	146.6913	Y	1	0	X	G	
66	Spectrogram 1	1	26853.090060186	26853.335806878	100.897	336.323	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	151.7382	Y	1	0	X	G	
67	Spectrogram 1	1	26853.631963147	26854.079348151	100.897	423.767	67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003343.wav	152.2801	Y	1	0	X	G	
68	Spectrogram 1	1	27140.434389182	27140.623425098	40.359	679.372	67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003843.wav	139.0427	Y	1	0	X	B	
69	Spectrogram 1	1	27229.091102218	27229.273836938	813.901	1331.839	67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003843.wav	227.6994	X	0	1	X	Y	
70	Spectrogram 1	1	27229.670812363	27229.941763844	760.090	1062.780	67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003843.wav	228.2791	X	0	1	X	Y	
71	Spectrogram 1	1	27230.004775816	27230.174908141	60.538	329.596	67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514003843.wav	228.6131	Y	1	0	X	B	
72	Spectrogram 1	1	27485.529512656	27485.693343784	934.978	1217.489	67145740.220514004343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514004343.wav	184.1500	X	0	1	X	Y	
73	Spectrogram 1	1	28020.489007689	28020.652838817	1130.045	1466.368	67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005343.wav	119.0235	X	0	1	X	Y	
74	Spectrogram 1	1	28025.421802490	28025.768368337	773.543	1331.839	67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005343.wav	123.9563	X	0	1	X	Y	
75	Spectrogram 1	1	28118.968041021	28119.163378135	928.251	1345.291	67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005343.wav	217.5025	X	0	1	Y	Y	BS >1KHZ
76	Spectrogram 1	1	28116.491670510	28116.642899244	1190.583	1405.830	67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005343.wav	215.0262	X	0	1	Y	Y	BS >1KHZ
77	Spectrogram 1	1	28381.576085442	28381.727314175	780.269	1002.242	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	180.0966	X	0	1	X	Y	
78	Spectrogram 1	1	28383.082071579	28383.214396721	827.354	1082.960	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	181.6026	X	0	1	X	Y	
79	Spectrogram 1	1	28379.679425077	28379.887364585	121.076	928.251	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	178.1999	Y	1	0	X	B	
84	Spectrogram 1	1	28377.991868924	28379.403337103	60.538	605.381	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	176.5124	X	1	0	X	B	MAYBE GROWL BUT NOT SURE
85	Spectrogram 1	1	28380.314599676	28380.543853801	87.444	975.336	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	178.8351	Y	1	0	X	B	
87	Spectrogram 1	1	28390.389759839	28390.591398151	706.278	1116.592	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	188.9103	X	0	1	X	Y	
88	Spectrogram 1	1	28407.477698314	28407.830565359	659.193	1022.422	67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514005843.wav	205.9982	X	0	1	Y	Y	STATIC AND BS <1KHZ
89	Spectrogram 1	1	28974.307471206	28974.528013109	430.493	706.278	67145740.220514010843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514010843.wav	172.7510	X	0	1	X	Y	
90	Spectrogram 1	1	28976.097011218	28976.279745938	484.305	699.552	67145740.220514010843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514010843.wav	174.5405	X	0	1	X	Y	
91	Spectrogram 1	1	29150.408749741	29150.749014391	760.090	2650.224	67145740.220514011343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514011343.wav	48.8128	X	0	1	X	Y	
92	Spectrogram 1	1	29151.215302986	29151.524061650	793.722	2549.327	67145740.220514011343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514011343.wav	49.6193	X	0	1	X	Y	
93	Spectrogram 1	1	32000.614163849	32000.790597371	847.534	1143.498	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	198.8457	X	0	1	X	Y	
94	Spectrogram 1	1	32049.240021859	32049.454262565	618.834	1082.960	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	247.4715	X	0	1	X	Y	
95	Spectrogram 1	1	32046.341471134	32046.517904657	679.372	1022.422	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	244.5730	X	0	1	X	Y	
96	Spectrogram 1	1	32050.223008626	32050.462454121	632.287	1076.233	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	248.4545	X	0	1	X	Y	
97	Spectrogram 1	1	32052.100765400	32052.302403711	639.013	1035.874	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	250.3323	X	0	1	X	Y	
98	Spectrogram 1	1	32052.982933012	32053.140462943	665.919	901.345	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	251.2144	X	0	1	X	Y	
99	Spectrogram 1	1	32053.770582665	32054.091943724	665.919	1096.413	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	252.0021	X	0	1	X	Y	
100	Spectrogram 1	1	32057.606269824	32057.789004543	713.004	1015.695	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	255.8378	X	0	1	X	Y	
101	Spectrogram 1	1	32061.676843233	32061.884782741	639.013	1056.054	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	259.9083	X	0	1	X	Y	
102	Spectrogram 1	1	32063.113051443	32063.402906515	531.390	860.987	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	261.3446	X	0	1	X	Y	
103	Spectrogram 1	1	32062.558546087	32062.785389187	147.982	1385.650	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	260.7900	X	0	1	X	Y	
104	Spectrogram 1	1	32097.597468696	32098.007046515	134.529	356.502	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	295.8290	Y	1	0	X	G	
105	Spectrogram 1	1	32100.672452943	32101.264765482	154.709	329.596	67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514015843.wav	298.9039	Y	1	0	X	G	
106	Spectrogram 1	1	32147.549775173	32148.135786515	100.897	269.058	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	45.7494	Y	1	0	X	G	
107	Spectrogram 1	1	32350.733128049	32351.369548969	87.444	1224.215	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	248.9328	X	0	1	Y	Y	BS <1KHZ
108	Spectrogram 1	1	32357.358528216	32357.818515614	470.852	2535.874	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	255.5582	X	0	1	X	Y	
109	Spectrogram 1	1	32359.759284360	32360.086946616	376.682	1338.565	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	257.9589	X	0	1	X	Y	
110	Spectrogram 1	1	32362.229353673	32362.569618323	726.457	1466.368	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	260.4290	X	0	1	X	Y	
111	Spectrogram 1	1	32365.544158273	32366.136470813	497.758	1695.067	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	263.7438	X	0	1	X	Y	
112	Spectrogram 1	1	32366.180579193	32366.672072577	766.816	1419.283	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	264.3802	X	0	1	X	Y	
113	Spectrogram 1	1	32370.354345839	32370.908851195	134.529	1439.462	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	268.5540	X	0	1	X	Y	
114	Spectrogram 1	1	32373.883016286	32374.273690514	87.444	1251.121	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	272.0827	X	0	1	X	Y	
115	Spectrogram 1	1	32379.430148744	32379.984654100	491.031	2078.475	67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514020343.wav	277.6298	X	0	1	X	Y	
116	Spectrogram 1	1	33148.903884329	33149.407980107	605.381	1224.215	67145740.220514021843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514021843.wav	146.9962	X	0	1	X	Y	
117	Spectrogram 1	1	35881.402410246	35881.629253346	807.175	1062.780	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	179.3106	X	0	1	Y	Y	BS >1KHZ
118	Spectrogram 1	1	35882.725661664	35882.946203566	800.448	1049.327	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	180.6338	X	0	1	Y	Y	BS >1KHZ
119	Spectrogram 1	1	35884.332466957	35884.842863932	773.543	1116.592	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	182.2406	X	0	1	Y	Y	BS >1KHZ
120	Spectrogram 1	1	35885.309152527	35885.718730347	760.090	1022.422	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	183.2173	X	0	1	Y	Y	BS >1KHZ
121	Spectrogram 1	1	35888.028363410	35888.185893340	847.534	1029.148	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	185.9365	X	0	1	Y	Y	BS >1KHZ
122	Spectrogram 1	1	35891.501604200	35891.741049694	739.910	1177.130	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	189.4098	X	0	1	Y	Y	BS >1KHZ
123	Spectrogram 1	1	35895.672527851	35895.880467360	726.457	1035.874	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	193.5807	X	0	1	Y	Y	BS >1KHZ
125	Spectrogram 1	1	35897.443164272	35897.726718147	820.628	1082.960	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	195.3513	X	0	1	X	Y	
126	Spectrogram 1	1	35898.463958223	35898.867234846	773.543	1076.233	67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514030343.wav	196.3721	X	0	1	X	Y	
127	Spectrogram 1	1	36688.022132640	36688.261578135	847.534	1412.556	67145740.220514031843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514031843.wav	85.7840	X	0	1	X	Y	
128	Spectrogram 1	1	36696.618397851	36696.883048135	1015.695	1506.726	67145740.220514031843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514031843.wav	94.3802	X	0	1	X	Y	
129	Spectrogram 1	1	36696.983867290	36697.185505602	269.058	1123.318	67145740.220514031843.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514031843.wav	94.7457	X	0	1	X	Y	
130	Spectrogram 1	1	37559.710031865	37560.006188135	827.354	1452.915	67145740.220514033343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514033343.wav	57.4425	X	0	1	X	Y	
131	Spectrogram 1	1	38359.909673837	38360.388564827	423.767	2798.206	67145740.220514034343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514034343.wav	257.5718	X	0	1	X	Y	
132	Spectrogram 1	1	38361.982767725	38362.474261109	497.758	2293.722	67145740.220514034343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514034343.wav	259.6449	X	0	1	X	Y	
133	Spectrogram 1	1	38368.433591443	38368.874675249	417.040	2878.924	67145740.220514034343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514034343.wav	266.0958	X	0	1	X	Y	
134	Spectrogram 1	1	38370.878455967	38371.180913434	558.296	2838.565	67145740.220514034343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514034343.wav	268.5406	X	0	1	X	Y	
135	Spectrogram 1	1	38373.028893314	38373.671615432	47.085	1540.359	67145740.220514034343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220514034343.wav	270.6911	Y	1	0	X	G	
