Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
100	Spectrogram 1	1	15080.21452	15081.02482	106.267	416.894	Y	3	0	X	B		
101	Spectrogram 1	1	15085.98159	15086.38989	98.093	572.207	Y	2	0	X	B		
102	Spectrogram 1	1	15086.99918	15087.71526	98.093	465.94	Y	3	0	X	B		
103	Spectrogram 1	1	15088.07958	15088.60094	130.79	506.812	Y	2	0	X	B		
104	Spectrogram 1	1	15089.63737	15090.60471	98.093	564.033	Y	3	0	X	B		
105	Spectrogram 1	1	15091.57205	15091.75421	179.837	523.161	Y	1	0	X	B		
106	Spectrogram 1	1	15095.85189	15097.71747	147.139	1144.414	Y	5	2	X	BY		
107	Spectrogram 1	1	15094.52023	15094.72124	752.044	1373.297	X	0	1	X	Y		
108	Spectrogram 1	1	15108.27522	15109.03527	73.569	433.243	Y	1	0	X	G		
109	Spectrogram 1	1	15537.45914	15537.85487	833.787	1152.589	X	0	1	Y	Y		
110	Spectrogram 1	1	15771.93697	15772.30129	32.698	310.627	X	1	0	X	G		
111	Spectrogram 1	1	16486.99099	16487.72591	670.3	1659.401	X	0	1	X	Y		
113	Spectrogram 1	1	16565.31977	16565.62756	49.046	376.022	X	1	0	X	G	TOO FAINT	
114	Spectrogram 1	1	17101.5336	17101.93561	188.011	2664.85	X	0	1	X	Y		
115	Spectrogram 1	1	17102.20571	17102.50093	825.613	1479.564	Y	1	1	X	BY		
116	Spectrogram 1	1	17104.53611	17105.03234	743.869	1103.542	X	0	1	X	Y		
118	Spectrogram 1	1	17113.64937	17113.98229	784.741	1291.553	X	0	1	Y	Y		
119	Spectrogram 1	1	17121.72916	17121.95529	850.136	1111.717	X	0	1	X	Y		
120	Spectrogram 1	1	17124.18519	17124.44273	621.253	1152.589	X	0	1	X	Y		
121	Spectrogram 1	1	17125.53569	17125.86861	670.3	1185.286	X	0	1	X	Y		
122	Spectrogram 1	1	17127.84725	17128.2367	613.079	1405.995	X	0	1	X	Y		
123	Spectrogram 1	1	17128.98418	17129.24172	555.858	1520.436	X	0	1	X	Y		
124	Spectrogram 1	1	17134.73304	17135.04083	874.659	1405.995	X	0	1	X	Y		
125	Spectrogram 1	1	17143.10992	17143.43027	547.684	1307.902	X	0	1	X	Y		
126	Spectrogram 1	1	18008.4824	18011.09547	16.393	1631.148	X	3	3	Y	BY		
127	Spectrogram 1	1	18012.25904	18012.56683	32.787	1418.033	Y	1	1	X	BY		
128	Spectrogram 1	1	18014.77161	18015.16734	81.967	1442.623	Y	1	1	X	BY		
129	Spectrogram 1	1	18013.64095	18013.93618	745.902	1319.672	X	0	1	X	Y		
130	Spectrogram 1	1	18015.26995	18017.33653	0	1614.754	Y	4	4	Y	BY		
132	Spectrogram 1	1	18017.70472	18019.31904	122.951	1254.098	Y	4	1	Y	BY		
133	Spectrogram 1	1	18780.67099	18781.30542	122.951	409.836	Y	1	0	X	G		
134	Spectrogram 1	1	20273.74345	20273.96958	909.836	1237.705	X	0	1	Y	Y		
135	Spectrogram 1	1	20274.72335	20274.99973	950.82	1319.672	X	0	1	Y	Y		
136	Spectrogram 1	1	20280.76955	20281.20296	57.377	1344.262	Y	1	1	X	BY		
137	Spectrogram 1	1	20282.39408	20282.71443	868.852	1500	X	0	1	X	Y		
138	Spectrogram 1	1	20284.8825	20286.37748	73.77	1459.016	Y	4	1	X	BY		
139	Spectrogram 1	1	20286.64758	20287.20034	114.754	1409.836	Y	1	1	X	BY		
140	Spectrogram 1	1	20287.51441	20287.8222	106.557	1336.066	Y	1	1	X	BY		
141	Spectrogram 1	1	20289.2418	20290.03326	106.557	1532.787	Y	2	2	X	BY		
142	Spectrogram 1	1	20288.41266	20288.61366	786.885	1139.344	X	0	1	X	Y		
143	Spectrogram 1	1	20921.12912	20921.46204	1032.787	1680.328	X	0	1	X	Y		
144	Spectrogram 1	1	21024.64882	21024.80586	754.098	1131.148	X	0	1	X	Y		
145	Spectrogram 1	1	21025.91139	21026.27571	786.885	1172.131	X	0	1	X	Y		
146	Spectrogram 1	1	21445.98563	21446.60749	573.77	1196.721	X	0	1	Y	Y		
147	Spectrogram 1	1	21447.09744	21447.50573	606.557	1336.066	X	0	1	Y	Y		
148	Spectrogram 1	1	21534.21386	21534.43371	737.705	1336.066	X	0	1	Y	Y		
149	Spectrogram 1	1	21886.78332	21887.15392	770.492	1409.836	X	0	1	X	Y		
150	Spectrogram 1	1	21888.63634	21889.00066	663.934	1106.557	X	0	1	X	Y		
151	Spectrogram 1	1	23568.1962	23568.5354	975.41	1631.148	X	0	1	X	Y		
152	Spectrogram 1	1	23569.0065	23569.31429	959.016	1524.59	X	0	1	X	Y		
153	Spectrogram 1	1	23569.65977	23570.04293	983.607	1500	X	0	1	X	Y		
154	Spectrogram 1	1	23572.97635	23573.17108	1098.361	1286.885	X	0	1	X	Y		
155	Spectrogram 1	1	23571.04168	23571.25525	778.689	1254.098	X	0	1	X	Y		
156	Spectrogram 1	1	23588.30003	23588.56385	778.689	1393.443	X	0	1	X	Y		
157	Spectrogram 1	1	23589.43697	23589.64425	901.639	1434.426	X	0	1	X	Y		
158	Spectrogram 1	1	23593.38169	23593.62666	877.049	1491.803	X	0	1	X	Y		
159	Spectrogram 1	1	23594.14802	23595.14677	827.869	1409.836	X	0	3	X	Y		
160	Spectrogram 1	1	23860.79719	23861.11126	860.656	1204.918	X	0	1	X	Y		
161	Spectrogram 1	1	24316.98042	24317.37614	754.098	1131.148	X	0	1	X	Y		
162	Spectrogram 1	1	24526.41606	24526.6736	1270.492	1909.836	X	0	1	X	Y		
163	Spectrogram 1	1	24532.66012	24532.9051	1188.525	1950.82	X	0	1	X	Y		
164	Spectrogram 1	1	25792.41673	25793.41547	729.508	1442.623	X	0	3	X	Y		
165	Spectrogram 1	1	26075.89912	26076.25088	721.311	1262.295	X	0	1	X	Y		
166	Spectrogram 1	1	26303.95666	26304.17023	1000	1516.393	X	0	1	X	Y		
167	Spectrogram 1	1	26880.97711	26881.24093	467.213	1049.18	X	0	1	X	Y		
168	Spectrogram 1	1	26886.03365	26886.37284	557.377	1049.18	X	0	1	X	Y		
169	Spectrogram 1	1	26884.03616	26884.40048	590.164	1303.279	X	0	1	X	Y		
170	Spectrogram 1	1	26889.94774	26890.24297	696.721	1631.148	X	0	1	X	Y		
171	Spectrogram 1	1	26893.40507	26893.64376	155.738	1467.213	Y	1	0	X	B		
172	Spectrogram 1	1	23577.53887	23577.8341	827.869	1459.016	X	0	1	X	Y		
173	Spectrogram 1	1	23578.02882	23578.33661	991.803	1508.197	X	0	1	X	Y		
174	Spectrogram 1	1	23581.79138	23582.52631	918.033	1368.852	X	0	1	X	Y		
175	Spectrogram 1	1	23583.5445	23584.97038	155.738	1532.787	Y	3	3	X	BY		
176	Spectrogram 1	1	24144.02343	24144.46941	836.066	1540.984	X	0	1	X	Y		
177	Spectrogram 1	1	24144.59504	24144.90911	827.869	1508.197	X	0	1	X	Y		
178	Spectrogram 1	1	24145.11012	24145.46188	959.016	1581.967	X	0	1	X	Y		
179	Spectrogram 1	1	24145.75082	24146.00836	1040.984	1491.803	X	0	1	X	Y		
180	Spectrogram 1	1	24146.4669	24146.76213	991.803	1475.41	X	0	1	X	Y		
181	Spectrogram 1	1	24147.09504	24147.44052	926.23	1344.262	X	0	1	X	Y		
182	Spectrogram 1	1	24147.63524	24147.85509	991.803	1516.393	X	0	1	X	Y		
183	Spectrogram 1	1	24148.17544	24148.41414	1016.393	1426.23	X	0	1	X	Y		
184	Spectrogram 1	1	24149.36263	24149.54479	778.689	1163.934	X	0	1	X	Y		
185	Spectrogram 1	1	24150.18549	24150.46188	877.049	1336.066	X	0	1	X	Y		
186	Spectrogram 1	1	24307.66668	24308.13779	53.03	878.788	Y	1	1	X	BY		
187	Spectrogram 1	1	24308.77849	24309.42548	45.455	704.545	Y	1	1	X	BY		
188	Spectrogram 1	1	24309.53226	24311.93176	75.758	863.636	Y	4	3	X	BY		
189	Spectrogram 1	1	24312.9246	24313.13816	348.485	1507.576	X	0	1	X	Y		
190	Spectrogram 1	1	26997.65528	26997.88769	674.242	992.424	X	0	1	X	Y		
191	Spectrogram 1	1	26998.75452	26999.12512	651.515	1090.909	X	0	1	X	Y		
192	Spectrogram 1	1	26999.99824	27000.25578	681.818	1075.758	X	0	1	X	Y		
193	Spectrogram 1	1	27832.93119	27833.76033	886.364	1363.636	X	0	2	X	Y		
194	Spectrogram 1	1	28707.63895	28708.11005	628.788	2030.303	X	0	1	X	Y		
195	Spectrogram 1	1	28717.20333	28717.7875	621.212	1666.667	X	0	1	X	Y		
196	Spectrogram 1	1	28719.59026	28720.16815	666.667	1613.636	X	0	1	X	Y		
197	Spectrogram 1	1	28775.07881	28775.95192	22.727	318.182	Y	1	0	X	G		
198	Spectrogram 1	1	28916.56577	28916.80446	696.97	1242.424	X	0	1	X	Y		
199	Spectrogram 1	1	28919.32201	28919.88734	674.242	1992.424	X	0	2	X	Y		
200	Spectrogram 1	1	28919.99412	28920.6097	22.727	1818.182	Y	2	1	Y	BY		
201	Spectrogram 1	1	29219.72482	29219.96979	704.545	1371.212	X	0	1	X	Y		
202	Spectrogram 1	1	29385.33273	29385.5463	1325.758	1643.939	X	0	1	X	Y		
203	Spectrogram 1	1	29458.51384	29459.07289	681.818	1090.909	X	0	1	X	Y		
204	Spectrogram 1	1	30787.23351	30787.57899	643.939	1007.576	X	0	1	X	Y		
205	Spectrogram 1	1	30820.02389	30821.22992	598.485	1689.394	X	0	1	X	Y		
206	Spectrogram 1	1	30821.61937	30822.14701	689.394	1371.212	X	0	1	X	Y		
207	Spectrogram 1	1	30822.88193	30823.196	772.727	1439.394	X	0	1	X	Y		
208	Spectrogram 1	1	30953.82093	30954.17897	568.182	954.545	X	0	1	X	Y		
209	Spectrogram 1	1	30954.51188	30954.92646	257.576	856.061	X	0	1	X	Y		
210	Spectrogram 1	1	31010.35802	31010.7349	590.909	1075.758	X	0	1	X	Y		
211	Spectrogram 1	1	31464.14939	31464.37552	454.545	1083.333	X	0	1	X	Y		
212	Spectrogram 1	1	31796.27147	31797.11318	30.303	363.636	Y	1	0	X	G		
213	Spectrogram 1	1	31934.13676	31934.41943	810.606	1363.636	X	0	1	X	Y		
214	Spectrogram 1	1	32037.0458	32037.68022	810.606	1712.121	X	0	1	X	Y		
215	Spectrogram 1	1	32038.61615	32039.23801	931.818	1689.394	X	0	1	X	Y		
216	Spectrogram 1	1	32039.57721	32040.5257	462.121	1333.333	X	0	1	X	Y		
217	Spectrogram 1	1	32589.76753	32590.03135	1166.667	1742.424	X	0	1	X	Y		
219	Spectrogram 1	1	32993.48572	32993.86261	651.515	1310.606	X	0	1	X	Y		
220	Spectrogram 1	1	32997.85335	32998.52546	507.576	1393.939	X	0	1	X	Y		
221	Spectrogram 1	1	33003.45606	33004.07792	636.364	1787.879	X	0	1	X	Y		
222	Spectrogram 1	1	33005.01385	33005.81158	757.576	1840.909	X	0	1	X	Y		
223	Spectrogram 1	1	33006.18847	33006.66586	863.636	1371.212	X	0	1	X	Y		
224	Spectrogram 1	1	33008.58146	33009.21588	719.697	1590.909	X	0	1	X	Y		
225	Spectrogram 1	1	33009.64302	33010.24603	719.697	1674.242	X	0	1	X	Y		
226	Spectrogram 1	1	33148.2676	33148.50629	916.667	1621.212	X	0	1	X	Y		
227	Spectrogram 1	1	33150.67966	33150.93091	863.636	1621.212	X	0	1	X	Y		
228	Spectrogram 1	1	33573.44197	33574.26483	863.636	1750	X	0	1	X	Y		
229	Spectrogram 1	1	33597.16049	33599.6228	0	583.333	Y	1	0	X	G		
230	Spectrogram 1	1	33652.46817	33652.68802	83.333	628.788	Y	1	0	X	B		
231	Spectrogram 1	1	33652.933	33653.1026	98.485	553.03	Y	1	0	X	B		
232	Spectrogram 1	1	33656.83847	33658.16384	0	492.424	Y	1	0	X	G		
233	Spectrogram 1	1	33659.05092	33659.22052	371.212	696.97	X	0	1	X	Y		
234	Spectrogram 1	1	33659.52831	33660.05594	0	901.515	Y	2	0	X	B		
235	Spectrogram 1	1	33660.6109	33662.40738	45.455	803.03	Y	3	3	X	BY		
236	Spectrogram 1	1	33663.98447	33665.49829	30.303	750	Y	3	3	X	BY		
237	Spectrogram 1	1	33667.08954	33667.3031	409.091	696.97	X	0	1	X	Y		
238	Spectrogram 1	1	33667.72396	33669.74657	90.909	727.273	Y	4	3	X	BY		
239	Spectrogram 1	1	33671.74103	33672.50737	53.03	727.273	Y	2	0	X	B		
240	Spectrogram 1	1	33676.51974	33676.74587	378.788	674.242	X	0	1	X	Y		
241	Spectrogram 1	1	33677.14326	33679.56789	53.03	560.606	Y	5	4	X	BY		
242	Spectrogram 1	1	33681.54971	33682.99443	0	727.273	Y	3	1	X	BY		
243	Spectrogram 1	1	33683.51579	33683.78589	15.152	621.212	Y	1	0	X	B		
244	Spectrogram 1	1	33684.458	33684.64644	45.455	606.061	Y	1	0	X	B		
245	Spectrogram 1	1	33686.00006	33686.30156	333.333	666.667	X	0	1	X	Y		
246	Spectrogram 1	1	33686.77267	33687.10558	60.606	628.788	Y	1	0	X	B		
247	Spectrogram 1	1	33687.3482	33688.22759	15.152	659.091	Y	3	0	X	B		
248	Spectrogram 1	1	33688.78036	33689.49644	53.03	787.879	Y	2	1	X	BY		
249	Spectrogram 1	1	33691.18138	33692.91505	68.182	772.727	Y	3	2	X	BY		
250	Spectrogram 1	1	33693.48317	33694.60126	75.758	765.152	Y	2	1	X	BY		
251	Spectrogram 1	1	33701.31251	33702.07256	0	871.212	Y	1	2	X	BY		
252	Spectrogram 1	1	33702.51758	33704.11305	7.576	916.667	Y	4	3	X	BY		
253	Spectrogram 1	1	33707.06562	33707.47391	7.576	681.818	Y	1	1	X	BY		
254	Spectrogram 1	1	33707.88848	33708.39728	7.576	477.273	Y	2	0	X	B		
255	Spectrogram 1	1	33711.07921	33711.33047	310.606	537.879	X	0	1	X	Y		
256	Spectrogram 1	1	33711.94605	33712.91338	37.879	590.909	Y	2	1	X	BY		
257	Spectrogram 1	1	33714.01309	33714.46535	7.576	727.273	Y	1	1	X	BY		
258	Spectrogram 1	1	33718.92764	33719.24172	189.394	621.212	X	0	1	X	Y		
259	Spectrogram 1	1	33719.48041	33719.70026	15.152	401.515	Y	1	0	X	B		
261	Spectrogram 1	1	33720.17136	33721.99925	0	992.424	X	5	0	X	BY	"TOO FAINT, UNKNOWN NUMBER OF YELOS"	
262	Spectrogram 1	1	33733.5766	33733.7776	90.909	659.091	Y	1	0	X	B		
263	Spectrogram 1	1	33736.33413	33736.50373	68.182	522.727	Y	1	0	X	B		
264	Spectrogram 1	1	33741.51001	33741.74243	121.212	598.485	Y	1	0	X	B		
265	Spectrogram 1	1	33946.23917	33947.40752	7.576	1037.879	Y	2	1	X	BY		
266	Spectrogram 1	1	33949.00746	33949.24615	106.061	568.182	Y	1	0	X	B		
267	Spectrogram 1	1	34012.06569	34012.47398	1007.576	1530.303	X	0	1	X	Y		
268	Spectrogram 1	1	34024.87166	34025.27995	1196.97	1772.727	X	0	1	X	Y		
269	Spectrogram 1	1	34083.00714	34083.24583	1151.515	1560.606	X	0	1	X	Y		
270	Spectrogram 1	1	34087.5249	34087.80756	704.545	1371.212	X	0	1	X	Y		
271	Spectrogram 1	1	34088.59274	34089.045	60.606	1348.485	Y	1	1	X	BY		
272	Spectrogram 1	1	34100.07473	34100.64006	590.909	1272.727	X	0	2	X	Y		
273	Spectrogram 1	1	34103.32222	34103.79961	68.182	893.939	Y	1	1	X	BY		
274	Spectrogram 1	1	34171.45167	34171.9165	795.455	1075.758	X	0	1	X	Y		
275	Spectrogram 1	1	34693.75653	34694.3407	992.424	1606.061	X	0	1	X	Y		
276	Spectrogram 1	1	34811.74748	34811.92964	795.455	1234.848	X	0	1	X	Y		
277	Spectrogram 1	1	34812.7211	34813.24874	704.545	1106.061	X	0	1	X	Y		
278	Spectrogram 1	1	34901.26044	34901.58707	1340.909	1681.818	X	0	1	X	Y		
279	Spectrogram 1	1	34901.98908	34902.21521	1750	1977.273	X	0	1	X	Y		
280	Spectrogram 1	1	35104.56886	35105.15931	962.121	1439.394	X	0	1	X	Y		
281	Spectrogram 1	1	35106.246	35106.47841	1121.212	1333.333	X	0	1	X	Y		
282	Spectrogram 1	1	35242.47191	35245.97065	90.909	378.788	X	1	0	X	G	Not sure if that's a growl	
283	Spectrogram 1	1	35889.60168	35890.04138	704.545	1000	X	0	1	X	Y		
284	Spectrogram 1	1	36157.36974	36157.75918	780.303	1280.303	X	0	1	X	Y		
285	Spectrogram 1	1	36159.66245	36159.7818	1159.091	1333.333	X	0	1	X	Y		
286	Spectrogram 1	1	36166.92944	36167.61411	901.515	1643.939	X	0	1	X	Y		
287	Spectrogram 1	1	36673.48417	36675.72663	0	393.939	Y	1	0	X	G		
288	Spectrogram 1	1	36825.22046	36826.45789	7.576	356.061	Y	1	0	X	G		
289	Spectrogram 1	1	36840.99164	36841.87731	810.606	1772.727	X	0	1	X	Y		
290	Spectrogram 1	1	36842.28561	36842.88234	757.576	1469.697	X	0	1	X	Y		
291	Spectrogram 1	1	36983.82556	36984.69868	871.212	1515.152	X	0	1	X	Y		
292	Spectrogram 1	1	37073.4015	37073.76582	901.515	1212.121	X	0	1	X	Y		
293	Spectrogram 1	1	37075.48065	37075.83869	833.333	1159.091	X	0	1	X	Y		
294	Spectrogram 1	1	37076.96934	37077.20803	818.182	1083.333	X	0	1	X	Y		
295	Spectrogram 1	1	37078.01834	37078.43919	803.03	1098.485	X	0	1	X	Y		
296	Spectrogram 1	1	37085.93793	37086.10753	1272.727	1537.879	X	0	1	X	Y		
297	Spectrogram 1	1	37091.52941	37091.95027	1106.061	1590.909	X	0	1	X	Y		
298	Spectrogram 1	1	37147.78619	37150.54373	0	560.606	Y	1	0	X	G		
299	Spectrogram 1	1	37162.84493	37163.14644	901.515	1371.212	X	0	1	X	Y		
300	Spectrogram 1	1	37168.24285	37168.56321	780.303	1257.576	X	0	1	X	Y		
301	Spectrogram 1	1	37472.84514	37473.26599	621.212	1060.606	X	0	1	X	Y		
302	Spectrogram 1	1	37697.18181	37699.09763	0	454.545	Y	1	0	X	G		
303	Spectrogram 1	1	37699.34889	37701.01346	15.152	393.939	X	4	0	X	B	"NOT ANNOTATED, UNSURE, DON'T USE FOR TRAINING"	
304	Spectrogram 1	1	38354.7251	38355.00777	780.303	1234.848	X	0	1	X	Y		
305	Spectrogram 1	1	38358.11078	38358.32435	909.091	1439.394	X	0	1	X	Y		
