Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	File Offset (s)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	species	SNR NIST Quick (dB FS)	certainty	comment	type	WH ID	WH Comment	NEW analysis
274	Spectrogram 1	1	3657.006933	3657.976133	458.8	814.9	356.1	0.969	703.1	58.097	1208234033.020419202219.wav	D:\Pearce_Point_2018_2019\1208234033.020419202219.wav	X			RS					RS		
293	Spectrogram 1	1	4161.225267	4161.558667	585.5	857.1	271.6	0.333	750	262.374	1208234033.020428042219.wav	D:\Pearce_Point_2018_2019\1208234033.020428042219.wav	X			RS					RS		
295	Spectrogram 1	1	4392.186267	4392.372267	621.7	814.9	193.2	0.186	714.8	193.471	1208234033.020429202219.wav	D:\Pearce_Point_2018_2019\1208234033.020429202219.wav	X			RS					RS		
297	Spectrogram 1	1	4627.978467	4629.986667	235.4	893.4	658	2.008	398.4	129.278	1208234033.020502182219.wav	D:\Pearce_Point_2018_2019\1208234033.020502182219.wav	X			RS					RS		
308	Spectrogram 1	1	5013.8987	5014.3019	428.6	639.8	211.2	0.403	539.1	215.361	1208234033.020505062219.wav	D:\Pearce_Point_2018_2019\1208234033.020505062219.wav	X			RS					RS		
314	Spectrogram 1	1	5331.472467	5332.619967	229.4	1527.2	1297.8	1.148	269.5	233.004	1208234033.020506222219.wav	D:\Pearce_Point_2018_2019\1208234033.020506222219.wav	X			RS		low	?		RS		
340	Spectrogram 1	1	5692.782867	5693.124267	134.5	937.3	802.8	0.341	199.2	294.409	1208234033.020512082219.wav	D:\Pearce_Point_2018_2019\1208234033.020512082219.wav	Y	bark		RS			?		RS		
343	Spectrogram 1	1	5918.655433	5925.555933	144.9	863.2	718.3	6.9	492.2	220.433	1208234033.020513042219.wav	D:\Pearce_Point_2018_2019\1208234033.020513042219.wav	Y	bark	series	RS					RS		
344	Spectrogram 1	1	6202.911867	6207.083167	163	718.3	555.3	4.171	187.5	204.85	1208234033.020515162219.wav	D:\Pearce_Point_2018_2019\1208234033.020515162219.wav	X			RS		low	faint		RS		
361	Spectrogram 1	1	6591.573967	6597.381167	96.6	1243.5	1146.9	5.807	117.2	293.635	1208234033.020521022219.wav	D:\Pearce_Point_2018_2019\1208234033.020521022219.wav	X			RS		low	faint		RS		
362	Spectrogram 1	1	6669.3076	6670.9358	482.9	941.6	458.7	1.628	773.4	71.486	1208234033.020521222219.wav	D:\Pearce_Point_2018_2019\1208234033.020521222219.wav	X			RS		low			RS		
365	Spectrogram 1	1	6911.31	6912.0311	827	1140.8	313.8	0.721	914.1	13.618	1208234033.020523042219.wav	D:\Pearce_Point_2018_2019\1208234033.020523042219.wav	X			RS		low	faint		RS		
368	Spectrogram 1	1	7399.568333	7400.049033	621.7	1460.8	839.1	0.481	1136.7	201.902	1208234033.020525062219.wav	D:\Pearce_Point_2018_2019\1208234033.020525062219.wav	X			RS		low	faint		RS		
369	Spectrogram 1	1	7401.933033	7402.243233	313.9	531.2	217.3	0.31	410.2	204.267	1208234033.020525062219.wav	D:\Pearce_Point_2018_2019\1208234033.020525062219.wav	X			RS			faint		RS		
376	Spectrogram 1	1	7683.6595	7690.56	163	1738.4	1575.4	6.901	363.3	186.166	1208234033.020526222219.wav	D:\Pearce_Point_2018_2019\1208234033.020526222219.wav	X			RS					RS		
377	Spectrogram 1	1	7852.3759	7857.5474	531.2	1400.4	869.2	5.172	972.7	54.941	1208234033.020528042219.wav	D:\Pearce_Point_2018_2019\1208234033.020528042219.wav	X			RS					RS		
379	Spectrogram 1	1	8231.396733	8232.303833	887.3	1171	283.7	0.907	1089.8	134.128	1208234033.020529002219.wav	D:\Pearce_Point_2018_2019\1208234033.020529002219.wav	X			RS			ice?		RS		
419	Spectrogram 1	1	8616.075033	8617.230233	316.7	754.3	437.6	1.155	328.1	218.832	1208234033.020604062219.wav	D:\Pearce_Point_2018_2019\1208234033.020604062219.wav	X			RS			ice?		RS		
425	Spectrogram 1	1	8894.1206	8894.2369	345.5	679.5	334	0.116	562.5	197.03	1208234033.020605122219.wav	D:\Pearce_Point_2018_2019\1208234033.020605122219.wav	X			RS					RS		
444	Spectrogram 1	1	9134.4143	9135.7789	777.6	1148.9	371.3	1.365	984.4	137.365	1208234033.020609162219.wav	D:\Pearce_Point_2018_2019\1208234033.020609162219.wav	X			RS		low	faint		RS		
461	Spectrogram 1	1	9536.336733	9536.639133	354	864.6	510.6	0.302	562.5	239.339	1208234033.020613102219.wav	D:\Pearce_Point_2018_2019\1208234033.020613102219.wav	X			RS		low			RS		
473	Spectrogram 1	1	9850.0389	9850.4188	690.5	847.2	156.7	0.38	750	253.095	1208234033.020616082219.wav	D:\Pearce_Point_2018_2019\1208234033.020616082219.wav	X			RS					RS		
504	Spectrogram 1	1	9917.953667	9918.434667	858.8	1143.1	284.3	0.481	949.2	21.18	1208234033.020623202219.wav	D:\Pearce_Point_2018_2019\1208234033.020623202219.wav	X			RS		low			RS		
507	Spectrogram 1	1	10078.00967	10079.64567	127.7	528	400.3	1.636	269.5	181.236	1208234033.020623202219.wav	D:\Pearce_Point_2018_2019\1208234033.020623202219.wav	X	bark	I would guess not a keeper for the detector...	RS					X	Atypical grunt.	
510	Spectrogram 1	1	10453.414	10453.879	46.4	609.3	562.9	0.465	46.9	256.691	1208234033.020624062219.wav	D:\Pearce_Point_2018_2019\1208234033.020624062219.wav	X			RS		low	lf		RS		
511	Spectrogram 1	1	10488.437	10488.701	586.1	928.4	342.3	0.264	761.7	291.714	1208234033.020624062219.wav	D:\Pearce_Point_2018_2019\1208234033.020624062219.wav	X			RS					RS		
514	Spectrogram 1	1	10603.89	10605.774	284.3	1352	1067.7	1.884	562.5	107.312	1208234033.020625022219.wav	D:\Pearce_Point_2018_2019\1208234033.020625022219.wav	Y	bark	are those barks or yelps?	RS		medium			Y		
515	Spectrogram 1	1	11003.44863	11004.92163	400.4	1288.2	887.8	1.473	726.6	207.023	1208234033.020625122219.wav	D:\Pearce_Point_2018_2019\1208234033.020625122219.wav	X			RS			rbs? low		RS		
517	Spectrogram 1	1	11144.44703	11147.82003	464.2	2141.2	1677	3.373	1195.3	48.057	1208234033.020626082219.wav	D:\Pearce_Point_2018_2019\1208234033.020626082219.wav	X			RS			sounds bio		RS		
541	Spectrogram 1	1	11637.91767	11638.50667	98.6	620.9	522.3	0.589	199.2	241.623	1208234033.020704162219.wav	D:\Pearce_Point_2018_2019\1208234033.020704162219.wav	X			RS			rbs?		RS		
547	Spectrogram 1	1	11870.26667	11879.11367	838.8	1328.2	489.4	8.847	843.8	173.992	1208234033.020705122219.wav	D:\Pearce_Point_2018_2019\1208234033.020705122219.wav	X			RS		low			RS		
553	Spectrogram 1	1	12037.67463	12038.05363	758.7	1407.3	648.6	0.379	1324.2	41.516	1208234033.020707142219.wav	D:\Pearce_Point_2018_2019\1208234033.020707142219.wav	X			RS					RS		
558	Spectrogram 1	1	12447.40667	12447.68667	683.4	1106.2	422.8	0.28	855.5	151.312	1208234033.020709062219.wav	D:\Pearce_Point_2018_2019\1208234033.020709062219.wav	X			RS			rbs?		RS		
559	Spectrogram 1	1	12535.24967	12535.60667	364.9	1140.9	776	0.357	585.9	239.155	1208234033.020709062219.wav	D:\Pearce_Point_2018_2019\1208234033.020709062219.wav	X			RS		low			RS		
562	Spectrogram 1	1	12877.00097	12879.83797	144.8	1361	1216.2	2.837	152.3	281.002	1208234033.020711082219.wav	D:\Pearce_Point_2018_2019\1208234033.020711082219.wav	Y	"bark, yelp"		RS							
565	Spectrogram 1	1	13139.96263	13140.41963	57.9	1135.1	1077.2	0.457	58.6	244.074	1208234033.020712042219.wav	D:\Pearce_Point_2018_2019\1208234033.020712042219.wav	Y	bark		RS					Y		
567	Spectrogram 1	1	13324.441	13326.488	862.9	1592.7	729.8	2.047	1113.3	128.617	1208234033.020713102219.wav	D:\Pearce_Point_2018_2019\1208234033.020713102219.wav	X			RS					RS		
568	Spectrogram 1	1	13502.14763	13502.49663	1083	1274.1	191.1	0.349	1171.9	6.425	1208234033.020713202219.wav	D:\Pearce_Point_2018_2019\1208234033.020713202219.wav	X			RS					RS		
573	Spectrogram 1	1	14011.45967	14016.85567	839.8	1129.3	289.5	5.396	960.9	215.868	1208234033.020714062219.wav	D:\Pearce_Point_2018_2019\1208234033.020714062219.wav	X			RS			ice?		RS		
589	Spectrogram 1	1	14236.49297	14245.50997	231.7	770.3	538.6	9.017	293	140.982	1208234033.020718102219.wav	D:\Pearce_Point_2018_2019\1208234033.020718102219.wav	X			RS			ice?		RS		
595	Spectrogram 1	1	14413.8043	14421.0773	283.8	573.4	289.6	7.273	410.2	18.371	1208234033.020720022219.wav	D:\Pearce_Point_2018_2019\1208234033.020720022219.wav	X			RS		low			RS		
620	Spectrogram 1	1	14787.302	14787.643	139	961.4	822.4	0.341	164.1	91.941	1208234033.020725222219.wav	D:\Pearce_Point_2018_2019\1208234033.020725222219.wav	X			RS					RS		
643	Spectrogram 1	1	15130.35663	15130.70563	608.1	920.8	312.7	0.349	878.9	135.07	1208234033.020731082219.wav	D:\Pearce_Point_2018_2019\1208234033.020731082219.wav	X			RS					RS		
647	Spectrogram 1	1	15591.74763	15592.58463	65	204	139	0.837	164.1	296.591	1208234033.020801142219.wav	D:\Pearce_Point_2018_2019\1208234033.020801142219.wav	X			RS					RS		
652	Spectrogram 1	1	15733.1713	15733.5203	573.4	932.4	359	0.349	832	138.148	1208234033.020804222219.wav	D:\Pearce_Point_2018_2019\1208234033.020804222219.wav	X			RS					RS		
671	Spectrogram 1	1	16121.00067	16121.42767	312.7	1731.7	1419	0.427	468.8	226.026	1208234033.020807202219.wav	D:\Pearce_Point_2018_2019\1208234033.020807202219.wav	X			RS					RS		
675	Spectrogram 1	1	16284.05733	16284.46133	868.7	1644.8	776.1	0.404	1113.3	89.155	1208234033.020808162219.wav	D:\Pearce_Point_2018_2019\1208234033.020808162219.wav	X			RS					RS		
677	Spectrogram 1	1	16553.60667	16555.66067	764.5	1152.5	388	2.054	1043	58.744	1208234033.020809022219.wav	D:\Pearce_Point_2018_2019\1208234033.020809022219.wav	X			RS					RS		
678	Spectrogram 1	1	16590.06367	16597.56967	810.8	1395.8	585	7.506	972.7	95.201	1208234033.020809022219.wav	D:\Pearce_Point_2018_2019\1208234033.020809022219.wav	X			RS					RS		
679	Spectrogram 1	1	16757.27067	16760.18567	729.7	1204.6	474.9	2.915	960.9	262.408	1208234033.020809022219.wav	D:\Pearce_Point_2018_2019\1208234033.020809022219.wav	X			RS					RS		
680	Spectrogram 1	1	16987.34563	16994.60263	272.2	1123.6	851.4	7.257	281.2	192.555	1208234033.020809122219.wav	D:\Pearce_Point_2018_2019\1208234033.020809122219.wav	X			RS					RS		
681	Spectrogram 1	1	17001.85963	17005.80563	335.9	1332	996.1	3.946	527.3	207.069	1208234033.020809122219.wav	D:\Pearce_Point_2018_2019\1208234033.020809122219.wav	X			RS					RS		
688	Spectrogram 1	1	17276.66003	17277.21103	110	1169.9	1059.9	0.551	164.1	181.901	1208234033.020810182219.wav	D:\Pearce_Point_2018_2019\1208234033.020810182219.wav	X			RS					RS		
691	Spectrogram 1	1	17536.26903	17536.68003	428.6	1140.9	712.3	0.411	808.6	141.59	1208234033.020811042219.wav	D:\Pearce_Point_2018_2019\1208234033.020811042219.wav	X			RS					RS		
702	Spectrogram 1	1	17731.8587	17732.2307	521.2	718.1	196.9	0.372	621.1	37.209	1208234033.020812202219.wav	D:\Pearce_Point_2018_2019\1208234033.020812202219.wav	X			RS					RS		
704	Spectrogram 1	1	18031.119	18034.035	110	920.8	810.8	2.916	117.2	36.536	1208234033.020813062219.wav	D:\Pearce_Point_2018_2019\1208234033.020813062219.wav	Y	bark	very faint. I can't hear.	RS					Y		
706	Spectrogram 1	1	18194.323	18200.681	57.9	944	886.1	6.358	58.6	199.74	1208234033.020813062219.wav	D:\Pearce_Point_2018_2019\1208234033.020813062219.wav	X			RS							
708	Spectrogram 1	1	18323.7467	18333.0967	260.6	996.1	735.5	9.35	398.4	29.311	1208234033.020813162219.wav	D:\Pearce_Point_2018_2019\1208234033.020813162219.wav	Y	bark	"I think it's a yes, but I can't hear them."	RS					Y		
709	Spectrogram 1	1	18338.2427	18340.7937	86.9	1140.9	1054	2.551	152.3	43.807	1208234033.020813162219.wav	D:\Pearce_Point_2018_2019\1208234033.020813162219.wav	Y	bark		RS							
717	Spectrogram 1	1	18670.9897	18671.1997	677.6	1065.6	388	0.21	843.8	76.602	1208234033.020815082219.wav	D:\Pearce_Point_2018_2019\1208234033.020815082219.wav	X			RS					RS		
723	Spectrogram 1	1	19035.50697	19038.32097	249	961.4	712.4	2.814	644.5	141.254	1208234033.020815182219.wav	D:\Pearce_Point_2018_2019\1208234033.020815182219.wav	X			RS							
736	Spectrogram 1	1	19468.78537	19469.42337	700.1	1162	461.9	0.638	914.1	274.567	1208234033.020817002219.wav	D:\Pearce_Point_2018_2019\1208234033.020817002219.wav	X			RS					RS		
738	Spectrogram 1	1	19538.42897	19538.87797	330.1	868.7	538.6	0.449	375	44.284	1208234033.020817102219.wav	D:\Pearce_Point_2018_2019\1208234033.020817102219.wav	X			RS					RS		
740	Spectrogram 1	1	19756.22097	19756.70097	283.8	1546.3	1262.5	0.48	445.3	262.076	1208234033.020817102219.wav	D:\Pearce_Point_2018_2019\1208234033.020817102219.wav	X			RS					RS		
745	Spectrogram 1	1	19854.18403	19854.67303	596.5	1042.5	446	0.489	855.5	60.061	1208234033.020818162219.wav	D:\Pearce_Point_2018_2019\1208234033.020818162219.wav	X			RS					RS		
781	Spectrogram 1	1	20103.00003	20107.44303	69.5	1158.3	1088.8	4.443	152.3	8.91	1208234033.020818172219.wav	D:\Pearce_Point_2018_2019\1208234033.020818172219.wav	Y			RS				\	RS		
783	Spectrogram 1	1	20118.70603	20121.03903	133.2	839.8	706.6	2.333	210.9	24.616	1208234033.020818172219.wav	D:\Pearce_Point_2018_2019\1208234033.020818172219.wav	Y	"bark, yelp"		RS					RS		
784	Spectrogram 1	1	20122.71203	20123.96003	162.2	990.3	828.1	1.248	199.2	28.622	1208234033.020818172219.wav	D:\Pearce_Point_2018_2019\1208234033.020818172219.wav	Y	bark		RS					RS		
796	Spectrogram 1	1	20229.41403	20235.36103	401.3	1998.5	1597.2	5.947	515.6	135.324	1208234033.020818172219.wav	D:\Pearce_Point_2018_2019\1208234033.020818172219.wav	X			RS			rs?		RS		
798	Spectrogram 1	1	20274.67703	20275.87103	581.5	1212.2	630.7	1.194	808.6	180.587	1208234033.020818172219.wav	D:\Pearce_Point_2018_2019\1208234033.020818172219.wav	X			RS					RS		
801	Spectrogram 1	1	20381.13003	20381.51003	581.5	1015.6	434.1	0.38	832	287.04	1208234033.020818172219.wav	D:\Pearce_Point_2018_2019\1208234033.020818172219.wav	X			RS					RS		
815	Spectrogram 1	1	20438.85203	20447.40903	142.1	1803.3	1661.2	8.557	1324.2	44.841	1208234033.020819202219.wav	D:\Pearce_Point_2018_2019\1208234033.020819202219.wav	X			RS							
860	Spectrogram 1	1	20738.53803	20739.10203	385.3	1976.1	1590.8	0.564	925.8	44.633	1208234033.020820082219.wav	D:\Pearce_Point_2018_2019\1208234033.020820082219.wav	X			RS		low			RS		
863	Spectrogram 1	1	20982.07703	20983.55803	264.2	500.9	236.7	1.481	339.8	288.172	1208234033.020820082219.wav	D:\Pearce_Point_2018_2019\1208234033.020820082219.wav	X	bark?	I can't hear	RS					X		
907	Spectrogram 1	1	21014.31637	21014.98137	533.6	1080.2	546.6	0.665	796.9	20.482	1208234033.020821052219.wav	D:\Pearce_Point_2018_2019\1208234033.020821052219.wav	X			RS					RS		
1488	Spectrogram 1	1	21500.56597	21501.64797	151.8	1882.2	1730.4	1.082	457	206.796	1208234033.020825062219.wav	D:\Pearce_Point_2018_2019\1208234033.020825062219.wav	Y	bark		RS							
1513	Spectrogram 1	1	21630.15837	21630.76237	325.3	1000	674.7	0.604	433.6	36.46	1208234033.020825082219.wav	D:\Pearce_Point_2018_2019\1208234033.020825082219.wav	Y	bark		RS							
1593	Spectrogram 1	1	22179.53563	22180.13263	830.1	1404.4	574.3	0.597	1066.4	285.946	1208234033.020827202219.wav	D:\Pearce_Point_2018_2019\1208234033.020827202219.wav	X			RS					RS		
1617	Spectrogram 1	1	22451.75297	22452.64097	84.3	222.9	138.6	0.888	140.6	258.338	1208234033.020829122219.wav	D:\Pearce_Point_2018_2019\1208234033.020829122219.wav	X			RS					RS		
1646	Spectrogram 1	1	22714.69997	22717.56897	48.2	885.5	837.3	2.869	222.7	221.441	1208234033.020831142219.wav	D:\Pearce_Point_2018_2019\1208234033.020831142219.wav	Y	bark		RS							
1649	Spectrogram 1	1	22906.07533	22911.77933	385.5	1560.2	1174.7	5.704	386.7	112.895	1208234033.020901102219.wav	D:\Pearce_Point_2018_2019\1208234033.020901102219.wav	X			RS							
1650	Spectrogram 1	1	22923.75633	22930.42733	277.1	1253	975.9	6.671	1078.1	130.576	1208234033.020901102219.wav	D:\Pearce_Point_2018_2019\1208234033.020901102219.wav	X			RS							
1656	Spectrogram 1	1	23153.29167	23170.01567	153.3	1669.8	1516.5	16.724	164.1	60.289	1208234033.020903022219.wav	D:\Pearce_Point_2018_2019\1208234033.020903022219.wav	Y	"bark, yelp"		RS							
1666	Spectrogram 1	1	23800.58537	23807.26737	136.3	1567.6	1431.3	6.682	140.6	107.674	1208234033.020905042219.wav	D:\Pearce_Point_2018_2019\1208234033.020905042219.wav	X			RS							
1668	Spectrogram 1	1	24078.70133	24090.13233	85.2	1180.7	1095.5	11.431	93.8	85.835	1208234033.020905142219.wav	D:\Pearce_Point_2018_2019\1208234033.020905142219.wav	Y	"bark, yelp"	faint	RS							
1669	Spectrogram 1	1	24083.96033	24086.14633	963.9	2789.2	1825.3	2.186	1054.7	91.094	1208234033.020905142219.wav	D:\Pearce_Point_2018_2019\1208234033.020905142219.wav	X			RS					RS		
1678	Spectrogram 1	1	24562.92397	24563.53397	540.3	1156.2	615.9	0.61	832	270.166	1208234033.020906102219.wav	D:\Pearce_Point_2018_2019\1208234033.020906102219.wav	X			RS					RS		
1743	Spectrogram 1	1	24663.64703	24671.98003	108.4	488	379.6	8.333	152.3	70.966	1208234033.020908122219.wav	D:\Pearce_Point_2018_2019\1208234033.020908122219.wav	Y	bark	"I think yes, but I can't hear them"	RS					Y		
1800	Spectrogram 1	1	24973.732	24980.597	84.3	253	168.7	6.865	140.6	81.082	1208234033.020909222219.wav	D:\Pearce_Point_2018_2019\1208234033.020909222219.wav	X	bark?	"I think yes, but I can't hear them"	RS					X		
1928	Spectrogram 1	1	25681.366	25685.84	719.8	1203.6	483.8	4.474	902.3	188.766	1208234033.020913222219.wav	D:\Pearce_Point_2018_2019\1208234033.020913222219.wav	X			RS		low			RS		
2795	Spectrogram 1	1	26242.51903	26243.07703	436.7	833.6	396.9	0.558	668	149.988	1208234033.021021202219.wav	D:\Pearce_Point_2018_2019\1208234033.021021202219.wav	X			RS			faint				
2869	Spectrogram 1	1	26410.1513	26413.8743	226.8	958.4	731.6	3.723	269.5	17.633	1208234033.021024182219.wav	D:\Pearce_Point_2018_2019\1208234033.021024182219.wav	X	bark?	too faint	RS					X		
2937	Spectrogram 1	1	26902.19033	26905.26433	419.7	1207.9	788.2	3.074	996.1	209.782	1208234033.021026002219.wav	D:\Pearce_Point_2018_2019\1208234033.021026002219.wav	X			RS							
2972	Spectrogram 1	1	27205.81267	27206.48067	612.5	890.4	277.9	0.668	656.2	213.518	1208234033.021027162219.wav	D:\Pearce_Point_2018_2019\1208234033.021027162219.wav	X			RS					RS		
3008	Spectrogram 1	1	27492.61303	27493.56803	198.5	629.5	431	0.955	269.5	200.38	1208234033.021028232219.wav	D:\Pearce_Point_2018_2019\1208234033.021028232219.wav	X			RS					RS		
3015	Spectrogram 1	1	27738.44633	27738.96633	73.7	612.5	538.8	0.52	199.2	146.308	1208234033.021029022219.wav	D:\Pearce_Point_2018_2019\1208234033.021029022219.wav	X	bark?	I can't hear it	RS					X		
3069	Spectrogram 1	1	28189.71497	28191.64397	266.5	1293	1026.5	1.929	375	297.718	1208234033.021104062219.wav	D:\Pearce_Point_2018_2019\1208234033.021104062219.wav	X	bark?		RS			faint		X		
3141	Spectrogram 1	1	28370.261	28372.287	401.2	754.5	353.3	2.026	539.1	178.377	1208234033.021106062219.wav	D:\Pearce_Point_2018_2019\1208234033.021106062219.wav	X			RS		low	faint		RS		
3269	Spectrogram 1	1	29019.18997	29023.59597	247.1	1070.6	823.5	4.406	257.8	227.46	1208234033.021112122219.wav	D:\Pearce_Point_2018_2019\1208234033.021112122219.wav	X			RS			faint		RS		
3320	Spectrogram 1	1	29190.7047	29193.4367	618.9	1037.3	418.4	2.732	773.4	99.007	1208234033.021117182219.wav	D:\Pearce_Point_2018_2019\1208234033.021117182219.wav	X			RS			faint		RS		
3323	Spectrogram 1	1	29218.4307	29219.0677	618.9	954.8	335.9	0.637	796.9	126.733	1208234033.021117182219.wav	D:\Pearce_Point_2018_2019\1208234033.021117182219.wav	X			RS					RS		
3546	Spectrogram 1	1	29505.4267	29506.8627	95.7	273.4	177.7	1.436	175.8	113.781	1208234033.021128082219.wav	D:\Pearce_Point_2018_2019\1208234033.021128082219.wav	Y	bark		RS					RS		
3555	Spectrogram 1	1	29806.541	29806.928	298.3	1165.1	866.8	0.387	679.7	114.961	1208234033.021130002219.wav	D:\Pearce_Point_2018_2019\1208234033.021130002219.wav	X	bark?	sel 5723 = sel 3555 so I deleted sel 5723	RS		low	faint		X		
3577	Spectrogram 1	1	30052.23763	30052.60263	191.4	377.1	185.7	0.365	257.8	60.76	1208234033.021130202219.wav	D:\Pearce_Point_2018_2019\1208234033.021130202219.wav	X			RS		medium			RS		
3580	Spectrogram 1	1	30062.60163	30062.91863	202.6	1204.5	1001.9	0.317	363.3	71.124	1208234033.021130202219.wav	D:\Pearce_Point_2018_2019\1208234033.021130202219.wav	X	bark?		RS					X		
3701	Spectrogram 1	1	30545.42533	30547.54333	607.9	1041.3	433.4	2.118	855.5	254.042	1208234033.021204142219.wav	D:\Pearce_Point_2018_2019\1208234033.021204142219.wav	X			RS		medium	faint		RS		
