Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	Shipe Noise	Shipe Size	Comments	WH ID	WH Comment
376	Spectrogram 1	1	7652.381	7654.48074	2.1	92.381	84.4	863.6	TEST__0__20170927_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_150801.wav	X	X	AR	RS				RS	
378	Spectrogram 1	1	7714.397	7715.90429	1.507	34.397	142.9	792.2	TEST__0__20170927_155601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_155601.wav	X	X	AR	RS				RS	
379	Spectrogram 1	1	7911.646	7913.58464	1.939	111.646	237	936.5	TEST__0__20170927_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_160801.wav	X	X	AR	RS				RS	
381	Spectrogram 1	1	7981.728	7983.4745	1.747	61.728	51.9	980.5	TEST__0__20170927_163201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_163201.wav	X	X	AR	RS				RS	
382	Spectrogram 1	1	8084.715	8087.03059	2.316	44.715	77.9	857.1	TEST__0__20170927_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_174401.wav	X	X	AR	RS				RS	
383	Spectrogram 1	1	8223.366	8225.70122	2.335	63.366	146.1	993.5	TEST__0__20170927_175601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_175601.wav	X	X	AR	RS				RS	
384	Spectrogram 1	1	8347.517	8349.08689	1.57	67.517	175.3	961	TEST__0__20170927_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_180801.wav	X	X	AR	RS				RS	
385	Spectrogram 1	1	8431.963	8433.74875	1.786	31.963	126.6	1233.8	TEST__0__20170927_182001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_182001.wav	X	X	AR	RS			series	RS	
386	Spectrogram 1	1	8576.11	8577.81726	1.707	56.11	68.2	776	TEST__0__20170927_185601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_185601.wav	X	X	AR	RS				RS	
389	Spectrogram 1	1	8689.678	8690.95354	1.276	49.678	109	884.6	TEST__0__20170927_210801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_210801.wav	X	X	AR	RS				RS	
390	Spectrogram 1	1	8780.315	8781.5513	1.236	20.315	532.1	1237.2	TEST__0__20170927_212001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_212001.wav	X	X	AR	RS				RS	
391	Spectrogram 1	1	8993.917	8994.89818	0.981	113.917	51.3	980.8	TEST__0__20170927_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_215601.wav	X	X	AR	RS				RS	
392	Spectrogram 1	1	8980.808	8982.00505	1.197	100.808	70.5	724.4	TEST__0__20170927_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_215601.wav	X	X	AR	RS				RS	
394	Spectrogram 1	1	9004.023	9006.14235	2.119	4.023	222.9	1242	TEST__0__20170927_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_225601.wav	X	X	AR	RS				RS	
395	Spectrogram 1	1	9204.008	9204.89107	0.883	84.008	127.4	1197.5	TEST__0__20170927_233201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_233201.wav	X	X	AR	RS				RS	
398	Spectrogram 1	1	9309.06	9311.08124	2.021	69.06	76.4	1006.4	TEST__0__20170927_234401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_234401.wav	X	X	AR	RS				RS	
400	Spectrogram 1	1	9425.65	9427.03469	1.385	65.65	305.3	777.1	TEST__0__20170928_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_000801.wav	X	X	AR	RS				RS	
404	Spectrogram 1	1	9533.907	9535.3199	1.413	53.907	57.3	821.7	TEST__0__20170928_002001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_002001.wav	X	X	AR	RS				RS	
405	Spectrogram 1	1	9696.3	9697.41855	1.119	96.3	70.1	770.7	TEST__0__20170928_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_003201.wav	X	X	AR	RS				RS	
406	Spectrogram 1	1	9685.918	9687.37016	1.452	85.918	6.4	879	TEST__0__20170928_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_003201.wav	X	X	AR	RS				RS	
408	Spectrogram 1	1	9829.112	9830.34829	1.236	109.112	178	1125	TEST__0__20170928_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_033201.wav	X	X	AR	RS				RS	
411	Spectrogram 1	1	9946.644	9948.35127	1.707	106.644	71	1271	TEST__0__20170928_035601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_035601.wav	X	X	AR	RS			faint	RS	
412	Spectrogram 1	1	10077.726	10079.60987	1.884	117.726	64.5	1271	TEST__0__20170928_052001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_052001.wav	X	X	AR	RS				RS	
414	Spectrogram 1	1	10163.663	10164.8993	1.236	83.663	83.9	812.9	TEST__0__20170928_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_054401.wav	X	X	AR	RS				RS	
416	Spectrogram 1	1	10262.996	10264.21267	1.217	62.996	154.8	864.5	TEST__0__20170928_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_073201.wav	X	X	AR	RS				RS	
439	Spectrogram 1	1	10840.77	10841.68964	0.92	40.77	70.9	1243.2	TEST__0__20170928_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_160801.wav	X	X	AR	RS				RS	
443	Spectrogram 1	1	11024.506	11026.01702	1.511	104.506	270.9	1327.3	TEST__0__20170928_170801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_170801.wav	X	X	AR	RS				RS	
444	Spectrogram 1	1	11155.657	11158.0853	2.428	115.657	115.1	873	TEST__0__20170928_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_174401.wav	X	X	AR	RS			faint series?	RS	
445	Spectrogram 1	1	11050.715	11052.30452	1.59	10.715	121.9	1151.2	TEST__0__20170928_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_174401.wav	X	X	AR	RS				RS	
446	Spectrogram 1	1	11231.686	11233.86422	2.178	71.686	169.3	995.5	TEST__0__20170928_175601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_175601.wav	X	X	AR	RS				RS	
449	Spectrogram 1	1	11349.983	11351.82154	1.839	69.983	121.9	857.1	TEST__0__20170928_185601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_185601.wav	X	X	AR	RS				RS	
450	Spectrogram 1	1	11505.36	11507.12613	1.766	105.36	81.3	1002.3	TEST__0__20170928_192001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_192001.wav	X	X	AR	RS				RS	
453	Spectrogram 1	1	11626.485	11627.40731	0.922	106.485	54.2	866.8	TEST__0__20170928_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_195601.wav	X	X	AR	RS				RS	
457	Spectrogram 1	1	11640.981	11641.98181	1.001	0.981	60.9	1103.8	TEST__0__20170928_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_205601.wav	X	X	AR	RS				RS	
458	Spectrogram 1	1	11854.292	11855.17507	0.883	94.292	37.2	1235.9	TEST__0__20170928_210801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_210801.wav	X	X	AR	RS				RS	
462	Spectrogram 1	1	11967.954	11969.779	1.825	87.954	27.1	954.9	TEST__0__20170928_223201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_223201.wav	X	X	AR	RS				RS	
463	Spectrogram 1	1	12110.348	12111.9277	1.58	110.348	101.6	690.7	TEST__0__20170928_224401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_224401.wav	X	X	AR	RS				RS	
464	Spectrogram 1	1	12189.173	12189.84578	0.673	69.173	75.5	1209.3	TEST__0__20170928_225601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_225601.wav	X	X	AR	RS				RS	
465	Spectrogram 1	1	12287.117	12288.07856	0.962	47.117	67.5	828.7	TEST__0__20170928_230801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_230801.wav	X	X	AR	RS				RS	
466	Spectrogram 1	1	12372.97	12374.7236	1.754	12.97	32.1	611.1	TEST__0__20170928_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_232001.wav	X	X	AR	RS				RS	
467	Spectrogram 1	1	12469.397	12470.75103	1.354	109.397	83.5	995.7	TEST__0__20170928_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_232001.wav	X	X	AR	RS				RS	
469	Spectrogram 1	1	12593.698	12596.79854	3.101	113.698	109.2	912.2	TEST__0__20170928_235601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170928_235601.wav	X	X	AR	RS				RS	
475	Spectrogram 1	1	12789.894	12790.93406	1.04	69.894	57.8	796.6	TEST__0__20170929_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_003201.wav	X	X	AR	RS				RS	
477	Spectrogram 1	1	12867.51	12869.32906	1.819	27.51	103.2	611.9	TEST__0__20170929_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_004401.wav	X	X	AR	RS				RS	
479	Spectrogram 1	1	13057.141	13059.123	1.982	97.141	48.2	828.7	TEST__0__20170929_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_012001.wav	X	X	AR	RS			faint	RS	
480	Spectrogram 1	1	13175.178	13176.61053	1.433	95.178	67.5	896.1	TEST__0__20170929_013201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_013201.wav	X	X	AR	RS				RS	
484	Spectrogram 1	1	13351.045	13352.77188	1.727	31.045	35.9	498.9	TEST__0__20170929_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_023201.wav	X	X	AR	RS				RS	
485	Spectrogram 1	1	13442.108	13443.92123	1.813	2.108	116.1	634.9	TEST__0__20170929_025601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_025601.wav	X	X	AR	RS				RS	
489	Spectrogram 1	1	13672.073	13673.73121	1.658	112.073	99.5	696.2	TEST__0__20170929_032001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_032001.wav	X	X	AR	RS				RS	
490	Spectrogram 1	1	13703.3	13704.30718	1.007	23.3	39.1	1547.6	TEST__0__20170929_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_033201.wav	X	X	AR	RS				RS	
491	Spectrogram 1	1	13743.821	13745.3909	1.57	63.821	300	1056.5	TEST__0__20170929_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_033201.wav	X	X	AR	RS				RS	
492	Spectrogram 1	1	13821.398	13823.73321	2.335	21.398	35.9	1216.3	TEST__0__20170929_035601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_035601.wav	X	X	AR	RS				RS	
494	Spectrogram 1	1	13955.797	13957.34792	1.551	35.797	68.5	730.2	TEST__0__20170929_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_040801.wav	X	X	AR	RS			likely	RS	
495	Spectrogram 1	1	13941.786	13944.45482	2.669	21.786	287	1708.7	TEST__0__20170929_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_040801.wav	X	X	AR	RS				RS	
496	Spectrogram 1	1	14042.193	14043.49735	1.304	2.193	48.9	1531.7	TEST__0__20170929_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_043201.wav	X	X	AR	RS				RS	
498	Spectrogram 1	1	14083.006	14085.36085	2.355	43.006	123.9	984.8	TEST__0__20170929_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_043201.wav	X	X	AR	RS			very faint	RS	
506	Spectrogram 1	1	14308.943	14310.04192	1.099	28.943	45.7	1056.5	TEST__0__20170929_065601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_065601.wav	X	X	AR	RS				RS	
507	Spectrogram 1	1	14451.431	14452.28783	0.857	51.431	46.1	1083.7	TEST__0__20170929_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_073201.wav	X	X	AR	RS				RS	
508	Spectrogram 1	1	14555.749	14557.47588	1.727	35.749	34.1	1131.2	TEST__0__20170929_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_082001.wav	X	X	AR	RS				RS	
514	Spectrogram 1	1	14738.528	14740.11752	1.59	98.528	12.4	1010.3	TEST__0__20170929_092001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_092001.wav	X	X	AR	RS				RS	
515	Spectrogram 1	1	14828.37	14830.17538	1.805	68.37	303.7	1134.3	TEST__0__20170929_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_093201.wav	X	X	AR	RS				RS	
516	Spectrogram 1	1	14860.651	14862.39751	1.747	100.651	216.9	1066.1	TEST__0__20170929_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_093201.wav	X	X	AR	RS				RS	
517	Spectrogram 1	1	14880.569	14882.21739	1.648	0.569	49.6	508.3	TEST__0__20170929_094401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_094401.wav	X	X	AR	RS				RS	
519	Spectrogram 1	1	15013.874	15015.22804	1.354	13.874	80.6	1090.9	TEST__0__20170929_095601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_095601.wav	X	X	AR	RS				RS	
522	Spectrogram 1	1	15130.145	15131.81302	1.668	10.145	49.6	843	TEST__0__20170929_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_100801.wav	X	X	AR	RS				RS	
524	Spectrogram 1	1	15250.263	15251.96922	1.706	10.263	174.6	888.9	TEST__0__20170929_104401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_104401.wav	X	X	AR	RS				RS	
526	Spectrogram 1	1	15406.794	15409.01417	2.22	46.794	277.8	912.7	TEST__0__20170929_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_105601.wav	X	X	AR	RS				RS	
532	Spectrogram 1	1	15521.173	15521.94424	0.771	41.173	81.2	1569.6	TEST__0__20170929_125601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_125601.wav	X	X	AR	RS				RS	
536	Spectrogram 1	1	15718.794	15719.89293	1.099	118.794	62	855.4	TEST__0__20170929_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_132001.wav	X	X	AR	RS				RS	
537	Spectrogram 1	1	15699.329	15701.17362	1.845	99.329	31	1214.9	TEST__0__20170929_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170929_132001.wav	X	X	AR	RS				RS	
