Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment		
78	Spectrogram 1	1	207.817	208.21944	0.402	87.817	72.1	649.3	TEST__0__20170903_073201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170903_073201.wav	Y	bark	Had to change brightness to 50 to see this one. Not sure if appropriate for detector?	RS			Short bark		
79	Spectrogram 1	1	344.634	345.06083	0.427	104.634	102.2	1148.3	TEST__0__20170903_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170903_093201.wav	Y	bark	better visible with Brightness 50	RS					
80	Spectrogram 1	1	356.39	356.67049	0.28	116.39	84.2	937.9	TEST__0__20170903_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170903_093201.wav	Y	bark	better with B50 but still visible at B45	RS					
107	Spectrogram 1	1	609.78	610.17024	0.39	9.78	468.9	1214.4	TEST__0__20170904_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav	Y	bark	Bark?	RS			"bark (weird sound to it, though)"		
209	Spectrogram 1	1	1240.988	1241.61	0.622	40.988	242.4	933.3	TEST__0__20170910_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_165601.wav	Y	bark	AR	RS					
223	Spectrogram 1	1	1586.622	1587.0366	0.415	26.622	493	721.4	TEST__0__20170911_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_020801.wav	Y	bark	yelp?	RS					
224	Spectrogram 1	1	1588.61	1589.488	0.878	28.61	342.7	1274.5	TEST__0__20170911_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_020801.wav	Y	bark	AR	RS					
235	Spectrogram 1	1	1772.354	1772.8418	0.488	92.354	102.2	793.6	TEST__0__20170911_044401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_044401.wav	Y	bark	AR	RS					
269	Spectrogram 1	1	2203.805	2204.0245	0.22	43.805	102.2	553.1	TEST__0__20170912_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170912_232001.wav	Y	bark	with brightness 55 it looks good. Not sure if appropriate for detector. 	RS					
272	Spectrogram 1	1	2397.768	2398.329	0.561	117.768	78.2	679.4	TEST__0__20170913_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_020801.wav	Y	bark	AR	RS					
311	Spectrogram 1	1	2749.402	2750.4874	1.085	109.402	655.3	1833.7	TEST__0__20170914_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_165601.wav	Y	bark	AR	RS					
318	Spectrogram 1	1	2822.256	2823.3048	1.049	62.256	210.4	1659.3	TEST__0__20170914_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_190801.wav	Y	bark	brightness 50	RS					
358	Spectrogram 1	1	3754.159	3754.5249	0.366	34.159	132.3	505	TEST__0__20170916_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_012001.wav	Y	bark	AR	RS					
361	Spectrogram 1	1	3879.354	3879.7076	0.354	39.354	168.3	715.4	TEST__0__20170916_015601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_015601.wav	Y	bark	AR	RS					
363	Spectrogram 1	1	4028.341	4028.5117	0.171	68.341	78.2	529.1	TEST__0__20170916_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_020801.wav	Y	bark	AR	RS					
365	Spectrogram 1	1	4163.2	4163.5903	0.39	83.2	192.4	601.2	TEST__0__20170916_022001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_022001.wav	Y	bark	AR	RS					
367	Spectrogram 1	1	4243.683	4243.9391	0.256	43.683	126.3	493	TEST__0__20170916_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_023201.wav	Y	bark	AR	RS					
368	Spectrogram 1	1	4402.451	4402.7559	0.305	82.451	120.2	763.5	TEST__0__20170916_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_024401.wav	Y	bark	AR	RS					
392	Spectrogram 1	1	4532.549	4532.8782	0.329	92.549	114.2	420.8	TEST__0__20170917_064401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_064401.wav	Y	bark	B55	RS					
398	Spectrogram 1	1	4629.378	4631.5122	2.134	69.378	78.2	589.2	TEST__0__20170917_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	bark	WH	RS			Barks		
399	Spectrogram 1	1	4641.341	4645.5605	4.219	81.341	54.1	673.3	TEST__0__20170917_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	bark	WH	RS			Barks		
400	Spectrogram 1	1	4658.902	4660.3045	1.403	98.902	84.2	913.8	TEST__0__20170917_123201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	Y	bark	WH	RS			Barks		
401	Spectrogram 1	1	4769.305	4771.6952	2.39	89.305	102.2	499	TEST__0__20170917_124401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_124401.wav	Y	bark	WH	RS			Barks		
402	Spectrogram 1	1	4765.61	4766.6343	1.024	85.61	96.2	631.3	TEST__0__20170917_124401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_124401.wav	Y	bark	AR	RS					
403	Spectrogram 1	1	4792.427	4794.927	2.5	112.427	48.1	679.4	TEST__0__20170917_124401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_124401.wav	Y	bark	AR	RS					
404	Spectrogram 1	1	4833.024	4834.9996	1.976	33.024	42.1	565.1	TEST__0__20170917_125601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_125601.wav	Y	bark	AR	RS					
405	Spectrogram 1	1	4837.463	4837.8411	0.378	37.463	30.1	553.1	TEST__0__20170917_125601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_125601.wav	Y	bark	AR	RS					
406	Spectrogram 1	1	4957.439	4959.5854	2.146	37.439	96.2	697.4	TEST__0__20170917_130801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_130801.wav	Y	bark	AR	RS					
407	Spectrogram 1	1	5026.159	5028.6225	2.463	106.159	84.2	607.2	TEST__0__20170917_130801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_130801.wav	Y	bark	AR	RS					
408	Spectrogram 1	1	5042.549	5044.8295	2.28	2.549	90.2	547.1	TEST__0__20170917_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_132001.wav	Y	bark	AR	RS					
409	Spectrogram 1	1	5112.744	5114.9879	2.244	72.744	66.1	505	TEST__0__20170917_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_132001.wav	Y	bark	AR	RS					
410	Spectrogram 1	1	5109.11	5110.049	0.939	69.11	96.2	733.5	TEST__0__20170917_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_132001.wav	Y	bark	AR	RS					
412	Spectrogram 1	1	5181.805	5182.8416	1.037	21.805	0	895.8	TEST__0__20170917_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_133201.wav	Y	bark	B50	RS					
414	Spectrogram 1	1	5353.427	5356.1831	2.756	73.427	120.2	631.3	TEST__0__20170917_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_140801.wav	Y	bark	AR	RS					
415	Spectrogram 1	1	5349.098	5351.2565	2.158	69.098	48.1	529.1	TEST__0__20170917_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_140801.wav	Y	bark	AR	RS					
416	Spectrogram 1	1	5498.951	5501.451	2.5	98.951	84.2	667.3	TEST__0__20170917_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_142001.wav	Y	bark	AR	RS					
417	Spectrogram 1	1	5506.89	5508.012	1.122	106.89	102.2	493	TEST__0__20170917_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_142001.wav	Y	bark	AR	RS					
418	Spectrogram 1	1	5490.988	5492.2929	1.305	90.988	78.2	685.4	TEST__0__20170917_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_142001.wav	Y	bark	Clear example	RS					
419	Spectrogram 1	1	5557.183	5558.866	1.683	37.183	108.2	487	TEST__0__20170917_143201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_143201.wav	Y	bark	AR	RS					
420	Spectrogram 1	1	5637.39	5639.0242	1.634	117.39	0	769.5	TEST__0__20170917_143201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_143201.wav	Y	bark	AR	RS					
421	Spectrogram 1	1	5640.159	5641.8785	1.72	0.159	90.2	583.2	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
422	Spectrogram 1	1	5654.146	5655.9143	1.768	14.146	84.2	553.1	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
423	Spectrogram 1	1	5689.183	5690.3538	1.171	49.183	114.2	456.9	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
424	Spectrogram 1	1	5707.122	5708.2439	1.122	67.122	96.2	547.1	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
425	Spectrogram 1	1	5711.415	5712.8663	1.451	71.415	102.2	468.9	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
426	Spectrogram 1	1	5701.707	5702.9753	1.268	61.707	72.1	432.9	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
427	Spectrogram 1	1	5757.72	5759.8785	2.159	117.72	126.3	414.8	TEST__0__20170917_144401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_144401.wav	Y	bark	AR	RS					
428	Spectrogram 1	1	5856.183	5857.4879	1.305	96.183	66.1	625.3	TEST__0__20170917_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_150801.wav	Y	bark	AR	RS					
429	Spectrogram 1	1	5872.951	5875.6827	2.732	112.951	90.2	481	TEST__0__20170917_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170917_150801.wav	Y	bark	AR	RS					
441	Spectrogram 1	1	5958.317	5958.756	0.439	78.317	138.3	781.6	TEST__0__20170918_074401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_074401.wav	Y	bark	AR	RS					
442	Spectrogram 1	1	6072.354	6072.6832	0.329	72.354	871.7	1328.7	TEST__0__20170918_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_080801.wav	Y	bark	AR	RS					
446	Spectrogram 1	1	6194.256	6197.2682	3.012	74.256	0	691.4	TEST__0__20170918_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	bark	AR	RS					
449	Spectrogram 1	1	6264.829	6265.646	0.817	24.829	667.3	1911.8	TEST__0__20170918_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_084401.wav	Y	bark	AR	RS					
583	Spectrogram 1	1	7173.024	7173.8533	0.829	93.024	126.5	753	TEST__0__20170920_173201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_173201.wav	Y	bark	masked. are there more barks before and after?	RS			one bark right before the selection (almost exactly one second before)		
587	Spectrogram 1	1	7267.585	7268.9386	1.354	67.585	355.4	1018.1	TEST__0__20170920_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_200801.wav	Y	bark	WH	RS			Bark - clear		
589	Spectrogram 1	1	7428.841	7429.3897	0.549	108.841	162.7	668.7	TEST__0__20170920_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_213201.wav	Y	bark	AR	RS					
590	Spectrogram 1	1	9360.317	9363.9633	3.646	0.317	144.6	1361.4	TEST__0__20170920_214401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	bark	Is there a yelp at all? B50	RS			All barks		
595	Spectrogram 1	1	7494.854	7495.2808	0.427	54.854	78.3	704.8	TEST__0__20170920_222001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_222001.wav	Y	bark	B50	RS					
635	Spectrogram 1	1	7751.037	7751.3297	0.293	71.037	144.3	529.1	TEST__0__20170921_175601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_175601.wav	Y	bark	AR	RS					
637	Spectrogram 1	1	7827.488	7828.6343	1.146	27.488	162.3	481	TEST__0__20170921_185601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_185601.wav	Y	bark	series	RS					
650	Spectrogram 1	1	7926.683	7927.1099	0.427	6.683	174.3	565.1	TEST__0__20170922_014401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_014401.wav	Y	bark	AR	RS					
651	Spectrogram 1	1	8019.768	8020.9753	1.207	99.768	126.3	1316.6	TEST__0__20170922_014401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_014401.wav	Y	bark	AR	RS					
653	Spectrogram 1	1	8083.293	8083.5735	0.28	43.293	120.2	745.5	TEST__0__20170922_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_030801.wav	Y	bark	AR	RS					
664	Spectrogram 1	1	8326.159	8326.5371	0.378	46.159	186.4	781.6	TEST__0__20170922_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_050801.wav	Y	bark	AR	RS					
665	Spectrogram 1	1	8431.963	8432.5484	0.585	31.963	60.1	583.2	TEST__0__20170922_053201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_053201.wav	Y	bark	AR	RS					
669	Spectrogram 1	1	8538.488	8538.988	0.5	18.488	186.4	811.6	TEST__0__20170922_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_082001.wav	Y	bark	AR	RS					
671	Spectrogram 1	1	8556.598	8557.0858	0.488	36.598	36.1	1250.5	TEST__0__20170922_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_082001.wav	Y	bark	AR	RS					
691	Spectrogram 1	1	8680.671	8684.3418	3.671	40.671	402.8	1731.5	TEST__0__20170922_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_142001.wav	Y	bark	all barks or is the last one a yelp?	RS			All barks		
693	Spectrogram 1	1	8847.927	8848.5246	0.598	87.927	282.6	1316.6	TEST__0__20170922_145601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_145601.wav	Y	bark	AR	RS					
707	Spectrogram 1	1	8933.402	8934.6581	1.256	53.402	66.1	1142.3	TEST__0__20170922_205601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_205601.wav	Y	bark	AR	RS					
709	Spectrogram 1	1	9053.22	9053.9517	0.732	53.22	955.9	1551.1	TEST__0__20170922_212001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_212001.wav	Y	bark	AR	RS					
711	Spectrogram 1	1	9197.134	9198.134	1	77.134	168.3	1250.5	TEST__0__20170922_213201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_213201.wav	Y	bark	AR	RS					
116	Spectrogram 1	1	11069	11069.73171	0.732	29	547.1	1479	TEST__0__20170904_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	bark	AR	RS					
118	Spectrogram 1	1	11072.5	11077.20732	4.707	32.5	432.9	1863.7	TEST__0__20170904_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	Y	bark	series	RS					
293	Spectrogram 1	1	9511.524	9512.463	0.939	31.524	60.1	709.4	TEST__0__20170914_013201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_013201.wav	X	"bark, yelp"	WH	RS			Yelp-bark-yelp		
303	Spectrogram 1	1	9671.22	9671.9273	0.707	71.22	60.1	595.2	TEST__0__20170914_074401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_074401.wav	X	"bark, yelp"	WH	RS			Yelp-Bark		
346	Spectrogram 1	1	9897.561	9899.3171	1.756	57.561	90.2	1034.1	TEST__0__20170915_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_194401.wav	X	"bark, yelp"	WH	RS			Bark-Yelp		
349	Spectrogram 1	1	10002.878	10003.9268	1.049	42.878	60.1	1076.2	TEST__0__20170915_204401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_204401.wav	X	"bark, yelp"	WH	RS			Bark-Yelp		
61	Spectrogram 1	1	10798.72	10799.76878	1.049	118.72	30.1	330.7	TEST__0__20170902_053201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170902_053201.wav	X	Growl	WH	RS			Growl		
132	Spectrogram 1	1	10866.935	10867.55647	0.621	66.935	9.9	983.4	TEST__0__20170906_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170906_045601.wav	X	Growl	WH	RS			Growl		
291	Spectrogram 1	1	11009.28	11011.3044	2.024	89.28	72.1	601.2	TEST__0__20170913_203201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_203201.wav	X	Grunt	WH	RS			Multiple grunts		
86	Spectrogram 1	1	365.378	366.04873	0.671	5.378	258.5	685.4	TEST__0__20170903_150801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170903_150801.wav	X	bark	?	RS			"barks, but do not include in detector"		
87	Spectrogram 1	1	485.695	486.15842	0.463	5.695	84.2	553.1	TEST__0__20170903_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170903_154401.wav	X	bark	?	RS			Bark		
151	Spectrogram 1	1	821.146	823.73137	2.585	101.146	222.5	1129.1	TEST__0__20170907_005601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170907_005601.wav	X	bark	yelp?	RS			"actually bark-yelp-bark, but the barks are VERY faint and the yelp is weird. Do not include."		
193	Spectrogram 1	1	915.695	916.2072	0.512	75.695	72.1	468.9	TEST__0__20170909_172001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170909_172001.wav	X	bark	Had to change brightness to 55 to see this one	RS			bark		
194	Spectrogram 1	1	963.366	963.744	0.378	3.366	48.1	553.1	TEST__0__20170909_173201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170909_173201.wav	X	bark	brightness 55	RS			bark		
207	Spectrogram 1	1	1130.11	1130.6831	0.573	50.11	288.6	697.4	TEST__0__20170910_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_160801.wav	X	bark	bark?	RS			bark - very faint		
211	Spectrogram 1	1	1296.244	1296.8538	0.61	96.244	268.3	689	TEST__0__20170910_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_165601.wav	X	bark	bark?	RS			bark - do not include		
213	Spectrogram 1	1	1353.073	1355.0364	1.963	33.073	180.4	1130.3	TEST__0__20170910_204401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170910_204401.wav	X	bark	Brightness 50	RS					
218	Spectrogram 1	1	1502.329	1502.9631	0.634	62.329	505	998	TEST__0__20170911_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_012001.wav	X	bark	AR	RS					
252	Spectrogram 1	1	1838.439	1838.7683	0.329	38.439	54.1	619.2	TEST__0__20170912_002001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170912_002001.wav	X	bark	brightness 55. and faint signal.	RS					
254	Spectrogram 1	1	2012.5	2012.9024	0.402	92.5	54.1	493	TEST__0__20170912_010801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170912_010801.wav	X	bark	brightness 55 and faint signal.	RS					
266	Spectrogram 1	1	2077.293	2077.671	0.378	37.293	42.1	499	TEST__0__20170912_185601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170912_185601.wav	X	bark	brightness 60	RS					
275	Spectrogram 1	1	2488.537	2489.1102	0.573	88.537	78.2	547.1	TEST__0__20170913_055601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_055601.wav	X	bark	brightness 55	RS					
276	Spectrogram 1	1	2487.756	2488.3292	0.573	87.756	78.2	571.1	TEST__0__20170913_055601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170913_055601.wav	X	bark	brightness 55	RS					
296	Spectrogram 1	1	34.159	34.8785	0.72	34.159	60.1	553.1	TEST__0__20170914_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_050801.wav	X	bark	brightness 55. I can barely see it	RS			bark		
298	Spectrogram 1	1	49.159	50.2078	1.049	49.159	264.5	613.2	TEST__0__20170914_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_050801.wav	X	bark	brightness 60 and I can barely see it	RS			bark - too faint		
302	Spectrogram 1	1	2542.488	2543.1709	0.683	22.488	42.1	667.3	TEST__0__20170914_072001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_072001.wav	X	bark	Brightness 55	RS			bark - too faint		
322	Spectrogram 1	1	2956.256	2956.6097	0.354	76.256	60.1	529.1	TEST__0__20170915_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_043201.wav	X	bark	brightness 55	RS			bark		
332	Spectrogram 1	1	3042.268	3042.7802	0.512	42.268	72.6	417.3	TEST__0__20170915_162001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_162001.wav	X	bark	brightness 55 and faint	RS			bark - too faint		
335	Spectrogram 1	1	3192.354	3193.0613	0.707	72.354	709.4	1262.5	TEST__0__20170915_165601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_165601.wav	X	bark	brightness 55. The harmonics seem to be displaced backwards?	RS					
338	Spectrogram 1	1	3345.159	3345.5493	0.39	105.159	66.1	703.4	TEST__0__20170915_183201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_183201.wav	X	bark	faint. B 50	RS			bark - too faint		
341	Spectrogram 1	1	3464.098	3464.6345	0.537	104.098	66.1	961.9	TEST__0__20170915_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_184401.wav	X	bark	B50	RS					
347	Spectrogram 1	1	3531.817	3532.317	0.5	51.817	84.2	553.1	TEST__0__20170915_195601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_195601.wav	X	bark	B55	RS			bark - too faint		
354	Spectrogram 1	1	3654.78	3655.6093	0.829	54.78	547.1	1106.2	TEST__0__20170915_223201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170915_223201.wav	X	bark	B53. Faint	RS			bark - too faint		
359	Spectrogram 1	1	3772.902	3773.2191	0.317	52.902	120.2	841.7	TEST__0__20170916_012001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_012001.wav	X	bark	B50	RS					
362	Spectrogram 1	1	3923.024	3923.3045	0.281	83.024	126.3	553.1	TEST__0__20170916_015601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170916_015601.wav	X	bark	B50	RS					
459	Spectrogram 1	1	6404.11	6404.4514	0.341	44.11	66.1	438.9	TEST__0__20170918_112001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_112001.wav	X	bark	B55. faint	RS			bark		
466	Spectrogram 1	1	6510.11	6510.5978	0.488	30.11	36.1	625.3	TEST__0__20170918_134401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_134401.wav	X	bark	B55	RS			bark		
517	Spectrogram 1	1	6606.232	6606.6344	0.402	6.232	66.1	414.8	TEST__0__20170919_155601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_155601.wav	X	bark	B55. faint	RS			bark - too faint		
528	Spectrogram 1	1	6790.951	6791.4388	0.488	70.951	0	432.9	TEST__0__20170919_230801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170919_230801.wav	X	bark	B55	RS			bark		
553	Spectrogram 1	1	6925.915	6926.2809	0.366	85.915	132.3	378.8	TEST__0__20170920_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_030801.wav	X	bark	B55	RS					
571	Spectrogram 1	1	6994.22	6994.5249	0.305	34.22	150.6	494	TEST__0__20170920_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_113201.wav	X	bark	B50	RS					
600	Spectrogram 1	1	7599.5	7600.0244	0.524	39.5	96.2	577.2	TEST__0__20170921_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_040801.wav	X	bark	B50. faint	RS			bark		
660	Spectrogram 1	1	8173.378	8173.939	0.561	13.378	84.2	300.6	TEST__0__20170922_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_043201.wav	X	bark	quite masked	RS			bark		
661	Spectrogram 1	1	8171.037	8171.3784	0.341	11.037	132.3	462.9	TEST__0__20170922_043201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_043201.wav	X	bark	top of call masked by noise	RS					
670	Spectrogram 1	1	8539.683	8540.1952	0.512	19.683	162.3	493	TEST__0__20170922_082001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_082001.wav	X	bark	AR	RS					
735	Spectrogram 1	1	9242.012	9242.3413	0.329	2.012	60.1	517	TEST__0__20170923_133201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170923_133201.wav	X	bark	B55	RS			bark - pretty faint		
117	Spectrogram 1	1	11071.317	11071.89017	0.573	31.317	456.9	1112.2	TEST__0__20170904_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	X	too faint	AR	RS					
