Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment
197	Spectrogram 1	1	5799.927	5800.51237	13.927	288.6	667.3	DS3B__0__20180824_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_150354.wav	X			RS			
199	Spectrogram 1	1	6170.28	6170.69463	121.28	78.2	829.7	DS3B__0__20180824_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_160354.wav	X	bark	Bark	RS			Bark
200	Spectrogram 1	1	6169.622	6170.03663	120.622	36.1	619.2	DS3B__0__20180824_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_160354.wav	X	bark	Bark	RS			Bark
201	Spectrogram 1	1	6169.098	6169.47605	120.098	45	955	DS3B__0__20180824_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_160354.wav	X	bark	Bark	RS			Bark
202	Spectrogram 1	1	6336.756	6337.09746	24.756	721.4	937.9	DS3B__0__20180824_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_170354.wav	X	yelp	Yelp	RS			Yelp
204	Spectrogram 1	1	6441.549	6442.24412	129.549	793.6	1028.1	DS3B__0__20180824_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_170354.wav	X	yelp	Yelp	RS			Yelp
205	Spectrogram 1	1	6538.402	6539.24346	226.402	751.5	1106.2	DS3B__0__20180824_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_170354.wav	X	yelp	Yelp	RS			Yelp
208	Spectrogram 1	1	6738.476	6739.00039	163.476	342.7	715.4	DS3B__0__20180824_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_180354.wav	X			RS			
209	Spectrogram 1	1	6931.293	6931.81739	93.293	511	847.7	DS3B__0__20180824_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_190354.wav	X			RS			
210	Spectrogram 1	1	7007.085	7007.585	169.085	793.6	1130.3	DS3B__0__20180824_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_190354.wav	X			RS			
211	Spectrogram 1	1	7056.024	7056.7679	218.024	414.8	745.5	DS3B__0__20180824_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_190354.wav	X			RS			
212	Spectrogram 1	1	7260.146	7261.03624	159.146	757.5	1106.2	DS3B__0__20180824_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_210354.wav	X			RS			
213	Spectrogram 1	1	7279.793	7280.28081	178.793	120.2	865.7	DS3B__0__20180824_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_210354.wav	Y	bark		RS			
217	Spectrogram 1	1	7500.946	7501.36064	136.946	138.3	643.3	DS3B__0__20180825_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_000354.wav	Y	bark	"quite masked, but still visible"	RS			Bark
219	Spectrogram 1	1	7773.841	7774.21905	146.841	384.8	1142.3	DS3B__0__20180825_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_010354.wav	Y	bark	Bark	RS			Bark
223	Spectrogram 1	1	7992.537	7992.87846	102.537	336.7	853.7	DS3B__0__20180825_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_050354.wav	Y	bark	Bark	RS			Bark
225	Spectrogram 1	1	8260.939	8261.36583	107.939	493	919.8	DS3B__0__20180825_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_140354.wav	X	yelp	Yelp	RS			Yelp
232	Spectrogram 1	1	375.451	376.26807	112.451	493	1611.2	DS3B__0__20180825_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_170354.wav	X	yelp	Yelp	RS			Yelp
236	Spectrogram 1	1	8437.854	8439.12229	21.854	66.1	1112.2	DS3B__0__20180825_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_210354.wav	X	yelp	Yelp - bark	RS			Yelp - bark
245	Spectrogram 1	1	8836.744	8837.34156	157.744	66.1	456.9	DS3B__0__20180826_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_000354.wav	X			RS			
246	Spectrogram 1	1	8966.744	8967.15864	24.744	30.1	625.3	DS3B__0__20180826_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_010354.wav	X			RS			
247	Spectrogram 1	1	8997.22	8997.93951	55.22	30.1	721.4	DS3B__0__20180826_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_010354.wav	X			RS			
249	Spectrogram 1	1	9362.866	9363.366	157.866	66.1	655.3	DS3B__0__20180826_040354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_040354.wav	X			RS			
252	Spectrogram 1	1	9472.305	9472.87817	4.305	288.6	895.8	DS3B__0__20180826_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_070354.wav	X			RS			
253	Spectrogram 1	1	9471.72	9472.17122	3.72	54.1	216.4	DS3B__0__20180826_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_070354.wav	X			RS			
254	Spectrogram 1	1	9699.817	9700.20725	231.817	72.1	390.8	DS3B__0__20180826_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_070354.wav	Y	bark	quite masked but still visible	RS			
257	Spectrogram 1	1	9793.732	9794.13444	62.732	835.7	1082.2	DS3B__0__20180826_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_100354.wav	X	yelp	Yelp	RS			Yelp
258	Spectrogram 1	1	9794.28	9794.75561	63.28	60.1	330.7	DS3B__0__20180826_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_100354.wav	X	bark	Bark	RS			Bark
259	Spectrogram 1	1	9802.549	9803.18315	71.549	24	264.5	DS3B__0__20180826_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_100354.wav	X			RS			
261	Spectrogram 1	1	9859.927	9860.50017	128.927	601.2	853.7	DS3B__0__20180826_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_100354.wav	X	yelp	Yelp	RS			Yelp
262	Spectrogram 1	1	9864.134	9864.58521	133.134	72.1	426.9	DS3B__0__20180826_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_100354.wav	X			RS			
263	Spectrogram 1	1	9875.549	9875.97583	144.549	60.1	438.9	DS3B__0__20180826_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_100354.wav	X			RS			
265	Spectrogram 1	1	10182.963	10183.43861	188.963	228.5	583.2	DS3B__0__20180826_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180826_180354.wav	X	yelp	Yelp	RS			Yelp
266	Spectrogram 1	1	10515.793	10516.67105	258.793	619.2	1106.2	DS3B__0__20180827_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180827_010354.wav	X			RS			
267	Spectrogram 1	1	10682.305	10682.75622	162.305	120.2	541.1	DS3B__0__20180827_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180827_020354.wav	X	bark	Bark	RS			Bark
268	Spectrogram 1	1	10682.841	10683.341	162.841	751.5	1106.2	DS3B__0__20180827_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180827_020354.wav	X	yelp	Yelp	RS			Yelp
271	Spectrogram 1	1	11035.183	11035.70739	252.183	701.6	973.8	DS3B__0__20180827_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180827_130354.wav	X			RS			
272	Spectrogram 1	1	11191.524	11191.97522	145.524	60.5	375	DS3B__0__20180827_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180827_140354.wav	X	bark	Bark - weak	RS			Bark - weak
273	Spectrogram 1	1	11326.305	11326.71963	17.305	30.2	508.1	DS3B__0__20180827_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180827_160354.wav	X			RS			
276	Spectrogram 1	1	11601.951	11602.32905	29.951	60.5	780.2	DS3B__0__20180828_030354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_030354.wav	X	bark	Bark	RS			Bark
277	Spectrogram 1	1	11607.659	11607.97607	35.659	84.7	713.7	DS3B__0__20180828_030354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_030354.wav	X	bark	Bark	RS			Bark
278	Spectrogram 1	1	11608.939	11609.35364	36.939	60.5	320.6	DS3B__0__20180828_030354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_030354.wav	X			RS			
280	Spectrogram 1	1	12000.841	12001.45076	165.841	72.6	610.9	DS3B__0__20180828_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_050354.wav	X			RS			
281	Spectrogram 1	1	12032.659	12033.02485	197.659	102.8	695.6	DS3B__0__20180828_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_050354.wav	X			RS			
282	Spectrogram 1	1	12034.854	12038.07351	199.854	598.8	1052.4	DS3B__0__20180828_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_050354.wav	X	yelp	Yelp	RS			Yelp
283	Spectrogram 1	1	12168.134	12168.64619	70.134	60.5	568.5	DS3B__0__20180828_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_060354.wav	X			RS			
286	Spectrogram 1	1	12365.927	12366.53676	4.927	36.3	556.5	DS3B__0__20180828_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_130354.wav	X			RS			
287	Spectrogram 1	1	12400.524	12400.98741	39.524	659.3	1070.6	DS3B__0__20180828_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_130354.wav	X	yelp	Yelp	RS			Yelp
288	Spectrogram 1	1	12703.427	12703.97578	79.427	623	1064.5	DS3B__0__20180828_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_210354.wav	X	yelp	Yelp	RS			Yelp
289	Spectrogram 1	1	12851.707	12852.03626	227.707	78.6	598.8	DS3B__0__20180828_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180828_210354.wav	X	bark	Bark	RS			Bark
293	Spectrogram 1	1	12889.841	12890.40198	2.841	757.5	1010	DS3B__0__20180829_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180829_050354.wav	X	yelp	Yelp	RS			Yelp
294	Spectrogram 1	1	13318.427	13318.97578	168.427	601.2	1082.2	DS3B__0__20180829_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180829_060354.wav	X	yelp	Yelp	RS			Yelp
302	Spectrogram 1	1	13429.598	13430.43946	16.598	817.6	1448.9	DS3B__0__20180830_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180830_110354.wav	X	yelp	Strange call? Right frequency range for RS	RS			Strange call? Right frequency range for RS
303	Spectrogram 1	1	13433.988	13434.47581	20.988	2074.1	2452.9	DS3B__0__20180830_110354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180830_110354.wav	X	yelp	HF yelp	RS			HF yelp
304	Spectrogram 1	1	13835.915	13836.62232	159.915	625.3	1022	DS3B__0__20180830_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180830_190354.wav	X	yelp	Yelp - faint	RS			Yelp - faint
305	Spectrogram 1	1	14068.195	14068.68281	129.195	703.4	1052.1	DS3B__0__20180830_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180830_200354.wav	X	yelp	Yelp	RS			Yelp
307	Spectrogram 1	1	14347.427	14347.95139	145.427	210.4	679.4	DS3B__0__20180831_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180831_150354.wav	X	yelp	WH	RS			
308	Spectrogram 1	1	14575.923	14576.48397	110.923	444.9	793.6	DS3B__0__20180901_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_000354.wav	X	yelp	Yelp	RS			Yelp
309	Spectrogram 1	1	14875.915	14876.69549	147.915	511	1136.3	DS3B__0__20180901_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_010354.wav	X	yelp	Yelp	RS			Yelp
310	Spectrogram 1	1	15048.244	15048.79278	57.244	589.2	847.7	DS3B__0__20180901_030354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_030354.wav	X			RS			
311	Spectrogram 1	1	15335.341	15336.15808	81.341	126.3	781.6	DS3B__0__20180901_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_050354.wav	Y	"bark, yelp"	very close together yelp-bark	RS			
312	Spectrogram 1	1	15530.915	15531.25647	13.915	493	1010	DS3B__0__20180901_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_080354.wav	X	yelp	WH	RS			
313	Spectrogram 1	1	15917.707	15918.12163	137.707	763.5	1100.2	DS3B__0__20180901_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_100354.wav	X			RS			
315	Spectrogram 1	1	16130.988	16131.39044	87.988	733.5	949.9	DS3B__0__20180901_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_140354.wav	X			RS			
316	Spectrogram 1	1	16343.598	16345.39068	37.598	168.3	1130.3	DS3B__0__20180901_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_150354.wav	Y	"bark, yelp"	Yelp-yelp-bark	RS			Yelp-yelp-bark - very clearn
317	Spectrogram 1	1	16746.878	16747.18288	177.878	138.3	1058.1	DS3B__0__20180901_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180901_180354.wav	Y	bark	WH. High background noise	RS			Bark
318	Spectrogram 1	1	16832.5	16832.89024	0.5	258.5	961.9	DS3B__0__20180902_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_000354.wav	X	bark	Bark	RS			Bark
319	Spectrogram 1	1	16833.72	16834.42732	1.72	487	1082.2	DS3B__0__20180902_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_000354.wav	X	bark	Bark	RS			Bark
320	Spectrogram 1	1	16863.415	16868.14671	31.415	246.5	1370.7	DS3B__0__20180902_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_000354.wav	X	bark	Barks	RS			Barks
321	Spectrogram 1	1	17292.72	17293.87854	197.72	180.4	1202.4	DS3B__0__20180902_010354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_010354.wav	X	"bark, yelp"	Yelp-bark	RS			Yelp-bark
322	Spectrogram 1	1	17554.646	17555.37771	196.646	72.1	210.4	DS3B__0__20180902_020354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_020354.wav	X	growl	Growl	RS			Growl
323	Spectrogram 1	1	17805.5	17805.73171	184.5	48.1	799.6	DS3B__0__20180902_050354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_050354.wav	X			RS			
325	Spectrogram 1	1	17942.415	17942.87842	58.415	649.3	1088.2	DS3B__0__20180902_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_130354.wav	X	yelp	Yelp	RS			Yelp
326	Spectrogram 1	1	17943.476	17943.95161	59.476	78.2	396.8	DS3B__0__20180902_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180902_130354.wav	X	bark	Bark	RS			Bark
331	Spectrogram 1	1	18183.098	18186.415	36.098	0	1587.2	DS3B__0__20180903_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180903_140354.wav	X	bark	Barks	RS			Barks
334	Spectrogram 1	1	18456.104	18456.6527	46.104	141.3	748.5	DS3B__0__20180903_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180903_170354.wav	Y	bark	WH. High background noise.	RS			Bark
335	Spectrogram 1	1	18725.549	18725.9758	52.549	138.3	721.4	DS3B__0__20180903_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180903_180354.wav	Y	bark	WH	RS			
336	Spectrogram 1	1	18961.366	18961.9269	25.366	84.2	625.3	DS3B__0__20180903_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180903_200354.wav	Y	bark	WH	RS			
338	Spectrogram 1	1	19325.451	19325.89	126.451	30.1	757.5	DS3B__0__20180904_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180904_060354.wav	X			RS			
344	Spectrogram 1	1	19525.585	19528.3533	63.585	0	1448.9	DS3B__0__20180905_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180905_000354.wav	Y	"bark, yelp"	Clear Yelp-bark sequence	RS			Yelp-bark sequence
346	Spectrogram 1	1	19928.402	19929.024	203.402	36.1	456.9	DS3B__0__20180905_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180905_170354.wav	X	bark	Barks	RS			Barks
