Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
1783	Spectrogram 1	1	2810.213998	2810.49038	0.2764	190.214	100.962	591.346	DS3B__0__20190112_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190112_000355.wav												Y	1	0	X	B	112		
1785	Spectrogram 1	1	3479.732527	3480.297853	0.5653	73.7325	43.269	497.596	DS3B__0__20190115_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190115_220355.wav												Y	2	0	X	B	145		
1786	Spectrogram 1	1	3481.076748	3481.57926	0.5025	75.0768	115.385	627.404	DS3B__0__20190115_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190115_220355.wav												Y	2	0	X	B	145		
1787	Spectrogram 1	1	3883.072249	3883.474259	0.402	215.0722	86.538	418.269	DS3B__0__20190116_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190116_180355.wav												Y	1	0	X	B	-	Not prev annotated	
1789	Spectrogram 1	1	4598.015666	4598.317173	0.3015	144.0157	129.808	548.077	DS3B__0__20190118_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190118_040355.wav												Y	1	0	X	B	159		
1790	Spectrogram 1	1	4598.844812	4599.083505	0.2387	144.8448	72.115	656.25	DS3B__0__20190118_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190118_040355.wav												Y	1	0	X	B	159		
1791	Spectrogram 1	1	4599.472952	4599.77446	0.3015	145.4729	115.385	612.981	DS3B__0__20190118_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190118_040355.wav												Y	1	0	X	B	159		
1793	Spectrogram 1	1	5032.196509	5032.699021	0.5025	54.1965	165.865	1168.269	DS3B__0__20190123_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190123_080355.wav												Y	2	0	X	B	232		
1794	Spectrogram 1	1	5033.063343	5033.364851	0.3015	55.0633	201.923	1161.058	DS3B__0__20190123_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190123_080355.wav												Y	1	0	X	B	232		
1795	Spectrogram 1	1	5033.641232	5033.992991	0.3518	55.6412	237.981	1074.519	DS3B__0__20190123_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190123_080355.wav												Y	1	0	X	B	232		
