Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
122	Spectrogram 1	1	6060.058	6061.3862	1.328	34.058	848.4	1160.6	DS3B__0__20190114_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_100355.wav	X			RS	3	1	No				
130	Spectrogram 1	1	6564.267	6571.37928	7.112	14.267	54.3	420.8	DS3B__0__20190114_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_140355.wav	X			RS	3	series	No				
133	Spectrogram 1	1	6847.512	6848.94731	1.435	35.512	439.9	1016.8	DS3B__0__20190114_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_160355.wav	X	yelp		RS	3	1	No		yelp		
134	Spectrogram 1	1	6912.226	6913.4685	1.243	100.226	713.9	1161.1	DS3B__0__20190114_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_160355.wav	X	yelp		RS	2*	1	No		yelp	RS	
135	Spectrogram 1	1	7007.21	7008.85953	1.65	195.21	526.4	1218.8	DS3B__0__20190114_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_160355.wav	X			RS	2	3	No				
136	Spectrogram 1	1	7306.179	7307.95707	1.778	232.179	641.8	1247.6	DS3B__0__20190114_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_200355.wav	X		very faint	RS	3	1	No		"very faint, high ambient"		
137	Spectrogram 1	1	7096.001	7096.87933	0.878	22.001	194.7	634.6	DS3B__0__20190114_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_200355.wav	Y	bark		RS	3	1	No				
139	Spectrogram 1	1	7428.946	7430.23135	1.285	92.946	706.7	1298.1	DS3B__0__20190114_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190114_220355.wav	X			RS	3	1	No				
141	Spectrogram 1	1	7737.524	7739.13069	1.607	139.524	533.7	1290.9	DS3B__0__20190115_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190115_060355.wav	X			RS	2	1	No				
144	Spectrogram 1	1	7972.895	7973.90186	1.007	112.895	194.7	750	DS3B__0__20190115_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190115_200355.wav	X			RS	3	1	No				
145	Spectrogram 1	1	8195.259	8198.06535	2.806	73.259	93.8	562.5	DS3B__0__20190115_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190115_220355.wav	Y	"bark, yelp"	"LF barks, LF yelp"	RS	1*	1	No		could that be a RS?	RS	"LF barks, LF yelp"
147	Spectrogram 1	1	8516.123	8518.15814	2.035	132.123	872.6	1564.9	DS3B__0__20190116_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190116_020355.wav	X	yelp	very faint	RS	3	2	No		very faint yelps		
149	Spectrogram 1	1	8647.093	8648.22839	1.135	1.093	165.9	778.8	DS3B__0__20190116_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190116_040355.wav	X			RS	2	1	No				
150	Spectrogram 1	1	8885.431	8887.18765	1.757	239.431	613	1276.4	DS3B__0__20190116_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190116_040355.wav	X		high ambient	RS	2	1	No		high ambient		
151	Spectrogram 1	1	9123.725	9124.88181	1.157	215.725	65.2	920.3	DS3B__0__20190116_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190116_180355.wav	Y	bark		RS	1*	3	No			RS	bark
152	Spectrogram 1	1	9108.304	9109.39655	1.093	200.304	50.7	1043.5	DS3B__0__20190116_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190116_180355.wav	Y	bark		RS	3	1	No				
157	Spectrogram 1	1	9408.288	9409.8519	1.564	238.288	36.2	884.1	DS3B__0__20190117_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190117_200355.wav	Y	bark		RS	2	3	No				
158	Spectrogram 1	1	9639.615	9640.4505	0.836	207.615	58	971	DS3B__0__20190118_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190118_000355.wav	Y	bark		RS	2	1	No				
159	Spectrogram 1	1	9837.64	9840.125	2.485	143.64	101.4	615.9	DS3B__0__20190118_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190118_040355.wav	Y	bark		RS	3	1	No				
167	Spectrogram 1	1	10601.421	10602.8671	1.446	121.421	753.6	1289.9	DS3B__0__20190119_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190119_020355.wav	X	yelp		RS	3	1	No		yelp		
168	Spectrogram 1	1	10813.733	10815.3825	1.649	71.733	43.5	898.6	DS3B__0__20190119_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190119_060355.wav	Y	bark	in noise	RS	1*	2	No			RS	bark
171	Spectrogram 1	1	11194.423	11195.9654	1.542	190.423	376.8	1166.7	DS3B__0__20190119_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190119_120355.wav	X		high ambient	RS	3	1	No		high ambient		
173	Spectrogram 1	1	11312.756	11313.7843	1.028	46.756	58	1087	DS3B__0__20190119_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190119_200355.wav	X			RS	2	1	No				
174	Spectrogram 1	1	11554.12	11586.4841	32.364	26.12	115.9	1471	DS3B__0__20190120_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190120_020355.wav	X	"bark, yelp"	"bark, yelp, but too faint"	RS	1*	series	No		very faint	X	"bark, yelp, but too faint"
179	Spectrogram 1	1	12022.803	12024.6453	1.842	232.803	558	1181.2	DS3B__0__20190120_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190120_060355.wav	X			RS	3	1	No				
199	Spectrogram 1	1	12090.396	12100.636	10.24	38.396	601.4	1318.8	DS3B__0__20190120_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190120_160355.wav	X	yelp	good one	RS	3	series	No		"good one, yelps"		
200	Spectrogram 1	1	12156.665	12160.4997	3.835	104.665	507.2	2304.3	DS3B__0__20190120_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190120_160355.wav	X	yelp	"3x yelps, good one"	RS	3	3	No		"3x yelps, good one"		
201	Spectrogram 1	1	12471.02	12473.3122	2.292	157.02	101.4	615.9	DS3B__0__20190120_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190120_180355.wav	X		not bark	RS	1*	2	No			X	not bark
203	Spectrogram 1	1	12581.848	12583.369	1.521	5.848	753.6	1456.5	DS3B__0__20190121_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190121_080355.wav	X			RS	3	1	No				
215	Spectrogram 1	1	12898.675	12899.6819	1.007	60.675	304.3	688.4	DS3B__0__20190122_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190122_120355.wav	X			RS	3	1	No				
230	Spectrogram 1	1	13160.584	13161.7194	1.135	60.584	349.5	844.7	DS3B__0__20190123_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190123_040355.wav	X		very faint	RS	3	1	No		very faint		
232	Spectrogram 1	1	13415.999	13420.6905	4.692	53.999	131.1	1310.7	DS3B__0__20190123_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190123_080355.wav	Y	bark	very faint	RS	3	series	No				
269	Spectrogram 1	1	13869.968	13870.9963	1.028	245.968	109.2	1070.4	DS3B__0__20190124_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190124_140355.wav	X			RS	3	1	No				
271	Spectrogram 1	1	14074.883	14075.9755	1.093	188.883	116.5	589.8	DS3B__0__20190124_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190124_180355.wav	X			RS	3	1	No				
273	Spectrogram 1	1	14214.307	14215.3567	1.05	66.307	713.6	1303.4	DS3B__0__20190124_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190124_220355.wav	X			RS	2*	1	No			RS	
277	Spectrogram 1	1	14489.883	14536.25	46.367	79.883	43.7	2635.9	DS3B__0__20190125_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190125_140355.wav	Y	"bark, yelp"	Very close!	RS	2*	series	No		did we find a really close RS here?	RS	Very close!
282	Spectrogram 1	1	14797.904	14798.9751	1.071	125.904	589.8	1267	DS3B__0__20190126_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190126_060355.wav	X	yelp		RS	3	1	No		yelp		
283	Spectrogram 1	1	14779.658	14781.1575	1.499	107.658	342.2	1135.9	DS3B__0__20190126_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190126_060355.wav	X			RS	3	1	No				
293	Spectrogram 1	1	14936.184	14940.2329	4.049	2.184	458.7	1237.9	DS3B__0__20190127_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190127_100355.wav	X	yelp	2x yelp	RS	3	2	No		2x yelp		
301	Spectrogram 1	1	15606.651	15607.8078	1.157	148.651	691.7	1398.1	DS3B__0__20190127_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190127_180355.wav	X			RS	3	1	No				
308	Spectrogram 1	1	15975.324	15976.3523	1.028	255.324	873.8	1318	DS3B__0__20190128_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_080355.wav	X	yelp		RS	3	1	No		yelp		
309	Spectrogram 1	1	15904.574	15907.5517	2.978	184.574	94.7	1055.8	DS3B__0__20190128_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_080355.wav	Y	"bark, yelp"	faint	RS	3	3	No		yelp-bark-yelp		
310	Spectrogram 1	1	15742.587	15743.6367	1.05	22.587	65.5	1143.2	DS3B__0__20190128_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_080355.wav	Y	bark		RS	2*	1	No		bark	RS	
311	Spectrogram 1	1	15897.912	15898.8331	0.921	177.912	589.8	1026.7	DS3B__0__20190128_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_080355.wav	X	yelp		RS	3	1	No		yelp		
312	Spectrogram 1	1	16106.834	16107.798	0.964	124.834	728.2	1186.9	DS3B__0__20190128_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_100355.wav	X	yelp	very faint	RS	3	1	No		very faint yelp		
314	Spectrogram 1	1	16436.47	16438.0767	1.607	192.47	750	1150.5	DS3B__0__20190128_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_160355.wav	X		high ambient	RS	2	1	No		higher ambient		
315	Spectrogram 1	1	16344.345	16345.3518	1.007	100.345	750	1216	DS3B__0__20190128_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_160355.wav	X	yelp		RS	3	1	No		yelp		
317	Spectrogram 1	1	16652.781	16655.416	2.635	146.781	771.8	1223.3	DS3B__0__20190128_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190128_200355.wav	X	yelp	high ambient	RS	1*	2	No		high ambient	RS	yelp
318	Spectrogram 1	1	17001.313	17002.3413	1.028	233.313	109.2	1114.1	DS3B__0__20190129_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190129_080355.wav	Y	bark		RS	2*	1	No			RS	
324	Spectrogram 1	1	17073.091	17079.0679	5.977	43.091	699	1449	DS3B__0__20190130_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190130_180355.wav	X	yelp	3x faint yelp	RS	3	3	No		3x faint yelp		
326	Spectrogram 1	1	17533.159	17543.1205	9.962	241.159	87.4	2060.7	DS3B__0__20190131_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190131_120355.wav	Y	"bark, growl, yelp"	good one	RS	3	series	No		"good one, yelps-growl-barks"		
330	Spectrogram 1	1	17677.131	17678.0093	0.878	123.131	757.3	1631.1	DS3B__0__20190131_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190131_140355.wav	X	yelp		RS	3	1	No		yelp		
342	Spectrogram 1	1	18109.189	18110.2601	1.071	31.189	1240.7	1850.5	DS3B__0__20190201_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190201_160355.wav	X	yelp		RS	3	1	No		yelp		
377	Spectrogram 1	1	19307.052	19308.273	1.221	181.052	112.2	1745.3	DS3B__0__20190203_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190203_140355.wav	Y	bark	good	RS	3	1	No		bark		
384	Spectrogram 1	1	19393.909	19395.0872	1.178	5.909	420.6	946.3	DS3B__0__20190204_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190204_080355.wav	X			RS	2	1	No				
389	Spectrogram 1	1	19864.246	19868.1449	3.899	214.246	56.1	1261.7	DS3B__0__20190204_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190204_100355.wav	X	yelp	good one	RS	3	3	No		"good one, 3x yelps"		
394	Spectrogram 1	1	20053.966	20055.005	1.039	141.966	83.3	1343.3	DS3B__0__20190206_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190206_000355.wav	Y	bark		RS	3	1	No		bark	RS	
399	Spectrogram 1	1	19960.531	19961.5807	1.05	48.531	722.2	1722.2	DS3B__0__20190206_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190206_000355.wav	X			RS	3	1	No				
419	Spectrogram 1	1	20268.477	20269.3768	0.9	94.477	173.6	930.6	DS3B__0__20190206_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190206_160355.wav	Y	bark		RS	1*	1	No			RS	bark
434	Spectrogram 1	1	20537.602	20542.2523	4.65	101.602	138.9	840.3	DS3B__0__20190208_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190208_020355.wav	Y	bark	vary faint and with a broadbound noise in the middle	RS	3	series	No				
440	Spectrogram 1	1	20516.54	20520.7602	4.22	80.54	118.1	513.9	DS3B__0__20190208_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190208_020355.wav	Y	bark	with BS and two broadband noises overlapped	RS	3	3	No				
442	Spectrogram 1	1	20874.004	20874.7538	0.75	176.004	159.7	1388.9	DS3B__0__20190208_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190208_040355.wav	Y	bark		RS	3	1	No				
470	Spectrogram 1	1	21332.937	21334.1152	1.178	110.937	826.4	1243.1	DS3B__0__20190208_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190208_160355.wav	X	yelp	good one	RS	3	1	No		"good one, yelp"		
472	Spectrogram 1	1	21590.317	21591.1739	0.857	106.317	131.9	2006.9	DS3B__0__20190208_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190208_200355.wav	Y	bark		RS	1*	1	No			RS	bark
486	Spectrogram 1	1	21986.839	21987.8245	0.985	240.839	753.5	1371.5	DS3B__0__20190209_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190209_140355.wav	X	yelp		RS	1*	1	No			RS	Yelp
514	Spectrogram 1	1	22471.991	22483.8805	11.889	201.991	172.7	1330.9	DS3B__0__20190210_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190210_160355.wav	Y	"bark, yelp"	good one	RS	3	series	No			good one	
517	Spectrogram 1	1	22705.467	22706.5595	1.092	173.467	669.1	1086.3	DS3B__0__20190211_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190211_000355.wav	X			RS	3	1	No				
533	Spectrogram 1	1	23291.243	23292.8069	1.564	235.243	791.4	1287.8	DS3B__0__20190211_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190211_100355.wav	X		very faint	RS	2	1	No		very faint		
535	Spectrogram 1	1	23576.14	23577.661	1.521	258.14	71.9	1129.5	DS3B__0__20190211_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190211_220355.wav	X			RS	2	1	No				
536	Spectrogram 1	1	23596.863	23598.0198	1.157	16.863	834.5	1266.2	DS3B__0__20190212_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190212_000355.wav	X	yelp		RS	1*	1	No			RS	yelp
538	Spectrogram 1	1	23969.802	23970.8089	1.007	127.802	647.5	1345.3	DS3B__0__20190212_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190212_020355.wav	X			RS	3	1	No				
539	Spectrogram 1	1	23870.434	23872.0407	1.607	28.434	589.9	2374.1	DS3B__0__20190212_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190212_020355.wav	X			RS	3	1	No				
543	Spectrogram 1	1	24168.481	24169.3807	0.9	64.481	115.1	1208.6	DS3B__0__20190212_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190212_080355.wav	Y	bark	very faint	RS	2	1	No				
544	Spectrogram 1	1	24278.95	24279.9141	0.964	174.95	93.5	482	DS3B__0__20190212_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190212_080355.wav	X			RS	1*	1	No			RS	
555	Spectrogram 1	1	24683.606	24684.5272	0.921	55.606	109.8	1242.6	DS3B__0__20190212_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190212_160355.wav	Y	bark		RS	2	1	No				
566	Spectrogram 1	1	25034.486	25048.6463	14.16	144.486	109.8	1119	DS3B__0__20190213_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190213_120355.wav	Y	"bark, yelp"	faint and with BS overlapping	RS	3	series	No				
569	Spectrogram 1	1	25392.011	25392.9536	0.943	240.011	638.4	1173.9	DS3B__0__20190213_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190213_140355.wav	X			RS	3	1	No				
571	Spectrogram 1	1	25395.975	25398.5457	2.571	243.975	803.2	1929.1	DS3B__0__20190213_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190213_140355.wav	X		very faint	RS	2	2	No		very faint		
582	Spectrogram 1	1	25806.502	25807.7231	1.221	130.502	878.7	1620.1	DS3B__0__20190214_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190214_060355.wav	X			RS	2	1	No				
589	Spectrogram 1	1	26180.327	26181.5481	1.221	242.327	844.4	1359.3	DS3B__0__20190214_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190214_100355.wav	X			RS	2	1	No				
603	Spectrogram 1	1	26764.678	26784.2796	19.602	40.678	734.6	1791.8	DS3B__0__20190214_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190214_160355.wav	X		good one	RS	3	series	No		good one		
604	Spectrogram 1	1	26797.807	26802.1343	4.327	73.807	652.2	1180.8	DS3B__0__20190214_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190214_160355.wav	X		faint	RS	2	series	No		faint		
605	Spectrogram 1	1	27194.067	27195.4166	1.35	208.067	645.3	1160.2	DS3B__0__20190215_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190215_000355.wav	X			RS	3	1	No				
606	Spectrogram 1	1	27279.023	27280.4154	1.392	31.023	707.1	1208.2	DS3B__0__20190215_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190215_020355.wav	X			RS	3	1	No				
621	Spectrogram 1	1	27784.811	27785.625	0.814	12.811	672.8	1160.2	DS3B__0__20190215_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190215_140355.wav	X			RS	2	1	No				
625	Spectrogram 1	1	28233.285	28234.4204	1.135	199.285	954.2	1455.4	DS3B__0__20190215_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190215_180355.wav	X			RS	2	1	No				
626	Spectrogram 1	1	28311.922	28312.8646	0.943	15.922	768.9	1345.5	DS3B__0__20190215_220355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190215_220355.wav	X			RS	3	1	No				
675	Spectrogram 1	1	28873.755	28879.7747	6.02	53.755	267.7	1730	DS3B__0__20190217_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190217_140355.wav	Y	"bark, and ?"	There is at leat one bark in addition to other sounds	RS	1	2	No		unclassified	RS	
686	Spectrogram 1	1	29416.877	29417.6006	0.724	72.877	117.6	1059.2	DS3B__0__20190217_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190217_200355.wav	Y	bark		RS	1*	1	No			RS	
687	Spectrogram 1	1	29468.181	29469.4235	1.243	124.181	615	1175.4	DS3B__0__20190217_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190217_200355.wav	X			RS	3	1	No				
699	Spectrogram 1	1	30110.834	30111.648	0.814	242.834	117.5	767.3	DS3B__0__20190218_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190218_000355.wav	Y	bark	faint	RS	2	1	No				
701	Spectrogram 1	1	30182.617	30183.4953	0.878	52.617	318	663.6	DS3B__0__20190218_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190218_040355.wav	X			RS	2	1	No				
