	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
13	13	14	Spectrogram 1	1	82443.919561323	82444.15825479	78.014	879.433	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	237.0622	Y	1	0	X	B	FAINT	
14	14	15	Spectrogram 1	1	82444.736144237	82444.974837705	42.553	865.248	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	237.8788	Y	1	0	X	B	FAINT	
15	15	16	Spectrogram 1	1	82445.483631674	82445.6846367	35.461	921.986	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	238.6263	Y	1	0	X	B	FAINT	
16	16	17	Spectrogram 1	1	82446.268807554	82446.438405544	28.369	758.865	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	239.4115	Y	1	0	X	B	FAINT	
17	17	18	Spectrogram 1	1	82448.828442935	82449.02944796	78.014	822.695	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	241.9711	Y	1	0	X	B	FAINT	
18	18	19	Spectrogram 1	1	82449.531960523	82449.720402734	92.199	801.418	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	242.6746	Y	1	0	X	B	FAINT	
19	19	20	Spectrogram 1	1	83955.652519622	83955.947745753	744.681	1092.199	ST3_Site82_67371018.220520093709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520093709.wav	248.721	X	0	1	Y	Y		
20	20	21	Spectrogram 1	1	83956.594730678	83956.902519622	744.681	1163.121	ST3_Site82_67371018.220520093709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520093709.wav	249.6632	X	0	1	Y	Y		
21	21	22	Spectrogram 1	1	83957.518097512	83957.731665351	730.496	1078.014	ST3_Site82_67371018.220520093709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520093709.wav	250.5866	X	0	1	Y	Y		
22	22	23	Spectrogram 1	1	83960.780194377	83961.056576286	673.759	1085.106	ST3_Site82_67371018.220520093709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520093709.wav	253.8487	X	0	1	Y	Y		
23	23	24	Spectrogram 1	1	83961.709842618	83961.942254678	645.39	1049.645	ST3_Site82_67371018.220520093709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520093709.wav	254.7783	X	0	1	Y	Y		
24	24	25	Spectrogram 1	1	83966.119610734	83966.427399679	730.496	1021.277	ST3_Site82_67371018.220520093709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520093709.wav	259.1881	X	0	1	X	Y		
25	25	26	Spectrogram 1	1	91729.711286555	91730.012794093	1028.369	1439.716	ST3_Site82_67371018.220520114709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520114709.wav	222.5973	X	0	1	Y	Y		
26	26	27	Spectrogram 1	1	91732.439535078	91732.835263721	106.383	943.262	ST3_Site82_67371018.220520114709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520114709.wav	225.3255	Y	2	0	X	B		
27	27	28	Spectrogram 1	1	95389.052896496	95389.461187953	1134.752	1794.326	ST3_Site82_67371018.220520124709.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520124709.wav	281.6387	X	0	1	X	Y		
28	28	29	Spectrogram 1	1	125361.882947718	125362.674405004	468.085	2163.121	ST3_Site82_67371018.220520210710.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520210710.wav	251.8841	X	0	1	X	Y		
29	29	30	Spectrogram 1	1	125363.126666311	125368.40304822	92.199	1921.986	ST3_Site82_67371018.220520210710.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520210710.wav	253.1278	Y	5	6	X	BY	LOUD AND DISTORTED	
30	30	31	Spectrogram 1	1	128416.813770868	128417.353971873	794.326	1503.546	ST3_Site82_67371018.220520220210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520220210.wav	6.5408	X	0	1	X	Y		
31	31	32	Spectrogram 1	1	128418.638101748	128419.957197225	35.461	2099.291	ST3_Site82_67371018.220520220210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520220210.wav	8.3651	Y	2	2	X	BY	GOOD	
32	32	33	Spectrogram 1	1	130309.86214586	130310.09455792	815.603	1326.241	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	99.4836	X	0	1	X	Y		
33	33	34	Spectrogram 1	1	130314.078405961	130314.260566765	1106.383	1411.348	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	103.6999	X	0	1	Y	Y		
34	34	35	Spectrogram 1	1	130315.177652192	130315.843481338	950.355	1531.915	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	104.7992	X	0	1	Y	Y		
35	35	36	Spectrogram 1	1	130316.584687368	130316.986697419	978.723	1333.333	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	106.2062	X	0	1	Y	Y		
36	36	37	Spectrogram 1	1	130317.759310484	130318.142476313	907.801	1226.95	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	107.3808	X	0	1	Y	Y		
37	37	38	Spectrogram 1	1	130318.704695513	130319.106705563	7.092	1397.163	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	108.3262	X	1	1	Y	BY		
38	38	39	Spectrogram 1	1	130319.584092498	130319.778816116	42.553	985.816	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	109.2056	X	1	0	Y	B		
39	39	40	Spectrogram 1	1	130320.384636613	130320.579360231	35.461	1212.766	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	110.0061	Y	1	0	X	B		
40	40	41	Spectrogram 1	1	130321.220063748	130321.439912995	0.0	1226.95	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	110.8416	Y	1	0	X	B	FAINT	
41	41	42	Spectrogram 1	1	130321.977154741	130322.630421073	56.738	1276.596	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	111.5987	X	2	1	X	BY	TOO FAINT	
42	42	43	Spectrogram 1	1	130322.93192861	130325.563838158	21.277	1390.071	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	112.5534	Y	5	6	X	BY	FAINT	
43	43	44	Spectrogram 1	1	130326.402527511	130326.597251129	971.631	1170.213	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	116.024	X	0	1	X	Y		
44	44	45	Spectrogram 1	1	130327.200266204	130328.067100375	7.092	1730.496	ST3_Site82_67371018.220520223210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520223210.wav	116.8218	Y	2	2	X	BY		
45	45	46	Spectrogram 1	1	133886.664116081	133886.883965327	858.156	1510.638	ST3_Site82_67371018.220520233210.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520233210.wav	76.9706	X	0	1	X	Y		
46	46	47	Spectrogram 1	1	150694.249424754	150694.607464955	92.199	390.071	ST3_Site82_67371018.220521041211.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521041211.wav	83.1268	Y	1	0	X	G		
47	47	48	Spectrogram 1	1	158580.672583661	158581.087156526	234.043	2290.78	ST3_Site82_67371018.220521062211.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521062211.wav	168.8066	X	0	1	X	Y		
48	48	49	Spectrogram 1	1	163786.643848737	163786.888823611	936.17	1269.504	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	274.405	X	0	1	X	Y		
49	49	50	Spectrogram 1	1	163787.190331149	163787.447868837	964.539	1375.887	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	274.9515	X	0	1	X	Y		
50	50	51	Spectrogram 1	1	163787.730532154	163787.925255772	1056.738	1446.809	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	275.4917	X	0	1	X	Y		
51	51	52	Spectrogram 1	1	163789.256914063	163789.43279346	1042.553	1333.333	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	277.0181	X	0	1	X	Y		
52	52	53	Spectrogram 1	1	163789.834803511	163790.042089943	1085.106	1319.149	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	277.596	X	0	1	X	Y		
53	53	54	Spectrogram 1	1	163790.51319547	163790.764451752	1042.553	1340.426	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	278.2744	X	0	1	X	Y		
54	54	55	Spectrogram 1	1	163811.951414481	163812.133575285	1035.461	1283.688	ST3_Site82_67371018.220521074711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521074711.wav	299.7126	X	0	1	X	Y		
55	55	56	Spectrogram 1	1	163812.466489858	163812.686339104	943.262	1390.071	ST3_Site82_67371018.220521075211.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521075211.wav	0.1685	X	0	1	X	Y		
56	56	57	Spectrogram 1	1	163813.038097898	163813.188851667	1092.199	1319.149	ST3_Site82_67371018.220521075211.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521075211.wav	0.7401	X	0	1	X	Y		
57	57	58	Spectrogram 1	1	166075.224435731	166075.538506083	971.631	1347.518	ST3_Site82_67371018.220521082711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521082711.wav	162.7756	X	0	1	X	Y		
58	58	59	Spectrogram 1	1	166075.927953319	166076.474435731	936.17	1226.95	ST3_Site82_67371018.220521082711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521082711.wav	163.4791	X	0	1	X	Y		
59	59	60	Spectrogram 1	1	166076.568656836	166076.838757339	865.248	1312.057	ST3_Site82_67371018.220521082711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521082711.wav	164.1198	X	0	1	X	Y		
60	60	61	Spectrogram 1	1	166108.669900518	166108.914875392	1170.213	1404.255	ST3_Site82_67371018.220521082711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521082711.wav	196.2211	X	0	1	X	Y		
61	61	62	Spectrogram 1	1	166109.78799097	166109.995277402	1085.106	1432.624	ST3_Site82_67371018.220521082711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521082711.wav	197.3392	X	0	1	X	Y		
62	62	63	Spectrogram 1	1	166110.566885443	166110.968895493	1156.028	1617.021	ST3_Site82_67371018.220521082711.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521082711.wav	198.1181	X	0	1	X	Y		
63	63	64	Spectrogram 1	1	213652.628027706	213652.910691023	872.34	1269.504	ST3_Site82_67371018.220521214213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521214213.wav	36.1169	X	0	1	X	Y		
64	64	65	Spectrogram 1	1	213653.08657042	213653.293856852	879.433	1276.596	ST3_Site82_67371018.220521214213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521214213.wav	36.5754	X	0	1	X	Y		
65	65	66	Spectrogram 1	1	213653.463454842	213653.633052832	843.972	1276.596	ST3_Site82_67371018.220521214213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521214213.wav	36.9523	X	0	1	X	Y		
66	66	67	Spectrogram 1	1	213653.953404591	213654.148128209	886.525	1283.688	ST3_Site82_67371018.220521214213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220521214213.wav	37.4422	X	0	1	X	Y		
67	67	68	Spectrogram 1	1	223983.01488929	223983.674437028	85.106	1404.255	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	165.6429	Y	1	1	X	BY		
68	68	69	Spectrogram 1	1	223984.484738536	223984.723432003	723.404	1205.674	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	167.1127	X	0	1	X	Y		
69	69	70	Spectrogram 1	1	223987.33649733	223987.562627983	744.681	985.816	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	169.9645	X	0	1	X	Y		
70	70	71	Spectrogram 1	1	223994.155623116	223994.519944724	787.234	1248.227	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	176.7836	X	0	1	X	Y		
71	71	72	Spectrogram 1	1	224073.471994154	224073.6918434	581.56	950.355	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	256.1	X	0	1	Y	Y		
72	72	73	Spectrogram 1	1	224075.073752948	224075.588828325	624.113	943.262	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	257.7018	X	0	1	X	Y		
73	73	74	Spectrogram 1	1	224082.21411608	224082.49049799	737.589	1056.738	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	264.8421	X	0	1	X	Y		
74	74	75	Spectrogram 1	1	224086.348263227	224086.57439388	666.667	1070.922	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	268.9763	X	0	1	X	Y		
75	75	76	Spectrogram 1	1	224090.717560129	224091.088163145	709.22	1092.199	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	273.3456	X	0	1	X	Y		
76	76	77	Spectrogram 1	1	224113.315548744	224113.547960804	744.681	1177.305	ST3_Site82_67371018.220522003213.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003213.wav	295.9436	X	0	1	X	Y		
77	77	78	Spectrogram 1	1	224124.05771608	224124.296409548	709.22	1184.397	ST3_Site82_67371018.220522003713.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220522003713.wav	6.6206	X	0	1	X	Y		
