	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment
12	12	13	Spectrogram 1	1	2979.981047005	2980.296106866	968.61	1479.821	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	279.7827	X	0	1	Y	Y	BS >1KHZ
13	13	14	Spectrogram 1	1	2982.564537868	2982.785079771	928.251	1183.857	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	282.3662	X	0	1	Y	Y	BS >1KHZ
14	14	15	Spectrogram 1	1	2985.522361429	2985.742903332	928.251	1156.951	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	285.324	X	0	1	Y	Y	BS >1KHZ
15	15	16	Spectrogram 1	1	2988.925007932	2989.120345046	934.978	1183.857	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	288.7267	X	0	1	Y	Y	BS >1KHZ
16	16	17	Spectrogram 1	1	2994.485391415	2994.661824938	1008.969	1298.206	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	294.2871	X	0	1	Y	Y	BS >1KHZ
17	17	18	Spectrogram 1	1	3324.589365816	3324.778401733	376.682	820.628	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	24.2959	X	0	1	X	Y	
18	18	19	Spectrogram 1	1	3325.043052016	3325.660569345	107.623	847.534	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	24.7496	Y	2	1	X	BY	
19	19	20	Spectrogram 1	1	3325.843304064	3326.334797448	87.444	860.987	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	25.5498	Y	1	1	X	BY	
20	20	21	Spectrogram 1	1	3329.183736375	3329.631121378	107.623	780.269	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	28.8902	Y	1	1	X	BY	
21	21	22	Spectrogram 1	1	3329.832759689	3330.040699198	80.717	686.099	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	29.5393	Y	1	0	X	B	
22	22	23	Spectrogram 1	1	3330.179325537	3330.349457862	67.265	753.363	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	29.8858	Y	1	0	X	B	
23	23	24	Spectrogram 1	1	3330.607806948	3330.777939273	73.991	686.099	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	30.3143	Y	1	0	X	B	
24	24	25	Spectrogram 1	1	3330.954372796	3331.534082941	80.717	1304.933	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	30.6609	Y	2	1	X	BY	
25	25	26	Spectrogram 1	1	3331.628600899	3332.063383508	73.991	766.816	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	31.3351	Y	1	1	X	BY	
26	26	27	Spectrogram 1	1	3332.145299072	3332.567479286	67.265	793.722	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	31.8518	Y	1	1	X	BY	
27	27	28	Spectrogram 1	1	3332.970755909	3333.121984642	275.785	719.731	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	32.6773	Y	1	0	X	B	
28	28	30	Spectrogram 1	1	3336.060299372	3336.400564022	73.991	551.57	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	35.7668	M	1	0	X	B	
29	29	31	Spectrogram 1	1	3336.551792756	3336.904659801	60.538	450.673	ST2_Site5_67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513180342.wav	36.2583	M	1	0	X	B	
30	30	32	Spectrogram 1	1	6319.402745035	6319.679997713	874.439	1130.045	ST2_Site5_67145740.220513185342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513185342.wav	18.8532	X	0	1	X	Y	
31	31	33	Spectrogram 1	1	14200.975527278	14201.26538235	73.991	531.39	ST2_Site5_67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513210343.wav	99.7884	X	0	1	X	B	Not sure what this is 
32	32	34	Spectrogram 1	1	14201.454418267	14201.649755381	100.897	289.238	ST2_Site5_67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513210343.wav	100.2673	X	0	1	X	B	Not sure what this is 
33	33	35	Spectrogram 1	1	14202.223164329	14202.815476868	80.717	417.04	ST2_Site5_67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513210343.wav	101.036	X	0	1	X	B	Not sure what this is 
34	34	36	Spectrogram 1	1	14203.716548072	14203.855174411	94.17	322.87	ST2_Site5_67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513210343.wav	102.5294	X	0	1	X	B	Not sure what this is 
35	35	37	Spectrogram 1	1	14224.214203409	14224.466251298	127.803	376.682	ST2_Site5_67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513210343.wav	123.027	Y	1	0	X	G	Growl
36	36	38	Spectrogram 1	1	14225.027057851	14225.27910574	127.803	363.229	ST2_Site5_67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513210343.wav	123.8399	Y	1	0	X	G	Growl
37	37	39	Spectrogram 1	1	14730.476294862	14730.734643948	827.354	1163.677	ST2_Site5_67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513211343.wav	29.26	X	0	1	X	Y	
38	38	40	Spectrogram 1	1	14731.383667262	14731.61681156	901.345	1190.583	ST2_Site5_67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513211343.wav	30.1673	X	0	1	X	Y	
39	39	41	Spectrogram 1	1	14732.083100155	14732.291039663	887.892	1163.677	ST2_Site5_67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513211343.wav	30.8668	X	0	1	X	Y	
40	40	42	Spectrogram 1	1	14734.786313765	14734.950144893	739.91	982.063	ST2_Site5_67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513211343.wav	33.57	X	0	1	X	Y	
41	41	43	Spectrogram 1	1	16007.397895753	16009.849061475	692.825	1991.031	ST2_Site5_67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513213343.wav	106.0536	X	0	1	X	Y	
42	42	44	Spectrogram 1	1	16010.233434505	16010.895060214	786.996	1109.865	ST2_Site5_67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513213343.wav	108.8891	X	0	1	X	Y	
43	43	45	Spectrogram 1	1	16011.247927259	16011.569288318	800.448	1237.668	ST2_Site5_67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513213343.wav	109.9036	X	0	1	X	Y	
44	44	46	Spectrogram 1	1	16012.753913396	16013.062672061	807.175	1224.215	ST2_Site5_67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513213343.wav	111.4096	X	0	1	X	Y	
45	45	47	Spectrogram 1	1	16014.967392416	16016.725426442	598.655	1506.726	ST2_Site5_67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513213343.wav	113.6231	X	0	1	X	Y	
46	46	48	Spectrogram 1	1	20684.344206018	20685.131855671	1096.413	1876.682	ST2_Site5_67145740.220513224843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513224843.wav	283.5512	X	0	1	X	Y	
47	47	49	Spectrogram 1	1	22444.890529514	22445.722287548	60.538	2973.094	ST2_Site5_67145740.220513231843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513231843.wav	243.9215	Y	1	1	X	BY	CLOSE
48	48	50	Spectrogram 1	1	22446.692671921	22447.600044322	53.812	2959.641	ST2_Site5_67145740.220513231843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513231843.wav	245.7237	Y	2	1	X	BY	CLOSE
49	49	51	Spectrogram 1	1	22448.350766188	22450.09619782	47.085	2286.996	ST2_Site5_67145740.220513231843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513231843.wav	247.3818	Y	3	2	X	BY	CLOSE
50	50	52	Spectrogram 1	1	23058.204085516	23058.689277703	67.265	2677.13	ST2_Site5_67145740.220513232843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513232843.wav	257.1852	Y	1	1	X	BY	
51	51	53	Spectrogram 1	1	25026.561764428	25026.757101542	665.919	1170.404	ST2_Site5_67145740.220514000343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514000343.wav	125.4048	X	0	1	X	Y	
52	52	54	Spectrogram 1	1	25089.843965909	25090.278748518	141.256	2899.103	ST2_Site5_67145740.220514000343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514000343.wav	188.687	Y	1	1	X	BY	
53	53	55	Spectrogram 1	1	25827.513333171	25829.447800719	73.991	2643.498	ST2_Site5_67145740.220514001843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514001843.wav	26.2422	X	4	1	Y	B	Overlap BS <1kHz
54	54	56	Spectrogram 1	1	26032.737834086	26033.569592121	47.085	1156.951	ST2_Site5_67145740.220514001843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514001843.wav	231.4667	Y	1	1	Y	BY	Faint BS overlap <1kHz
55	55	57	Spectrogram 1	1	26040.50141588	26040.784969755	739.91	2031.39	ST2_Site5_67145740.220514001843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514001843.wav	239.2303	X	0	2	Y	Y	BS <1KHZ
56	56	58	Spectrogram 1	1	26157.024138202	26157.566041163	396.861	2199.552	ST2_Site5_67145740.220514002343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514002343.wav	55.7323	Y	1	1	X	BY	
57	57	59	Spectrogram 1	1	26157.673161516	26158.775871031	396.861	1284.753	ST2_Site5_67145740.220514002343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514002343.wav	56.3813	X	0	4	X	Y	
58	58	60	Spectrogram 1	1	26828.107373818	26829.184878543	53.812	369.955	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	126.7555	Y	1	0	X	G	
59	59	61	Spectrogram 1	1	26832.253759623	26833.30605956	33.632	430.493	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	130.9019	Y	1	0	X	G	
60	60	62	Spectrogram 1	1	26838.941892116	26839.401879514	53.812	464.126	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	137.5901	Y	1	0	X	G	
61	61	63	Spectrogram 1	1	26843.045526612	26843.316478093	13.453	437.22	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	141.6937	Y	1	0	X	G	
62	62	64	Spectrogram 1	1	26843.562224785	26843.883585843	67.265	450.673	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	142.2104	Y	1	0	X	G	
63	63	65	Spectrogram 1	1	26848.043168131	26849.252997999	53.812	443.946	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	146.6913	Y	1	0	X	G	
64	64	66	Spectrogram 1	1	26853.090060186	26853.335806878	100.897	336.323	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	151.7382	Y	1	0	X	G	
65	65	67	Spectrogram 1	1	26853.631963147	26854.079348151	100.897	423.767	ST2_Site5_67145740.220514003343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003343.wav	152.2801	Y	1	0	X	G	
66	66	68	Spectrogram 1	1	27140.434389182	27140.623425098	40.359	679.372	ST2_Site5_67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003843.wav	139.0427	Y	1	0	X	B	
67	67	69	Spectrogram 1	1	27229.091102218	27229.273836938	813.901	1331.839	ST2_Site5_67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003843.wav	227.6994	X	0	1	X	Y	
68	68	70	Spectrogram 1	1	27229.670812363	27229.941763844	760.09	1062.78	ST2_Site5_67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003843.wav	228.2791	X	0	1	X	Y	
69	69	71	Spectrogram 1	1	27230.004775816	27230.174908141	60.538	329.596	ST2_Site5_67145740.220514003843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514003843.wav	228.6131	Y	1	0	X	B	
70	70	72	Spectrogram 1	1	27485.529512656	27485.693343784	934.978	1217.489	ST2_Site5_67145740.220514004343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514004343.wav	184.15	X	0	1	X	Y	
71	71	73	Spectrogram 1	1	28020.489007689	28020.652838817	1130.045	1466.368	ST2_Site5_67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005343.wav	119.0235	X	0	1	X	Y	
72	72	74	Spectrogram 1	1	28025.42180249	28025.768368337	773.543	1331.839	ST2_Site5_67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005343.wav	123.9563	X	0	1	X	Y	
73	73	75	Spectrogram 1	1	28118.968041021	28119.163378135	928.251	1345.291	ST2_Site5_67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005343.wav	217.5025	X	0	1	Y	Y	BS >1KHZ
74	74	76	Spectrogram 1	1	28116.49167051	28116.642899244	1190.583	1405.83	ST2_Site5_67145740.220514005343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005343.wav	215.0262	X	0	1	Y	Y	BS >1KHZ
75	75	77	Spectrogram 1	1	28381.576085442	28381.727314175	780.269	1002.242	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	180.0966	X	0	1	X	Y	
76	76	78	Spectrogram 1	1	28383.082071579	28383.214396721	827.354	1082.96	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	181.6026	X	0	1	X	Y	
77	77	79	Spectrogram 1	1	28379.679425077	28379.887364585	121.076	928.251	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	178.1999	Y	1	0	X	B	
78	78	84	Spectrogram 1	1	28377.991868924	28379.403337103	60.538	605.381	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	176.5124	X	1	0	X	B	MAYBE GROWL BUT NOT SURE
79	79	85	Spectrogram 1	1	28380.314599676	28380.543853801	87.444	975.336	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	178.8351	Y	1	0	X	B	
80	80	87	Spectrogram 1	1	28390.389759839	28390.591398151	706.278	1116.592	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	188.9103	X	0	1	X	Y	
81	81	88	Spectrogram 1	1	28407.477698314	28407.830565359	659.193	1022.422	ST2_Site5_67145740.220514005843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514005843.wav	205.9982	X	0	1	Y	Y	STATIC AND BS <1KHZ
82	82	89	Spectrogram 1	1	28974.307471206	28974.528013109	430.493	706.278	ST2_Site5_67145740.220514010843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514010843.wav	172.751	X	0	1	X	Y	
83	83	90	Spectrogram 1	1	28976.097011218	28976.279745938	484.305	699.552	ST2_Site5_67145740.220514010843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514010843.wav	174.5405	X	0	1	X	Y	
84	84	91	Spectrogram 1	1	29150.408749741	29150.749014391	760.09	2650.224	ST2_Site5_67145740.220514011343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514011343.wav	48.8128	X	0	1	X	Y	
85	85	92	Spectrogram 1	1	29151.215302986	29151.52406165	793.722	2549.327	ST2_Site5_67145740.220514011343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514011343.wav	49.6193	X	0	1	X	Y	
86	86	93	Spectrogram 1	1	32000.614163849	32000.790597371	847.534	1143.498	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	198.8457	X	0	1	X	Y	
87	87	94	Spectrogram 1	1	32049.240021859	32049.454262565	618.834	1082.96	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	247.4715	X	0	1	X	Y	
88	88	95	Spectrogram 1	1	32046.341471134	32046.517904657	679.372	1022.422	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	244.573	X	0	1	X	Y	
89	89	96	Spectrogram 1	1	32050.223008626	32050.462454121	632.287	1076.233	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	248.4545	X	0	1	X	Y	
90	90	97	Spectrogram 1	1	32052.1007654	32052.302403711	639.013	1035.874	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	250.3323	X	0	1	X	Y	
91	91	98	Spectrogram 1	1	32052.982933012	32053.140462943	665.919	901.345	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	251.2144	X	0	1	X	Y	
92	92	99	Spectrogram 1	1	32053.770582665	32054.091943724	665.919	1096.413	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	252.0021	X	0	1	X	Y	
93	93	100	Spectrogram 1	1	32057.606269824	32057.789004543	713.004	1015.695	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	255.8378	X	0	1	X	Y	
94	94	101	Spectrogram 1	1	32061.676843233	32061.884782741	639.013	1056.054	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	259.9083	X	0	1	X	Y	
95	95	102	Spectrogram 1	1	32063.113051443	32063.402906515	531.39	860.987	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	261.3446	X	0	1	X	Y	
96	96	103	Spectrogram 1	1	32062.558546087	32062.785389187	147.982	1385.65	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	260.79	X	0	1	X	Y	
97	97	104	Spectrogram 1	1	32097.597468696	32098.007046515	134.529	356.502	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	295.829	Y	1	0	X	G	
98	98	105	Spectrogram 1	1	32100.672452943	32101.264765482	154.709	329.596	ST2_Site5_67145740.220514015843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514015843.wav	298.9039	Y	1	0	X	G	
99	99	106	Spectrogram 1	1	32147.549775173	32148.135786515	100.897	269.058	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	45.7494	Y	1	0	X	G	
100	100	107	Spectrogram 1	1	32350.733128049	32351.369548969	87.444	1224.215	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	248.9328	X	0	1	Y	Y	BS <1KHZ
101	101	108	Spectrogram 1	1	32357.358528216	32357.818515614	470.852	2535.874	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	255.5582	X	0	1	X	Y	
102	102	109	Spectrogram 1	1	32359.75928436	32360.086946616	376.682	1338.565	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	257.9589	X	0	1	X	Y	
103	103	110	Spectrogram 1	1	32362.229353673	32362.569618323	726.457	1466.368	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	260.429	X	0	1	X	Y	
104	104	111	Spectrogram 1	1	32365.544158273	32366.136470813	497.758	1695.067	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	263.7438	X	0	1	X	Y	
105	105	112	Spectrogram 1	1	32366.180579193	32366.672072577	766.816	1419.283	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	264.3802	X	0	1	X	Y	
106	106	113	Spectrogram 1	1	32370.354345839	32370.908851195	134.529	1439.462	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	268.554	X	0	1	X	Y	
107	107	114	Spectrogram 1	1	32373.883016286	32374.273690514	87.444	1251.121	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	272.0827	X	0	1	X	Y	
108	108	115	Spectrogram 1	1	32379.430148744	32379.9846541	491.031	2078.475	ST2_Site5_67145740.220514020343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514020343.wav	277.6298	X	0	1	X	Y	
109	109	116	Spectrogram 1	1	33148.903884329	33149.407980107	605.381	1224.215	ST2_Site5_67145740.220514021843.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514021843.wav	146.9962	X	0	1	X	Y	
110	110	117	Spectrogram 1	1	35881.402410246	35881.629253346	807.175	1062.78	ST2_Site5_67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514030343.wav	179.3106	X	0	1	Y	Y	BS >1KHZ
111	111	118	Spectrogram 1	1	35882.725661664	35882.946203566	800.448	1049.327	ST2_Site5_67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514030343.wav	180.6338	X	0	1	Y	Y	BS >1KHZ
112	112	119	Spectrogram 1	1	35884.332466957	35884.842863932	773.543	1116.592	ST2_Site5_67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514030343.wav	182.2406	X	0	1	Y	Y	BS >1KHZ
113	113	120	Spectrogram 1	1	35885.309152527	35885.718730347	760.09	1022.422	ST2_Site5_67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514030343.wav	183.2173	X	0	1	Y	Y	BS >1KHZ
114	114	121	Spectrogram 1	1	35888.02836341	35888.18589334	847.534	1029.148	ST2_Site5_67145740.220514030343.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220514030343.wav	185.9365	X	0	1	Y	Y	BS >1KHZ
