Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	File Offset (s)		KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
34	Spectrogram 1	1	4386.315015000	4386.804965000	98.093	1201.635	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	ST3_Site5_67371018.220517194202.wav	186.0105	31	X	1	1	Y	BY		
35	Spectrogram 1	1	4403.111499000	4404.543660000	32.698	1798.365	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	ST3_Site5_67371018.220517194202.wav	202.8070	32	Y	2	2	Y	BY		
36	Spectrogram 1	1	4566.803857000	4567.011143000	98.093	1267.030	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	66.4412	33	Y	1	0	X	B		
37	Spectrogram 1	1	4571.295063000	4571.470942000	65.395	874.659	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	70.9324	34	Y	1	0	X	B		
38	Spectrogram 1	1	4625.683038000	4626.970726000	57.221	2043.597	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	125.3204	35	Y	2	2	X	BY		
39	Spectrogram 1	1	4631.886533000	4632.200603000	465.940	1814.714	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	131.5239	36	X	0	1	X	Y		
40	Spectrogram 1	1	4638.966257000	4640.718770000	0.000	1528.610	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	138.6036	37	Y	3	3	X	BY	GOOD	
41	Spectrogram 1	1	4648.730142000	4649.163559000	81.744	1226.158	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	148.3675	38	Y	1	1	X	BY		
42	Spectrogram 1	1	4656.347133000	4656.560701000	32.698	1831.063	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	155.9845	39	Y	1	0	X	B		
43	Spectrogram 1	1	4656.975273000	4657.716479000	49.046	1128.065	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	156.6126	40	Y	2	2	X	BY		
44	Spectrogram 1	1	4664.712307000	4664.900749000	49.046	792.916	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	164.3496	41	Y	1	0	Y	B		
45	Spectrogram 1	1	4665.503764000	4666.690950000	16.349	1561.308	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194702.wav	ST3_Site5_67371018.220517194702.wav	165.1411	42	Y	2	2	Y	BY		
46	Spectrogram 1	1	4832.024512000	4833.789588000	65.395	449.591	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517195202.wav	ST3_Site5_67371018.220517195202.wav	31.6505	43	Y	1	0	X	G		
47	Spectrogram 1	1	4918.986347000	4920.236347000	8.174	408.719	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517195202.wav	ST3_Site5_67371018.220517195202.wav	118.6123	44	Y	1	0	Y	G		
48	Spectrogram 1	1	5524.328801000	5525.019755000	81.744	482.289	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517200202.wav	ST3_Site5_67371018.220517200202.wav	123.9013	45	Y	1	0	X	G		
49	Spectrogram 1	1	5841.049648000	5841.269498000	57.221	727.520	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517200702.wav	ST3_Site5_67371018.220517200702.wav	140.5510	46	Y	1	0	X	B		
50	Spectrogram 1	1	6104.436286000	6104.668698000	106.267	817.439	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	ST3_Site5_67371018.220517201202.wav	103.9619	47	Y	1	0	X	B		
51	Spectrogram 1	1	6105.051864000	6105.447592000	98.093	858.311	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	ST3_Site5_67371018.220517201202.wav	104.5775	48	Y	2	0	X	B		
52	Spectrogram 1	1	6106.534276000	6106.779251000	89.918	653.951	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	ST3_Site5_67371018.220517201202.wav	106.0599	49	Y	1	0	Y	B		
54	Spectrogram 1	1	6122.990656000	6123.229350000	1079.019	1618.529	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	ST3_Site5_67371018.220517201202.wav	122.5163	50	X	0	1	X	Y		
55	Spectrogram 1	1	6122.023319000	6122.324827000	768.392	1536.785	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517201202.wav	ST3_Site5_67371018.220517201202.wav	121.5490	51	X	0	1	X	Y		
56	Spectrogram 1	1	7290.642448000	7293.054508000	57.221	1193.460	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203202.wav	ST3_Site5_67371018.220517203202.wav	90.0404	52	Y	1	1	X	BY		
57	Spectrogram 1	1	7715.548508000	7715.705543000	57.221	907.357	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	214.9480	53	Y	1	0	X	B		
58	Spectrogram 1	1	7716.170367000	7716.333684000	65.395	792.916	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	215.5699	54	Y	1	0	X	B		
59	Spectrogram 1	1	7717.426648000	7717.621372000	89.918	1111.717	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	216.8261	55	Y	1	0	X	B		
60	Spectrogram 1	1	7716.616347000	7716.848759000	98.093	784.741	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	216.0158	56	Y	1	0	X	B		
61	Spectrogram 1	1	7743.843955000	7744.076367000	49.046	719.346	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	243.2435	57	Y	1	0	X	B		
62	Spectrogram 1	1	7745.414306000	7745.609030000	57.221	727.520	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	244.8138	58	Y	1	0	X	B		
63	Spectrogram 1	1	7746.544960000	7746.777372000	1005.450	1422.343	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	245.9445	59	X	0	1	X	Y		
64	Spectrogram 1	1	7796.401619000	7796.621468000	694.823	1079.019	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517203702.wav	ST3_Site5_67371018.220517203702.wav	295.8011	60	X	0	1	X	Y		
65	Spectrogram 1	1	7809.579939000	7809.843758000	1046.322	1397.820	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	ST3_Site5_67371018.220517204202.wav	8.9554	61	X	0	1	X	Y		
66	Spectrogram 1	1	7830.850076000	7831.032237000	81.744	727.520	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	ST3_Site5_67371018.220517204202.wav	30.2256	62	Y	1	0	X	B		
67	Spectrogram 1	1	7832.313644000	7832.564900000	73.569	531.335	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	ST3_Site5_67371018.220517204202.wav	31.6891	63	Y	1	0	X	B		
68	Spectrogram 1	1	7831.861382000	7832.109598000	833.787	1152.589	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	ST3_Site5_67371018.220517204202.wav	31.2369	64	X	0	1	X	Y		
69	Spectrogram 1	1	7839.578191000	7839.779196000	915.531	1160.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517204202.wav	ST3_Site5_67371018.220517204202.wav	38.9537	65	X	0	1	X	Y		
70	Spectrogram 1	1	8771.600566000	8771.820415000	711.172	1038.147	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517205702.wav	ST3_Site5_67371018.220517205702.wav	70.8477	66	X	0	1	X	Y		
71	Spectrogram 1	1	8807.482647000	8807.671089000	1152.589	1389.646	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517205702.wav	ST3_Site5_67371018.220517205702.wav	106.7298	67	X	0	1	X	Y		
72	Spectrogram 1	1	8808.864556000	8809.046717000	1046.322	1455.041	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517205702.wav	ST3_Site5_67371018.220517205702.wav	108.1117	68	X	0	1	X	Y		
73	Spectrogram 1	1	9053.276696000	9053.879711000	73.569	335.150	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210202.wav	ST3_Site5_67371018.220517210202.wav	52.5302	69	Y	1	0	X	G		
74	Spectrogram 1	1	9054.206344000	9054.602073000	57.221	294.278	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210202.wav	ST3_Site5_67371018.220517210202.wav	53.4598	70	Y	1	0	X	G		
75	Spectrogram 1	1	9440.674426000	9441.528697000	874.659	2288.828	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	ST3_Site5_67371018.220517210702.wav	139.9181	71	X	0	1	X	Y		
76	Spectrogram 1	1	9443.274928000	9444.242265000	760.218	1479.564	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	ST3_Site5_67371018.220517210702.wav	142.5186	72	X	0	1	X	Y		
77	Spectrogram 1	1	9451.839398000	9452.115780000	719.346	1634.877	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	ST3_Site5_67371018.220517210702.wav	151.0831	73	X	0	1	X	Y		
78	Spectrogram 1	1	9453.001459000	9453.265278000	702.997	1561.308	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	ST3_Site5_67371018.220517210702.wav	152.2451	74	X	0	1	X	Y		
79	Spectrogram 1	1	9454.088142000	9454.364524000	686.649	1316.076	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	ST3_Site5_67371018.220517210702.wav	153.3318	75	X	0	1	X	Y		
80	Spectrogram 1	1	9455.294172000	9455.532866000	564.033	1299.728	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517210702.wav	ST3_Site5_67371018.220517210702.wav	154.5378	76	X	0	1	X	Y		
81	Spectrogram 1	1	9960.167255000	9960.336853000	752.044	1038.147	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517211702.wav	ST3_Site5_67371018.220517211702.wav	59.3796	77	X	0	1	X	Y		
82	Spectrogram 1	1	10179.078470000	10179.725460000	49.046	719.346	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517211702.wav	ST3_Site5_67371018.220517211702.wav	278.2908	78	Y	1	0	X	G		
83	Spectrogram 1	1	10595.552190000	10595.853700000	989.101	1708.447	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517212702.wav	ST3_Site5_67371018.220517212702.wav	94.6767	79	X	0	1	X	Y		
84	Spectrogram 1	1	10707.675280000	10708.988100000	24.523	400.545	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517212702.wav	ST3_Site5_67371018.220517212702.wav	206.7998	80	Y	1	0	Y	G		
85	Spectrogram 1	1	13181.331550000	13181.633060000	482.289	899.183	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517220702.wav	ST3_Site5_67371018.220517220702.wav	280.2616	81	X	0	1	X	Y		
86	Spectrogram 1	1	13371.924190000	13372.514640000	662.125	1896.458	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	170.8305	82	X	0	1	X	Y		
87	Spectrogram 1	1	13382.214650000	13382.911890000	637.602	2043.597	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	181.1210	83	X	0	1	X	Y		
88	Spectrogram 1	1	13428.076960000	13428.460130000	506.812	1912.807	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	226.9833	84	X	0	1	Y	Y		
89	Spectrogram 1	1	13437.307790000	13437.678390000	702.997	1160.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	236.2141	85	X	0	1	Y	Y		
90	Spectrogram 1	1	13438.953510000	13439.298990000	621.253	964.578	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	237.8598	86	X	0	1	Y	Y		
91	Spectrogram 1	1	13445.163300000	13446.381900000	73.569	1749.319	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	244.0696	87	Y	2	2	Y	BY	FAINT OVERLAP	
92	Spectrogram 1	1	13493.831210000	13494.534730000	825.613	1822.888	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221202.wav	ST3_Site5_67371018.220517221202.wav	292.7375	88	X	0	1	X	Y		
93	Spectrogram 1	1	13504.779630000	13505.238170000	637.602	1046.322	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221702.wav	ST3_Site5_67371018.220517221702.wav	3.6553	89	X	0	1	X	Y		
94	Spectrogram 1	1	13510.292580000	13510.543840000	523.161	1602.180	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221702.wav	ST3_Site5_67371018.220517221702.wav	9.1683	90	X	0	1	X	Y		
95	Spectrogram 1	1	13516.234210000	13516.523150000	752.044	1070.845	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517221702.wav	ST3_Site5_67371018.220517221702.wav	15.1099	91	X	0	1	X	Y		
96	Spectrogram 1	1	15074.197300000	15074.611880000	81.744	580.381	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	72.9240	92	Y	2	0	X	B		
97	Spectrogram 1	1	15072.381980000	15073.355600000	89.918	441.417	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	71.1086	93	X	3	0	X	B	TOO FAINT	
98	Spectrogram 1	1	15075.911750000	15076.979590000	49.046	490.463	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	74.6384	94	X	3	0	Y	B		
99	Spectrogram 1	1	15078.575070000	15079.222060000	98.093	433.243	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	77.3017	95	X	2	0	Y	B		
100	Spectrogram 1	1	15080.214520000	15081.024820000	106.267	416.894	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	78.9412	96	Y	3	0	X	B		
101	Spectrogram 1	1	15085.981590000	15086.389890000	98.093	572.207	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	84.7083	97	Y	2	0	X	B		
102	Spectrogram 1	1	15086.999180000	15087.715260000	98.093	465.940	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	85.7258	98	Y	3	0	X	B		
103	Spectrogram 1	1	15088.079580000	15088.600940000	130.790	506.812	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	86.8063	99	Y	2	0	X	B		
104	Spectrogram 1	1	15089.637370000	15090.604710000	98.093	564.033	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	88.3640	100	Y	3	0	X	B		
105	Spectrogram 1	1	15091.572050000	15091.754210000	179.837	523.161	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	90.2987	101	Y	1	0	X	B		
106	Spectrogram 1	1	15095.851890000	15097.717470000	147.139	1144.414	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	94.5786	102	Y	5	2	X	BY		
107	Spectrogram 1	1	15094.520230000	15094.721240000	752.044	1373.297	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	93.2469	103	X	0	1	X	Y		
108	Spectrogram 1	1	15108.275220000	15109.035270000	73.569	433.243	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224202.wav	ST3_Site5_67371018.220517224202.wav	107.0019	104	Y	1	0	X	G		
109	Spectrogram 1	1	15537.459140000	15537.854870000	833.787	1152.589	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517224702.wav	ST3_Site5_67371018.220517224702.wav	236.1713	105	X	0	1	Y	Y		
110	Spectrogram 1	1	15771.936970000	15772.301290000	32.698	310.627	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517225202.wav	ST3_Site5_67371018.220517225202.wav	170.6561	106	X	1	0	X	G		
111	Spectrogram 1	1	16486.990990000	16487.725910000	670.300	1659.401	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517230202.wav	ST3_Site5_67371018.220517230202.wav	285.6587	107	X	0	1	X	Y		
113	Spectrogram 1	1	16565.319770000	16565.627560000	49.046	376.022	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517230702.wav	ST3_Site5_67371018.220517230702.wav	63.9503	108	X	1	0	X	G	TOO FAINT	
114	Spectrogram 1	1	17101.533600000	17101.935610000	188.011	2664.850	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	0.1354	109	X	0	1	X	Y		
115	Spectrogram 1	1	17102.205710000	17102.500930000	825.613	1479.564	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	0.8075	110	Y	1	1	X	BY		
116	Spectrogram 1	1	17104.536110000	17105.032340000	743.869	1103.542	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	3.1379	111	X	0	1	X	Y		
118	Spectrogram 1	1	17113.649370000	17113.982290000	784.741	1291.553	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	12.2512	112	X	0	1	Y	Y		
119	Spectrogram 1	1	17121.729160000	17121.955290000	850.136	1111.717	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	20.3310	113	X	0	1	X	Y		
120	Spectrogram 1	1	17124.185190000	17124.442730000	621.253	1152.589	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	22.7870	114	X	0	1	X	Y		
121	Spectrogram 1	1	17125.535690000	17125.868610000	670.300	1185.286	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	24.1375	115	X	0	1	X	Y		
122	Spectrogram 1	1	17127.847250000	17128.236700000	613.079	1405.995	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	26.4491	116	X	0	1	X	Y		
123	Spectrogram 1	1	17128.984180000	17129.241720000	555.858	1520.436	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	27.5860	117	X	0	1	X	Y		
124	Spectrogram 1	1	17134.733040000	17135.040830000	874.659	1405.995	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517231702.wav	ST3_Site5_67371018.220517231702.wav	33.3349	118	X	0	1	X	Y		
