Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
3035	Spectrogram 1	1	12641.207	12642.9536	1.747	41.207	64.9	616.9	TEST__0__20180707_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180707_100801.wav	X	growl		RS	2	02-Jan	No			RS	
7	Spectrogram 1	1	7.869	9.340776	1.472	7.869	72.9	1172.1	TEST__0__20180601_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_020801.wav	X			RS	3	2	No				
10	Spectrogram 1	1	3.14	3.846453	0.706	3.14	613.4	1008.1	TEST__0__20180601_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_020801.wav	X	yelp	AH	RS	3	1	No		yelp	RS	
22	Spectrogram 1	1	232.702	233.702808	1.001	112.702	255.3	829.8	TEST__0__20180601_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_040801.wav	X	yelp		RS	3	1	No				
51	Spectrogram 1	1	541.228	542.660529	1.433	61.228	580.9	1161.7	TEST__0__20180601_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_120801.wav	X	yelp	AH	RS	3	2	No		yelps		
62	Spectrogram 1	1	660.053	660.975313	0.922	60.053	521.5	1429.4	TEST__0__20180601_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_160801.wav	X	yelp		RS	3	1	No				
88	Spectrogram 1	1	958.201	959.92788	1.727	118.201	852.8	1398.8	TEST__0__20180602_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_040801.wav	X	yelp	AH	RS	3	3	No		yelps		
92	Spectrogram 1	1	882.265	883.06957	0.805	42.265	214.7	583.5	TEST__0__20180602_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_040801.wav	X	woof	AH	RS	2	1	No		woof	RS	
211	Spectrogram 1	1	1622.954	1623.6997	0.746	62.954	544.3	1126.6	TEST__0__20180603_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180603_200801.wav	X	yelp		RS	3	1	No				
212	Spectrogram 1	1	1657.132	1679.73948	22.607	97.132	512.7	2069.6	TEST__0__20180603_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180603_200801.wav	X	yelp	mostly yelps. Some maybe barks but too faint to keep for detetor I think	RS	3	series	No				
219	Spectrogram 1	1	1638.555	1642.49936	3.944	78.555	519	1101.3	TEST__0__20180603_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180603_200801.wav	X	yelp		RS	3	2	No				
297	Spectrogram 1	1	1998.336	1999.45455	1.119	78.336	512.7	930.4	TEST__0__20180604_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180604_180801.wav	X		AH	RS	3	1	No		very faint		
367	Spectrogram 1	1	2463.217	2464.15893	0.942	63.217	519	1183.5	TEST__0__20180605_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180605_220801.wav	X	yelp	AH	RS	3	1	No		yelp		
428	Spectrogram 1	1	2948.721	2950.46751	1.747	68.721	164.6	1316.5	TEST__0__20180606_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_140801.wav	X	grunt	AH	RS	3	03-Feb	No		very faint grunts		
490	Spectrogram 1	1	3497.249	3509.53342	12.284	17.249	53.7	939.8	TEST__0__20180607_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_120801.wav	X	"woof, yelp"	AH	RS	3	series	No		woofs and yelps		
492	Spectrogram 1	1	3523.177	3529.71169	6.535	43.177	35.8	563.9	TEST__0__20180607_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_120801.wav	X	woof	AH	RS	2	3	No		woof	RS	
582	Spectrogram 1	1	4192.603	4194.7813	2.178	112.603	204.6	711.6	TEST__0__20180608_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180608_160801.wav	X		AH	RS	2	2	No		very faint	RS	
715	Spectrogram 1	1	4432.554	4433.7118	1.158	112.554	667.1	1271.9	TEST__0__20180610_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180610_100801.wav	X	yelp		RS	2	1	No		maybe BS	RS	
801	Spectrogram 1	1	4611.605	4612.547	0.942	51.605	465.4	1176.1	TEST__0__20180611_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180611_100801.wav	X	yelp	AH	RS	3	1	No		faint yelp		
815	Spectrogram 1	1	4703.579	4711.2715	7.692	23.579	270.4	591.2	TEST__0__20180611_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180611_140801.wav	X	woof?	AH	RS	2	3	No		woof?	RS	
852	Spectrogram 1	1	5087.34	5088.5763	1.236	47.34	563.7	1133.6	TEST__0__20180612_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180612_020801.wav	X	yelp	AH	RS	3	1	No		yelp		
856	Spectrogram 1	1	5077.464	5084.4501	6.986	37.464	663.9	1471.8	TEST__0__20180612_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180612_020801.wav	X	yelp	AH	RS	3	4	No		yelps		
862	Spectrogram 1	1	5269.473	5271.5335	2.06	109.473	131.5	757.8	TEST__0__20180612_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180612_040801.wav	X		AH	RS	3	2	No		very faint		
992	Spectrogram 1	1	5704.503	5705.8963	1.393	64.503	64.8	1373.7	TEST__0__20180613_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180613_140801.wav	X	bark?		RS	2	03-Feb	No		"weird sound, yelp in between?"	RS	
1011	Spectrogram 1	1	5996.113	5996.6821	0.569	116.113	64.8	1205.2	TEST__0__20180613_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180613_200801.wav	X	bark	pixel	RS	3	1	No				
1046	Spectrogram 1	1	6044.018	6047.1971	3.179	44.018	427.6	1561.6	TEST__0__20180614_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180614_060801.wav	X	"bark, yelp"	"only one bark at the end, very faint"	RS	3	series	No				
1059	Spectrogram 1	1	6181.05	6194.3941	13.344	61.05	492.4	2922.2	TEST__0__20180614_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180614_080801.wav	X	chirp	AH	RS	3	series	No		descending chirps? good one		
1069	Spectrogram 1	1	6278.506	6280.331	1.825	38.506	181.4	1114.5	TEST__0__20180614_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180614_100801.wav	X	chirp	AH	RS	3	2	No		descending chirps		
1344	Spectrogram 1	1	7354.81	7355.8501	1.04	34.81	995.7	1952.3	TEST__0__20180617_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180617_100801.wav	X	yelp		RS	3	1	No				
1455	Spectrogram 1	1	7858.737	7867.0182	8.281	58.737	91.5	1202.6	TEST__0__20180618_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180618_120801.wav	X	yelp	AH	RS	3	series	No		yelps		
1558	Spectrogram 1	1	8003.933	8005.6206	1.688	83.933	555.6	1117.6	TEST__0__20180619_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180619_120801.wav	X	"bark, yelp"	too faint and overlapped with BS	RS	3	3	No				
1694	Spectrogram 1	1	8278.684	8279.3708	0.687	118.684	694.3	1401.7	TEST__0__20180620_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180620_180801.wav	X	yelp	AH	RS	3	1	No		faint yelp		
1713	Spectrogram 1	1	8315.864	8318.4543	2.59	35.864	131	1087.3	TEST__0__20180621_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180621_000801.wav	X		AH	RS	3	series	No		very faint		
1732	Spectrogram 1	1	8584.706	8589.4745	4.769	64.706	412.7	1860.3	TEST__0__20180621_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180621_040801.wav	X	yelp	loud BS overlapped	RS	1	4	No		could that be a RS?	RS	
1777	Spectrogram 1	1	8805.52	8814.8413	9.321	45.52	427.6	1375	TEST__0__20180621_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180621_100801.wav	X	"bark, yelp"	barks are overlapped with a BS call. They are also faint. 	RS	3	series	No				
2153	Spectrogram 1	1	9958.377	9959.7507	1.374	118.377	726.9	1685	TEST__0__20180630_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180630_060801.wav	X		AH	RS	2	1	No		masked	RS	
2188	Spectrogram 1	1	10142.638	10144.7118	2.074	62.638	541.9	1130	TEST__0__20180630_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180630_120801.wav	X		AH	RS	2	2	No		very faint	RS	
2721	Spectrogram 1	1	11237.784	11242.2778	4.494	77.784	191.5	1538.3	TEST__0__20180704_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180704_160801.wav	X	yelp	AH	RS	3	3	No		yelp-growl?-yelp		
3037	Spectrogram 1	1	12645.289	12645.9954	0.706	45.289	558.4	902.6	TEST__0__20180707_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180707_100801.wav	X	yelp	AH	RS	3	1	No		yelp		
3091	Spectrogram 1	1	12860.142	12864.5573	4.415	20.142	733.8	1194.8	TEST__0__20180708_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180708_000801.wav	X	yelp	AH	RS	3	3	No		yelps		
3236	Spectrogram 1	1	12971.843	12972.7653	0.922	11.843	93.3	820.8	TEST__0__20180709_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180709_040801.wav	X	bark	too faint I think	RS	2	02-Jan	No			RS	
3330	Spectrogram 1	1	13411.868	13412.7707	0.903	91.868	386.3	804.7	TEST__0__20180710_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180710_020801.wav	X		AH	RS	2	1	No		very faint	RS	
3384	Spectrogram 1	1	13770.156	13771.3727	1.217	90.156	585.8	1442.1	TEST__0__20180710_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180710_180801.wav	X	yelp	AH	RS	3	1	No		very faint yelp		
3390	Spectrogram 1	1	13907.165	13908.2541	1.089	107.165	67.6	782.6	TEST__0__20180710_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180710_200801.wav	X		AH	RS	1	1	No		very faint	RS	
3468	Spectrogram 1	1	14335.13	14336.1112	0.981	55.13	836.9	1738.2	TEST__0__20180711_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180711_160801.wav	X	yelp	AH	RS	3	1	No		"yelp, good one"		
3469	Spectrogram 1	1	14334.325	14335.0903	0.765	54.325	630.9	1609.4	TEST__0__20180711_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180711_160801.wav	X	chirp	AH	RS	3	1	No		"chirp?, good one"		
3571	Spectrogram 1	1	14596.317	14597.0385	0.721	76.317	1092.1	1830.8	TEST__0__20180712_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180712_220801.wav	X	chirp	AH	RS	2	1	No		"chirp, maybe BS?"	RS	
3664	Spectrogram 1	1	15000.942	15002.0802	1.138	0.942	57.9	894.9	TEST__0__20180714_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180714_060801.wav	X		AH	RS	3	02-Jan	No		very faint		
3683	Spectrogram 1	1	15463.166	15465.0107	1.845	103.166	180.3	927	TEST__0__20180714_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180714_120801.wav	X	chirp	AH	RS	3	3	No		chirps		
3868	Spectrogram 1	1	15972.991	15973.7171	0.726	12.991	345.7	880.4	TEST__0__20180717_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180717_080801.wav	X	yelp	AH	RS	3	1	No		yelp		
3869	Spectrogram 1	1	15974.09	15974.9731	0.883	14.09	521.7	1552.2	TEST__0__20180717_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180717_080801.wav	X	chirp	AH	RS	3	1	No		chirp		
4022	Spectrogram 1	1	16501.575	16502.7132	1.138	61.575	358.7	1271.7	TEST__0__20180719_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180719_100801.wav	X	yelp	AH	RS	3	2	No		yelps		
4135	Spectrogram 1	1	18115.405	18116.7371	1.332	115.405	321.8	886.4	TEST__0__20180722_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180722_000801.wav	X	yelp	AH	RS	2	1	No		yelp	RS	
4154	Spectrogram 1	1	18508.743	18509.964	1.221	28.743	55.8	919	TEST__0__20180723_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180723_040801.wav	X		AH	RS	3	1	No		high ambient		
4197	Spectrogram 1	1	19371.481	19373.5611	2.08	51.481	398.7	1227.8	TEST__0__20180724_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180724_120801.wav	X		AH	RS	3	03-Feb	No		high ambient		
4198	Spectrogram 1	1	19519.242	19520.5372	1.295	79.242	348.1	1278.5	TEST__0__20180724_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180724_140801.wav	X		AH	RS	1	1	No		high ambient	RS	
4206	Spectrogram 1	1	19788.729	19790.2204	1.491	108.729	367.1	987.3	TEST__0__20180725_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180725_000801.wav	X		AH	RS	2	1	No		"2faint, maybe RS chirp"	RS	
4214	Spectrogram 1	1	19980.02	19982.1001	2.08	60.02	114.4	1163.1	TEST__0__20180725_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180725_140801.wav	X	"yelp, grunt"	AH	RS	3	4	No		yelp-3grunts		
4234	Spectrogram 1	1	20636.118	20639.2284	3.11	116.118	122.9	1329.8	TEST__0__20180726_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180726_220801.wav	X		AH	RS	3	04-Mar	No		faint		
4242	Spectrogram 1	1	20792.92	20793.9011	0.981	32.92	562.5	957.6	TEST__0__20180727_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180727_080801.wav	X	yelp?	AH	RS	3	1	No		yelp?		
4257	Spectrogram 1	1	20942.326	20943.425	1.099	62.326	238.5	759.4	TEST__0__20180728_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180728_160801.wav	X		AH	RS	2	1	No		high ambient	RS	
4258	Spectrogram 1	1	20977.453	20979.1406	1.688	97.453	429.9	963.4	TEST__0__20180728_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180728_160801.wav	X	yelp	AH	RS	3	2	No		yelkps		
4261	Spectrogram 1	1	20962.366	20964.1518	1.786	82.366	56.5	1060.7	TEST__0__20180728_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180728_160801.wav	X	yelp	AH	RS	3	02-Jan	No		I can hear a yelp in there		
4262	Spectrogram 1	1	20909.056	20910.1156	1.06	29.056	225.9	960.3	TEST__0__20180728_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180728_160801.wav	X	yelp	AH	RS	2	1	No		"yelp, high ambient"	RS	
4265	Spectrogram 1	1	21152.101	21153.3177	1.217	32.101	734.3	1242.7	TEST__0__20180728_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180728_200801.wav	X	yelp	AH	RS	3	1	No		yelp		
4266	Spectrogram 1	1	21232.569	21234.0015	1.432	112.569	423.6	1045	TEST__0__20180728_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180728_200801.wav	X	yelp	AH	RS	3	02-Jan	No		yelp		
32	Spectrogram 1	1	276.017	279.137166	3.12	36.017	312.8	1212.8	TEST__0__20180601_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_080801.wav	X			RS	3	1	No				
41	Spectrogram 1	1	463.137	464.726519	1.59	103.137	89.4	1238.3	TEST__0__20180601_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_100801.wav	X			RS	3	1	No				
45	Spectrogram 1	1	399.689	400.729055	1.04	39.689	319.1	772.3	TEST__0__20180601_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_100801.wav	X			RS	2	1	No			RS	
47	Spectrogram 1	1	457.662	459.408507	1.747	97.662	114.9	766	TEST__0__20180601_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_100801.wav	X		AH	RS	2	1	No		weird	RS	
54	Spectrogram 1	1	545.428	546.575985	1.148	65.428	569.8	1091.5	TEST__0__20180601_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_120801.wav	X			RS	2	1	No			RS	
57	Spectrogram 1	1	713.233	714.214184	0.981	113.233	227	963.2	TEST__0__20180601_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_160801.wav	X			RS	3	02-Jan	No				
85	Spectrogram 1	1	858.074	859.03556	0.962	18.074	975.5	1521.5	TEST__0__20180602_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_040801.wav	X			RS	2	1	No			RS	
89	Spectrogram 1	1	890.127	891.81464	1.688	50.127	263.8	699.4	TEST__0__20180602_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_040801.wav	X			RS	2	1	No			RS	
95	Spectrogram 1	1	903.927	905.35953	1.433	63.927	214.7	760.7	TEST__0__20180602_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_040801.wav	X			RS	2	1	No			RS	
97	Spectrogram 1	1	922.918	927.1371	4.219	82.918	190.2	1601.2	TEST__0__20180602_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_040801.wav	X			RS	3	03-Jan	No				
131	Spectrogram 1	1	1041.471	1042.92315	1.452	81.471	960	1490.5	TEST__0__20180602_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_120801.wav	X			RS	1	02-Jan	No			RS	
143	Spectrogram 1	1	1192.157	1193.43254	1.276	112.157	120	1105.3	TEST__0__20180602_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180602_160801.wav	X			RS	3	1	No				
159	Spectrogram 1	1	1247.41	1250.15731	2.747	47.41	650.5	1414.7	TEST__0__20180603_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180603_000801.wav	X			RS	3	03-Jan	No				
199	Spectrogram 1	1	1458.605	1459.62543	1.02	18.605	367.1	936.7	TEST__0__20180603_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180603_140801.wav	X			RS	3	1	No				
246	Spectrogram 1	1	1703.568	1704.29408	0.726	23.568	512.7	1316.5	TEST__0__20180604_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180604_040801.wav	X			RS	3	1	No				
254	Spectrogram 1	1	1688.674	1689.67481	1.001	8.674	626.6	1645.6	TEST__0__20180604_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180604_040801.wav	X			RS	3	1	No				
272	Spectrogram 1	1	1886.12	1887.12081	1.001	86.12	677.2	1569.6	TEST__0__20180604_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180604_100801.wav	X			RS	3	1	No				
274	Spectrogram 1	1	1849.059	1849.76545	0.706	49.059	670.9	1310.1	TEST__0__20180604_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180604_100801.wav	X			RS	3	1	No				
293	Spectrogram 1	1	1993.254	1995.58921	2.335	73.254	575.9	1531.6	TEST__0__20180604_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180604_180801.wav	X			RS	3	2	No				
330	Spectrogram 1	1	2257.601	2258.87654	1.276	97.601	525.3	1658.2	TEST__0__20180605_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180605_060801.wav	X		AH	RS	3	1	No		weird sound		
347	Spectrogram 1	1	2375.652	2376.71168	1.06	95.652	240.5	772.2	TEST__0__20180605_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180605_140801.wav	X			RS	3	1	No				
365	Spectrogram 1	1	2423.74	2424.85855	1.119	23.74	601.3	1348.1	TEST__0__20180605_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180605_220801.wav	X			RS	3	1	No				
370	Spectrogram 1	1	2579.91	2580.55758	0.648	59.91	816.5	1639.2	TEST__0__20180606_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_000801.wav	X			RS	3	1	No				
411	Spectrogram 1	1	2710.478	2711.26295	0.785	70.478	829.1	1411.4	TEST__0__20180606_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_100801.wav	X		AH	RS	2	1	No		maybe RS	RS	
417	Spectrogram 1	1	2700.413	2701.31569	0.903	60.413	822.8	1183.5	TEST__0__20180606_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_100801.wav	X		AH	RS	2	1	No		maybe RS	RS	
424	Spectrogram 1	1	2806.442	2809.64066	3.199	46.442	563.3	924.1	TEST__0__20180606_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_120801.wav	X			RS	2	3	No			RS	
427	Spectrogram 1	1	2941.514	2942.94653	1.433	61.514	132.9	1303.8	TEST__0__20180606_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_140801.wav	X			RS	3	02-Jan	No				
429	Spectrogram 1	1	2959.99	2971.01851	11.029	79.99	113.9	1031.6	TEST__0__20180606_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180606_140801.wav	X		AH	RS		series	No		species?	RS	
440	Spectrogram 1	1	3004.121	3009.18391	5.063	4.121	126.6	1791.1	TEST__0__20180607_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_000801.wav	X			RS	3	series	No				
444	Spectrogram 1	1	3024.651	3026.02466	1.374	24.651	500	1734.2	TEST__0__20180607_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_000801.wav	X			RS	3	1	No				
445	Spectrogram 1	1	3087.155	3090.03969	2.885	87.155	107.6	734.2	TEST__0__20180607_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_000801.wav	X			RS	3	1	No				
448	Spectrogram 1	1	3111.34	3117.48222	6.142	111.34	113.9	886.1	TEST__0__20180607_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_000801.wav	X		AH	RS	3	1	No		species?	RS	
461	Spectrogram 1	1	3201.066	3202.16493	1.099	81.066	581.8	1271	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	3	1	No				
462	Spectrogram 1	1	3235.432	3237.17851	1.747	115.432	125.3	554.9	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	1	02-Jan	No			RS	
465	Spectrogram 1	1	3162.08	3163.13968	1.06	42.08	483.3	1244.2	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	3	1	No				
468	Spectrogram 1	1	3196.769	3197.63244	0.863	76.769	474.4	1280	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	3	1	No				
469	Spectrogram 1	1	3121.943	3123.14005	1.197	1.943	617.6	1441.1	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	3	1	No				
470	Spectrogram 1	1	3194.767	3195.88555	1.119	74.767	662.4	1378.4	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	3	1	No				
472	Spectrogram 1	1	3185.671	3186.73068	1.06	65.671	626.5	1351.6	TEST__0__20180607_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_060801.wav	X			RS	3	1	No				
484	Spectrogram 1	1	3397.966	3398.82944	0.863	37.966	358	886.1	TEST__0__20180607_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_100801.wav	X			RS	2	1	No			RS	
493	Spectrogram 1	1	3484.317	3487.67265	3.356	4.317	98.5	1557.4	TEST__0__20180607_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_120801.wav	X		AH	RS		2	No		species?	RS	
495	Spectrogram 1	1	3695.947	3696.96743	1.02	95.947	205.9	716.1	TEST__0__20180607_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_140801.wav	X			RS	2	1	No			RS	
542	Spectrogram 1	1	3857.294	3858.4321	1.138	17.294	649.3	1236.3	TEST__0__20180608_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180608_040801.wav	X			RS	2	02-Jan	No			RS	
571	Spectrogram 1	1	4070.192	4071.546	1.354	110.192	329.1	1369.7	TEST__0__20180608_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180608_120801.wav	X			RS	3	1	No				
583	Spectrogram 1	1	4153.32	4154.203	0.883	73.32	587	1334.2	TEST__0__20180608_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180608_160801.wav	X			RS	3	1	No				
584	Spectrogram 1	1	4190.857	4191.7793	0.922	110.857	364.7	1387.5	TEST__0__20180608_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180608_160801.wav	X			RS	3	1	No				
721	Spectrogram 1	1	4480.382	4482.2855	1.903	40.382	569.2	1369.7	TEST__0__20180610_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180610_120801.wav	X			RS	3	02-Jan	No				
